"category","year","neighbourhood","address","quadrant","ward","latitude","longitude","location","geometry_point"
"General","2014","South Terwillegar","5349 TERWILLEGAR BOULEVARD","NW","9","53.444685","-113.585175","
,  
(53.444685, -113.585175)","POINT (-113.585175 53.444685)"
"General","2017","Wellington","13632 - 135A AVENUE","NW","2.0","53.597424129426294","-113.55667674098179","
,  
(53.597424129426294, -113.55667674098179)","POINT (-113.55667674098179 53.597424129426294)"
"General","2015","Westwood","12234  -  106 STREET","NW","2","53.5778158658356","-113.50344551357","
,  
(53.5778158658356, -113.50344551357)","POINT (-113.50344551357 53.5778158658356)"
"General","2015","Kensington","13205  -  121 STREET","NW","2","53.5923610698598","-113.529973528138","
,  
(53.5923610698598, -113.529973528138)","POINT (-113.529973528138 53.5923610698598)"
"General","2014","Twin Brooks","11343 - 8 AVENUE","NW","9","53.437485","-113.525728","
,  
(53.437485, -113.525728)","POINT (-113.525728 53.437485)"
"General","2016","Ottewell","6519 - 97 AVENUE","SE","8","53.53530199159652","-113.4311203098252","
,  
(53.53530199159652, -113.4311203098252)","POINT (-113.4311203098252 53.53530199159652)"
"Edible","2015","Gariepy","390  -  LESSARD DRIVE","W","5","53.4928874872753","-113.616912750638","
,  
(53.4928874872753, -113.616912750638)","POINT (-113.616912750638 53.4928874872753)"
"Public Space","2016","Downtown","1 - SIR WINSTON CHURCHILL SQUARE","NW","6","53.54563322179349","-113.49023026434942","
,  
(53.54563322179349, -113.49023026434942)","POINT (-113.49023026434942 53.54563322179349)"
"General","2018","Athlone","13308 - 131A AVENUE NW","NW","2","53.59155090830768","-113.55081618051894","
,  
(53.59155090830768, -113.55081618051894)","POINT (-113.55081618051894 53.59155090830768)"
"Public Space","2017","Terrace Heights","6215 - 100 AVENUE","SE","8.0","53.540029832060945","-113.42911248746836","
,  
(53.540029832060945, -113.42911248746836)","POINT (-113.42911248746836 53.540029832060945)"
"General","2018","Bonnie Doon","8705 - CONNORS ROAD NW","SE","8","53.52606902691899","-113.46123962806884","
,  
(53.52606902691899, -113.46123962806884)","POINT (-113.46123962806884 53.52606902691899)"
"General","2016","Rosslyn","13423 - 111 STREET","NW","2","53.59602641402977","-113.51161726317683","
,  
(53.59602641402977, -113.51161726317683)","POINT (-113.51161726317683 53.59602641402977)"
"General","2016","Kirkness","14604 - 29 STREET","NE","4","53.610550230927174","-113.3830785338818","
,  
(53.610550230927174, -113.3830785338818)","POINT (-113.3830785338818 53.610550230927174)"
"General","2015","Inglewood","11410  -  123 STREET","NW","2","53.5640176021801","-113.534648914606","
,  
(53.5640176021801, -113.534648914606)","POINT (-113.534648914606 53.5640176021801)"
"General","2017","Ogilvie Ridge","447 - OSBORNE CRESCENT","SW","9.0","53.46479456681376","-113.5620876969298","
,  
(53.46479456681376, -113.5620876969298)","POINT (-113.5620876969298 53.46479456681376)"
"General","2018","Lauderdale","12940 - 104 STREET NW","NW","2","53.58873433123788","-113.49964881249628","
,  
(53.58873433123788, -113.49964881249628)","POINT (-113.49964881249628 53.58873433123788)"
"General","2015","Sakaw","5104  -  13 AVENUE","SE","11","53.4427217689096","-113.420352996104","
,  
(53.4427217689096, -113.420352996104)","POINT (-113.420352996104 53.4427217689096)"
"General","2017","Glenora","10322 - 138 STREET","WEST","6.0","53.54532335049132","-113.55998755929963","
,  
(53.54532335049132, -113.55998755929963)","POINT (-113.55998755929963 53.54532335049132)"
"General","2015","Highlands","5326  -  ADA BOULEVARD","NE","7","53.5651724729819","-113.425024324221","
,  
(53.5651724729819, -113.425024324221)","POINT (-113.425024324221 53.5651724729819)"
"General","2016","Westmount","10974 - 128 STREET","NW","6","53.556478639163345","-113.54331172663827","
,  
(53.556478639163345, -113.54331172663827)","POINT (-113.54331172663827 53.556478639163345)"
"General","2015","Beaumaris","15820  -  100 STREET","NW","3","53.620133087186","-113.496639594937","
,  
(53.620133087186, -113.496639594937)","POINT (-113.496639594937 53.620133087186)"
"General","2017","Twin Brooks","507 - TWIN BROOKS BAY","SW","9.0","53.44223373056203","-113.530467233533","
,  
(53.44223373056203, -113.530467233533)","POINT (-113.530467233533 53.44223373056203)"
"General","2018","Terwillegar Towne","1910 - TANNER WYND NW","SW","9","53.45086373087202","-113.58740169035514","
,  
(53.45086373087202, -113.58740169035514)","POINT (-113.58740169035514 53.45086373087202)"
"Edible","2014","Parkdale","8708 - 116 AVENUE","NW","7","53.567459","-113.476329","
,  
(53.567459, -113.476329)","POINT (-113.476329 53.567459)"
"General","2016","McLeod","15020 - 63 STREET","NE","4","53.612332577468464","-113.43919696073536","
,  
(53.612332577468464, -113.43919696073536)","POINT (-113.43919696073536 53.612332577468464)"
"General","2017","Rosslyn","10312 - 135 AVENUE","NW","2.0","53.596876968513264","-113.49784583197498","
,  
(53.596876968513264, -113.49784583197498)","POINT (-113.49784583197498 53.596876968513264)"
"General","2014","Jasper Park","9046 - 153 STREET","NW","1","53.524548","-113.585131","
,  
(53.524548, -113.585131)","POINT (-113.585131 53.524548)"
"Tiny Yards","2018","Queen Alexandra","10704 - 72 AVENUE NW","SW","8","53.50879666414974","-113.50669715355093","
,  
(53.50879666414974, -113.50669715355093)","POINT (-113.50669715355093 53.50879666414974)"
"General","2018","Highlands","11119 - 53 STREET NW","NE","7","53.56594975949544","-113.42282926216292","
,  
(53.56594975949544, -113.42282926216292)","POINT (-113.42282926216292 53.56594975949544)"
"General","2015","Griesbach","1412  -  CYPRUS WAY","NW","2","53.6037843600695","-113.500719644516","
,  
(53.6037843600695, -113.500719644516)","POINT (-113.500719644516 53.6037843600695)"
"General","2015","Glenwood","9921  -  157 STREET","W","1","53.5384070711859","-113.591574917251","
,  
(53.5384070711859, -113.591574917251)","POINT (-113.591574917251 53.5384070711859)"
"General","2018","Strathcona","9602 - 99A STREET NW","SW","8","53.53448103634238","-113.48592977349338","
,  
(53.53448103634238, -113.48592977349338)","POINT (-113.48592977349338 53.53448103634238)"
"General","2016","Lorelei","16516 - 101 STREET","NW","3","53.62743028809947","-113.50024950509093","
,  
(53.62743028809947, -113.50024950509093)","POINT (-113.50024950509093 53.62743028809947)"
"General","2017","Rosslyn","13611 - 111 STREET","NW","2.0","53.59911882610117","-113.51192911992588","
,  
(53.59911882610117, -113.51192911992588)","POINT (-113.51192911992588 53.59911882610117)"
"General","2014","Glenora","4 TWEEDSMUIR CRESCENT","NW","6","53.542514","-113.550397","
,  
(53.542514, -113.550397)","POINT (-113.550397 53.542514)"
"General","2016","Dovercourt","13311 - 124 AVENUE","NW","2","53.57792371095406","-113.55641295129065","
,  
(53.57792371095406, -113.55641295129065)","POINT (-113.55641295129065 53.57792371095406)"
"General","2017","Ottewell","9708 - 64 STREET","SE","8.0","53.53626504916421","-113.42955368970462","
,  
(53.53626504916421, -113.42955368970462)","POINT (-113.42955368970462 53.53626504916421)"
"General","2018","Westmount","10818 - 123 STREET NW","NW","6","53.553102125506015","-113.53459599261868","
,  
(53.553102125506015, -113.53459599261868)","POINT (-113.53459599261868 53.553102125506015)"
"General","2017","Parkdale","11322 - 85 STREET","NE","7.0","53.56340980930921","-113.47205402182853","
,  
(53.56340980930921, -113.47205402182853)","POINT (-113.47205402182853 53.56340980930921)"
"General","2017","Wellington","12808 - 134A AVENUE","NW","2.0","53.59581228292882","-113.54303937116418","
,  
(53.59581228292882, -113.54303937116418)","POINT (-113.54303937116418 53.59581228292882)"
"General","2016","Rundle Heights","3224 - 111 AVENUE","NE","7","53.56445354768097","-113.3911061633246","
,  
(53.56445354768097, -113.3911061633246)","POINT (-113.3911061633246 53.56445354768097)"
