"category","year","neighbourhood","address","quadrant","ward","latitude","longitude","location","geometry_point"
"General","2016","Westmount","10974 - 122 STREET","NW","6","53.55638211707352","-113.53288356034284","
,  
(53.55638211707352, -113.53288356034284)","POINT (-113.53288356034284 53.55638211707352)"
"General","2016","Baturyn","17311 - 108 STREET","NW","3","53.63507771317029","-113.50901919620452","
,  
(53.63507771317029, -113.50901919620452)","POINT (-113.50901919620452 53.63507771317029)"
"Natural","2014","Windsor Park","9318 EDINBORO ROAD","NW","8","53.529598","-113.535","
,  
(53.529598, -113.535)","POINT (-113.535 53.529598)"
"General","2018","Rhatigan Ridge","353 - REEVES WAY NW","SW","9","53.47270113950425","-113.58750022735204","
,  
(53.47270113950425, -113.58750022735204)","POINT (-113.58750022735204 53.47270113950425)"
"General","2015","Lauderdale","13119  -  107 STREET","NW","2","53.5917566831283","-113.503664909703","
,  
(53.5917566831283, -113.503664909703)","POINT (-113.503664909703 53.5917566831283)"
"General","2015","McLeod","15107  -  64 STREET","NE","4","53.6121883865982","-113.439852656353","
,  
(53.6121883865982, -113.439852656353)","POINT (-113.439852656353 53.6121883865982)"
"General","2014","Westmount","12903 - 109 AVENUE","NW","6","53.553836","-113.544993","
,  
(53.553836, -113.544993)","POINT (-113.544993 53.553836)"
"General","2017","Inglewood","12303 - 113 AVENUE","NW","2.0","53.56188102875555","-113.53446927031916","
,  
(53.56188102875555, -113.53446927031916)","POINT (-113.53446927031916 53.56188102875555)"
"General","2015","Queen Alexandra","7034  -  105A STREET","SW","8","53.5074323131554","-113.503108855028","
,  
(53.5074323131554, -113.503108855028)","POINT (-113.503108855028 53.5074323131554)"
"General","2015","Highlands","5603  -  111 AVENUE","NE","7","53.5652951028521","-113.427823755896","
,  
(53.5652951028521, -113.427823755896)","POINT (-113.427823755896 53.5652951028521)"
"General","2018","Elmwood","8415C - 169 STREET NW","W","5","53.518349709792844","-113.61073826038223","
,  
(53.518349709792844, -113.61073826038223)","POINT (-113.61073826038223 53.518349709792844)"
"General","2018","Satoo","416 - KNOTTWOOD ROAD WEST NW","SE","11","53.44711750636659","-113.46191549363292","
,  
(53.44711750636659, -113.46191549363292)","POINT (-113.46191549363292 53.44711750636659)"
"Natural","2016","Parkallen","10910 - 65 AVENUE","SW","7","53.50235140803704","-113.51269541048248","
,  
(53.50235140803704, -113.51269541048248)","POINT (-113.51269541048248 53.50235140803704)"
"General","2017","Gariepy","198 - GARIEPY CRESCENT","WEST","5.0","53.49419965728931","-113.61553045198848","
,  
(53.49419965728931, -113.61553045198848)","POINT (-113.61553045198848 53.49419965728931)"
"Natural","2015","Rosslyn","11104  -  135 AVENUE","NW","2","53.5971661219413","-113.512577216811","
,  
(53.5971661219413, -113.512577216811)","POINT (-113.512577216811 53.5971661219413)"
"General","2016","Baturyn","11012 - 172 AVENUE","NW","3","53.63494445051943","-113.5115910621484","
,  
(53.63494445051943, -113.5115910621484)","POINT (-113.5115910621484 53.63494445051943)"
"General","2014","Queen Alexandra","7214 - 105A STREET","NW","8","53.508833","-113.502661","
,  
(53.508833, -113.502661)","POINT (-113.502661 53.508833)"
"General","2017","Potter Greens","1540 - PALMER CLOSE","WEST","1.0","53.521757117993424","-113.67449401889633","
,  
(53.521757117993424, -113.67449401889633)","POINT (-113.67449401889633 53.521757117993424)"
"General","2018","Ottewell","5304 - 97A AVENUE NW","SE","8","53.537545228916166","-113.42105881996589","
,  
(53.537545228916166, -113.42105881996589)","POINT (-113.42105881996589 53.537545228916166)"
"Edible","2015","Glenwood","9528  -  169 STREET","W","1","53.5328426959373","-113.614249577145","
,  
(53.5328426959373, -113.614249577145)","POINT (-113.614249577145 53.5328426959373)"
"General","2017","Hairsine","3032 - 143 AVENUE","NE","4.0","53.60783539894297","-113.38709718681937","
,  
(53.60783539894297, -113.38709718681937)","POINT (-113.38709718681937 53.60783539894297)"
"General","2015","Twin Brooks","1135  -  111A STREET","SW","9","53.4424459163238","-113.518650169324","
,  
(53.4424459163238, -113.518650169324)","POINT (-113.518650169324 53.4424459163238)"
"General","2015","Wellington","13415  -  132 STREET","NW","2","53.5952238303646","-113.548438494526","
,  
(53.5952238303646, -113.548438494526)","POINT (-113.548438494526 53.5952238303646)"
"General","2017","Fulton Place","5708 - 105A AVENUE","SE","8.0","53.54920105971372","-113.42497371403485","
,  
(53.54920105971372, -113.42497371403485)","POINT (-113.42497371403485 53.54920105971372)"
"General","2018","Griesbach","166 - GRIESBACH ROAD NW","NW","2","53.60825932370756","-113.49667479616211","
,  
(53.60825932370756, -113.49667479616211)","POINT (-113.49667479616211 53.60825932370756)"
"General","2018","Ogilvie Ridge","311 - OSLAND PLACE NW","SW","9","53.463239791372786","-113.55768649456009","
,  
(53.463239791372786, -113.55768649456009)","POINT (-113.55768649456009 53.463239791372786)"
"General","2018","Athlone","12755 - 136 STREET NW","NW","2","53.58551609024119","-113.55445768932876","
,  
(53.58551609024119, -113.55445768932876)","POINT (-113.55445768932876 53.58551609024119)"
"General","2018","Pleasantview","5815 - 108 STREET NW","SW","10","53.494761364379876","-113.50907553951066","
,  
(53.494761364379876, -113.50907553951066)","POINT (-113.50907553951066 53.494761364379876)"
"General","2017","Beverly Heights","4434 - 115 AVENUE","NE","7.0","53.56800518095655","-113.41128341341927","
,  
(53.56800518095655, -113.41128341341927)","POINT (-113.41128341341927 53.56800518095655)"
"General","2018","Rosslyn","11316 - 137 AVENUE NW","NW","2",,,,
"General","2017","Queen Alexandra","10508 - 71 AVENUE","SW","8.0","53.507713055940116","-113.50110230481937","
,  
(53.507713055940116, -113.50110230481937)","POINT (-113.50110230481937 53.507713055940116)"
"General","2015","Kensington","12516  -  136 AVENUE","NW","2","53.5986250792664","-113.538643321737","
,  
(53.5986250792664, -113.538643321737)","POINT (-113.538643321737 53.5986250792664)"
"General","2014","Casselman","14511 - 52 STREET","NW","4","53.607803","-113.420233","
,  
(53.607803, -113.420233)","POINT (-113.420233 53.607803)"
"General","2016","Glenora","13304 - 106A AVENUE","W","6","53.550528319041625","-113.55139332330572","
,  
(53.550528319041625, -113.55139332330572)","POINT (-113.55139332330572 53.550528319041625)"
"General","2018","Crestwood","9624 - RIVERSIDE DRIVE NW","W","1","53.53415900495576","-113.56094951105987","
,  
(53.53415900495576, -113.56094951105987)","POINT (-113.56094951105987 53.53415900495576)"
"General","2016","Terwillegar Towne","1840 - TOMLINSON CRESCENT","SW","9","53.45148485353042","-113.58236412023591","
,  
(53.45148485353042, -113.58236412023591)","POINT (-113.58236412023591 53.45148485353042)"
"General","2018","Bonnie Doon","8735 - 85 AVENUE NW","SE","8","53.52064056514139","-113.46304267332735","
,  
(53.52064056514139, -113.46304267332735)","POINT (-113.46304267332735 53.52064056514139)"
"General","2016","Parkview","9036 - 148 STREET","W","1","53.52435016813347","-113.57677532510351","
,  
(53.52435016813347, -113.57677532510351)","POINT (-113.57677532510351 53.52435016813347)"
"General","2016","Beaumaris","10004 - 161 AVENUE","NW","3",,,,
"General","2018","Westmount","10616 - 127 STREET NW","NW","6","53.5499123929201","-113.54161721611973","
,  
(53.5499123929201, -113.54161721611973)","POINT (-113.54161721611973 53.5499123929201)"
"General","2017","Clareview Town Centre","14208 - 36 STREET","NE","4.0","53.605342358746725","-113.39810948495729","
,  
(53.605342358746725, -113.39810948495729)","POINT (-113.39810948495729 53.605342358746725)"
"General","2014","Westmount","11049 - 130 STREET","NW","6","53.558833","-113.546199","
,  
(53.558833, -113.546199)","POINT (-113.546199 53.558833)"
"General","2018","Glenora","2 - TWEEDSMUIR CRESCENT NW","W","6","53.54258793913038","-113.55070286905854","
,  
(53.54258793913038, -113.55070286905854)","POINT (-113.55070286905854 53.54258793913038)"
"General","2016","Prince Rupert","11711 - 114 AVENUE","NW","2","53.56387115810591","-113.52415325344678","
,  
(53.56387115810591, -113.52415325344678)","POINT (-113.52415325344678 53.56387115810591)"
"General","2018","Bonnie Doon","9504 - 86 AVENUE NW","SE","8","53.522084621838715","-113.47339893188825","
,  
(53.522084621838715, -113.47339893188825)","POINT (-113.47339893188825 53.522084621838715)"
"General","2018","Carlton","13515 - 158 AVENUE NW","NW","2","53.618729874434294","-113.55717924528518","
,  
(53.618729874434294, -113.55717924528518)","POINT (-113.55717924528518 53.618729874434294)"
"General","2016","Belmont","3212 - 130 AVENUE","NE","4","53.58920577900184","-113.39029674034086","
,  
(53.58920577900184, -113.39029674034086)","POINT (-113.39029674034086 53.58920577900184)"
"General","2017","Woodcroft","11531 - 141 STREET","WEST","2.0","53.56662901890837","-113.56416327933461","
,  
(53.56662901890837, -113.56416327933461)","POINT (-113.56416327933461 53.56662901890837)"
"General","2018","Dunluce","61 - DUNLUCE ROAD NW","NW","3","53.62745267199036","-113.52789763640355","
,  
(53.62745267199036, -113.52789763640355)","POINT (-113.52789763640355 53.62745267199036)"
"General","2016","Caernarvon","11444 - 152 AVENUE","NW","2","53.61228679282853","-113.51945351703824","
,  
(53.61228679282853, -113.51945351703824)","POINT (-113.51945351703824 53.61228679282853)"
"General","2016","Eastwood","12044 - 88 STREET","NE","7","53.57481481357249","-113.47648621794386","
,  
(53.57481481357249, -113.47648621794386)","POINT (-113.47648621794386 53.57481481357249)"
"General","2017","Hawks Ridge","912 - GOSHAWK POINT","WEST","1.0","53.58659639545654","-113.69415418340428","
,  
(53.58659639545654, -113.69415418340428)","POINT (-113.69415418340428 53.58659639545654)"
"General","2017","Summerside","8806 - 19 AVENUE SW","SE","12.0","53.41598036706469","-113.46759439940945","
,  
(53.41598036706469, -113.46759439940945)","POINT (-113.46759439940945 53.41598036706469)"
"General","2016","Newton","12237 - 54 STREET","NE","7","53.57786208409411","-113.42402582259983","
,  
(53.57786208409411, -113.42402582259983)","POINT (-113.42402582259983 53.57786208409411)"
"General","2018","Wellington","13411 - 132 STREET NW","NW","2","53.595084617104355","-113.54863525632084","
,  
(53.595084617104355, -113.54863525632084)","POINT (-113.54863525632084 53.595084617104355)"
"General","2016","Richfield","8616 - 34A AVENUE","SE","11","53.46609089997532","-113.46407862798779","
,  
(53.46609089997532, -113.46407862798779)","POINT (-113.46407862798779 53.46609089997532)"
"General","2014","Hillview","6114 - 34A AVENUE","NW","11","53.46653","-113.431576","
,  
(53.46653, -113.431576)","POINT (-113.431576 53.46653)"
"General","2016","Westmount","10642 - 125 STREET","NW","6","53.550608950232125","-113.53816936083531","
,  
(53.550608950232125, -113.53816936083531)","POINT (-113.53816936083531 53.550608950232125)"
"General","2017","West Meadowlark Park","9308 - 165 STREET","WEST","1.0","53.52958842440539","-113.60781952984156","
,  
(53.52958842440539, -113.60781952984156)","POINT (-113.60781952984156 53.52958842440539)"
"General","2016","Wellington","13607 - 140 STREET","NW","2","53.59817841240419","-113.56139700585462","
,  
(53.59817841240419, -113.56139700585462)","POINT (-113.56139700585462 53.59817841240419)"
"Edible","2016","Glenwood","16716 - 97 AVENUE","W","1","53.53513908748345","-113.61158067162674","
,  
(53.53513908748345, -113.61158067162674)","POINT (-113.61158067162674 53.53513908748345)"
"General","2015","Ottewell","7307  -  92A AVENUE","SE","8","53.5274981012079","-113.440808585677","
,  
(53.5274981012079, -113.440808585677)","POINT (-113.440808585677 53.5274981012079)"
"General","2017","Sifton Park","4816 - 131 AVENUE","NE","4.0","53.59233126693709","-113.41512878742155","
,  
(53.59233126693709, -113.41512878742155)","POINT (-113.41512878742155 53.59233126693709)"
"General","2016","Fulton Place","10513 - 69 STREET","SE","8","53.54780485301813","-113.4336835249738","
,  
(53.54780485301813, -113.4336835249738)","POINT (-113.4336835249738 53.54780485301813)"
"General","2014","Lauderdale","12943 - 104 STREET","NW","2","53.588848","-113.498701","
,  
(53.588848, -113.498701)","POINT (-113.498701 53.588848)"
"General","2017","Athlone","13308 - 131A AVENUE","NW","2.0","53.59159734497679","-113.55083225685709","
,  
(53.59159734497679, -113.55083225685709)","POINT (-113.55083225685709 53.59159734497679)"
"General","2016","Athlone","12931 - 133 STREET","NW","2","53.58843073849956","-113.54988421026773","
,  
(53.58843073849956, -113.54988421026773)","POINT (-113.54988421026773 53.58843073849956)"
"General","2018","Bulyea Heights","464 - BUCHANAN ROAD NW","SW","9","53.471054897202684","-113.57671752369167","
,  
(53.471054897202684, -113.57671752369167)","POINT (-113.57671752369167 53.471054897202684)"
"General","2015","Westmount","12309  -  109A AVENUE","NW","6","53.5554962921134","-113.534634248644","
,  
(53.5554962921134, -113.534634248644)","POINT (-113.534634248644 53.5554962921134)"
"General","2017","Crestwood","14104 - 97 AVENUE","WEST","1.0","53.53499355678737","-113.56257880535547","
,  
(53.53499355678737, -113.56257880535547)","POINT (-113.56257880535547 53.53499355678737)"
"General","2016","Westmount","10226 - 125 STREET","NW","6","53.5437879389993","-113.53800222214119","
,  
(53.5437879389993, -113.53800222214119)","POINT (-113.53800222214119 53.5437879389993)"
"General","2017","Brookside","14340 - 51 AVENUE","SW","9.0","53.48911175796278","-113.57025466965466","
,  
(53.48911175796278, -113.57025466965466)","POINT (-113.57025466965466 53.48911175796278)"
"General","2018","Athlone","12752 - 128 STREET NW","NW","2","53.585907540272224","-113.54328139315648","
,  
(53.585907540272224, -113.54328139315648)","POINT (-113.54328139315648 53.585907540272224)"
"General","2018","Newton","12022 - 56 STREET NW","NE","7","53.57406293008113","-113.42818401444475","
,  
(53.57406293008113, -113.42818401444475)","POINT (-113.42818401444475 53.57406293008113)"
"General","2016","Westmount","10614 - 126 STREET","NW","6","53.54984366562131","-113.54010907022904","
,  
(53.54984366562131, -113.54010907022904)","POINT (-113.54010907022904 53.54984366562131)"
"General","2017","Ormsby Place","6208 - 179 STREET","WEST","5.0","53.49703631985338","-113.63176585050839","
,  
(53.49703631985338, -113.63176585050839)","POINT (-113.63176585050839 53.49703631985338)"
"Tiny Yards","2018","Summerside","9035 - 23 AVENUE SW","SE","12","53.41164267732478","-113.47641831765252","
,  
(53.41164267732478, -113.47641831765252)","POINT (-113.47641831765252 53.41164267732478)"
"General","2018","Highlands","5504 - 111 AVENUE NW","NE","7","53.565877138127604","-113.42640764306365","
,  
(53.565877138127604, -113.42640764306365)","POINT (-113.42640764306365 53.565877138127604)"
"General","2017","Rosslyn","13560 - 104A STREET","NW","2.0","53.598466411204626","-113.50189074102381","
,  
(53.598466411204626, -113.50189074102381)","POINT (-113.50189074102381 53.598466411204626)"
"General","2015","Lorelei","9915  -  162A AVENUE","NW","3","53.6240971353688","-113.495894959883","
,  
(53.6240971353688, -113.495894959883)","POINT (-113.495894959883 53.6240971353688)"
"General","2016","Caernarvon","14707 - 116 STREET","NW","2","53.60908561594797","-113.52115199243282","
,  
(53.60908561594797, -113.52115199243282)","POINT (-113.52115199243282 53.60908561594797)"
"General","2018","Greenview","209 - GREENOCH CRESCENT NW","SE","11","53.478255151921914","-113.42293746365993","
,  
(53.478255151921914, -113.42293746365993)","POINT (-113.42293746365993 53.478255151921914)"
"Natural","2014","Grovenor","10619 - 144 STREET","NW","6","53.550093","-113.568948","
,  
(53.550093, -113.568948)","POINT (-113.568948 53.550093)"
"General","2017","Ormsby Place","6232 - 187A STREET","WEST","5.0","53.49635905673594","-113.6455307507537","
,  
(53.49635905673594, -113.6455307507537)","POINT (-113.6455307507537 53.49635905673594)"
"General","2016","Westmount","10655 - 126 STREET","NW","6","53.550684054488315","-113.53899843326737","
,  
(53.550684054488315, -113.53899843326737)","POINT (-113.53899843326737 53.550684054488315)"
"General","2017","Glenwood","16816 - 98 AVENUE","WEST","1.0","53.53604482157551","-113.61285296354484","
,  
(53.53604482157551, -113.61285296354484)","POINT (-113.61285296354484 53.53604482157551)"
"General","2015","Caernarvon","11507  -  152A AVENUE","NW","2","53.6126224916041","-113.520702626266","
,  
(53.6126224916041, -113.520702626266)","POINT (-113.520702626266 53.6126224916041)"
"General","2018","Dovercourt","12239 - 141 STREET NW","W","2","53.575912060832934","-113.56405863602889","
,  
(53.575912060832934, -113.56405863602889)","POINT (-113.56405863602889 53.575912060832934)"
"General","2018","Aspen Gardens","4124 - ASPEN DRIVE WEST NW","SW","10","53.47782080888957","-113.5520304351853","
,  
(53.47782080888957, -113.5520304351853)","POINT (-113.5520304351853 53.47782080888957)"
"General","2018","Calder","12724 - 115 STREET NW","NW","2","53.58561207542566","-113.52058686135312","
,  
(53.58561207542566, -113.52058686135312)","POINT (-113.52058686135312 53.58561207542566)"
"General","2016","Westmount","10903 - 130 STREET","NW","6","53.554133812173504","-113.54579678770529","
,  
(53.554133812173504, -113.54579678770529)","POINT (-113.54579678770529 53.554133812173504)"
"General","2017","Beverly Heights","4806 - ADA BOULEVARD","NE","7.0","53.56620244998142","-113.41565585560224","
,  
(53.56620244998142, -113.41565585560224)","POINT (-113.41565585560224 53.56620244998142)"
"General","2014","Fulton Place","5903 - 105A AVENUE","NW","8","53.548522","-113.426011","
,  
(53.548522, -113.426011)","POINT (-113.426011 53.548522)"
"General","2017","Aspen Gardens","4228 - ASPEN DRIVE EAST","SW","10.0","53.48079798118708","-113.54554233470273","
,  
(53.48079798118708, -113.54554233470273)","POINT (-113.54554233470273 53.48079798118708)"
"Natural","2015","King Edward Park","9305  -  78 AVENUE","SE","11","53.5139064860766","-113.470815234785","
,  
(53.5139064860766, -113.470815234785)","POINT (-113.470815234785 53.5139064860766)"
"General","2016","Fraser","2504 - 151 AVENUE","NE","4","53.613264989245295","-113.37704503207019","
,  
(53.613264989245295, -113.37704503207019)","POINT (-113.37704503207019 53.613264989245295)"
"General","2017","Lorelei","16226 - 112A STREET","NW","3.0","53.62382907774714","-113.51712888612275","
,  
(53.62382907774714, -113.51712888612275)","POINT (-113.51712888612275 53.62382907774714)"
"General","2017","Bonnie Doon","8545 - 89 STREET","SE","8.0","53.52244795521598","-113.46330627741504","
,  
(53.52244795521598, -113.46330627741504)","POINT (-113.46330627741504 53.52244795521598)"
"General","2015","Westmount","10818  -  123 STREET","NW","6","53.553129455016","-113.534629132306","
,  
(53.553129455016, -113.534629132306)","POINT (-113.534629132306 53.553129455016)"
"General","2017","Ogilvie Ridge","103 - OSLAND DRIVE","SW","9.0","53.46363211263513","-113.55927859515","
,  
(53.46363211263513, -113.55927859515)","POINT (-113.55927859515 53.46363211263513)"
"General","2017","Royal Gardens","4411 - 115 STREET","SW","10.0","53.482053825796754","-113.5287917447029","
,  
(53.482053825796754, -113.5287917447029)","POINT (-113.5287917447029 53.482053825796754)"
"General","2016","Belvedere","5904 - 133A AVENUE","NE","4","53.59482977062293","-113.43196696557558","
,  
(53.59482977062293, -113.43196696557558)","POINT (-113.43196696557558 53.59482977062293)"
"General","2018","Lauderdale","12847 - 107 STREET NW","NW","2","53.587089907144914","-113.50395732901755","
,  
(53.587089907144914, -113.50395732901755)","POINT (-113.50395732901755 53.587089907144914)"
"General","2018","Glenora","10224 - CHURCHILL CRESCENT NW","W","6","53.54383969563453","-113.54860975508896","
,  
(53.54383969563453, -113.54860975508896)","POINT (-113.54860975508896 53.54383969563453)"
"General","2016","Greenfield","3418 - 111A STREET","SW","10","53.46682373625976","-113.51886387401235","
,  
(53.46682373625976, -113.51886387401235)","POINT (-113.51886387401235 53.46682373625976)"
"General","2014","Rosslyn","13339 - 105 STREET","NW","2","53.594337","-113.500478","
,  
(53.594337, -113.500478)","POINT (-113.500478 53.594337)"
"General","2015","Kensington","13520  -  118 STREET","NW","2","53.5972726405024","-113.525610735775","
,  
(53.5972726405024, -113.525610735775)","POINT (-113.525610735775 53.5972726405024)"
"General","2017","Ormsby Place","17909 - 63A AVENUE","WEST","5.0","53.49861460534365","-113.63140616880449","
,  
(53.49861460534365, -113.63140616880449)","POINT (-113.63140616880449 53.49861460534365)"
"Natural","2016","Royal Gardens","11552 - 42 AVENUE","SW","10","53.479596847887805","-113.53247315248652","
,  
(53.479596847887805, -113.53247315248652)","POINT (-113.53247315248652 53.479596847887805)"
"General","2014","Highlands","11113 - 53 STREET","NW","7","53.565869","-113.422823","
,  
(53.565869, -113.422823)","POINT (-113.422823 53.565869)"
"General","2016","Wellington","12812 - 135 AVENUE","NW","2","53.5965749958114","-113.54355906401723","
,  
(53.5965749958114, -113.54355906401723)","POINT (-113.54355906401723 53.5965749958114)"
"General","2018","Parkview","9022 - VALLEYVIEW DRIVE NW","W","1","53.5245659368936","-113.5591125485472","
,  
(53.5245659368936, -113.5591125485472)","POINT (-113.5591125485472 53.5245659368936)"
"General","2016","Lauderdale","13120 - 108 STREET","NW","2","53.59131539159011","-113.50726733934712","
,  
(53.59131539159011, -113.50726733934712)","POINT (-113.50726733934712 53.59131539159011)"
"General","2016","Glenora","10538 - 132 STREET","W","6","53.54901867713904","-113.54997084804293","
,  
(53.54901867713904, -113.54997084804293)","POINT (-113.54997084804293 53.54901867713904)"
"General","2015","York","14015  -  62 STREET","NE","4","53.6028405170631","-113.437138079502","
,  
(53.6028405170631, -113.437138079502)","POINT (-113.437138079502 53.6028405170631)"
"General","2016","Meyokumin","1863 - 51 STREET","SE","11","53.44929815523994","-113.42012997197928","
,  
(53.44929815523994, -113.42012997197928)","POINT (-113.42012997197928 53.44929815523994)"
"General","2016","York","6120 - 137 AVENUE","NE","4","53.60006320314919","-113.43651951445256","
,  
(53.60006320314919, -113.43651951445256)","POINT (-113.43651951445256 53.60006320314919)"
"General","2014","Hillview","#22 - 105 Youville Drive East","NW","11","53.460344","-113.425558","
,  
(53.460344, -113.425558)","POINT (-113.425558 53.460344)"
"General","2018","Glenora","10320 - CONNAUGHT DRIVE NW","W","6","53.54531480826348","-113.54395048546253","
,  
(53.54531480826348, -113.54395048546253)","POINT (-113.54395048546253 53.54531480826348)"
"General","2017","Calder","12734 - 117 STREET","NW","2.0","53.58588631500972","-113.52401191149151","
,  
(53.58588631500972, -113.52401191149151)","POINT (-113.52401191149151 53.58588631500972)"
"General","2014","Evansdale","15215 - 94A STREET","NW","3","53.613053","-113.486744","
,  
(53.613053, -113.486744)","POINT (-113.486744 53.613053)"
"General","2017","Kensington","13539 - 127 STREET","NW","2.0","53.598047092359195","-113.54079392404233","
,  
(53.598047092359195, -113.54079392404233)","POINT (-113.54079392404233 53.598047092359195)"
"General","2015","Windsor Park","8352  -  120 STREET","SW","8","53.5217160815558","-113.537998783987","
,  
(53.5217160815558, -113.537998783987)","POINT (-113.537998783987 53.5217160815558)"
"Natural","2016","Rosslyn","11110 - 134 AVENUE","NW","2","53.5952223981808","-113.51277452063134","
,  
(53.5952223981808, -113.51277452063134)","POINT (-113.51277452063134 53.5952223981808)"
"General","2014","Daly Grove","1815 - 40 STREET","NW","12","53.448975","-113.404061","
,  
(53.448975, -113.404061)","POINT (-113.404061 53.448975)"
"General","2017","Greenfield","11732 - 38A AVENUE","SW","10.0","53.4740691657209","-113.53669761776567","
,  
(53.4740691657209, -113.53669761776567)","POINT (-113.53669761776567 53.4740691657209)"
"General","2018","Crestwood","14140 - 98 AVENUE NW","W","1","53.536383423759496","-113.56422371486234","
,  
(53.536383423759496, -113.56422371486234)","POINT (-113.56422371486234 53.536383423759496)"
"General","2015","Kensington","11611  -  137 AVENUE","NW","2","53.5990511812894","-113.522250477112","
,  
(53.5990511812894, -113.522250477112)","POINT (-113.522250477112 53.5990511812894)"
"General","2017","Carlisle","12212 - 140A AVENUE","NW","2.0","53.60270972032359","-113.53355212198424","
,  
(53.60270972032359, -113.53355212198424)","POINT (-113.53355212198424 53.60270972032359)"
"General","2018","Calder","12903 - 121 STREET NW","NW","2","53.587756904836944","-113.52997116962686","
,  
(53.587756904836944, -113.52997116962686)","POINT (-113.52997116962686 53.587756904836944)"
"General","2014","Queen Mary Park","10969 - 116 STREET","NW","6","53.557142","-113.521299","
,  
(53.557142, -113.521299)","POINT (-113.521299 53.557142)"
"General","2017","Ogilvie Ridge","324 - O'CONNOR CLOSE","SW","9.0","53.46497658325736","-113.570634003435","
,  
(53.46497658325736, -113.570634003435)","POINT (-113.570634003435 53.46497658325736)"
"General","2016","Athlone","12935 - 132 STREET","NW","2","53.58866742105954","-113.54831101371802","
,  
(53.58866742105954, -113.54831101371802)","POINT (-113.54831101371802 53.58866742105954)"
"General","2017","Woodcroft","11552 - 140 STREET","WEST","2.0","53.5676431491632","-113.56357007232049","
,  
(53.5676431491632, -113.56357007232049)","POINT (-113.56357007232049 53.5676431491632)"
"General","2015","Westmount","10986  -  125 STREET","NW","6","53.556723650345","-113.538186108658","
,  
(53.556723650345, -113.538186108658)","POINT (-113.538186108658 53.556723650345)"
"General","2018","King Edward Park","7915 - 80 AVENUE NW","SE","11","53.51574640309224","-113.44994248142345","
,  
(53.51574640309224, -113.44994248142345)","POINT (-113.44994248142345 53.51574640309224)"
"General","2017","Hairsine","14204 - 30 STREET","NE","4.0","53.606355423084686","-113.38587963615313","
,  
(53.606355423084686, -113.38587963615313)","POINT (-113.38587963615313 53.606355423084686)"
"General","2015","Kensington","13208  -  122 STREET","NW","2","53.5925165026912","-113.532400963857","
,  
(53.5925165026912, -113.532400963857)","POINT (-113.532400963857 53.5925165026912)"
"Natural","2014","Grovenor","10616 - 144 STREET","NW","6","53.54917","-113.56939","
,  
(53.54917, -113.56939)","POINT (-113.56939 53.54917)"
"General","2018","Kensington","13539 - 115 STREET NW","NW","2","53.5985830382497","-113.51941295706955","
,  
(53.5985830382497, -113.51941295706955)","POINT (-113.51941295706955 53.5985830382497)"
"General","2016","Grovenor","14620 - 106 AVENUE","W","6","53.54880089109428","-113.57385806091193","
,  
(53.54880089109428, -113.57385806091193)","POINT (-113.57385806091193 53.54880089109428)"
"General","2017","Pleasantview","10535 - 52 AVENUE","SW","10.0","53.488794051754454","-113.50243968137539","
,  
(53.488794051754454, -113.50243968137539)","POINT (-113.50243968137539 53.488794051754454)"
"General","2017","Strathcona","10545 - 87 AVENUE","SW","8.0","53.52226493302982","-113.50251272349703","
,  
(53.52226493302982, -113.50251272349703)","POINT (-113.50251272349703 53.52226493302982)"
"General","2016","Glenora","10326 - 138 STREET","W","6","53.54546253807072","-113.55998611575298","
,  
(53.54546253807072, -113.55998611575298)","POINT (-113.55998611575298 53.54546253807072)"
"General","2017","Ottewell","9350 - 52 STREET","SE","8.0","53.53178190500702","-113.42039852093386","
,  
(53.53178190500702, -113.42039852093386)","POINT (-113.42039852093386 53.53178190500702)"
"General","2018","Griesbach","1330 - KAPYONG AVENUE NW","NW","2","53.60336212313315","-113.50195806973518","
,  
(53.60336212313315, -113.50195806973518)","POINT (-113.50195806973518 53.60336212313315)"
"General","2017","Griesbach","1511 - KINROSS ROAD","NW","2.0","53.60393410993781","-113.4979615865185","
,  
(53.60393410993781, -113.4979615865185)","POINT (-113.4979615865185 53.60393410993781)"
"General","2014","McCauley","10915 - 92 STREET","NW","6","53.557694","-113.480944","
,  
(53.557694, -113.480944)","POINT (-113.480944 53.557694)"
"General","2017","Dunvegan","13832 - 130A AVENUE","NW","2.0","53.58955163865213","-113.56108003750872","
,  
(53.58955163865213, -113.56108003750872)","POINT (-113.56108003750872 53.58955163865213)"
"General","2017","Glenora","10308 - 134 STREET","WEST","6.0","53.544798426609155","-113.55319901888014","
,  
(53.544798426609155, -113.55319901888014)","POINT (-113.55319901888014 53.544798426609155)"
"General","2018","Carlisle","14035 - 118 STREET NW","NW","2","53.603182776418464","-113.52363620486044","
,  
(53.603182776418464, -113.52363620486044)","POINT (-113.52363620486044 53.603182776418464)"
"Public Space","2014","Rosslyn","10915 - 134 AVENUE","NW","2","53.594988","-113.508231","
,  
(53.594988, -113.508231)","POINT (-113.508231 53.594988)"
"General","2018","McLeod","6108 - 152A AVENUE NW","NE","4","53.61398292179275","-113.43663623034115","
,  
(53.61398292179275, -113.43663623034115)","POINT (-113.43663623034115 53.61398292179275)"
"General","2017","Terrace Heights","7207 - 100 AVENUE","SE","8.0","53.54008278136603","-113.43876499414141","
,  
(53.54008278136603, -113.43876499414141)","POINT (-113.43876499414141 53.54008278136603)"
