"category","title","closingdate","reqid","url"
"Social Workers","Community Safety Liaison - Problem Properties","2022-08-31T23:59:00.000","44518","More Details (https://recruitment.edmonton.ca/job/CITYA000C14575/Community-Safety-Liaison-Problem-Properties?utm_source=indeed&utm_medium=phenom-feeds)"
"Labourers & Equipment Operators","Arena Attendant/Labourer II","2022-08-31T23:59:00.000","44432","More Details (https://recruitment.edmonton.ca/job/CITYA000C14576/Arena-Attendant-Labourer-II?utm_source=indeed&utm_medium=phenom-feeds)"
"Business Professionals","Senior Labour Relations Advisor","2022-08-31T23:59:00.000","44555","More Details (https://recruitment.edmonton.ca/job/CITYA000C14581/Senior-Labour-Relations-Advisor?utm_source=indeed&utm_medium=phenom-feeds)"
"Finance & Accounting","Revenue and Control Specialist","2022-08-31T23:59:00.000","44556","More Details (https://recruitment.edmonton.ca/job/CITYA000C14582/Revenue-and-Control-Specialist?utm_source=indeed&utm_medium=phenom-feeds)"
"Administrative Professionals","Employee Service Centre Pension Representative","2022-08-31T23:59:00.000","44364","More Details (https://recruitment.edmonton.ca/job/CITYA000C14596/Employee-Service-Centre-Pension-Representative?utm_source=indeed&utm_medium=phenom-feeds)"
"Administrative Professionals","Section Administration Clerk","2022-08-31T23:59:00.000","44505","More Details (https://recruitment.edmonton.ca/job/CITYA000C14587/Section-Administration-Clerk?utm_source=indeed&utm_medium=phenom-feeds)"
"Administrative Professionals","Employee Service Centre Benefits Representative","2022-08-31T23:59:00.000","44362","More Details (https://recruitment.edmonton.ca/job/CITYA000C14595/Employee-Service-Centre-Benefits-Representative?utm_source=indeed&utm_medium=phenom-feeds)"
"Business Professionals","Operations Instructor","2022-08-31T23:59:00.000","44577","More Details (https://recruitment.edmonton.ca/job/CITYA000C14623/Operations-Instructor?utm_source=indeed&utm_medium=phenom-feeds)"
"Leadership","Manager, Bus Technology and Applications","2022-09-01T23:59:00.000","44552","More Details (https://recruitment.edmonton.ca/job/CITYA000C14598/Manager-Bus-Technology-and-Applications?utm_source=indeed&utm_medium=phenom-feeds)"
"Finance & Accounting","BFA Senior Accountant (Community Services)","2022-09-01T23:59:00.000","44572","More Details (https://recruitment.edmonton.ca/job/CITYA000C14604/BFA-Senior-Accountant-Community-Services?utm_source=indeed&utm_medium=phenom-feeds)"
"Inspectors & Regulatory Officers","Transit Security Dispatcher","2022-09-01T23:59:00.000","44553","More Details (https://recruitment.edmonton.ca/job/CITYA000C14613/Transit-Security-Dispatcher?utm_source=indeed&utm_medium=phenom-feeds)"
"Administrative Professionals","Administrative Clerk II","2022-09-02T23:59:00.000","44212","More Details (https://recruitment.edmonton.ca/job/CITYA000C14682/Administrative-Clerk-II?utm_source=indeed&utm_medium=phenom-feeds)"
"Administrative Professionals","Word/Data Processing Clerk II - Criminal History Unit Administrative Clerk","2022-09-02T23:59:00.000","44628","More Details (https://recruitment.edmonton.ca/job/CITYA000C14663/Word-Data-Processing-Clerk-II-Criminal-History-Unit-Administrative-Clerk?utm_source=indeed&utm_medium=phenom-feeds)"
"Trades","Heavy Equipment Technician - Municipal","2022-09-02T23:59:00.000","44557","More Details (https://recruitment.edmonton.ca/job/CITYA000C14609/Heavy-Equipment-Technician-Municipal?utm_source=indeed&utm_medium=phenom-feeds)"
"Trades","Automotive Service Technician","2022-09-02T23:59:00.000","44574","More Details (https://recruitment.edmonton.ca/job/CITYA000C14616/Automotive-Service-Technician?utm_source=indeed&utm_medium=phenom-feeds)"
"Finance & Accounting","Buyer - Financial Services Division","2022-09-04T23:59:00.000","44613","More Details (https://recruitment.edmonton.ca/job/CITYA000C14652/Buyer-Financial-Services-Division?utm_source=indeed&utm_medium=phenom-feeds)"
"Inspectors & Regulatory Officers","Plumbing and Gas Safety Codes Officer I","2022-09-05T23:59:00.000","44428","More Details (https://recruitment.edmonton.ca/job/CITYA000C14612/Plumbing-and-Gas-Safety-Codes-Officer-I?utm_source=indeed&utm_medium=phenom-feeds)"
"Recreation & Sports","Aquatic Fitness Instructor","2022-09-05T23:59:00.000","44396","More Details (https://recruitment.edmonton.ca/job/CITYA000C14471/Aquatic-Fitness-Instructor?utm_source=indeed&utm_medium=phenom-feeds)"
"Engineers & Technologists","Audio/Visual Technician","2022-09-05T23:59:00.000","44355","More Details (https://recruitment.edmonton.ca/job/CITYA000C14625/Audio-Visual-Technician?utm_source=indeed&utm_medium=phenom-feeds)"
"Leadership","Director, Traffic Operations","2022-09-06T23:59:00.000","44543","More Details (https://recruitment.edmonton.ca/job/CITYA000C14572/Director-Traffic-Operations?utm_source=indeed&utm_medium=phenom-feeds)"
"Planners","Inspections and Compliance Officer","2022-09-06T23:59:00.000","44568","More Details (https://recruitment.edmonton.ca/job/CITYA000C14641/Inspections-and-Compliance-Officer?utm_source=indeed&utm_medium=phenom-feeds)"
"Engineers & Technologists","Project Coordinator, Transportation Planning & Design","2022-09-06T23:59:00.000","44314","More Details (https://recruitment.edmonton.ca/job/CITYA000C14635/Project-Coordinator-Transportation-Planning-Design?utm_source=indeed&utm_medium=phenom-feeds)"
"Leadership","Senior Executive Advisor, Anti-Racism and Intersectionality","2022-09-06T23:59:00.000","44548","More Details (https://recruitment.edmonton.ca/job/CITYA000C14620/Senior-Executive-Advisor-Anti-Racism-and-Intersectionality?utm_source=indeed&utm_medium=phenom-feeds)"
"Information Technology","Application & Infrastructure Analyst II - Application Integration Analyst","2022-09-06T23:59:00.000","44600","More Details (https://recruitment.edmonton.ca/job/CITYA000C14630/Application-Infrastructure-Analyst-II-Application-Integration-Analyst?utm_source=indeed&utm_medium=phenom-feeds)"
"Engineers & Technologists","Safe Mobility Engineer","2022-09-07T23:59:00.000","44540","More Details (https://recruitment.edmonton.ca/job/CITYA000C14651/Safe-Mobility-Engineer?utm_source=indeed&utm_medium=phenom-feeds)"
"Business Professionals","Project Lead, Elections & Legislative Projects","2022-09-07T23:59:00.000","44554","More Details (https://recruitment.edmonton.ca/job/CITYA000C14648/Project-Lead-Elections-Legislative-Projects?utm_source=indeed&utm_medium=phenom-feeds)"
"Recreation & Sports","Skate Monitor - Program Specialist","2022-09-07T23:59:00.000","44586","More Details (https://recruitment.edmonton.ca/job/CITYA000C14643/Skate-Monitor-Program-Specialist?utm_source=indeed&utm_medium=phenom-feeds)"
"Finance & Accounting","Contract Analyst","2022-09-07T23:59:00.000","44501","More Details (https://recruitment.edmonton.ca/job/CITYA000C14588/Contract-Analyst?utm_source=indeed&utm_medium=phenom-feeds)"
"Natural Sciences","Zoo Keepers","2022-09-07T23:59:00.000","44417","More Details (https://recruitment.edmonton.ca/job/CITYA000C14584/Zoo-Keepers?utm_source=indeed&utm_medium=phenom-feeds)"
"Engineers & Technologists","GIS Technologist II (Engineering Technologist II)","2022-09-08T23:59:00.000","44549","More Details (https://recruitment.edmonton.ca/job/CITYA000C14656/GIS-Technologist-II-Engineering-Technologist-II?utm_source=indeed&utm_medium=phenom-feeds)"
"Leadership","Manager, SAP Centre of Excellence","2022-09-08T23:59:00.000","44559","More Details (https://recruitment.edmonton.ca/job/CITYA000C14606/Manager-SAP-Centre-of-Excellence?utm_source=indeed&utm_medium=phenom-feeds)"
"Business Professionals","Team Lead, Open City and Technology Vendor Management Office","2022-09-09T23:59:00.000","44587","More Details (https://recruitment.edmonton.ca/job/CITYA000C14683/Team-Lead-Open-City-and-Technology-Vendor-Management-Office?utm_source=indeed&utm_medium=phenom-feeds)"
"Labourers & Equipment Operators","Truck Driver III / Labourer I","2022-09-09T23:59:00.000","44547","More Details (https://recruitment.edmonton.ca/job/CITYA000C14684/Truck-Driver-III-Labourer-I?utm_source=indeed&utm_medium=phenom-feeds)"
"Planners","GIS Analyst","2022-09-09T23:59:00.000","44512","More Details (https://recruitment.edmonton.ca/job/CITYA000C14670/GIS-Analyst?utm_source=indeed&utm_medium=phenom-feeds)"
"Engineers & Technologists","Senior Traffic Engineer","2022-09-09T23:59:00.000","44581","More Details (https://recruitment.edmonton.ca/job/CITYA000C14619/Senior-Traffic-Engineer?utm_source=indeed&utm_medium=phenom-feeds)"
"Planners","Program Manager, Development Approvals & Inspections","2022-09-09T23:59:00.000","44601","More Details (https://recruitment.edmonton.ca/job/CITYA000C14665/Program-Manager-Development-Approvals-Inspections?utm_source=indeed&utm_medium=phenom-feeds)"
"Planners","Program Manager, Inspections and Compliance","2022-09-09T23:59:00.000","44624","More Details (https://recruitment.edmonton.ca/job/CITYA000C14671/Program-Manager-Inspections-and-Compliance?utm_source=indeed&utm_medium=phenom-feeds)"
"Recreation & Sports","Edmonton Valley Zoo Interpreter - Recreation Technician I","2022-09-11T23:59:00.000","44588","More Details (https://recruitment.edmonton.ca/job/CITYA000C14659/Edmonton-Valley-Zoo-Interpreter-Recreation-Technician-I?utm_source=indeed&utm_medium=phenom-feeds)"
"Leadership","Director, Chinatown Recovery","2022-09-11T23:59:00.000","44384","More Details (https://recruitment.edmonton.ca/job/CITYA000C14675/Director-Chinatown-Recovery?utm_source=indeed&utm_medium=phenom-feeds)"
"Planners","Development Permit Inspector","2022-09-12T23:59:00.000","44585","More Details (https://recruitment.edmonton.ca/job/CITYA000C14657/Development-Permit-Inspector?utm_source=indeed&utm_medium=phenom-feeds)"
"Recreation & Sports","Lifeguard","2022-09-12T23:59:00.000","44609","More Details (https://recruitment.edmonton.ca/job/CITYA000C14687/Lifeguard?utm_source=indeed&utm_medium=phenom-feeds)"
"Recreation & Sports","Capital City Clean Up Service Technician - Recreation Technician III","2022-09-12T23:59:00.000","44411","More Details (https://recruitment.edmonton.ca/job/CITYA000C14688/Capital-City-Clean-Up-Service-Technician-Recreation-Technician-III?utm_source=indeed&utm_medium=phenom-feeds)"
"Leadership","General Supervisor, Mobility Network Maintenance","2022-09-13T23:59:00.000","44560","More Details (https://recruitment.edmonton.ca/job/CITYA000C14640/General-Supervisor-Mobility-Network-Maintenance?utm_source=indeed&utm_medium=phenom-feeds)"
"Leadership","Technical Lead, Integrated Technology Solutions","2022-09-13T23:59:00.000","44399","More Details (https://recruitment.edmonton.ca/job/CITYA000C14636/Technical-Lead-Integrated-Technology-Solutions?utm_source=indeed&utm_medium=phenom-feeds)"
"Engineers & Technologists","Communications Systems Engineer in Training","2022-09-16T23:59:00.000","44205","More Details (https://recruitment.edmonton.ca/job/CITYA000C14664/Communications-Systems-Engineer-in-Training?utm_source=indeed&utm_medium=phenom-feeds)"
"Planners","Parks Planner (Planner I)","2022-09-16T23:59:00.000","44599","More Details (https://recruitment.edmonton.ca/job/CITYA000C14676/Parks-Planner-Planner-I?utm_source=indeed&utm_medium=phenom-feeds)"
"Planners","Principal Ecological Planner (Planner II)","2022-09-16T23:59:00.000","44330","More Details (https://recruitment.edmonton.ca/job/CITYA000C14677/Principal-Ecological-Planner-Planner-II?utm_source=indeed&utm_medium=phenom-feeds)"
"Business Professionals","Senior Environmental Project Manager","2022-09-16T23:59:00.000","44097","More Details (https://recruitment.edmonton.ca/job/CITYA000C14669/Senior-Environmental-Project-Manager?utm_source=indeed&utm_medium=phenom-feeds)"
"Planners","Planner I - Urban Growth & Open Space Strategy","2022-09-20T23:59:00.000","44537","More Details (https://recruitment.edmonton.ca/job/CITYA000C14649/Planner-I-Urban-Growth-Open-Space-Strategy?utm_source=indeed&utm_medium=phenom-feeds)"
"Trades","Heavy Equipment Technician - Transit","2022-11-01T23:59:00.000","44086","More Details (https://recruitment.edmonton.ca/job/CITYA000C14107/Heavy-Equipment-Technician-Transit?utm_source=indeed&utm_medium=phenom-feeds)"
"Librarians, Library Assistants, and Pages","Digital Content Coordinator - Digital Initiatives",,"44618","More Details (https://recruitment.edmonton.ca/job/CITYA000C14653/Digital-Content-Coordinator-Digital-Initiatives?utm_source=indeed&utm_medium=phenom-feeds)"
"Leadership","Chief Financial Officer",,"44565","More Details (https://recruitment.edmonton.ca/job/CITYA000C14600/Chief-Financial-Officer?utm_source=indeed&utm_medium=phenom-feeds)"
"Leadership","Executive Director, Service Design",,"44566","More Details (https://recruitment.edmonton.ca/job/CITYA000C14599/Executive-Director-Service-Design?utm_source=indeed&utm_medium=phenom-feeds)"
