"year","neighbourhood","site_type","category","target","size","number_of_tags","lir_value","lir_group_value","latitude","longitude","location","geometry_point"
"2014","Belvedere","Hot Spot","Private","Telus","Small (>1sq ft<=2sqft)","5","23","21-25","53.58772","-113.44049","
,  
(53.58772, -113.44049)","POINT (-113.44049 53.58772)"
"2013","Downtown","Random","Outline Bubble Tag - No Fill","Walls","Small (>1sq ft<=2sqft)","3","17","16-20","53.553931","-113.50143","
,  
(53.553931, -113.50143)","POINT (-113.50143 53.553931)"
"2014","Boyle Street","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","3","19","16-20","53.54418","-113.47973","
,  
(53.54418, -113.47973)","POINT (-113.47973 53.54418)"
"2014","CPR West / Strathcona Junction","Hot Spot","Private","EPCOR","Small (>1sq ft<=2sqft)","1","17","16-20","53.51596","-113.49491","
,  
(53.51596, -113.49491)","POINT (-113.49491 53.51596)"
"2014","CPR West / Strathcona Junction","Hot Spot","Private","Retail","Large (>9sq ft<=20sqft)","2","24","21-25","53.51809","-113.49641","
,  
(53.51809, -113.49641)","POINT (-113.49641 53.51809)"
"2014","Downtown","Random","Private","Private Waste - Triline","Small (>1sq ft<=2sqft)","1","16","16-20","53.53965","-113.50571","
,  
(53.53965, -113.50571)","POINT (-113.50571 53.53965)"
"2014","Downtown","Random","Private","Private Waste - BFI","Small (>1sq ft<=2sqft)","9","21","21-25","53.54477","-113.50568","
,  
(53.54477, -113.50568)","POINT (-113.50568 53.54477)"
"2014","Downtown","Random","Private","Retail","X-Small (<=1sq ft)","4","28","26-35","53.54553","-113.50195","
,  
(53.54553, -113.50195)","POINT (-113.50195 53.54553)"
"2013","Garneau","Hot Spot","Marker / Plain Graffiti","Funiture","Small (>1sq ft<=2sqft)","16","20","16-20","53.51855","-113.50817","
,  
(53.51855, -113.50817)","POINT (-113.50817 53.51855)"
"2014","Boyle Street","Random","City","Corporate property","Small (>1sq ft<=2sqft)","1","16","16-20","53.55421","-113.47547","
,  
(53.55421, -113.47547)","POINT (-113.47547 53.55421)"
"2014","Queen Alexandra","Random","City","Corporate property","Small (>1sq ft<=2sqft)","1","16","16-20","53.51019","-113.50449","
,  
(53.51019, -113.50449)","POINT (-113.50449 53.51019)"
"2014","Strathcona","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","1","26","21-25","53.51862","-113.49612","
,  
(53.51862, -113.49612)","POINT (-113.49612 53.51862)"
"2013","Downtown","Random","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)",,"20","16-20","53.54376","-113.50757","
,  
(53.54376, -113.50757)","POINT (-113.50757 53.54376)"
"2014","Westmount","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","5","20","16-20","53.55062","-113.53511","
,  
(53.55062, -113.53511)","POINT (-113.53511 53.55062)"
"2014","Ritchie","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","4","22","21-25","53.51703","-113.49213","
,  
(53.51703, -113.49213)","POINT (-113.49213 53.51703)"
"2013","Downtown","Random","Marker / Plain Graffiti","Postal box","Small (>1sq ft<=2sqft)",,"27","26-35","53.54144","-113.50466","
,  
(53.54144, -113.50466)","POINT (-113.50466 53.54144)"
"2013","Strathcona","Random","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)",,"36","36-40","53.51863","-113.49608","
,  
(53.51863, -113.49608)","POINT (-113.49608 53.51863)"
"2014","Belvedere","Hot Spot","City","ETS","Small (>1sq ft<=2sqft)","8","23","21-25","53.58772","-113.44049","
,  
(53.58772, -113.44049)","POINT (-113.44049 53.58772)"
"2013","Freewall 2 - 63 Ave / 99 St.","Hot Spot","Outline Bubble Tag - One Color","Bridges","Large (>9sq ft<=20sqft)",,"25","21-25","53.49969","-113.49133","
,  
(53.49969, -113.49133)","POINT (-113.49133 53.49969)"
"2014","Westmount","Random","Private","Multi Family Dwelling","Small (>1sq ft<=2sqft)","1","17","16-20","53.55803","-113.54041","
,  
(53.55803, -113.54041)","POINT (-113.54041 53.55803)"
"2013","Eastwood","Hot Spot","Marker / Plain Graffiti","Signs","Small (>1sq ft<=2sqft)",,"17","16-20","53.57203","-113.46132","
,  
(53.57203, -113.46132)","POINT (-113.46132 53.57203)"
"2013","Strathcona","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Med (>2sq ft<=9sqft)","4","18","16-20","53.51879","-113.49953","
,  
(53.51879, -113.49953)","POINT (-113.49953 53.51879)"
"2014","Garneau","Random","Private","Commercial","Small (>1sq ft<=2sqft)","2","16","16-20","53.51961","-113.51917","
,  
(53.51961, -113.51917)","POINT (-113.51917 53.51961)"
"2014","Strathcona","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","8","33","26-35","53.51861","-113.49536","
,  
(53.51861, -113.49536)","POINT (-113.49536 53.51861)"
"2014","Downtown","Hot Spot","City","ETS","Small (>1sq ft<=2sqft)","2","18","16-20","53.54301","-113.49699","
,  
(53.54301, -113.49699)","POINT (-113.49699 53.54301)"
"2013","Garneau","Hot Spot","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)",,"22","21-25","53.51863","-113.50683","
,  
(53.51863, -113.50683)","POINT (-113.50683 53.51863)"
"2013","Freewall 1 - 10021 -Whyte Ave","Hot Spot","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)",,"24","21-25","53.51857","-113.48936","
,  
(53.51857, -113.48936)","POINT (-113.48936 53.51857)"
"2014","Downtown","Random","Private","EPCOR","Small (>1sq ft<=2sqft)","1","23","21-25","53.54147","-113.50526","
,  
(53.54147, -113.50526)","POINT (-113.50526 53.54147)"
"2014","Westmount","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","1","17","16-20","53.54922","-113.5365","
,  
(53.54922, -113.5365)","POINT (-113.5365 53.54922)"
"2014","Downtown","Random","Private","EPCOR","Small (>1sq ft<=2sqft)","3","16","16-20","53.54273","-113.502","
,  
(53.54273, -113.502)","POINT (-113.502 53.54273)"
"2013","Queen Mary Park","Random","Marker / Plain Graffiti","Garbage Can","Small (>1sq ft<=2sqft)",,"16","16-20","53.55148","-113.51444","
,  
(53.55148, -113.51444)","POINT (-113.51444 53.55148)"
"2014","Ritchie","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","2","28","26-35","53.51744","-113.49341","
,  
(53.51744, -113.49341)","POINT (-113.49341 53.51744)"
"2014","Queen Alexandra","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","2","16","16-20","53.51755","-113.50229","
,  
(53.51755, -113.50229)","POINT (-113.50229 53.51755)"
"2014","CPR West / Strathcona Junction","Hot Spot","Private","Retail","Small (>1sq ft<=2sqft)","1","16","16-20","53.51284","-113.49682","
,  
(53.51284, -113.49682)","POINT (-113.49682 53.51284)"
"2013","Queen Alexandra","Hot Spot","Marker / Plain Graffiti","Shed","Small (>1sq ft<=2sqft)","1","14","0-15","53.5157","-113.50529","
,  
(53.5157, -113.50529)","POINT (-113.50529 53.5157)"
"2014","Queen Mary Park","Hot Spot","Private","Retail","Med (>2sq ft<=9sqft)","3","16","16-20","53.54924","-113.51869","
,  
(53.54924, -113.51869)","POINT (-113.51869 53.54924)"
"2013","Westmount","Hot Spot","Marker / Plain Graffiti","Postal box","Med (>2sq ft<=9sqft)",,"19","16-20","53.54949","-113.53261","
,  
(53.54949, -113.53261)","POINT (-113.53261 53.54949)"
"2014","Garneau","Random","Private","Commercial","Small (>1sq ft<=2sqft)","2","16","16-20","53.51961","-113.51917","
,  
(53.51961, -113.51917)","POINT (-113.51917 53.51961)"
"2014","Strathcona","Hot Spot","Private","Retail","Large (>9sq ft<=20sqft)","2","33","26-35","53.51861","-113.49536","
,  
(53.51861, -113.49536)","POINT (-113.49536 53.51861)"
"2014","Ritchie","Hot Spot","Private","EPCOR","Small (>1sq ft<=2sqft)","1","16","16-20","53.51662","-113.48903","
,  
(53.51662, -113.48903)","POINT (-113.48903 53.51662)"
"2013","Downtown","Hot Spot","Marker / Plain Graffiti","Shutter","Small (>1sq ft<=2sqft)","1","17","16-20","53.54104","-113.49857","
,  
(53.54104, -113.49857)","POINT (-113.49857 53.54104)"
"2014","Alberta Avenue","Random","Private","Private Waste - BFI","Small (>1sq ft<=2sqft)","1","24","21-25","53.55956","-113.49071","
,  
(53.55956, -113.49071)","POINT (-113.49071 53.55956)"
"2014","McCauley","Random","Private","Retail","Med (>2sq ft<=9sqft)","1","20","16-20","53.55231","-113.49064","
,  
(53.55231, -113.49064)","POINT (-113.49064 53.55231)"
"2012","Ritchie","Hot Spot","Marker / Plain Graffiti","Walls","Med (>2sq ft<=9sqft)","1","19","16-20","53.51795","-113.48837","
,  
(53.51795, -113.48837)","POINT (-113.48837 53.51795)"
"2013","Queen Alexandra","Hot Spot","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)",,"18","16-20","53.51562","-113.5063","
,  
(53.51562, -113.5063)","POINT (-113.5063 53.51562)"
"2013","Downtown","Hot Spot","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)","6","19","16-20","53.53961","-113.49583","
,  
(53.53961, -113.49583)","POINT (-113.49583 53.53961)"
"2014","CPR West / Strathcona Junction","Random","Private","Commercial","Large (>9sq ft<=20sqft)","3","26","26-35","53.50808","-113.49693","
,  
(53.50808, -113.49693)","POINT (-113.49693 53.50808)"
"2014","Downtown","Random","Private","EPCOR","Small (>1sq ft<=2sqft)","3","16","16-20","53.54273","-113.502","
,  
(53.54273, -113.502)","POINT (-113.502 53.54273)"
"2013","Downtown","Random","Marker / Plain Graffiti","Postal box","Small (>1sq ft<=2sqft)",,"26","26-35","53.5416","-113.50661","
,  
(53.5416, -113.50661)","POINT (-113.50661 53.5416)"
"2013","Belvedere","Hot Spot","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)","2","18","16-20","53.58664","-113.44106","
,  
(53.58664, -113.44106)","POINT (-113.44106 53.58664)"
"2013","Eastwood","Random","Marker / Plain Graffiti","Fence","Small (>1sq ft<=2sqft)","4","29","26-35","53.57328","-113.47623","
,  
(53.57328, -113.47623)","POINT (-113.47623 53.57328)"
"2014","Strathcona","Hot Spot","Private","EPCOR","Small (>1sq ft<=2sqft)","3","23","21-25","53.51859","-113.49701","
,  
(53.51859, -113.49701)","POINT (-113.49701 53.51859)"
"2014","Downtown","Random","Gov't","Canada Post","Small (>1sq ft<=2sqft)","2","16","16-20","53.54309","-113.50358","
,  
(53.54309, -113.50358)","POINT (-113.50358 53.54309)"
"2014","Boyle Street","Hot Spot","Private","Commercial","Small (>1sq ft<=2sqft)","1","16","16-20","53.5456","-113.48336","
,  
(53.5456, -113.48336)","POINT (-113.48336 53.5456)"
"2013","Parkdale","Hot Spot","Marker / Plain Graffiti","Walls","Med (>2sq ft<=9sqft)",,"23","21-25","53.57005","-113.46326","
,  
(53.57005, -113.46326)","POINT (-113.46326 53.57005)"
"2014","Ritchie","Hot Spot","Private","Retail","Large (>9sq ft<=20sqft)","7","26","26-35","53.5175","-113.48981","
,  
(53.5175, -113.48981)","POINT (-113.48981 53.5175)"
"2012","Strathcona","Random","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","1","20","16-20","53.52241","-113.48281","
,  
(53.52241, -113.48281)","POINT (-113.48281 53.52241)"
"2014","Downtown","Random","Private","Commercial","Med (>2sq ft<=9sqft)","1","17","16-20","-113.50738999999999","-133.50739","
,  
(-113.50738999999999, -133.50739)","POINT (-133.50739 -113.50738999999999)"
"2014","Downtown","Random","Gov't","Canada Post","Small (>1sq ft<=2sqft)","4","16","16-20","53.5448","-113.50481","
,  
(53.5448, -113.50481)","POINT (-113.50481 53.5448)"
"2012","Strathcona","Hot Spot","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","2","22","21-25","53.52092","-113.50071","
,  
(53.52092, -113.50071)","POINT (-113.50071 53.52092)"
"2013","McCauley","Random","Marker / Plain Graffiti","Walls","Med (>2sq ft<=9sqft)","2","17","16-20","53.55047","-113.49238","
,  
(53.55047, -113.49238)","POINT (-113.49238 53.55047)"
"2013","Ritchie","Random","Marker / Plain Graffiti","Fence","Med (>2sq ft<=9sqft)",,"24","21-25","53.50952","-113.4854","
,  
(53.50952, -113.4854)","POINT (-113.4854 53.50952)"
"2014","Downtown","Hot Spot","Private","EPCOR","Small (>1sq ft<=2sqft)","1","16","16-20","53.54053","-113.49652","
,  
(53.54053, -113.49652)","POINT (-113.49652 53.54053)"
"2013","Strathcona","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)",,"26","26-35","53.51856","-113.49995","
,  
(53.51856, -113.49995)","POINT (-113.49995 53.51856)"
"2013","Downtown","Random","Marker / Plain Graffiti","Postal box","X-Small (<=1sq ft)",,"27","26-35","53.54144","-113.50466","
,  
(53.54144, -113.50466)","POINT (-113.50466 53.54144)"
"2013","Queen Alexandra","Hot Spot","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)",,"16","16-20","53.51663","-113.50163","
,  
(53.51663, -113.50163)","POINT (-113.50163 53.51663)"
"2014","Strathcona","Hot Spot","City","Corporate property","Small (>1sq ft<=2sqft)","1","33","26-35","53.52111","-113.4962","
,  
(53.52111, -113.4962)","POINT (-113.4962 53.52111)"
"2013","Strathcona","Hot Spot","Outline Bubble Tag - Two Colors","Walls","Med (>2sq ft<=9sqft)",,"36","36-40","53.51863","-113.49608","
,  
(53.51863, -113.49608)","POINT (-113.49608 53.51863)"
"2013","McCauley","Random","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)","1","16","16-20","53.55161","-113.49113","
,  
(53.55161, -113.49113)","POINT (-113.49113 53.55161)"
"2014","Central McDougall","Hot Spot","Private","EPCOR","Small (>1sq ft<=2sqft)","3","18","16-20","53.55312","-113.49392","
,  
(53.55312, -113.49392)","POINT (-113.49392 53.55312)"
"2012","Alberta Avenue","Random","Marker / Plain Graffiti","Signs","Small (>1sq ft<=2sqft)","1","19","16-20","53.56426","-113.48685","
,  
(53.56426, -113.48685)","POINT (-113.48685 53.56426)"
"2014","CPR West / Strathcona Junction","Hot Spot","Private","Retail","Large (>9sq ft<=20sqft)","2","24","21-25","53.51809","-113.49641","
,  
(53.51809, -113.49641)","POINT (-113.49641 53.51809)"
"2013","Freewall 1 - 10021 -Whyte Ave","Hot Spot","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)",,"22","21-25","53.51754","-113.48933","
,  
(53.51754, -113.48933)","POINT (-113.48933 53.51754)"
