"neighborhood","site_type","category","target","size","number_of_tags","lir_value","latitude","longitude","location","group_value","icon","geometry_point"
"Oliver","Hot Spot","Marker / Plain Graffiti","Pole","Small (>1sq ft<=2sqft)","2","22","53.5458666666667","-113.5351","
,  
(53.5458666666667, -113.5351)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.5351 53.5458666666667)"
"Belvedere","Hot Spot","Etching","Phone booth","Small (>1sq ft<=2sqft)","3","15","53.5852166666667","-113.4429","
,  
(53.5852166666667, -113.4429)","0-15","https://data.edmonton.ca/api/assets/B62CB72B-1564-47FD-97E1-FAA8F5DDE24B","POINT (-113.4429 53.5852166666667)"
"Beacon Heights","Hot Spot","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","2","18","53.5767166666667","-113.397933333333","
,  
(53.5767166666667, -113.397933333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.397933333333 53.5767166666667)"
"Queen Mary Park","Hot Spot","Marker / Plain Graffiti","Signs","Small (>1sq ft<=2sqft)","13","28","53.5502333333333","-113.5213","
,  
(53.5502333333333, -113.5213)","26-35","https://data.edmonton.ca/api/assets/DD3424DE-2981-4E84-858E-D6035AEAEE4D","POINT (-113.5213 53.5502333333333)"
"Downtown","Random","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","2","19","53.5396166666667","-113.503883333333","
,  
(53.5396166666667, -113.503883333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.503883333333 53.5396166666667)"
"Strathcona","Random","Marker / Plain Graffiti","Signs","X-Small (<=1sq ft)","1","16","53.52485","-113.488633333333","
,  
(53.52485, -113.488633333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.488633333333 53.52485)"
"Ritchie","Hot Spot","Marker / Plain Graffiti","Phone booth","Small (>1sq ft<=2sqft)","1","18","53.518","-113.487116666667","
,  
(53.518, -113.487116666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.487116666667 53.518)"
"Central McDougall","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","18","53.5517","-113.505616666667","
,  
(53.5517, -113.505616666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.505616666667 53.5517)"
"Strathcona","Hot Spot","Marker / Plain Graffiti","Ventilation Unit","Small (>1sq ft<=2sqft)","1","24","53.5187","-113.502266666667","
,  
(53.5187, -113.502266666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.502266666667 53.5187)"
"Boyle Street","Random","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","1","20","53.5432333333333","-113.477983333333","
,  
(53.5432333333333, -113.477983333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.477983333333 53.5432333333333)"
"Downtown","Random","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)","2","23","53.5432","-113.505333333333","
,  
(53.5432, -113.505333333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.505333333333 53.5432)"
"Central McDougall","Random","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","19","53.5503833333333","-113.5076","
,  
(53.5503833333333, -113.5076)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.5076 53.5503833333333)"
"Garneau","Random","Marker / Plain Graffiti","Benches","Small (>1sq ft<=2sqft)","1","23","53.5182","-113.51895","
,  
(53.5182, -113.51895)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.51895 53.5182)"
"CPR West","Random","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)","1","19","53.5061","-113.496833333333","
,  
(53.5061, -113.496833333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.496833333333 53.5061)"
"Belvedere","Hot Spot","Marker / Plain Graffiti","Garage","X-Small (<=1sq ft)","1","16","53.5920833333333","-113.4413","
,  
(53.5920833333333, -113.4413)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.4413 53.5920833333333)"
"Beacon Heights","Hot Spot","Marker / Plain Graffiti","Garage","Small (>1sq ft<=2sqft)","1","17","53.5727666666667","-113.3951","
,  
(53.5727666666667, -113.3951)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.3951 53.5727666666667)"
"Boyle Street","Hot Spot","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)","1","16","53.5492666666667","-113.475716666667","
,  
(53.5492666666667, -113.475716666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.475716666667 53.5492666666667)"
"Queen Mary Park","Random","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","20","53.5534333333333","-113.514833333333","
,  
(53.5534333333333, -113.514833333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.514833333333 53.5534333333333)"
"Boyle Street","Random","Marker / Plain Graffiti","Door","Small (>1sq ft<=2sqft)","1","17","53.5431","-113.482483333333","
,  
(53.5431, -113.482483333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.482483333333 53.5431)"
"Strathcona","Hot Spot","Marker / Plain Graffiti","Signs","Small (>1sq ft<=2sqft)","1","17","53.5187","-113.5061","
,  
(53.5187, -113.5061)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.5061 53.5187)"
"Downtown","Hot Spot","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)","3","24","53.5386333333333","-113.499366666667","
,  
(53.5386333333333, -113.499366666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.499366666667 53.5386333333333)"
"Queen Alexandra","Hot Spot","Marker / Plain Graffiti","Walls","Large (>9sq ft<=20sqft)","1","21","53.5171333333333","-113.5034","
,  
(53.5171333333333, -113.5034)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.5034 53.5171333333333)"
"McCauley","Random","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)","1","18","53.5488166666667","-113.48845","
,  
(53.5488166666667, -113.48845)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.48845 53.5488166666667)"
"Belvedere","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","3","13","53.5922166666667","-113.4313","
,  
(53.5922166666667, -113.4313)","0-15","https://data.edmonton.ca/api/assets/B62CB72B-1564-47FD-97E1-FAA8F5DDE24B","POINT (-113.4313 53.5922166666667)"
"CPR West","Random","Outline Bubble Tag - One Color","Garbage Enclosure","Large (>9sq ft<=20sqft)","1","20","53.5015666666667","-113.495966666667","
,  
(53.5015666666667, -113.495966666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.495966666667 53.5015666666667)"
"Westmount","Hot Spot","Marker / Plain Graffiti","Garage Door","Small (>1sq ft<=2sqft)","1","22","53.5506","-113.53245","
,  
(53.5506, -113.53245)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.53245 53.5506)"
"Downtown","Random","Marker / Plain Graffiti","Barricades","Med (>2sq ft<=9sqft)","1","20","53.5416666666667","-113.504583333333","
,  
(53.5416666666667, -113.504583333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.504583333333 53.5416666666667)"
"Belvedere","Hot Spot","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)","5","17","53.5888166666667","-113.435216666667","
,  
(53.5888166666667, -113.435216666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.435216666667 53.5888166666667)"
"Queen Alexandra","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","18","53.5174833333333","-113.499183333333","
,  
(53.5174833333333, -113.499183333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.499183333333 53.5174833333333)"
"Downtown","Random","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","4","21","53.5437166666667","-113.507516666667","
,  
(53.5437166666667, -113.507516666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.507516666667 53.5437166666667)"
"Oliver","Hot Spot","Artistic Tag","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","19","53.5417","-113.534983333333","
,  
(53.5417, -113.534983333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.534983333333 53.5417)"
"Downtown","Hot Spot","Artistic Tag","Garage Door","X-Small (<=1sq ft)","3","20","53.5402666666667","-113.497383333333","
,  
(53.5402666666667, -113.497383333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.497383333333 53.5402666666667)"
"McCauley","Hot Spot","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","1","20","53.55575","-113.4846","
,  
(53.55575, -113.4846)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.4846 53.55575)"
"Garneau","Random","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)","2","22","53.5192","-113.520416666667","
,  
(53.5192, -113.520416666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.520416666667 53.5192)"
"McCauley","Random","Artistic Tag","Utility Box","Small (>1sq ft<=2sqft)","6","20","53.5533833333333","-113.49005","
,  
(53.5533833333333, -113.49005)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.49005 53.5533833333333)"
"Downtown","Random","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","5","22","53.5436666666667","-113.5021","
,  
(53.5436666666667, -113.5021)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.5021 53.5436666666667)"
"Inglewood","Random","Marker / Plain Graffiti","Fence","Med (>2sq ft<=9sqft)","1","21","53.5658833333333","-113.544533333333","
,  
(53.5658833333333, -113.544533333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.544533333333 53.5658833333333)"
"Downtown","Random","Marker / Plain Graffiti","Fence","Small (>1sq ft<=2sqft)","1","22","53.5397333333333","-113.508166666667","
,  
(53.5397333333333, -113.508166666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.508166666667 53.5397333333333)"
"Boyle Street","Random","Marker / Plain Graffiti","Signs","Small (>1sq ft<=2sqft)","1","20","53.5448833333333","-113.482233333333","
,  
(53.5448833333333, -113.482233333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.482233333333 53.5448833333333)"
"McCauley","Random","Marker / Plain Graffiti","Walls","X-Large (>20sqft)","1","28","53.5478166666667","-113.487733333333","
,  
(53.5478166666667, -113.487733333333)","26-35","https://data.edmonton.ca/api/assets/DD3424DE-2981-4E84-858E-D6035AEAEE4D","POINT (-113.487733333333 53.5478166666667)"
"Central McDougall","Random","Marker / Plain Graffiti","Door","Small (>1sq ft<=2sqft)","3","21","53.5501333333333","-113.507616666667","
,  
(53.5501333333333, -113.507616666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.507616666667 53.5501333333333)"
"Boyle Street","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","3","16","53.5375666666667","-113.474266666667","
,  
(53.5375666666667, -113.474266666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.474266666667 53.5375666666667)"
"Alberta Avenue","Hot Spot","Artistic Tag","Fence","Small (>1sq ft<=2sqft)","1","18","53.57085","-113.485533333333","
,  
(53.57085, -113.485533333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.485533333333 53.57085)"
"Beacon Heights","Hot Spot","Marker / Plain Graffiti","Bus Shelter","Small (>1sq ft<=2sqft)","2","15","53.57035","-113.394366666667","
,  
(53.57035, -113.394366666667)","0-15","https://data.edmonton.ca/api/assets/B62CB72B-1564-47FD-97E1-FAA8F5DDE24B","POINT (-113.394366666667 53.57035)"
"Boyle Street","Hot Spot","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","4","19","53.5501","-113.474683333333","
,  
(53.5501, -113.474683333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.474683333333 53.5501)"
"Inglewood","Random","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","19","53.5656333333333","-113.544533333333","
,  
(53.5656333333333, -113.544533333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.544533333333 53.5656333333333)"
"Alberta Avenue","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","2","17","53.5706666666667","-113.481933333333","
,  
(53.5706666666667, -113.481933333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.481933333333 53.5706666666667)"
"McCauley","Random","Marker / Plain Graffiti","Walls","Small (>1sq ft<=2sqft)","1","15","53.55155","-113.489916666667","
,  
(53.55155, -113.489916666667)","0-15","https://data.edmonton.ca/api/assets/B62CB72B-1564-47FD-97E1-FAA8F5DDE24B","POINT (-113.489916666667 53.55155)"
"Ritchie","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","21","53.5161166666667","-113.49295","
,  
(53.5161166666667, -113.49295)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.49295 53.5161166666667)"
"Westmount","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","23","53.5467666666667","-113.534916666667","
,  
(53.5467666666667, -113.534916666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.534916666667 53.5467666666667)"
"Garneau","Random","Marker / Plain Graffiti","Pole","X-Small (<=1sq ft)","2","21","53.5207333333333","-113.517833333333","
,  
(53.5207333333333, -113.517833333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.517833333333 53.5207333333333)"
"Strathcona","Hot Spot","Marker / Plain Graffiti","Signs","Small (>1sq ft<=2sqft)","1","22","53.52005","-113.500183333333","
,  
(53.52005, -113.500183333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.500183333333 53.52005)"
"Queen Alexandra","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","2","17","53.51475","-113.4987","
,  
(53.51475, -113.4987)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.4987 53.51475)"
"Belvedere","Hot Spot","Marker / Plain Graffiti","Signs","Small (>1sq ft<=2sqft)","1","17","53.5862833333333","-113.44185","
,  
(53.5862833333333, -113.44185)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.44185 53.5862833333333)"
"Downtown","Random","Marker / Plain Graffiti","Fence","Large (>9sq ft<=20sqft)","2","17","53.545","-113.507533333333","
,  
(53.545, -113.507533333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.507533333333 53.545)"
"Ritchie","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","21","53.5170666666667","-113.484666666667","
,  
(53.5170666666667, -113.484666666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.484666666667 53.5170666666667)"
"Parkdale","Random","Marker / Plain Graffiti","Signs","Small (>1sq ft<=2sqft)","1","19","53.5642666666667","-113.471633333333","
,  
(53.5642666666667, -113.471633333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.471633333333 53.5642666666667)"
"Queen Alexandra","Random","Etching","Bus Shelter","Small (>1sq ft<=2sqft)","2","16","53.5088166666667","-113.51175","
,  
(53.5088166666667, -113.51175)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.51175 53.5088166666667)"
"Central McDougall","Hot Spot","Artistic Tag","Door","Small (>1sq ft<=2sqft)","1","21","53.5547333333333","-113.49475","
,  
(53.5547333333333, -113.49475)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.49475 53.5547333333333)"
"Westmount","Random","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","3","20","53.5586833333333","-113.544516666667","
,  
(53.5586833333333, -113.544516666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.544516666667 53.5586833333333)"
"Westmount","Random","Marker / Plain Graffiti","Door","Small (>1sq ft<=2sqft)","1","24","53.55595","-113.540383333333","
,  
(53.55595, -113.540383333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.540383333333 53.55595)"
"Queen Alexandra","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","X-Small (<=1sq ft)","1","19","53.51665","-113.505583333333","
,  
(53.51665, -113.505583333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.505583333333 53.51665)"
"Downtown","Random","Marker / Plain Graffiti","Signs","Small (>1sq ft<=2sqft)","8","19","53.5449666666667","-113.5028","
,  
(53.5449666666667, -113.5028)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.5028 53.5449666666667)"
"Strathcona","Random","Marker / Plain Graffiti","Utility Box","Small (>1sq ft<=2sqft)","1","20","53.5251833333333","-113.488633333333","
,  
(53.5251833333333, -113.488633333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.488633333333 53.5251833333333)"
"Strathcona","Random","Marker / Plain Graffiti","Garage Door","X-Small (<=1sq ft)","1","16","53.5253833333333","-113.483283333333","
,  
(53.5253833333333, -113.483283333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.483283333333 53.5253833333333)"
"Central McDougall","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","19","53.5513","-113.50745","
,  
(53.5513, -113.50745)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.50745 53.5513)"
"Eastwood","Hot Spot","Artistic Tag","Walls","Small (>1sq ft<=2sqft)","1","18","53.5719","-113.476516666667","
,  
(53.5719, -113.476516666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.476516666667 53.5719)"
"McCauley","Random","Marker / Plain Graffiti","Door","Small (>1sq ft<=2sqft)","2","21","53.5061166666667","-113.490466666667","
,  
(53.5061166666667, -113.490466666667)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.490466666667 53.5061166666667)"
"Downtown","Hot Spot","Marker / Plain Graffiti","Signs","Small (>1sq ft<=2sqft)","2","19","53.5411","-113.498033333333","
,  
(53.5411, -113.498033333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.498033333333 53.5411)"
"Boyle Street","Random","Marker / Plain Graffiti","Pole","Small (>1sq ft<=2sqft)","1","20","53.5473166666667","-113.483266666667","
,  
(53.5473166666667, -113.483266666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.483266666667 53.5473166666667)"
"Eastwood","Hot Spot","Marker / Plain Graffiti","Postal Box","Small (>1sq ft<=2sqft)","1","18","53.57655","-113.476433333333","
,  
(53.57655, -113.476433333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.476433333333 53.57655)"
"Downtown","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","1","21","53.5421666666667","-113.498783333333","
,  
(53.5421666666667, -113.498783333333)","21-25","https://data.edmonton.ca/api/assets/90C2947D-80A4-47FA-A657-D66B1F631001","POINT (-113.498783333333 53.5421666666667)"
"Queen Mary Park","Hot Spot","Marker / Plain Graffiti","Walls","Med (>2sq ft<=9sqft)","3","16","53.5517166666667","-113.5204","
,  
(53.5517166666667, -113.5204)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.5204 53.5517166666667)"
"Downtown","Hot Spot","Marker / Plain Graffiti","Disposal Bin - Small","Small (>1sq ft<=2sqft)","3","19","53.5403833333333","-113.4973","
,  
(53.5403833333333, -113.4973)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.4973 53.5403833333333)"
"Parkdale","Hot Spot","Marker / Plain Graffiti","Garage","Med (>2sq ft<=9sqft)","1","18","53.5653666666667","-113.4688","
,  
(53.5653666666667, -113.4688)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.4688 53.5653666666667)"
"Queen Alexandra","Random","Marker / Plain Graffiti","Bus Shelter","Small (>1sq ft<=2sqft)","1","16","53.5084833333333","-113.512033333333","
,  
(53.5084833333333, -113.512033333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.512033333333 53.5084833333333)"
"Central McDougall","Random","Marker / Plain Graffiti","Bus Shelter","Small (>1sq ft<=2sqft)","2","20","53.5530333333333","-113.510433333333","
,  
(53.5530333333333, -113.510433333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.510433333333 53.5530333333333)"
"Inglewood","Hot Spot","Marker / Plain Graffiti","Newspaper Box","Small (>1sq ft<=2sqft)","1","18","53.56525","-113.536466666667","
,  
(53.56525, -113.536466666667)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.536466666667 53.56525)"
"Garneau","Random","Marker / Plain Graffiti","Disposal Bin - Small",,"3","20","53.51955","-113.516133333333","
,  
(53.51955, -113.516133333333)","16-20","https://data.edmonton.ca/api/assets/845C085B-8030-40AD-A167-79B2197D99E6","POINT (-113.516133333333 53.51955)"
