NAME,ADDRESS,LATITUDE,LONGITUDE,LOCATION,Neighbourhood Boundaries : 2019,Roadway Maintenance Area Polygon,"Edmonton Public School Board (EPSB) Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","Edmonton Catholic School District Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","City of Edmonton - Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)",Wards,Zip Codes
Dovercourt,,53.576002595535101,-113.559368035983,"(53.5760025955351, -113.559368035983)",49,215,3,1,5,2,
Duggan,,53.473116328281797,-113.505705013799,"(53.4731163282818, -113.505705013799)",143,20,6,6,2,10,
Dunluce,,53.623920739538299,-113.525920086469,"(53.6239207395383, -113.525920086469)",190,122,1,1,6,3,
Eastwood,11803 - 86 Street NW,53.5706772506989,-113.472381732104,"(53.5706772506989, -113.472381732104)",35,155,4,3,10,7,
Elmwood,,53.516203648364403,-113.60676105045501,"(53.5162036483644, -113.606761050455)",9,98,5,4,8,5,
Elmwood Park,,53.581927939402199,-113.45722435643,"(53.5819279394022, -113.45722435643)",207,154,4,3,10,7,
Empire Park,,53.486431929397398,-113.508854130953,"(53.4864319293974, -113.508854130953)",26,19,6,5,2,10,
Evansdale,,53.6103515029832,-113.480974568397,"(53.6103515029832, -113.480974568397)",1,162,1,2,6,3,
Forest Heights,,53.542923939806997,-113.45124083364701,"(53.542923939807, -113.451240833647)",293,1,4,5,11,8,
Fraser,14720-21 Street,53.611123414640197,-113.373800128745,"(53.6111234146402, -113.373800128745)",321,210,2,3,7,4,
Fulton Place,,53.546604174077402,-113.42530236951799,"(53.5466041740774, -113.425302369518)",67,103,4,5,11,8,
Glengarry,,53.594787450308402,-113.47635796805,"(53.5947874503084, -113.47635796805)",12,157,1,2,10,7,
Glenora,,53.547047083673199,-113.557088504346,"(53.5470470836732, -113.557088504346)",139,196,3,5,9,6,
Glenwood,,53.5352373795563,-113.605257922153,"(53.5352373795563, -113.605257922153)",31,93,5,1,1,1,
Gold Bar,,53.5485995885874,-113.41434746195399,"(53.5485995885874, -113.414347461954)",239,30,4,5,11,8,
Grandview Heights,,53.499864578543502,-113.542240146829,"(53.4998645785435, -113.542240146829)",277,185,6,5,2,10,
Greenfield,,53.473933914945697,-113.526650836009,"(53.4739339149457, -113.526650836009)",47,172,6,6,2,10,
Grovenor,,53.546126910329399,-113.56814500665701,"(53.5461269103294, -113.568145006657)",29,196,3,1,9,6,
Hairsine,,53.604040284260201,-113.389765355051,"(53.6040402842602, -113.389765355051)",144,184,2,3,7,4,
Hazeldean,,53.503263742206101,-113.47835461906701,"(53.5032637422061, -113.478354619067)",272,67,7,5,3,11,
Highlands And District Community League,,53.5678697388553,-113.43412027632,"(53.5678697388553, -113.43412027632)",8,168,4,3,10,7,
High Park,,53.557336555942001,-113.587995811658,"(53.557336555942, -113.587995811658)",6,188,3,1,1,1,
Holyrood,,53.531440462134803,-113.45191428650899,"(53.5314404621348, -113.451914286509)",152,91,7,5,11,8,
Homesteader,,53.586300433022501,-113.409233791289,"(53.5863004330225, -113.409233791289)",233,29,2,3,7,4,
Idywylde,,53.523035117276201,-113.451801830086,"(53.5230351172762, -113.451801830086)",22,80,7,5,11,8,
Inglewood,,53.566511555237199,-113.53930313200701,"(53.5665115552372, -113.539303132007)",104,48,3,1,5,2,
Jasper Park,,53.521097805737,-113.584813918623,"(53.521097805737, -113.584813918623)",39,83,5,4,1,1,
Kennilworth,,53.522654603309597,-113.43699447618501,"(53.5226546033096, -113.436994476185)",266,75,7,5,11,8,
Kensington,,53.596088382241,-113.53148083510099,"(53.596088382241, -113.531480835101)",253,49,1,1,5,2,
Kilkenny,14910 72 Street,53.610599830494998,-113.45043372195801,"(53.610599830495, -113.450433721958)",167,166,2,3,6,3,
Killarney Community League,,53.590516926203499,-113.47586851653401,"(53.5905169262035, -113.475868516534)",38,152,1,2,10,7,
King Edward Park,,53.513615980010002,-113.458754277381,"(53.51361598001, -113.458754277381)",374,74,7,5,3,11,
King Edward Park Community League,8008 - 81 STREET NW,53.516482209732501,-113.452573900245,"(53.5164822097325, -113.452573900245)",374,74,7,5,3,11,
Knottwood,,53.446117218697601,-113.46032153189699,"(53.4461172186976, -113.460321531897)",118,34,9,7,3,11,
Lago Lindo and Klarvatten,17123 95 Street,53.634651034008598,-113.486797386747,"(53.6346510340086, -113.486797386747)",299,190,1,2,6,3,
Lakewood,,53.4612688623941,-113.442528614956,"(53.4612688623941, -113.442528614956)",53,56,9,7,3,11,
Lansdowne,,53.486996335322203,-113.54555892550199,"(53.4869963353222, -113.545558925502)",263,185,6,5,2,10,
La Perle,,53.532779433192999,-113.64459175667,"(53.532779433193, -113.64459175667)",132,159,3,4,1,1,
Lauderdale,,53.589039733899902,-113.503753617515,"(53.5890397338999, -113.503753617515)",36,223,1,2,5,2,
Laurier Heights,,53.516876233618703,-113.568767982152,"(53.5168762336187, -113.568767982152)",172,23,5,5,8,5,
Leefield,,53.469329078632597,-113.45399092857301,"(53.4693290786326, -113.453990928573)",40,239,7,7,3,11,
Lendrum,,53.493930079637003,-113.524693995913,"(53.493930079637, -113.524693995913)",51,197,6,5,2,10,
Lessard,,53.493694956122802,-113.62342948990199,"(53.4936949561228, -113.623429489902)",137,43,5,4,8,5,
Londonderry,14224 - 74 Street,53.6054451896199,-113.455490369009,"(53.6054451896199, -113.455490369009)",15,165,2,3,10,7,
Lorelei/Beaumaris,,53.623754360288402,-113.502912062614,"(53.6237543602884, -113.502912062614)",191,236,1,2,6,3,
Lynnwood,,53.516708274790901,-113.589605444169,"(53.5167082747909, -113.589605444169)",241,116,5,4,8,5,
Malmo,,53.485554166432301,-113.531276620249,"(53.4855541664323, -113.531276620249)",148,197,6,5,2,10,
Mayfield,,53.5547887061499,-113.59850491121,"(53.5547887061499, -113.59850491121)",57,87,3,1,1,1,
McKernan,11341 - 78 Ave NW,53.5138677398064,-113.525421809696,"(53.5138677398064, -113.525421809696)",59,18,6,5,11,8,
McLeod Community League,,53.6098627412347,-113.430912026524,"(53.6098627412347, -113.430912026524)",149,182,2,3,7,4,
McQueen,,53.554140255744599,-113.57126330517499,"(53.5541402557446, -113.571263305175)",7,195,3,1,9,6,
Meadowlark,,53.526033012076397,-113.597401135848,"(53.5260330120764, -113.597401135848)",27,99,5,4,1,1,
Millhurst,,53.450008477650002,-113.42933942161299,"(53.45000847765, -113.429339421613)",245,14,9,7,3,11,
Millhurst Skate Shack,,53.441205350404999,-113.429601216156,"(53.441205350405, -113.429601216156)",251,14,9,7,3,11,
Montrose Community League (1992),,53.5730322355517,-113.433570889243,"(53.5730322355517, -113.433570889243)",226,174,4,3,10,7,
Newton,5520 121 Avenue,53.575496255212698,-113.426570323959,"(53.5754962552127, -113.426570323959)",236,174,4,3,10,7,
N. Millbourne,,53.479733372561597,-113.447456830023,"(53.4797333725616, -113.447456830023)",58,240,7,7,3,11,
North Glenora,,53.555525286450496,-113.55685584128,"(53.5555252864505, -113.55685584128)",14,195,3,5,9,6,
North Glenora,,53.5552149578048,-113.55792599719599,"(53.5552149578048, -113.557925997196)",14,195,3,5,9,6,
Northmount,9208 - 140 Avenue,53.603411203858798,-113.482338307197,"(53.6034112038588, -113.482338307197)",2,161,1,2,10,7,
Ogilvie Ridge Community League,,53.463771799768203,-113.562940968413,"(53.4637717997682, -113.562940968413)",264,160,6,6,12,9,
Oliver,,53.545487738407303,-113.52544636815701,"(53.5454877384073, -113.525446368157)",182,144,4,5,9,6,
Ottewell,,53.530956252005701,-113.424948486803,"(53.5309562520057, -113.424948486803)",23,123,7,5,11,8,
Parkallen,,53.502646684333499,-113.51719472462599,"(53.5026466843335, -113.517194724626)",17,18,6,5,2,10,
Parkdale/Cromdale,11335-85 Street,53.5636021450877,-113.471524569002,"(53.5636021450877, -113.471524569002)",147,150,4,3,10,7,
Parkview,,53.525839932478,-113.57017310211199,"(53.525839932478, -113.570173102112)",32,115,5,5,1,1,
Pleasantview,,53.494511517263,-113.511111447462,"(53.494511517263, -113.511111447462)",50,19,6,5,2,10,
Prince Charles,,53.574940348154101,-113.53750375201599,"(53.5749403481541, -113.537503752016)",18,106,3,1,5,2,
Queen Alexandra,,53.5116400819944,-113.49964171257599,"(53.5116400819944, -113.499641712576)",13,10,6,5,11,8,
Queen Mary Park Community League,,53.554321565738398,-113.523871920993,"(53.5543215657384, -113.523871920993)",179,47,3,5,9,6,
Ridgewood,,53.4687619701944,-113.408215595115,"(53.4687619701944, -113.408215595115)",44,65,7,7,4,12,
Rio Terrace,,53.508257116901099,-113.588470821461,"(53.5082571169011, -113.588470821461)",68,16,5,4,8,5,
Ritchie,,53.514053821428497,-113.48256156584,"(53.5140538214285, -113.48256156584)",156,66,7,5,3,11,
Riverbend (Brookside Hall),5320 - 143 Street NW,53.491440204108301,-113.568260699617,"(53.4914402041083, -113.568260699617)",240,180,6,6,12,9,
Riverbend (Hall 1),258 Rhatigan Road East,53.474404739383097,-113.583140444696,"(53.4744047393831, -113.583140444696)",71,64,6,6,12,9,
Riverdale,,53.541857692913403,-113.47208896452101,"(53.5418576929134, -113.472088964521)",352,153,4,5,9,6,
Rossdale,10135 - 96 Ave,53.532278503625299,-113.49501549417199,"(53.5322785036253, -113.495015494172)",366,24,4,5,9,6,
Rosslyn,,53.594693681396699,-113.511845026177,"(53.5946936813967, -113.511845026177)",37,224,1,2,5,2,
Royal Gardens,,53.4777973587993,-113.535871030024,"(53.4777973587993, -113.535871030024)",110,13,6,6,2,10,
Sherbrooke,,53.575360142379203,-113.548398468081,"(53.5753601423792, -113.548398468081)",48,107,3,1,5,2,
Sherbrooke,,53.576073744859301,-113.547058114965,"(53.5760737448593, -113.547058114965)",48,107,3,1,5,2,
South Clareview Community League,,53.5939855823312,-113.391226995525,"(53.5939855823312, -113.391226995525)",391,199,2,3,7,4,
Southwood,,53.441421880927898,-113.404729215015,"(53.4414218809279, -113.404729215015)",186,7,9,7,4,12,
Spruce Avenue,10240 - 115 Avenue,53.565997559439801,-113.497611718868,"(53.5659975594398, -113.497611718868)",4,151,3,1,5,2,
Steele Heights,5825 140 Ave,53.602243294607902,-113.43204780041999,"(53.6022432946079, -113.43204780042)",24,181,2,3,7,4,
Steinhauer,,53.464352474332003,-113.50553745800001,"(53.464352474332, -113.505537458)",274,173,6,6,2,10,
Strathcona Centre,,53.522312554631199,-113.493729657866,"(53.5223125546312, -113.493729657866)",315,12,6,5,11,8,
Strathearn,,53.5326135185868,-113.46436913124199,"(53.5326135185868, -113.464369131242)",342,126,4,5,11,8,
Twin Parks,20 Park Ridge Cresent,53.499970604022202,-113.36643241359,"(53.4999706040222, -113.36643241359)",295,39,7,5,3,11,
Wellington,,53.596472913938499,-113.549703214061,"(53.5964729139385, -113.549703214061)",86,50,1,1,5,2,
West Meadowlark,,53.529964828057402,-113.606963090199,"(53.5299648280574, -113.606963090199)",92,93,5,4,1,1,
Westmount,,53.555240452703302,-113.54427471388099,"(53.5552404527033, -113.544274713881)",164,198,3,5,9,6,
Westmount,,53.556406253618498,-113.54196916296701,"(53.5564062536185, -113.541969162967)",164,198,3,5,9,6,
Westridge WolfWillow,,53.506258329058603,-113.604973252276,"(53.5062583290586, -113.604973252276)",221,179,5,4,8,5,
Westwood,12139 - 105 Street,53.576564179635,-113.500722821656,"(53.576564179635, -113.500722821656)",5,151,3,1,5,2,
Willowby,,53.497427685475202,-113.637636489607,"(53.4974276854752, -113.637636489607)",69,25,5,4,8,5,
Windsor Park,,53.523378561477898,-113.53546225675299,"(53.5233785614779, -113.535462256753)",176,146,6,5,11,8,
WJP Sherwood,,53.5336756558182,-113.58412196617201,"(53.5336756558182, -113.584121966172)",91,187,5,1,1,1,
WJP Sherwood,,53.528895540497103,-113.587919957316,"(53.5288955404971, -113.587919957316)",45,83,5,4,1,1,
Woodcroft,,53.564653463294398,-113.56271188313499,"(53.5646534632944, -113.562711883135)",19,209,3,1,5,2,
Woodvale,,53.474257236859103,-113.426925585246,"(53.4742572368591, -113.426925585246)",46,57,7,7,3,11,
Yellowbird (East) Community League,,53.448701260274902,-113.504907575975,"(53.4487012602749, -113.504907575975)",163,109,8,6,2,10,
