"row_id","site_id","location_description","direction","speed_limit","speed_unit_of_measure","minimum_speed_detection_setting","maximum_speed_detection_setting","log_timestamp","vehicle_count_for_log_interval","speed_range_for_bin","bin_number","minimum_speed_for_bin_number","maximum_speed_for_bin_number","bin_over_speed_limit_flag","vehicle_count_at_slowest_speed_detected","vehicle_count_at_highest_speed_detected"
"DFS135-2017071210:10:30-08","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:10:00.000","46","5","8","60","64","2","0","0"
"DFS135-2017071210:10:30-09","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:10:00.000","46","5","9","65","69","2","0","0"
"DFS135-2017071210:10:30-10","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:10:00.000","46","156","10","70","225","2","0","0"
"DFS135-2017071210:25:30-01","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:25:00.000","54","24","1","6","29","0","15","2"
"DFS135-2017071210:25:30-02","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:25:00.000","54","5","2","30","34","0","7","4"
"DFS135-2017071210:25:30-03","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:25:00.000","54","5","3","35","39","0","13","8"
"DFS135-2017071210:25:30-04","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:25:00.000","54","5","4","40","44","0","10","13"
"DFS135-2017071210:25:30-05","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:25:00.000","54","5","5","45","49","0","7","11"
"DFS135-2017071210:25:30-06","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:25:00.000","54","5","6","50","54","1","2","12"
"DFS135-2017071210:25:30-07","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T10:25:00.000","54","5","7","55","59","2","0","3"
