"job_title","minimum_annual_salary","maximum_annual_salary","permanent_position_count","temporary_position_count"
"Chief of Investigation","156180","156180","1",
"Chief of Logistical Services","156182","156182","1",
"Chief of Training","156180","156180","1",
"Civic Agencies Coordinator","68189","85193","1",
"Clerk I","38394","47440","2","1"
"Clerk I - 8 Hours","43000","53135",,"2"
"Clerk II","41690","51769","84","21"
"Clerk II - 8 Hours","46690","57973","13","10"
"Clerk III","47440","59485","159","7"
"Clerk III - 8 Hours","53135","66626","143","18"
"Clerk IV","56825","71381","29","1"
"Clerk IV - 8 Hours","63646","79943","9","1"
"Clerk Stenographer III","47440","59485",,"1"
"Coin Processing Admin - 8hrs","72629","91289","1",
"Coin Processing Tech - 8hrs","53135","66626","3",
"Comm Serv Crew Leader","75011","75011","19","5"
"Comm Serv Crew Leader-Licensed","77634","77634","7","3"
"Comm Serv Team Leader","76486","88295","22","2"
"Comm Serv Team Leader-Licensed","79185","91440","3",
"Community Service Operator","45782","56519","31",
"Composing Equipment Oper - 8hr","53135","66626","1",
"Composing Equipment Operator","47440","59485",,"2"
"Computer Support Supervisor","68189","85193","3",
"ComputerSupport Supervisor 8hr","76373","95415","3",
"Computer Support Technician","56825","71381","5",
"Computer Support Technician-8h","63646","79943","14","1"
"Com Serv Cr Lead/Team Lead","75011","88295","5",
"Com Serv Cr Lead/Team Lead Lic","75011","91440","4",
"ComSv Crew Leader/Gardener","64143","75011","2",
"ComSv Cr Lead Li /Team Lead Li","77634","91440","4",
"Concrete worker/Equip Oper II","65929","66960","12",
"Concrete Worker I/Labourer II","63442","66960","7",
"Const Project Inspector I","61151","80213",,"2"
"Construction Safety & Trng Cor","68189","85193","7","1"
"Construction Supervisor","84232","86604","1",
"Contract Administrator","51769","64846","3",
"Contract Administrator-8hrs","57973","72629","1","1"
"Contract Inspector II","71199","71199","4",
"Corp Sec Peace Officer II","75358","86316","34","1"
"Corp Sec Peace Officer III(TL)","94029","94029","11","1"
"Courier - 8 Hours","46690","57973","7",
"Curatorial Assistant","71199","76661","3",
"Custodial Services Inspector","68818","86604","3","1"
"Custodial Worker","40793","40793","82","11"
"Data Storage Operator - 8hrs","53135","66626","1",
"DATS Operator FT","53570","69466","119",
"DATS Operator up to 20 hr/wk","53570","69466",,"2"
"DATS Operator up to 30 hr/wk","53570","69466",,"9"
"DATS Service Specialist - 8 hr","61064","76373","2",
"Development Control Officer","80769","102060","1",
"Development Services Technicia","54526","68189","10","5"
"Dispatcher","61064","76373","11",
"Dispatcher Pool","88884","88884","24",
"Dispatch Training Captain","127595","127595",,"2"
"District Fire Chief","141890","141890","20",
"Domain Architect","92656","118094","2","1"
"Domain Architect-8hrs","103772","132264","5","1"
"Drafting Technical Assistant","39916","49549",,"1"
"Drafting Technician I","62183","78114","6",
"Drafting Technician II","71381","89622","8",
"Drafting Technician III","78114","98175","1",
"Economist III","90258","114003","2",
"ECO Station Attendant","64931","64931","33","4"
"Electrical Contract Inspector","107198","107198","14","1"
"Electrical Foreman","112510","113963","5",
"Electrical Helper","57944","68524","1",
"Electrical Maintenance Planner","112510","113963","3",
"Electrical Safety Codes Coord","112510","113963","1",
"Electrician Apprentice","57944","86917","5",
"Electrician I","92820","96578","38",
"Electrician II","100437","101404","4",
"Electronic Technician I","92820","96578","6","1"
"Electronic Technician II","100437","101404","1",
"Electro Vehicle Mechanic","97911","97911","27",
"Electro Vehicle Mechanic Frmn","111537","111537","3",
"Emergency Communication Special","64312","110242","20",
"Engineering Tech I (OC 1)","49549","59485",,"4"
"Engineering Technologist I","64846","81511","36","4"
"Engineering Technologist I-8hr","72629","91289","8","4"
"Engineering Technologist II","74430","93847","93","6"
"Engineering Technologist II-8h","83357","105104","16","1"
"Engineering Technologist III","80769","102060","19",
"Environment Protection Coordin","84751","108152","1",
"Enviro. Protect. Coord.-8hrs","94925","121133","1",
"EPark Serviceperson I","62713","68528","6",
"Eqpt. Op II/Parks Leader","65929","75011","2",
"Equipment Operator I","47638","63442","1","1"
"Equipment Operator II","65929","65929","21","3"
"Equipment Operator III","69489","69489","27","7"
"Equipment Operator IV","73725","73725","1",
"Equipment & Safety Instructor","80367","82704","12",
"Equip Op III/Labourer II","47638","69489","2",
"Equip Opr III/Truck Driver III","64928","69489","2",
"ESC Representative","49549","62183","15","1"
"ESC Team Lead/Specialists","65974","82735","7",
"ETS Security Training Officer","95428","95428","1",
"EWMC Operator","58717","69489","62","28"
"Fabrication Shop Controller","101830","101830","3",
"Fab Tech Foreman","105396","105396","2",
"Facility Foreman","79995","82704","18","8"
"Facility Programmer","72571","75099","15","1"
"Fares Equipment Maintainer Bus","74009","74009","1",
"Fares Equipment Maintainer LRT","74009","74009","4",
"Financial Analyst","71381","89622","21","2"
"Fire Apparatus Technician","85577","102214","19",
"Fire Captain","128619","128619","91",
"Fire Door Inspector","84888","84888","1",
"Fire Equipment Technician","75493","94363","4",
"Firefighter","64311","110238","823",
"Fire Marshal","156180","156180","1",
"Fire Prevention Officer","74518","109223","33",
"Fleet Maintenance Planner","105396","105396","4",
"Fleet Safety Officer","68189","85193","6",
"Floor Covering Mechanic I","81745","81745","1",
"Forecasting Assistant","54526","68189","2","2"
"Garage Foreman","105396","105396","16",
"Garage Foreman I","105396","105396","13","1"
"Gardener","64143","70313","7",
"Gasification Equipmnt Operator","90256","90256","1",
"Graffiti Abatement Inspector","68818","86604","1",
"Graphic Designer I","62183","78114","5","1"
"Graphic Designer II","68189","85193","2",
"Gravel Recycle Foreman","79377","79377","1",
"Grower","66413","73725","8",
"Heat/Vent Saf Cds Off I","78114","98175","11","1"
"Heat/Vent Saf Cds Off II","82984","104070","2",
"Heat/Vent Saf Cds Off II-8hrs","64655","83127","1",
"Heat/Vent Saf Cds Off I (OC)","59385","77330","1","1"
"Heavy Duty Mechanic Apprentice","64655","83127","8","6"
"Heavy Duty Mechanic I","92365","92365","90","20"
"HVAC Mechanic","90256","90256","1",
"HVAC Mechanic Foreman (MTPL)","109259","109259","1",
"HVAC Mechanic II - Mtpl","104064","104064","1",
"HVAC Mechanic I (Mtpl)","97253","97253","1","1"
"Instrument Technician II","100437","101404","1",
"Inst Tech I/Electrician I","97466","101404","2",
"Interactive Media Supervisor","71381","89622","3",
"Investigator","109690","122496","4","1"
"Investment Analyst","84751","108152","1",
"IT Analyst","84751","108152","39","1"
"IT Analyst-8hrs","94925","121133","6",
"IT Project Manager","92656","118094","10","1"
"IT Project Manager-8hrs","103772","132264","2",
"IT Sourcing Analyst","68189","85193","3",
"IT Sourcing Analyst-8hrs","76373","95415","2","1"
"IT Sourcing Technician","56825","71381","2",
"Laboratory Assistant","41690","51769","1",
"Laboratory Scientist I","78114","98175","1",
"Laboratory Technician I","56825","71381","1",
"Labourer I","44735","62032","22","205"
"Labourer II","47638","63442","118","55"
"Labourer II/Crew Lead","63442","75011","26",
"Labourer II/Crew Lead Lic","63442","77634","9",
"Labourer II/Equip Operator III","47638","69489","10",
"Labourer III","66413","66413","13","1"
"Labourer III/Traffic Ldr I","66413","71199","4",
"Labourer II/Pest Control Oper","47638","66960","4",
"Labourer II/Truck Driver III","63444","64931","108",
"Labourer I/Swim Pool Servicema","44735","62032",,"9"
"Land Administration Technician","68189","85193","4",
"Landlord & Tenant Consult I","49549","62183","4","1"
"Landlord & Tenant Consult II","54526","68189","1",
"Landscape Architect II","84751","108152","3",
"Landscape Technician I - 8hrs","63646","79943","1","8"
"Landscape Technician II","68189","85193","8",
"Landscape Technician II - 8hrs","76373","95415","6","4"
"Landscape Technician III-8hrs","87489","109952","3","1"
"Leachate Treatment Plant Opera","73828","84909","1","1"
"Lead Custodial Worker","62782","65590","8",
"Leading Fare Clctn Equip Mntnr","76795","76795","2",
"Legal Secretary II","47440","59485","9","1"
"Lifeguard","48410","64931","68","338"
"Locksmith Foreman","92672","92672","1",
"Locksmith I","80843","80843","7",
"LRT Service Foreman","87539","87539","4",
"L.R.T. Serviceman","66240","66240","19",
"LRT Track Maintenance Coordnt","98109","98109","2",
"Machinist","90256","90256","2",
"Maintenance Coordinator(Plant)","98109","98109","1",
"Maintenance Repairman","68334","68334","10","6"
"Maintenance Repairman Frmn","73706","73706","1",
"Maintenance Repairman I","68526","68526","29","3"
"Maintenance Repairman II","71199","73725","7",
"Maint Repairman I/Arena Attend","64931","68526","3",
"Maint Repair/Parks Lead","68526","75011","1",
"Managerial - 113","57703","82435","10","2"
"Managerial - BM1","151956","217080","28","2"
"Managerial - BM2","129785","185408","11","1"
"Managerial - DP1","48166","68807","3","4"
"Managerial - ML1","69404","99149","33","4"
"Managerial - ML2","84597","120853","167","6"
"Managerial - ML3","96333","137619","151","8"
"Managerial - ML4","113849","162642","123","4"
"Managerial - ML6","211531","302183","7","1"
"Managerial - MS3","140910","176137","6",
"Managerial - MS4","129785","185408","2",
"Managerial - PE1","58849","84076","20","2"
"Managerial - PE2","73738","105341","77","13"
"Managerial - PE3","87574","125106","111","3"
"Managerial - PE4","96333","137619","9","2"
"Managerial - PS","85124","168019","35","10"
"Managerial - PT1","65069","92956","76","2"
"Managerial - PT2","72246","103208","149","20"
"Managerial - PT3","84597","120853","238","19"
"Managerial - PT4","101542","145060","77","3"
"Market Planner I","68189","85193","21","2"
"Market Planner II","82984","104070","17","4"
"Materials Planning Tech I-8hrs","63646","79943","1",
"Materials Technical Asst - 8hr","50822","63651",,"7"
"Mechanic","92365","92365","124","1"
"Mechanical Contract Inspector","99105","99105","1",
"Mechanical Contract Insp-mltpl","104064","104064","11","3"
"Mechanical Maintenance Planner","104062","104062","1",
"Mechanical Maint Planner -Mtpl","109259","109259","4",
"Methods Analyst I","68189","85193","80","19"
"Methods Analyst I - 8hrs","76373","95415","4","4"
"Methods Analyst II","80769","102060","85","6"
"Methods Analyst II - 8hrs","90463","114303","1",
"Millwright I","90256","90256","4","1"
"Millwright/Machinist Foreman","100510","100510","1",
"Municipal Enforcement Off I","47440","59485",,"1"
"Municipal Enforcement Off II","65974","82735","34","1"
"Municipal Enforcement Off II-8","73886","92661","1",
"Municipal Enforcement Off III","71381","89622","7",
"Municipal Waste Inspector I","69489","71199","9","2"
"Nurseryman I","68526","68526","2",
"Offset Equipment Operator I-8h","46690","57973","1",
"Operations Supervisor","63646","79943","5",
"Operations Technician","46690","57973","6","2"
"Painter Foreman","94626","94626","1",
"Painter I","81745","81745","7","5"
"Painting Contract Inspector","90122","90122","4",
"Paralegal I","62183","78114","3","4"
"Paralegal II","68189","85193","4",
"Parkade Leader","73725","73725","1",
"Parking Lot Attendant I","44735","63442","6","2"
"Parking Lot Attendant II","68526","68526","1",
"Parking Meter Foreman","76661","79377","1",
"Parking Meter Serviceman I","61920","68526",,"2"
"Parking Meter Serviceman II","71199","71199","1",
"Park Ranger","77575","80198","15","7"
"Parks Coordinator","90058","92365","2",
"Parks Leader Lic/Arborist II","70305","77634","1",
"Partsman","74656","74656","11",
"Partsman Foreman","86163","86163","1",
"Partsman II","78386","78386","12",
"Parts Technician I 8h","57973","72629","5",
"Parts Technician II","56825","71381","1",
"Parts Technician II-8h","63646","79943","15",
"Paving Plant Foreman","79377","79377","1",
"Paving Plant Operator","73725","73725","1","1"
"Personal Protection Equip. Off","75490","106020","2",
"Pest Control Operator","66960","66960","4",
"Planner I","80769","102060","52","5"
"Planner II","84751","108152","98","10"
"Planner I (OC 2)","59385","77330",,"2"
"Planning Enforcement Technicia","80769","102060","2",
"Planning Tech II (8 Hr)","83357","105104","4",
"Planning Technician I","64846","81511","20","4"
"Planning Technician I - 8 Hrs","72629","91289","2",
"Planning Technician II","74430","93847","34","5"
"Planning Technician III","80769","102060","5",
"Planning Technician I, OC","49549","59485","4",
"Platoon Chief","156180","156180","4",
"Plumber/Gasfitter Apprentice","55570","87986","1",
"Plumber I/Gasfitter","92617","92617","23","4"
"Plumber II/Gasfitter","97253","97253","1",
"Plumbing/Gas Saf Cds Off I","78114","98175","16",
"Plumbing/Gas Saf Cds Off II","82984","104070","2",
"Plumbing & Heating Frmn/Gasfit","109259","109259","4","2"
"Print Operator - 8hrs","48726","61064","5","1"
"Program Specialist","34410","48295",,"459"
"Project Coordinator","71381","89622","26","13"
"Project Inspector Coordinator","90058","92365","2",
"Project Management Officer","78114","98175",,"1"
"Project Manager","84751","108152","64","2"
"Property Agent II","82984","104070","14",
"Property & Exhibit Tech I","49549","62183","2",
"Property Management Officer","81874","103228","10",
"Property Management Officer-8h","91701","115619",,"2"
"Property Sales & Mrktg Offc I","68189","85193","2",
"Property Sales & Mrktg Off II","82984","104070","3",
"Public Engagement Advisor","78114","98175","4","2"
"Public Engagement Advisor-8h","87489","109952","1",
"Public Engagement Coordinator","71381","89622","5","7"
"Public Info Officer II - 8hrs","82313","103728","1",
"Public Info Officer II - OOS","76432","96313","1",
"Public Information Officer I","59829","75216","15","4"
"Public Information Officer I (","49225","56982","1",
"Public Information Officer II","76432","96317","44","11"
"Public Information Officer III","82024","103082","15",
"Public Information Tech - 8hrs","57973","72629","1",
"Public Information Technician","51769","64846","4","4"
"Public Service Rep I","47440","59485","7",
"Public Service Rep I - 8hrs","53135","66626","14","4"
"Rec Facility Attendant I-8hrs","43000","53135","30","165"
"Rec Facility Attendant II-8hrs","46690","57973","18","5"
"Records Management Bus Lead","71381","89622","7",
"Records Management Coordinator","68189","85193","1",
"Records Mgmt Administrator I","68189","85193","1",
"Recreation Officer I","64846","81511","15","4"
"Recreation Officer I - 8hrs","72629","91289","5","1"
"Recreation Officer II","71381","89622","67","6"
"Recreation Officer II - 8hrs","79943","100366","2",
"Recreation Officer III","78114","98175","40","6"
"Recreation Officer III - 8hrs","87489","109952","1",
"Recreation Technician I","33676","41690","7","17"
"Recreation Technician I - 8hrs","37724","46690",,"166"
"Recreation Technician II","38394","47440","1","1"
"Recreation Technician II-8hrs","43000","53135","3","31"
"Recreation Technician III","49549","62183","46","1"
"Recreation Technician III-8hrs","55499","69649","4","1"
"Refrigeration Mechanic Foreman","109259","109259","1",
"Refrigeration Mechanic I","94772","94772","8","1"
"Refrigeration Mech Apprentice","54154","81229","1",
"Refuse Collector II","64931","64931","21","13"
"Refuse Collector III","68526","68526","56","11"
"Refuse Collector IV","71199","71199","40",
"Refuse Coll II/Refuse Coll III","64931","68526",,"42"
"Reg. Appr. Progr. 1007","32886","34531",,"4"
"Registered App Programme 30","32886","34531",,"9"
"Relief Labourer","43230","48479",,"43"
"Residential Property Coordinat","68189","85193","5",
"Risk Management Consultant I","62183","78114","5",
"Risk Management Consultant II","77330","88637","6","1"
"Risk Management Consultant III","80769","102060","1",
"Roadway Maintenance Leader I","71199","71199","10","12"
"Roadway Maintenance Leader II","73725","73725","14","13"
"Roadway MaintenanceLeader I/II","71199","73725","5",
"Roadway MaintenanceLeader II/I","71199","73725","4",
"Roadway Maintenance Supervisor","84232","86604","5","4"
"Roadway Maint. Leader III","77396","77396",,"2"
"Roadway Mtnce Inspector I","66960","66960","11","2"
"Roadway Mtnce Inspector II","73725","73725","4",
"Roofer","80843","80843","1",
"Roofing Foreman","92672","92672","1",
"RW Maintenance Leader III/I","71199","77396","1",
"RW Mtnc Insp II/RW Mtnc Ldr l","71199","73725","1",
"Safety Assistant","56825","71381","3",
"Safety Codes Training Officer","120835","120835","2",
"Safety Trainer","73725","73725",,"8"
"Scale-House Operator","58717","64931","6","1"
"Scheduler","61064","76373","2",
"Scheduler Shift Designer","93717","98313","9",
"Scheduling Assistant","83329","88884","2","2"
"SEASONAL FIELD CREW LEAD","73725","73725",,"1"
"Secretary - Council Committees","59829","75213","5","2"
"Security Electrician","92820","101404","11",
"Security Room Monitor","57014","63384","9",
"Senior Accountant","90258","114003","42","2"
"Senior Accounting Assistant","62183","78114","25","1"
"Senior Buyer","78114","98175","27","1"
"Senior Captain Emergency Comm","130663","130663","3",
"Senior Captain Qualified","126826","126830","2",
"Senior Domain Architect","98924","124950","6",
"Senior Domain Architect (OOS)","98924","139946","4",
"Senior Electrician","107198","107198","1",
"Senior Emergency Communication","117392","117392","4",
"Senior Financial Analyst","90258","114003","1",
"Senior Firefighter Qualified","117393","117393","47",
"Senior Fire Prevention Qualifi","117392","117392","2",
"Senior IT Analyst","92656","118094","3",
"Senior IT Analyst-8hrs","103772","132264","4",
"Senior IT Project Manager","98924","124950","3",
"Senior IT Project Manager-8hrs","110789","139946","1",
"Senior Trainer","84232","86604","1",
"Sergeant","94033","94033","6",
"Sergeant / Investigator","88156","88156","2",
"Service Foreman","86163","86163","9",
"Serviceman","65196","65196","85","1"
"Service Trainer","95365","95365","1",
"Shift Captain Investigation","130663","130663","4",
"Shop Controller","101830","101830","15",
"Shop Foreman","125326","125328","1",
"Sign Shop Foreman","76661","79377","1",
"Sign Shop Worker","46299","64931","5","1"
"Social Planner","80769","102060","11",
"Social Worker","71381","89622","33","1"
"Social Worker 8 hrs","79943","100366","7",
"Special Operations Chief","156180","156180","1",
"Sr Biological Sci Technologist","68189","95415","3",
"Station Captain","130663","130663","116",
"Storeman I - 8hrs","53135","66626","1",
"Storeman II - 8hrs","55499","69649","1",
"Storeman III - 8hrs","61064","76373","1",
"Stores Coordinator","78386","78386","1","2"
"Strategic Planning Analyst I","68189","95415","4","2"
"Strategic Planning Analyst II","80769","102060","25","7"
"Strategic Planning Analyst III","84751","121133","2",
"Structural Contract Inspector","92672","92672","15",
"Structural Maintenance Planner","97301","97301","2",
"Student Administrative","36550","36550",,"3"
"Student Work Exp 1&2 YR Post S","33470","37330",,"1"
"Student Work Exp 4 YR Engineer","49077","64122","1","93"
"Student Work Exp 4YR Post Se","40166","52482",,"43"
"Summer Program Leader","34410","34410",,"1"
"Survey Technical Assistant I","46996","58888",,"3"
"Survey Technical Assistant II","51769","64846","18","3"
"Survey Technical Asst I - 8hrs","52632","65962",,"1"
"Survey Technician I","64846","81511","13","4"
"Survey Technician II","74430","93847","3",
"Team Lead Assessor","84751","108152","18",
"Team Lead CallCnt/PubSrv","51769","64846","8","1"
"Team Lead CallCnt/PubSrv-8hrs","57973","72629","11","2"
"Team Lead Dispatchers","63646","79943","1",
"Team Lead Operations Technicia","53135","66626","1",
"Team Lead Schedulers","63646","79943","1",
"Technical Support Captain","123853","123855",,"1"
"Technical Trng Facilitator II","76432","96317","2",
"Tech Trng Facilitator I-8hrs","76373","95415","1",
"Tech Trng Facilitator II-8hrs","85616","107883","1",
"Telecom Sys Coord I","71381","89622","2","1"
"Telecom Sys Coord II","78114","98175","1",
"Tire and Tow Foreman","82704","82704","1",
"Tire Repairman","65196","65196","1",
"Tow Truck Operator/Svc Person","72420","72420","4",
"Track Crew Foreman","86163","86163","2",
"Track Maintainer","69278","69278","24",
"Trades Helper","68334","68334","1",
"Trades Training Coordinator","105396","105396","5",
"Traffic Operations Leader I","71199","71199","3","1"
"Traffic Operations Leader II","73725","73725","2",
"Traffic Operations Leader II/I","71199","73725","1",
"Traffic Operations Supervisor","84232","86604","2",
"Traffic Op Leader II/Labor III","66413","73725","1",
"Training Instructor","127597","132703","17",
"Training Specialist I","64846","81511","9",
"Training Specialist I - 8hrs","72629","91289","2",
"Training Specialist II","71381","89622","7",
"Transit Operator - Ben","45982","70646","150",
"Transit Operator - Non","45982","70646","28",
"Transit Operator - PT","45982","70646",,"10"
"Transit Operator - Reg","45982","70646","1470","1"
"Transit Peace Officer","77899","86314","53","2"
"Transit Peace Officer(non CPO)","68052","75356","8","2"
"Transit Peace Officer PIO","63799","70646","1",
"Transit Training Instructor","74181","95428","13",
"Transportation Tech Asst I","41690","51769","1","19"
"Transportation Tech Asst II","49549","59485","2","2"
"Transportation Tech II - 8hrs","83357","105104","2",
"Transportation Technician I","64846","81511","8",
"Transportation Technician II","74430","93847","30","2"
"Transportation Technician III","80769","102060","5",
"Tribunal Clerk","49549","62183","2",
"Truck Driver III","64931","64931","44","143"
"Truck Driver III/Equip Opr II","64931","65929","8",
"Truck Driver III/Equip Opr III","64931","69489","26",
"Truck Driver II/ Road Ptrl Drv","63444","64931","5",
"Truck Driver IV","66960","66960",,"2"
"Truck Driver IV/III","64931","66960","1",
"Truck Driver V","68526","68526","13","19"
"Truck Drvr III/Bridge Wrkr II","64931","66960","6",
"Upholsterer & Trimmer","83510","83510","1",
"Utility Crew Foreman","79413","79413","1",
"Utilityman","58713","62627","16","2"
"Vehicle Equipment Technician","105396","105396","2",
"Vehicle/Equipment Technician","111537","111537","6",
"Vehicle Equip & Serv Tech","68189","85193","3",
"Vehicle Equip & Serv Tech-8hrs","76373","95415","6",
"Warehouse Administrator","71381","89622","1",
"Warehouse Administrator - 8hrs","79943","100366","3","1"
"Warehouse Technician I","47440","59485","1",
"Warehouse Technician I - 8H","53135","66626","9",
"Warehouse Technician II","49549","62183","2",
"Warehouse Technician II 8h","55499","69649","4",
"Waste Leader","77396","77396","22","7"
"Waste Leadhand","71199","71199","4",
"Waste Supervisor","84232","86604","14",
"Web Analyst","80769","102060","2",
"Web Content Coordinator","59829","75216","11","3"
"Web Content Writer","51769","64846","1",
"Web Content Writer - 8 hr","57973","72629","1",
"Welder","84100","100447","1",
"Welder Apprentice","54154","81229","2",
"Welder I","90256","90256","17","1"
"Word/Data Processing Clerk I","38394","47440","4","76"
"Word/Data Processing Clerk II","41690","51769","198","36"
"Word/Data Processing Clerk III","47440","59485","28","7"
"Word/Data Pro Clerk I - 8hrs","43000","53135","1",
"Word/Data Pro Clerk II - 8hrs","46690","57973","30","17"
"Word/Data Pro Clerk III - 8hrs","53135","66626","3",
"Yardworker","66413","66413","10","4"
"Zoo Attendant I","44735","64931","9","13"
