Map Name,Type of Location,Bike Rack Location Description,Bike Capacity,Additional Information,Latitude,Longitude,Location,Photos Approved for Publication?,Number of Photos,Neighbourhood Boundaries : 2019,Roadway Maintenance Area Polygon,"Edmonton Public School Board (EPSB) Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","Edmonton Catholic School District Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","City of Edmonton - Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)",Wards,Edmonton Public School Board Ward Boundaries,Edmonton Catholic School District Ward Boundaries,City of Edmonton - Neighbourhood Boundaries
Edmonton's Public Bike Parking,Public bike parking - uncovered,5 Bikes: 96 St,5,,53.54426,-113.48294,"(53.5442601, -113.4829438)",Yes,1,154,242,4,5,9,6,4,5,50
Edmonton's Public Bike Parking,Public bike parking - uncovered,5 Bikes: 104 St,5,,53.54075,-113.49944,"(53.5407505, -113.4994447)",Yes,1,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,40 Bikes: Triffo Hall,40,,53.52630,-113.52365,"(53.5262977, -113.523649)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,3 Bikes: Police Headquarters,3,,53.54731,-113.48505,"(53.5473105, -113.4850467)",Yes,1,154,153,4,5,9,6,4,5,50
Edmonton's Public Bike Parking,Public bike parking - uncovered,24 Bikes: Van Vliet/Student's Building,24,,53.52494,-113.52842,"(53.5249424, -113.5284179)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: Coliseum Station,8,,53.57075,-113.45701,"(53.5707468, -113.4570122)",Yes,1,145,154,4,3,10,7,4,3,115
Edmonton's Public Bike Parking,Public bike parking - uncovered,64 Bikes: Interdisciplinary Science,64,,53.52793,-113.52565,"(53.5279336, -113.5256499)",Yes,4,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,5 Bikes: YMCA,5,,53.54840,-113.48077,"(53.5484037, -113.4807712)",Yes,0,154,153,4,5,9,6,4,5,50
Edmonton's Public Bike Parking,Public bike parking - uncovered,63 Bikes: ETLC,63,,53.52709,-113.52873,"(53.5270917, -113.5287344)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes,8,,53.52313,-113.52657,"(53.5231342, -113.5265726)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: NAIT Bldg CAT,8,,53.56979,-113.50287,"(53.569791, -113.5028672)",Yes,1,4,151,3,1,5,2,4,1,330
Edmonton's Public Bike Parking,Public bike parking - uncovered,96 Bikes: Rutherford Library,96,,53.52604,-113.52221,"(53.5260394, -113.5222059)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,57 Bikes: Valley Zoo,57,Bike racks are located outside and to the left (south-west) of the main entrance.,53.51075,-113.55445,"(53.5107521, -113.5544515)",Yes,2,228,23,5,5,8,5,3,5,292
Edmonton's Public Bike Parking,Public bike parking - covered,6 Bikes: Northeast City Hall,6,,53.54606,-113.49005,"(53.5460642, -113.4900516)",Yes,1,338,242,4,5,9,6,4,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: Computing Science,8,,53.52684,-113.52756,"(53.526843, -113.5275596)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - covered,28 Bikes: Underground Manulife Parkade,28,,53.54276,-113.49473,"(53.5427556, -113.4947347)",Yes,3,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,40 Bikes: MacEwan,40,,53.54714,-113.50657,"(53.5471352, -113.5065687)",Yes,1,338,222,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,4 Bikes: NAIT Bldg C,4,,53.56886,-113.50533,"(53.5688608, -113.5053349)",Yes,1,209,221,3,1,5,2,4,1,114
Edmonton's Public Bike Parking,Public bike parking - uncovered,14 Bikes: NAIT Swimming Pool,14,,53.56630,-113.50633,"(53.5662995, -113.5063326)",Yes,1,209,221,3,1,5,2,4,1,114
Edmonton's Public Bike Parking,Public bike parking - uncovered,5 Bikes: 96 St,5,,53.54482,-113.48320,"(53.5448211, -113.4832013)",Yes,1,154,242,4,5,9,6,4,5,50
Edmonton's Public Bike Parking,Public bike parking - uncovered,6 Bikes: Norquest,6,,53.54366,-113.50312,"(53.5436609, -113.5031247)",Yes,1,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Bike Repair Stations,Underground Bike Repair Stn: Manulife,,,53.54255,-113.49446,"(53.5425484, -113.4944558)",Yes,2,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,12 Bikes: North Edmonton Tower,12,,53.54610,-113.49509,"(53.5460961, -113.4950888)",Yes,1,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,32 Bikes: Butterdome,32,,53.52362,-113.52677,"(53.5236157, -113.5267657)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,3 Bikes: 96 St,3,,53.54620,-113.48391,"(53.5461981, -113.4839094)",Yes,0,154,242,4,5,9,6,4,5,50
Edmonton's Public Bike Parking,Public bike parking - uncovered,120 Bikes: Business Building,120,,53.52724,-113.52175,"(53.5272384, -113.52175)",Yes,2,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: Triffo Hall,8,,53.52643,-113.52300,"(53.5264316, -113.5229999)",No,0,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,4 Bikes: Legislature Building,4,,53.53404,-113.50518,"(53.5340396, -113.5051846)",Yes,1,338,24,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,16 Bikes: Butterdome,16,,53.52364,-113.52881,"(53.5236381, -113.5288149)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,6 Bikes: Commonwealth Stadium,6,,53.55855,-113.47452,"(53.5585507, -113.4745216)",Yes,1,367,130,4,5,9,6,4,5,219
Edmonton's Public Bike Parking,Public bike parking - uncovered,22 Bikes: Legislature Annex,22,,53.53481,-113.50556,"(53.534812, -113.5055588)",Yes,2,338,24,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,5 Bikes: Enterprise Square,5,,53.54114,-113.49763,"(53.5411442, -113.4976315)",Yes,1,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,16 Bikes: Biological Science,16,,53.52973,-113.52728,"(53.5297288, -113.5272753)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,40 Bikes: Tory Hall,40,,53.52815,-113.52117,"(53.5281472, -113.5211706)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,12 Bikes: West CN TOWER,12,,53.54678,-113.49159,"(53.5467766, -113.4915912)",Yes,1,338,242,4,5,9,6,4,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,6 Bikes: Scotia Place,6,,53.53985,-113.49434,"(53.5398515, -113.4943378)",Yes,0,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: MacEwan,8,,53.54730,-113.50477,"(53.5473009, -113.5047662)",Yes,1,338,222,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,32 Bikes: Education Centre,32,,53.52334,-113.52228,"(53.5233399, -113.5222756)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - covered,40 Bikes: Covered Locked Area,40,,53.52809,-113.52794,"(53.5280898, -113.5279351)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,12 Bikes: South of Court,12,,53.54517,-113.48796,"(53.5451749, -113.4879649)",Yes,1,338,242,4,5,9,6,4,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,6 Bikes: Commonwealth Community Centre,6,,53.55768,-113.47661,"(53.5576807, -113.4766084)",No,0,367,130,4,5,9,6,4,5,219
Edmonton's Public Bike Parking,Bike Repair Stations,Bike Repair Station,,,53.54656,-113.52456,"(53.5465551, -113.5245609)",Yes,1,182,144,4,5,9,6,6,5,250
Edmonton's Public Bike Parking,Public bike parking - uncovered,12 Bikes: 100 Ave,12,,53.53873,-113.50524,"(53.5387262, -113.5052383)",Yes,1,338,24,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: Quad Area/University Station,8,,53.52460,-113.52291,"(53.5246012, -113.5229087)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,98 bikes: Oliver Square,98,"98 outdoor bike parking spots at Oliver Square shopping area, west of 116 St. Posts and rings are distributed throughout shopping area.",53.54707,-113.52658,"(53.5470651, -113.5265779)",No,0,182,144,4,5,9,6,6,5,250
Edmonton's Public Bike Parking,Public bike parking - uncovered,12 Bikes: Commerce Place,12,,53.54112,-113.49467,"(53.5411203, -113.4946704)",Yes,1,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: Edmonton Expo,8,,53.56851,-113.45434,"(53.5685104, -113.4543353)",No,0,145,153,4,3,10,7,4,3,115
Edmonton's Public Bike Parking,Public bike parking - uncovered,2 Bikes: City Centre,2,,53.54335,-113.49221,"(53.5433549, -113.4922135)",Yes,0,338,242,4,5,9,6,4,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,3 Bikes: 96 St,3,,53.54557,-113.48384,"(53.5455734, -113.483845)",Yes,0,154,242,4,5,9,6,4,5,50
Edmonton's Public Bike Parking,Public bike parking - uncovered,10 Bikes: Shaw Conference Centre,10,,53.54152,-113.48595,"(53.5415156, -113.4859478)",Yes,1,338,242,4,5,9,6,4,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,37 Bikes: NAIT Bldg CAT,37,,53.56888,-113.50222,"(53.56888, -113.5022235)",Yes,2,4,151,3,1,5,2,4,1,330
Edmonton's Public Bike Parking,Public bike parking - uncovered,9 Bikes: Legislature Bldg Road,9,,53.53405,-113.50723,"(53.534046, -113.5072339)",Yes,1,338,24,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,100 Bikes: University Station,100,,53.52510,-113.52107,"(53.525105, -113.5210687)",Yes,3,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,14 Bikes: NAIT Shaw Theater,14,,53.56625,-113.50452,"(53.5662485, -113.5045195)",Yes,1,209,221,3,1,5,2,4,1,114
Edmonton's Public Bike Parking,Public bike parking - uncovered,6 Bikes: Royal Bank,6,,53.54085,-113.49470,"(53.5408461, -113.4946972)",Yes,0,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,2 Bikes: 104 St,2,,53.54013,-113.49935,"(53.5401289, -113.4993482)",Yes,0,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: Triffo Hall,8,,53.52647,-113.52423,"(53.5264699, -113.5242283)",No,0,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,16 Bikes: Protective Services,16,,53.52327,-113.52463,"(53.5232665, -113.5246253)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,5 Bikes: Edmonton Welcome Centre,5,,53.54147,-113.48702,"(53.5414709, -113.4870207)",Yes,1,338,242,4,5,9,6,4,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,40 Bikes,40,,53.52774,-113.52095,"(53.5277391, -113.5209506)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,10 Bikes: Faculty Club,10,,53.53007,-113.52870,"(53.5300732, -113.5286969)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,50 bikes: Mazankowski Heart Institute South Entrance,50,,53.51981,-113.52296,"(53.519811, -113.522957)",Yes,3,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: NAIT HP Centre,8,,53.56805,-113.50215,"(53.5680517, -113.5021484)",Yes,1,4,151,3,1,5,2,4,1,330
Edmonton's Public Bike Parking,Public bike parking - uncovered,40 Bikes: Earth Sciences,40,,53.52829,-113.52451,"(53.5282939, -113.5245126)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,30 Bikes: Rogers Place,30,,53.54764,-113.49750,"(53.5476388, -113.4974974)",Yes,1,338,222,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,24 Bikes: NAIT Bldg F,24,,53.56722,-113.50350,"(53.567217, -113.5035002)",Yes,1,209,221,3,1,5,2,4,1,114
Edmonton's Public Bike Parking,Public bike parking - uncovered,7 Bikes: Canada Place,7,,53.54360,-113.48717,"(53.5436003, -113.4871709)",Yes,0,338,242,4,5,9,6,4,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,16 Bikes: Chemistry Centre,16,,53.52719,-113.52403,"(53.527189, -113.5240325)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,16 Bikes,16,,53.52513,-113.52498,"(53.5251337, -113.5249847)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,26 Bikes: West Health Sciences Jubilee,26,,53.52032,-113.52616,"(53.5203245, -113.5261595)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,18 Bikes: 82 Ave & 104 St.,18,Streetside bike corral,53.51875,-113.49776,"(53.51875, -113.49776)",No,0,315,9,6,5,11,8,6,5,335
Edmonton's Public Bike Parking,Public bike parking - uncovered,7 Bikes: NAIT Computer Commons,7,,53.56745,-113.50244,"(53.5674464, -113.5024381)",Yes,1,4,151,3,1,5,2,4,1,330
Edmonton's Public Bike Parking,Public bike parking - uncovered,3 Bikes: 106 St,3,,53.54383,-113.50261,"(53.5438266, -113.5026097)",Yes,1,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,16 Bikes,16,,53.52658,-113.52286,"(53.5265783, -113.522855)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,6 Bikes: Telus World of Science,6,,53.56090,-113.56433,"(53.5608959, -113.5643327)",Yes,1,19,209,3,1,5,2,3,1,384
Edmonton's Public Bike Parking,Public bike parking - uncovered,6 Bikes: ATB Place,6,,53.54096,-113.49117,"(53.5409577, -113.4911674)",Yes,1,338,242,4,5,9,6,4,5,104
Edmonton's Public Bike Parking,Bike Repair Stations,Bike Repair Station,,,53.54236,-113.49929,"(53.5423603, -113.4992945)",Yes,2,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,22 Bikes: Bell Tower,22,,53.54479,-113.49503,"(53.5447892, -113.4950298)",Yes,1,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,6 Bikes: Boyle Street Plaza,6,,53.54772,-113.48232,"(53.5477249, -113.4823215)",Yes,1,154,153,4,5,9,6,4,5,50
Edmonton's Public Bike Parking,Public bike parking - uncovered,20 Bikes: 102 Ave & 124 St.,20,20 bike parking spots on northeast corner of 102 Ave & 124 St.,53.54310,-113.53540,"(53.5431, -113.5354)",No,0,182,144,4,5,9,6,6,5,250
Edmonton's Public Bike Parking,Public bike parking - uncovered,18 Bikes: Century Place,18,,53.54441,-113.48761,"(53.5444068, -113.4876108)",Yes,2,338,242,4,5,9,6,4,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,16 Bikes,16,,53.52333,-113.52594,"(53.5233319, -113.5259396)",Yes,2,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,16 Bikes: Brain Centre,16,,53.52354,-113.52121,"(53.523544, -113.5212135)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,6 Bikes: Commonwealth Stadium,6,,53.56071,-113.47410,"(53.5607079, -113.4740978)",No,0,367,130,4,5,9,6,4,5,219
Edmonton's Public Bike Parking,Public bike parking - uncovered,4 Bikes: Fairmont Hotel,4,,53.54048,-113.48963,"(53.5404827, -113.4896332)",Yes,0,338,242,4,5,9,6,4,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,39 Bikes: Health Sciences Jubilee,39,,53.52058,-113.52646,"(53.5205796, -113.5264599)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,14 Bikes: Winspear Centre for Music,14,,53.54426,-113.48693,"(53.5442633, -113.4869349)",Yes,1,338,242,4,5,9,6,4,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,36 Bikes: MacEwan,36,,53.54696,-113.50293,"(53.5469631, -113.5029316)",Yes,1,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,9 Bikes: Legislature Building,9,,53.53363,-113.50743,"(53.5336347, -113.5074323)",Yes,1,338,24,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Bike Repair Stations,Bike Repair Station,,,53.51884,-113.49772,"(53.51884, -113.49772)",No,0,315,9,6,5,11,8,6,5,335
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: Brain Centre,8,,53.52325,-113.52131,"(53.5232506, -113.5213128)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,4 Bikes: City Centre,4,,53.54316,-113.49569,"(53.5431636, -113.4956896)",Yes,0,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,4 Bikes: 104 St,4,,53.54173,-113.49936,"(53.541726, -113.4993643)",Yes,0,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes,8,,53.52949,-113.52867,"(53.5294928, -113.5286701)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - covered,6 Bikes: Northwest City Hall,6,6 public bike parking spots outside but covered at the northwest corner of City Hall.,53.54601,-113.49046,"(53.5460132, -113.4904593)",No,0,338,242,4,5,9,6,4,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,5 Bikes: Legislature Grounds,5,,53.53713,-113.50781,"(53.5371322, -113.5078079)",Yes,1,338,24,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: HUB,8,,53.52599,-113.52008,"(53.5259915, -113.5200763)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,48 Bikes: Dentistry/Pharmacy,48,,53.52510,-113.52340,"(53.525105, -113.5234022)",Yes,3,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: Dewey's,8,,53.52600,-113.52373,"(53.5260043, -113.5237294)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - covered,30 Bikes: Underground Commerce Place Parkade,30,30 bike parking spots on P1 of the Commerce Place parkade.,53.54195,-113.49442,"(53.5419523, -113.4944236)",No,0,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,5 Bikes: 110 St,5,,53.53712,-113.51002,"(53.5371178, -113.5100234)",Yes,1,182,24,4,5,9,6,6,5,250
Edmonton's Public Bike Parking,Bike Repair Stations,Bike Repair Station,,,53.56629,-113.50423,"(53.5662867, -113.5042298)",Yes,1,209,221,3,1,5,2,4,1,114
Edmonton's Public Bike Parking,Public bike parking - uncovered,3 Bikes: YMCA,3,,53.54856,-113.48116,"(53.5485567, -113.4811574)",Yes,0,154,153,4,5,9,6,4,5,50
Edmonton's Public Bike Parking,Public bike parking - uncovered,72 Bikes: Quad Area,72,,53.52592,-113.52501,"(53.525915, -113.5250115)",Yes,4,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,12 Bikes: Federal Building,12,,53.53705,-113.50572,"(53.5370493, -113.5057211)",Yes,1,338,24,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,14 Bikes: Beaver Hills Park,14,,53.54146,-113.50070,"(53.541455, -113.5007)",Yes,1,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,4 Bikes: City Centre,4,,53.54322,-113.49423,"(53.5432242, -113.4942332)",Yes,0,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,32 Bikes: Quad Area,32,,53.52425,-113.52301,"(53.5242503, -113.5230053)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,10 Bikes: Alberta Commissioner for Oaths,10,,53.53669,-113.50769,"(53.536689, -113.5076898)",Yes,1,338,24,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,12 Bikes,12,,53.52646,-113.52003,"(53.5264635, -113.5200334)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,4 Bikes: Legislature Building,4,,53.53358,-113.50630,"(53.5335805, -113.5062951)",Yes,1,338,24,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,4 Bikes: 100 Ave,4,,53.53902,-113.50319,"(53.5390195, -113.5031891)",Yes,1,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,24 Bikes: Van Vliet,24,,53.52459,-113.52753,"(53.5245852, -113.5275275)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: Biological Science,8,,53.52965,-113.52664,"(53.5296459, -113.5266423)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: Nurses' Residence,8,,53.51965,-113.52700,"(53.5196547, -113.5269964)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,6 Bikes: YMCA,6,,53.54242,-113.49579,"(53.5424241, -113.4957942)",Yes,1,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,3 Bikes: Epcor Tower,3,,53.54733,-113.49349,"(53.5473328, -113.4934902)",Yes,1,338,130,4,5,9,6,4,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,16 Bikes: Computing Science,16,,53.52657,-113.52708,"(53.5265687, -113.5270822)",No,0,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,9 Bikes: Chateau Lacombe,9,,53.53946,-113.49365,"(53.5394626, -113.4936512)",Yes,1,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,64 Bikes: Biological Science,64,,53.52924,-113.52529,"(53.5292409, -113.5252851)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,24 bikes: Stollery Hospital South Entrance,24,,53.51956,-113.52319,"(53.5195558, -113.523193)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: Muttart  Conservatory,8,Bike racks are located outside to the left of the main entrance.,53.53551,-113.47644,"(53.5355094, -113.4764394)",Yes,1,398,126,4,5,11,8,7,5,83
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: St. Stephen's College,8,,53.52439,-113.52143,"(53.5243875, -113.5214254)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,20 bikes: MacEwan 106 St Building Bike Parking,20,,53.54681,-113.50492,"(53.5468133, -113.5049218)",Yes,1,338,242,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,36 Bikes: Rogers Place,36,,53.54759,-113.49867,"(53.5475942, -113.4986669)",Yes,1,338,222,4,5,9,6,6,5,104
Edmonton's Public Bike Parking,Public bike parking - uncovered,32 Bikes: Central Academic Building,32,,53.52660,-113.52506,"(53.5266038, -113.5250598)",Yes,1,121,146,6,5,11,8,6,5,356
Edmonton's Public Bike Parking,Public bike parking - uncovered,8 Bikes: East City Hall Fountain,8,Bike rack is located east of the City Hall fountain.,53.54515,-113.48961,"(53.5451526, -113.4896117)",Yes,0,338,242,4,5,9,6,4,5,104
