"responsedate","completiondate","q01","q02","q1ai","q1b","q2","q3_purchased_local_food","q3_visited_a_farmers_market","q3_planted_a_food_garden","q3_supported_a_community_food_garden","q3_purchased_food_directly_from_a_local_producer","q3_supported_a_community_supported_agriculture_program","q3_pursued_new_cooking_skills","q3_foraged_hunted_or_fished","q3_raised_bees_or_hens","q3_redistributed_surplus_food","q3_learned_how_to_manage_household_food_waste","q4_there_are_more_opportunities_to_buy_local_food_now_compared_to_12_months_ago","q4_there_are_more_places_to_buy_local_food_now_compared_to_12_months_ago","q4_more_people_are_producing_their_own_food_in_edmonton_now_compared_to_12_months_ago","q4_more_variety_of_local_food_products_is_available_in_edmonton_now_compared_with_12_months_ago","q4_more_people_are_employed_in_the_local_food_system_now_than_compared_to_12_months_ago","q5","q6","q7","q7b_because_of_health_reasons","q7b_because_i_want_to_support_the_local_economy","q7b_because_of_environmental_reasons","q7b_because_of_community_cultural_or_recreational_reasons","q7b_because_of_personal_economic_reasons","q7b_other_please_specify","q8","q9a_diverse_cultural_preferences","q9a_diverse_dietary_needs","q10a","q11a_local_food_contributes_to_healthier_ecosystems","q11a_local_food_contributes_to_more_vibrant_attractive_and_unique_places","q11a_local_food_contributes_to_a_stronger_more_vibrant_local_economy","q11a_local_food_contributes_to_a_healthier_and_more_food_secure_community","q11a_local_food_contributes_to_reducing_energy_emissions_and_waste","gender","age","education","employment_status","fsa","ostype","devicetype","browsertype","q3_own_rent_study_profiling_questionnaire_2014","q7_children_study_profiling_questionnaire_2014","q8_born_canada_study_profiling_questionnaire_2014","q9a_edmonton_study_profiling_questionnaire_2014","q10_own_business_study_profiling_questionnaire_2014","q11_home_language_study_profiling_questionnaire_2014","q13_volunteer_study_profiling_questionnaire_2014","q14a_primary_transportation_study_profiling_questionnaire_2014","q14b_secondary_transportation_study_profiling_questionnaire_2014","q15_household_income_study_profiling_questionnaire_2014","q17_city_employee_study_profiling_questionnaire_2014"
"2017-03-27T11:13:00.000","2017-03-27T11:18:00.000","No","Yes","Agree","Slightly familiar","Stayed about the same in the last 12 months","4 Did it more","4 Did it more","1 Didn't do it","3 Did about the same","3 Did about the same","3 Did about the same","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","3 Did about the same","2 Somewhat Disagree","2 Somewhat Disagree","2 Somewhat Disagree","1 Strongly Disagree","1 Strongly Disagree","Remained as knowledgeable now as you were 12 months ago about where your food comes from","Remained as knowledgeable now as they were 12 months ago about where your food comes from","More","0","1","0","0","0","0","About the same","5 Strongly Agree","5 Strongly Agree","The same","2 Somewhat Disagree","2 Somewhat Disagree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","2 Somewhat Disagree","Female","Prefer not to answer","University undergraduate degree","Employed full-time (30+ hours a week)","T6L","Windows","Desktop","Google Chrome","Own","No","Yes","Greater than 5 years","No","English","No","Car/truck/van as PASSENGER","Public Transit","Prefer not to answer","No"
"2017-03-27T11:01:00.000","2017-03-27T11:05:00.000","No","No","Agree","Somewhat familiar","I don’t know","3 Did about the same","3 Did about the same","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","3 Did about the same","1 Didn't do it","1 Didn't do it","1 Didn't do it","4 Did it more","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","Don't know","3 Neither Agree nor Disagree","Don't know","Become MORE knowledgeable about where your food comes from","I don’t know","More","1","1","1","0","1","0","I don't know","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","The same","4 Somewhat Agree","3 Neither Agree nor Disagree","4 Somewhat Agree","4 Somewhat Agree","4 Somewhat Agree","Male","""35-39""","College / technical school graduate","Employed full-time (30+ hours a week)","T5T","Android","Phone","Unknown","Own","Yes","Yes","Greater than 5 years","No","English","No","Car/truck/Van as DRIVER","Walk","$80,000 to $99,999","No"
"2017-03-27T16:26:00.000","2017-03-28T09:43:00.000","Yes","Yes","Agree","Moderately familiar","Stayed about the same in the last 12 months","3 Did about the same","2 Did less of it","4 Did it more","3 Did about the same","3 Did about the same","3 Did about the same","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","3 Did about the same","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","2 Somewhat Disagree","2 Somewhat Disagree","Remained as knowledgeable now as you were 12 months ago about where your food comes from","I don’t know","About the same",,,,,,,"More","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","I don't know","4 Somewhat Agree","4 Somewhat Agree","4 Somewhat Agree","4 Somewhat Agree","5 Strongly Agree","Male","""30-34""","College / technical school graduate","Employed full-time (30+ hours a week)","T5G","Windows","Desktop","Google Chrome","Own","No","Yes","Greater than 5 years","Yes","English","Yes","Public Transit","Bicycle","$30,000 to $39,999","No"
"2017-03-27T15:08:00.000","2017-03-27T15:11:00.000","Yes","Yes","Agree","Moderately familiar","I don’t know","4 Did it more","4 Did it more","4 Did it more","1 Didn't do it","4 Did it more","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","3 Did about the same","4 Did it more","4 Somewhat Agree","4 Somewhat Agree","5 Strongly Agree","4 Somewhat Agree","Don't know","Become MORE knowledgeable about where your food comes from","I don’t know","More","1","0","1","1","0","0","About the same","I don't know","I don't know","The same","5 Strongly Agree","4 Somewhat Agree","5 Strongly Agree","5 Strongly Agree","4 Somewhat Agree","Male","""45-49""","Professional school graduate (e.g. medicine, dentistry, veterinary medicine, optometry)","Employed full-time (30+ hours a week)","T6V","Android","Phone","Unknown","Own","No","Yes","Greater than 5 years","Yes","English","No","Car/truck/Van as DRIVER","Bicycle","$150,000 and over","No"
"2017-03-30T21:26:00.000","2017-03-30T21:32:00.000","No","No","Agree","Not at all familiar","I don’t know","3 Did about the same","3 Did about the same","1 Didn't do it","3 Did about the same","3 Did about the same","1 Didn't do it","3 Did about the same","1 Didn't do it","1 Didn't do it","1 Didn't do it","3 Did about the same","Don't know","Don't know","Don't know","Don't know","Don't know","Remained as knowledgeable now as you were 12 months ago about where your food comes from","I don’t know","About the same",,,,,,,"I don't know","I don't know","I don't know","I don't know","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","I prefer not to answer","""40-44""","Post-graduate degree","Employed full-time (30+ hours a week)","T6H","Mac (OS X)","Desktop","Google Chrome","Own","No","Yes","Greater than 5 years","Yes","English","Yes","Walk","Public Transit","Prefer not to answer","Prefer not to say"
"2017-03-27T13:44:00.000","2017-03-27T13:53:00.000","Yes","No","Agree","Moderately familiar","I don’t know","3 Did about the same","4 Did it more","4 Did it more","1 Didn't do it","3 Did about the same","1 Didn't do it","4 Did it more","4 Did it more","1 Didn't do it","1 Didn't do it","3 Did about the same","Don't know","Don't know","Don't know","2 Somewhat Disagree","2 Somewhat Disagree","Become MORE knowledgeable about where your food comes from","I don’t know","More","1","1","0","0","0","0","I don't know","I don't know","2 Somewhat Disagree","More barriers","4 Somewhat Agree","4 Somewhat Agree","5 Strongly Agree","5 Strongly Agree","2 Somewhat Disagree","Male","""65-69""","College / technical school graduate","Employed full-time (30+ hours a week)","T6W","Windows","Desktop","Google Chrome","Rent","No","Yes","Greater than 5 years","Yes","English","Yes","Car/truck/Van as DRIVER","Only have one mode of transportation","$150,000 and over","No"
"2017-03-27T20:13:00.000","2017-03-27T20:31:00.000","No","No","Agree","Somewhat familiar","Improved in the last 12 months","4 Did it more","4 Did it more","3 Did about the same","Not applicable","4 Did it more","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","4 Did it more","4 Somewhat Agree","3 Neither Agree nor Disagree","Don't know","4 Somewhat Agree","4 Somewhat Agree","Remained as knowledgeable now as you were 12 months ago about where your food comes from","Remained as knowledgeable now as they were 12 months ago about where your food comes from","More","1","1","0","0","0","0","About the same","4 Somewhat Agree","5 Strongly Agree","More barriers","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","Male","""55-59""","Post-graduate degree","Employed full-time (30+ hours a week)","T6J","Unknown","Phone","Unknown","Own","Yes","Yes","Greater than 5 years","No","English","Yes","Other (Specify)","Walk","$100,000 to $149,000","No"
"2017-03-27T14:46:00.000","2017-03-27T14:51:00.000","No","No","Agree","Moderately familiar","Improved in the last 12 months","4 Did it more","4 Did it more","1 Didn't do it","3 Did about the same","4 Did it more","1 Didn't do it","4 Did it more","1 Didn't do it","1 Didn't do it","3 Did about the same","3 Did about the same","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","Become MORE knowledgeable about where your food comes from","Become MORE knowledgeable about where their food comes from","About the same",,,,,,,"More","2 Somewhat Disagree","4 Somewhat Agree","Fewer barriers","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","Female","""35-39""","University undergraduate degree","Employed full-time (30+ hours a week)","T6G","iOS","Phone","Safari","Own","Yes","Yes","Greater than 5 years","No","English","Yes","Car/truck/Van as DRIVER","Walk","$150,000 and over","No"
"2017-03-27T13:26:00.000","2017-03-27T13:31:00.000","No","Yes","Agree","Moderately familiar","I don’t know","3 Did about the same","3 Did about the same","1 Didn't do it","1 Didn't do it","3 Did about the same","1 Didn't do it","4 Did it more","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","Remained as knowledgeable now as you were 12 months ago about where your food comes from","Remained as knowledgeable now as they were 12 months ago about where your food comes from","About the same",,,,,,,"About the same","4 Somewhat Agree","4 Somewhat Agree","The same","5 Strongly Agree","4 Somewhat Agree","5 Strongly Agree","5 Strongly Agree","5 Strongly Agree","Male","""40-44""","Post-graduate degree","Employed full-time (30+ hours a week)","T5R","Windows","Desktop","Firefox","Own","Yes","No","Greater than 5 years","No","Other (Specify)","No","Car/truck/Van as DRIVER","Only have one mode of transportation","$150,000 and over","Prefer not to say"
"2017-03-27T12:06:00.000","2017-03-27T12:11:00.000","No","No","Agree","Not at all familiar","I don’t know","4 Did it more","4 Did it more","4 Did it more","1 Didn't do it","4 Did it more","1 Didn't do it","Not applicable","Not applicable","1 Didn't do it","4 Did it more","4 Did it more","Don't know","Don't know","3 Neither Agree nor Disagree","Don't know","Don't know","Remained as knowledgeable now as you were 12 months ago about where your food comes from","I don’t know","More","1","1","1","1","0","0","About the same","I don't know","I don't know","The same","4 Somewhat Agree","Don't know","4 Somewhat Agree","4 Somewhat Agree","4 Somewhat Agree","Female","""40-44""","High school graduate","Employed full-time (30+ hours a week)","T5B","Windows","Desktop","Google Chrome","Own","Yes","Yes","Greater than 5 years","No","English","No","Other (Specify)","Car/truck/Van as DRIVER","$150,000 and over","No"
"2017-03-28T06:03:00.000","2017-03-28T06:10:00.000","No","No","Agree","Somewhat familiar","Improved in the last 12 months","3 Did about the same","3 Did about the same","4 Did it more","1 Didn't do it","3 Did about the same","1 Didn't do it","3 Did about the same","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","3 Neither Agree nor Disagree","4 Somewhat Agree","4 Somewhat Agree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","Remained as knowledgeable now as you were 12 months ago about where your food comes from","Remained as knowledgeable now as they were 12 months ago about where your food comes from","About the same",,,,,,,"About the same","2 Somewhat Disagree","3 Neither Agree nor Disagree","The same","4 Somewhat Agree","3 Neither Agree nor Disagree","4 Somewhat Agree","5 Strongly Agree","3 Neither Agree nor Disagree","Male","""55-59""","College / technical school graduate","Retired","T5M","Mac (OS X)","Desktop","Firefox","Own","No","Yes","Greater than 5 years","No","English","Yes","Car/truck/Van as DRIVER","Other (Specify)","Prefer not to answer","No"
"2017-03-27T11:07:00.000","2017-03-27T11:16:00.000","No","Yes","Agree","Somewhat familiar","I don’t know","3 Did about the same","3 Did about the same","1 Didn't do it","1 Didn't do it","3 Did about the same","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","3 Did about the same","Don't know","Don't know","4 Somewhat Agree","Don't know","Don't know","Remained as knowledgeable now as you were 12 months ago about where your food comes from","I don’t know","About the same",,,,,,,"I don't know","I don't know","I don't know","I don't know","4 Somewhat Agree","3 Neither Agree nor Disagree","4 Somewhat Agree","4 Somewhat Agree","5 Strongly Agree","Male","""75-79""","Professional school graduate (e.g. medicine, dentistry, veterinary medicine, optometry)","Retired","T6H","Windows","Desktop","Google Chrome","Own","No","No","Greater than 5 years","No","English","Yes","Car/truck/Van as DRIVER","Walk","$60,000 to $79,999","No"
"2017-03-27T15:36:00.000","2017-03-27T15:49:00.000","Yes","No","Agree","Moderately familiar","Stayed about the same in the last 12 months","3 Did about the same","2 Did less of it","3 Did about the same","1 Didn't do it","3 Did about the same","1 Didn't do it","2 Did less of it","1 Didn't do it","1 Didn't do it","1 Didn't do it","4 Did it more","3 Neither Agree nor Disagree","4 Somewhat Agree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","3 Neither Agree nor Disagree","Remained as knowledgeable now as you were 12 months ago about where your food comes from","I don’t know","More","0","1","1","0","0","0","I don't know","4 Somewhat Agree","4 Somewhat Agree","The same","4 Somewhat Agree","4 Somewhat Agree","4 Somewhat Agree","4 Somewhat Agree","4 Somewhat Agree","Male","""55-59""","University undergraduate degree","Employed full-time (30+ hours a week)","T5T","Windows","Desktop","Google Chrome","Own","No","Yes","Greater than 5 years","No","English","Yes","Car/truck/Van as DRIVER","Only have one mode of transportation","$150,000 and over","No"
"2017-03-27T12:01:00.000","2017-03-30T08:29:00.000","Yes","Yes","Agree","Slightly familiar","I don’t know","3 Did about the same","3 Did about the same","1 Didn't do it","1 Didn't do it","3 Did about the same","1 Didn't do it","3 Did about the same","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","4 Somewhat Agree","4 Somewhat Agree","Don't know","Don't know","Don't know","Remained as knowledgeable now as you were 12 months ago about where your food comes from","I don’t know","About the same",,,,,,,"More","I don't know","I don't know","The same","5 Strongly Agree","4 Somewhat Agree","5 Strongly Agree","5 Strongly Agree","4 Somewhat Agree","Male","""30-34""","College / technical school graduate","Employed full-time (30+ hours a week)","T5K","Windows","Desktop","Google Chrome","Own","No","Yes","Greater than 5 years","No","English","Yes","Walk","Car/truck/Van as DRIVER","$80,000 to $99,999","No"
"2017-03-27T11:01:00.000","2017-03-27T11:05:00.000","Yes","Yes","Agree","Slightly familiar","I don’t know","3 Did about the same","3 Did about the same","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","1 Didn't do it","Don't know","4 Somewhat Agree","Don't know","Don't know","Don't know","Remained as knowledgeable now as you were 12 months ago about where your food comes from","I don’t know","About the same",,,,,,,"More","I don't know","I don't know","I don't know","3 Neither Agree nor Disagree","5 Strongly Agree","5 Strongly Agree","4 Somewhat Agree","4 Somewhat Agree","Female","""30-34""","University undergraduate degree","Employed full-time (30+ hours a week)","T5M","Windows","Desktop","Google Chrome","Own","No","Yes","Greater than 5 years","No","English","Yes","Car/truck/Van as DRIVER","Bicycle","$60,000 to $79,999","No"
"2017-03-27T11:01:00.000","2017-03-27T11:07:00.000","No","No","Agree","Somewhat familiar","Stayed about the same in the last 12 months","3 Did about the same","1 Didn't do it","1 Didn't do it","3 Did about the same","1 Didn't do it","1 Didn't do it","3 Did about the same","1 Didn't do it","1 Didn't do it","Not applicable","3 Did about the same","4 Somewhat Agree","4 Somewhat Agree","4 Somewhat Agree","4 Somewhat Agree","3 Neither Agree nor Disagree","Remained as knowledgeable now as you were 12 months ago about where your food comes from","Remained as knowledgeable now as they were 12 months ago about where your food comes from","About the same",,,,,,,"About the same","4 Somewhat Agree","4 Somewhat Agree","The same","4 Somewhat Agree","4 Somewhat Agree","4 Somewhat Agree","4 Somewhat Agree","4 Somewhat Agree","Male","""45-49""","College / technical school graduate","Employed full-time (30+ hours a week)","T5X","Android","Phone","Android","Own","No","Yes","Greater than 5 years","No","English","No","Public Transit","Walk","$60,000 to $79,999","No"
