"award_number","rebate_amount","city","state","county","zip","age","gender","date_of_purchase","dealership","vehicle_type","make","model","year","lease","gasoline_emissions","alt_fuel_emissions","emissions_avoided"
"BEV0818182","3500","Wilmington","DE","New Castle","19808","53","M","2018-08-15T00:00:00.000","Sheridan Nissan","Electric","Nissan","Leaf","2018","No","11435","5645","5790"
"BEV0818183","3500","Wilmington","DE","New Castle","19808","40","F","2018-06-30T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0818184","3500","Newark","DE","New Castle","19711","64","M","2018-08-16T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0818185","3500","Bear","DE","New Castle","19701","32","M","2018-08-25T00:00:00.000","Porter Nissan","Electric","Nissan","Leaf","2018","No","11435","5645","5790"
"BEV0818186","3500","Newark","DE","New Castle","19713","60","F","2018-08-29T00:00:00.000","Heritage Chevrolt/Buick","Electric","Chevrolet","Bolt","2018","Yes","11435","5645","5790"
"BEV0818187","3500","Wilmington","DE","New Castle","19804","57","M","2018-08-18T00:00:00.000","Nucar Chevrolet","Electric","Chevrolet","Bolt","2018","Yes","11435","5645","5790"
"BEV0818188","3500","Lewes","DE","Sussex","19958",,,"2018-06-19T00:00:00.000","Tesla Motors","Electric","Tesla","Model S","2018","No","11435","5645","5790"
"BEV0918189","3500","Hockessin","DE","New Castle","19707","42","M","2018-08-08T00:00:00.000","Porter Nissan","Electric","Nissan","Leaf","2018","No","11435","5645","5790"
"BEV0918190","3500","Millsboro","DE","Sussex","19966","26","M","2018-08-30T00:00:00.000","Herb Gordon Nissan","Electric","Nissan","Leaf","2018","No","11435","5645","5790"
"BEV0918191","3500","Frederica","DE","Kent","19946","51","F","2018-06-15T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0918192","3500","Middletown","DE","New Castle","19709","58","M","2018-08-04T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0918193","3500","Newark","DE","New Castle","19711","34","F","2018-07-22T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0918194","3500","Newark","DE","New Castle","19713","47","F","2018-09-06T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0918195","3500","Greenville","DE","New Castle","19807","61","M","2018-02-16T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0918196","3500","Magnolia","DE","Kent","19962",,"M","2018-08-16T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0918197","1500","Hockessin","DE","New Castle","19707","54","F","2017-06-27T00:00:00.000","Tesla Motors","Electric","Tesla","Model S","2017","No","11435","5645","5790"
"BEV0918198","3500","Smyrna","DE","Kent","19977","53","M","2018-08-31T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0918199","3500","Newark","DE","New Castle","19711","50","M","2018-09-10T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0918200","3500","Ellendale","DE","Sussex","19941","46","F","2018-08-25T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0918201","3500","Wilmington","DE","New Castle","19807","63","M","2018-09-19T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV0918202","3500","Magnolia","DE","Kent","19962","53","M","2018-07-25T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018203","3500","Millsboro","DE","Sussex","19966","26","M","2018-09-26T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018204","3500","Frankford","DE","Sussex","19945","34","M","2018-09-27T00:00:00.000","Nucar Chevrolet","Electric","Chevrolet","Bolt","2019","No","11435","5645","5790"
"BEV1018205","3500","Claymont","DE","New Castle","19703","27","M","2018-09-17T00:00:00.000","Sheridan Nissan","Electric","Nissan","Leaf","2018","No","11435","5645","5790"
"BEV1018206","3500","Wilmington","DE","New Castle","19807","43","M","2018-09-28T00:00:00.000","Faulkner Nissan","Electric","Nissan","Leaf","2018","No","11435","5645","5790"
"BEV1018207","3500","Rehoboth Beach","DE","Sussex","19971","50","M","2018-08-11T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018208","3500","Wilmington","DE","New Castle","19808","29","M","2018-09-04T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018209","3500","Wilmington","DE","New Castle","19806","24","M","2018-09-19T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018210","3500","Wilmington","DE","New Castle","19803","69","M","2018-09-17T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018211","3500","Wilmington","DE","New Castle","19805","44","M","2018-08-28T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018212","3500","Wilmington","DE","New Castle","19803","36","M","2018-08-08T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018213","3500","Wilmington","DE","New Castle","19801","40","M","2018-09-22T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018214","3500","Dover","DE","Kent","19901","48","M","2018-09-25T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018215","3500","Newark","DE","New Castle","19702","40","M","2018-07-12T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018216","3500","Felton","DE","Kent","19943","58","M","2018-09-15T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018217","3500","Newark","DE","New Castle","19711","30","M","2018-09-26T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018218","3500","Bear","DE","New Castle","19701","42","F","2018-09-19T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018219","3500","Wilmington","DE","New Castle","19808","40","M","2018-09-19T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018220","3500","Bear","DE","New Castle","19701","52","M","2018-09-20T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018221","3500","Newark","DE","New Castle","19713",,"M","2018-08-30T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018222","3500","Wilmington","DE","New Castle","19808",,"M","2018-10-16T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018223","3500","Middletown","DE","New Castle","19709","44","F","2018-06-28T00:00:00.000","Tesla Motors","Electric","Tesla","Model X","2018","No","11435","5645","5790"
"BEV1018224","3500","Rehoboth Beach","DE","Sussex","19971","48","M","2018-09-30T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018225","3500","Bethany Beach","DE","Sussex","19930","55","M","2018-08-31T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018226","3500","Magnolia","DE","Kent","19962",,"M","2018-10-16T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018227","3500","Wilmington","DE","New Castle","19809","65","M","2018-10-06T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018228","3500","Middletown","DE","New Castle","19709","65","M","2018-09-25T00:00:00.000","Tesla Motors","Electric","Tesla","Model X","2018","No","11435","5645","5790"
"BEV1018229","3500","Middletown","DE","New Castle","19709","36","M","2018-10-16T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018230","3500","Wilmington","DE","New Castle","19803","75","M","2018-10-04T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018231","3500","Rehoboth Beach","DE","Sussex","19971","52","F","2018-07-27T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018232","3500","Wilmington","DE","New Castle","19810","28","M","2018-10-10T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018233","3500","Newark","DE","New Castle","19711","57","M","2018-09-28T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018234","3500","Milford","DE","Sussex","19963","70","M","2018-09-29T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018235","3500","Middletown","DE","New Castle","19709","37","M","2018-10-27T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018236","3500","Wilmington","DE","New Castle","19803","35","M","2018-08-31T00:00:00.000","Diver Chevrolet","Electric","Chevrolet","Bolt","2019","No","11435","5645","5790"
"BEV1018237","3500","Dover","DE","Kent","19904","41","M","2018-09-25T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1018238","3500","Smyrna","DE","Kent","19977","28","M","2018-06-22T00:00:00.000","Diver Chevrolet","Electric","Chevrolet","Bolt","2018","Yes","11435","5645","5790"
"BEV1018239","3500","Middletown","DE","New Castle","19709","46","M","2018-08-31T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1118240","3500","Dover","DE","Kent","19904","31","M","2018-06-13T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1118241","3500","Wilmington","DE","New Castle","19803","39","F","2018-10-31T00:00:00.000","Diver Chevrolet","Electric","Chevrolet","Bolt","2019","No","11435","5645","5790"
"BEV1118242","3500","Newark","DE","New Castle","19711","52","M","2018-10-15T00:00:00.000","Sheridan Nissan","Electric","Nissan","Leaf","2018","No","11435","5645","5790"
"BEV1118243","3500","Middletown","DE","New Castle","19709","43","F","2018-10-30T00:00:00.000","Diver Chevrolet","Electric","Chevrolet","Bolt","2019","No","11435","5645","5790"
"BEV1118244","3500","Wilmington","DE","New Castle","19803","51","F","2018-11-05T00:00:00.000","Nucar Chevrolet","Electric","Chevrolet","Bolt","2019","No","11435","5645","5790"
"BEV1118245","3500","Newark","DE","New Castle","19711","61","M","2018-09-13T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1118246","3500","Newark","DE","New Castle","19702","34","M","2018-11-01T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1118247","3500","Hockessin","DE","New Castle","19707","40","M","2018-09-29T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1118248","1000","Bear","DE","New Castle","19701","52","M","2018-09-29T00:00:00.000","Tesla Motors","Electric","Tesla","Model X","2018","No","11435","5645","5790"
"BEV1118249","3500","Wilmington","DE","New Castle","19803","39","F","2018-09-11T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1118250","3500","Newark","DE","New Castle","19702","65","F","2018-11-12T00:00:00.000","Porter Nissan","Electric","Nissan","Leaf","2019","No","11435","5645","5790"
"BEV1118251","3500","Hockessin","DE","New Castle","19707","48","M","2018-09-29T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1118252","3500","Wilmington","DE","New Castle","19803","41","M","2018-11-16T00:00:00.000","Tesla Motors","Electric","Tesla","Model 3","2018","No","11435","5645","5790"
"BEV1118253","3500","Wilmington","DE","New Castle","19803","50","M","2018-11-15T00:00:00.000","Nucar Chevrolet","Electric","Chevrolet","Bolt","2019","No","11435","5645","5790"
"BEV1118254","3500","Middletown","DE","New Castle","19709","62","M","2018-11-16T00:00:00.000","Nucar Chevrolet","Electric","Chevrolet","Bolt","2019","No","11435","5645","5790"
