"agency","invoice_date","client_reference","program_year","city","county","zip","unit_ownership","housing_unit_type","elderly","children","disabled_occupants","native_american_occupants","other_occupants","total_occupants","primary_heating_fuel","utility","unit_year_built","unit_size","unit_stories","auditor","wx_contractor","hvac_contractor","final_inspector","pre_wx_test_cfm","post_wx_test_cfm","total_cfm_difference","funding_assignment","furnace_replacement","total_invoice_cost","po_amount_wap_base","po_amount_rggi_wap","po_amount_wap_utility","po_amount_liheap","hs_amount_wap_base","hs_amount_rggi_wap","hs_amount_wap_utility","hs_amount_liheap"
"Energy Coordinating Agency","2018-11-30T00:00:00.000","N18-1317769931","2018","Newark","New Castle","19702","Own","Single Family Attached","0","3","0","0","1","4","Gas","Delmarva","1988","1075","2","Peter P.","ECA",,"Veronica I.","3676","2563","1113","LIHEAP","N","1842.83",,,,"1491.83",,,,"351.00"
"Energy Coordinating Agency","2018-11-28T00:00:00.000","N18-104057567","2018","New Castle","New Castle","19720","Own","Single Family Detached","1","0","0","0","2","3","Gas","Delmarva","1994","1627","2","Peter P.","ECA",,"Chuck G.","3023","2180","843","LIHEAP","N","1954.09",,,,"1836.48",,,,"117.61"
"Catholic Charities","2014-10-30T00:00:00.000","S14-1687161802","2014","Bridgeville","Sussex","19933","Own","Mobile Home","1","0","1","0","0","1","Electric",,"1991","1401","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2788","2014","774","WAP BASE","N","2983.60","2248.60",,,,,,,
"Energy Coordinating Agency","2018-10-19T00:00:00.000","N18-1920677265","2018","Wilmington","New Castle","19808","Rent","Mobile Home",,,"1",,"1","2","Oil","Delmarva",,,,"Mat H.","ECA",,"Training",,,"0","WAP Base FY17",,"0.00",,,,,,,,
"Catholic Charities","2014-11-11T00:00:00.000","K14-1543314152","2014","Camden","Kent","19934","Own","Single-Family Detached","0","1","0","0","1","2","Oil",,"1963","672","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2341","1903","438","WAP BASE","N","3539.42","2737.42",,,,"802.00",,,
"Energy Coordinating Agency","2018-12-07T00:00:00.000","N18-16324163","2018","Wilmington","New Castle","19802","Own","Single-Family Attached","1","0","0","0","0","1","Gas","Delmarva","1910","1110","2","Steve C.","Efficient Home",,"Chuck G.","4030","3388","642","LIHEAP/WAP Utility","N","3470.05",,,"500.00","1807.55",,,"712.50","450.00"
"Catholic Charities","2014-11-19T00:00:00.000","K14-101554965","2014","Dover","Kent","19904","Own","Single-Family Detached","2","0","0","0","0","2","Electric",,"1955","925","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1361","1155","206","WAP BASE","N","4040.67","2799.42",,,,,,,
"Energy Coordinating Agency","2018-12-06T00:00:00.000","N18-1552064025","2018","Wilmington","New Castle","19802","Own","Single-Family Attached","0","1","0","0","2","3","Gas","Delmarva","1935","1725","2","Chris R.","Efficient Home",,"Chuck G.","7003","5338","1665","LIHEAP/WAP Utility","N","6817.00",,,,"5363.00",,,"500.00","954.00"
"Energy Coordinating Agency","2018-12-20T00:00:00.000","N18-105039598","2018","Bear","New Castle","19701","Own","Single-Family Detached","0","2","0","0","2","4","Electric","Delmarva","1980","1107","1","Peter P.","ECA",,"Chuck G.","1549","1460","89","LIHEAP","N","571.06",,,,"533.06",,,,"38.00"
"Energy Coordinating Agency","2018-12-21T00:00:00.000","N18-1263278511","2018","Wilmington","New Castle","19802","Own","Single-Family Attached","0","3","1","0","1","5","Gas","Delmarva","2005","2011","2","Steve C.","Efficient Home",,"Chuck G.","2011","1836","175","LIHEAP/WAP Utility","N","2966.60",,,,"2099.60",,,"467.00","400.00"
"Catholic Charities","2014-11-25T00:00:00.000","N14-321052526","2014","Newark","New Castle","19702","Own","Single-Family Detached","0","0","0","0","1","1","Electric",,"1979","2200","2","Joe T.","CSC","Affordable HVAC","Ed W.","3400","2154","1246","WAP BASE","N","5485.90","4327.90",,,,,,,
"Energy Coordinating Agency","2018-12-28T00:00:00.000","N18-211538395","2018","Wilmington","New Castle","19808","Own","Mobile Home","2","0","0","0","2","4","Propane","Delmarva/Kirkwood Gas Co.","1970","720","1","Peter P.","Efficient Home",,"Chuck G.","3350","2109","1241","LIHEAP/WAP Utility","N","4999.31",,,,"3328.81",,,"920.50","750.00"
"Energy Coordinating Agency","2018-12-29T00:00:00.000","N18-592536322","2018","Wilmington","New Castle","19801","Own","Single-Family Attached","0","0","1","0","1","2","Gas","Delmarva","1920","858","2","Steve C.","Efficient Home",,"Veronica I.","4573","3215","1358","LIHEAP","N","6021.20",,,,"4940.09",,,,"1081.11"
"Catholic Charities","2014-11-25T00:00:00.000","S13-1967389126","2014","Greenwood","Sussex","19950","Own","Mobile Home","0","0","1","0","0","1","Electric",,"1972","1008","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2566","1468","1098","WAP BASE","Y","5606.15","4888.65",,,,,,,
"Catholic Charities","2014-11-26T00:00:00.000","K14-1802650922","2014","Smyrna","Kent","19977","Own","Mobile Home","0","1","1","0","0","2","Electric",,"1985","924","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1762","980","782","WAP BASE","N","5069.05","4458.55",,,,,,,
"Catholic Charities","2014-12-08T00:00:00.000","K13-722140346","2014","Dover","Kent","19901","Own","Mobile Home","0","0","0","0","2","2","Oil",,"1975","980","1","Ed W.","RS Bauer","RS Bauer","Gary H.","1805","1289","516","WAP BASE","N","4854.70","3973.20",,,,,,,
"Catholic Charities","2014-12-10T00:00:00.000","K14-2097525290","2014","Dover","Kent","19901","Own","Single-Family Detached","0","3","0","0","2","5","Oil",,"1952","1766","2","Gary H.","RS Bauer","RS Bauer","Gary H.","3459","2751","708","WAP BASE","N","3879.58","2967.58",,,,,,,
"Energy Coordinating Agency","2018-12-29T00:00:00.000","N18-751258818","2018","New Castle","New Castle","19720","Own","Single-Family Attached","2","0","0","0","2","4","Gas","Delmarva","1959","1575","2","Steve C.","Efficient Home",,"Chuck G.","3743","3290","453","LIHEAP/WAP Utility","N","3351.90",,,,"2139.40",,,"712.50","500.00"
"Catholic Charities","2014-12-11T00:00:00.000","K14-1752606785","2014","Wyoming","Kent","19934","Own","Mobile Home","0","0","1","0","0","1","Electric",,"1995","1512","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2438","1931","507","WAP BASE","N","2020.40","1975.40",,,,,,,
"Energy Coordinating Agency","2019-01-17T00:00:00.000","N18-317782061","2018","New Castle","New Castle","19720","Own","Single-Family Detached","0","2","0","0","2","4","Gas","Delmarva","1952","1600","1","Chris R.","Efficient Home",,"Chuck G.","3173","2010","1163","WAP Utility","N","3790.32",,,"3336.30",,,,"454.02",
"Energy Coordinating Agency","2019-01-18T00:00:00.000","N18-2021533653","2018","Claymont","New Castle","19703","Own","Single-Family Attached","0","1","0","0","3","4","Gas","Delmarva","1947","1780","2","Jerry S.","ECA",,"Veronica I.","2973","2631","342","LIHEAP","N","1863.20",,,,"1578.20",,,,"285.00"
"Catholic Charities","2014-12-17T00:00:00.000","S14-1830977599","2014","Millsboro","Sussex","19966","Own","Mobile Home","0","0","0","0","2","2","Gas",,"1985","1292","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2528","1865","663","WAP BASE","N","6472.50","5532.50",,,,,,,
"Energy Coordinating Agency","2019-01-22T00:00:00.000","N18-299078216","2018","Wilmington","New Castle","19809","Own","Single-Family Attached","0","0","0","0","1","1","Gas","Delmarva","1940","1225","2","Peter P.","ECA",,"Veronica I.","2850","2295","555","LIHEAP","N","2299.56",,,,"2145.76",,,,"153.80"
"Catholic Charities","2014-12-23T00:00:00.000","K13-1233449239","2014","Houston","Kent","19954","Own","Mobile Home","1","0","0","0","0","1","Propane",,"1995","1188","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2502","1543","959","WAP BASE","N","5679.80","4963.80",,,,,,,
"Energy Coordinating Agency","2019-01-31T00:00:00.000","N18-1470606136","2018","Wilmington","New Castle","19803","Own","Single-Family Detached","0","0","0","0","1","1","Electric","Delmarva/Shellhorn & Hill","1980","1800","2","Peter P.","ECA",,"Veronica I.","3449","2631","818","LIHEAP","N","1521.56",,,,"1365.56",,,,"156.00"
"Energy Coordinating Agency","2019-03-05T00:00:00.000","N18-844007580","2018","Newark","New Castle","19711","Own","Single-Family Detached","2","0","0","0","0","0","Oil","Delmarva/Petro Home Ser.","1968","1689","1","Peter P.","ECA",,"Veronica I.","3956","1844","2112","LIHEAP","N","4606.30",,,,"4537.30",,,,"69.00"
"Catholic Charities","2015-01-08T00:00:00.000","S13-875056746","2014","Milford","Sussex","19963","Own","Single-Family Detached","0","4","0","0","1","5","Electric",,"1960","845","1","Gary H.","RS Bauer","RS Bauer","Gary H.","4224","3421","803","RGGI WAP","Y","8993.85",,"5175.85",,,,"3818.00",,
"Energy Coordinating Agency","2019-03-14T00:00:00.000","N18-550136683","2018","Wilmington","New Castle","19802","Own","Single-Family Detached","1","0","0","0","0","1","Oil","Delmarva/Hop Energy","1942","1489","2","Peter P.","ECA",,"Veronica I.","4061","3769","292","LIHEAP","N","1385.30",,,,"1322.30",,,,"63.00"
"Energy Coordinating Agency","2019-03-15T00:00:00.000","N18-34963271","2018","Wilmington","New Castle","19802","Own","Single-Family Attached","0","0","0","0","1","1","Gas","Delmarva","1940","1454","2","Peter P.","ECA",,"Veronica I.","3363","2888","475","LIHEAP","N","1468.00",,,,"1395.00",,,,"73.00"
"Energy Coordinating Agency","2019-03-12T00:00:00.000","N18-1148479780","2018","Claymont","New Castle","19703","Own","Single Family Detached","2","0","0","0","0","2","Gas","Delmarva","1955","1300","1","Peter P.","ECA/Efficient Home",,"Veronica I.","2424","1754","670","LIHEAP","N","7626.60",,,,"6613.60",,,,"1013.00"
"Catholic Charities","2015-01-20T00:00:00.000","N14-1333982923","2014","Wilmington","New Castle","19802","Own","Single-Family Detached","1","0","0","0","0","1","Natural Gas",,"1920","1524","2","Brandon E.","CSC","Affordable HVAC","Ed W.","4009","3352","657","WAP BASE","N","2084.75","1488.80",,,,"595.95",,,
"Catholic Charities","2015-01-22T00:00:00.000","S14-989039968","2014","Georgetown","Sussex","19947","Own","Mobile Home","0","2","0","0","2","4","Electric",,"1986","1008","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2680","2043","637","WAP BASE","N","6396.05","5640.05",,,,"756.00",,,
"Catholic Charities","2015-01-22T00:00:00.000","K14-1312346913","2014","Dover","Kent","19904","Own","Mobile Home","0","3","0","0","1","4","Electric",,"1997","1064","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1227","880","347","WAP BASE","N","5288.85","4805.85",,,,"483.00",,,
"Catholic Charities","2015-01-22T00:00:00.000","S14-395657536","2014","Millsboro","Sussex","19966","Own","Mobile Home","0","0","0","0","1","1","Oil",,"1997","1836","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2476","1783","693","WAP BASE","N","7466.87","6873.20",,,,"593.67",,,
"Energy Coordinating Agency","2019-03-11T00:00:00.000","N18-1173470955","2018","Middletown","New Castle","19709","Own","Mobile Home","2","1","0","0","1","4","Propane","Middletown/Reybild","1987","1244","1","Peter P.","Efficient Home",,"Veronica I.","4467","2280","2187","LIHEAP/RGGI WAP","N","8604.90",,"600.00",,"6904.90",,,,"1100.00"
"Catholic Charities","2015-01-26T00:00:00.000","S14-1076024946","2014","Seaford","Sussex","19973","Own","Mobile Home","1","0","1","0","0","1","Oil",,"1983","858","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2341","1784","557","WAP BASE","N","7044.00","6122.00",,,,"922.00",,,
"Energy Coordinating Agency","2019-03-12T00:00:00.000","N18-1445780726","2018","Wilmington","New Castle","19808","Own","Mobile Home","1","0","0","0","0","1","Oil","Delmarva/Ameri Gas/Hillside Oil","1986","644","1","Peter P.","Efficient Home",,"Veronica I.","2950","1089","1861","LIHEAP","N","5335.40",,,,"4608.40",,,,"727.00"
"Catholic Charities","2015-01-26T00:00:00.000","K14-375490481","2014","Dover","Kent","19904","Own","Single-Family Detached","0","1","1","0","1","3","Gas",,"1972","1550","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2898","2448","450","WAP BASE","N","3236.60","2478.45",,,,"758.15",,,
"Catholic Charities","2015-01-30T00:00:00.000","N14-1459598153","2014","Wilmington","New Castle","19802","Own","Single-Family Detached","0","0","0","0","1","1","Electric",,"2009","1300","2","Ed W.","CSC","Affordable HVAC","Ed W.","2081","1508","573","WAP BASE","N","2767.90","1625.90",,,,"1142.00",,,
"Catholic Charities","2015-02-04T00:00:00.000","S14-1106049579","2014","Bridgeville","Sussex","19833","Own","Mobile Home","0","3","0","0","1","4","Gas",,"1995","952","1","Gary H.","RS Bauer","RS Bauer","Gary H.","3599","2098","1501","WAP BASE","N","6691.65","5809.65",,,,"882.00",,,
"Catholic Charities","2015-02-04T00:00:00.000","K14-1852145473","2014","Magnolia","Kent","19962","Own","Mobile Home","0","2","0","0","1","3","Gas",,"1982","924","1","Gary H.","RS Bauer","RS Bauer","Gary H.","3009","2123","886","RGGI WAP","Y","7979.65",,"4549.15",,,,"3430.50",,
"Catholic Charities","2015-02-05T00:00:00.000","S14-2059947183","2014","Bridgeville","Sussex","19933","Own","Single-Family Detached","0","4","0","0","2","6","Propane",,"1997","1728","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2984","2178","806","WAP BASE","N","6520.10","5755.10",,,,"765.00",,,
"Energy Coordinating Agency","2019-02-01T00:00:00.000","N18-991698941","2018","New Castle","New Castle","19720","Own","Mobile Home","0","0","0","0","1","1","Electric","Delmarva","1986","770","1","Steve C.","Efficient Home",,"Veronica I.","1792","1542","250","LIHEAP/WAP Utility","N","5745.30",,,,"4592.30",,,"293.00","860.00"
"Catholic Charities","2015-02-05T00:00:00.000","S14-1565287185","2014","Millsboro","Sussex","19966","Own","Mobile Home","1","0","0","0","1","2","Oil",,"1981","936","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2763","1954","809","WAP BASE","N","5537.10","4818.10",,,,"719.00",,,
"Energy Coordinating Agency","2019-03-18T00:00:00.000","N18-251057035","2018","Wilmington","New Castle","19802","Own","Single-Family Attached","0","0","0","0","2","2","Gas","Delmarva","2002","1122","2","Steve C.","ECA",,"Veronica I.","1212","890","322","LIHEAP","N","2381.63",,,,"1768.88",,,,"612.75"
"Energy Coordinating Agency","2019-03-27T00:00:00.000","N18-2073259431","2018","Wilmington","New Castle","19808","Own","Mobile Home","0","1","1","0","0","2","Oil","Delmarva/Hillside Oil","1992","1404","2","Peter P.","ECA",,"Veronica I.","3501","2885","616","LIHEAP","N","3217.05",,,,"1921.25",,,,"1295.80"
"Energy Coordinating Agency","2019-01-24T00:00:00.000","N18-625724696","2018","Wilmington","New Castle","19808","Own","Mobile Home","0","0","1","0","0","1","Oil","Delmarva/Hillside Oil","1965","600","1","Peter P.","Efficient Home",,"Veronica I.","1665","1256","409","LIHEAP","N","3599.80",,,,"2806.80",,,,"793.00"
"Catholic Charities","2015-02-11T00:00:00.000","S14-524912836","2014","Millsboro","Sussex","19966","Own","Mobile Home","0","0","0","0","2","2","Propane",,"1989","1008","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2211","1540","671","WAP BASE","N","5266.15","4536.15",,,,"730.00",,,
"Energy Coordinating Agency","2019-01-25T00:00:00.000","N18-1562911715","2018","Middletown","New Castle","19709","Own","Mobile Home","0","0","1","0","2","3","Gas","Mayor & Council of Middletown","2004","924","1","Peter P.","Efficient Home",,"Veronica I.","1021","634","387","LIHEAP/RGGI WAP","N","6009.10",,,,"4868.10",,"241.00",,"900.00"
"Energy Coordinating Agency","2019-04-13T00:00:00.000","N18-1790772954","2018","Wilmington","New Castle","19803","Own","Mobile Home","0","0","0","0","1","0","Gas","Delmarva Power","1950","1440","1","Veronica I.","ECA",,"Veronica I.","3710","1742","1968","LIHEAP","N","3693.09",,,,"2743.29",,,,"949.80"
"Catholic Charities","2015-02-13T00:00:00.000","K14-824128991","2014","Dover","Kent","19901","Own","Single-Family Detached","0","2","0","0","1","3","Oil",,"1979","1578","2","Gary H.","RS Bauer","RS Bauer","Gary H.","3072","2092","980","WAP BASE","N","3091.87","2307.87",,,,"784.00",,,
"Catholic Charities","2015-02-13T00:00:00.000","K14-558194660","2014","Dover","Kent","19901","Own","Mobile Home","0","2","0","0","1","3","Electric",,"1988","924","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2255","1680","575","WAP UTILITY","Y","7894.95",,,"4354.95",,,,"3540.00",
"Energy Coordinating Agency","2019-04-26T00:00:00.000","N18-1320630917","2018","Claymont","New Castle","19703","Own","Mobile Home","0","0","1","0","0","1","Gas","Delmarva Power","1930","1425","1","Jerry S.","ECA",,"Veronica I.","2548","2210","338","LIHEAP","N","3260.60",,,,"2761.60",,,,"499.00"
"Energy Coordinating Agency","2019-05-22T00:00:00.000","N18-271715409","2018","Wilmington","New Castle","19802","Own","Single-Family Attached","0","2","0","0","2","4","Gas","Delmarva Power","1952","1080","2","Chris R.","ECA",,"Veronica I.","4082","2772","1310","LIHEAP/WAP Utility","N","4983.92",,,,"2508.92",,,"1725.00","750.00"
"Catholic Charities","2015-02-24T00:00:00.000","N13-1921993750","2015","Wilmington","New Castle","19805","Own","Single-Family Detached","0","2","0","0","1","3","Electric",,"1920","1300","2","Ed W.","Wysocki","Affordable HVAC","Ed W.","7374","0","7374","WAP UTILITY","N","1000.70",,,"53.20",,,,"947.50",
"Catholic Charities","2019-01-08T00:00:00.000","S18-1079309742","2018","Dagsboro","Sussex","19939","Own","Mobile Home","0","4","1","0","0","5","Propane","DEC/Southern States Dagsboro","2002","1512","1","Gary H.","RS Bauer",,"Gary H.","3479","2117","1362","WAP Base FY18",,"7769.95","6962.95",,,,"807.00",,,
"Catholic Charities","2019-01-09T00:00:00.000","S18-745672989","2018","Milton","Sussex","19968","Own","Single-Family Detached","1","0","0","0","0","1","Electric","DEC","1988","1568","1","Gary H.","RS Bauer",,"Gary H.","3210","1794","1416","WAP Base FY18/RGGI WAP",,"4670.72","3791.72",,,,"600.00","279.00",,
"Catholic Charities","2019-01-09T00:00:00.000","S18-686532330","2018","Georgetown","Sussex","19947","Own","Single-Family Detached","0","0","0","0","1","1","Electric","Delmarva","2001","1288","1","Gary H.","Efficient Home",,"Steve C.","2484","980","1504","WAP Base FY18/WAP Utility",,"4278.40","3156.40",,,,"600.00",,"522.00",
"Catholic Charities","2015-03-12T00:00:00.000","S14-1779730482","2014","Millsboro","Sussex","19966","Own","Mobile Home","2","0","0","0","0","2","Gas",,"1996","1876","1","Gary H.","RS Bauer","RS Bauer","Gary H.","4552","3206","1346","WAP UTILITY","N","7882.40",,,"7398.40",,,,"484.00",
"Catholic Charities","2019-01-10T00:00:00.000","S17-1284770502","2018","Milton","Sussex","19968","Own","Single-Family Detached","0","0","0","0","1","1","Electric","Delmarva","1942","1516","1","Gary H.","RS Bauer",,"Steve C.","4374","2586","1788","WAP Base FY18/WAP Utility",,"6801.35","4496.85",,,,"1000.00",,"1304.50",
"Catholic Charities","2015-03-16T00:00:00.000","S14-113699335","2014","Laurel","Sussex","19956","Own","Mobile Home","0","2","0","0","1","3","Propane",,"1993","924","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1498","1020","478","WAP BASE","N","5284.02","4598.02",,,,"686.00",,,
"Catholic Charities","2015-03-17T00:00:00.000","S14-588561629","2014","Milford","Sussex","19963","Rent","Single-Family Detached","0","4","0","0","2","6","Oil",,"1960","1288","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2513","1592","921","WAP BASE","N","5331.26","4354.26",,,,"977.00",,,
"Catholic Charities","2015-03-18T00:00:00.000","K14-1020805484","2014","Smyrna","Kent","19977","Own","Mobile Home","0","0","1","0","2","3","Propane",,"1991","630","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1629","1117","512","WAP BASE","N","4709.00","3704.00",,,,,,,
"Catholic Charities","2015-03-23T00:00:00.000","S14-164746079","2014","Laurel","Sussex","19956","Own","Mobile Home","0","0","0","0","1","1","Electric",,"1989","1064","1","Ed W./ Gary H.","RS Bauer","RS Bauer","Gary H.","2948","1524","1424","WAP BASE","N","6215.65","5573.65",,,,,,,
"Catholic Charities","2019-01-10T00:00:00.000","N17-273051321","2018","New Castle","New Castle","19720","Own","Single-Family Detached",,,,,,,,,,,,,,,,,,"0","WAP Utility",,"4291.20",,,"4291.20",,,,,
"Catholic Charities","2015-03-26T00:00:00.000","S14-1208107600","2014","Lincoln","Sussex","19960","Own","Single-Family Detached","2","0","1","0","0","2","Propane",,"2004","1836","1","Gary H.","RS Bauer","RS Bauer","Gary H.","3147","1928","1219","WAP BASE","N","5198.34","4152.34",,,,,,,
"Catholic Charities","2015-03-26T00:00:00.000","K13-1592959608","2014","Dover","Kent","19901","Own","Mobile Home","0","1","0","0","1","2","Electric",,"1990","1008","1","Ed W./ Gary H.","RS Bauer","RS Bauer","Gary H.","2163","1290","873","WAP BASE","N","5349.22","4680.22",,,,,,,
"Catholic Charities","2015-03-30T00:00:00.000","K14-1220243677","2014","Felton","Kent","19943","Own","Single-Family Detached","2","0","0","0","0","2","Oil",,"1960","1008","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1317","959","358","WAP BASE","N","4053.78","3350.28",,,,,,,
"Catholic Charities","2015-03-31T00:00:00.000","N14-2118588939","2014","Newark","New Castle","19711","Own","Single-Family Detached","0","2","0","0","1","3","Oil",,"1953","1685","2","Ed W.","CSC","RS Bauer","Ed W.","3263","2260","1003","WAP BASE","N","3734.80","2999.80",,,,,,,
"Catholic Charities","2019-01-09T00:00:00.000","S18-2044667102","2018","Georgetown","Sussex","19947","Own","Mobile Home","0","0","0","0","1","1","Electric","Delmarva","1985","784","1","Gary H.","RS Bauer",,"Steve C.","1887","1145","742","WAP Base FY18/WAP Utility",,"4850.15","3765.15",,,,"700.00",,"385.00",
"Catholic Charities","2015-04-04T00:00:00.000","S14-1641980496","2015","Laurel","Sussex","19956","Rent","Single-Family Detached","1","0","0","0","1","2","Oil",,"1900","1216","2","Gary H.","RS Bauer","RS Bauer","Gary H.","8136","6314","1822","WAP BASE","N","2639.70","2489.70",,,,,,,
"Catholic Charities","2015-04-06T00:00:00.000","N14-1190788599","2014","Newark","New Castle","19713","Own","Single-Family Detached","0","2","0","0","1","3","Oil",,"1978","1200","2","Ed W.","CSC","Affordable HVAC","Ed W.","3846","3302","544","WAP BASE","N","2987.43","1747.48",,,,,,,
"Catholic Charities","2019-01-09T00:00:00.000","S18-811685076","2018","Millsboro","Sussex","19966","Own","Single-Family Detached","0","0","2","0","0","2","Propane","Delmarva/Sharp Energy","2005","1404","1","Gary H.","RS Bauer",,"Gary H.","1097","949","148","WAP Base FY18",,"5918.90","5321.90",,,,"597.00",,,
"Catholic Charities","2019-01-10T00:00:00.000","S18-212697624","2018","Millsboro","Sussex","19966","Own","Single -Family Detached","0","1","1","0","0","2","Gas","Delmarva/Schagrin Gas Co","1987","1268","1","Gary H.","RS Bauer",,"Gary H.","910","644","266","WAP Base FY18",,"2677.32","2113.32",,,,"564.00",,,
"Catholic Charities","2015-04-08T00:00:00.000","K14-399222347","2015","Smyrna","Kent","19977","Own","Mobile Home","1","0","0","0","0","1","Propane",,"1989","924","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1725","1116","609","WAP BASE","N","4880.35","4158.35",,,,,,,
"Catholic Charities","2019-01-09T00:00:00.000","K18-780838836","2018","Dover","Kent","19901","Own","Mobile Home","1","0","0","0","0","1","Electric","Delmarva","1989","728","1","Steve C.","Efficient Home",,"Steve C.","1425","1296","129","WAP Base FY18/WAP Utility",,"3961.15","2949.15",,,,"600.00",,"412.00",
"Catholic Charities","2015-04-09T00:00:00.000","S14-1026648239","2015","Milford","Sussex","19963","Rent","Single-Family Detached","1","0","0","0","1","2","Oil",,"1968","1216","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1540","1264","276","RGGI WAP","N","5403.70",,"4710.70",,,,"693.00",,
"Catholic Charities","2018-08-29T00:00:00.000","K17-1504652553","2018","Houston","Kent","19954","Own","Mobile Home","0","0","0","0","1","1","Oil","DEC/Houston Fuel Oil","1979","896","1","Gary H.","RS Bauer","Coastal Air","Gary H.","4658","2515","2143","LIHEAP/RGGI WAP",,"7638.72",,,,"6051.45",,"587.27",,"1000.00"
