"fiscal_year","library","service_type","computers_and_ebooks_000","philosophy_and_psychology_100","world_religions_200","social_sciences_300","language_400","science_500","applied_science_600","arts_700","literature_800","history_and_geography_900"
"2015","HARRINGTON","Reference","934","15","21","32","11","65","126","128","552","92"
"2015","HOCKESSIN","Circulation","2790","5474","3919","15954","2194","14770","27127","14010","219075","22044"
"2015","HOCKESSIN","Programs","0","9","0","40","28","5","13","136","246","10"
"2015","HOCKESSIN","Reference","7419","263","190","1435","168","506","1183","804","14664","1690"
"2015","KENT COUNTY","Circulation","502","1081","1289","3009","438","3068","5205","3634","70143","5333"
"2015","KENT COUNTY","Programs","0","2","0","0","0","0","1","13","13","0"
"2015","KENT COUNTY","Reference","0","0","0","0","0","0","0","0","0","0"
"2015","KIRKWOOD HWY","Circulation","2021","3817","3150","10679","1670","7571","17034","8321","138390","14134"
"2015","KIRKWOOD HWY","Programs","8","1","0","27","0","0","0","18","54","4"
"2015","KIRKWOOD HWY","Reference","6041","588","116","1171","94","126","605","465","5462","755"
"2015","LAUREL","Circulation","270","240","647","1173","155","1726","2890","1868","31561","2090"
"2015","LAUREL","Programs","121","0","1","10","4","10","90","245","181","11"
"2015","LAUREL","Reference","3679","45","140","575","57","207","374","307","1412","688"
"2015","LEWES","Circulation","510","1166","1187","4237","465","2963","6253","3417","98801","9860"
"2015","LEWES","Programs","0","0","0","0","24","0","14","0","2","0"
"2015","LEWES","Reference","0","0","0","0","0","0","0","0","0","0"
"2015","MILFORD","Circulation","348","694","1027","2654","587","3313","5646","3086","60316","4104"
"2015","MILFORD","Programs","0","0","0","0","8","0","13","0","11","0"
"2015","MILFORD","Reference","3840","459","255","1130","302","457","1587","983","4469","1373"
"2015","MILLSBORO","Circulation","286","751","698","1649","180","1757","4051","1821","42124","2941"
"2015","MILLSBORO","Programs","0","0","0","0","0","0","0","0","0","0"
"2015","MILLSBORO","Reference","0","0","0","0","0","0","0","0","0","0"
"2015","MILTON","Circulation","220","484","940","1770","152","1936","3060","2166","35773","2948"
"2015","MILTON","Programs","23","5","0","12","4","6","9","27","18","15"
"2015","MILTON","Reference","530","8","17","13","7","18","45","35","31","46"
"2015","NEWARK","Circulation","4811","7436","5246","20066","3918","15588","39091","19812","266457","24761"
"2015","NEWARK","Programs","8","1","0","63","1","3","1","126","143","0"
"2015","NEWARK","Reference","10085","1060","995","1175","1058","1057","1450","1125","16150","1400"
"2015","NEW CASTLE","Circulation","598","908","803","2960","267","2354","4172","2499","40987","4064"
"2015","NEW CASTLE","Programs","4","0","0","77","61","8","155","85","115","7"
"2015","NEW CASTLE","Reference","4128","88","101","777","92","192","397","332","4295","520"
"2015","REHOBOTH","Circulation","283","563","571","1437","216","1296","2428","1562","31973","3559"
"2015","REHOBOTH","Programs","13","102","0","18","47","2","8","89","148","12"
"2015","REHOBOTH","Reference","502","11","6","22","12","8","21","22","253","19"
"2015","SEAFORD","Circulation","545","599","724","1770","261","1847","4102","2549","47233","2876"
"2015","SEAFORD","Programs","24","2","0","16","10","2","67","87","63","4"
"2015","SEAFORD","Reference","658","0","2","17","10","6","24","11","19","46"
"2015","SELBYVILLE","Circulation","252","372","276","529","81","627","908","582","18088","1031"
"2015","SELBYVILLE","Programs","0","0","0","0","2","0","0","30","4","13"
"2015","SELBYVILLE","Reference","352","146","119","285","122","178","410","2809","5215","496"
"2015","SMYRNA","Circulation","208","414","595","1426","221","1267","2545","1812","37151","2550"
"2015","SMYRNA","Programs","0","0","0","0","0","0","0","0","0","0"
"2015","SMYRNA","Reference","0","0","0","0","0","0","0","0","0","0"
"2015","SOUTH COASTAL","Circulation","1021","1021","939","3306","407","2423","5233","3901","66360","7834"
"2015","SOUTH COASTAL","Programs","55","0","0","4","15","13","35","81","207","19"
"2015","SOUTH COASTAL","Reference","1772","33","11","44","37","55","120","95","883","207"
"2015","WILMINGTON","Circulation","1625","1147","1397","3317","612","1991","4202","2640","34950","4094"
"2015","WILMINGTON","Programs","0","0","0","0","0","0","0","0","0","0"
"2015","WILMINGTON","Reference","4932","241","370","2005","270","422","3985","2577","6985","1967"
"2015","WILMINGTON NORTH","Circulation","285","255","289","678","116","329","799","637","9598","663"
"2015","WILMINGTON NORTH","Programs","0","0","0","0","0","0","0","0","0","0"
"2015","WILMINGTON NORTH","Reference","3019","156","160","182","113","153","196","1303","1241","183"
"2015","WOODLAWN","Circulation","916","1826","1673","4020","1087","2966","7283","3455","50126","6090"
"2015","WOODLAWN","Programs","22","2","0","78","3","3","22","110","32","4"
"2015","WOODLAWN","Reference","4864","90","158","401","79","114","424","1355","2097","409"
"2014","APPOQUINIMINK","Circulation","1052","1653","1297","4772","753","5603","8380","4117","79556","5675"
"2014","APPOQUINIMINK","Programs","0","1","0","38","8","4","111","12","18","0"
"2014","APPOQUINIMINK","Reference","6595","196","113","443","172","329","6317","4778","3302","21473"
"2014","BEAR","Circulation","4001","5929","5897","19097","5239","18573","31328","15011","218747","21816"
"2014","BEAR","Programs","176","25","0","78","13","4","174","40","205","2"
"2014","BEAR","Reference","31629","827","616","1695","657","778","1738","1106","10987","1902"
"2014","BRANDYWINE HUNDRED","Circulation","4537","9525","7573","25797","4081","24217","41356","22480","293859","36185"
"2014","BRANDYWINE HUNDRED","Programs","0","6","0","409","1","2","27","53","8","2"
"2014","BRANDYWINE HUNDRED","Reference","8937","324","105","577","132","384","654","468","8054","1191"
"2014","BRIDGEVILLE","Circulation","143","404","307","916","178","1214","1964","1058","26704","1477"
"2014","BRIDGEVILLE","Programs","0","2","0","13","0","1","0","8","27","2"
"2014","BRIDGEVILLE","Reference","506","14","16","58","13","25","73","56","580","71"
"2014","CLAYMONT","Circulation","751","1384","1058","3017","429","2337","5405","2596","40157","3735"
"2014","CLAYMONT","Programs","0","0","0","47","0","0","8","0","0","0"
"2014","CLAYMONT","Reference","3076","46","38","169","25","43","209","188","2313","227"
"2014","CORBIT-CALLOWAY","Circulation","134","526","524","1959","342","1975","3211","1483","29216","2112"
"2014","CORBIT-CALLOWAY","Programs","0","0","0","3","0","0","60","0","0","0"
"2014","CORBIT-CALLOWAY","Reference","1312","562","214","874","1354","768","1045","758","2205","432"
"2014","DELAWARE CITY","Circulation","151","300","284","557","71","355","1654","914","7289","760"
"2014","DELAWARE CITY","Programs","0","0","0","11","0","3","12","0","34","3"
"2014","DELAWARE CITY","Reference","0","0","0","0","0","0","0","0","0","0"
"2014","DELMAR","Circulation","224","425","927","1238","263","1376","2480","1281","22299","1539"
"2014","DELMAR","Programs","6","6","2","43","1","8","30","50","69","15"
"2014","DELMAR","Reference","22","26","22","140","29","38","107","41","426","106"
"2014","DOVER","Circulation","2200","3525","4807","12034","2774","9518","20471","13418","146025","14367"
"2014","DOVER","Programs","85","39","0","261","27","66","415","256","291","11"
"2014","DOVER","Reference","8231","226","212","755","159","346","773","389","4080","761"
"2014","ELSMERE","Circulation","682","1490","1186","3084","463","1891","6994","3366","36264","3590"
"2014","ELSMERE","Programs","2","0","0","15","11","4","8","66","18","1"
"2014","ELSMERE","Reference","3049","78","42","266","52","82","256","192","2191","216"
"2014","FRANKFORD","Circulation","86","102","123","333","71","616","913","539","9107","581"
"2014","FRANKFORD","Programs","9","0","0","29","39","2","2","27","15","1"
"2014","FRANKFORD","Reference","76","3","5","17","31","7","15","5","36","44"
"2014","GARFIELD PARK","Circulation","69","85","223","241","35","130","390","270","2627","443"
"2014","GARFIELD PARK","Programs","1","0","0","14","0","0","0","0","1","0"
"2014","GARFIELD PARK","Reference","0","0","0","0","0","0","0","0","0","0"
"2014","GEORGETOWN","Circulation","250","417","569","1248","225","1015","2454","1809","24226","1982"
"2014","GEORGETOWN","Programs","21","19","0","6","2","12","472","42","57","12"
"2014","GEORGETOWN","Reference","301","11","13","20","10","7","69","22","13","21"
"2014","GREENWOOD","Circulation","156","335","724","735","62","809","1716","1261","21232","1950"
"2014","GREENWOOD","Programs","0","0","0","2","0","1","0","12","24","7"
"2014","GREENWOOD","Reference","0","16","14","13","2","18","47","24","104","18"
"2014","HARRINGTON","Circulation","82","267","321","810","87","508","1382","729","19114","866"
"2014","HARRINGTON","Programs","15","0","0","24","5","12","80","23","62","5"
"2014","HARRINGTON","Reference","969","36","38","197","48","131","333","152","1127","220"
"2014","HOCKESSIN","Circulation","2906","5676","4313","16286","2451","15447","28179","14874","224411","23074"
"2014","HOCKESSIN","Programs","3","0","0","79","4","1","39","27","194","7"
"2014","HOCKESSIN","Reference","7743","180","143","735","122","257","818","461","6375","1099"
"2014","KENT COUNTY","Circulation","474","1099","1223","3156","544","3426","5358","4146","68545","5225"
"2014","KENT COUNTY","Programs","0","34","0","26","3","5","110","67","195","1"
"2014","KENT COUNTY","Reference","0","18","16","137","15","21","90","74","566","68"
"2014","KIRKWOOD HWY","Circulation","2377","4286","3743","12123","1876","8397","19984","9733","142202","15865"
"2014","KIRKWOOD HWY","Programs","0","5","0","34","1","0","6","18","83","4"
"2014","KIRKWOOD HWY","Reference","7156","119","93","445","66","161","505","309","4402","461"
"2014","LAUREL","Circulation","356","437","850","1442","253","2079","3322","2379","32217","2469"
"2014","LAUREL","Programs","105","1","0","12","2","10","23","204","132","11"
"2014","LAUREL","Reference","1062","3","11","10","10","10","26","19","174","27"
"2014","LEWES","Circulation","573","1252","1136","4091","381","3073","6096","4182","105302","9321"
"2014","LEWES","Programs","0","0","0","0","0","0","37","0","0","0"
"2014","LEWES","Reference","0","20","10","12","5","13","36","32","33","41"
"2014","MILFORD","Circulation","312","834","1185","2841","617","3499","5644","3151","63309","4241"
"2014","MILFORD","Programs","1","2","0","0","0","0","80","2","38","1"
"2014","MILFORD","Reference","1949","157","120","169","198","144","451","312","972","582"
"2014","MILLSBORO","Circulation","290","720","695","1571","233","1603","3927","1830","43158","2521"
"2014","MILLSBORO","Programs","0","0","0","0","0","0","0","0","0","0"
"2014","MILLSBORO","Reference","0","3","1","3","0","0","7","1","0","2"
"2014","MILTON","Circulation","318","612","992","2437","209","1902","3501","2939","39231","3513"
"2014","MILTON","Programs","0","35","1","10","9","9","1","26","17","6"
"2014","MILTON","Reference","255","19","15","87","14","17","135","40","368","66"
"2014","NEWARK","Circulation","5227","7385","6063","22332","3960","15964","39623","21488","274568","26573"
"2014","NEWARK","Programs","0","0","0","68","6","1","10","35","127","0"
"2014","NEWARK","Reference","7965","613","268","1050","537","608","885","773","7308","1173"
"2014","NEW CASTLE","Circulation","476","1069","901","3245","373","2534","4353","2540","38622","4419"
"2014","NEW CASTLE","Programs","0","0","0","19","210","2","196","80","124","10"
"2014","NEW CASTLE","Reference","4700","119","74","519","130","176","421","241","3431","547"
"2014","REHOBOTH","Circulation","328","619","545","1634","249","1112","2758","1837","33031","3759"
"2014","REHOBOTH","Programs","27","100","0","19","25","3","7","50","22","9"
"2014","REHOBOTH","Reference","495","19","5","29","21","8","24","17","61","44"
"2014","SEAFORD","Circulation","466","756","1069","2362","318","2083","4685","5838","53202","3771"
"2014","SEAFORD","Programs","35","11","0","125","6","17","289","78","183","1"
"2014","SEAFORD","Reference","0","10","28","56","31","54","113","124","951","69"
"2014","SELBYVILLE","Circulation","331","425","333","631","97","410","1145","1069","19390","1207"
"2014","SELBYVILLE","Programs","0","0","0","1","0","0","0","0","0","0"
"2014","SELBYVILLE","Reference","128","33","52","102","41","78","2895","223","1483","1828"
"2014","SMYRNA","Circulation","274","463","597","1511","251","1212","2566","1770","37888","2501"
"2014","SMYRNA","Programs","0","0","0","5","0","0","44","0","7","0"
"2014","SMYRNA","Reference","131","23","31","23","7","24","89","14","71","38"
"2014","SOUTH COASTAL","Circulation","1139","1025","957","3297","554","2367","5732","4387","83486","7948"
"2014","SOUTH COASTAL","Programs","54","1","1","3","0","11","13","55","199","16"
"2014","SOUTH COASTAL","Reference","1054","27","37","124","36","78","189","115","863","218"
"2014","WILMINGTON","Circulation","676","836","957","2378","481","1106","3392","2214","20471","2745"
"2014","WILMINGTON","Programs","31","60","0","61","40","3","216","12","31","9"
"2014","WILMINGTON","Reference","3802","40","103","859","90","142","1518","498","2014","530"
"2014","WILMINGTON NORTH","Circulation","182","235","250","766","54","338","1128","690","7936","658"
"2014","WILMINGTON NORTH","Programs","0","5","0","27","8","4","25","28","12","0"
"2014","WILMINGTON NORTH","Reference","4897","310","286","306","213","212","330","906","1360","226"
"2014","WOODLAWN","Circulation","1104","2185","1887","4732","1362","3260","7925","4370","54959","6614"
"2014","WOODLAWN","Programs","0","0","0","77","0","1","10","14","1","0"
"2014","WOODLAWN","Reference","4463","46","88","227","51","60","295","924","1619","250"
