"agerange","zipcode","city","gender","donors","nondonors","idcarddonors","idcardnondonors","licdonors","licnondonors","bothdonors","bothnondonors"
"51-55","19709","MIDDLETOWN DELA","M","1","0","0","1","1","0","0","0"
"71+","19709","MIDDLETWON","F","0","1","0","1","0","1","0","0"
"56-60","19709","MIDLLETOWN","M","0","1","0","1","0","1","0","0"
"45-50","19709","MINGLEWOOD DR","M","0","1","0","1","0","1","0","0"
"16-17","19710","MONTCHANIN","F","3","0","0","3","3","0","0","0"
"18-20","19710","MONTCHANIN","F","2","0","0","2","2","0","0","0"
"21-25","19710","MONTCHANIN","F","6","2","0","8","6","2","0","0"
"26-30","19710","MONTCHANIN","F","2","0","0","2","2","0","0","0"
"36-40","19710","MONTCHANIN","F","1","0","0","1","1","0","0","0"
"41-45","19710","MONTCHANIN","F","3","1","0","4","3","1","0","0"
"45-50","19710","MONTCHANIN","F","2","1","0","3","2","1","0","0"
"51-55","19710","MONTCHANIN","F","8","0","0","8","8","0","0","0"
"56-60","19710","MONTCHANIN","F","4","1","0","5","4","1","0","0"
"61-65","19710","MONTCHANIN","F","6","1","0","7","6","1","0","0"
"66-70","19710","MONTCHANIN","F","1","0","0","1","1","0","0","0"
"71+","19710","MONTCHANIN","F","6","7","0","13","6","7","0","0"
"16-17","19710","MONTCHANIN","M","2","0","0","2","2","0","0","0"
"18-20","19710","MONTCHANIN","M","2","0","0","2","2","0","0","0"
"21-25","19710","MONTCHANIN","M","2","0","0","2","2","0","0","0"
"26-30","19710","MONTCHANIN","M","3","2","0","5","3","2","0","0"
"31-35","19710","MONTCHANIN","M","1","1","0","2","1","1","0","0"
"36-40","19710","MONTCHANIN","M","3","0","0","3","3","0","0","0"
"41-45","19710","MONTCHANIN","M","1","1","0","2","1","1","0","0"
"45-50","19710","MONTCHANIN","M","1","1","0","2","1","1","0","0"
"51-55","19710","MONTCHANIN","M","1","3","0","4","1","3","0","0"
"56-60","19710","MONTCHANIN","M","6","1","0","7","6","1","0","1"
"61-65","19710","MONTCHANIN","M","3","2","0","5","3","2","0","0"
"66-70","19710","MONTCHANIN","M","2","0","0","2","2","0","0","0"
"71+","19710","MONTCHANIN","M","4","2","0","6","4","2","0","0"
"66-70","19711","NEWAK","F","0","1","0","1","0","1","0","0"
"16-17","19711","NEWARK","F","201","95","9","287","192","104","12","14"
"18-20","19711","NEWARK","F","450","221","22","649","428","243","33","33"
"21-25","19711","NEWARK","F","1149","619","50","1718","1099","669","79","101"
"26-30","19711","NEWARK","F","1148","742","70","1820","1078","812","90","91"
"31-35","19711","NEWARK","F","1000","567","35","1532","965","602","48","54"
"36-40","19711","NEWARK","F","840","463","46","1257","794","509","34","32"
"41-45","19711","NEWARK","F","721","410","16","1115","705","426","15","15"
"45-50","19711","NEWARK","F","835","432","15","1252","820","447","16","16"
"51-55","19711","NEWARK","F","1033","554","14","1573","1019","568","19","15"
"56-60","19711","NEWARK","F","1122","566","19","1669","1103","585","14","10"
"61-65","19711","NEWARK","F","1010","536","3","1543","1007","539","2","8"
"66-70","19711","NEWARK","F","807","525","13","1319","794","538","3","3"
"71+","19711","NEWARK","F","1306","1362","77","2591","1229","1439","14","11"
"<16","19711","NEWARK","M","0","1","0","1","0","1","0","0"
"16-17","19711","NEWARK","M","191","80","5","266","186","85","9","10"
"18-20","19711","NEWARK","M","475","291","20","746","455","311","27","45"
"21-25","19711","NEWARK","M","1061","920","73","1908","988","993","95","133"
"26-30","19711","NEWARK","M","1184","983","89","2078","1095","1072","111","148"
"31-35","19711","NEWARK","M","986","699","70","1615","916","769","78","83"
"36-40","19711","NEWARK","M","793","567","38","1322","755","605","50","43"
"41-45","19711","NEWARK","M","584","501","21","1064","563","522","23","38"
"45-50","19711","NEWARK","M","714","523","23","1214","691","546","18","22"
"51-55","19711","NEWARK","M","873","599","25","1447","848","624","25","19"
"56-60","19711","NEWARK","M","918","650","18","1550","900","668","14","11"
"61-65","19711","NEWARK","M","909","621","11","1519","898","632","8","6"
"66-70","19711","NEWARK","M","689","538","9","1218","680","547","8","5"
"71+","19711","NEWARK","M","1155","1171","51","2275","1104","1222","15","11"
"51-55","19711","NEWARK DE","F","0","1","0","1","0","1","0","0"
"61-65","19711","NEWARK DE","F","0","1","0","1","0","1","0","0"
"21-25","19711","NEWARK DE","M","0","1","0","1","0","1","0","0"
"71+","19711","NEWARK DEL","M","1","0","0","1","1","0","0","0"
"21-25","19712","NEWARK","F","0","1","0","1","0","1","0","0"
"26-30","19712","NEWARK","F","0","1","0","1","0","1","0","1"
"26-30","19712","NEWARK","M","1","0","0","1","1","0","0","0"
"31-35","19712","NEWARK","M","1","1","0","2","1","1","0","0"
"41-45","19712","NEWARK","M","1","0","0","1","1","0","0","0"
"45-50","19712","NEWARK","M","0","1","0","1","0","1","0","1"
"51-55","19712","NEWARK","M","0","1","0","1","0","1","0","0"
"56-60","19712","NEWARK","M","0","1","0","1","0","1","0","0"
"61-65","19713","NEWARK","M","0","1","0","1","0","1","0","0"
"16-17","19713","NEWARK","F","117","87","9","195","108","96","17","12"
"18-20","19713","NEWARK","F","263","201","29","435","234","230","46","46"
"21-25","19713","NEWARK","F","547","430","55","922","492","485","70","90"
"26-30","19713","NEWARK","F","727","697","68","1356","659","765","73","137"
"31-35","19713","NEWARK","F","649","609","51","1207","598","660","47","73"
"36-40","19713","NEWARK","F","555","505","48","1012","507","553","32","58"
"41-45","19713","NEWARK","F","467","441","22","886","445","463","20","34"
"45-50","19713","NEWARK","F","535","418","22","931","513","440","21","16"
"51-55","19713","NEWARK","F","499","479","20","958","479","499","14","23"
"56-60","19713","NEWARK","F","558","483","24","1017","534","507","15","15"
"61-65","19713","NEWARK","F","546","469","17","998","529","486","11","17"
"66-70","19713","NEWARK","F","376","383","9","750","367","392","4","8"
"71+","19713","NEWARK","F","763","981","69","1675","694","1050","13","17"
"16-17","19713","NEWARK","M","83","102","5","180","78","107","9","19"
"18-20","19713","NEWARK","M","229","261","29","461","200","290","49","56"
"21-25","19713","NEWARK","M","533","502","62","973","471","564","75","99"
"26-30","19713","NEWARK","M","659","748","75","1332","584","823","87","138"
"31-35","19713","NEWARK","M","650","786","64","1372","586","850","66","110"
"36-40","19713","NEWARK","M","564","674","41","1197","523","715","42","91"
"41-45","19713","NEWARK","M","458","536","48","946","410","584","41","54"
"45-50","19713","NEWARK","M","456","526","41","941","415","567","31","31"
"51-55","19713","NEWARK","M","477","514","26","965","451","540","19","37"
"56-60","19713","NEWARK","M","454","524","27","951","427","551","25","27"
"61-65","19713","NEWARK","M","439","486","26","899","413","512","16","12"
"66-70","19713","NEWARK","M","283","362","12","633","271","374","7","8"
"71+","19713","NEWARK","M","519","736","26","1229","493","762","12","12"
"61-65","19713","NEWARK DE","F","0","1","0","1","0","1","0","0"
"71+","19713","NEWARK DE","M","1","0","0","1","1","0","0","0"
"61-65","19713","WILMINGTON","F","0","1","0","1","0","1","0","0"
"31-35","19714","NEWARK","F","1","0","1","0","0","1","1","0"
"51-55","19714","NEWARK","F","1","0","0","1","1","0","0","0"
"41-45","19714","NEWARK","M","1","0","0","1","1","0","0","0"
"71+","19715","NEWARK","F","0","1","0","1","0","1","0","0"
"41-45","19715","NEWARK","M","1","0","0","1","1","0","0","0"
"21-25","19716","NEWARK","F","0","2","0","2","0","2","0","0"
"26-30","19716","NEWARK","F","3","1","0","4","3","1","0","0"
"31-35","19716","NEWARK","F","1","3","0","4","1","3","0","0"
"36-40","19716","NEWARK","F","0","1","0","1","0","1","0","0"
"45-50","19716","NEWARK","F","0","1","0","1","0","1","0","0"
"18-20","19716","NEWARK","M","0","1","0","1","0","1","0","0"
"21-25","19716","NEWARK","M","0","1","0","1","0","1","0","0"
"26-30","19716","NEWARK","M","2","2","0","4","2","2","0","0"
"31-35","19716","NEWARK","M","2","3","0","5","2","3","0","0"
"41-45","19716","NEWARK","M","1","2","1","2","0","3","1","0"
"18-20","19717","NEWARK","F","7","9","0","16","7","9","0","0"
"21-25","19717","NEWARK","F","3","14","0","17","3","14","0","0"
"26-30","19717","NEWARK","F","6","2","0","8","6","2","0","0"
"31-35","19717","NEWARK","F","1","1","0","2","1","1","1","0"
"18-20","19717","NEWARK","M","3","31","0","34","3","31","0","5"
"21-25","19717","NEWARK","M","5","32","0","37","5","32","0","3"
"26-30","19717","NEWARK","M","6","1","0","7","6","1","0","0"
"31-35","19717","NEWARK","M","0","2","0","2","0","2","0","0"
"41-45","19720","HISTORIC NEW CA","F","1","0","0","1","1","0","1","0"
"16-17","19720","NEW CASTLE","F","216","206","12","410","204","218","30","60"
"18-20","19720","NEW CASTLE","F","517","565","54","1028","463","619","105","144"
"21-25","19720","NEW CASTLE","F","978","1083","116","1945","862","1199","160","255"
"26-30","19720","NEW CASTLE","F","1113","1128","145","2096","968","1273","147","196"
"31-35","19720","NEW CASTLE","F","1005","1123","101","2027","904","1224","86","145"
"36-40","19720","NEW CASTLE","F","969","1109","102","1976","867","1211","93","116"
"41-45","19720","NEW CASTLE","F","864","1043","85","1822","779","1128","58","89"
"45-50","19720","NEW CASTLE","F","907","1194","58","2043","849","1252","38","75"
"51-55","19720","NEW CASTLE","F","987","1238","49","2176","938","1287","24","61"
"56-60","19720","NEW CASTLE","F","1006","1144","55","2095","951","1199","23","47"
"61-65","19720","NEW CASTLE","F","835","1007","43","1799","792","1050","12","26"
"66-70","19720","NEW CASTLE","F","629","846","23","1452","606","869","6","18"
"71+","19720","NEW CASTLE","F","889","1733","67","2555","822","1800","16","29"
"<16","19720","NEW CASTLE","M","0","1","0","1","0","1","0","0"
"16-17","19720","NEW CASTLE","M","156","210","9","357","147","219","24","48"
"18-20","19720","NEW CASTLE","M","406","619","66","959","340","685","96","190"
"21-25","19720","NEW CASTLE","M","834","1257","130","1961","704","1387","173","294"
"26-30","19720","NEW CASTLE","M","1006","1424","146","2284","860","1570","138","273"
"31-35","19720","NEW CASTLE","M","907","1235","121","2021","786","1356","108","191"
"36-40","19720","NEW CASTLE","M","785","1236","126","1895","659","1362","94","189"
"41-45","19720","NEW CASTLE","M","706","1096","85","1717","621","1181","69","137"
"45-50","19720","NEW CASTLE","M","780","1219","77","1922","703","1296","51","115"
"51-55","19720","NEW CASTLE","M","877","1232","85","2024","792","1317","54","98"
"56-60","19720","NEW CASTLE","M","829","1227","67","1989","762","1294","43","70"
"61-65","19720","NEW CASTLE","M","691","1074","41","1724","650","1115","33","44"
"66-70","19720","NEW CASTLE","M","467","780","30","1217","437","810","16","33"
"71+","19720","NEW CASTLE","M","704","1430","53","2081","651","1483","13","32"
"41-45","19720","NEW CASTLE DE","F","1","0","0","1","1","0","0","0"
"45-50","19720","NEW CASTLE DE","F","0","1","0","1","0","1","0","0"
"51-55","19720","NEW CASTLE DE","F","0","1","0","1","0","1","0","0"
"61-65","19720","NEW CASTLE DE","F","0","1","0","1","0","1","0","0"
"41-45","19720","NEW CASTLE DE","M","0","1","0","1","0","1","0","1"
"51-55","19720","NEW CASTLE DE","M","1","0","1","0","0","1","0","0"
"71+","19720","NEW CASTLE DE","M","0","1","0","1","0","1","0","0"
"21-25","19720","NEWCASTLE","F","0","2","0","2","0","2","0","1"
"26-30","19720","NEWCASTLE","F","0","1","0","1","0","1","0","0"
"36-40","19720","NEWCASTLE","F","0","1","0","1","0","1","0","0"
"45-50","19720","NEWCASTLE","F","1","0","1","0","0","1","0","0"
"51-55","19720","NEWCASTLE","F","2","1","0","3","2","1","0","0"
"71+","19720","NEWCASTLE","F","0","1","0","1","0","1","0","0"
"26-30","19720","NEWCASTLE","M","1","1","0","2","1","1","0","0"
"36-40","19720","NEWCASTLE","M","1","0","1","0","0","1","0","0"
"41-45","19720","NEWCASTLE","M","0","1","0","1","0","1","0","0"
"51-55","19720","NEWCASTLE","M","0","2","0","2","0","2","0","0"
"66-70","19720","NEW-CASTLE-","M","0","1","0","1","0","1","0","0"
"61-65","19720","NEWCASTLE DE","M","0","1","0","1","0","1","0","0"
"51-55","19720","NEWCASTLE DELAW","M","0","1","0","1","0","1","0","1"
"56-60","19720","WILMINGTON","M","0","1","0","1","0","1","0","0"
"56-60","19720","WILMINGTON DELA","F","0","1","0","1","0","1","0","0"
"16-17","19730","ODESSA","F","1","2","0","3","1","2","1","0"
"18-20","19730","ODESSA","F","2","3","0","5","2","3","0","1"
"21-25","19730","ODESSA","F","8","3","1","10","7","4","0","1"
"26-30","19730","ODESSA","F","8","1","0","9","8","1","0","0"
"31-35","19730","ODESSA","F","7","2","0","9","7","2","0","0"
"36-40","19730","ODESSA","F","7","3","0","10","7","3","1","0"
"41-45","19730","ODESSA","F","8","4","0","12","8","4","0","0"
