"geography","age","year","population"
"St. Charles Parish","20 to 24","2000","2649"
"St. Charles Parish","25 to 29","2000","2662"
"St. Charles Parish","30 to 34","2000","3440"
"St. Charles Parish","35 to 39","2000","4407"
"St. Charles Parish","40 to 44","2000","4569"
"St. Charles Parish","45 to 49","2000","3732"
"St. Charles Parish","50 to 54","2000","2872"
"St. Charles Parish","55 to 59","2000","2025"
"St. Charles Parish","60 to 64","2000","1488"
"St. Charles Parish","65 to 69","2000","1345"
"St. Charles Parish","70 to 74","2000","1244"
"St. Charles Parish","75 to 79","2000","859"
"St. Charles Parish","80 to 84","2000","462"
"St. Charles Parish","85 plus","2000","398"
"St. James Parish","4 and under","2000","1483"
"St. James Parish","5 to 9","2000","1711"
"St. James Parish","10 to 14","2000","1863"
"St. James Parish","15 to 19","2000","1936"
"St. James Parish","20 to 24","2000","1346"
"St. James Parish","25 to 29","2000","1142"
"St. James Parish","30 to 34","2000","1439"
"St. James Parish","35 to 39","2000","1671"
"St. James Parish","40 to 44","2000","1713"
"St. James Parish","45 to 49","2000","1496"
"St. James Parish","50 to 54","2000","1220"
"St. James Parish","55 to 59","2000","918"
"St. James Parish","60 to 64","2000","916"
"St. James Parish","65 to 69","2000","736"
"St. James Parish","70 to 74","2000","616"
"St. James Parish","75 to 79","2000","448"
"St. James Parish","80 to 84","2000","275"
"St. James Parish","85 plus","2000","287"
"St. John Parish","4 and under","2000","3463"
"St. John Parish","5 to 9","2000","3692"
"St. John Parish","10 to 14","2000","3874"
"St. John Parish","15 to 19","2000","3837"
"St. John Parish","20 to 24","2000","2721"
"St. John Parish","25 to 29","2000","2699"
"St. John Parish","30 to 34","2000","3118"
"St. John Parish","35 to 39","2000","3612"
"St. John Parish","40 to 44","2000","3588"
"St. John Parish","45 to 49","2000","3240"
"St. John Parish","50 to 54","2000","2503"
"St. John Parish","55 to 59","2000","1907"
"St. John Parish","60 to 64","2000","1434"
"St. John Parish","65 to 69","2000","1006"
"St. John Parish","70 to 74","2000","925"
"St. John Parish","75 to 79","2000","663"
"St. John Parish","80 to 84","2000","416"
"St. John Parish","85 plus","2000","346"
"St. Tammany Parish","4 and under","2000","13556"
"St. Tammany Parish","5 to 9","2000","15029"
"St. Tammany Parish","10 to 14","2000","16147"
"St. Tammany Parish","15 to 19","2000","14672"
"St. Tammany Parish","20 to 24","2000","9045"
"St. Tammany Parish","25 to 29","2000","10257"
"St. Tammany Parish","30 to 34","2000","12729"
"St. Tammany Parish","35 to 39","2000","16457"
"St. Tammany Parish","40 to 44","2000","17655"
"St. Tammany Parish","45 to 49","2000","16062"
"St. Tammany Parish","50 to 54","2000","13641"
"St. Tammany Parish","55 to 59","2000","9733"
"St. Tammany Parish","60 to 64","2000","7125"
"St. Tammany Parish","65 to 69","2000","5825"
"St. Tammany Parish","70 to 74","2000","5168"
"St. Tammany Parish","75 to 79","2000","4033"
"St. Tammany Parish","80 to 84","2000","2296"
"St. Tammany Parish","85 plus","2000","1838"
"Jefferson Parish","4 and under","2017","28509"
"Jefferson Parish","5 to 9","2017","26515"
"Jefferson Parish","10 to 14","2017","25810"
"Jefferson Parish","15 to 19","2017","23765"
"Jefferson Parish","20 to 24","2017","25705"
"Jefferson Parish","25 to 29","2017","32736"
"Jefferson Parish","30 to 34","2017","32099"
"Jefferson Parish","35 to 39","2017","29112"
"Jefferson Parish","40 to 44","2017","25439"
"Jefferson Parish","45 to 49","2017","26663"
"Jefferson Parish","50 to 54","2017","29346"
"Jefferson Parish","55 to 59","2017","31396"
"Jefferson Parish","60 to 64","2017","29346"
"Jefferson Parish","65 to 69","2017","24595"
"Jefferson Parish","70 to 74","2017","18489"
"Jefferson Parish","75 to 79","2017","12217"
"Jefferson Parish","80 to 84","2017","8035"
"Jefferson Parish","85 plus","2017","9259"
"Orleans Parish","4 and under","2017","23575"
"Orleans Parish","5 to 9","2017","22115"
"Orleans Parish","10 to 14","2017","21173"
"Orleans Parish","15 to 19","2017","21702"
"Orleans Parish","20 to 24","2017","25319"
"Orleans Parish","25 to 29","2017","35712"
"Orleans Parish","30 to 34","2017","36355"
"Orleans Parish","35 to 39","2017","29147"
"Orleans Parish","40 to 44","2017","23331"
"Orleans Parish","45 to 49","2017","23049"
"Orleans Parish","50 to 54","2017","24515"
"Orleans Parish","55 to 59","2017","26297"
"Orleans Parish","60 to 64","2017","25718"
"Orleans Parish","65 to 69","2017","20597"
"Orleans Parish","70 to 74","2017","13515"
"Orleans Parish","75 to 79","2017","8677"
"Orleans Parish","80 to 84","2017","5900"
"Orleans Parish","85 plus","2017","6595"
"Plaquemines Parish","4 and under","2017","1562"
"Plaquemines Parish","5 to 9","2017","1690"
"Plaquemines Parish","10 to 14","2017","1787"
"Plaquemines Parish","15 to 19","2017","1511"
"Plaquemines Parish","20 to 24","2017","1506"
"Plaquemines Parish","25 to 29","2017","1532"
"Plaquemines Parish","30 to 34","2017","1592"
"Plaquemines Parish","35 to 39","2017","1574"
"Plaquemines Parish","40 to 44","2017","1463"
"Plaquemines Parish","45 to 49","2017","1576"
"Plaquemines Parish","50 to 54","2017","1601"
"Plaquemines Parish","55 to 59","2017","1608"
"Plaquemines Parish","60 to 64","2017","1322"
"Plaquemines Parish","65 to 69","2017","1029"
"Plaquemines Parish","70 to 74","2017","740"
"Plaquemines Parish","75 to 79","2017","554"
"Plaquemines Parish","80 to 84","2017","358"
"Plaquemines Parish","85 plus","2017","343"
"St. Bernard Parish","4 and under","2017","3365"
"St. Bernard Parish","5 to 9","2017","3651"
"St. Bernard Parish","10 to 14","2017","3508"
"St. Bernard Parish","15 to 19","2017","2830"
"St. Bernard Parish","20 to 24","2017","2649"
"St. Bernard Parish","25 to 29","2017","3919"
"St. Bernard Parish","30 to 34","2017","3780"
"St. Bernard Parish","35 to 39","2017","3397"
"St. Bernard Parish","40 to 44","2017","2743"
"St. Bernard Parish","45 to 49","2017","2627"
"St. Bernard Parish","50 to 54","2017","2884"
"St. Bernard Parish","55 to 59","2017","3146"
"St. Bernard Parish","60 to 64","2017","2609"
"St. Bernard Parish","65 to 69","2017","1984"
"St. Bernard Parish","70 to 74","2017","1234"
"St. Bernard Parish","75 to 79","2017","813"
"St. Bernard Parish","80 to 84","2017","540"
"St. Bernard Parish","85 plus","2017","523"
"St. Charles Parish","4 and under","2017","3363"
"St. Charles Parish","5 to 9","2017","3503"
"St. Charles Parish","10 to 14","2017","3811"
"St. Charles Parish","15 to 19","2017","3564"
"St. Charles Parish","20 to 24","2017","3203"
"St. Charles Parish","25 to 29","2017","3457"
"St. Charles Parish","30 to 34","2017","3460"
"St. Charles Parish","35 to 39","2017","3531"
"St. Charles Parish","40 to 44","2017","3175"
"St. Charles Parish","45 to 49","2017","3472"
"St. Charles Parish","50 to 54","2017","3907"
"St. Charles Parish","55 to 59","2017","4127"
"St. Charles Parish","60 to 64","2017","3340"
"St. Charles Parish","65 to 69","2017","2572"
"St. Charles Parish","70 to 74","2017","1676"
"St. Charles Parish","75 to 79","2017","1141"
"St. Charles Parish","80 to 84","2017","756"
"St. Charles Parish","85 plus","2017","691"
"St. James Parish","4 and under","2017","2800"
"St. James Parish","5 to 9","2017","2940"
"St. James Parish","10 to 14","2017","3112"
"St. James Parish","15 to 19","2017","2969"
"St. James Parish","20 to 24","2017","2757"
"St. James Parish","25 to 29","2017","2996"
"St. James Parish","30 to 34","2017","2863"
"St. James Parish","35 to 39","2017","2790"
"St. James Parish","40 to 44","2017","2457"
"St. James Parish","45 to 49","2017","2681"
"St. James Parish","50 to 54","2017","3120"
"St. James Parish","55 to 59","2017","3206"
"St. James Parish","60 to 64","2017","2808"
"St. James Parish","65 to 69","2017","2195"
"St. James Parish","70 to 74","2017","1568"
"St. James Parish","75 to 79","2017","1045"
"St. James Parish","80 to 84","2017","572"
"St. James Parish","85 plus","2017","562"
"St. John Parish","4 and under","2017","2800"
"St. John Parish","5 to 9","2017","2940"
"St. John Parish","10 to 14","2017","3112"
"St. John Parish","15 to 19","2017","2969"
"St. John Parish","20 to 24","2017","2757"
"St. John Parish","25 to 29","2017","2996"
"St. John Parish","30 to 34","2017","2863"
"St. John Parish","35 to 39","2017","2790"
"St. John Parish","40 to 44","2017","2457"
"St. John Parish","45 to 49","2017","2681"
"St. John Parish","50 to 54","2017","3120"
"St. John Parish","55 to 59","2017","3206"
"St. John Parish","60 to 64","2017","2808"
"St. John Parish","65 to 69","2017","2195"
"St. John Parish","70 to 74","2017","1568"
"St. John Parish","75 to 79","2017","1045"
"St. John Parish","80 to 84","2017","572"
"St. John Parish","85 plus","2017","562"
"St. Tammany Parish","4 and under","2017","15504"
"St. Tammany Parish","5 to 9","2017","16580"
"St. Tammany Parish","10 to 14","2017","18595"
"St. Tammany Parish","15 to 19","2017","16836"
"St. Tammany Parish","20 to 24","2017","13912"
"St. Tammany Parish","25 to 29","2017","14425"
"St. Tammany Parish","30 to 34","2017","15338"
"St. Tammany Parish","35 to 39","2017","16759"
"St. Tammany Parish","40 to 44","2017","15623"
"St. Tammany Parish","45 to 49","2017","17044"
"St. Tammany Parish","50 to 54","2017","17968"
"St. Tammany Parish","55 to 59","2017","18581"
"St. Tammany Parish","60 to 64","2017","17459"
"St. Tammany Parish","65 to 69","2017","14861"
"St. Tammany Parish","70 to 74","2017","11188"
"St. Tammany Parish","75 to 79","2017","6963"
"St. Tammany Parish","80 to 84","2017","4402"
"St. Tammany Parish","85 plus","2017","4289"
