"locality","health_district","vaccine_phase","website"
"Covington","Alleghany","2","https://www.vdh.virginia.gov/alleghany/"
"Craig","Alleghany","2","https://www.vdh.virginia.gov/alleghany/"
"Culpeper","Rappahannock Rapidan","2","https://www.vdh.virginia.gov/rappahannock-rapidan/"
"Cumberland","Piedmont","2","https://www.vdh.virginia.gov/piedmont/"
"Danville","Pittsylvania-Danville","2","https://www.vdh.virginia.gov/pittsylvania-danville/"
"Dickenson","Cumberland Plateau","2","https://www.vdh.virginia.gov/cumberland-plateau/"
"Dinwiddie","Crater","2","https://www.vdh.virginia.gov/crater/"
"Emporia","Crater","2","https://www.vdh.virginia.gov/crater/"
"Essex","Three Rivers","2","https://www.vdh.virginia.gov/three-rivers/"
"Fairfax","Fairfax","2","https://www.fairfaxcounty.gov/health/"
"Fairfax City","Fairfax","2","https://www.fairfaxcounty.gov/health/"
"Falls Church","Fairfax","2","https://www.fairfaxcounty.gov/health/"
"Fauquier","Rappahannock Rapidan","2","https://www.vdh.virginia.gov/rappahannock-rapidan/"
"Floyd","New River","2","https://www.nrvroadtowellness.com/"
"Fluvanna","Blue Ridge","2","https://www.vdh.virginia.gov/blue-ridge/"
"Franklin City","Western Tidewater","2","https://www.vdh.virginia.gov/western-tidewater/"
"Franklin County","West Piedmont","2","https://www.vdh.virginia.gov/west-piedmont/"
"Frederick","Lord Fairfax","2","https://www.vdh.virginia.gov/lord-fairfax/"
"Fredericksburg","Rappahannock","2","https://www.vdh.virginia.gov/rappahannock/"
"Galax","Mount Rogers","2","https://www.vdh.virginia.gov/mount-rogers/"
"Giles","New River","2","https://www.nrvroadtowellness.com/"
"Gloucester","Three Rivers","2","https://www.vdh.virginia.gov/three-rivers/"
"Goochland","Chickahominy","2","https://www.vdh.virginia.gov/chickahominy/"
"Grayson","Mount Rogers","2","https://www.vdh.virginia.gov/mount-rogers/"
"Greene","Blue Ridge","2","https://www.vdh.virginia.gov/blue-ridge/"
"Greensville","Crater","2","https://www.vdh.virginia.gov/crater/"
"Halifax","Southside","2","https://www.vdh.virginia.gov/southside/"
"Hampton","Hampton","2","https://www.vdh.virginia.gov/hampton/"
"Hanover","Chickahominy","2","https://www.vdh.virginia.gov/chickahominy/"
"Harrisonburg","Central Shenandoah","2","https://www.vdh.virginia.gov/central-shenandoah/"
"Henrico","Henrico","2","https://henrico.us/health/"
"Henry","West Piedmont","2","https://www.vdh.virginia.gov/west-piedmont/"
"Highland","Central Shenandoah","2","https://www.vdh.virginia.gov/central-shenandoah/"
"Hopewell","Crater","2","https://www.vdh.virginia.gov/crater/"
"Isle of Wight","Western Tidewater","2","https://www.vdh.virginia.gov/western-tidewater/"
"James City","Peninsula","2","https://www.vdh.virginia.gov/peninsula/"
"King and Queen","Three Rivers","2","https://www.vdh.virginia.gov/three-rivers/"
"King George","Rappahannock","2","https://www.vdh.virginia.gov/rappahannock/"
"King William","Three Rivers","2","https://www.vdh.virginia.gov/three-rivers/"
"Lancaster","Three Rivers","2","https://www.vdh.virginia.gov/three-rivers/"
"Lee","Lenowisco","2","https://www.vdh.virginia.gov/lenowisco/"
"Lexington","Central Shenandoah","2","https://www.vdh.virginia.gov/central-shenandoah/"
"Loudoun","Loudoun","2","https://www.loudoun.gov/health"
"Louisa","Blue Ridge","2","https://www.vdh.virginia.gov/blue-ridge/"
"Lunenburg","Piedmont","2","https://www.vdh.virginia.gov/piedmont/"
"Lynchburg","Central Virginia","2","https://www.vdh.virginia.gov/central-virginia/"
"Madison","Rappahannock Rapidan","2","https://www.vdh.virginia.gov/rappahannock-rapidan/"
"Manassas City","Prince William","2","https://www.vdh.virginia.gov/prince-william/"
"Manassas Park","Prince William","2","https://www.vdh.virginia.gov/prince-william/"
"Martinsville","West Piedmont","2","https://www.vdh.virginia.gov/west-piedmont/"
"Mathews","Three Rivers","2","https://www.vdh.virginia.gov/three-rivers/"
"Mecklenburg","Southside","2","https://www.vdh.virginia.gov/southside/"
"Middlesex","Three Rivers","2","https://www.vdh.virginia.gov/three-rivers/"
"Montgomery","New River","2","https://www.nrvroadtowellness.com/"
"Nelson","Blue Ridge","2","https://www.vdh.virginia.gov/blue-ridge/"
"New Kent","Chickahominy","2","https://www.vdh.virginia.gov/chickahominy/"
"Newport News","Peninsula","2","https://www.vdh.virginia.gov/peninsula/"
"Norfolk","Norfolk","2","https://www.norfolk.gov/153/Public-Health"
"Northampton","Eastern Shore","2","https://www.vdh.virginia.gov/eastern-shore/"
"Northumberland","Three Rivers","2","https://www.vdh.virginia.gov/three-rivers/"
"Norton","Lenowisco","2","https://www.vdh.virginia.gov/lenowisco/"
"Nottoway","Piedmont","2","https://www.vdh.virginia.gov/piedmont/"
"Orange","Rappahannock Rapidan","2","https://www.vdh.virginia.gov/rappahannock-rapidan/"
"Page","Lord Fairfax","2","https://www.vdh.virginia.gov/lord-fairfax/"
"Patrick","West Piedmont","2","https://www.vdh.virginia.gov/west-piedmont/"
"Petersburg","Crater","2","https://www.vdh.virginia.gov/crater/"
"Pittsylvania","Pittsylvania-Danville","2","https://www.vdh.virginia.gov/pittsylvania-danville/"
"Poquoson","Peninsula","2","https://www.vdh.virginia.gov/peninsula/"
"Portsmouth","Portsmouth","2","https://www.vdh.virginia.gov/portsmouth/"
"Powhatan","Chesterfield","2","https://www.vdh.virginia.gov/chesterfield/"
"Prince Edward","Piedmont","2","https://www.vdh.virginia.gov/piedmont/"
"Prince George","Crater","2","https://www.vdh.virginia.gov/crater/"
"Prince William","Prince William","2","https://www.vdh.virginia.gov/prince-william/"
"Pulaski","New River","2","https://www.nrvroadtowellness.com/"
"Radford","New River","2","https://www.nrvroadtowellness.com/"
"Rappahannock","Rappahannock Rapidan","2","https://www.vdh.virginia.gov/rappahannock-rapidan/"
"Richmond City","Richmond","2","https://www.vdh.virginia.gov/richmond-city/"
"Richmond County","Three Rivers","2","https://www.vdh.virginia.gov/three-rivers/"
"Roanoke City","Roanoke","2","https://www.vdh.virginia.gov/roanoke/"
"Roanoke County","Alleghany","2","https://www.vdh.virginia.gov/alleghany/"
"Rockbridge","Central Shenandoah","2","https://www.vdh.virginia.gov/central-shenandoah/"
"Rockingham","Central Shenandoah","2","https://www.vdh.virginia.gov/central-shenandoah/"
"Russell","Cumberland Plateau","2","https://www.vdh.virginia.gov/cumberland-plateau/"
"Salem","Alleghany","2","https://www.vdh.virginia.gov/alleghany/"
"Scott","Lenowisco","2","https://www.vdh.virginia.gov/lenowisco/"
"Shenandoah","Lord Fairfax","2","https://www.vdh.virginia.gov/lord-fairfax/"
"Smyth","Mount Rogers","2","https://www.vdh.virginia.gov/mount-rogers/"
"Southampton","Western Tidewater","2","https://www.vdh.virginia.gov/western-tidewater/"
"Spotsylvania","Rappahannock","2","https://www.vdh.virginia.gov/rappahannock/"
"Stafford","Rappahannock","2","https://www.vdh.virginia.gov/rappahannock/"
"Staunton","Central Shenandoah","2","https://www.vdh.virginia.gov/central-shenandoah/"
"Suffolk","Western Tidewater","2","https://www.vdh.virginia.gov/western-tidewater/"
"Surry","Crater","2","https://www.vdh.virginia.gov/crater/"
"Sussex","Crater","2","https://www.vdh.virginia.gov/crater/"
"Tazewell","Cumberland Plateau","2","https://www.vdh.virginia.gov/cumberland-plateau/"
"Virginia Beach","Virginia Beach","2","https://www.vdh.virginia.gov/virginia-beach/"
"Warren","Lord Fairfax","2","https://www.vdh.virginia.gov/lord-fairfax/"
"Washington","Mount Rogers","2","https://www.vdh.virginia.gov/mount-rogers/"
"Waynesboro","Central Shenandoah","2","https://www.vdh.virginia.gov/central-shenandoah/"
"Westmoreland","Three Rivers","2","https://www.vdh.virginia.gov/three-rivers/"
"Williamsburg","Peninsula","2","https://www.vdh.virginia.gov/peninsula/"
"Winchester","Lord Fairfax","2","https://www.vdh.virginia.gov/lord-fairfax/"
"Wise","Lenowisco","2","https://www.vdh.virginia.gov/lenowisco/"
"Wythe","Mount Rogers","2","https://www.vdh.virginia.gov/mount-rogers/"
"York","Peninsula","2","https://www.vdh.virginia.gov/peninsula/"
