"month","calendar_year","fiscal_year","withholding","income_tax_estimates_finals","sales_and_use","business_use","room_occupancy","electric_generation","business_entity","corporation_business","pass_through_entity","unrelated_business_income","cable_satellite_and_video","peg_account","electric_power","gas_electric","railroads","estate_gift","insurance_premiums_domestic","insurance_premiums_foreign","health_care_centers","nonadmitted_unauthorized","alcoholic_beverages","cigarette_tax","electronic_cigarette_products","tobacco_products","controlling_interest_transfer","real_estate_conveyance","petroleum_gross_earnings","admissions_dues","admissions_dues_and_tnc_fee","dry_cleaners","occupational_tax","rental_surcharge","solid_waste","tourism_surcharge","controlled_substances","prepaid_wireless_e_9_1_1","paid_preparer_fee","repealed_taxes","nursing_home_user_fee","hospitals","intermediate_care_facility","ambulatory_surgical_centers","gasoline","special_fuel","motor_carrier","licenses","beverage_container_deposits","total_revenue"
"May","2012","FY 2011-12","411727248.42","112930878.50","305928926.60","3292669.15","7808224.89","17374.00","4745390.41","15159077.89",,"233881.25","4571675.26","393706.00","301320.00","742374.00","60.00","14404160.50","799369.80","1484109.99","826012.00","504702.53","4394198.30","35859707.19",,"785675.82","180425.06","11375133.67","1446103.58","3947099.47",,"94423.62","198802.10","0.00","261162.40","374279.15","2396.30","0.00",,"-79127.27","3415218.36","3960224.00","1283291.00",,"28932353.92","8781802.49","655135.67","123309.91","101516.82","991964292.75"
"June Final","2012","FY 2011-12","851135077.96","373515678.01","661011335.65","9104498.40","19342379.26","16763000.00","865330.00","160344057.67",,"250562.49","10512157.99","0.00","37299000.00","10384389.93","60.00","28467297.32","13262718.12","37452973.43","2534361.00","74966.93","11789478.24","52594342.12",,"896305.80","754329.16","32890033.32","91655699.44","2657168.92",,"16034.39","71734.05","0.00","99.62","392313.52","1921.58",,,"69112.64","35733796.57","87310000.00","3017997.00",,"62450494.22","19764021.07","3830721.22","175229.00","7828634.29","2646219310.33"
"July","2012","FY 2012-13",,,,,,,"594203.11",,,"3040.75",,"1467418.00",,,"115300.00","10974840.47","2268.18","560044.48","0.00","-22919.00",,"16035049.97",,"1571154.30","107534.03",,,"3825039.63",,"89677.78","52658.66","0.00","897466.46","446031.38","1063.16",,,"250172.96",,,,,,,,"133298.28",,"37103342.60"
"August","2012","FY 2012-13","320983013.78","26085541.63","279033328.38","3298341.42","8952223.14","751701.00","609883.81","14445296.04",,"42417.58","3893921.00","-605647.00","0.00","0.00","0.00","19262821.09","3361.37","2109609.95","9173.04","735782.79","4653721.13","36904378.14",,"1962282.17","1714198.80","11129619.98","835632.82","3421536.36",,"86127.58","126985.89","0.00","0.00","465313.00","2029.88","0.00",,"240499.57","1329589.04","0.00","952163.00",,"30545161.88","10372263.22","521909.09","167614.66","13300.16","785055095.39"
"September","2012","FY 2012-13","342279423.63","354114929.90","199553462.79","2943201.46","7460694.04","0.00","1023033.50","78392824.91",,"243642.54","0.00","0.00","0.00","0.00","0.00","4823426.75","10523201.80","26606329.14","1842690.00","170934.75","3667957.10","30827056.56",,"1816464.05","514062.96","10881800.50","35691.22","1378735.48",,"7383.62","126557.05","0.00","0.00","456169.28","1800.15","0.00",,"28975.86","762605.90","4237452.00","989781.00",,"31141158.47","11114451.41","1889182.25","355932.12","424535.59","1130635547.78"
"October","2012","FY 2012-13","396173305.33","100449016.49","394410985.33","5027594.57","10769147.10","17738839.00","563515.71","21269562.89",,"49518.06","11756080.00","674961.00","48876920.43","8020006.14","0.00","12547186.51","-227173.00","1097041.25","0.00","209963.32","5638502.91","36138542.69",,"1392370.34","207739.79","9496000.86","88812892.37","2812681.43",,"82541.79","90582.46","240.00","609120.87","424319.65","1363.73","0.00",,"288138.32","25944826.92","78083147.00","1675917.00",,"28989469.13","9855288.87","1910067.70","172020.00","6001700.40","1328033944.36"
"November","2012","FY 2012-13","412725179.23","25131382.92","331434862.56","3387027.13","9958016.15","2256728.00","506456.01","17002711.62",,"45721.96","1841680.78","177163.00","18116.07","47307.46","0.00","10961111.66","6488.00","892224.07","0.00","2949255.66","6029350.81","33333419.56",,"1478890.10","745769.98","12168806.09","2653432.54","2205006.50",,"82880.04","69113.98","564.04","259016.00","435496.70","2131.26","0.00",,"50472.93","10219539.07","4959973.00","1303739.00",,"31654775.25","10751261.66","224345.10","199139.64","191690.57","938360246.10"
"December","2012","FY 2012-13","483932688.03","303854998.11","305701671.47","3114099.44","9193536.70","34282.00","505011.63","112009790.70",,"433151.34","74.67","0.00","20796.18","0.00","0.00","5515243.36","10533532.52","23879174.64","1842691.00","152654.08","5964971.37","32012659.89",,"1177587.35","542126.00","12271760.31","6179022.03","2638431.49",,"6619.82","2693318.86","0.00","4974.23","379822.41","1666.89","0.00",,"175371.96","491764.94","0.00","909959.00",,"31242935.12","11278864.09","1881459.33","239738.19","0.00","1370816449.15"
"January","2013","FY 2012-13","562214076.97","539681065.87","398925836.93","7787666.26","7228330.66","11420711.00","837662.35","15717008.98",,"11292.43","13784869.00","717130.00","30649549.89","11755021.00","0.00","56350731.97","653332.45","3253485.02","0.00","830384.00","5041775.15","26736169.28",,"1277987.03","688221.51","14691230.39","93755027.13","3068799.42",,"130154.51","5079402.21","3125.00","820372.63","421046.81","2103.27","0.00",,"102799.82","32916614.87","79866332.00","1983236.38",,"30484270.14","9591513.71","2017028.95","173350.50","5923625.71","1976592341.20"
"February","2013","FY 2012-13","440403563.44","36620271.59","288828594.13","6578246.92","7098673.93","5917065.00","3385674.26","32366102.90",,"9198.85","1696.81","112965.00","312589.00","0.00","0.00","6412764.54","3838157.00","14927362.88","588500.00","1621976.28","3655888.50","27057190.82",,"1100250.26","450511.00","7342228.52","1244212.67","4444871.52",,"47242.00","387586.45","255442.99","40158.21","387607.52","5420.40","88700.96",,"159602.53","5741975.45","7506837.00","928061.00",,"28667340.87","10184849.66","584805.89","131683.00","99415.21","949535284.96"
"March","2013","FY 2012-13","575586824.39","95818912.01","177105178.14","1920239.97","5756375.32","0.00","17931195.53","155963986.54",,"472478.59","0.00","161.00","0.00","21992.50","0.00","60378715.40","14298021.26","43923850.57","8652548.00","90006.87","2760783.67","28005418.65",,"1095889.24","682508.24","6614323.68","472287.07","2372434.80",,"3949.17","271732.86","152.00","0.00","330571.00","4413.53","127447.98",,"196321.02","1563741.69","0.00","-8562410.00",,"25412018.61","9171067.77","2381806.95","150420.15","3181.31","1230978545.48"
"April","2013","FY 2012-13","392130970.22","1563130783.60","406703921.48","6538405.82","8570581.22","19773580.00","14145275.94","52553393.71",,"66469.64","14192061.82","546437.00","44233173.12","24379603.00","0.00","224078103.23","-647015.85","2330550.98","1278184.00","72621.20","6708496.41","31615558.03",,"1120661.07","33600.74","10847929.27","88958556.16","4182114.37",,"75112.94","192865.04","0.00","734991.65","418205.26","4316.74","162892.20",,"1486073.71","28056776.79","86267459.00","1189120.00",,"29723392.09","9795342.89","1499316.23","160557.79","5707018.63","3083017457.14"
"May","2013","FY 2012-13","435380697.87","48896042.14","317450217.59","4372069.34","8723381.40","10233.98","3830240.75","20374939.83",,"510091.15","-128495.92","325812.92","0.00","1148975.46","0.00","20330466.66","85316.26","1059905.91","0.00","2889269.17","4457934.38","32827134.61",,"1136805.49","585538.97","13207371.16","1952391.52","3516727.48",,"72087.16","137095.82","267.01","51532.00","401863.72","4655.30","141659.01",,"44661.99","8816976.98","106000.00","756956.00",,"29240325.67","10528911.70","612865.17","151220.75","362650.12","974372796.52"
"June Final","2013","FY 2012-13","863213398.39","401878667.59","700704972.91","11040933.63","20441074.48","8920000.00","702663.93","176954669.78",,"219906.91","11097457.10","35984.93","33187000.00","11419000.00","20.00","7883228.36","12710565.96","40004494.00","6090977.00","19022.26","11826264.03","52554149.94",,"1255796.66","51002.00","38533447.66","90026749.61","2712092.03",,"5286.19","125016.89","0.00","0.00","410268.70","4330.13","123509.78",,"35783.76","34655820.73","86267000.00","1948680.00",,"62178932.16","21957283.07","3881505.33","146747.83","8801370.64","2724025074.37"
"July","2013","FY 2013-14",,,,,,,"779126.45",,,"10665.63",,"723575.00",,,"114202.00","9070724.95","94244.87","160485.33","0.00","278845.04",,"15052010.65",,"1112906.14","54668.39",,,"4310217.75",,"105358.25","139820.57","0.00","856387.29","464511.58","2249.51","196493.73",,"23090.24",,,,,,,,"134097.00",,"33683680.37"
"August","2013","FY 2013-14","302705759.73","26300552.44","207101538.95","3300589.90","7332222.00","1750360.00","629968.39","17422835.28",,"28276.75","3375825.81","127718.25","975.30","271877.85","0.00","18801852.95","93074.00","2026843.51","0.00","715821.91","3072342.15","31147227.06",,"1183454.41","4770.80","11408482.74","640948.67","2741572.82",,"64016.00","117441.18","0.00","81130.81","474879.36","3580.78","128602.25",,"90046.82","1650378.11","459.00","433580.00",,"30835519.30","11543123.09","735948.80","128849.95","88141.55","688560588.67"
"September","2013","FY 2013-14","364883174.07","400859291.66","381450261.92","3362269.07","12017748.62","0.00","1063383.75","81316312.95",,"1062809.08","63.27","0.00","0.00","61050.42","70.60","6599775.49","8697527.82","25613684.39","1123178.00","2085.40","5837569.08","32489625.17",,"1202672.89","113304.00","14878569.16","26356.85","2420327.10",,"4713.71","105135.62","0.00","0.00","463270.22","1780.71","176724.40",,"39017.45","257060.81","0.00","459095.00",,"31075286.71","12037387.96","2606842.11","368355.00","11780.79","1392687561.25"
"November","2013","FY 2013-14","402066995.92","47535700.73","273436567.80","9423655.48","7812956.63","4653.00","1209055.91","62386110.19",,"302010.64","2150866.72","131390.21","651544.68","766180.02","24130.42","15591972.67","156520.84","2088777.75","0.00","810986.43","3098400.77","29746343.82",,"1175009.51","452738.56","14190890.96","7833946.14","2402778.28",,"44943.84","275102.15","0.00","6743.67","440419.50","1560.90","124655.63",,"593863.51","6502969.65","25746434.00","449949.59",,"31150807.21","11915962.33","472843.20","255755.81","420477.50","963852672.57"
"December","2013","FY 2013-14","487599743.60","290538347.43","413629290.18","3597106.38","10828696.36","0.00","346204.11","115700317.98",,"605162.44","44992.36","291.67","0.00","15603.13","51.40","8538576.85","8401846.92","23843728.73","2048922.00","131194.52","9047188.28","32377188.14",,"975158.57","179475.20","13626832.34","870546.47","3438530.15",,"3374.10","2471079.64","0.00","598.60","337225.98","2080.46","183892.45",,"73568.60","312824.59","1013975.00","439385.00",,"29952868.98","11059369.40","2327665.95","179634.00","132933.88","1474875471.84"
"October","2013","FY 2013-14","424503039.59","117351435.23","343993016.36","6370109.66","9595941.18","13560165.00","771303.27","72701918.15",,"35444.96","14354973.05","724383.86","50647865.61","6854787.07","0.00","32048975.23","0.00","546016.78","0.00","195701.86","4922985.37","31296425.13",,"1137351.06","1076004.59","18907904.52","102227534.74","2645306.37",,"118330.33","85013.01","0.00","887634.63","437521.30","1935.49","171232.11",,"-466306.16","31529108.26","60635178.00","1465894.93",,"29182187.40","11100544.13","1481224.34","174702.43","7145193.10","1400417981.94"
"January","2014","FY 2013-14","553937825.82","566120815.91","394930569.62","7221459.16","6956649.42",,"672381.75","20728746.15",,"21532.93","17392286.50","1559747.90","35036497.01","13057550.35","70.40","19338160.26","190714.32","846170.77","0.00","1113819.79","5105660.53","28093439.99",,"976308.65","201158.57","12153541.30","91949299.47","3508611.21",,"113902.49","4795291.50","12595.81","828598.13","422292.00","1641.56","179980.49",,"119375.98","30124480.31","82659767.00","1477969.00",,"29909944.27","10718444.00","1686328.01","155870.89","4481931.75","1948801430.97"
"February","2014","FY 2013-14","497056295.29","27203447.80","285426269.18","4704425.59","6168808.37",,"568398.30","11684315.76",,"1186626.06","199.27","131808.00","0.00","309448.66","0.00","14107477.04","7840811.00","18793201.57","500000.00","810678.99","3610651.27","24163732.34",,"938807.30","296380.74","8494193.43","8269259.85","4566963.18",,"42781.09","292919.79","259782.44","4403.00","386578.10","7770.86","162893.43",,"29333.56","7795399.01","1213113.00","454529.00",,"27232947.37","10927121.62","404697.99","111170.08","200184.61","976357823.94"
"March","2014","FY 2013-14","567379258.32","103487123.72","262744425.48","3749850.17","6656749.48",,"1258662.37","145030057.89",,"203069.98","727147.00","-727147.00","0.00","0.00","20.00","7154303.75","13646217.87","39602743.30","2402721.00","256051.30","4862543.67","27711223.17",,"864472.26","1248407.80","10645480.02","110260.36","3394737.42",,"4956.01","143248.27","946.00","0.00","320594.42","3635.03","153019.94",,"60524.95","1123392.92","400000.00","405970.00",,"25125052.80","9475928.62","2935117.15","147965.48","132.80","1242708863.72"
"April","2014","FY 2013-14","429717215.45","1244574405.37","326592654.07","5787401.75","7731187.36",,"1058824.83","45889990.21",,"87089.34","14675955.00","1191335.00","42828418.14","23161841.91","0.00","17799403.66","-110839.80","1634208.37","16177.93","275045.26","4710776.08","27180526.57",,"887996.84","574714.00","12719010.13","94926871.41","3755471.58",,"76576.12","131216.43","0.00","794239.97","415515.50","4262.88","170413.31",,"25862.69","27206480.34","78072687.00","1429266.00",,"30223152.19","10880055.71","1370913.36","145335.50","5263893.67","2463875551.13"
"May","2014","FY 2013-14","445743564.85","42309039.21","249653368.84","5172576.27","7630653.49",,"372568.43","1231795.82",,"658502.87","-68370.87","305476.00","436852.00","1576794.38","0.00","11160625.12","1088329.06","2211160.31","0.00","469673.28","2328278.58","29950434.00",,"998073.65","110851.54","12498469.72","5712378.82","3035281.39",,"64002.02","53746.26","0.00","-320.00","392279.73","3966.45","141006.89",,"129833.08","7788397.51","407885.00","20588.00",,"29030562.17","11022217.16","990562.34","142411.02","151088.56","874924602.95"
"June Final","2014","FY 2013-14","951012984.13","428410118.36","797838474.00","11144418.18","22930883.44",,"281618.48","194409251.50",,"506345.10","10921000.00","0.00","41934000.00","14478433.61","20.00","9423786.72","12413179.52","38323938.16","2385435.00","6235.00","14089380.91","55134884.60",,"961934.28","3998424.61","42673063.65","103542254.40","3520059.42",,"11827.55","45025.08","1610.00","0.00","442003.98","3456.67","176484.01",,"59800.62","35279456.14","71059309.01","2311582.00",,"61958750.52","22393970.92","4285934.37","160549.25","9488988.24","2968018871.43"
"July","2014","FY 2014-15",,,,,,,"42277.28",,,"69855.85",,"1330668.00",,,"200296.00","8896414.52","543365.71","1238035.23","0.00","481742.96",,"9910912.57",,"941513.50","513005.30",,,"3782673.73",,"122238.14","35761.11","428.42","966188.52","476691.03","2450.99","152965.81",,"31466.42",,,,,,,,"142007.56",,"29880958.65"
"August","2014","FY 2014-15","255315752.18","28771125.29","207285443.97","3085472.57","7535746.14",,"296009.14","33808036.62",,"152511.12","6664643.89","-1047097.00","105.00","966.39","10390.93","18537278.48","183094.54","2481000.74","0.00","364021.04","2265773.09","30293632.10",,"1366078.51","778251.19","12459387.50","126879.57","2512042.22",,"45434.13","597211.49","0.00","0.00","486689.60","2826.29","164863.52",,"283999.34","869619.74","213572.00","915.00",,"31014243.71","11770751.81","78177.07","112841.01","1420.29","658889110.22"
"September","2014","FY 2014-15","381751466.41","430962057.03","405779947.25","4065587.04","13392833.43",,"215195.07","80520059.82",,"862493.46","0.00","0.00","0.00","213.60","0.00","17973421.73","9020976.84","24313685.73","1923160.00","-1122.96","6609574.22","31853494.60",,"938074.80","128473.56","16938328.88","58825.24","3320706.38",,"31713.16","294980.12","0.00","0.00","479919.57","3437.79","181525.84",,"-374416.43","414951.44","0.00","844263.00",,"30020191.23","11551337.83","3240705.81","366902.00","42432.40","1477725395.89"
"October","2014","FY 2014-15","452304624.76","105800402.69","359243802.41","7546678.39","11973475.50",,"197174.16","31092720.42",,"68710.82","16377237.00","1413790.00","45663490.14","7439533.42","1812.72","8327242.73","7800.70","770693.78","0.00","101246.83","5628712.52","29554215.24",,"586734.16","463161.32","16391689.12","101469405.73","2472097.24",,"148558.28","220462.42","0.00","841397.24","475971.00","3678.00","177849.01",,"46808.69","28285035.73","73641317.50","1385028.00",,"30678115.92","11888384.90","1428143.73","157820.97","6885742.48","1361160765.67"
"November","2014","FY 2014-15","402872181.80","28195048.30","248651135.16","5532690.71","9372516.06",,"-219799.10","13716577.63",,"482367.32","685345.56","-511279.41","0.00","218628.27","0.00","8689094.72","572487.98","2325084.66","0.00","294216.59","2873350.49","26254675.11",,"914280.81","2607727.84","13662993.40","4408771.78","1903631.32",,"46025.94","152111.74","0.00","0.00","474389.03","1249.31","135322.21",,"219411.68","6787061.55","-2767844.61","440745.00",,"30940075.13","12009010.38","325761.58","166221.07","641545.89","823072812.90"
"December","2014","FY 2014-15","530796063.03","316910593.33","424072032.94","3341467.10","10761062.52",,"338654.78","103249102.89",,"534866.93","22571.88","0.00","0.00","0.00","0.00","20730532.10","9216821.40","24767632.17","1464927.00","186415.00","8262395.58","33835771.10",,"864327.10","250868.44","12876094.55","1341982.03","2925014.38",,"51900.62","2474460.28","0.00","0.00","360961.17","1108.05","199587.11",,"15167.32","116801.32","133810.00","404743.00",,"29155752.76","10940223.13","3164841.45","216459.71","0.00","1553985012.17"
"January","2015","FY 2014-15","546226274.72","582472963.92","334711041.77","9918440.37","6317259.54",,"607522.29","16319025.80",,"78023.69","14086917.00","1448972.00","17227724.20","10369220.86","0.00","11259315.95","-13946.00","725837.27","0.00","675729.84","3800687.70","25560748.42",,"942973.49","106598.51","12247017.00","70291880.69","2748453.03",,"95222.42","4792334.85","16245.00","586717.14","447735.42","3046.33","160588.28",,"5908.93","18225726.79","59692784.00","1060533.00",,"30467574.91","10916002.85","1231115.63","171176.27","5119484.25","1801120878.13"
"February","2015","FY 2014-15","508486802.79","35332601.72","367645346.98","6512910.40","8087080.29",,"1929035.51","23009980.65",,"99363.24","2166750.79","141960.00","11109828.00","4940786.36","0.00","7289419.27","1813843.00","11330525.56","11016.00","1782079.90","4299964.78","22773821.23",,"778008.56","784347.90","9551372.44","15630101.26","4775973.18",,"98383.20","361218.88","198733.90","0.00","382777.00","5788.29","173504.43",,"29707.30","17346429.76","10410921.00","753803.00",,"29666354.08","10889476.61","367116.08","126067.34","989293.06","1122082493.74"
"March","2015","FY 2014-15","613078989.72","119115390.12","294029092.19","3143627.32","7994243.02",,"16538599.61","170427304.49",,"178035.22","0.00","0.00","0.00","0.00","0.00","8867586.35","9844879.15","37020379.38","1153094.00","2074385.00","6326034.25","28997343.97",,"850012.44","168312.00","10319218.67","381216.95","3633836.20",,"14219.12","210442.94","12018.03","0.00","339141.48","13025.06","153035.46",,"22958.05","796999.34","5032850.00","373234.00",,"26349076.14","10597175.38","2709919.38","141436.86","27992.33","1380935103.62"
"April","2015","FY 2014-15","488294012.56","1422690402.24","338591956.76","7726536.86","8858212.24",,"13692796.80","45362556.83",,"189541.96","15062647.00","3425090.00","45314377.75","25380364.91","20.00","31529210.00","-443222.05","648054.07","524.05","34496.90","4618689.77","24845949.73",,"880625.63","122142.56","11197479.69","52166375.97","3742050.79",,"85160.29","140793.22","9511.50","952868.08","453365.08","4568.84","177335.53",,"150143.57","27410252.08","72714551.32","1021482.00",,"30268563.52","10631881.81","1865341.11","155877.50","7080973.47","2697053561.94"
"May","2015","FY 2014-15","400562601.60","65387345.93","324903112.28","5968554.94","9259595.01",,"9558117.28","24605090.48",,"587857.50","3241855.49","-3167474.00","374777.00","778246.28","0.00","14147703.06","1432671.02","3187389.32","0.00","352844.41","2532768.37","31104202.25",,"962363.11","51636.20","15051416.02","6053199.75","3138716.96",,"80469.29","71061.80","134.24","107074.05","424717.39","5230.50","150166.59",,"60769.77","10033435.25","4041767.00","728262.00",,"29098229.95","10999709.45","488273.94","121933.21","504658.81","976990483.50"
"June Final","2015","FY 2014-15","980913766.09","452438386.48","724114893.30","14137399.29","22726977.33",,"721607.47","223995466.27",,"1411923.33","15618000.00","0.00","24925000.00","12151000.00","60.00","20515908.22","11873475.88","34900300.53","1752205.00","8187.58","14393986.37","52872548.54",,"822424.08","3084457.52","46201117.45","85974852.59","3651248.34",,"14610.13","57041.84","120.00","0.00","430623.80","4568.39","153021.45",,"74995.80","35887185.56","76947000.00","1761004.00",,"63786900.22","23902426.79","4148959.70","166313.25","9306203.34","2965846165.93"
"July","2015","FY 2015-16",,,,,,,"605550.22",,,"5244.26",,"3310863.00",,,"253629.00","48134098.99","750.00","111333.51","-524.05","139368.91",,"10383514.70",,"1006632.46","23783.15",,,"3927867.62",,"156178.41","35235.63","50.40","758525.44","495911.39","4842.74","222867.36",,"39894.60",,,,,,,,"145913.50",,"69761531.24"
"August","2015","FY 2015-16","257164670.52","38130234.82","336608457.49","2827542.54","12161381.60",,"533564.41","14242182.02",,"112206.92","132113.90","-585866.96","719.22","982.47","0.00","14298587.99","-114291.20","2508791.36","0.00","863152.76","4953851.39","30355383.74",,"1040887.86","61202.00","11268621.14","7796.91","3221583.27",,"53790.37","32646.78","0.00","0.00","514652.82","1486.61","139728.70",,"32119.72","1468411.12","1125014.00","378356.00",,"31387537.94","11482545.81","7535.20","122457.32","6425.19","776546463.75"
"September","2015","FY 2015-16","404434045.23","447724712.93","325667792.71","2533298.17","11636208.20",,"1353445.98","99970944.42",,"427648.51","0.00","0.00","0.00","0.00","0.00","16158701.69","7321765.95","21761499.86","1134803.00","0.00","4484755.48","32716557.98",,"916529.06","343488.89","19593595.74","96527.98","2460483.04",,"13621.34","23994.34","793.00","12.96","492479.63","1541.88","124987.18",,"64617.23","831490.15","0.00","376009.00",,"32933890.90","11113122.48","2486955.86","343659.60","11274.80","1449555255.17"
"October","2015","FY 2015-16","439544223.84","113818775.40","357240062.76","9916353.66","11221250.83",,"721618.81","24625063.89",,"171948.97","13485058.23","3256752.00","35817684.54","7263601.37","73.40","12283979.91","30735.60","483550.92","0.00","4268.84","3351630.11","31172636.01",,"1008603.29","869536.13","14836931.29","43619647.72","2011858.98",,"101490.90","34545.68","0.00","772296.96","492702.05","1796.71","144539.64",,"77304.84","24524007.17","119619489.00","777372.00",,"30840659.93","11142754.97","1613403.52","167938.50","6485314.97","1323551463.34"
