"township","gender","count"
"Meriden","F","16952"
"Meriden","M","14373"
"Middlebury","F","684"
"Middlebury","M","492"
"Middlefield","F","408"
"Middlefield","M","362"
"Middletown","F","9188"
"Middletown","M","8066"
"Milford","F","6054"
"Milford","M","5005"
"Monroe","F","1504"
"Monroe","M","1280"
"Montville","F","2964"
"Montville","M","2525"
"Morris","F","293"
"Morris","M","278"
"Naugatuck","F","6898"
"Naugatuck","M","5463"
"New Britain","F","26294"
"New Britain","M","22831"
"New Canaan","F","860"
"New Canaan","M","647"
"New Fairfield","F","1072"
"New Fairfield","M","949"
"New Hartford","F","575"
"New Hartford","M","560"
"New Haven","F","40613"
"New Haven","M","37240"
"New London","F","8963"
"New London","M","7761"
"New Milford","F","3807"
"New Milford","M","3198"
"Newington","F","4219"
"Newington","M","3262"
"Newtown","F","1947"
"Newtown","M","1730"
"Norfolk","F","187"
"Norfolk","M","169"
"North Branford","F","1377"
"North Branford","M","1055"
"North Canaan","F","111"
"North Canaan","M","88"
"North Haven","F","2657"
"North Haven","M","2248"
"North Stonington","F","557"
"North Stonington","M","517"
"Norwalk","F","15384"
"Norwalk","M","12482"
"Norwich","F","12087"
"Norwich","M","10353"
"Old Lyme","F","663"
"Old Lyme","M","566"
"Old Saybrook","F","1143"
"Old Saybrook","M","893"
"Orange","F","1061"
"Orange","M","933"
"Out of State","F","3554"
"Out of State","M","2712"
"Oxford","F","1037"
"Oxford","M","817"
"Plainfield","F","3595"
"Plainfield","M","2829"
"Plainville","F","2923"
"Plainville","M","2402"
"Plymouth","F","2003"
"Plymouth","M","1668"
"Pomfret","F","432"
"Pomfret","M","339"
"Portland","F","1181"
"Portland","M","1000"
"Preston","F","596"
"Preston","M","460"
"Prospect","F","915"
"Prospect","M","736"
"Putnam","F","2484"
"Putnam","M","2016"
"Redding","F","447"
"Redding","M","420"
"Ridgefield","F","1256"
"Ridgefield","M","1018"
"Rocky Hill","F","2092"
"Rocky Hill","M","1849"
"Roxbury","F","172"
"Roxbury","M","146"
"Salem","F","416"
"Salem","M","361"
"Salisbury","F","412"
"Salisbury","M","312"
"Scotland","F","86"
"Scotland","M","97"
"Seymour","F","2598"
"Seymour","M","2129"
"Sharon","F","290"
"Sharon","M","356"
"Shelton","F","5022"
"Shelton","M","4007"
"Sherman","F","268"
"Sherman","M","236"
"Simsbury","F","1649"
"Simsbury","M","1327"
"Somers","F","819"
"Somers","M","720"
"South Windsor","F","2435"
"South Windsor","M","1931"
"Southbury","F","1805"
"Southbury","M","1365"
"Southington","F","5003"
"Southington","M","3882"
"Sprague","F","660"
"Sprague","M","546"
"Stafford","F","1896"
"Stafford","M","1521"
"Stamford","F","21263"
"Stamford","M","17447"
"Sterling","F","621"
"Sterling","M","504"
"Stonington","F","3057"
"Stonington","M","2427"
"Stratford","F","9457"
"Stratford","M","7665"
"Suffield","F","1177"
"Suffield","M","887"
"Thomaston","F","1128"
"Thomaston","M","910"
"Thompson","F","1433"
"Thompson","M","1210"
"Tolland","F","1066"
"Tolland","M","890"
"Torrington","F","8564"
"Torrington","M","7628"
"Trumbull","F","3237"
"Trumbull","M","2733"
"Union","F","46"
"Union","M","49"
"Unknown","F","38"
"Unknown","M","42"
"Vernon","F","6111"
"Vernon","M","4817"
"Voluntown","F","347"
"Voluntown","M","276"
"Wallingford","F","5904"
"Wallingford","M","4596"
"Warren","F","125"
"Warren","M","98"
"Washington","F","359"
"Washington","M","264"
"Waterbury","F","42069"
"Waterbury","M","38054"
"Waterford","F","2690"
"Waterford","M","2042"
"Watertown","F","3047"
"Watertown","M","2488"
"West Hartford","F","7358"
"West Hartford","M","5810"
"West Haven","F","13059"
"West Haven","M","11267"
"Westbrook","F","935"
"Westbrook","M","752"
"Weston","F","437"
"Weston","M","382"
"Westport","F","1316"
"Westport","M","1131"
"Wethersfield","F","3359"
"Wethersfield","M","2722"
"Willington","F","610"
"Willington","M","585"
"Wilton","F","1049"
"Wilton","M","715"
"Winchester","F","2428"
"Winchester","M","2054"
"Windham","F","7456"
"Windham","M","6518"
"Windsor Locks","F","2223"
"Windsor Locks","M","1764"
"Windsor","F","5221"
"Windsor","M","5043"
"Wolcott","F","2146"
"Wolcott","M","1765"
"Woodbridge","F","649"
"Woodbridge","M","563"
"Woodbury","F","950"
"Woodbury","M","754"
"Woodstock","F","845"
"Woodstock","M","681"
