"township","ethnicity","count"
"East Lyme","Another Hispanic, Latino/a, or Spanish origin","198"
"East Lyme","Not of Hispanic, Latino/a, or Spanish origin","3251"
"East Windsor","Another Hispanic, Latino/a, or Spanish origin","397"
"East Windsor","Not of Hispanic, Latino/a, or Spanish origin","3059"
"Eastford","Another Hispanic, Latino/a, or Spanish origin","21"
"Eastford","Not of Hispanic, Latino/a, or Spanish origin","307"
"Easton","Another Hispanic, Latino/a, or Spanish origin","59"
"Easton","Not of Hispanic, Latino/a, or Spanish origin","643"
"Ellington","Another Hispanic, Latino/a, or Spanish origin","104"
"Ellington","Not of Hispanic, Latino/a, or Spanish origin","2366"
"Enfield","Another Hispanic, Latino/a, or Spanish origin","1186"
"Enfield","Not of Hispanic, Latino/a, or Spanish origin","10148"
"Essex","Another Hispanic, Latino/a, or Spanish origin","79"
"Essex","Not of Hispanic, Latino/a, or Spanish origin","954"
"Fairfield","Another Hispanic, Latino/a, or Spanish origin","1077"
"Fairfield","Not of Hispanic, Latino/a, or Spanish origin","6882"
"Farmington","Another Hispanic, Latino/a, or Spanish origin","379"
"Farmington","Not of Hispanic, Latino/a, or Spanish origin","3726"
"Franklin","Another Hispanic, Latino/a, or Spanish origin","20"
"Franklin","Not of Hispanic, Latino/a, or Spanish origin","359"
"Glastonbury","Another Hispanic, Latino/a, or Spanish origin","538"
"Glastonbury","Not of Hispanic, Latino/a, or Spanish origin","3689"
"Goshen","Another Hispanic, Latino/a, or Spanish origin","10"
"Goshen","Not of Hispanic, Latino/a, or Spanish origin","452"
"Granby","Another Hispanic, Latino/a, or Spanish origin","58"
"Granby","Not of Hispanic, Latino/a, or Spanish origin","1261"
"Greenwich","Another Hispanic, Latino/a, or Spanish origin","2196"
"Greenwich","Not of Hispanic, Latino/a, or Spanish origin","5295"
"Griswold","Another Hispanic, Latino/a, or Spanish origin","238"
"Griswold","Not of Hispanic, Latino/a, or Spanish origin","4216"
"Groton","Another Hispanic, Latino/a, or Spanish origin","1916"
"Groton","Not of Hispanic, Latino/a, or Spanish origin","8214"
"Guilford","Another Hispanic, Latino/a, or Spanish origin","178"
"Guilford","Not of Hispanic, Latino/a, or Spanish origin","2784"
"Haddam","Another Hispanic, Latino/a, or Spanish origin","32"
"Haddam","Not of Hispanic, Latino/a, or Spanish origin","1118"
"Hamden","Another Hispanic, Latino/a, or Spanish origin","2396"
"Hamden","Not of Hispanic, Latino/a, or Spanish origin","14033"
"Hampton","Another Hispanic, Latino/a, or Spanish origin","34"
"Hampton","Not of Hispanic, Latino/a, or Spanish origin","557"
"Hartford","Another Hispanic, Latino/a, or Spanish origin","45858"
"Hartford","Not of Hispanic, Latino/a, or Spanish origin","50039"
"Hartland","Another Hispanic, Latino/a, or Spanish origin","8"
"Hartland","Not of Hispanic, Latino/a, or Spanish origin","292"
"Harwinton","Another Hispanic, Latino/a, or Spanish origin","39"
"Harwinton","Not of Hispanic, Latino/a, or Spanish origin","884"
"Hebron","Another Hispanic, Latino/a, or Spanish origin","49"
"Hebron","Not of Hispanic, Latino/a, or Spanish origin","1198"
"Kent","Another Hispanic, Latino/a, or Spanish origin","37"
"Kent","Not of Hispanic, Latino/a, or Spanish origin","642"
"Killingly","Another Hispanic, Latino/a, or Spanish origin","435"
"Killingly","Not of Hispanic, Latino/a, or Spanish origin","7238"
"Killingworth","Another Hispanic, Latino/a, or Spanish origin","22"
"Killingworth","Not of Hispanic, Latino/a, or Spanish origin","762"
"Lebanon","Another Hispanic, Latino/a, or Spanish origin","105"
"Lebanon","Not of Hispanic, Latino/a, or Spanish origin","1912"
"Ledyard","Another Hispanic, Latino/a, or Spanish origin","322"
"Ledyard","Not of Hispanic, Latino/a, or Spanish origin","2973"
"Lisbon","Another Hispanic, Latino/a, or Spanish origin","34"
"Lisbon","Not of Hispanic, Latino/a, or Spanish origin","1011"
"Litchfield","Another Hispanic, Latino/a, or Spanish origin","56"
"Litchfield","Not of Hispanic, Latino/a, or Spanish origin","1651"
"Lyme","Another Hispanic, Latino/a, or Spanish origin","10"
"Lyme","Not of Hispanic, Latino/a, or Spanish origin","294"
"Madison","Another Hispanic, Latino/a, or Spanish origin","83"
"Madison","Not of Hispanic, Latino/a, or Spanish origin","1847"
"Manchester","Another Hispanic, Latino/a, or Spanish origin","4719"
"Manchester","Not of Hispanic, Latino/a, or Spanish origin","18192"
"Mansfield","Another Hispanic, Latino/a, or Spanish origin","273"
"Mansfield","Not of Hispanic, Latino/a, or Spanish origin","2358"
"Marlborough","Another Hispanic, Latino/a, or Spanish origin","40"
"Marlborough","Not of Hispanic, Latino/a, or Spanish origin","874"
"Meriden","Another Hispanic, Latino/a, or Spanish origin","11969"
"Meriden","Not of Hispanic, Latino/a, or Spanish origin","17763"
"Middlebury","Another Hispanic, Latino/a, or Spanish origin","50"
"Middlebury","Not of Hispanic, Latino/a, or Spanish origin","1032"
"Middlefield","Another Hispanic, Latino/a, or Spanish origin","23"
"Middlefield","Not of Hispanic, Latino/a, or Spanish origin","694"
"Middletown","Another Hispanic, Latino/a, or Spanish origin","2735"
"Middletown","Not of Hispanic, Latino/a, or Spanish origin","14659"
"Milford","Another Hispanic, Latino/a, or Spanish origin","1029"
"Milford","Not of Hispanic, Latino/a, or Spanish origin","9756"
"Monroe","Another Hispanic, Latino/a, or Spanish origin","244"
"Monroe","Not of Hispanic, Latino/a, or Spanish origin","2286"
"Montville","Another Hispanic, Latino/a, or Spanish origin","470"
"Montville","Not of Hispanic, Latino/a, or Spanish origin","5100"
"Morris","Another Hispanic, Latino/a, or Spanish origin","15"
"Morris","Not of Hispanic, Latino/a, or Spanish origin","514"
"Naugatuck","Another Hispanic, Latino/a, or Spanish origin","2152"
"Naugatuck","Not of Hispanic, Latino/a, or Spanish origin","9643"
"New Britain","Another Hispanic, Latino/a, or Spanish origin","23105"
"New Britain","Not of Hispanic, Latino/a, or Spanish origin","24008"
"New Canaan","Another Hispanic, Latino/a, or Spanish origin","116"
"New Canaan","Not of Hispanic, Latino/a, or Spanish origin","1067"
"New Fairfield","Another Hispanic, Latino/a, or Spanish origin","223"
"New Fairfield","Not of Hispanic, Latino/a, or Spanish origin","1704"
"New Hartford","Another Hispanic, Latino/a, or Spanish origin","24"
"New Hartford","Not of Hispanic, Latino/a, or Spanish origin","1113"
"New Haven","Another Hispanic, Latino/a, or Spanish origin","25279"
"New Haven","Not of Hispanic, Latino/a, or Spanish origin","52231"
"New London","Another Hispanic, Latino/a, or Spanish origin","5992"
"New London","Not of Hispanic, Latino/a, or Spanish origin","10623"
"New Milford","Another Hispanic, Latino/a, or Spanish origin","868"
"New Milford","Not of Hispanic, Latino/a, or Spanish origin","5828"
"Newington","Another Hispanic, Latino/a, or Spanish origin","1066"
"Newington","Not of Hispanic, Latino/a, or Spanish origin","5913"
"Newtown","Another Hispanic, Latino/a, or Spanish origin","256"
"Newtown","Not of Hispanic, Latino/a, or Spanish origin","3202"
"Norfolk","Another Hispanic, Latino/a, or Spanish origin","0"
"Norfolk","Not of Hispanic, Latino/a, or Spanish origin","355"
"North Branford","Another Hispanic, Latino/a, or Spanish origin","122"
"North Branford","Not of Hispanic, Latino/a, or Spanish origin","2308"
"North Canaan","Another Hispanic, Latino/a, or Spanish origin","16"
"North Canaan","Not of Hispanic, Latino/a, or Spanish origin","342"
"North Haven","Another Hispanic, Latino/a, or Spanish origin","301"
"North Haven","Not of Hispanic, Latino/a, or Spanish origin","4176"
"North Stonington","Another Hispanic, Latino/a, or Spanish origin","52"
"North Stonington","Not of Hispanic, Latino/a, or Spanish origin","1051"
"Norwalk","Another Hispanic, Latino/a, or Spanish origin","10221"
"Norwalk","Not of Hispanic, Latino/a, or Spanish origin","16116"
"Norwich","Another Hispanic, Latino/a, or Spanish origin","4221"
"Norwich","Not of Hispanic, Latino/a, or Spanish origin","18430"
"Old Lyme","Another Hispanic, Latino/a, or Spanish origin","61"
"Old Lyme","Not of Hispanic, Latino/a, or Spanish origin","1079"
"Old Saybrook","Another Hispanic, Latino/a, or Spanish origin","158"
"Old Saybrook","Not of Hispanic, Latino/a, or Spanish origin","1936"
"Orange","Another Hispanic, Latino/a, or Spanish origin","94"
"Orange","Not of Hispanic, Latino/a, or Spanish origin","1655"
"Out of State","Another Hispanic, Latino/a, or Spanish origin","212"
"Out of State","Not of Hispanic, Latino/a, or Spanish origin","371"
"Oxford","Another Hispanic, Latino/a, or Spanish origin","99"
"Oxford","Not of Hispanic, Latino/a, or Spanish origin","1608"
"Plainfield","Another Hispanic, Latino/a, or Spanish origin","335"
"Plainfield","Not of Hispanic, Latino/a, or Spanish origin","6041"
"Plainville","Another Hispanic, Latino/a, or Spanish origin","555"
"Plainville","Not of Hispanic, Latino/a, or Spanish origin","4541"
"Plymouth","Another Hispanic, Latino/a, or Spanish origin","222"
"Plymouth","Not of Hispanic, Latino/a, or Spanish origin","3456"
"Pomfret","Another Hispanic, Latino/a, or Spanish origin","17"
"Pomfret","Not of Hispanic, Latino/a, or Spanish origin","823"
"Portland","Another Hispanic, Latino/a, or Spanish origin","180"
"Portland","Not of Hispanic, Latino/a, or Spanish origin","1796"
"Preston","Another Hispanic, Latino/a, or Spanish origin","73"
"Preston","Not of Hispanic, Latino/a, or Spanish origin","1054"
"Prospect","Another Hispanic, Latino/a, or Spanish origin","100"
"Prospect","Not of Hispanic, Latino/a, or Spanish origin","1666"
"Putnam","Another Hispanic, Latino/a, or Spanish origin","252"
"Putnam","Not of Hispanic, Latino/a, or Spanish origin","4244"
"Redding","Another Hispanic, Latino/a, or Spanish origin","56"
"Redding","Not of Hispanic, Latino/a, or Spanish origin","695"
"Ridgefield","Another Hispanic, Latino/a, or Spanish origin","216"
"Ridgefield","Not of Hispanic, Latino/a, or Spanish origin","1805"
"Rocky Hill","Another Hispanic, Latino/a, or Spanish origin","465"
"Rocky Hill","Not of Hispanic, Latino/a, or Spanish origin","3234"
"Roxbury","Another Hispanic, Latino/a, or Spanish origin","25"
"Roxbury","Not of Hispanic, Latino/a, or Spanish origin","277"
"Salem","Another Hispanic, Latino/a, or Spanish origin","42"
"Salem","Not of Hispanic, Latino/a, or Spanish origin","761"
"Salisbury","Another Hispanic, Latino/a, or Spanish origin","19"
"Salisbury","Not of Hispanic, Latino/a, or Spanish origin","665"
"Scotland","Another Hispanic, Latino/a, or Spanish origin","14"
"Scotland","Not of Hispanic, Latino/a, or Spanish origin","214"
"Seymour","Another Hispanic, Latino/a, or Spanish origin","534"
"Seymour","Not of Hispanic, Latino/a, or Spanish origin","4062"
"Sharon","Another Hispanic, Latino/a, or Spanish origin","29"
"Sharon","Not of Hispanic, Latino/a, or Spanish origin","685"
"Shelton","Another Hispanic, Latino/a, or Spanish origin","1070"
"Shelton","Not of Hispanic, Latino/a, or Spanish origin","7379"
"Sherman","Another Hispanic, Latino/a, or Spanish origin","27"
"Sherman","Not of Hispanic, Latino/a, or Spanish origin","497"
"Simsbury","Another Hispanic, Latino/a, or Spanish origin","191"
"Simsbury","Not of Hispanic, Latino/a, or Spanish origin","2414"
"Somers","Another Hispanic, Latino/a, or Spanish origin","57"
"Somers","Not of Hispanic, Latino/a, or Spanish origin","1365"
"South Windsor","Another Hispanic, Latino/a, or Spanish origin","312"
"South Windsor","Not of Hispanic, Latino/a, or Spanish origin","3733"
"Southbury","Another Hispanic, Latino/a, or Spanish origin","158"
"Southbury","Not of Hispanic, Latino/a, or Spanish origin","3028"
"Southington","Another Hispanic, Latino/a, or Spanish origin","672"
"Southington","Not of Hispanic, Latino/a, or Spanish origin","7964"
"Sprague","Another Hispanic, Latino/a, or Spanish origin","135"
"Sprague","Not of Hispanic, Latino/a, or Spanish origin","1231"
"Stafford","Another Hispanic, Latino/a, or Spanish origin","167"
"Stafford","Not of Hispanic, Latino/a, or Spanish origin","3239"
"Stamford","Another Hispanic, Latino/a, or Spanish origin","13671"
"Stamford","Not of Hispanic, Latino/a, or Spanish origin","23826"
"Sterling","Another Hispanic, Latino/a, or Spanish origin","30"
"Sterling","Not of Hispanic, Latino/a, or Spanish origin","1190"
"Stonington","Another Hispanic, Latino/a, or Spanish origin","254"
"Stonington","Not of Hispanic, Latino/a, or Spanish origin","5470"
"Stratford","Another Hispanic, Latino/a, or Spanish origin","3922"
"Stratford","Not of Hispanic, Latino/a, or Spanish origin","12263"
"Suffield","Another Hispanic, Latino/a, or Spanish origin","97"
"Suffield","Not of Hispanic, Latino/a, or Spanish origin","1784"
"Thomaston","Another Hispanic, Latino/a, or Spanish origin","103"
"Thomaston","Not of Hispanic, Latino/a, or Spanish origin","1885"
"Thompson","Another Hispanic, Latino/a, or Spanish origin","91"
"Thompson","Not of Hispanic, Latino/a, or Spanish origin","2546"
"Tolland","Another Hispanic, Latino/a, or Spanish origin","88"
"Tolland","Not of Hispanic, Latino/a, or Spanish origin","1788"
"Torrington","Another Hispanic, Latino/a, or Spanish origin","2182"
"Torrington","Not of Hispanic, Latino/a, or Spanish origin","13239"
"Trumbull","Another Hispanic, Latino/a, or Spanish origin","778"
"Trumbull","Not of Hispanic, Latino/a, or Spanish origin","4730"
"Union","Another Hispanic, Latino/a, or Spanish origin","7"
"Union","Not of Hispanic, Latino/a, or Spanish origin","88"
"Vernon","Another Hispanic, Latino/a, or Spanish origin","1267"
"Vernon","Not of Hispanic, Latino/a, or Spanish origin","8830"
"Voluntown","Another Hispanic, Latino/a, or Spanish origin","17"
"Voluntown","Not of Hispanic, Latino/a, or Spanish origin","720"
"Wallingford","Another Hispanic, Latino/a, or Spanish origin","1555"
"Wallingford","Not of Hispanic, Latino/a, or Spanish origin","8548"
"Warren","Another Hispanic, Latino/a, or Spanish origin","7"
"Warren","Not of Hispanic, Latino/a, or Spanish origin","163"
"Washington","Another Hispanic, Latino/a, or Spanish origin","42"
"Washington","Not of Hispanic, Latino/a, or Spanish origin","535"
"Waterbury","Another Hispanic, Latino/a, or Spanish origin","30235"
"Waterbury","Not of Hispanic, Latino/a, or Spanish origin","45012"
"Waterford","Another Hispanic, Latino/a, or Spanish origin","436"
"Waterford","Not of Hispanic, Latino/a, or Spanish origin","4251"
"Watertown","Another Hispanic, Latino/a, or Spanish origin","322"
"Watertown","Not of Hispanic, Latino/a, or Spanish origin","5060"
"West Hartford","Another Hispanic, Latino/a, or Spanish origin","2997"
"West Hartford","Not of Hispanic, Latino/a, or Spanish origin","9885"
"West Haven","Another Hispanic, Latino/a, or Spanish origin","5917"
"West Haven","Not of Hispanic, Latino/a, or Spanish origin","17800"
"Westbrook","Another Hispanic, Latino/a, or Spanish origin","150"
"Westbrook","Not of Hispanic, Latino/a, or Spanish origin","1415"
"Weston","Another Hispanic, Latino/a, or Spanish origin","56"
"Weston","Not of Hispanic, Latino/a, or Spanish origin","535"
"Westport","Another Hispanic, Latino/a, or Spanish origin","195"
"Westport","Not of Hispanic, Latino/a, or Spanish origin","1911"
"Wethersfield","Another Hispanic, Latino/a, or Spanish origin","1179"
"Wethersfield","Not of Hispanic, Latino/a, or Spanish origin","4658"
"Willington","Another Hispanic, Latino/a, or Spanish origin","52"
"Willington","Not of Hispanic, Latino/a, or Spanish origin","1054"
"Wilton","Another Hispanic, Latino/a, or Spanish origin","81"
"Wilton","Not of Hispanic, Latino/a, or Spanish origin","1438"
"Winchester","Another Hispanic, Latino/a, or Spanish origin","329"
"Winchester","Not of Hispanic, Latino/a, or Spanish origin","4173"
"Windham","Another Hispanic, Latino/a, or Spanish origin","6555"
"Windham","Not of Hispanic, Latino/a, or Spanish origin","7557"
"Windsor Locks","Another Hispanic, Latino/a, or Spanish origin","359"
"Windsor Locks","Not of Hispanic, Latino/a, or Spanish origin","3303"
"Windsor","Another Hispanic, Latino/a, or Spanish origin","1168"
"Windsor","Not of Hispanic, Latino/a, or Spanish origin","7084"
"Wolcott","Another Hispanic, Latino/a, or Spanish origin","272"
"Wolcott","Not of Hispanic, Latino/a, or Spanish origin","3416"
"Woodbridge","Another Hispanic, Latino/a, or Spanish origin","85"
"Woodbridge","Not of Hispanic, Latino/a, or Spanish origin","1034"
"Woodbury","Another Hispanic, Latino/a, or Spanish origin","82"
"Woodbury","Not of Hispanic, Latino/a, or Spanish origin","1466"
"Woodstock","Another Hispanic, Latino/a, or Spanish origin","43"
"Woodstock","Not of Hispanic, Latino/a, or Spanish origin","1557"
