"township","age_group","age","count"
"Eastford","3","Ages 5-17","57"
"Eastford","4","Ages 18-64","178"
"Eastford","5","Ages 65 and older","59"
"Easton","1","Under 1 year old","0"
"Easton","2","Ages 1-4","31"
"Easton","3","Ages 5-17","174"
"Easton","4","Ages 18-64","467"
"Easton","5","Ages 65 and older","120"
"Ellington","1","Under 1 year old","50"
"Ellington","2","Ages 1-4","144"
"Ellington","3","Ages 5-17","506"
"Ellington","4","Ages 18-64","1395"
"Ellington","5","Ages 65 and older","403"
"Enfield","1","Under 1 year old","183"
"Enfield","2","Ages 1-4","802"
"Enfield","3","Ages 5-17","2713"
"Enfield","4","Ages 18-64","6328"
"Enfield","5","Ages 65 and older","1678"
"Essex","1","Under 1 year old","15"
"Essex","2","Ages 1-4","45"
"Essex","3","Ages 5-17","146"
"Essex","4","Ages 18-64","573"
"Essex","5","Ages 65 and older","195"
"Fairfield","1","Under 1 year old","78"
"Fairfield","2","Ages 1-4","368"
"Fairfield","3","Ages 5-17","1727"
"Fairfield","4","Ages 18-64","4356"
"Fairfield","5","Ages 65 and older","1618"
"Farmington","1","Under 1 year old","40"
"Farmington","2","Ages 1-4","171"
"Farmington","3","Ages 5-17","772"
"Farmington","4","Ages 18-64","2377"
"Farmington","5","Ages 65 and older","1028"
"Franklin","1","Under 1 year old","8"
"Franklin","2","Ages 1-4","26"
"Franklin","3","Ages 5-17","68"
"Franklin","4","Ages 18-64","203"
"Franklin","5","Ages 65 and older","80"
"Glastonbury","1","Under 1 year old","39"
"Glastonbury","2","Ages 1-4","206"
"Glastonbury","3","Ages 5-17","916"
"Glastonbury","4","Ages 18-64","2490"
"Glastonbury","5","Ages 65 and older","1061"
"Goshen","1","Under 1 year old","0"
"Goshen","2","Ages 1-4","26"
"Goshen","3","Ages 5-17","118"
"Goshen","4","Ages 18-64","275"
"Goshen","5","Ages 65 and older","86"
"Granby","1","Under 1 year old","19"
"Granby","2","Ages 1-4","95"
"Granby","3","Ages 5-17","261"
"Granby","4","Ages 18-64","847"
"Granby","5","Ages 65 and older","282"
"Greenwich","1","Under 1 year old","87"
"Greenwich","2","Ages 1-4","435"
"Greenwich","3","Ages 5-17","1932"
"Greenwich","4","Ages 18-64","4297"
"Greenwich","5","Ages 65 and older","1422"
"Griswold","1","Under 1 year old","69"
"Griswold","2","Ages 1-4","304"
"Griswold","3","Ages 5-17","975"
"Griswold","4","Ages 18-64","2504"
"Griswold","5","Ages 65 and older","488"
"Groton","1","Under 1 year old","165"
"Groton","2","Ages 1-4","774"
"Groton","3","Ages 5-17","2157"
"Groton","4","Ages 18-64","5370"
"Groton","5","Ages 65 and older","1362"
"Guilford","1","Under 1 year old","28"
"Guilford","2","Ages 1-4","125"
"Guilford","3","Ages 5-17","543"
"Guilford","4","Ages 18-64","1702"
"Guilford","5","Ages 65 and older","677"
"Haddam","1","Under 1 year old","18"
"Haddam","2","Ages 1-4","73"
"Haddam","3","Ages 5-17","269"
"Haddam","4","Ages 18-64","726"
"Haddam","5","Ages 65 and older","186"
"Hamden","1","Under 1 year old","268"
"Hamden","2","Ages 1-4","1179"
"Hamden","3","Ages 5-17","3695"
"Hamden","4","Ages 18-64","9812"
"Hamden","5","Ages 65 and older","3085"
"Hampton","1","Under 1 year old","8"
"Hampton","2","Ages 1-4","28"
"Hampton","3","Ages 5-17","102"
"Hampton","4","Ages 18-64","342"
"Hampton","5","Ages 65 and older","71"
"Hartford","1","Under 1 year old","1817"
"Hartford","2","Ages 1-4","7246"
"Hartford","3","Ages 5-17","21723"
"Hartford","4","Ages 18-64","53494"
"Hartford","5","Ages 65 and older","9507"
"Hartland","1","Under 1 year old","0"
"Hartland","2","Ages 1-4","18"
"Hartland","3","Ages 5-17","97"
"Hartland","4","Ages 18-64","182"
"Hartland","5","Ages 65 and older","46"
"Harwinton","1","Under 1 year old","10"
"Harwinton","2","Ages 1-4","49"
"Harwinton","3","Ages 5-17","209"
"Harwinton","4","Ages 18-64","466"
"Harwinton","5","Ages 65 and older","175"
"Hebron","1","Under 1 year old","30"
"Hebron","2","Ages 1-4","74"
"Hebron","3","Ages 5-17","248"
"Hebron","4","Ages 18-64","776"
"Hebron","5","Ages 65 and older","177"
"Kent","1","Under 1 year old","0"
"Kent","2","Ages 1-4","32"
"Kent","3","Ages 5-17","133"
"Kent","4","Ages 18-64","345"
"Kent","5","Ages 65 and older","136"
"Killingly","1","Under 1 year old","127"
"Killingly","2","Ages 1-4","552"
"Killingly","3","Ages 5-17","1596"
"Killingly","4","Ages 18-64","4181"
"Killingly","5","Ages 65 and older","1264"
"Killingworth","1","Under 1 year old","5"
"Killingworth","2","Ages 1-4","42"
"Killingworth","3","Ages 5-17","116"
"Killingworth","4","Ages 18-64","434"
"Killingworth","5","Ages 65 and older","200"
"Lebanon","1","Under 1 year old","17"
"Lebanon","2","Ages 1-4","93"
"Lebanon","3","Ages 5-17","362"
"Lebanon","4","Ages 18-64","1443"
"Lebanon","5","Ages 65 and older","196"
"Ledyard","1","Under 1 year old","63"
"Ledyard","2","Ages 1-4","218"
"Ledyard","3","Ages 5-17","746"
"Ledyard","4","Ages 18-64","1787"
"Ledyard","5","Ages 65 and older","310"
"Lisbon","1","Under 1 year old","27"
"Lisbon","2","Ages 1-4","62"
"Lisbon","3","Ages 5-17","221"
"Lisbon","4","Ages 18-64","592"
"Lisbon","5","Ages 65 and older","152"
"Litchfield","1","Under 1 year old","19"
"Litchfield","2","Ages 1-4","85"
"Litchfield","3","Ages 5-17","321"
"Litchfield","4","Ages 18-64","868"
"Litchfield","5","Ages 65 and older","414"
"Lyme","1","Under 1 year old","0"
"Lyme","2","Ages 1-4","12"
"Lyme","3","Ages 5-17","56"
"Lyme","4","Ages 18-64","192"
"Lyme","5","Ages 65 and older","49"
"Madison","1","Under 1 year old","15"
"Madison","2","Ages 1-4","61"
"Madison","3","Ages 5-17","361"
"Madison","4","Ages 18-64","1166"
"Madison","5","Ages 65 and older","491"
"Manchester","1","Under 1 year old","385"
"Manchester","2","Ages 1-4","1820"
"Manchester","3","Ages 5-17","5462"
"Manchester","4","Ages 18-64","13475"
"Manchester","5","Ages 65 and older","2708"
"Mansfield","1","Under 1 year old","40"
"Mansfield","2","Ages 1-4","164"
"Mansfield","3","Ages 5-17","476"
"Mansfield","4","Ages 18-64","1356"
"Mansfield","5","Ages 65 and older","438"
"Marlborough","1","Under 1 year old","14"
"Marlborough","2","Ages 1-4","48"
"Marlborough","3","Ages 5-17","161"
"Marlborough","4","Ages 18-64","512"
"Marlborough","5","Ages 65 and older","230"
"Meriden","1","Under 1 year old","575"
"Meriden","2","Ages 1-4","2331"
"Meriden","3","Ages 5-17","7528"
"Meriden","4","Ages 18-64","17236"
"Meriden","5","Ages 65 and older","3655"
"Middlebury","1","Under 1 year old","19"
"Middlebury","2","Ages 1-4","45"
"Middlebury","3","Ages 5-17","221"
"Middlebury","4","Ages 18-64","584"
"Middlebury","5","Ages 65 and older","307"
"Middlefield","1","Under 1 year old","12"
"Middlefield","2","Ages 1-4","44"
"Middlefield","3","Ages 5-17","146"
"Middlefield","4","Ages 18-64","447"
"Middlefield","5","Ages 65 and older","121"
"Middletown","1","Under 1 year old","280"
"Middletown","2","Ages 1-4","1039"
"Middletown","3","Ages 5-17","3189"
"Middletown","4","Ages 18-64","10309"
"Middletown","5","Ages 65 and older","2437"
"Milford","1","Under 1 year old","145"
"Milford","2","Ages 1-4","511"
"Milford","3","Ages 5-17","1982"
"Milford","4","Ages 18-64","6301"
"Milford","5","Ages 65 and older","2120"
"Monroe","1","Under 1 year old","37"
"Monroe","2","Ages 1-4","140"
"Monroe","3","Ages 5-17","551"
"Monroe","4","Ages 18-64","1570"
"Monroe","5","Ages 65 and older","486"
"Montville","1","Under 1 year old","102"
"Montville","2","Ages 1-4","376"
"Montville","3","Ages 5-17","1218"
"Montville","4","Ages 18-64","3094"
"Montville","5","Ages 65 and older","699"
"Morris","1","Under 1 year old","10"
"Morris","2","Ages 1-4","42"
"Morris","3","Ages 5-17","116"
"Morris","4","Ages 18-64","321"
"Morris","5","Ages 65 and older","82"
"Naugatuck","1","Under 1 year old","203"
"Naugatuck","2","Ages 1-4","946"
"Naugatuck","3","Ages 5-17","2974"
"Naugatuck","4","Ages 18-64","6606"
"Naugatuck","5","Ages 65 and older","1632"
"New Britain","1","Under 1 year old","965"
"New Britain","2","Ages 1-4","3858"
"New Britain","3","Ages 5-17","11428"
"New Britain","4","Ages 18-64","27493"
"New Britain","5","Ages 65 and older","5381"
"New Canaan","1","Under 1 year old","19"
"New Canaan","2","Ages 1-4","75"
"New Canaan","3","Ages 5-17","358"
"New Canaan","4","Ages 18-64","819"
"New Canaan","5","Ages 65 and older","236"
"New Fairfield","1","Under 1 year old","37"
"New Fairfield","2","Ages 1-4","105"
"New Fairfield","3","Ages 5-17","485"
"New Fairfield","4","Ages 18-64","1130"
"New Fairfield","5","Ages 65 and older","264"
"New Hartford","1","Under 1 year old","11"
"New Hartford","2","Ages 1-4","60"
"New Hartford","3","Ages 5-17","230"
"New Hartford","4","Ages 18-64","671"
"New Hartford","5","Ages 65 and older","163"
"New Haven","1","Under 1 year old","1452"
"New Haven","2","Ages 1-4","5910"
"New Haven","3","Ages 5-17","18759"
"New Haven","4","Ages 18-64","44477"
"New Haven","5","Ages 65 and older","7255"
"New London","1","Under 1 year old","294"
"New London","2","Ages 1-4","1220"
"New London","3","Ages 5-17","3689"
"New London","4","Ages 18-64","9962"
"New London","5","Ages 65 and older","1559"
"New Milford","1","Under 1 year old","121"
"New Milford","2","Ages 1-4","505"
"New Milford","3","Ages 5-17","1573"
"New Milford","4","Ages 18-64","3695"
"New Milford","5","Ages 65 and older","1111"
"Newington","1","Under 1 year old","90"
"Newington","2","Ages 1-4","398"
"Newington","3","Ages 5-17","1396"
"Newington","4","Ages 18-64","3855"
"Newington","5","Ages 65 and older","1742"
"Newtown","1","Under 1 year old","38"
"Newtown","2","Ages 1-4","157"
"Newtown","3","Ages 5-17","760"
"Newtown","4","Ages 18-64","2067"
"Newtown","5","Ages 65 and older","655"
"Norfolk","1","Under 1 year old","0"
"Norfolk","2","Ages 1-4","14"
"Norfolk","3","Ages 5-17","79"
"Norfolk","4","Ages 18-64","186"
"Norfolk","5","Ages 65 and older","75"
"North Branford","1","Under 1 year old","34"
"North Branford","2","Ages 1-4","111"
"North Branford","3","Ages 5-17","456"
"North Branford","4","Ages 18-64","1335"
"North Branford","5","Ages 65 and older","496"
"North Canaan","1","Under 1 year old","0"
"North Canaan","2","Ages 1-4","13"
"North Canaan","3","Ages 5-17","42"
"North Canaan","4","Ages 18-64","106"
"North Canaan","5","Ages 65 and older","37"
"North Haven","1","Under 1 year old","53"
"North Haven","2","Ages 1-4","227"
"North Haven","3","Ages 5-17","823"
"North Haven","4","Ages 18-64","2685"
"North Haven","5","Ages 65 and older","1117"
"North Stonington","1","Under 1 year old","10"
"North Stonington","2","Ages 1-4","60"
"North Stonington","3","Ages 5-17","232"
"North Stonington","4","Ages 18-64","614"
"North Stonington","5","Ages 65 and older","158"
"Norwalk","1","Under 1 year old","617"
"Norwalk","2","Ages 1-4","2378"
"Norwalk","3","Ages 5-17","7356"
"Norwalk","4","Ages 18-64","13901"
"Norwalk","5","Ages 65 and older","3614"
"Norwich","1","Under 1 year old","375"
"Norwich","2","Ages 1-4","1645"
"Norwich","3","Ages 5-17","5005"
"Norwich","4","Ages 18-64","12981"
"Norwich","5","Ages 65 and older","2434"
"Old Lyme","1","Under 1 year old","11"
"Old Lyme","2","Ages 1-4","56"
"Old Lyme","3","Ages 5-17","234"
"Old Lyme","4","Ages 18-64","713"
"Old Lyme","5","Ages 65 and older","215"
"Old Saybrook","1","Under 1 year old","10"
"Old Saybrook","2","Ages 1-4","65"
"Old Saybrook","3","Ages 5-17","401"
"Old Saybrook","4","Ages 18-64","1028"
"Old Saybrook","5","Ages 65 and older","532"
"Orange","1","Under 1 year old","24"
"Orange","2","Ages 1-4","85"
"Orange","3","Ages 5-17","380"
"Orange","4","Ages 18-64","1043"
"Orange","5","Ages 65 and older","462"
"Out of State","1","Under 1 year old","104"
"Out of State","2","Ages 1-4","589"
"Out of State","3","Ages 5-17","1365"
"Out of State","4","Ages 18-64","3573"
"Out of State","5","Ages 65 and older","635"
"Oxford","1","Under 1 year old","24"
"Oxford","2","Ages 1-4","88"
"Oxford","3","Ages 5-17","363"
"Oxford","4","Ages 18-64","1057"
"Oxford","5","Ages 65 and older","322"
