"town","age_group","at_least_one_census_tract","population","initiated_vaccination","initiated_vaccination_percent","fully_vaccinated","fully_vaccinated_percent","additional_dose_1_received","additional_dose_1_received_percent","dateupdated"
"Bethel","5-11","No","1695","910","53.69","851","50.21","110","6.49","2022-09-07T00:00:00.000"
"Bethel","65+","No","2874","3265","100","3076","100","2459","85.56","2022-09-07T00:00:00.000"
"Bethlehem","0-4","No","120","6","5",,,,,"2022-09-07T00:00:00.000"
"Bethlehem","12-17","No","265","129","48.68","125","47.17","56","21.13","2022-09-07T00:00:00.000"
"Bethlehem","18-24","No","285","153","53.68","130","45.61","64","22.46","2022-09-07T00:00:00.000"
"Bethlehem","25-44","No","575","462","80.35","434","75.48","213","37.04","2022-09-07T00:00:00.000"
"Bethlehem","45-64","No","1390","839","60.36","795","57.19","494","35.54","2022-09-07T00:00:00.000"
"Bethlehem","5-11","No","220","72","32.73","69","31.36","15","6.82","2022-09-07T00:00:00.000"
"Bethlehem","65+","No","646","783","100","749","100","584","90.4","2022-09-07T00:00:00.000"
"Bloomfield","0-4","No","846","51","6.03","6","0.71",,,"2022-09-07T00:00:00.000"
"Bloomfield","12-17","No","1318","946","71.78","896","67.98","331","25.11","2022-09-07T00:00:00.000"
"Bloomfield","18-24","No","1665","1329","79.82","1183","71.05","540","32.43","2022-09-07T00:00:00.000"
"Bloomfield","25-44","No","4182","4077","97.49","3744","89.53","1857","44.4","2022-09-07T00:00:00.000"
"Bloomfield","45-64","No","6268","5377","85.78","5033","80.3","3400","54.24","2022-09-07T00:00:00.000"
"Bloomfield","5-11","No","1341","594","44.3","531","39.6","73","5.44","2022-09-07T00:00:00.000"
"Bloomfield","65+","No","5199","5837","100","5462","100","4388","84.4","2022-09-07T00:00:00.000"
"Bolton","0-4","No","229","26","11.35","6","2.62",,,"2022-09-07T00:00:00.000"
"Bolton","12-17","No","406","304","74.88","294","72.41","177","43.6","2022-09-07T00:00:00.000"
"Bolton","18-24","No","424","328","77.36","309","72.88","176","41.51","2022-09-07T00:00:00.000"
"Bolton","25-44","No","953","834","87.51","777","81.53","453","47.53","2022-09-07T00:00:00.000"
"Bolton","45-64","No","1723","1311","76.09","1265","73.42","938","54.44","2022-09-07T00:00:00.000"
"Bolton","5-11","No","367","197","53.68","184","50.14","33","8.99","2022-09-07T00:00:00.000"
"Bolton","65+","No","850","1011","100","973","100","836","98.35","2022-09-07T00:00:00.000"
"Bozrah","0-4","No","128",,,,,,,"2022-09-07T00:00:00.000"
"Bozrah","12-17","No","190","115","60.53","113","59.47","36","18.95","2022-09-07T00:00:00.000"
"Bozrah","18-24","No","224","123","54.91","110","49.11","52","23.21","2022-09-07T00:00:00.000"
"Bozrah","25-44","No","556","370","66.55","342","61.51","189","33.99","2022-09-07T00:00:00.000"
"Bozrah","45-64","No","902","661","73.28","633","70.18","451","50","2022-09-07T00:00:00.000"
"Bozrah","5-11","No","195","56","28.72","52","26.67","5","2.56","2022-09-07T00:00:00.000"
"Bozrah","65+","No","427","547","100","528","100","428","100","2022-09-07T00:00:00.000"
"Branford","0-4","No","1145","119","10.39","48","4.19",,,"2022-09-07T00:00:00.000"
"Branford","12-17","No","1685","1247","74.01","1172","69.55","588","34.9","2022-09-07T00:00:00.000"
"Branford","18-24","No","1821","1703","93.52","1523","83.64","788","43.27","2022-09-07T00:00:00.000"
"Branford","25-44","No","6435","5426","84.32","4984","77.45","2892","44.94","2022-09-07T00:00:00.000"
"Branford","45-64","No","9359","7409","79.16","7076","75.61","5279","56.41","2022-09-07T00:00:00.000"
"Branford","5-11","No","1701","845","49.68","766","45.03","113","6.64","2022-09-07T00:00:00.000"
"Branford","65+","No","6079","6795","100","6427","100","5365","88.25","2022-09-07T00:00:00.000"
"Bridgeport","0-4","Yes","10243","129","1.26","12","0.12",,,"2022-09-07T00:00:00.000"
"Bridgeport","12-17","Yes","12113","8658","71.48","7535","62.21","1654","13.65","2022-09-07T00:00:00.000"
"Bridgeport","18-24","Yes","17713","11309","63.85","9557","53.95","2721","15.36","2022-09-07T00:00:00.000"
"Bridgeport","25-44","Yes","43540","35378","81.25","30993","71.18","10286","23.62","2022-09-07T00:00:00.000"
"Bridgeport","45-64","Yes","34783","32164","92.47","29531","84.9","15324","44.06","2022-09-07T00:00:00.000"
"Bridgeport","5-11","Yes","14057","4373","31.11","3598","25.6","197","1.4","2022-09-07T00:00:00.000"
"Bridgeport","65+","Yes","15163","15921","100","14817","97.72","9982","65.83","2022-09-07T00:00:00.000"
"Bridgewater","0-4","No","49","9","18.37",,,,,"2022-09-07T00:00:00.000"
"Bridgewater","12-17","No","109","83","76.15","77","70.64","39","35.78","2022-09-07T00:00:00.000"
"Bridgewater","18-24","No","85","104","100","87","100","39","45.88","2022-09-07T00:00:00.000"
"Bridgewater","25-44","No","229","203","88.65","190","82.97","101","44.1","2022-09-07T00:00:00.000"
"Bridgewater","45-64","No","635","485","76.38","461","72.6","322","50.71","2022-09-07T00:00:00.000"
"Bridgewater","5-11","No","94","37","39.36","33","35.11",,,"2022-09-07T00:00:00.000"
"Bridgewater","65+","No","474","486","100","455","95.99","363","76.58","2022-09-07T00:00:00.000"
"Bristol","0-4","Yes","3318","141","4.25","32","0.96",,,"2022-09-07T00:00:00.000"
"Bristol","12-17","Yes","4255","3095","72.74","2889","67.9","990","23.27","2022-09-07T00:00:00.000"
"Bristol","18-24","Yes","4765","3907","81.99","3550","74.5","1547","32.47","2022-09-07T00:00:00.000"
"Bristol","25-44","Yes","16235","12894","79.42","11987","73.83","5923","36.48","2022-09-07T00:00:00.000"
"Bristol","45-64","Yes","17083","14809","86.69","14203","83.14","9382","54.92","2022-09-07T00:00:00.000"
"Bristol","5-11","Yes","4954","1742","35.16","1551","31.31","134","2.7","2022-09-07T00:00:00.000"
"Bristol","65+","Yes","9960","10523","100","10048","100","7760","77.91","2022-09-07T00:00:00.000"
"Brookfield","0-4","No","710","54","7.61","8","1.13",,,"2022-09-07T00:00:00.000"
"Brookfield","12-17","No","1565","1239","79.17","1185","75.72","511","32.65","2022-09-07T00:00:00.000"
"Brookfield","18-24","No","1434","1341","93.51","1189","82.91","574","40.03","2022-09-07T00:00:00.000"
"Brookfield","25-44","No","3384","3188","94.21","2901","85.73","1503","44.41","2022-09-07T00:00:00.000"
"Brookfield","45-64","No","5665","4807","84.85","4541","80.16","3117","55.02","2022-09-07T00:00:00.000"
"Brookfield","5-11","No","1551","726","46.81","660","42.55","77","4.96","2022-09-07T00:00:00.000"
"Brookfield","65+","No","2746","3229","100","3053","100","2426","88.35","2022-09-07T00:00:00.000"
"Brooklyn","0-4","No","381","19","4.99",,,,,"2022-09-07T00:00:00.000"
"Brooklyn","12-17","No","587","393","66.95","370","63.03","144","24.53","2022-09-07T00:00:00.000"
"Brooklyn","18-24","No","616","481","78.08","440","71.43","194","31.49","2022-09-07T00:00:00.000"
"Brooklyn","25-44","No","2237","1376","61.51","1265","56.55","624","27.89","2022-09-07T00:00:00.000"
"Brooklyn","45-64","No","2471","1917","77.58","1806","73.09","1168","47.27","2022-09-07T00:00:00.000"
"Brooklyn","5-11","No","652","227","34.82","200","30.67","19","2.91","2022-09-07T00:00:00.000"
"Brooklyn","65+","No","1310","1460","100","1351","100","1098","83.82","2022-09-07T00:00:00.000"
"Burlington","0-4","No","430","43","10","7","1.63",,,"2022-09-07T00:00:00.000"
"Burlington","12-17","No","905","671","74.14","660","72.93","347","38.34","2022-09-07T00:00:00.000"
"Burlington","18-24","No","688","726","100","673","97.82","412","59.88","2022-09-07T00:00:00.000"
"Burlington","25-44","No","1997","1666","83.43","1576","78.92","940","47.07","2022-09-07T00:00:00.000"
"Burlington","45-64","No","3389","2765","81.59","2696","79.55","2002","59.07","2022-09-07T00:00:00.000"
"Burlington","5-11","No","933","406","43.52","377","40.41","49","5.25","2022-09-07T00:00:00.000"
"Burlington","65+","No","1234","1599","100","1544","100","1275","100","2022-09-07T00:00:00.000"
"Canaan","0-4","No","29","6","20.69",,,,,"2022-09-07T00:00:00.000"
"Canaan","12-17","No","74","93","100","86","100","42","56.76","2022-09-07T00:00:00.000"
"Canaan","18-24","No","80","93","100","80","100","41","51.25","2022-09-07T00:00:00.000"
"Canaan","25-44","No","237","288","100","249","100","131","55.27","2022-09-07T00:00:00.000"
"Canaan","45-64","No","379","406","100","380","100","280","73.88","2022-09-07T00:00:00.000"
"Canaan","5-11","No","75","67","89.33","63","84","10","13.33","2022-09-07T00:00:00.000"
"Canaan","65+","No","321","399","100","374","100","283","88.16","2022-09-07T00:00:00.000"
"Canterbury","0-4","No","246","9","3.66",,,,,"2022-09-07T00:00:00.000"
"Canterbury","12-17","No","410","190","46.34","183","44.63","57","13.9","2022-09-07T00:00:00.000"
"Canterbury","18-24","No","397","286","72.04","264","66.5","120","30.23","2022-09-07T00:00:00.000"
"Canterbury","25-44","No","1153","812","70.42","757","65.65","360","31.22","2022-09-07T00:00:00.000"
"Canterbury","45-64","No","1764","1271","72.05","1210","68.59","789","44.73","2022-09-07T00:00:00.000"
"Canterbury","5-11","No","384","136","35.42","120","31.25","11","2.86","2022-09-07T00:00:00.000"
"Canterbury","65+","No","734","908","100","874","100","665","90.6","2022-09-07T00:00:00.000"
"Canton","0-4","No","501","79","15.77","32","6.39",,,"2022-09-07T00:00:00.000"
"Canton","12-17","No","831","678","81.59","658","79.18","346","41.64","2022-09-07T00:00:00.000"
"Canton","18-24","No","700","654","93.43","574","82","326","46.57","2022-09-07T00:00:00.000"
"Canton","25-44","No","2138","1740","81.38","1615","75.54","990","46.3","2022-09-07T00:00:00.000"
"Canton","45-64","No","3472","2753","79.29","2622","75.52","2013","57.98","2022-09-07T00:00:00.000"
"Canton","5-11","No","859","508","59.14","484","56.34","69","8.03","2022-09-07T00:00:00.000"
"Canton","65+","No","1844","2071","100","1990","100","1677","90.94","2022-09-07T00:00:00.000"
"Chaplin","0-4","No","91","9","9.89",,,,,"2022-09-07T00:00:00.000"
"Chaplin","12-17","No","135","106","78.52","99","73.33","41","30.37","2022-09-07T00:00:00.000"
"Chaplin","18-24","No","182","114","62.64","102","56.04","38","20.88","2022-09-07T00:00:00.000"
"Chaplin","25-44","No","524","359","68.51","331","63.17","171","32.63","2022-09-07T00:00:00.000"
"Chaplin","45-64","No","825","577","69.94","543","65.82","367","44.48","2022-09-07T00:00:00.000"
"Chaplin","5-11","No","176","72","40.91","62","35.23","7","3.98","2022-09-07T00:00:00.000"
"Chaplin","65+","No","329","377","100","366","100","305","92.71","2022-09-07T00:00:00.000"
"Cheshire","0-4","No","1156","250","21.63","87","7.53",,,"2022-09-07T00:00:00.000"
"Cheshire","12-17","No","2830","2192","77.46","2090","73.85","1231","43.5","2022-09-07T00:00:00.000"
"Cheshire","18-24","No","2585","2593","100","2357","91.18","1395","53.97","2022-09-07T00:00:00.000"
"Cheshire","25-44","No","6237","5433","87.11","5090","81.61","3292","52.78","2022-09-07T00:00:00.000"
"Cheshire","45-64","No","9264","7907","85.35","7572","81.74","5802","62.63","2022-09-07T00:00:00.000"
"Cheshire","5-11","No","2435","1497","61.48","1411","57.95","376","15.44","2022-09-07T00:00:00.000"
"Cheshire","65+","No","4743","5611","100","5320","100","4519","95.28","2022-09-07T00:00:00.000"
"Chester","0-4","No","157","19","12.1","6","3.82",,,"2022-09-07T00:00:00.000"
"Chester","12-17","No","304","200","65.79","193","63.49","103","33.88","2022-09-07T00:00:00.000"
"Chester","18-24","No","291","240","82.47","211","72.51","111","38.14","2022-09-07T00:00:00.000"
"Chester","25-44","No","732","668","91.26","615","84.02","380","51.91","2022-09-07T00:00:00.000"
"Chester","45-64","No","1555","1105","71.06","1067","68.62","823","52.93","2022-09-07T00:00:00.000"
"Chester","5-11","No","262","140","53.44","130","49.62","22","8.4","2022-09-07T00:00:00.000"
"Chester","65+","No","1015","1037","100","985","97.04","825","81.28","2022-09-07T00:00:00.000"
"Clinton","0-4","No","574","52","9.06","21","3.66",,,"2022-09-07T00:00:00.000"
"Clinton","12-17","No","952","853","89.6","804","84.45","378","39.71","2022-09-07T00:00:00.000"
"Clinton","18-24","No","942","974","100","874","92.78","466","49.47","2022-09-07T00:00:00.000"
"Clinton","25-44","No","2863","2530","88.37","2314","80.82","1312","45.83","2022-09-07T00:00:00.000"
"Clinton","45-64","No","4373","3724","85.16","3570","81.64","2618","59.87","2022-09-07T00:00:00.000"
"Clinton","5-11","No","1034","457","44.2","420","40.62","62","6","2022-09-07T00:00:00.000"
"Clinton","65+","No","2391","2919","100","2772","100","2330","97.45","2022-09-07T00:00:00.000"
"Colchester","0-4","No","827","103","12.45","28","3.39",,,"2022-09-07T00:00:00.000"
"Colchester","12-17","No","1499","985","65.71","959","63.98","477","31.82","2022-09-07T00:00:00.000"
"Colchester","18-24","No","1435","1198","83.48","1089","75.89","559","38.95","2022-09-07T00:00:00.000"
"Colchester","25-44","No","3722","3096","83.18","2894","77.75","1700","45.67","2022-09-07T00:00:00.000"
"Colchester","45-64","No","5117","4323","84.48","4193","81.94","3079","60.17","2022-09-07T00:00:00.000"
"Colchester","5-11","No","1448","657","45.37","615","42.47","131","9.05","2022-09-07T00:00:00.000"
"Colchester","65+","No","2144","2560","100","2431","100","2027","94.54","2022-09-07T00:00:00.000"
"Colebrook","0-4","No","42",,,,,,,"2022-09-07T00:00:00.000"
"Colebrook","12-17","No","122","72","59.02","71","58.2","34","27.87","2022-09-07T00:00:00.000"
"Colebrook","18-24","No","109","104","95.41","87","79.82","36","33.03","2022-09-07T00:00:00.000"
"Colebrook","25-44","No","263","200","76.05","182","69.2","89","33.84","2022-09-07T00:00:00.000"
"Colebrook","45-64","No","555","391","70.45","372","67.03","261","47.03","2022-09-07T00:00:00.000"
"Colebrook","5-11","No","93","51","54.84","48","51.61","7","7.53","2022-09-07T00:00:00.000"
"Colebrook","65+","No","261","321","100","307","100","263","100","2022-09-07T00:00:00.000"
"Columbia","0-4","No","200","26","13","6","3",,,"2022-09-07T00:00:00.000"
"Columbia","12-17","No","438","261","59.59","254","57.99","105","23.97","2022-09-07T00:00:00.000"
"Columbia","18-24","No","432","320","74.07","302","69.91","161","37.27","2022-09-07T00:00:00.000"
"Columbia","25-44","No","1082","859","79.39","794","73.38","453","41.87","2022-09-07T00:00:00.000"
"Columbia","45-64","No","1863","1431","76.81","1389","74.56","997","53.52","2022-09-07T00:00:00.000"
"Columbia","5-11","No","421","186","44.18","170","40.38","32","7.6","2022-09-07T00:00:00.000"
"Columbia","65+","No","1018","1129","100","1085","100","915","89.88","2022-09-07T00:00:00.000"
"Cornwall","0-4","No","19","11","57.89",,,,,"2022-09-07T00:00:00.000"
"Cornwall","12-17","No","104","69","66.35","66","63.46","33","31.73","2022-09-07T00:00:00.000"
"Cornwall","18-24","No","89","68","76.4","56","62.92","24","26.97","2022-09-07T00:00:00.000"
"Cornwall","25-44","No","182","198","100","174","95.6","90","49.45","2022-09-07T00:00:00.000"
"Cornwall","45-64","No","553","440","79.57","410","74.14","282","50.99","2022-09-07T00:00:00.000"
"Cornwall","5-11","No","91","46","50.55","44","48.35","9","9.89","2022-09-07T00:00:00.000"
"Cornwall","65+","No","360","470","100","428","100","349","96.94","2022-09-07T00:00:00.000"
"Coventry","0-4","No","591","59","9.98","10","1.69",,,"2022-09-07T00:00:00.000"
"Coventry","12-17","No","1024","683","66.7","663","64.75","318","31.05","2022-09-07T00:00:00.000"
"Coventry","18-24","No","1136","774","68.13","719","63.29","369","32.48","2022-09-07T00:00:00.000"
"Coventry","25-44","No","2802","2297","81.98","2164","77.23","1185","42.29","2022-09-07T00:00:00.000"
"Coventry","45-64","No","4160","3389","81.47","3253","78.2","2290","55.05","2022-09-07T00:00:00.000"
"Coventry","5-11","No","1032","486","47.09","461","44.67","61","5.91","2022-09-07T00:00:00.000"
"Coventry","65+","No","1674","2055","100","1993","100","1661","99.22","2022-09-07T00:00:00.000"
"Cromwell","0-4","No","685","68","9.93","12","1.75",,,"2022-09-07T00:00:00.000"
"Cromwell","12-17","No","989","852","86.15","817","82.61","417","42.16","2022-09-07T00:00:00.000"
"Cromwell","18-24","No","926","907","97.95","842","90.93","459","49.57","2022-09-07T00:00:00.000"
"Cromwell","25-44","No","3607","3072","85.17","2913","80.76","1721","47.71","2022-09-07T00:00:00.000"
"Cromwell","45-64","No","4301","3758","87.38","3619","84.14","2586","60.13","2022-09-07T00:00:00.000"
"Cromwell","5-11","No","1106","620","56.06","591","53.44","132","11.93","2022-09-07T00:00:00.000"
"Cromwell","65+","No","2499","2994","100","2857","100","2289","91.6","2022-09-07T00:00:00.000"
"Danbury","0-4","Yes","5410","184","3.4","20","0.37",,,"2022-09-07T00:00:00.000"
"Danbury","12-17","Yes","6144","5798","94.37","5182","84.34","1464","23.83","2022-09-07T00:00:00.000"
"Danbury","18-24","Yes","8871","7040","79.36","6030","67.97","1961","22.11","2022-09-07T00:00:00.000"
"Danbury","25-44","Yes","24874","23510","94.52","20498","82.41","7134","28.68","2022-09-07T00:00:00.000"
"Danbury","45-64","Yes","22092","21558","97.58","19822","89.72","11004","49.81","2022-09-07T00:00:00.000"
"Danbury","5-11","Yes","6570","3330","50.68","2823","42.97","192","2.92","2022-09-07T00:00:00.000"
"Danbury","65+","Yes","9823","12349","100","11391","100","8261","84.1","2022-09-07T00:00:00.000"
"Darien","0-4","No","1380","291","21.09","50","3.62",,,"2022-09-07T00:00:00.000"
"Darien","12-17","No","2583","2839","100","2689","100","1539","59.58","2022-09-07T00:00:00.000"
"Darien","18-24","No","1423","2156","100","1679","100","924","64.93","2022-09-07T00:00:00.000"
"Darien","25-44","No","4265","4192","98.29","3647","85.51","2393","56.11","2022-09-07T00:00:00.000"
"Darien","45-64","No","6257","6364","100","5977","95.53","4563","72.93","2022-09-07T00:00:00.000"
"Darien","5-11","No","3176","2201","69.3","2007","63.19","250","7.87","2022-09-07T00:00:00.000"
"Darien","65+","No","2605","3031","100","2719","100","2074","79.62","2022-09-07T00:00:00.000"
"Deep River","0-4","No","169","18","10.65","8","4.73",,,"2022-09-07T00:00:00.000"
"Deep River","12-17","No","363","267","73.55","258","71.07","126","34.71","2022-09-07T00:00:00.000"
"Deep River","18-24","No","333","305","91.59","276","82.88","134","40.24","2022-09-07T00:00:00.000"
"Deep River","25-44","No","1052","825","78.42","770","73.19","455","43.25","2022-09-07T00:00:00.000"
"Deep River","45-64","No","1439","1300","90.34","1249","86.8","969","67.34","2022-09-07T00:00:00.000"
"Deep River","5-11","No","367","149","40.6","139","37.87","19","5.18","2022-09-07T00:00:00.000"
"Deep River","65+","No","848","1013","100","956","100","824","97.17","2022-09-07T00:00:00.000"
"Derby","0-4","Yes","712","11","1.54",,,,,"2022-09-07T00:00:00.000"
"Derby","12-17","Yes","854","1101","100","891","100","325","38.06","2022-09-07T00:00:00.000"
"Derby","18-24","Yes","1124","1174","100","947","84.25","429","38.17","2022-09-07T00:00:00.000"
"Derby","25-44","Yes","3490","3792","100","3251","93.15","1400","40.11","2022-09-07T00:00:00.000"
"Derby","45-64","Yes","3559","3969","100","3593","100","2264","63.61","2022-09-07T00:00:00.000"
"Derby","5-11","Yes","977","766","78.4","615","62.95","28","2.87","2022-09-07T00:00:00.000"
"Derby","65+","Yes","2052","2118","100","1961","95.57","1518","73.98","2022-09-07T00:00:00.000"
"Durham","0-4","No","316","30","9.49","10","3.16",,,"2022-09-07T00:00:00.000"
"Durham","12-17","No","711","432","60.76","409","57.52","217","30.52","2022-09-07T00:00:00.000"
"Durham","18-24","No","600","557","92.83","500","83.33","288","48","2022-09-07T00:00:00.000"
"Durham","25-44","No","1498","1227","81.91","1165","77.77","713","47.6","2022-09-07T00:00:00.000"
"Durham","45-64","No","2482","2057","82.88","1998","80.5","1478","59.55","2022-09-07T00:00:00.000"
"Durham","5-11","No","642","253","39.41","245","38.16","33","5.14","2022-09-07T00:00:00.000"
"Durham","65+","No","1099","1345","100","1310","100","1116","100","2022-09-07T00:00:00.000"
"Eastford","0-4","No","101",,,,,,,"2022-09-07T00:00:00.000"
"Eastford","12-17","No","106","72","67.92","70","66.04","25","23.58","2022-09-07T00:00:00.000"
"Eastford","18-24","No","131","67","51.15","58","44.27","25","19.08","2022-09-07T00:00:00.000"
"Eastford","25-44","No","335","256","76.42","234","69.85","108","32.24","2022-09-07T00:00:00.000"
"Eastford","45-64","No","654","409","62.54","399","61.01","264","40.37","2022-09-07T00:00:00.000"
"Eastford","5-11","No","125","30","24","26","20.8","5","4","2022-09-07T00:00:00.000"
"Eastford","65+","No","282","330","100","314","100","248","87.94","2022-09-07T00:00:00.000"
"East Granby","0-4","No","292","34","11.64","6","2.05",,,"2022-09-07T00:00:00.000"
"East Granby","12-17","No","418","320","76.56","312","74.64","154","36.84","2022-09-07T00:00:00.000"
"East Granby","18-24","No","363","352","96.97","316","87.05","172","47.38","2022-09-07T00:00:00.000"
"East Granby","25-44","No","1196","1001","83.7","928","77.59","498","41.64","2022-09-07T00:00:00.000"
"East Granby","45-64","No","1669","1424","85.32","1379","82.62","963","57.7","2022-09-07T00:00:00.000"
