"period_end_month","year","fiscal_year","total_room_occupancy_receipts","total_room_occupancy_tax"
"September","2020","FY 2020-21","43027109","6439825"
"January","2021","FY 2020-21","27865233","4174994"
"February","2021","FY 2020-21","29913916","4480859"
"March","2021","FY 2020-21","40114326","6011315"
"April","2021","FY 2020-21","46778238","7006459"
"June","2021","FY 2020-21","75847830","11442959"
"July","2021","FY 2020-21","95356720","14384841"
"August","2021","FY 2020-21","93384601","14080216"
"October","2021","FY 2020-21","84612279","12754280"
"December","2021","FY 2020-21","53995225","8147625"
"May","2021","FY 2020-21","61258378","9237737"
"November","2021","FY 2020-21","65086221","9793467"
"September","2021","FY 2020-21","78852060","11893132"
