"cttractid","geo_id","geo_id10","town","age_group","initiated_vaccination_count","fully_vaccinated_count","initiated_vaccination_percent","fully_vaccinated_percent","number_left_to_start","number_not_fully_vaccinated","dateupdated"
"CT09001035200","01400000US09001035200","09001035200","New Canaan","All Ages","3292","2908","100","94.4","0","172","2022-09-07T00:00:00.000"
"CT09001035300","01400000US09001035300","09001035300","New Canaan","All Ages","3927","3495","95.2","84.7","197","629","2022-09-07T00:00:00.000"
"CT09001035400","01400000US09001035400","09001035400","New Canaan","All Ages","5004","4503","93.1","83.8","370","871","2022-09-07T00:00:00.000"
"CT09001042500","01400000US09001042500","09001042500","Norwalk","All Ages","3169","2949","79.5","74","817","1037","2022-09-07T00:00:00.000"
"CT09001042600","01400000US09001042600","09001042600","Norwalk","All Ages","3628","3291","90.2","81.9","392","729","2022-09-07T00:00:00.000"
"CT09001042700","01400000US09001042700","09001042700","Norwalk","All Ages","4349","3992","83.5","76.6","861","1218","2022-09-07T00:00:00.000"
"CT09001042800","01400000US09001042800","09001042800","Norwalk","All Ages","3848","3538","81.2","74.6","893","1203","2022-09-07T00:00:00.000"
"CT09001042900","01400000US09001042900","09001042900","Norwalk","All Ages","1453","1332","93.7","85.9","98","219","2022-09-07T00:00:00.000"
"CT09001043000","01400000US09001043000","09001043000","Norwalk","All Ages","2814","2595","96.9","89.3","91","310","2022-09-07T00:00:00.000"
"CT09001043100","01400000US09001043100","09001043100","Norwalk","All Ages","3757","3441","81.3","74.5","863","1179","2022-09-07T00:00:00.000"
"CT09001043200","01400000US09001043200","09001043200","Norwalk","All Ages","2484","2254","77.5","70.3","722","952","2022-09-07T00:00:00.000"
"CT09001043300","01400000US09001043300","09001043300","Norwalk","All Ages","2832","2594","96.3","88.2","109","347","2022-09-07T00:00:00.000"
"CT09001043400","01400000US09001043400","09001043400","Norwalk","All Ages","4178","3740","96.3","86.2","161","599","2022-09-07T00:00:00.000"
"CT09001043500","01400000US09001043500","09001043500","Norwalk","All Ages","2206","2048","90.5","84","231","389","2022-09-07T00:00:00.000"
"CT09001043600","01400000US09001043600","09001043600","Norwalk","All Ages","2863","2637","92.8","85.5","221","447","2022-09-07T00:00:00.000"
"CT09001043700","01400000US09001043700","09001043700","Norwalk","All Ages","2938","2588","100","99.8","0","5","2022-09-07T00:00:00.000"
"CT09001043800","01400000US09001043800","09001043800","Norwalk","All Ages","6785","6056","96.9","86.5","215","944","2022-09-07T00:00:00.000"
"CT09001043900","01400000US09001043900","09001043900","Norwalk","All Ages","4762","4319","75.3","68.3","1563","2006","2022-09-07T00:00:00.000"
"CT09001044000","01400000US09001044000","09001044000","Norwalk","All Ages","5262","4668","88.8","78.8","665","1259","2022-09-07T00:00:00.000"
"CT09001044100","01400000US09001044100","09001044100","Norwalk","All Ages","2874","2486","85.8","74.3","474","862","2022-09-07T00:00:00.000"
"CT09001044200","01400000US09001044200","09001044200","Norwalk","All Ages","3403","3018","83.4","74","677","1062","2022-09-07T00:00:00.000"
"CT09001044300","01400000US09001044300","09001044300","Norwalk","All Ages","3420","3140","76.7","70.4","1040","1320","2022-09-07T00:00:00.000"
"CT09001044400","01400000US09001044400","09001044400","Norwalk","All Ages","2890","2569","71.9","63.9","1128","1449","2022-09-07T00:00:00.000"
"CT09001044500","01400000US09001044500","09001044500","Norwalk","All Ages","2961","2560","73","63.1","1094","1495","2022-09-07T00:00:00.000"
"CT09001044600","01400000US09001044600","09001044600","Norwalk","All Ages","3279","2938","87.4","78.3","474","815","2022-09-07T00:00:00.000"
"CT09001045101","01400000US09001045101","09001045101","Wilton","All Ages","3894","3575","96.3","88.4","149","468","2022-09-07T00:00:00.000"
"CT09001045102","01400000US09001045102","09001045102","Wilton","All Ages","5593","5068","90","81.5","622","1147","2022-09-07T00:00:00.000"
"CT09001045200","01400000US09001045200","09001045200","Wilton","All Ages","2408","2188","97.1","88.2","73","293","2022-09-07T00:00:00.000"
"CT09001045300","01400000US09001045300","09001045300","Wilton","All Ages","2318","2112","92.1","83.9","199","405","2022-09-07T00:00:00.000"
"CT09001045400","01400000US09001045400","09001045400","Wilton","All Ages","2912","2638","90.8","82.3","295","569","2022-09-07T00:00:00.000"
"CT09001050100","01400000US09001050100","09001050100","Westport","All Ages","4017","3659","89.7","81.7","461","819","2022-09-07T00:00:00.000"
"CT09001050200","01400000US09001050200","09001050200","Westport","All Ages","3904","3535","100","91.7","0","318","2022-09-07T00:00:00.000"
"CT09001050300","01400000US09001050300","09001050300","Westport","All Ages","8145","7359","92.2","83.3","691","1477","2022-09-07T00:00:00.000"
"CT09001050400","01400000US09001050400","09001050400","Westport","All Ages","2180","1971","92.8","83.9","169","378","2022-09-07T00:00:00.000"
"CT09001050500","01400000US09001050500","09001050500","Westport","All Ages","4582","4120","89.9","80.9","513","975","2022-09-07T00:00:00.000"
"CT09001050600","01400000US09001050600","09001050600","Westport","All Ages","3171","2829","93.1","83.1","234","576","2022-09-07T00:00:00.000"
"CT09001055100","01400000US09001055100","09001055100","Weston","All Ages","5221","4749","93.5","85.1","361","833","2022-09-07T00:00:00.000"
"CT09001055200","01400000US09001055200","09001055200","Weston","All Ages","4174","3772","88.7","80.2","531","933","2022-09-07T00:00:00.000"
"CT09001060100","01400000US09001060100","09001060100","Fairfield","All Ages","2734","2518","61.9","57","1680","1896","2022-09-07T00:00:00.000"
"CT09001060200","01400000US09001060200","09001060200","Fairfield","All Ages","3504","3242","80.3","74.3","857","1119","2022-09-07T00:00:00.000"
"CT09001060300","01400000US09001060300","09001060300","Fairfield","All Ages","3704","3422","93.6","86.5","254","536","2022-09-07T00:00:00.000"
"CT09001060400","01400000US09001060400","09001060400","Fairfield","All Ages","4157","3741","92","82.8","363","779","2022-09-07T00:00:00.000"
"CT09001060500","01400000US09001060500","09001060500","Fairfield","All Ages","2664","2420","96.5","87.6","98","342","2022-09-07T00:00:00.000"
"CT09001060600","01400000US09001060600","09001060600","Fairfield","All Ages","2210","2007","95.8","87","96","299","2022-09-07T00:00:00.000"
"CT09001060700","01400000US09001060700","09001060700","Fairfield","All Ages","5286","4780","66.2","59.9","2696","3202","2022-09-07T00:00:00.000"
"CT09001060800","01400000US09001060800","09001060800","Fairfield","All Ages","1896","1754","89.9","83.2","213","355","2022-09-07T00:00:00.000"
"CT09001060900","01400000US09001060900","09001060900","Fairfield","All Ages","2317","2170","87.5","81.9","331","478","2022-09-07T00:00:00.000"
"CT09001061000","01400000US09001061000","09001061000","Fairfield","All Ages","3416","3169","87.8","81.5","473","720","2022-09-07T00:00:00.000"
"CT09001061100","01400000US09001061100","09001061100","Fairfield","All Ages","3517","3246","91.5","84.5","325","596","2022-09-07T00:00:00.000"
"CT09001061200","01400000US09001061200","09001061200","Fairfield","All Ages","1921","1795","76.7","71.7","583","709","2022-09-07T00:00:00.000"
"CT09001061300","01400000US09001061300","09001061300","Fairfield","All Ages","2606","2405","83.8","77.4","503","704","2022-09-07T00:00:00.000"
"CT09001061400","01400000US09001061400","09001061400","Fairfield","All Ages","2488","2251","80.8","73.1","591","828","2022-09-07T00:00:00.000"
"CT09001061500","01400000US09001061500","09001061500","Fairfield","All Ages","4214","3855","87.1","79.7","622","981","2022-09-07T00:00:00.000"
"CT09001061600","01400000US09001061600","09001061600","Fairfield","All Ages","4333","3983","79.9","73.5","1088","1438","2022-09-07T00:00:00.000"
"CT09001070100","01400000US09001070100","09001070100","Bridgeport","All Ages","3855","3580","77.6","72.1","1111","1386","2022-09-07T00:00:00.000"
"CT09001070200","01400000US09001070200","09001070200","Bridgeport","All Ages","2763","2475","71.2","63.8","1117","1405","2022-09-07T00:00:00.000"
"CT09001070300","01400000US09001070300","09001070300","Bridgeport","All Ages","630","556","45.4","40.1","758","832","2022-09-07T00:00:00.000"
"CT09001070400","01400000US09001070400","09001070400","Bridgeport","All Ages","792","717","53.5","48.4","688","763","2022-09-07T00:00:00.000"
"CT09001070500","01400000US09001070500","09001070500","Bridgeport","All Ages","1093","962","58.9","51.9","762","893","2022-09-07T00:00:00.000"
"CT09001070600","01400000US09001070600","09001070600","Bridgeport","All Ages","2070","1838","81","71.9","486","718","2022-09-07T00:00:00.000"
"CT09001070900","01400000US09001070900","09001070900","Bridgeport","All Ages","1600","1408","55.4","48.8","1286","1478","2022-09-07T00:00:00.000"
"CT09001071000","01400000US09001071000","09001071000","Bridgeport","All Ages","2328","2007","67.6","58.2","1118","1439","2022-09-07T00:00:00.000"
"CT09001071100","01400000US09001071100","09001071100","Bridgeport","All Ages","3238","2831","65.6","57.3","1701","2108","2022-09-07T00:00:00.000"
"CT09001071200","01400000US09001071200","09001071200","Bridgeport","All Ages","3426","3027","62.2","55","2082","2481","2022-09-07T00:00:00.000"
"CT09001071300","01400000US09001071300","09001071300","Bridgeport","All Ages","2195","1889","81.3","70","504","810","2022-09-07T00:00:00.000"
"CT09001071400","01400000US09001071400","09001071400","Bridgeport","All Ages","2709","2314","74.6","63.7","923","1318","2022-09-07T00:00:00.000"
"CT09001071600","01400000US09001071600","09001071600","Bridgeport","All Ages","1310","1119","50.2","42.9","1297","1488","2022-09-07T00:00:00.000"
"CT09001071900","01400000US09001071900","09001071900","Bridgeport","All Ages","3734","3239","75.4","65.4","1215","1710","2022-09-07T00:00:00.000"
"CT09001072000","01400000US09001072000","09001072000","Bridgeport","All Ages","2873","2545","81.7","72.3","645","973","2022-09-07T00:00:00.000"
"CT09001072100","01400000US09001072100","09001072100","Bridgeport","All Ages","4858","4405","93","84.3","366","819","2022-09-07T00:00:00.000"
"CT09001072200","01400000US09001072200","09001072200","Bridgeport","All Ages","3167","2804","81.5","72.2","717","1080","2022-09-07T00:00:00.000"
"CT09001072300","01400000US09001072300","09001072300","Bridgeport","All Ages","4247","3817","75.4","67.8","1383","1813","2022-09-07T00:00:00.000"
"CT09001072400","01400000US09001072400","09001072400","Bridgeport","All Ages","2299","2089","76.1","69.1","724","934","2022-09-07T00:00:00.000"
"CT09001072500","01400000US09001072500","09001072500","Bridgeport","All Ages","4227","3866","74.5","68.2","1444","1805","2022-09-07T00:00:00.000"
"CT09001072600","01400000US09001072600","09001072600","Bridgeport","All Ages","5217","4803","71.1","65.5","2118","2532","2022-09-07T00:00:00.000"
"CT09001072700","01400000US09001072700","09001072700","Bridgeport","All Ages","3083","2830","79.4","72.9","800","1053","2022-09-07T00:00:00.000"
"CT09001072800","01400000US09001072800","09001072800","Bridgeport","All Ages","3832","3496","68.3","62.3","1776","2112","2022-09-07T00:00:00.000"
"CT09001072900","01400000US09001072900","09001072900","Bridgeport","All Ages","3734","3382","82.1","74.4","812","1164","2022-09-07T00:00:00.000"
"CT09001073000","01400000US09001073000","09001073000","Bridgeport","All Ages","1409","1283","67","61","695","821","2022-09-07T00:00:00.000"
"CT09001073100","01400000US09001073100","09001073100","Bridgeport","All Ages","4056","3719","66.8","61.2","2018","2355","2022-09-07T00:00:00.000"
"CT09001073200","01400000US09001073200","09001073200","Bridgeport","All Ages","1517","1379","56.3","51.2","1178","1316","2022-09-07T00:00:00.000"
"CT09001073300","01400000US09001073300","09001073300","Bridgeport","All Ages","2421","2202","67.9","61.7","1147","1366","2022-09-07T00:00:00.000"
"CT09001073400","01400000US09001073400","09001073400","Bridgeport","All Ages","3168","2870","78.7","71.3","857","1155","2022-09-07T00:00:00.000"
"CT09001073500","01400000US09001073500","09001073500","Bridgeport","All Ages","2422","2132","70.6","62.1","1010","1300","2022-09-07T00:00:00.000"
"CT09001073600","01400000US09001073600","09001073600","Bridgeport","All Ages","1438","1256","59.3","51.8","985","1167","2022-09-07T00:00:00.000"
"CT09001073700","01400000US09001073700","09001073700","Bridgeport","All Ages","3353","2978","76.4","67.8","1038","1413","2022-09-07T00:00:00.000"
"CT09001073800","01400000US09001073800","09001073800","Bridgeport","All Ages","1511","1310","68.8","59.7","684","885","2022-09-07T00:00:00.000"
"CT09001073900","01400000US09001073900","09001073900","Bridgeport","All Ages","2394","2078","61.8","53.7","1478","1794","2022-09-07T00:00:00.000"
"CT09001074000","01400000US09001074000","09001074000","Bridgeport","All Ages","1480","1321","69.3","61.8","657","816","2022-09-07T00:00:00.000"
"CT09001074300","01400000US09001074300","09001074300","Bridgeport","All Ages","3117","2766","62.6","55.6","1861","2212","2022-09-07T00:00:00.000"
"CT09001074400","01400000US09001074400","09001074400","Bridgeport","All Ages","2875","2564","63.4","56.5","1661","1972","2022-09-07T00:00:00.000"
"CT09001080100","01400000US09001080100","09001080100","Stratford","All Ages","3402","3139","65.5","60.4","1792","2055","2022-09-07T00:00:00.000"
"CT09001080200","01400000US09001080200","09001080200","Stratford","All Ages","2975","2739","69.8","64.3","1288","1524","2022-09-07T00:00:00.000"
"CT09001080400","01400000US09001080400","09001080400","Stratford","All Ages","4342","4033","68.8","63.9","1971","2280","2022-09-07T00:00:00.000"
"CT09001080500","01400000US09001080500","09001080500","Stratford","All Ages","2549","2406","84.2","79.4","480","623","2022-09-07T00:00:00.000"
"CT09001080600","01400000US09001080600","09001080600","Stratford","All Ages","1987","1836","75.3","69.6","651","802","2022-09-07T00:00:00.000"
"CT09001080700","01400000US09001080700","09001080700","Stratford","All Ages","1551","1442","77.8","72.4","442","551","2022-09-07T00:00:00.000"
"CT09001080800","01400000US09001080800","09001080800","Stratford","All Ages","3899","3648","85.7","80.2","648","899","2022-09-07T00:00:00.000"
"CT09001080900","01400000US09001080900","09001080900","Stratford","All Ages","3770","3505","74.8","69.5","1273","1538","2022-09-07T00:00:00.000"
"CT09001081000","01400000US09001081000","09001081000","Stratford","All Ages","3339","3132","81.4","76.3","764","971","2022-09-07T00:00:00.000"
"CT09001081100","01400000US09001081100","09001081100","Stratford","All Ages","3873","3643","79.2","74.5","1018","1248","2022-09-07T00:00:00.000"
"CT09001081200","01400000US09001081200","09001081200","Stratford","All Ages","4250","4022","86","81.4","690","918","2022-09-07T00:00:00.000"
"CT09001081300","01400000US09001081300","09001081300","Stratford","All Ages","3891","3631","75.3","70.3","1275","1535","2022-09-07T00:00:00.000"
"CT09001090100","01400000US09001090100","09001090100","Trumbull","All Ages","2903","2702","86.4","80.4","458","659","2022-09-07T00:00:00.000"
"CT09001090200","01400000US09001090200","09001090200","Trumbull","All Ages","6980","6532","86.9","81.4","1049","1497","2022-09-07T00:00:00.000"
"CT09001090300","01400000US09001090300","09001090300","Trumbull","All Ages","3981","3711","86.3","80.5","630","900","2022-09-07T00:00:00.000"
"CT09001090400","01400000US09001090400","09001090400","Trumbull","All Ages","5912","5449","90.7","83.6","606","1069","2022-09-07T00:00:00.000"
"CT09001090500","01400000US09001090500","09001090500","Trumbull","All Ages","4060","3829","85.3","80.4","700","931","2022-09-07T00:00:00.000"
"CT09001090600","01400000US09001090600","09001090600","Trumbull","All Ages","2948","2765","90.4","84.8","312","495","2022-09-07T00:00:00.000"
"CT09001090700","01400000US09001090700","09001090700","Trumbull","All Ages","4771","4475","87.8","82.3","666","962","2022-09-07T00:00:00.000"
"CT09001100100","01400000US09001100100","09001100100","Monroe","All Ages","4459","4190","78.8","74.1","1197","1466","2022-09-07T00:00:00.000"
"CT09001100200","01400000US09001100200","09001100200","Monroe","All Ages","5540","5227","76.6","72.3","1693","2006","2022-09-07T00:00:00.000"
"CT09001100300","01400000US09001100300","09001100300","Monroe","All Ages","5602","5260","84.2","79","1055","1397","2022-09-07T00:00:00.000"
"CT09001105100","01400000US09001105100","09001105100","Easton","All Ages","3517","3227","88.1","80.8","475","765","2022-09-07T00:00:00.000"
"CT09001105200","01400000US09001105200","09001105200","Easton","All Ages","2907","2687","81.9","75.7","644","864","2022-09-07T00:00:00.000"
"CT09001110100","01400000US09001110100","09001110100","Shelton","All Ages","1925","1704","65.7","58.1","1006","1227","2022-09-07T00:00:00.000"
"CT09001110201","01400000US09001110201","09001110201","Shelton","All Ages","3634","3414","74.9","70.4","1216","1436","2022-09-07T00:00:00.000"
"CT09001110202","01400000US09001110202","09001110202","Shelton","All Ages","4046","3778","85.1","79.5","709","977","2022-09-07T00:00:00.000"
"CT09001110301","01400000US09001110301","09001110301","Shelton","All Ages","4954","4666","75.2","70.8","1632","1920","2022-09-07T00:00:00.000"
"CT09001110302","01400000US09001110302","09001110302","Shelton","All Ages","2301","2140","68.7","63.9","1047","1208","2022-09-07T00:00:00.000"
"CT09001110400","01400000US09001110400","09001110400","Shelton","All Ages","3996","3822","82.7","79.1","834","1008","2022-09-07T00:00:00.000"
"CT09001110500","01400000US09001110500","09001110500","Shelton","All Ages","4633","4417","83.8","79.9","895","1111","2022-09-07T00:00:00.000"
"CT09001110600","01400000US09001110600","09001110600","Shelton","All Ages","6229","5923","74.9","71.2","2084","2390","2022-09-07T00:00:00.000"
"CT09001200100","01400000US09001200100","09001200100","Bethel","All Ages","3123","2864","84.5","77.5","572","831","2022-09-07T00:00:00.000"
"CT09001200200","01400000US09001200200","09001200200","Bethel","All Ages","4032","3745","77.2","71.7","1191","1478","2022-09-07T00:00:00.000"
"CT09001200301","01400000US09001200301","09001200301","Bethel","All Ages","3949","3676","75.4","70.2","1287","1560","2022-09-07T00:00:00.000"
"CT09001200302","01400000US09001200302","09001200302","Bethel","All Ages","4099","3824","74.4","69.4","1410","1685","2022-09-07T00:00:00.000"
"CT09001205100","01400000US09001205100","09001205100","Brookfield","All Ages","3348","3121","77.8","72.5","956","1183","2022-09-07T00:00:00.000"
"CT09001205200","01400000US09001205200","09001205200","Brookfield","All Ages","5776","5371","83.2","77.4","1165","1570","2022-09-07T00:00:00.000"
"CT09001205300","01400000US09001205300","09001205300","Brookfield","All Ages","4815","4473","83.4","77.5","956","1298","2022-09-07T00:00:00.000"
"CT09001210100","01400000US09001210100","09001210100","Danbury","All Ages","5317","4594","94.1","81.3","331","1054","2022-09-07T00:00:00.000"
"CT09001210200","01400000US09001210200","09001210200","Danbury","All Ages","5434","4726","85.5","74.4","921","1629","2022-09-07T00:00:00.000"
"CT09001210300","01400000US09001210300","09001210300","Danbury","All Ages","4628","4094","79.2","70","1217","1751","2022-09-07T00:00:00.000"
"CT09001210400","01400000US09001210400","09001210400","Danbury","All Ages","7379","6647","77.9","70.2","2096","2828","2022-09-07T00:00:00.000"
"CT09001210500","01400000US09001210500","09001210500","Danbury","All Ages","7233","6560","84.6","76.7","1315","1988","2022-09-07T00:00:00.000"
"CT09001210600","01400000US09001210600","09001210600","Danbury","All Ages","5424","4766","90.6","79.6","565","1223","2022-09-07T00:00:00.000"
"CT09001210701","01400000US09001210701","09001210701","Danbury","All Ages","5532","4758","94.7","81.5","308","1082","2022-09-07T00:00:00.000"
"CT09001210702","01400000US09001210702","09001210702","Danbury","All Ages","4059","3599","87.4","77.5","583","1043","2022-09-07T00:00:00.000"
"CT09001210800","01400000US09001210800","09001210800","Danbury","All Ages","3780","3477","67.3","61.9","1838","2141","2022-09-07T00:00:00.000"
"CT09001210900","01400000US09001210900","09001210900","Danbury","All Ages","4793","4433","90.4","83.6","511","871","2022-09-07T00:00:00.000"
"CT09001211000","01400000US09001211000","09001211000","Danbury","All Ages","3413","3143","73.5","67.7","1228","1498","2022-09-07T00:00:00.000"
"CT09001211100","01400000US09001211100","09001211100","Danbury","All Ages","30","29","3.1","3","933","934","2022-09-07T00:00:00.000"
"CT09001211200","01400000US09001211200","09001211200","Danbury","All Ages","5073","4617","75.8","69","1623","2079","2022-09-07T00:00:00.000"
"CT09001211300","01400000US09001211300","09001211300","Danbury","All Ages","3000","2780","75.4","69.8","981","1201","2022-09-07T00:00:00.000"
"CT09001211400","01400000US09001211400","09001211400","Danbury","All Ages","3746","3448","73.8","68","1328","1626","2022-09-07T00:00:00.000"
"CT09001220100","01400000US09001220100","09001220100","New Fairfield","All Ages","3837","3498","71.3","65","1544","1883","2022-09-07T00:00:00.000"
"CT09001220200","01400000US09001220200","09001220200","New Fairfield","All Ages","3836","3550","75.8","70.1","1227","1513","2022-09-07T00:00:00.000"
"CT09001220300","01400000US09001220300","09001220300","New Fairfield","All Ages","2854","2587","81.3","73.7","657","924","2022-09-07T00:00:00.000"
"CT09001230100","01400000US09001230100","09001230100","Newtown","All Ages","5804","5418","80.8","75.4","1377","1763","2022-09-07T00:00:00.000"
"CT09001230200","01400000US09001230200","09001230200","Newtown","All Ages","1732","1610","92.2","85.7","147","269","2022-09-07T00:00:00.000"
"CT09001230300","01400000US09001230300","09001230300","Newtown","All Ages","2966","2781","83","77.8","609","794","2022-09-07T00:00:00.000"
"CT09001230400","01400000US09001230400","09001230400","Newtown","All Ages","4605","4302","76.5","71.4","1418","1721","2022-09-07T00:00:00.000"
"CT09001230501","01400000US09001230501","09001230501","Newtown","All Ages","3530","3302","85.8","80.3","583","811","2022-09-07T00:00:00.000"
"CT09001230502","01400000US09001230502","09001230502","Newtown","All Ages","3898","3642","77.2","72.1","1153","1409","2022-09-07T00:00:00.000"
"CT09001240100","01400000US09001240100","09001240100","Redding","All Ages","3466","3173","75.3","68.9","1137","1430","2022-09-07T00:00:00.000"
"CT09001240200","01400000US09001240200","09001240200","Redding","All Ages","3713","3423","81.2","74.9","860","1150","2022-09-07T00:00:00.000"
"CT09001245100","01400000US09001245100","09001245100","Ridgefield","All Ages","2513","2339","87","81","376","550","2022-09-07T00:00:00.000"
"CT09001245200","01400000US09001245200","09001245200","Ridgefield","All Ages","3951","3616","88","80.5","539","874","2022-09-07T00:00:00.000"
"CT09001245300","01400000US09001245300","09001245300","Ridgefield","All Ages","4772","4355","95.4","87.1","230","647","2022-09-07T00:00:00.000"
