"town_code","town_name","fiscal_year","previous_fiscal_year_budget","current_fiscal_year_budget","net_dollar_change","net_percent_change","previous_fiscal_year_population","current_fiscal_year_population","net_population_change","net_population_percent_change","certification_date"
"84","Milford","2022","166773831.00","169835124.00","3061293.00","0.0183559553776755","54328.00","54671.00","343.00","0.00631350316595","2022-02-01T00:00:00.000"
"85","Monroe","2022","77650527.00","79818399.00","2167872.00","0.0279183166393707","19470.00","18808.00","-662.00","-0.03400102722137","2022-02-10T00:00:00.000"
"86","Montville","2022","48611607.00","49562478.00","950871.00","0.0195605753169197","19505.00","19505.00","0.00","0.00000000000000","2022-01-28T00:00:00.000"
"87","Morris","2022","8260855.00","8478616.00","217761.00","0.0263605885831430","2350.00","2262.00","-88.00","-0.03744680851064","2022-02-09T00:00:00.000"
"88","Naugatuck","2022","127105662.00","129511155.00","2405493.00","0.0189251443417210","32210.00","32500.00","290.00","0.00900341508848","2022-02-09T00:00:00.000"
"89","New Britain","2022","206816171.00","219265810.00","12449639.00","0.0601966419734171","75277.00","72767.00","-2510.00","-0.03334351794041","2022-02-04T00:00:00.000"
"90","New Canaan","2022","120786658.00","122362669.00","1576011.00","0.0130478897760380","20276.00","20622.00","346.00","0.01706450976524","2022-02-10T00:00:00.000"
"91","New Fairfield","2022","44107097.00","44457182.00","350085.00","0.0079371580496445","13877.00","13570.00","-307.00","-0.02212293723427","2022-02-09T00:00:00.000"
"92","New Hartford","2022","20000833.00","20225495.00","224662.00","0.0112326321608705","6652.00","6656.00","4.00","0.00060132291040","2022-02-22T00:00:00.000"
"93","New Haven","2022","458272014.00","490501651.00","32229637.00","0.0703286170994505","130529.00","134023.00","3494.00","0.02676799791617","2022-02-10T00:00:00.000"
"94","Newington","2022","104419684.00","103865631.00","-554053.00","-0.0053060206541135","30562.00","30536.00","-26.00","-0.00085072966429","2022-02-05T00:00:00.000"
"95","New London","2022","77332746.00","79598385.00","2265639.00","0.0292972785422620","26939.00","27367.00","428.00","0.01588774638999","2022-02-08T00:00:00.000"
"96","New Milford","2022","85277604.00","86207953.00","930349.00","0.0109096521989525","28106.00","28200.00","94.00","0.00334448160535","2022-02-11T00:00:00.000"
"97","Newtown","2022","98023887.00","98888727.00","864840.00","0.0088227474595044","28000.00","28250.00","250.00","0.00892857142857","2022-01-13T00:00:00.000"
"98","Norfolk","2022","6129517.00","5717009.00","-412508.00","-0.0672986142301261","1625.00","1585.00","-40.00","-0.02461538461538","2022-02-10T00:00:00.000"
"99","North Branford","2022","41126903.00","41570695.00","443792.00","0.0107907955043442","14146.00","13535.00","-611.00","-0.04319242188605","2022-02-01T00:00:00.000"
"100","North Canaan","2022","11533473.00","10688577.00","-844896.00","-0.0732559914953631","3251.00","3198.00","-53.00","-0.01630267609966","2022-02-08T00:00:00.000"
"101","North Haven","2022","82371251.00","85555478.00","3184227.00","0.0386570188183739","23722.00","23842.00","120.00","0.00505859539668","2022-02-02T00:00:00.000"
"102","North Stonington","2022","16608492.00","16794467.00","185975.00","0.0111975849463034","5205.00","5223.00","18.00","0.00345821325648","2022-02-01T00:00:00.000"
"103","Norwalk","2022","303549951.00","305834533.00","2284582.00","0.0075262143593626","88816.00","89000.00","184.00","0.00207169879301","2022-02-03T00:00:00.000"
"104","Norwich","2022","100470758.00","103185821.00","2715063.00","0.0270234151114895","38768.00","40152.00","1384.00","0.03569954601733","2022-01-27T00:00:00.000"
"105","Old Lyme","2022","34640083.00","35622483.00","982400.00","0.0283602091831016","7615.00","7805.00","190.00","0.02495075508864","2022-02-11T00:00:00.000"
"106","Old Saybrook","2022","37474673.00","37503750.00","29077.00","0.0007759107064123","10900.00","10900.00","0.00","0.00000000000000","2022-02-01T00:00:00.000"
"107","Orange","2022","67318619.00","68962672.00","1644053.00","0.0244219656377681","13926.00","14255.00","329.00","0.02362487433577","2022-01-19T00:00:00.000"
"108","Oxford","2022","37998427.00","38755917.00","757490.00","0.0199347725630853","12706.00","13086.00","380.00","0.02990713048953","2022-01-31T00:00:00.000"
"109","Plainfield","2022","38296237.00","38727448.00","431211.00","0.0112598791364279","15173.00","15125.00","-48.00","-0.00316351413695","2022-02-01T00:00:00.000"
"110","Plainville","2022","56924998.00","58188759.00","1263761.00","0.0222004575213160","17623.00","17516.00","-107.00","-0.00607161096295","2022-01-18T00:00:00.000"
"111","Plymouth","2022","32344826.00","32312686.00","-32140.00","-0.0009936674261287","11645.00","11671.00","26.00","0.00223271790468","2022-02-16T00:00:00.000"
"112","Pomfret","2022","9952564.00","9871186.00","-81378.00","-0.0081765864555104","4203.00","4203.00","0.00","0.00000000000000","2022-01-25T00:00:00.000"
"113","Portland","2022","27414799.00","27703521.00","288722.00","0.0105316110470115","9267.00","9371.00","104.00","0.01122261789144","2022-02-08T00:00:00.000"
"114","Preston","2022","14171815.00","14473763.00","301948.00","0.0213062335346602","4638.00","4657.00","19.00","0.00409659335921","2022-02-01T00:00:00.000"
"115","Prospect","2022","33792430.00","34605542.00","813112.00","0.0240619570714506","9736.00","9401.00","-335.00","-0.03440838126541","2022-02-10T00:00:00.000"
"116","Putnam","2022","24817497.00","24960708.00","143211.00","0.0057705658229756","9389.00","9389.00","0.00","0.00000000000000","2022-01-13T00:00:00.000"
