"the_geom","miles","stateab","cntyfips","stcntyfips","rrowner1","rrowner2","rrowner3","trkrghts1","trkrghts2","trkrghts3","trkrghts4","trkrghts5","trkrghts6","trkrghts7","trkrghts8","trkrghts9","stracnet","subdiv","net","passngr","shape_leng","shape_stlength","frfranode","tofranode","fraregion","fraarcid","country","objectid","stfips","yardname","tracks"
"MULTILINESTRING ((-117.311470937434 33.092100155997, -117.311431017427 33.0920128678, -117.311087999811 33.091263000487, -117.311006769447 33.091078050412, -117.310790981618 33.090586722899, -117.310586000044 33.090119999938, -117.310391508162 33.08963068241, -117.310177000068 33.08909100015, -117.309899298414 33.088315937431, -117.309788659319 33.087985572376, -117.309641845894 33.087547189751, -117.309626266939 33.087500668721, -117.309625988149 33.087499835049, -117.309348339554 33.086663504217, -117.309294934214 33.086502634389, -117.308981240792 33.085557700527, -117.308163884755 33.083095504254, -117.307637034921 33.081508344734, -117.303521687776 33.069108606577, -117.303018194234 33.067591300998, -117.302615690961 33.06637829812, -117.301985291388 33.064478422741, -117.301785522284 33.063876349114, -117.301728999893 33.063705999532, -117.301472396334 33.0629602709, -117.301420000033 33.06280799949, -117.30127709776 33.062435867222, -117.301273879086 33.062427487339, -117.30126761261 33.062411167342, -117.301127000011 33.062045000277, -117.301084220161 33.061952805378, -117.300675165327 33.061071235049, -117.300649999598 33.061017000534, -117.300512524733 33.060775462418, -117.300308866961 33.060417640162, -117.300179124467 33.060189684506, -117.300041000292 33.059946999754, -117.299917718528 33.059754846109, -117.298118306415 33.056950061196, -117.297528687499 33.056030964857, -117.29698847284 33.055188859478, -117.296285488085 33.054092995096, -117.295590365203 33.053009355198, -117.294940443147 33.051996151102, -117.294643999621 33.051534000294, -117.294471767758 33.051231217447, -117.294217287498 33.050783844299, -117.294206000107 33.050763999859, -117.293951000039 33.050212000483, -117.293926330736 33.050147787091, -117.29377458363 33.049752799452, -117.293746999624 33.049681000278, -117.293642536174 33.049366156623, -117.293602999279 33.049247000049, -117.293532791905 33.04900578389, -117.293484029764 33.048838251884, -117.293422313789 33.048552115488, -117.29337933339 33.04835284191, -117.293301417027 33.047869127159, -117.293283999857 33.04776100077, -117.293172625117 33.046955129076))","3.31946408","CA","073","06073","SDNR","BNSF",,"AMTK","PSRR","SCAX",,,,,,,"S","SAN DIEGO (SDNR)","M","B","5342.17028924","0.049012363378296279","325497","325547","7","331719","US","366","06",,"1"
"MULTILINESTRING ((-122.39341402084 47.777858557127, -122.392978823614 47.775178670959, -122.392868999305 47.774585000597, -122.392610999998 47.773125999865, -122.392519000252 47.772439999706, -122.392418000091 47.772028999639, -122.392278999976 47.77138700061, -122.392133999584 47.770986000104, -122.392009000115 47.770740000451, -122.391801999563 47.770422000175, -122.391478999956 47.770040999692, -122.390741000097 47.769392999487, -122.387328027966 47.766613324545, -122.387177354651 47.766490609354))","0.86363365","WA","033","53033","BNSF",,,"AMTK","SDRX",,,,,,,,"S","SCENIC","M","B","1389.88640456","0.013732030337768864","306149","306333","8","306916","US","30","53",,"2"
"MULTILINESTRING ((-74.063008844782 40.864445201485, -74.062437400266 40.865188743865, -74.062340051352 40.865315411577, -74.059327311706 40.869235480833, -74.059287115608 40.869287781806, -74.059272489933 40.86930681146, -74.059149676716 40.869466612894))","0.40283775","NJ","003","34003","NJT",,,"NS",,,,,,,,,,"PASCACK VALLEY LINE","M","C","648.30582012","0.0063330680322689894","489649","489664","1","384685","US","1770","34",,"1"
"MULTILINESTRING ((-73.868101384871 40.691246777717, -73.868073826046 40.691251712297, -73.864687996354 40.691858001046, -73.861014368318 40.692370461727, -73.858823650391 40.69258550132, -73.856626098516 40.692689745336, -73.855423332621 40.69274678034, -73.854352000844 40.693041999888, -73.85310399995 40.69342599961, -73.851632000416 40.694049999608, -73.84990399987 40.694481999745, -73.84717900101 40.694803000158))","1.12619577","NY","081","36081","LI",,,,,,,,,,,,,,"M","C","1812.44002557","0.021323094896607477","490678","490769","1","388771","US","1988","36",,"1"
"MULTILINESTRING ((-73.826832176064 40.698335055119, -73.823591252334 40.697046510088, -73.822761861571 40.696828250024, -73.822107080477 40.696734397674, -73.821389023984 40.696694511842, -73.820908285089 40.696667806474, -73.819898482229 40.696788294944, -73.819755869538 40.696805310117, -73.815851079763 40.69786824942, -73.815725348246 40.697902473121, -73.815494613685 40.697945735907, -73.81533645891 40.697975390152, -73.815166601258 40.698007238743, -73.814735559798 40.698058282464, -73.814584845114 40.69807612951, -73.814503088647 40.698085811611, -73.814440758434 40.698085893449, -73.813912586597 40.698086602115, -73.813482816779 40.698087176782, -73.813137860224 40.698087636335, -73.813009902885 40.698115723962, -73.810600593043 40.6986445577, -73.807247513962 40.699623042569))","1.07944376","NY","081","36081","LI",,,"NYA","PW",,,,,,,,,"MAIN LINE (LI)","M","C","1737.19981785","0.020237665780136603","490858","490925","1","384198","US","1756","36","JAMAICA","1"
"MULTILINESTRING ((-117.32073803833 34.08916926435, -117.320638136241 34.088922697225, -117.32061800042 34.088872999789, -117.320567039437 34.088660346098, -117.320537000282 34.088534999491, -117.320527022304 34.088417335791, -117.320513000075 34.08825199993, -117.320516858166 34.088189570792, -117.320529910927 34.087978349721, -117.32053500019 34.087895999701, -117.320542058069 34.087860208482, -117.320563770402 34.087750097289, -117.320566829895 34.087734577689, -117.320591000075 34.087612000094, -117.320620769433 34.087522951923, -117.320701767772 34.08728065208, -117.320707000028 34.08726500028, -117.321329874974 34.085738153793, -117.322559292278 34.082724325068, -117.323055848449 34.081506991055, -117.323695817708 34.079938016726))","0.67157087","CA","071","06071","BNSF",,,"AMTK","SCAX","UP",,,,,,,"S","SAN BERNARDINO","M","B","1080.790719","0.0098764035129492739","325446","325413","7","333929","US","435","06","SAN BERNARDINO B YARD","4"
"MULTILINESTRING ((-122.376191175382 47.631481759576, -122.375031470826 47.630580252177, -122.374239558409 47.62996654582, -122.372549704405 47.628675276743, -122.370031340074 47.626721036447, -122.369077219638 47.625980642593, -122.367432096114 47.624713915115, -122.365720000078 47.62340000021, -122.363605073415 47.621758096259, -122.36257128114 47.620951629214, -122.362181797352 47.62065310106, -122.361901966103 47.620438619047, -122.360159097065 47.619092226025, -122.358800585678 47.618037041576, -122.35785294216 47.617304449341, -122.357514972438 47.617043445399))","1.32394406","WA","033","53033","BNSF",,,"AMTK","SDRX",,,,,,,,"S","SCENIC","M","B","2130.68569335","0.023606565414896887","306691","307225","8","306977","US","33","53","ELLIOTT BAY PARK YARD","2"
"MULTILINESTRING ((-96.945341254096 32.814895102527, -96.943433357663 32.814856707771, -96.943383483061 32.814855704127, -96.943099999665 32.814850000627, -96.942419999783 32.814840000166, -96.941410368694 32.814818596301, -96.940068867085 32.814792262353, -96.93979170862 32.814786820555, -96.934349999952 32.814679999982, -96.932777084795 32.814666431011))","0.72690675","TX","113","48113","DART","TRE",,"BNSF","UP",,,,,,,,,"DFW","M","C","1169.84536075","0.012566342174309599","360510","360570","5","439263","US","2759","48",,"1"
"MULTILINESTRING ((-97.034209759473 32.816662291931, -97.034148258435 32.816661085041, -97.034100412704 32.816660146149, -97.030549794837 32.816590427107, -97.030349871949 32.816586502465, -97.026891487652 32.816518595557))","0.42340486","TX","113","48113","TRE",,,"BNSF","UP",,,,,,,,,"DFW","M","C","681.40543837","0.007319682444696763","360058","360113","5","448525","US","2813","48",,"1"
"MULTILINESTRING ((-70.868613935185 42.562351667196, -70.868210000191 42.562480000452, -70.867079999342 42.562809999482, -70.864139999561 42.563730000539, -70.86259999959 42.564159999684, -70.861479999203 42.56439999996, -70.860720000128 42.564540000121, -70.859779999947 42.564680000282, -70.858639999536 42.564809999982, -70.857380000786 42.564899999635, -70.855430000794 42.56499999975, -70.851890000323 42.565240000026, -70.851489998964 42.565260000049, -70.850880000512 42.565260000049, -70.850279999822 42.565230000464, -70.849680000032 42.565189999519, -70.848940000081 42.565090000303, -70.848349999853 42.564980000627, -70.847769999186 42.564840000466, -70.84719999988 42.564680000282, -70.846859999489 42.564569999706, -70.845510000186 42.564029999985, -70.844209999592 42.563459999779, -70.843382717738 42.563069890963, -70.841220000203 42.562049999508, -70.837280000172 42.560109999977, -70.836349999553 42.55967000037, -70.835969999116 42.559520000648, -70.835339999741 42.559300000395, -70.834769999536 42.55912999975, -70.834320000368 42.559020000073, -70.833740000601 42.558910000396, -70.833150000372 42.558830000304, -70.832679999382 42.558779999797, -70.83219999973 42.558750000212, -70.831991753616 42.558746747365, -70.831559999894 42.558740000651, -70.830690000243 42.558760000674, -70.827079999243 42.559229999865, -70.825557733902 42.559435174794))","2.33723783","MA","009","25009","MBTA",,,,,,,,,,,,,"(MBTA) ROCKPORT","M","C","3761.42719484","0.044725740381661071","495274","495295","1","379380","US","1288","25",,"1"
"MULTILINESTRING ((-73.303690232218 41.126041344532, -73.303639000539 41.126059000023, -73.302726560083 41.126420236105, -73.302711999159 41.12642599986, -73.30172200027 41.126868000458, -73.301652106759 41.126903210715, -73.300794999789 41.12733500041, -73.300605661022 41.12744211776, -73.299890000323 41.127846999739, -73.298940090513 41.128442272693, -73.296742169915 41.129819631171, -73.296551748364 41.129938961314, -73.291416721105 41.133156895674, -73.291099000518 41.133356000179, -73.28892395058 41.134718413724, -73.287395030256 41.13567610267, -73.286512743169 41.136228753155, -73.286433101007 41.136278639448, -73.286398999614 41.136300000145, -73.28553500024 41.13685199952, -73.284847212229 41.137297455313, -73.282517999606 41.138806000597, -73.282208000599 41.138938000388, -73.281233000602 41.139536000086, -73.281068060443 41.139631267069))","1.50731113","CT","001","09001","MNCW",,,"AMTK","CSXT","PW",,,,,,,,"NEW HAVEN LINE","M","B","2425.78697003","0.026424562210288147","491606","491617","1","384876","US","1780","09",,"4"
"MULTILINESTRING ((-73.912681697802 40.827365863044, -73.912398999514 40.827531000156, -73.911977307407 40.827817064606, -73.911857999747 40.827897999993, -73.911725061063 40.82799625902, -73.911626931538 40.828068790243, -73.911029999335 40.828510000336, -73.91096100065 40.82856099999, -73.910834376106 40.828629240547, -73.910793999244 40.828651000543, -73.910576973948 40.82883246035, -73.910256999661 40.829100000565, -73.910094201686 40.829262123149, -73.90993286421 40.829422792428, -73.90977399987 40.829581000263, -73.909488555952 40.829917990623, -73.909331000126 40.8301040001, -73.909151447781 40.830367562613, -73.908786000174 40.83090400012, -73.90868805411 40.831071538421, -73.908367999783 40.831618999817, -73.908083108948 40.832124250634, -73.906769086124 40.834454643167, -73.906196000345 40.835471000286, -73.905609136053 40.836537612421, -73.905165999611 40.837343000279, -73.905079907512 40.837489694994, -73.904477000213 40.83851699956, -73.904034996918 40.839304748116, -73.902378172315 40.842257572229))","1.1795796","NY","005","36005","MNCW",,,"CSXT",,,,,,,,,,"HARLEM LINE","M","C","1898.35315065","0.018358749091883418","490506","490549","1","383717","US","1722","36",,"1"
"MULTILINESTRING ((-86.479028108161 41.704118417831, -86.476856247218 41.704017814271, -86.475299846311 41.703869866801, -86.47416361316 41.703692330737, -86.471755037165 41.703218901531, -86.470349999353 41.702989999789, -86.468050445472 41.702721798572, -86.448172864286 41.700402953334))","1.60630731","IN","141","18141","NICD",,,"CSS",,,,,,,,,,,"M","C","2585.10619928","0.031093370726531025","423172","423299","4","495222","US","3160","18",,"1"
"MULTILINESTRING ((-77.147111101896 38.798029910852, -77.147081000688 38.798038000254, -77.14658859129 38.798186256191, -77.14569600067 38.798454999699, -77.143359303889 38.799079203842))","0.21351575","VA","059","51059","NS",,,"AMTK","VREX",,,,,,,,"S","WASHINGTON DISTRICT ALEXANDRIA TO MONTVIEW","M","B","343.62097957","0.0038962156725573342","475629","475636","2","526652","US","3780","51",,"2"
"MULTILINESTRING ((-74.386967068575 40.725630773342, -74.387583548442 40.725048580128, -74.38775899718 40.724882890833, -74.387778999901 40.724863999674, -74.387971703931 40.724667756812, -74.388269000914 40.724365000045, -74.388390302371 40.724215178388, -74.388605000221 40.723949999793, -74.388663044264 40.723858188005, -74.388867999758 40.723533999495, -74.388938213428 40.723391308562, -74.388980083164 40.723306218307, -74.389054000242 40.723156000049, -74.389196052656 40.72277808604, -74.38921300038 40.722733000328, -74.389288951724 40.722420305153, -74.389307000218 40.722345999568, -74.389352538289 40.722013834071, -74.389357999872 40.721973999501, -74.389363662003 40.721731054844, -74.38936899948 40.721502000217, -74.389368278223 40.721493916211, -74.389366306909 40.721471854043, -74.389337999849 40.721154999504, -74.389267080212 40.72079661697, -74.389262999987 40.720776000012, -74.389158999688 40.720410999368, -74.389124610512 40.720326495471, -74.388995000219 40.72000799967, -74.38889970176 40.719832588703, -74.38881299992 40.719673000409, -74.388649929451 40.719430826472, -74.388544999252 40.719275000041, -74.388502395669 40.719224218023, -74.388379237112 40.719077419887, -74.388221999646 40.718890000273, -74.388165952097 40.718834120898, -74.3881368977 40.718805155534, -74.388024240526 40.718692840103, -74.387925587596 40.718594485747, -74.387891999716 40.718560999491, -74.387768636114 40.718457314853, -74.387565999971 40.718287000345, -74.387413022593 40.718177786676, -74.387178000065 40.718010000161, -74.38694123465 40.717867940553, -74.386703000643 40.717724999609, -74.38633344763 40.717539004521, -74.386247999446 40.717495999841, -74.386101052022 40.717438041233, -74.386002259697 40.717399075407, -74.385675000001 40.717269999311, -74.385566023753 40.717238768554, -74.385146120397 40.717118431171, -74.384854999958 40.717035000165, -74.384720981188 40.717011560235, -74.384347121323 40.716946172328, -74.384291866077 40.716936508213, -74.384105999592 40.716904000419, -74.383796211926 40.716880986768, -74.383309811798 40.716844855606, -74.383230999711 40.71683900012, -74.382838690253 40.716845082235, -74.38280977615 40.716845530997, -74.382586000543 40.716848999682, -74.382006000776 40.716901000281, -74.38194131434 40.716911101466, -74.381457289322 40.71698668139, -74.381372000318 40.71700000035, -74.378148685314 40.717663555229, -74.376204880751 40.718063709473, -74.375809999232 40.718145000092, -74.375452814596 40.718206373425, -74.375164000918 40.718255999815, -74.375012777218 40.718273711063, -74.374497999883 40.718334000714, -74.373383999772 40.718391000644, -74.372736058922 40.718395832702))","1.38279253","NJ","039","34039","NJT",,,"NS","ME",,,,,,,,,"MORRISTOWN LINE","M","C","2225.3933158","0.024050055554172316","486818","486877","1","380291","US","1459","34",,"1"
"MULTILINESTRING ((-87.825972815293 42.583217504384, -87.825972815293 42.582423955201, -87.825972815293 42.58157927956, -87.825945737606 42.579639020125, -87.825876969147 42.577753312665, -87.825876145368 42.577734336071, -87.825811642393 42.576250798236, -87.825773813311 42.575380704156, -87.825723999863 42.574235000245, -87.825697888047 42.573932596013, -87.825618999517 42.573018999927, -87.825582528411 42.572802950396, -87.825487999771 42.572243000114, -87.825288000441 42.57141300051, -87.824507415885 42.568620664012, -87.823732012322 42.565846859845, -87.822912733536 42.562916099698, -87.822019000776 42.559718999932, -87.8218180005 42.558932999658, -87.821682000524 42.558267999569, -87.821642325133 42.558002762518, -87.82157400004 42.557545999548, -87.821427000456 42.556284999853, -87.821194957381 42.554220101577, -87.820851924477 42.551167530957, -87.819919518171 42.542870248163, -87.819708000324 42.540987999497, -87.81963610852 42.540520597548, -87.818360999361 42.533369999826, -87.818278918237 42.532817182967, -87.818216710333 42.532320411858, -87.818164560446 42.531617910039, -87.81813499973 42.531128999904, -87.817818316962 42.523041535239, -87.817279999872 42.509294000218, -87.817207595454 42.507522959917, -87.816982750553 42.502023157743, -87.816604901295 42.492780781908))","6.31179263","WI","059","55059","UP",,,,,,,,,,,,,"KENOSHA","M","C","10157.8659182","0.091242575601089795","413005","413070","4","513657","US","3417","55",,"2"
"MULTILINESTRING ((-118.2301871728 34.061910735792, -118.229633172433 34.061964225669, -118.22944057812 34.061982818252, -118.228724000112 34.0620520004, -118.228568863462 34.062057329782, -118.228226698403 34.062069083022, -118.22820000023 34.062069999431, -118.228000993751 34.062045894003, -118.227961634921 34.062041125797, -118.227760348661 34.062001194999, -118.227713999402 34.061992000331, -118.22756488641 34.061952673877, -118.22755731232 34.061950677382, -118.227523387195 34.061941729128, -118.227515320276 34.061938298214, -118.227483938433 34.061924950476, -118.227471655492 34.061919726314, -118.227471401884 34.061919619295, -118.22745120401 34.061911028072))","0.15798427","CA","037","06037","SCAX",,,"AMTK","UP",,,,,,,,,"RIVER","M","B","254.25154732","0.0027624247940830834","321517","321638","7","345680","US","791","06",,"1"
"MULTILINESTRING ((-86.635396357456 36.175936691325, -86.634359000268 36.176512999375, -86.633927628757 36.176713344945, -86.633715307815 36.176811952909, -86.633570641972 36.176879141259, -86.633403000248 36.176956999166, -86.633039639967 36.17707681944, -86.632432938429 36.177276883521, -86.632377999745 36.177294999465, -86.631848597635 36.177415773919, -86.631531999402 36.177487999372, -86.62958699964 36.177842999555, -86.629421826556 36.177867733609, -86.628289760864 36.178037250419, -86.6278440002 36.1781039999, -86.627717637359 36.178142440521, -86.62722599958 36.178291999576, -86.626910980557 36.178445306106, -86.626588999882 36.178602000382, -86.626253784784 36.178845485531, -86.626091999446 36.178962999943, -86.625639999286 36.179416000148, -86.625636908317 36.179419812374, -86.624984759539 36.180223861142, -86.623640903505 36.18188073251, -86.622878522126 36.182820690423, -86.622712000059 36.18302600025, -86.622409999622 36.183318000226, -86.622226009123 36.183467401, -86.622159999784 36.183520999694, -86.621618607912 36.183861907501, -86.621519999049 36.183924000292, -86.621067192197 36.184132137588, -86.62098699965 36.184168999899, -86.620400999606 36.184369000129, -86.613393746624 36.186422785483, -86.613223700114 36.186472624112, -86.609490764487 36.187566725824, -86.60930899981 36.187619999863, -86.608943221253 36.187763661164, -86.608619000367 36.18789099977, -86.608425786421 36.187991936079, -86.607972000208 36.188229000068, -86.607481999195 36.18855599986, -86.607372079558 36.188644931119, -86.60697400005 36.188966999927, -86.605846174661 36.18992593983))","1.97249434","TN","037","47037","NERR",,,"NRTX",,,,,,,,,,"NASHVILLE (NERR)","M","C","3174.42827342","0.033641147055141964","422671","422747","3","452778","US","2820","47",,"1"
"MULTILINESTRING ((-70.95960279913 42.456349279096, -70.958582869903 42.456824702998, -70.957401424236 42.457375413644, -70.956972494385 42.45757535362, -70.956446302855 42.457820629319, -70.955063172527 42.458465352394, -70.954173701655 42.458879965038, -70.95284007451 42.459501614208, -70.950871999943 42.460419000037, -70.949831351236 42.460892966138, -70.949468999994 42.461057999827, -70.949383350361 42.461094139083, -70.947937999539 42.46170399994, -70.947252156762 42.46202144983, -70.945784000032 42.462701000051, -70.945627987442 42.46277740915))","0.83854852","MA","009","25009","MBTA",,,"ST",,,,,,,,,,"(MBTA) CONCURRENT","M","C","1349.51572685","0.015383369340567823","495184","495191","1","377094","US","1115","25",,"2"
