"the_geom","fraarcid","miles","stateab","cntyfips","stcntyfips","fraregion","rrowner1","rrowner2","rrowner3","trkrghts1","trkrghts2","trkrghts3","trkrghts4","trkrghts5","trkrghts6","trkrghts7","trkrghts8","trkrghts9","stracnet","subdiv","frfranode","tofranode","net","passngr","objectid","shape_stlength","country","stfips","tracks","carddirect","km","timezone","im_rt_type","ds"
"MULTILINESTRING ((-80.258243298 25.855115294, -80.258249559 25.855273033, -80.258253299 25.855367294))","471475","0.01719486","FL","086","12086","3","CSXT",,,"AMTK",,,,,,,,,"S",,"458874","458873","M","A","21490","0.00025219837435622422","US","12","1",,"0.02767251","E","DS","CSXT-3"
"MULTILINESTRING ((-87.293036535 30.577358841, -87.294378436 30.5799285, -87.294502125 30.580165357, -87.294835614 30.580781892, -87.294978125 30.581045357, -87.295098945 30.581234532, -87.295345983 30.581621336, -87.295457125 30.581795356, -87.2957428 30.582173436, -87.295862125 30.582331356, -87.295964748 30.582449958, -87.296318125 30.582858357, -87.296322438 30.582862676, -87.296627057 30.583167801, -87.296921124 30.583462356, -87.296936224 30.583475259, -87.297609959 30.584050985, -87.298012181 30.584394695, -87.298771025 30.585043147, -87.300366174 30.586406247, -87.30256621 30.588286239, -87.304214605 30.589694838, -87.30521527 30.590549933, -87.305932419 30.591162758, -87.306043122 30.591257355, -87.30641902 30.591604671, -87.306477121 30.591658355, -87.306832646 30.592024654, -87.306939122 30.592134355, -87.307117924 30.592339466, -87.307306121 30.592555355, -87.307453353 30.592743366, -87.307649121 30.592993355, -87.307863878 30.593310543, -87.308322121 30.593987355, -87.311817512 30.599435911, -87.313238453 30.601650849, -87.313500884 30.602059924))","471745","2.11693234","FL","033","12033","3","CSXT",,,"AGR",,,,,,,,,"S","PD","418117","417980","M",,"21555","0.032437987354675221","US","12","1",,"3.40687917","C","DS","CSXT-3"
"MULTILINESTRING ((-99.656019636 40.757161928, -99.633587071 40.752215069, -99.632447962 40.75198278, -99.630851374 40.751657202, -99.629444656 40.751370343, -99.628639074 40.751206069, -99.627745613 40.751008886, -99.627300656 40.750910687, -99.626314742 40.750693102))","355728","1.60981153","NE","047","31047","6","UP",,,,,,,,,,,,"S","KEARNEY","350000","350053","M",,"7868","0.030401625032269747","US","31","3",,"2.59074572","C","DS","UP-DS"
"MULTILINESTRING ((-96.323442651 41.304538643, -96.317336444 41.301654139, -96.313345253 41.299768744, -96.311340939 41.298821929, -96.308138601 41.297309179, -96.305713874 41.296163765, -96.304691482 41.295673586, -96.299243877 41.293061766, -96.297147542 41.292070784, -96.293881141 41.290526688, -96.291971348 41.289623888, -96.290697622 41.289021771, -96.28946434 41.288438772))","359191","2.08136075","NE","055","31055","6","UP",,,,,,,,,,,,"S","OMAHA (UP)","364432","364501","M",,"8338","0.037599713641571934","US","31","2",,"3.34963213","C","DS","UP-DS"
"MULTILINESTRING ((-98.824855033 40.755230906, -98.82136843 40.756184939, -98.819943733 40.756574777, -98.819783321 40.756618669))","354217","0.28099001","NE","019","31019","6","UP",,,,,,,,,,,,"S","KEARNEY","351461","351468","M",,"7671","0.0052581506972195534","US","31","2",,"0.4522105","C","DS","UP-DS"
"MULTILINESTRING ((-94.567269698 39.114329847, -94.56813701 39.11418648, -94.568472567 39.114131013, -94.568528613 39.114129319, -94.568803567 39.114121013, -94.568880121 39.114129806, -94.569099567 39.114155013, -94.569539158 39.114281499, -94.56993786 39.114355332, -94.570187567 39.114393012, -94.57069233 39.114435391, -94.570723566 39.114438013, -94.571065566 39.114479013, -94.571763771 39.114409423))","360753","0.24407719","MO","095","29095","6","KCTL",,,"MNA","UP",,,,,,,,"S","KC METRO-B","375108","375057","M",,"8544","0.0045477282687636338","US","29","1",,"0.39280495","C",,
"MULTILINESTRING ((-80.752364728 37.650789312, -80.750993204 37.650406224, -80.750550643 37.65028261, -80.749927791 37.650074577, -80.749653468 37.649982952, -80.749468113 37.649921043, -80.748556644 37.64961661, -80.746944019 37.64898936, -80.74672809 37.648905371, -80.746291644 37.64873561, -80.746040217 37.648626478, -80.745602029 37.648436283, -80.744987646 37.64816961, -80.743860291 37.6476463, -80.741538647 37.64656861, -80.740786378 37.646250549, -80.740696647 37.646212611, -80.740025647 37.645967611, -80.73959731 37.645835134, -80.739249647 37.64572761, -80.73824013 37.645491154, -80.73804957 37.645446519, -80.737981648 37.64543061, -80.737972027 37.645429401, -80.737232392 37.645336496, -80.737161648 37.64532761, -80.736505583 37.645307679, -80.736371648 37.64530361, -80.735898627 37.645333712, -80.735601648 37.64535261, -80.735081524 37.645433835, -80.734871649 37.64546661, -80.734641927 37.645525242, -80.734565468 37.645544757, -80.734524942 37.645555102, -80.734154648 37.64564961, -80.733919859 37.645733169, -80.73384618 37.64575939, -80.733626583 37.645837541, -80.733415649 37.64591261, -80.733255006 37.645989966, -80.732765649 37.64622561, -80.732665435 37.646286962, -80.732263157 37.646533241, -80.732159649 37.64659661, -80.731911894 37.646779707, -80.731798947 37.646863177, -80.731749649 37.64689961, -80.73146391 37.647139345, -80.731308649 37.64726961, -80.73089165 37.64767061, -80.730776528 37.647796409, -80.730711709 37.64786724, -80.73061875 37.647968821, -80.730546649 37.648047609, -80.730377567 37.648260251, -80.730230273 37.64844549, -80.730185649 37.64850161, -80.729895649 37.648922609, -80.72981355 37.649062526, -80.729611649 37.649406609, -80.729555919 37.649521922, -80.729484452 37.649669795, -80.729365651 37.649915609, -80.729177649 37.650394609, -80.72913762 37.650521899, -80.72903865 37.650836609, -80.728930649 37.651302609, -80.728902298 37.651490443, -80.728842651 37.651885608, -80.728838069 37.651952865, -80.72881765 37.652252608, -80.728818343 37.652312184, -80.728818909 37.652360878, -80.72882465 37.652854609, -80.728841574 37.653030897, -80.72887265 37.653354608, -80.728938269 37.653722221, -80.728960649 37.653847608, -80.729117364 37.654438589, -80.729126649 37.654473609, -80.729324179 37.654987743, -80.72940865 37.655207608, -80.729660586 37.655691512, -80.729736649 37.655837608, -80.73010995 37.656402471, -80.730192649 37.656527608, -80.730683136 37.657116861, -80.730778649 37.657231607, -80.731225941 37.657715979, -80.731846661 37.658388155, -80.732479146 37.659073072, -80.733099205 37.659744532, -80.734218329 37.660956429, -80.734602648 37.661372607, -80.734863052 37.661698502, -80.735103648 37.661999607, -80.735356793 37.66237526, -80.735570647 37.662692607, -80.735767647 37.663030607, -80.735789081 37.663072968, -80.736107647 37.663702606, -80.736211355 37.663946292, -80.736290647 37.664132607, -80.736490387 37.664684828, -80.736494647 37.664696606, -80.73652198 37.664790647, -80.736569521 37.664954215, -80.736637647 37.665188606, -80.736727586 37.665591305, -80.736748647 37.665685606, -80.736833647 37.666205606, -80.736839778 37.666268683, -80.736880669 37.666689393, -80.736885646 37.666740606, -80.736893507 37.666967343, -80.736904646 37.667288606, -80.736900063 37.667432968, -80.736888647 37.667792606, -80.736838646 37.668327606, -80.736826524 37.668404008, -80.736802439 37.668555792, -80.736780366 37.668694906, -80.736752647 37.668869605, -80.736645065 37.669342028, -80.736614646 37.669475605, -80.736482647 37.669915606, -80.736434403 37.670048208, -80.736299647 37.670418605, -80.736095321 37.670878943, -80.736046646 37.670988605, -80.735775647 37.671520605, -80.735694342 37.671657308, -80.735526359 37.671939747, -80.735480647 37.672016605, -80.735296069 37.67228899, -80.735171647 37.672472605, -80.734817279 37.672933092, -80.734797647 37.672958605, -80.7347369 37.673028709, -80.734427646 37.673385605, -80.734418677 37.673394973, -80.734165556 37.673659343, -80.733977646 37.673855605, -80.733829157 37.673995274, -80.733472648 37.674330604, -80.733260147 37.674512026, -80.733130716 37.674622528, -80.732925647 37.674797604, -80.732911501 37.674808081, -80.732809821 37.674883386, -80.732564345 37.675065187, -80.732426753 37.67516709, -80.732273136 37.67528086, -80.731807647 37.675625604, -80.731355907 37.675905253, -80.73096401 37.676147855, -80.730715647 37.676301604, -80.730390724 37.676468574, -80.729928237 37.676706237, -80.729644943 37.676851815, -80.729454648 37.676949603, -80.728916966 37.677174276, -80.728442449 37.677372553, -80.728290302 37.677436127, -80.728188648 37.677478604, -80.727630086 37.677662148, -80.727335453 37.677758963, -80.727077442 37.677843746, -80.726709649 37.677964603, -80.726594644 37.677994884, -80.726181651 37.67810362, -80.725919649 37.678172604, -80.725371955 37.678290864, -80.725178649 37.678332603, -80.724876737 37.678381937, -80.724219769 37.678489287, -80.724148214 37.678500979, -80.72369765 37.678574603, -80.723342369 37.678613427, -80.722910651 37.678660603, -80.722373573 37.678696281, -80.722067651 37.678716603, -80.721645866 37.678723316, -80.720936651 37.678734603, -80.72052396 37.678722812, -80.720418222 37.678719791, -80.719886651 37.678704603, -80.719812779 37.678698656, -80.719787935 37.678696656, -80.719769538 37.678695174, -80.718963181 37.678630256, -80.717526651 37.678514603, -80.717084382 37.678461512, -80.715694857 37.678294712))","404070","4.40697921","WV","089","54089","2","CSXT",,,"AMTK",,,,,,,,,"S","ALLEGHANY","455759","455899","M","A","13892","0.072811308273807801","US","54","1",,"7.09235974","E",,
"MULTILINESTRING ((-94.509772058 37.090298247, -94.509139192 37.089280615, -94.508660325 37.088513239, -94.508420477 37.088065609))","356037","0.17218843","MO","097","29097","6","KCS",,,,,,,,,,,,"S","HEAVENER","375574","375587","M",,"7911","0.0026107425142571396","US","29","1",,"0.27711097","C",,
"MULTILINESTRING ((-111.912154958 40.768421946, -111.912198163 40.76845795, -111.912426664 40.76862325, -111.912525533 40.768672156, -111.912723259 40.768769962, -111.913042578 40.768913698, -111.913114258 40.768945962, -111.913440259 40.769051963, -111.913635765 40.76909743, -111.913784259 40.769131963, -111.913841112 40.769139964, -111.91392534 40.769151816, -111.914226788 40.769194238, -111.914253259 40.769197962, -111.915243012 40.769240996, -111.915495258 40.769251963, -111.916718937 40.769253638))","328267","0.25257898","UT","035","49035","7","UP",,,"AMTK","BNSF","UTAH",,,,,,,"S","PROVO","333696","333671","M","A","3764","0.0047343996444763328","US","49","1",,"0.40648729","M",,
"MULTILINESTRING ((-116.536123179 33.891361362, -116.535972193 33.89131323, -116.535882996 33.891284794, -116.53552312 33.891170067, -116.531114939 33.889603499, -116.53103212 33.889574065, -116.530063855 33.889157115, -116.52970612 33.889003065, -116.529306505 33.888803988, -116.528885121 33.888594065, -116.528214639 33.888218785, -116.52803112 33.888116065, -116.525921739 33.886855761, -116.525533701 33.886623909, -116.523556654 33.885442593, -116.518761026 33.88260939, -116.515245118 33.880531994, -116.512413757 33.878858922, -116.512170028 33.878714896))","329570","1.63093541","CA","065","06065","7","UP",,,"AMTK",,,,,,,,,"S","YUMA","327327","327364","M","A","3958","0.02717354734329706","US","06","2",,"2.62474137","P","DS","UP-DS"
"MULTILINESTRING ((-76.692061013 43.056018274, -76.691347601 43.056016201, -76.68763153 43.056005403, -76.668159473 43.055886907, -76.662617771 43.055853184, -76.662347901 43.055851543, -76.647698803 43.055762396, -76.643755544 43.0557384, -76.641133545 43.055715401, -76.640797151 43.055703791, -76.640428936 43.055691082, -76.640032545 43.055677401, -76.639975155 43.055672616, -76.638731919 43.05556895, -76.638377545 43.055539401, -76.638356614 43.055536213, -76.637956102 43.055475219, -76.637610249 43.05542255, -76.636847546 43.0553064, -76.636408269 43.055224139, -76.635808494 43.055111821, -76.635512547 43.055056401, -76.633196322 43.05456965, -76.632235066 43.054367644, -76.631203946 43.054150957, -76.630644548 43.0540334, -76.626599582 43.053142761, -76.623452628 43.05244985))","383380","3.48515515","NY","011","36011","1","CSXT",,,"AMTK",,,,,,,,,"S","ROCHESTER","478227","478484","M","A","11141","0.068935165390876366","US","36","2",,"5.60882474","E","DS","CSXT-3"
"MULTILINESTRING ((-74.186868157 40.710458424, -74.186429225 40.71119719))","380842","0.05626236","NJ","013","34013","1","CSAO",,,"CSXT","NS",,,,,,,,"C","PASSAIC AND HARSIMUS LINE","487924","487930","M",,"10782","0.00085932328218978732","US","34","2",,"0.09054566","E",,
"MULTILINESTRING ((-94.790729573 46.353543506, -94.790612612 46.353522922, -94.790088424 46.353406248, -94.789992613 46.353384922, -94.789455547 46.353217919, -94.789426612 46.353208922, -94.788999976 46.353012633, -94.788950613 46.352989922, -94.788606613 46.352796922, -94.788478519 46.352705637, -94.788171613 46.352486922, -94.78812191 46.352441596, -94.787853614 46.352196922, -94.787010821 46.35137296, -94.78653043 46.3509033, -94.786245312 46.350624554))","510930","0.30322484","MN","153","27153","4","BNSF",,,"AMTK",,,,,,,,,"S","STAPLES","373358","373398","M","A","25535","0.0054788189617532602","US","27","2",,"0.48799405","C","DS","BN-DS"
"MULTILINESTRING ((-108.725782383 39.151117336, -108.723430996 39.149919248, -108.722398825 39.149393332, -108.722186978 39.149283675, -108.721076619 39.148708929, -108.720645539 39.148485793, -108.720315201 39.148316523, -108.718808121 39.147544273, -108.716457732 39.146339898, -108.711955674 39.144032977, -108.707070852 39.141529921, -108.706602326 39.141289841, -108.70651153 39.141243317))","368630","1.23459555","CO","077","08077","6","UP",,,"AMTK","BNSF","UTAH",,,,,,,"S","GREEN RIVER","336830","336861","M","A","9587","0.021653248770333894","US","08","1",,"1.98689292","M","DS","UP-DS"
"MULTILINESTRING ((-87.383280622 39.858291811, -87.383951511 39.85495249, -87.384237209 39.853509065, -87.384542911 39.851964584))","494362","0.4455379","IN","165","18165","4","CSXT",,,"INRD",,,,,,,,,"S","CED","417118","417107","M",,"24473","0.0064519190892629542","US","18","1",,"0.71702519","E","DS","CSXT-3"
"MULTILINESTRING ((-80.494261999 40.840721988, -80.493984528 40.840761302, -80.493500546 40.840829875, -80.49072237 40.841223502, -80.489754169 40.841360683, -80.489486874 40.841398555, -80.4889475 40.841474975, -80.488656398 40.841504602, -80.488495444 40.841520984, -80.488178842 40.841553206, -80.4878765 40.841583975, -80.487652329 40.841581309, -80.487176951 40.841575655, -80.487147898 40.841575309, -80.486924176 40.841572648, -80.486809893 40.841571289, -80.486783501 40.841570975, -80.486461144 40.841536146, -80.485947012 40.841480597, -80.483938861 40.841263627, -80.483835957 40.841252509, -80.483377502 40.841202975, -80.483337926 40.841201891, -80.482745096 40.841185661, -80.482725869 40.841185135, -80.482683503 40.841183975, -80.482449197 40.841195047, -80.482345447 40.84119995, -80.482027502 40.841214975, -80.48177777 40.841250471, -80.481092133 40.841347924, -80.480641503 40.841411975, -80.479379497 40.841629675, -80.478716499 40.841744044, -80.478494805 40.841782287, -80.475874233 40.842234343, -80.475615504 40.842278975, -80.475344189 40.842336268, -80.47530609 40.842344314, -80.474881504 40.842433974, -80.474840447 40.842445465, -80.47453464 40.842531045, -80.474345504 40.842583975, -80.474121103 40.842664961, -80.473813505 40.842775974, -80.473639753 40.842853344, -80.473283505 40.843011974, -80.473249673 40.843029869, -80.473137044 40.843089439, -80.473038352 40.843141638, -80.472931387 40.843198214, -80.471863893 40.843762822, -80.471640505 40.843880974, -80.46969712 40.844944421, -80.468195093 40.845766349, -80.467267201 40.846274104, -80.467029578 40.846404135, -80.465594525 40.847189414, -80.465540507 40.847218973, -80.465536684 40.847221578, -80.465043999 40.847557357, -80.464912507 40.847646973, -80.464842965 40.847710103, -80.464688029 40.847850749, -80.464510341 40.84801205, -80.464473574 40.848045426, -80.464359507 40.848148973, -80.464226475 40.848308303, -80.464027341 40.8485468, -80.463939098 40.848652486, -80.463929507 40.848663973, -80.463889542 40.848719435, -80.463530737 40.849217376, -80.463515777 40.849238135, -80.4631177 40.849790577, -80.462861055 40.850146742, -80.462784507 40.850252973, -80.46258413 40.85046667, -80.462457534 40.850601685, -80.462423508 40.850637972, -80.462364586 40.850686084, -80.462280888 40.850754429, -80.462082765 40.850916207, -80.461976508 40.851002972, -80.461960128 40.85101297, -80.461939812 40.851025367, -80.461551416 40.851262404, -80.461407001 40.851350539, -80.46111198 40.851530589, -80.461024508 40.851583973, -80.460843372 40.8516832, -80.460827077 40.851692128, -80.460775952 40.851720135, -80.460461592 40.851892344))","395698","2.03875939","PA","007","42007","2","NS",,,"AMTK",,,,,,,,,"S","FORT WAYNE LINE","457147","457287","M","A","12781","0.03707724515478205","US","42","2",,"3.28107175","E","DS","NS-DS"
"MULTILINESTRING ((-102.542533134 31.753532625, -102.540882911 31.754386021))","442141","0.11333001","TX","135","48135","5","UP",,,,,,,,,,,,"S","TOYAH","345070","345073","M",,"17302","0.0018578268709549821","US","48","1",,"0.18238733","C","DS","UP-DS"
"MULTILINESTRING ((-86.788413041 33.578190635, -86.78845514 33.578826486, -86.788524919 33.579880395, -86.788543481 33.580160749))","474641","0.13693882","AL","073","01073","3","CSXT",,,,,,,,,,,,"S","BOYLES TERMINAL","421572","421567","M",,"21868","0.0019744274528751935","US","01","2",,"0.22038211","C","DS","CSXT-3"
"MULTILINESTRING ((-121.226793773 37.93854114, -121.222613857 37.936048842, -121.222094409 37.935739096, -121.219957796 37.93446498, -121.217181339 37.932809821, -121.217111544 37.932768211))","341812","0.66027745","CA","077","06077","7","BNSF",,,"AMTK","UP",,,,,,,,"S","STOCKTON","314291","314306","M","A","5861","0.011272633586468182","US","06","2",,"1.06261568","P","DS","BN-DS"
"MULTILINESTRING ((-100.090195646 29.241996155, -100.090160086 29.24200405, -100.089944502 29.242051912, -100.089939 29.242053135, -100.089564525 29.242136273, -100.085148854 29.243116622))","440793","0.3146199","TX","463","48463","5","UP",,,"AMTK","BNSF",,,,,,,,"S","DEL RIO","349479","349483","M","A","16846","0.0051696765654769038","US","48","1",,"0.50633266","C","DS","UP-DS"
"MULTILINESTRING ((-76.098586347 43.073977276, -76.09757643 43.073376955, -76.094147274 43.071338573, -76.093046721 43.070684376, -76.092969877 43.070640377, -76.09260546 43.070431727, -76.09228872 43.070250375, -76.091940251 43.070071256, -76.091432721 43.069810376, -76.091190094 43.069698917))","381932","0.47640873","NY","067","36067","1","CSXT",,,"AMTK","NYSW",,,,,,,,"S","MOHAWK","480854","480863","M","A","10932","0.0085473476949402046","US","36","4",,"0.76670706","E","DS","CSXT-3"
