"year","month","gasoline","special_fuel"
"2008","December","11474401253","3203983004"
"2009","January","11005637582","2800364201"
"2009","February","10402648493","2610528661"
"2009","March","11388787449","3043791841"
"2009","April","11366816578","2880580218"
"2009","May","11909992047","2833710480"
"2009","June","11679679712","3085490026"
"2009","July","12043792661","2904806320"
"2009","August","11856420726","2913838325"
"2009","September","11341512563","3162875592"
"2009","October","11555813709","3038354305"
"2009","November","11158879986","2859857190"
"2009","December","11272890642","3149423123"
"2010","January","10642872752","2706537974"
"2010","February","10325708393","2700018751"
"2010","March","11375310785","3194256087"
"2010","April","11325240139","2945602835"
"2010","May","11931145955","3052601661"
"2010","June","11945579380","3347729857"
"2010","July","12215021586","3029574715"
"2010","August","12204948913","3116320580"
"2010","September","11338648641","3228842617"
"2010","October","11776783329","3102579692"
"2010","November","11237407182","3008402416"
"2010","December","11595399489","3217998130"
"2011","January","10752802204","2833263002"
"2011","February","10287619215","2694996861"
"2011","March","11308073863","3307251025"
"2011","April","11033812621","2948732593"
"2011","May","11594968076","3063720002"
"2011","June","11708386318","3440411934"
"2011","July","11728457553","2944058691"
"2011","August","11844015149","3265215565"
"2011","September","11319384462","3380518399"
"2011","October","11295758130","3068902187"
"2011","November","11142657420","3010884973"
"2011","December","11321257026","3259095307"
"2012","January","10807965113","2883422243"
"2012","February","10597552811","2914843608"
"2012","March","11173860953","3173904271"
"2012","April","11118073992","2976309507"
"2012","May","11633747726","3170389077"
"2012","June","11616503657","3332196098"
"2012","July","11586661635","3002296167"
"2012","August","12004593899","3211436089"
"2012","September","11076499150","3243946651"
"2012","October","11398913370","3243467000"
"2012","November","11017489932","3114328266"
"2012","December","11102287591","3144142074"
"2013","January","10718372455","2911816773"
"2013","February","10097194634","2829519660"
"2013","March","11334239521","3193346797"
"2013","April","11221725666","3104265355"
"2013","May","11553013526","3112497198"
"2013","June","11880089462","3396647860"
"2013","July","11619631185","3189039818"
"2013","August","11902529933","3208500512"
"2013","September","11285335765","3395547094"
"2013","October","11570569022","3363340083"
"2013","November","11310467288","3171781194"
"2013","December","11263754131","3348995888"
"2014","January","10847197011","3078616300"
"2014","February","10109021536","2909833484"
"2014","March","11453375173","3371145968"
"2014","April","11194895704","3159200921"
"2014","May","11856942286","3334913276"
"2014","June","11983460575","3498800487"
"2014","July","12042038241","3319691798"
"2014","August","11980281697","3275617078"
"2014","September","11503586569","3524130410"
"2014","October","11770690625","3416870093"
"2014","November","11433636013","3203312423"
"2014","December","11778554034","3618548736"
"2015","January","11198458313","3186540175"
"2015","February","10471235515","3026853507"
"2015","March","11630093498","3562215927"
"2015","April","11657066465","3277648902"
"2015","May","11967930292","3242993647"
"2015","June","12257901849","3514884303"
"2015","July","12452093111","3445859481"
"2015","August","12528926500","3512011414"
"2015","September","11836696732","3517167830"
"2015","October","12217915197","3483097181"
"2015","November","11403098103","3201213088"
"2015","December","11894025552","3619909682"
"2016","January","11383187064","3112460151"
"2016","February","11223357354","3104918595"
"2016","March","12012308791","3512030254"
"2016","April","11856108794","3269830208"
"2016","May","12379592723","3336628882"
"2016","June","12524546375","3779344374"
"2016","July","12296238108","3254800163"
"2016","August","12632451820","3495337106"
"2016","September","12097091882","3794901824"
"2016","October","12402317650","3610994354"
"2016","November","11980548968","3531769998"
"2016","December","12110314995","3579698550"
