"description","zip_code_1"
"Burglary - Residence","64128"
"Possession/Sale/Dist","64108"
"Property Damage","64130"
"Intimidation","64154"
"Non Agg Assault Dome","64131"
"Property Damage","64123"
"Auto Theft","64116"
"Armed Robbery","64124"
"Stealing All Other","64132"
"Trespassing","64123"
"Liquor Law Violaton",
"Fraud/Confidence Gam","64151"
"Stealing Auto Parts/","64158"
"Property Damage","64120"
"Aggravated Assault (","64138"
"Auto Theft","64106"
"Armed Robbery","64110"
"Property Damage","64109"
"Stealing All Other","64155"
"Trespassing","64128"
"Stealing From Auto","64130"
"Disorderly Conduct","64130"
"Misc Violation","64109"
"Non Aggravated Assau","64108"
"Property Damage","64110"
"Stealing All Other","64155"
"Resisting an Officer","64105"
"Possession/Sale/Dist","64128"
"Possession/Sale/Dist","64127"
"Property Damage","64119"
"Trespassing","64124"
"Property Damage","64126"
"Resisting an Officer","64109"
"Non Aggravated Assau","64134"
"Non Aggravated Assau","64130"
"Armed Robbery","64110"
"Arson","64120"
"Burglary - Residence","64110"
"Property Damage","64129"
"Non Agg Assault Dome","64118"
"Possession/Sale/Dist","64127"
"Misc Violation","64138"
"Stealing Auto Parts/","64117"
"Auto Theft","64111"
"Armed Robbery","64120"
"Stealing All Other",
"Auto Theft","64114"
"Possession of Drug E","64123"
"Stealing From Auto","64155"
"Possession/Sale/Dist","64127"
"Possession/Sale/Dist","64111"
"Auto Theft","64109"
"Forcible Sodomy","64137"
"Misc Violation","64110"
"Non Agg Assault Dome","64127"
"Stealing Shoplifting","64119"
"Property Damage","64131"
"Property Damage","64116"
"Property Damage","64114"
"Misc Violation","64153"
"Non Aggravated Assau","64108"
"Burglary - Residence","64132"
"Misc Violation","64134"
"Possession of Drug E","64126"
"Burglary - Non Resid","64131"
"Stealing Shoplifting","64114"
"Misc Violation","64106"
"Stealing Shoplifting","64154"
"Burglary - Residence","64128"
"Statutory Rape","64111"
"Arson","64130"
"Trespassing","64124"
"Strong Arm Robbery","64119"
"Non Aggravated Assau","64108"
"Stealing From Auto","64129"
"Armed Robbery","64118"
"Impersonation","64123"
"Stealing from Buildi","64114"
"Stealing from Buildi","64111"
"Stealing From Auto","64118"
"Stealing from Buildi","64118"
"Stealing Shoplifting","64133"
"Property Damage","64111"
"Auto Theft","64111"
"Burglary - Residence","64123"
"Property Damage","64131"
"Burglary - Residence","64151"
"False Information to","64105"
"Possession of Drug E","64134"
"Burglary - Residence","64127"
"Auto Theft","64129"
"Stealing Auto Parts/","64106"
"Stealing Shoplifting","64114"
"Misc Violation","64131"
"Strong Arm Robbery","64127"
"Weapons Law Violatio","64127"
"Burglary - Residence","64124"
"Stealing from Buildi","64130"
"Embezzlement","64130"
"Burglary - Residence","64127"
"Possession of Drug E","64128"
"Failure to Return","64153"
"Auto Theft","64130"
"Auto Theft","64118"
"Property Damage","64130"
"Auto Theft","64132"
"Stealing from Buildi","64108"
"Property Damage","64136"
"Trespassing","64106"
"Stealing All Other","64134"
"Auto Theft Outside S","64127"
"Auto Theft","64130"
"Aggravated Assault (","64132"
"Non Agg Assault Dome","64124"
"Non Agg Assault Dome","64134"
"Stealing Shoplifting","64137"
"Stealing Shoplifting","64111"
"Property Damage","64110"
"Property Damage","64118"
"Aggravated Assault (","64128"
"Possession/Sale/Dist","64116"
"Impersonation","64132"
"Loitering","64124"
"Armed Robbery","64106"
"Resisting an Officer","64126"
"Stealing From Auto","64161"
"Stealing All Other","64110"
"Stealing Shoplifting","64133"
"Rape","64124"
"Stealing Auto Parts/","64151"
"Misc Violation","64154"
"Stealing Auto Parts/","64120"
"Property Damage","64130"
"Stealing Auto Parts/","64129"
"Aggravated Assault (","64108"
"Burglary - Residence","64109"
"Non Aggravated Assau","64131"
"Misc Violation","64126"
"Armed Robbery","64111"
"Auto Theft Outside S","64105"
"Non Agg Assault Dome","64134"
"Intimidation","64128"
"Non Agg Assault Dome","64109"
"Liquor Law Violaton","64106"
"Property Damage","64108"
"Non Agg Assault Dome","64134"
"Property Damage","64127"
"Property Damage","64116"
"Misc Violation","64106"
"Disorderly Conduct","64108"
"Burglary - Residence","64114"
"Aggravated Assault (","64116"
"Trespassing","64127"
"Stealing Auto Parts/","64130"
"Armed Robbery","64119"
"Driving Under Influe","64132"
"Stealing From Auto","64134"
"Auto Theft","64111"
"Stealing From Auto","64130"
"Strong Arm Robbery","64132"
"Property Damage","64154"
"Auto Theft","64117"
"Stealing Shoplifting","64134"
"False Information to","64110"
"Property Damage","64128"
"Arson","64126"
"Stealing Auto Parts/","64116"
"Property Damage","64130"
"Property Damage","64124"
"Armed Robbery","64119"
"Misc Violation","64128"
"Non Aggravated Assau","64106"
"Non Aggravated Assau","64114"
"Property Damage","64151"
"Stealing All Other","64154"
"Non Aggravated Assau","64114"
"Stealing Auto Parts/","64111"
"Stealing Auto Parts/","64127"
"Non Agg Assault Dome","64134"
"Stealing All Other","64127"
"Resisting an Officer","64123"
"Auto Theft","64106"
"Non Agg Assault Dome","64111"
"Aggravated Assault (","64123"
"Stealing From Auto","64132"
"Stealing From Auto","64156"
"Property Damage","64119"
"Possession of Drug E","64131"
"Strong Arm Robbery","64106"
"Burglary - Residence","64124"
"Stealing Auto Parts/","64127"
"Non Aggravated Assau","64102"
"Stealing All Other","64124"
"Property Damage","64130"
"Strong Arm Robbery","64127"
"Impersonation","64106"
"Stealing Shoplifting","64111"
"Non Aggravated Assau","64111"
"Stealing Auto Parts/","64126"
"Aggravated Assault (","64134"
"Possession/Sale/Dist","64124"
"Stealing Auto Parts/","64116"
"Violation Full Order","64151"
"Stealing From Auto","64156"
"Stealing From Auto","64111"
"Stealing from Buildi","64116"
"Stealing from Buildi","64127"
"Stealing from Buildi","64124"
"Misc Violation","64124"
"Forcible Sodomy","64129"
"Non Agg Assault Dome","64127"
"Stealing All Other","64114"
"Aggravated Assault (","64127"
"Auto Theft Outside S","64124"
"Non Agg Assault Dome","64130"
"Misc Violation","64130"
"Non Aggravated Assau","64106"
"Stealing from Buildi","64111"
"Aggravated Assault (","64127"
"Property Damage","64134"
"Stealing From Auto","64016"
"Weapons Law Violatio","64123"
"Possession/Sale/Dist","64132"
"Aggravated Assault (",
"Forcible Sodomy","64116"
"Property Damage","64113"
"Property Damage","64138"
"Auto Theft","64127"
"Misc Violation","64151"
"Stealing from Buildi","64154"
"Strong Arm Robbery","64125"
"Stealing Shoplifting","64130"
"Stealing From Auto","64110"
"Stealing From Auto","64138"
"Trespassing","64108"
"Armed Robbery","64109"
"Auto Theft","64130"
"Burglary - Non Resid","64134"
"Stealing All Other","64134"
"Auto Theft","64111"
"Aggravated Assault (","64128"
"Auto Theft Outside S","64129"
"Aggravated Assault (","64127"
"Stealing All Other","64145"
"Non Agg Assault Dome","64157"
"Stealing From Auto","64105"
"Stealing Auto Parts/","64109"
"Fraud/Confidence Gam","64111"
"Burglary - Residence","64127"
"Aggravated Assault (","64118"
"Weapons Law Violatio","64106"
"Possession of Drug E","64132"
"Aggravated Assault (","64131"
"Non Agg Assault Dome","64134"
"Stealing From Auto","64137"
"Stealing from Buildi","64151"
"Non Agg Assault Dome","64152"
"Non Aggravated Assau","64105"
"Auto Theft","64129"
"Resisting an Officer","64109"
"Aggravated Assault (","64127"
"Auto Theft","64129"
"Stealing Shoplifting","64154"
"Stealing Auto Parts/","64117"
"Burglary - Non Resid","64130"
"Non Agg Assault Dome","64118"
"Stealing From Auto",
"Property Damage","64109"
"Burglary - Residence","64123"
"Wire Fraud","64118"
"Stealing Auto Parts/","64114"
"Agg Assault - Domest","64127"
"Agg Assault - Domest","64126"
"Disorderly Conduct","64111"
"Non Agg Assault Dome","64151"
"Property Damage","64118"
"Stealing Auto Parts/","64110"
"Non Aggravated Assau","64108"
"Burglary - Residence","64132"
"Property Damage","64133"
"Aggravated Assault (","64134"
"Auto Theft","64111"
"Non Aggravated Assau","64117"
"Burglary - Residence","64110"
"Possession/Sale/Dist","64127"
"Non Agg Assault Dome","64152"
"Auto Theft","64113"
"Aggravated Assault (","64123"
"Non Aggravated Assau","64111"
"False Information to","64154"
"Non Agg Assault Dome","64126"
"Property Damage","64133"
"Possession of Drug E","64119"
"Trespassing","64130"
"Burglary - Non Resid","64131"
"Non Aggravated Assau","64134"
"Stealing From Auto","64152"
"Stealing All Other","64133"
"Burglary - Residence","64114"
"Burglary - Residence","64132"
"Possession/Sale/Dist","64118"
"Non Agg Assault Dome","64116"
"Trespassing","64106"
"Non Aggravated Assau","64132"
"Stealing from Buildi","64110"
"Stealing From Auto","64131"
"Misc Violation","64152"
"Stealing All Other","64137"
"Fraud/Confidence Gam","64124"
"Non Agg Assault Dome","64105"
"Burglary - Residence","64127"
"Stealing From Auto","64157"
"Stealing from Buildi","64111"
"Stealing All Other","64106"
"Armed Robbery","64106"
"Stealing From Auto","64110"
"Forged Checks","64153"
"Non Aggravated Assau","64132"
"Auto Theft",
"Attempt Suicide by C","64127"
"Non Agg Assault Dome","64124"
"Property Damage","64154"
"Wire Fraud","64117"
"Possession of Drug E","64129"
"Credit/Debit/ATM Car","64109"
"Misc Violation","64106"
"Fraud/Confidence Gam","64130"
"Armed Robbery","64130"
"Non Agg Assault Dome","64134"
"Stealing From Auto","64158"
"Strong Arm Robbery","64111"
"Property Damage","64128"
"Stealing from Buildi","64105"
"Impersonation","64110"
"Property Damage","64108"
"Stealing From Auto","64113"
"Stealing Shoplifting","64145"
"Auto Theft","64109"
"Possession of Drug E","64124"
"Stealing Auto Parts/","64158"
"Non Aggravated Assau","64112"
"Auto Theft","64127"
"Burglary - Residence","64127"
"Non Aggravated Assau","64110"
"Burglary - Residence","64157"
"Non Aggravated Assau","64127"
"Stealing From Auto","64154"
"Stealing From Auto","64118"
"Burglary - Residence","64127"
"Impersonation","64131"
"Aggravated Assault (","64129"
"Stealing All Other","64127"
"Stealing Auto Parts/","64133"
"Burglary - Residence",
"Property Damage","64132"
"Fraud/Confidence Gam","64130"
"Non Agg Assault Dome","64127"
"Armed Robbery","64128"
"Auto Theft","64123"
"Burglary - Residence","64130"
"Non Aggravated Assau","64130"
"Possession/Sale/Dist",
"Property Damage","64127"
"Burglary - Residence","64131"
"Stealing from Buildi","64111"
"Stealing Shoplifting","64133"
"Auto Theft","64127"
"Resisting an Officer","64154"
"Non Aggravated Assau","64110"
"Non Aggravated Assau","64114"
"Property Damage","64137"
"Burglary - Residence","64116"
"Possession/Sale/Dist","64130"
"Stealing Shoplifting","64133"
"Stealing From Auto","64110"
"Driving Under Influe","64131"
"Auto Theft","64138"
"Non Agg Assault Dome","64123"
"Non Agg Assault Dome","64131"
"Liquor Law Violaton","64111"
"Misc Violation","64130"
"Non Aggravated Assau","64137"
"Burglary - Residence","64132"
"Aggravated Assault (","64114"
"Resisting an Officer","64111"
"Burglary - Residence","64112"
"Aggravated Assault (","64127"
"Stealing Auto Parts/","64118"
"Attempt Suicide by C",
"Burglary - Residence","64127"
"Non Agg Assault Dome","64134"
"Burglary - Residence",
"Property Damage","64153"
"Stealing Shoplifting","64153"
"Driving Under Influe","64155"
"Stealing From Auto","64151"
"Non Aggravated Assau","64145"
"Aggravated Assault (","64111"
"Forgery","64114"
"Forgery",
"Stealing Shoplifting","64133"
"Burglary - Residence","64132"
"Agg Assault - Domest","64108"
"Auto Theft","64126"
"Property Damage","64147"
"Stealing From Auto","64130"
"Non Agg Assault Dome","64132"
"Stealing From Auto","64110"
"Trespassing","64105"
"Non Agg Assault Dome","64118"
"Possession/Sale/Dist","64111"
"Possession of Drug E","64127"
"Auto Theft","64110"
"Possession/Sale/Dist","64126"
"Burglary - Non Resid","64152"
"Stealing Auto Parts/","64138"
"Burglary - Residence","64130"
"Fraud/Confidence Gam",
"Trespassing","64106"
"Credit/Debit/ATM Car","64130"
"Driving Under Influe","64137"
"Possession/Sale/Dist","64130"
"Non Agg Assault Dome",
"Burglary - Residence","64127"
"Burglary - Residence","64124"
"Non Agg Assault Dome","64124"
"Stealing from Buildi","64105"
"Misc Violation","64137"
"Stealing Shoplifting","64105"
"Burglary - Residence","64117"
"Auto Theft","64114"
"Burglary - Residence","64132"
"Non Agg Assault Dome","64151"
"Burglary - Residence","64106"
"Stealing Auto Parts/","64127"
"Aggravated Assault (","64127"
"Aggravated Assault (","64124"
"Non Aggravated Assau","64123"
"Auto Theft","64111"
"Misc Violation","64106"
"Stealing From Auto","64113"
"Resisting an Officer","64108"
"Stealing Shoplifting","64105"
"Stealing Shoplifting","64124"
"Trespassing","64133"
"Stealing Auto Parts/","64133"
"Trespassing","64131"
"Agg Assault - Domest","64128"
"Non Agg Assault Dome","64116"
"Forged Checks","64145"
"Auto Theft","64112"
"Stealing from Buildi","64119"
"Property Damage","64130"
"Auto Theft","64124"
"Disorderly Conduct","64118"
"Forged Checks","64130"
"Non Aggravated Assau","64109"
"Stealing Auto Parts/","64114"
"Misc Violation","64120"
"Misc Violation","64126"
"Stealing All Other","64111"
"Aggravated Assault (","64158"
"Misc Violation","64106"
"Aggravated Assault (","64106"
"Auto Theft","64108"
"Burglary - Non Resid","64101"
"Non Aggravated Assau","64128"
"Aggravated Assault (","64137"
"Property Damage","64127"
"Stealing Shoplifting","64153"
"Driving Under Influe","64123"
"Burglary - Residence","64133"
"Possession of Drug E","64134"
"Stealing All Other","64110"
"Property Damage","64127"
"Stealing Shoplifting","64157"
"Burglary - Residence","64126"
"Intimidation","64130"
"Property Damage","64112"
"Burglary - Residence","64130"
"Burglary - Non Resid","64118"
"Auto Theft",
"Possession/Sale/Dist","64127"
"Burglary - Residence","64123"
"Property Damage","64106"
"Possession of Drug E","64133"
"Misc Violation","64126"
"Stealing Auto Parts/","64127"
"Trespassing","64134"
"Agg Assault - Domest","64130"
"Property Damage","64111"
"Burglary - Residence",
"Auto Theft","64112"
"Non Aggravated Assau","64133"
"Fraud/Confidence Gam","64129"
"Burglary - Residence","64134"
"Resisting an Officer","64105"
"Burglary - Residence","64138"
"Agg Assault - Domest","64126"
"Trespassing","64104"
"Misc Violation","64127"
"Misc Violation","64134"
"Disorderly Conduct","64117"
"Auto Theft","64129"
"Non Agg Assault Dome",
"Agg Assault - Domest",
"False ID","64130"
"Possession of Drug E","64132"
"Burglary - Non Resid","64138"
"Possession/Sale/Dist","64106"
"Armed Robbery","64109"
"Stealing from Buildi","64130"
"Non Agg Assault Dome","64118"
"Property Damage","64161"
"Stealing From Auto",
"Stealing All Other","64118"
"Agg Assault - Domest","64132"
"Auto Theft","64105"
"Stealing Auto Parts/","64157"
"Intimidation","64118"
"Stealing From Auto","64110"
