"report_no","reported_date","zipcode","reported_time","location_1","description","address","city"
"130023056","2014-07-27T00:00:00.000","64130","18:39","POINT (-94.544188138 39.033319722)","Stolen Property OFFE","E 39 ST/WABASH AV","KANSAS CITY"
"130024428","2014-03-25T00:00:00.000","64128","8:05","POINT (-94.546477303 39.060525443)","Possession/Sale/Dist","3600  BENTON BL","KANSAS CITY"
"130024428","2014-03-25T00:00:00.000","64128","8:05","POINT (-94.546477303 39.060525443)","Possession/Sale/Dist","3600  BENTON BL","KANSAS CITY"
"130025972","2014-05-20T00:00:00.000","64108","11:19","POINT (-94.577375383 39.100855311)","Sex Off Misconduct","1100  LOCUST ST","KANSAS CITY"
"130025972","2014-05-20T00:00:00.000","64108","11:19","POINT (-94.577375383 39.100855311)","Sex Off Misconduct","1100  LOCUST ST","KANSAS CITY"
"130029102","2014-01-16T00:00:00.000","64123","13:00","POINT (-94.514293662 39.105426456)","Stealing All Other","5800  WILSON AV","KANSAS CITY"
"130029102","2014-01-16T00:00:00.000","64123","13:00","POINT (-94.514293662 39.105426456)","Stealing All Other","5800  WILSON AV","KANSAS CITY"
"130044503","2014-04-03T00:00:00.000","64106","14:18","POINT (-94.577375383 39.100855311)","Possession/Sale/Dist","1100  LOCUST ST","KANSAS CITY"
"130044503","2014-04-03T00:00:00.000","64106","14:18","POINT (-94.577375383 39.100855311)","Possession/Sale/Dist","1100  LOCUST ST","KANSAS CITY"
"130053190","2014-01-05T00:00:00.000","64153","10:11","POINT (-94.721143546 39.298033962)","Interference with Cu","0  AMSTERDAM CI","KANSAS CITY"
"130053190","2014-01-05T00:00:00.000","64153","10:11","POINT (-94.721143546 39.298033962)","Interference with Cu","0  AMSTERDAM CI","KANSAS CITY"
"130055855","2014-04-02T00:00:00.000","64106","15:49","POINT (-94.577375383 39.100855311)","Weapons Law Violatio","1100  LOCUST ST","KANSAS CITY"
"130055855","2014-04-02T00:00:00.000","64106","15:49","POINT (-94.577375383 39.100855311)","Weapons Law Violatio","1100  LOCUST ST","KANSAS CITY"
"130060511","2014-01-05T00:00:00.000","64153","8:00","POINT (-94.70948027 39.312375309)","Property Damage","400  N PANAMA CITY AVE","KANSAS CITY"
"130060511","2014-01-05T00:00:00.000","64153","8:00","POINT (-94.70948027 39.312375309)","Property Damage","400  N PANAMA CITY AVE","KANSAS CITY"
"130061147","2014-06-17T00:00:00.000","64106","9:37","POINT (-94.577375383 39.100855311)","Rape","1100  LOCUST ST","KANSAS CITY"
"130061147","2014-06-17T00:00:00.000","64106","9:37","POINT (-94.577375383 39.100855311)","Rape","1100  LOCUST ST","KANSAS CITY"
"130061653","2014-09-22T00:00:00.000","64106","10:38","POINT (-94.577375383 39.100855311)","Rape","1100  LOCUST ST","KANSAS CITY"
"130061653","2014-09-22T00:00:00.000","64106","10:38","POINT (-94.577375383 39.100855311)","Rape","1100  LOCUST ST","KANSAS CITY"
"130063543","2014-04-02T00:00:00.000","64106","16:56","POINT (-94.577375383 39.100855311)","Possession/Sale/Dist","1100  LOCUST ST","KANSAS CITY"
"130063543","2014-04-02T00:00:00.000","64106","16:56","POINT (-94.577375383 39.100855311)","Possession/Sale/Dist","1100  LOCUST ST","KANSAS CITY"
"130064447","2014-04-01T00:00:00.000","64127","22:03","POINT (-94.519961768 39.088061311)","Forcible Sodomy","1900  VAN BRUNT BL","KANSAS CITY"
"130064447","2014-04-01T00:00:00.000","64127","22:03","POINT (-94.519961768 39.088061311)","Forcible Sodomy","1900  VAN BRUNT BL","KANSAS CITY"
"130064785","2014-03-06T00:00:00.000","64113","8:56","POINT (-94.591619955 39.014073332)","Stealing Auto Parts/","300  W 63 ST","KANSAS CITY"
"130066599","2014-11-09T00:00:00.000","64110","17:50","POINT (-94.679697484 39.126011203)","Stealing Auto Parts/","4300  GARFIELD AV","KANSAS CITY"
"130066599","2014-11-09T00:00:00.000","64110","17:50","POINT (-94.679697484 39.126011203)","Stealing Auto Parts/","4300  GARFIELD AV","KANSAS CITY"
"130071838","2014-01-05T00:00:00.000","64153","7:30","POINT (-94.705838753 39.304187821)","Failure to Return","600  MADRID AV","KANSAS CITY"
"130071838","2014-01-05T00:00:00.000","64153","7:30","POINT (-94.705838753 39.304187821)","Failure to Return","600  MADRID AV","KANSAS CITY"
"130071838","2014-01-05T00:00:00.000","64153","7:30","POINT (-94.705838753 39.304187821)","Failure to Return","600  MADRID AV","KANSAS CITY"
"130078658","2014-01-04T00:00:00.000","64153","13:27","POINT (-94.718939496 39.295831805)","Stealing All Other","00  ROME CI","KANSAS CITY"
"130078658","2014-01-04T00:00:00.000","64153","13:27","POINT (-94.718939496 39.295831805)","Stealing All Other","00  ROME CI","KANSAS CITY"
"130079193","2014-09-24T00:00:00.000","64106","7:00","POINT (-94.575314985 39.095434614)","Armed Robbery","1500  HOLMES ST","KANSAS CITY"
"130079193","2014-09-24T00:00:00.000","64106","7:00","POINT (-94.575314985 39.095434614)","Armed Robbery","1500  HOLMES ST","KANSAS CITY"
"130079261","2014-01-05T00:00:00.000","64153","9:04","POINT (-94.707902623 39.307538809)","Misc Violation","700  N LONDON DR","KANSAS CITY"
"130079261","2014-01-05T00:00:00.000","64153","9:04","POINT (-94.707902623 39.307538809)","Misc Violation","700  N LONDON DR","KANSAS CITY"
"130080739","2014-02-27T00:00:00.000","64111","22:47","POINT (-94.59306945 39.05549663)","Statutory Rape","1100  LOCUST","KANSAS CITY"
"130080739","2014-02-27T00:00:00.000","64111","22:47","POINT (-94.59306945 39.05549663)","Statutory Rape","1100  LOCUST","KANSAS CITY"
"130081298","2014-04-02T00:00:00.000","64154","21:29","POINT (-94.484910548 39.293257342)","Family Offense","8100  NE 110 TE","KANSAS CITY"
"130081298","2014-04-02T00:00:00.000","64154","21:29","POINT (-94.484910548 39.293257342)","Family Offense","8100  NE 110 TE","KANSAS CITY"
"130084791","2014-03-20T00:00:00.000","64108","12:07","POINT (-94.577375383 39.100855311)","Forcible Sodomy","1100  LOCUST ST","KANSAS CITY"
"130084791","2014-03-20T00:00:00.000","64108","12:07","POINT (-94.577375383 39.100855311)","Forcible Sodomy","1100  LOCUST ST","KANSAS CITY"
"130086017","2014-01-22T00:00:00.000","64106","0:27","POINT (-94.577375383 39.100855311)","Family Offense","1100  LOCUST ST","KANSAS CITY"
"130086017","2014-01-22T00:00:00.000","64106","0:27","POINT (-94.577375383 39.100855311)","Family Offense","1100  LOCUST ST","KANSAS CITY"
"130088237","2014-01-20T00:00:00.000","64127","14:17","POINT (-94.52130926 39.076135622)","Non Aggravated Assau","5300  E 27 ST","KANSAS CITY"
"130088237","2014-01-20T00:00:00.000","64127","14:17","POINT (-94.52130926 39.076135622)","Non Aggravated Assau","5300  E 27 ST","KANSAS CITY"
"130089545","2014-02-07T00:00:00.000","64120","8:30","POINT (-94.491110729 39.129856626)","Possession/Sale/Dist","7700  E FRONT ST","KANSAS CITY"
"130089545","2014-02-07T00:00:00.000","64106","10:05","POINT (-94.577375383 39.100855311)","Possession/Sale/Dist","1100  LOCUST ST","KANSAS CITY"
"130089545","2014-02-07T00:00:00.000","64106","10:05","POINT (-94.577375383 39.100855311)","Possession/Sale/Dist","1100  LOCUST ST","KANSAS CITY"
"130089545","2014-02-07T00:00:00.000","64120","8:30","POINT (-94.491110729 39.129856626)","Possession/Sale/Dist","7700  E FRONT ST","KANSAS CITY"
"130090604","2014-04-15T00:00:00.000","64106","13:32","POINT (-94.577375383 39.100855311)","Family Offense","1100  LOCUST ST","KANSAS CITY"
"130090604","2014-04-15T00:00:00.000","64106","13:32","POINT (-94.577375383 39.100855311)","Family Offense","1100  LOCUST ST","KANSAS CITY"
"130090604","2014-04-15T00:00:00.000","64106","13:32","POINT (-94.577375383 39.100855311)","Family Offense","1100  LOCUST ST","KANSAS CITY"
"130090752","2014-01-12T00:00:00.000","64153","7:59","POINT (-94.716959184 39.298017234)","Stealing From Auto","0  INTERNATIONAL SQ","KANSAS CITY"
"130090752","2014-01-12T00:00:00.000","64153","7:59","POINT (-94.716959184 39.298017234)","Stealing From Auto","0  INTERNATIONAL SQ","KANSAS CITY"
"130090756","2014-01-03T00:00:00.000","64153","13:30","POINT (-94.712148433 39.302198368)","Stealing From Auto","400  PARIS ST","KANSAS CITY"
"130090756","2014-01-03T00:00:00.000","64153","13:30","POINT (-94.712148433 39.302198368)","Stealing From Auto","400  PARIS ST","KANSAS CITY"
"130091359","2014-01-12T00:00:00.000","64153","8:12","POINT (-94.714205504 39.293340209)","Stealing from Buildi","00  BEIRUT CI","KANSAS CITY"
"130091359","2014-01-12T00:00:00.000","64153","8:12","POINT (-94.714205504 39.293340209)","Stealing from Buildi","00  BEIRUT CI","KANSAS CITY"
"130091671","2014-01-12T00:00:00.000","64153","7:51","POINT (-94.714205504 39.293340209)","Stealing All Other","00  BEIRUT CI","KANSAS CITY"
"130091671","2014-01-12T00:00:00.000","64153","7:51","POINT (-94.714205504 39.293340209)","Stealing All Other","00  BEIRUT CI","KANSAS CITY"
"130091973","2014-01-03T00:00:00.000","64153","10:25","POINT (-94.707902623 39.307538809)","Failure to Return","700  N LONDON DR","KANSAS CITY"
"130091973","2014-01-03T00:00:00.000","64153","10:25","POINT (-94.707902623 39.307538809)","Failure to Return","700  N LONDON DR","KANSAS CITY"
"130092502","2014-01-13T00:00:00.000","64131","0:11","POINT (-94.555707011 39.05730179)","Stolen Property OFFE","3800  OLIVE ST","KANSAS CITY"
"130092869","2014-05-17T00:00:00.000","64106","8:59","POINT (-94.577375383 39.100855311)","child pornography","1100  LOCUST ST","KANSAS CITY"
"130092869","2014-05-17T00:00:00.000","64106","8:59","POINT (-94.577375383 39.100855311)","child pornography","1100  LOCUST ST","KANSAS CITY"
"130093378","2014-01-03T00:00:00.000","64153","10:56","POINT (-94.718939496 39.295831805)","Stealing All Other","00  ROME CI","KANSAS CITY"
"130093378","2014-01-03T00:00:00.000","64153","10:56","POINT (-94.718939496 39.295831805)","Stealing All Other","00  ROME CI","KANSAS CITY"
"140000004","2014-01-01T00:00:00.000","64125","0:39","POINT (-94.582188531 39.098489892)","Property Damage","1300  WALNUT ST","KANSAS CITY"
"140000004","2014-01-01T00:00:00.000","64125","0:39","POINT (-94.582188531 39.098489892)","Property Damage","1300  WALNUT ST","KANSAS CITY"
"140000006","2014-01-01T00:00:00.000","64131","0:17","POINT (-94.574166504 38.989433324)","Aggravated Assault (","1200  E 76 ST","KANSAS CITY"
"140000006","2014-01-01T00:00:00.000","64131","0:17","POINT (-94.574166504 38.989433324)","Aggravated Assault (","1200  E 76 ST","KANSAS CITY"
"140000006","2014-01-01T00:00:00.000","64131","0:17","POINT (-94.574166504 38.989433324)","Aggravated Assault (","1200  E 76 ST","KANSAS CITY"
"140000006","2014-01-01T00:00:00.000","64131","0:17","POINT (-94.574166504 38.989433324)","Aggravated Assault (","1200  E 76 ST","KANSAS CITY"
"140000006","2014-01-01T00:00:00.000","64131","0:17","POINT (-94.574166504 38.989433324)","Aggravated Assault (","1200  E 76 ST","KANSAS CITY"
"140000007","2014-01-01T00:00:00.000","64106","0:45","POINT (-94.574659662 39.104256282)","Non Aggravated Assau","E 13 ST/GRAND AV","KANSAS CITY"
"140000007","2014-01-01T00:00:00.000","64106","0:45","POINT (-94.574659662 39.104256282)","Non Aggravated Assau","E 13 ST/GRAND AV","KANSAS CITY"
"140000008","2014-01-01T00:00:00.000","64118","0:19","POINT (-94.580411368 39.188954531)","Property Damage","5200  N MAIN ST","KANSAS CITY"
"140000008","2014-01-01T00:00:00.000","64118","0:19","POINT (-94.580411368 39.188954531)","Property Damage","5200  N MAIN ST","KANSAS CITY"
"140000009","2014-01-01T00:00:00.000","64111","1:04","POINT (-94.59306945 39.05549663)","Non Agg Assault Dome","W 42 ST/PENNSYLVANIA AV","KANSAS CITY"
"140000009","2014-01-01T00:00:00.000","64111","1:04","POINT (-94.59306945 39.05549663)","Non Agg Assault Dome","W 42 ST/PENNSYLVANIA AV","KANSAS CITY"
"140000009","2014-01-01T00:00:00.000","64111","1:04","POINT (-94.59306945 39.05549663)","Property Damage","W 42 ST/PENNSYLVANIA AV","KANSAS CITY"
"140000009","2014-01-01T00:00:00.000","64111","1:04","POINT (-94.59306945 39.05549663)","Property Damage","W 42 ST/PENNSYLVANIA AV","KANSAS CITY"
"140000010","2014-01-01T00:00:00.000","64152","0:31","POINT (-94.697028052 39.219068707)","Possession/Sale/Dist","NW 77 TE/N CONGRESS AV","KANSAS CITY"
"140000010","2014-01-01T00:00:00.000","64152","0:31","POINT (-94.697028052 39.219068707)","Possession/Sale/Dist","NW 77 TE/N CONGRESS AV","KANSAS CITY"
"140000011","2014-01-01T00:00:00.000","64138","0:49","POINT (-94.517653703 38.96741098)","Agg Assault - Domest","6100  E 87 ST","KANSAS CITY"
"140000012","2014-01-01T00:00:00.000","64111","1:04","POINT (-94.59306945 39.05549663)","Aggravated Assault (","W 45 ST/ROANOKE PK","KANSAS CITY"
"140000012","2014-01-01T00:00:00.000","64111","1:04","POINT (-94.59306945 39.05549663)","Aggravated Assault (","W 45 ST/ROANOKE PK","KANSAS CITY"
"140000013","2014-01-01T00:00:00.000","64130","0:21","POINT (-94.562338052 39.015307647)","Property Damage","2000  E 61 ST","KANSAS CITY"
"140000013","2014-01-01T00:00:00.000","64130","0:21","POINT (-94.562338052 39.015307647)","Property Damage","2000  E 61 ST","KANSAS CITY"
"140000016","2014-01-01T00:00:00.000","64119","0:26","POINT (-94.477261436 39.151010784)","Rape","3200  N AMERISTAR DR","KANSAS CITY"
"140000016","2014-01-01T00:00:00.000","64119","0:26","POINT (-94.477261436 39.151010784)","Rape","3200  N AMERISTAR DR","KANSAS CITY"
"140000017","2014-01-01T00:00:00.000","64124","1:35","POINT (-94.543605907 39.10687632)","Driving Under Influe","HARDESTY AV/INDEPENDENCE AV","KANSAS CITY"
"140000018","2014-01-01T00:00:00.000","64110","1:31","POINT (-94.57321712 39.035987555)","Driving Under Influe","W 14 ST/BALTIMORE AV","KANSAS CITY"
"140000019","2014-01-01T00:00:00.000","64131","1:02","POINT (-94.578493383 38.982452417)","Misc Violation","8000  CAMPBELL ST","KANSAS CITY"
"140000019","2014-01-01T00:00:00.000","64131","1:02","POINT (-94.578493383 38.982452417)","Misc Violation","8000  CAMPBELL ST","KANSAS CITY"
"140000019","2014-01-01T00:00:00.000","64131","1:02","POINT (-94.578493383 38.982452417)","Misc Violation","8000  CAMPBELL ST","KANSAS CITY"
"140000019","2014-01-01T00:00:00.000","64131","1:02","POINT (-94.578493383 38.982452417)","Misc Violation","8000  CAMPBELL ST","KANSAS CITY"
"140000020","2014-01-01T00:00:00.000","64111","1:19","POINT (-94.583511325 39.058317147)","Non Agg Assault Dome","200  E 38 ST","KANSAS CITY"
"140000020","2014-01-01T00:00:00.000","64111","1:19","POINT (-94.583511325 39.058317147)","Non Agg Assault Dome","200  E 38 ST","KANSAS CITY"
"140000021","2014-01-01T00:00:00.000","64134","1:24","POINT (-94.511134105 38.92856272)","Non Agg Assault Dome","10800  EWING AV","KANSAS CITY"
"140000021","2014-01-01T00:00:00.000","64134","1:24","POINT (-94.511134105 38.92856272)","Non Agg Assault Dome","10800  EWING AV","KANSAS CITY"
"140000023","2014-01-01T00:00:00.000","64106","2:00","POINT (-94.581029313 39.098441954)","Non Aggravated Assau","1300  GRAND AV","KANSAS CITY"
"140000023","2014-01-01T00:00:00.000","64106","2:00","POINT (-94.581029313 39.098441954)","Non Aggravated Assau","1300  GRAND AV","KANSAS CITY"
"140000024","2014-01-01T00:00:00.000","64126","1:07","POINT (-94.514535641 39.098721328)","Aggravated Assault (","1100  TOPPING AV","KANSAS CITY"
"140000028","2014-01-01T00:00:00.000","64108","2:06","POINT (-94.581576911 39.085068738)","Non Aggravated Assau","W 9 ST/WASHINGTON ST","KANSAS CITY"
"140000028","2014-01-01T00:00:00.000","64108","2:06","POINT (-94.581576911 39.085068738)","Non Aggravated Assau","W 9 ST/WASHINGTON ST","KANSAS CITY"
"140000029","2014-01-01T00:00:00.000","64130","2:11","POINT (-94.568480028 39.01649457)","Stealing From Auto","1500  CITADEL DR","KANSAS CITY"
"140000029","2014-01-01T00:00:00.000","64130","2:11","POINT (-94.568480028 39.01649457)","Stealing From Auto","1500  CITADEL DR","KANSAS CITY"
"140000032","2014-01-01T00:00:00.000","64132","2:04","POINT (-94.537939637 39.000838445)","Non Agg Assault Dome","4200  E 69 ST","KANSAS CITY"
"140000032","2014-01-01T00:00:00.000","64132","2:04","POINT (-94.537939637 39.000838445)","Non Agg Assault Dome","4200  E 69 ST","KANSAS CITY"
"140000035","2014-01-01T00:00:00.000","64132","1:18","POINT (-94.574330757 38.966115535)","Auto Theft","1300  E 89 ST","KANSAS CITY"
"140000035","2014-01-01T00:00:00.000","64132","1:18","POINT (-94.574330757 38.966115535)","Auto Theft","1300  E 89 ST","KANSAS CITY"
"140000036","2014-01-01T00:00:00.000","64108","2:42","POINT (-94.581576911 39.085068738)","Driving Under Influe","E 14 ST/WALNUT ST","KANSAS CITY"
"140000037","2014-01-01T00:00:00.000","64109","2:33","POINT (-94.568728729 39.066698054)","Driving Under Influe","W 71 TE/BELLEVIEW AV","KANSAS CITY"
"140000038","2014-01-01T00:00:00.000","64106","2:13","POINT (-94.582188531 39.098489892)","Non Aggravated Assau","1300  WALNUT ST","KANSAS CITY"
"140000038","2014-01-01T00:00:00.000","64106","2:13","POINT (-94.582188531 39.098489892)","Non Aggravated Assau","1300  WALNUT ST","KANSAS CITY"
"140000041","2014-01-01T00:00:00.000","64134","3:13","POINT (-94.50177654 38.931207748)","Driving Under Influe","E RED BRIDGE RD/US 71 HW","KANSAS CITY"
"140000041","2014-01-01T00:00:00.000","64134","3:13","POINT (-94.50177654 38.931207748)","Driving Under Influe","E RED BRIDGE RD/US 71 HW","KANSAS CITY"
"140000045","2014-01-01T00:00:00.000","64130","1:34","POINT (-94.475491174 39.050290975)","Stealing All Other","4000  BLUE RIDGE CUTOFF","KANSAS CITY"
"140000045","2014-01-01T00:00:00.000","64130","1:34","POINT (-94.475491174 39.050290975)","Stealing All Other","4000  BLUE RIDGE CUTOFF","KANSAS CITY"
"140000046","2014-01-01T00:00:00.000","64110","3:19","POINT (-94.566003637 39.061231645)","Non Agg Assault Dome","3600  FLORA AV","KANSAS CITY"
"140000046","2014-01-01T00:00:00.000","64110","3:19","POINT (-94.566003637 39.061231645)","Non Agg Assault Dome","3600  FLORA AV","KANSAS CITY"
"140000047","2014-01-01T00:00:00.000","64120","3:39","POINT (-94.502808258 39.130315422)","Property Damage","6800  E FRONT ST","KANSAS CITY"
"140000047","2014-01-01T00:00:00.000","64120","3:39","POINT (-94.502808258 39.130315422)","Fraud/Confidence Gam","6800  E FRONT ST","KANSAS CITY"
"140000047","2014-01-01T00:00:00.000","64120","3:39","POINT (-94.502808258 39.130315422)","Property Damage","6800  E FRONT ST","KANSAS CITY"
"140000047","2014-01-01T00:00:00.000","64120","3:39","POINT (-94.502808258 39.130315422)","Fraud/Confidence Gam","6800  E FRONT ST","KANSAS CITY"
"140000047","2014-01-01T00:00:00.000","64120","3:39","POINT (-94.502808258 39.130315422)","Property Damage","6800  E FRONT ST","KANSAS CITY"
"140000047","2014-01-01T00:00:00.000","64120","3:39","POINT (-94.502808258 39.130315422)","Property Damage","6800  E FRONT ST","KANSAS CITY"
"140000047","2014-01-01T00:00:00.000","64120","3:39","POINT (-94.502808258 39.130315422)","Property Damage","6800  E FRONT ST","KANSAS CITY"
"140000047","2014-01-01T00:00:00.000","64120","3:39","POINT (-94.502808258 39.130315422)","Property Damage","6800  E FRONT ST","KANSAS CITY"
"140000047","2014-01-01T00:00:00.000","64120","3:39","POINT (-94.502808258 39.130315422)","Fraud/Confidence Gam","6800  E FRONT ST","KANSAS CITY"
"140000047","2014-01-01T00:00:00.000","64120","3:39","POINT (-94.502808258 39.130315422)","Fraud/Confidence Gam","6800  E FRONT ST","KANSAS CITY"
"140000047","2014-01-01T00:00:00.000","64120","3:39","POINT (-94.502808258 39.130315422)","Fraud/Confidence Gam","6800  E FRONT ST","KANSAS CITY"
"140000047","2014-01-01T00:00:00.000","64120","3:39","POINT (-94.502808258 39.130315422)","Fraud/Confidence Gam","6800  E FRONT ST","KANSAS CITY"
"140000050","2014-01-01T00:00:00.000","64132","3:52","POINT (-94.552169913 38.986858578)","Auto Theft","E GREGORY BL/PASEO","KANSAS CITY"
"140000050","2014-01-01T00:00:00.000","64132","3:52","POINT (-94.552169913 38.986858578)","Auto Theft","E GREGORY BL/PASEO","KANSAS CITY"
"140000051","2014-01-01T00:00:00.000","64134","3:13","POINT (-94.50177654 38.931207748)","Possession/Sale/Dist","E RED BRIDGE RD/US 71 HW","KANSAS CITY"
"140000052","2014-01-01T00:00:00.000","64128","4:02","POINT (-94.522095673 39.054499627)","Armed Robbery","5300  E 39 ST","KANSAS CITY"
"140000052","2014-01-01T00:00:00.000","64130","8:54","POINT (-94.518064507 39.074461657)","Auto Theft","2800  OAKLEY AV","KANSAS CITY"
"140000052","2014-01-01T00:00:00.000","64128","4:02","POINT (-94.522095673 39.054499627)","Armed Robbery","5300  E 39 ST","KANSAS CITY"
"140000056","2014-01-01T00:00:00.000","64128","2:31","POINT (-94.531545625 39.05820249)","Aggravated Assault (","3700  CYPRESS AV","KANSAS CITY"
"140000056","2014-01-01T00:00:00.000","64128","2:31","POINT (-94.531545625 39.05820249)","Aggravated Assault (","3700  CYPRESS AV","KANSAS CITY"
"140000056","2014-01-01T00:00:00.000","64128","2:31","POINT (-94.531545625 39.05820249)","Aggravated Assault (","3700  CYPRESS AV","KANSAS CITY"
"140000056","2014-01-01T00:00:00.000","64128","2:31","POINT (-94.531545625 39.05820249)","Aggravated Assault (","3700  CYPRESS AV","KANSAS CITY"
"140000058","2014-01-01T00:00:00.000","64127","5:13","POINT (-94.518089278 39.092867736)","Non Agg Assault Dome","5500  E 16 TE","KANSAS CITY"
"140000058","2014-01-01T00:00:00.000","64127","5:13","POINT (-94.518089278 39.092867736)","Non Agg Assault Dome","5500  E 16 TE","KANSAS CITY"
"140000058","2014-01-01T00:00:00.000","64127","5:13","POINT (-94.518089278 39.092867736)","Non Agg Assault Dome","5500  E 16 TE","KANSAS CITY"
"140000060","2014-01-01T00:00:00.000","64124","5:10","POINT (-94.544262075 39.100404505)","Aggravated Assault (","3200  E 11 ST","KANSAS CITY"
"140000060","2014-01-01T00:00:00.000","64124","5:10","POINT (-94.544262075 39.100404505)","Aggravated Assault (","3200  E 11 ST","KANSAS CITY"
"140000063","2014-01-01T00:00:00.000","64127","5:51","POINT (-94.550967692 39.04439271)","Misc Violation","4500  SOUTH BENTON AV","KANSAS CITY"
"140000063","2014-01-01T00:00:00.000","64127","5:51","POINT (-94.550967692 39.04439271)","Misc Violation","4500  SOUTH BENTON AV","KANSAS CITY"
"140000064","2014-01-01T00:00:00.000","64130","4:59","POINT (-94.562629579 39.01720776)","Agg Assault - Domest","2000  E 60 TE","KANSAS CITY"
"140000064","2014-01-01T00:00:00.000","64130","4:59","POINT (-94.562629579 39.01720776)","Agg Assault - Domest","2000  E 60 TE","KANSAS CITY"
"140000065","2014-01-01T00:00:00.000","64133","6:12","POINT (-94.452744546 39.042719265)","Misc Violation","4300  NORTHERN AV","KANSAS CITY"
"140000065","2014-01-01T00:00:00.000","64133","6:12","POINT (-94.452744546 39.042719265)","Misc Violation","4300  NORTHERN AV","KANSAS CITY"
"140000067","2014-01-01T00:00:00.000","64131","5:07","POINT (-94.569686153 38.973022362)","Agg Assault - Domest","8500  WAYNE AV","KANSAS CITY"
"140000067","2014-01-01T00:00:00.000","64131","5:07","POINT (-94.569686153 38.973022362)","Agg Assault - Domest","8500  WAYNE AV","KANSAS CITY"
"140000068","2014-01-01T00:00:00.000","64134","6:56","POINT (-94.525142139 38.950627854)","Non Aggravated Assau","5500  E 96 PL","KANSAS CITY"
"140000068","2014-01-01T00:00:00.000","64134","6:56","POINT (-94.525142139 38.950627854)","Non Agg Assault Dome","5500  E 96 PL","KANSAS CITY"
"140000068","2014-01-01T00:00:00.000","64134","6:56","POINT (-94.525142139 38.950627854)","Non Agg Assault Dome","5500  E 96 PL","KANSAS CITY"
"140000068","2014-01-01T00:00:00.000","64134","6:56","POINT (-94.525142139 38.950627854)","Non Aggravated Assau","5500  E 96 PL","KANSAS CITY"
"140000068","2014-01-01T00:00:00.000","64134","6:56","POINT (-94.525142139 38.950627854)","Non Agg Assault Dome","5500  E 96 PL","KANSAS CITY"
"140000068","2014-01-01T00:00:00.000","64134","6:56","POINT (-94.525142139 38.950627854)","Possession/Sale/Dist","5500  E 96 PL","KANSAS CITY"
