"national_air_pollution_surveillance_network_id","station_name","province","city","country","latitude","longitude","measurements","monitoring_period","location"
"30310","Sydney","NOVA SCOTIA","SYDNEY","CANADA","46.142317","-60.172575","PM2.5","1998-Present","POINT (-60.172575 46.142317)"
"30701","Aylesford Mountain","NOVA SCOTIA","AYLESFORD","CANADA","45.072540","-64.840250","NO2","2009-2017","POINT (-64.84025 45.07254)"
"30701","Aylesford Mountain","NOVA SCOTIA","AYLESFORD","CANADA","45.072540","-64.840250","NO","2009-2017","POINT (-64.84025 45.07254)"
"30701","Aylesford Mountain","NOVA SCOTIA","AYLESFORD","CANADA","45.072540","-64.840250","NOx","2009-2017","POINT (-64.84025 45.07254)"
"30701","Aylesford Mountain","NOVA SCOTIA","AYLESFORD","CANADA","45.072540","-64.840250","O3","1995-Present","POINT (-64.84025 45.07254)"
"30701","Aylesford Mountain","NOVA SCOTIA","AYLESFORD","CANADA","45.072540","-64.840250","PM2.5","2007-Present","POINT (-64.84025 45.07254)"
"30901","PICTOU","NOVA SCOTIA","PICTOU","CANADA","45.681744","-62.696575","NO2","2009-Present","POINT (-62.696575 45.681744)"
"30901","PICTOU","NOVA SCOTIA","PICTOU","CANADA","45.681744","-62.696575","NO","2009-Present","POINT (-62.696575 45.681744)"
"30901","PICTOU","NOVA SCOTIA","PICTOU","CANADA","45.681744","-62.696575","NOx","2009-Present","POINT (-62.696575 45.681744)"
"30901","PICTOU","NOVA SCOTIA","PICTOU","CANADA","45.681744","-62.696575","TRS","2011-Present","POINT (-62.696575 45.681744)"
"30901","PICTOU","NOVA SCOTIA","PICTOU","CANADA","45.681744","-62.696575","O3","2000-Present","POINT (-62.696575 45.681744)"
"30901","PICTOU","NOVA SCOTIA","PICTOU","CANADA","45.681744","-62.696575","PM2.5","2003-Present","POINT (-62.696575 45.681744)"
"30901","PICTOU","NOVA SCOTIA","PICTOU","CANADA","45.681744","-62.696575","SO2","2016-Present","POINT (-62.696575 45.681744)"
"31001","Sable","NOVA SCOTIA","Sable Island","CANADA","43.93307","-59.90365","PM2.5","2003-2014","POINT (-59.90365 43.93307)"
"31001","Sable","NOVA SCOTIA","Sable Island","CANADA","43.93307","-59.90365","O3","2003-2014","POINT (-59.90365 43.93307)"
"31001","Sable","NOVA SCOTIA","Sable Island","CANADA","43.93307","-59.90365","NOX","2003-2014","POINT (-59.90365 43.93307)"
"31001","Sable","NOVA SCOTIA","Sable Island","CANADA","43.93307","-59.90365","NO","2003-2014","POINT (-59.90365 43.93307)"
"31001","Sable","NOVA SCOTIA","Sable Island","CANADA","43.93307","-59.90365","NO2","2003-2014","POINT (-59.90365 43.93307)"
"31001","Sable","NOVA SCOTIA","Sable Island","CANADA","43.93307","-59.90365","SO2","2009-2014","POINT (-59.90365 43.93307)"
"31201","GRANTON","NOVA SCOTIA","GRANTON","CANADA","45.63115","-62.73838","VOC","2005-2015","POINT (-62.73838 45.63115)"
"31101","Kentville","NOVA SCOTIA","Kentville","CANADA","45.067284","-64.477425","O3","2016-Present","POINT (-64.477425 45.067284)"
"31101","Kentville","NOVA SCOTIA","Kentville","CANADA","45.067284","-64.477425","PM2.5","2016-Present","POINT (-64.477425 45.067284)"
"31101","Kentville","NOVA SCOTIA","Kentville","CANADA","45.067284","-64.477425","NOx","2016-Present","POINT (-64.477425 45.067284)"
"31101","Kentville","NOVA SCOTIA","Kentville","CANADA","45.067284","-64.477425","NO2","2016-Present","POINT (-64.477425 45.067284)"
"31101","Kentville","NOVA SCOTIA","Kentville","CANADA","45.067284","-64.477425","NO","2016-Present","POINT (-64.477425 45.067284)"
