Business Name,Address,Zip Code,Occupancy,Date Approved,Date Issued,GeoLocation,Council Districts--Test,Dallas City Limits GIS Layer
ELEMENT METAL LLC,400 S HASKELL AVE,75226,S2,09/29/2017,10/02/2017,"400 S HASKELL AVE75226
(32.78707, -96.768885)",2,3
BRYAN HEIGHTS,4705 BRYAN ST,75204,R2,09/29/2017,10/02/2017,"4705 BRYAN ST75204
(32.802743, -96.774793)",2,3
"CHUBBIES, INC.",2026 N HENDERSON AVE,75206,M,09/29/2017,10/02/2017,"2026 N HENDERSON AVE75206
(32.812438, -96.775747)",2,3
MEHDI FARAHANI,9200 CHANCELLOR ROW,75247,S1,09/29/2017,10/03/2017,"9200 CHANCELLOR ROW75247
(32.821455, -96.891053)",6,3
FIERRO MECHANIC,8190 SCYENE RD Ste:B3 SE,75227,S1,09/29/2017,10/02/2017,8190 SCYENE RD Ste:B3 SE75227,,
BRYAN HEIGHTS,4709 BRYAN ST,75204,R2,09/29/2017,10/02/2017,"4709 BRYAN ST75204
(32.802614, -96.774945)",2,3
CRISPY CRUNCHY CHICKEN & RICE,4398 DALLAS FT WORTH TPKE Ste:130,75211,MIX,09/29/2017,,4398 DALLAS FT WORTH TPKE Ste:13075211,,
DAVID WEEKLEY HOMES,5104 BRICKELLIA DR,75209,B,09/29/2017,,5104 BRICKELLIA DR75209,,
SOUTH 2ND 020,4519 2ND AVE,75215,M,09/29/2017,01/25/2018,4519 2ND AVE75215,,
H&R BLOCK,655 W ILLINOIS AVE Ste:923,75224,B,09/29/2017,12/08/2017,"655 W ILLINOIS AVE Ste:92375224
(32.720401, -96.831739)",1,3
"SUNRISE SUPPLY, L.L.C",2645 RODNEY LN,75229,S2,09/29/2017,10/02/2017,"2645 RODNEY LN75229
(32.900776, -96.887442)",6,3
"PROSS DESIGN GROUP, INC.",5310 HARVEST HILL RD Ste:180,75230,B,09/29/2017,11/29/2017,"5310 HARVEST HILL RD Ste:18075230
(32.92172, -96.817332)",11,3
EL MALECON RESTAURANT LLC,2240 GUS THOMASSON RD,75228,A2,09/29/2017,,"2240 GUS THOMASSON RD75228
(32.834757, -96.676901)",13,3
"GREENBRIAR RESTAURANT HOLDINGS, LLC",5440 HARVEST HILL RD Ste:201,75230,B,09/28/2017,09/29/2017,"5440 HARVEST HILL RD Ste:20175230
(32.922053, -96.815841)",11,3
LONESTAR APPLICANCE,13661 S JUPITER RD Ste:301B,75238,S1,09/28/2017,09/29/2017,"13661 S JUPITER RD Ste:301B75238
(32.882878, -96.683132)",,
ALTA STATE THOMAS,2828 WOODSIDE ST,75204,MIX,09/28/2017,09/29/2017,"2828 WOODSIDE ST75204
(32.797928, -96.800026)",12,3
PETSMART STORE # 3151,2415 N HASKELL AVE Ste:113,75204,M,09/28/2017,03/27/2018,"2415 N HASKELL AVE Ste:11375204
(32.804118, -96.789112)",12,3
THE SUPER CLEANERS,2411 W KIEST BLVD,75233,B,09/28/2017,01/24/2018,"2411 W KIEST BLVD75233
(32.705772, -96.857935)",3,3
HKLV NAILS & SPA INC.,2525 W WHEATLAND RD Ste:270,75237,B,09/28/2017,10/02/2017,"2525 W WHEATLAND RD Ste:27075237
(32.647633, -96.86069)",8,3
THE AFFORDABLE LAW,9788 WALNUT ST Ste:120,75243,B,09/28/2017,09/29/2017,"9788 WALNUT ST Ste:12075243
(32.923195, -96.718674)",9,3
PFS WEB,1201   ELM ST,75202,B,09/28/2017,01/19/2018,"1201 ELM ST75202
(32.780961, -96.801472)",12,3
CORNER STORE,3010 N WESTMORELAND RD,75212,M,09/28/2017,10/03/2017,"3010 N WESTMORELAND RD75212
(32.778894, -96.873754)",6,3
PHOTO'S R US,4850 EAST GRAND AVE Ste:A,75223,M,09/28/2017,09/29/2017,"4850 EAST GRAND AVE Ste:A75223
(32.787675, -96.754052)",2,3
"SERENDIPITY WINES, LLC",438 W MOCKINGBIRD LN,75247,S1,09/28/2017,09/29/2017,"438 W MOCKINGBIRD LN75247
(32.805644, -96.873594)",6,3
"COUSIN EARL, LLC",6025 ROYAL LN Ste:330,75230,M,09/28/2017,10/20/2017,"6025 ROYAL LN Ste:33075230
(32.894884, -96.802798)",11,3
SAM MOON GROUP LLC,2605 L B J FWY Ste:170,75234,B,09/28/2017,,2605 L B J FWY Ste:17075234,,
CITY CREDIT UNION,2626 HOWELL ST Ste:965,75204,B,09/28/2017,11/16/2017,"2626 HOWELL ST Ste:96575204
(32.799319, -96.802132)",12,3
HIGH STREET RESIDENTIAL,3200 MCKINNEY AVE,75204,MIX,09/28/2017,09/29/2017,"3200 MCKINNEY AVE75204
(32.803008, -96.800227)",12,3
UNLAWFUL BEHAVIOR CLOTHING STORE,1412 BONNIE VIEW RD,75203,M,09/28/2017,,"1412 BONNIE VIEW RD75203
(32.732189, -96.793562)",4,3
LANDMARK FITNESS CLUB,12740 MERIT DR Ste:200,75251,B,09/28/2017,,"12740 MERIT DR Ste:20075251
(32.922303, -96.772076)",10,3
YOSIF TIRES #2,7026 S R L THORNTON FWY,75241,B,09/28/2017,12/11/2017,7026 S R L THORNTON FWY75241,,
PAZZO,2680 CEDAR SPRINGS RD,75204,A2,09/28/2017,01/05/2018,2680 CEDAR SPRINGS RD75204,,
JACOBS ENGINEERING GROUP INC.,1999 BRYAN ST Ste:1500,75201,B,09/28/2017,10/03/2017,"1999 BRYAN ST Ste:150075201
(32.784657, -96.796589)",12,3
E-CYCLE ENTERPRISES,2512 PROGRAM DR Ste:108,75220,S1,09/28/2017,09/29/2017,"2512 PROGRAM DR Ste:10875220
(32.87758, -96.894711)",6,3
SITE 131,131 PAYNE ST,75207,A3,09/28/2017,09/29/2017,"131 PAYNE ST75207
(32.785412, -96.818985)",6,3
NORTH DALLAS VETERANS ASSOCIATION,4222 TRINITY MILLS RD Ste:124,75001,B,09/28/2017,12/04/2017,4222 TRINITY MILLS RD Ste:12475001,,
PFS WEB,1201 ELM ST,75202,B,09/28/2017,01/19/2018,"1201 ELM ST75202
(32.780961, -96.801472)",12,3
LINCOLN KESSLER PARK,2416 FORT WORTH AVE,75211,R2,09/28/2017,09/29/2017,"2416 FORT WORTH AVE75211
(32.7598, -96.861296)",1,3
CLOUD VAPORS,11252 HARRY HINES BLVD Ste:308,75229,S1,09/28/2017,10/03/2017,"11252 HARRY HINES BLVD Ste:30875229
(32.891345, -96.889749)",6,3
"MWB ENTERPRISES, INC.",10132 MONROE DR,75229,B,09/28/2017,10/05/2017,"10132 MONROE DR75229
(32.883181, -96.878313)",6,3
THE BRISCO,12639 COIT RD,75251,R2,09/28/2017,10/02/2017,"12639 COIT RD75251
(32.920698, -96.769216)",10,3
LANTER DISTRIBUTING LLC,4719 MOUNTAIN CREEK PKWY,75211,S1,09/27/2017,09/28/2017,4719 MOUNTAIN CREEK PKWY75211,,
THE LAWYERS LOUNGE,514 N MARSALIS AVE,75203,B,09/27/2017,,"514 N MARSALIS AVE75203
(32.754423, -96.815646)",1,3
"ETAOS, INC",10920 SWITZER AVE Ste:105,75238,S1,09/27/2017,09/28/2017,"10920 SWITZER AVE Ste:10575238
(32.8972, -96.704566)",9,3
"CITY CREW, LLC",6039 ORAM ST,75206,A5,09/27/2017,09/29/2017,"6039 ORAM ST75206
(32.813874, -96.762074)",12,3
JLH REMOVAL,3136 E ILLINOIS AVE,,B,09/27/2017,12/05/2017,"3136 E ILLINOIS AVE
(32.716029, -96.772968)",4,3
VERERINARY EYE INSTITUTE,4152 COLE AVE Ste:101,75204,B,09/27/2017,01/11/2018,"4152 COLE AVE Ste:10175204
(32.81615, -96.7926)",12,3
RENT 4 PARTY DALLAS,9983 MONROE DR,75220,S1,09/27/2017,10/10/2017,"9983 MONROE DR75220
(32.879649, -96.878275)",6,3
BEBALANCED HORMONE WEIGHT LOSS CENTER,8302 KATE ST Ste:212,75225,B,09/27/2017,10/02/2017,"8302 KATE ST Ste:21275225
(32.863637, -96.805269)",11,3
EXECUTIVE WORKPLACE,3710 RAWLINS ST Ste:1400,75219,B,09/27/2017,10/05/2017,"3710 RAWLINS ST Ste:140075219
(32.810345, -96.805951)",12,3
7-ELEVEN CONVENIENCE STORE #33624A,1722 ROUTH ST Ste:100,75201,M,09/27/2017,,"1722 ROUTH ST Ste:10075201
(32.791198, -96.795534)",12,3
"CALLBOX STORAGE,LLC",4925 GREENVILLE AVE Ste:1270,75206,B,09/27/2017,09/29/2017,"4925 GREENVILLE AVE Ste:127075206
(32.847048, -96.770142)",12,3
"LAW OFFICE OF LORIE L. BURCH, PC",7920 BELT LINE RD Ste:700,75254,B,09/27/2017,09/28/2017,"7920 BELT LINE RD Ste:70075254
(32.950624, -96.770448)",10,3
LINDA'S LIQUOR BEER WINE,9740 WEBB CHAPEL RD,75220,M,09/27/2017,11/27/2017,"9740 WEBB CHAPEL RD75220
(32.869129, -96.864636)",6,3
SALON A' LA MODE,7989 BELT LINE RD Ste:139 1C,75248,B,09/27/2017,01/16/2018,"7989 BELT LINE RD Ste:139 1C75248
(32.950892, -96.769409)",10,3
CENTRE LIVING HOMES,1902 CADDO ST,75204,R3,09/27/2017,,"1902 CADDO ST75204
(32.800164, -96.786982)",12,3
A1 GOODS,4858 EAST GRAND AVE Ste:A,75223,M,09/27/2017,10/06/2017,"4858 EAST GRAND AVE Ste:A75223
(32.787779, -96.753935)",2,3
CENTRE LIVING HOMES,1900 CADDO ST,75204,R3,09/27/2017,08/29/2018,"1900 CADDO ST75204
(32.800448, -96.787326)",12,3
DASPIT LAW FIRM PLLC,600 N PEARL ST Ste:2205,75201,B,09/27/2017,09/28/2017,"600 N PEARL ST Ste:220575201
(32.786073, -96.79513)",12,3
JENE'S COLLECTION,1020 LEVEE ST Ste:180,75207,S1,09/27/2017,10/02/2017,"1020 LEVEE ST Ste:18075207
(32.784922, -96.820693)",6,3
ALTA STATE THOMAS,2828 WOODSIDE ST,75204,MIX,09/27/2017,09/27/2017,"2828 WOODSIDE ST75204
(32.797928, -96.800026)",12,3
"ARSIN RUGS, L.L.C.",1025 N STEMMONS FWY Ste:670,75207,B,09/27/2017,12/13/2017,"1025 N STEMMONS FWY Ste:67075207
(32.789196, -96.813746)",6,3
OAKWOOD BANK,17808 DALLAS PKWY Ste:BU2,,B,09/27/2017,09/28/2017,"17808 DALLAS PKWY Ste:BU2
(32.992636, -96.82895)",14,3
RESTAURANT EXPRESS,10850 SWITZER AVE Ste:112,75238,S1,09/27/2017,09/28/2017,"10850 SWITZER AVE Ste:11275238
(32.896412, -96.704565)",9,3
AT&T,18530 DALLAS PKWY Ste:C,,U,09/27/2017,,"18530 DALLAS PKWY Ste:C
(33.002043, -96.828864)",14,3
STREAM REALTY PARTNERS LP,2001 ROSS AVE Ste:560,75201,B,09/26/2017,09/27/2017,"2001 ROSS AVE Ste:56075201
(32.786953, -96.799213)",12,3
HAAS MOTOR CYCLE GALLERY 2,1201 OAK LAWN AVE Ste:110,75207,MIX,09/26/2017,12/28/2017,"1201 OAK LAWN AVE Ste:11075207
(32.792909, -96.822721)",6,3
K9 CLUB INC.,4022 OAK LAWN AVE,75219,M,09/26/2017,09/27/2017,"4022 OAK LAWN AVE75219
(32.818259, -96.802325)",12,3
FRITO-LAY NORTH AMERICA,3420 DUNCANVILLE RD,75236,S2,09/26/2017,,"3420 DUNCANVILLE RD75236
(32.702939, -96.908555)",3,3
RE-B. C.,11029 SHADY TRL Ste:126,75229,B,09/26/2017,09/27/2017,"11029 SHADY TRL Ste:12675229
(32.882184, -96.890443)",6,3
BB&T,2001 ROSS AVE Ste:100,75201,B,09/26/2017,,"2001 ROSS AVE Ste:10075201
(32.786953, -96.799213)",12,3
URBANO SPORTS & GRILL,8410 HARRY HINES BLVD,75235,A2,09/26/2017,10/31/2017,"8410 HARRY HINES BLVD75235
(32.836226, -96.864147)",2,3
MAGNOLIA ON ZANG,901 N ZANG BLVD,75208,R2,09/26/2017,09/27/2017,"901 N ZANG BLVD75208
(32.754214, -96.824132)",1,3
DAVID WEEKLY HOMES,5325 TEAK MILL PL,75209,R3,09/26/2017,09/27/2017,5325 TEAK MILL PL75209,,
FAST PRINT COPY DALLAS,9220 SKILLMAN ST Ste:108,,B,09/26/2017,10/12/2017,"9220 SKILLMAN ST Ste:108
(32.902825, -96.714487)",9,3
NEXGEN NAILS & DAY SPA,4701 FRANKFORD RD Ste:221,,B,09/26/2017,,"4701 FRANKFORD RD Ste:221
(32.998293, -96.826167)",14,3
"STUDIO INSTRUMENT REANTALS OF TX, INC",150 EXPRESS ST,75207,S1,09/26/2017,09/27/2017,"150 EXPRESS ST75207
(32.793733, -96.828657)",6,3
DAVID WEEKLY HOMES,5315 TEAK MILL PL,75209,R3,09/26/2017,,5315 TEAK MILL PL75209,,
FOREST LANE DENTAL,11722 MARSH LN Ste:349,75229,B,09/26/2017,09/29/2017,"11722 MARSH LN Ste:34975229
(32.90863, -96.853828)",11,3
"RAISING CANES, LLC",2503 W MOCKINGBIRD LN,75235,A2,09/26/2017,09/26/2017,"2503 W MOCKINGBIRD LN75235
(32.82824, -96.844269)",2,3
ARIZONA COLLEGE,8330 L B J FWY Ste:1200,75243,B,09/26/2017,01/30/2018,8330 L B J FWY Ste:120075243,,
FED EX SUPPLY CHAIN,4951 LANGDON RD Ste:100,75241,S1,09/26/2017,09/27/2017,"4951 LANGDON RD Ste:10075241
(32.652471, -96.740564)",8,3
EMPIRE DELI,1140 EMPIRE CENTRAL DR Ste:130,75247,A2,09/26/2017,,"1140 EMPIRE CENTRAL DR Ste:13075247
(32.825131, -96.875246)",6,3
"DEEPART STUDIOS, LLC",8000 SOVEREIGN ROW Ste:B,75247,MIX,09/25/2017,10/27/2017,"8000 SOVEREIGN ROW Ste:B75247
(32.815851, -96.879962)",6,3
"DELTA PLAINS SRVICES, LLC",500 N AKARD ST Ste:2980,75201,B,09/25/2017,09/26/2017,"500 N AKARD ST Ste:298075201
(32.784256, -96.800608)",12,3
J AND B AUTO,4842 EAST GRAND AVE Ste:F,75223,S1,09/25/2017,09/26/2017,"4842 EAST GRAND AVE Ste:F75223
(32.787423, -96.754331)",2,3
HOME PLUMBLING CO INC,8305 SOVEREIGN ROW,75247,S1,09/25/2017,10/05/2017,"8305 SOVEREIGN ROW75247
(32.817325, -96.882177)",6,3
KAI MEDICAL LABORATORY,8230 ELMBROOK DR Ste:200,75247,B,09/25/2017,12/06/2017,"8230 ELMBROOK DR Ste:20075247
(32.824525, -96.865698)",2,3
DANE ROOFING,17440 DALLAS PKWY Ste:258,,B,09/25/2017,09/26/2017,"17440 DALLAS PKWY Ste:258
(32.988082, -96.828125)",14,3
LIMO ANYWHERE,1341 W MOCKINGBIRD LN Ste:750W,75247,B,09/25/2017,10/20/2017,"1341 W MOCKINGBIRD LN Ste:750W75247
(32.821616, -96.86533)",2,3
"ETEGRA, INC.",17218 PRESTON RD Ste:3300,75248,B,09/25/2017,09/26/2017,"17218 PRESTON RD Ste:330075248
(32.985162, -96.803934)",14,3
INFUSED OILS AND VINEGARS LLC,5225 BELT LINE RD Ste:208,75248,M,09/25/2017,,5225 BELT LINE RD Ste:20875248,,
PETRO CORRIGAN TOWER LP,1900 PACIFIC AVE,75201,R2,09/25/2017,09/26/2017,"1900 PACIFIC AVE75201
(32.782888, -96.796185)",12,3
HBL TOWING & RECOVERY,2509 QUINCY ST Ste:150,75212,B,09/25/2017,09/26/2017,"2509 QUINCY ST Ste:15075212
(32.774884, -96.917033)",6,3
YOGURTLAND - DALLAS,7170 SKILLMAN ST Ste:120,75231,A2,09/25/2017,02/05/2018,"7170 SKILLMAN ST Ste:12075231
(32.877258, -96.734797)",9,3
"RAPIDO FINANCIAL, LLC",5625 ALPHA RD,75240,B,09/25/2017,09/26/2017,"5625 ALPHA RD75240
(32.932883, -96.810917)",10,3
AMERICAN FINANCIAL NETWORK INC.,8330 L B J FWY Ste:710,75243,B,09/25/2017,09/26/2017,8330 L B J FWY Ste:71075243,,
MODERA GALLERIA,13290 NOEL RD,75240,R2,09/22/2017,09/25/2017,"13290 NOEL RD75240
(32.929311, -96.818008)",10,3
MODERA GALLERIA,13290 NOEL RD,75240,R2,09/22/2017,09/25/2017,"13290 NOEL RD75240
(32.929311, -96.818008)",10,3
BATH TRENDS DALLAS LLC,106 EXPRESS ST,75207,S1,09/22/2017,10/25/2017,"106 EXPRESS ST75207
(32.792585, -96.829508)",6,3
MODERA GALLERIA,13290 NOEL RD,75240,R2,09/22/2017,09/25/2017,"13290 NOEL RD75240
(32.929311, -96.818008)",10,3
HAMPTON INN & SUITES,8605 E R L THORNTON FWY,75228,R1,09/22/2017,,"8605 E R L THORNTON FWY75228
(32.795733, -96.69543)",7,3
"NORTH CENTRAL SURGICAL CENTER, L.L.C.",9301 N CENTRAL EXPY,75225,B,09/22/2017,,9301 N CENTRAL EXPY75225,,
MARINO'S AUTO REPAIR,3234 SAMUELL BLVD,75223,S1,09/22/2017,10/03/2017,"3234 SAMUELL BLVD75223
(32.792941, -96.73912)",2,3
TRAMMELL CROW CENTER,2001 ROSS AVE Ste:1940,75201,B,09/22/2017,11/06/2017,"2001 ROSS AVE Ste:194075201
(32.786953, -96.799213)",12,3
"NORTH CENTRAL SURGICAL CENTER, LLP",9301 N CENTRAL EXPY,75225,B,09/22/2017,08/03/2018,9301 N CENTRAL EXPY75225,,
DANG GOOD DELI,650 N PEARL ST Ste:FC1,75201,B,09/22/2017,,"650 N PEARL ST Ste:FC175201
(32.786526, -96.79566)",12,3
"BENCHMARK OPPORTUNITY PARTNERS, L.P.",13747 MONTFORT DR Ste:100,75240,B,09/22/2017,11/07/2017,"13747 MONTFORT DR Ste:10075240
(32.93574, -96.813663)",10,3
MODERA GALLERIA,13290 NOEL RD,75240,R2,09/22/2017,09/25/2017,"13290 NOEL RD75240
(32.929311, -96.818008)",10,3
BEE'S PAINTLESS DENT REPAIR,4611 LAWNVIEW AVE,75227,S1,09/22/2017,09/26/2017,"4611 LAWNVIEW AVE75227
(32.785102, -96.722824)",7,3
WEST TEX - BBQ,3707 W JEFFERSON BLVD,75211,A2,09/22/2017,,"3707 W JEFFERSON BLVD75211
(32.740362, -96.879823)",1,3
ORIGIN BANK HOME LENDING,434 W 12TH ST,75208,B,09/22/2017,09/27/2017,"434 W 12TH ST75208
(32.741131, -96.829803)",1,3
CHOICE CHICK,650 N PEARL ST Ste:FC2,75201,B,09/22/2017,,"650 N PEARL ST Ste:FC275201
(32.786526, -96.79566)",12,3
COLONY NORTHSTAR,13727 NOEL RD Ste:750,75240,B,09/22/2017,11/02/2017,"13727 NOEL RD Ste:75075240
(32.935048, -96.818062)",10,3
SHELL,603 MUNGER AVE,75202,B,09/22/2017,09/25/2017,"603 MUNGER AVE75202
(32.782833, -96.807591)",12,3
ONE CALL CLAIMS,12005 FORD RD Ste:550,75234,B,09/21/2017,09/22/2017,"12005 FORD RD Ste:55075234
(32.912518, -96.891529)",6,3
ALTA STATE THOMAS,2828 WOODSIDE ST,75204,MIX,09/21/2017,09/22/2017,"2828 WOODSIDE ST75204
(32.797928, -96.800026)",12,3
THOMAS O. BAILEY & CROWDER & ASSOC.,6060 N CENTRAL EXPY Ste:400,75206,R3,09/21/2017,11/30/2017,"6060 N CENTRAL EXPY Ste:40075206
(32.840126, -96.776041)",12,3
VILLAGE FAIR COMMUNITY GUIDANCE CENTER / S.C.G.C.,4949 VILLAGE FAIR DR,75224,E,09/21/2017,,"4949 VILLAGE FAIR DR75224
(32.691766, -96.82489)",4,3
TEXAS TAX PROTEST,8111 L B J FWY Ste:1285,75240,B,09/21/2017,11/07/2017,8111 L B J FWY Ste:128575240,,
HASKELL FLATS,1500 N HASKELL AVE,75204,R2,09/21/2017,09/26/2017,"1500 N HASKELL AVE75204
(32.798425, -96.782088)",12,3
SELECT TEMPORIES INC,12700 HILLCREST RD Ste:230,75230,B,09/21/2017,11/09/2017,"12700 HILLCREST RD Ste:23075230
(32.922363, -96.786169)",10,3
MARKETPLACE AT WEBB CHAPEL,9655 WEBB CHAPEL RD,75220,,09/21/2017,09/22/2017,"9655 WEBB CHAPEL RD75220
(32.865615, -96.863285)",6,3
A. J. AUTOMOBILE REPAIR,2309 OATES DR,75228,S1,09/21/2017,09/22/2017,"2309 OATES DR75228
(32.821565, -96.677318)",13,3
HEAP OF CHEAP,7728 GREAT TRINITY FOREST WAY Ste:6,75217,M,09/21/2017,09/25/2017,"7728 GREAT TRINITY FOREST WAY Ste:675217
(32.712429, -96.689307)",8,3
EVEREST CELLULAR PARTS,11528 HARRY HINES BLVD Ste:A104,75229,S1,09/21/2017,09/22/2017,"11528 HARRY HINES BLVD Ste:A10475229
(32.900681, -96.892783)",6,3
JUICE ZONE,13350 DALLAS PKWY Ste:520,75240,M,09/21/2017,11/16/2017,"13350 DALLAS PKWY Ste:52075240
(32.930161, -96.820963)",10,3
BLACKHILL PARTNERS,2021 MCKINNEY AVE Ste:200,75201,B,09/21/2017,11/30/2017,"2021 MCKINNEY AVE Ste:20075201
(32.791624, -96.803269)",12,3
THE ALCOVE,2907 STATE ST,75204,A2,09/21/2017,03/20/2018,"2907 STATE ST75204
(32.797689, -96.79749)",12,3
AJ BODY SHOP,2521 MERRELL RD Ste:102,75229,S1,09/21/2017,10/04/2017,"2521 MERRELL RD Ste:10275229
(32.888034, -96.893142)",6,3
SFN VENTURES LLC,2636 WALNUT HILL LN Ste:230,75220,B,09/21/2017,09/22/2017,2636 WALNUT HILL LN Ste:23075220,,
WOLTERS KLUWER,1999 BRYAN ST Ste:925,75201,B,09/21/2017,11/22/2017,"1999 BRYAN ST Ste:92575201
(32.784657, -96.796589)",12,3
IDEAL DENTAL,9285 LOOKOUT PT Ste:100,75231,B,09/21/2017,,9285 LOOKOUT PT Ste:10075231,,
AMAZON,3351 BALMORHEA DR,75134,S1,09/21/2017,09/22/2017,3351 BALMORHEA DR75134,,
ONE CALL CLAIMS,12005 FORD RD Ste:545,75234,B,09/21/2017,09/22/2017,"12005 FORD RD Ste:54575234
(32.912518, -96.891529)",6,3
NORTH TEXAS DIALYSIS ACCESS CLINIC,7777 FOREST LN Ste:B446,75251,B,09/21/2017,10/31/2017,"7777 FOREST LN Ste:B44675251
(32.909447, -96.772089)",10,3
LA AZTECA MEAT MARKET #11,4611 COLUMBIA AVE Ste:103,75246,M,09/21/2017,10/17/2017,"4611 COLUMBIA AVE Ste:10375246
(32.792962, -96.766382)",2,3
T-MOBILE,2410 S BECKLEY AVE Ste:A,75216,U,09/21/2017,07/23/2018,2410 S BECKLEY AVE Ste:A75216,,
MIKEY B'PERFECT LLC,1322 ROUND TABLE DR,75247,S1,09/20/2017,09/27/2017,"1322 ROUND TABLE DR75247
(32.834254, -96.883626)",6,3
LRZ CORNER STORE,9203 BRUTON RD Ste:100,75227,B,09/20/2017,11/02/2017,9203 BRUTON RD Ste:10075227,,
SLIPSTREAM AVIATION,5435 SATURN DR Ste:200,75237,B,09/20/2017,09/21/2017,"5435 SATURN DR Ste:20075237
(32.681411, -96.863571)",3,3
TINY VICTORIES,604 N TYLER ST,75208,B,09/20/2017,04/18/2018,"604 N TYLER ST75208
(32.749654, -96.837583)",1,3
THE JUDGE GROUP,12700 PARK CENTRAL DR Ste:1070,75251,B,09/20/2017,11/15/2017,"12700 PARK CENTRAL DR Ste:107075251
(32.920732, -96.777007)",10,3
INTEGRITY MARKETING GROUP,9111 CYPRESS WATERS BLVD,75019,B,09/20/2017,12/22/2017,"9111 CYPRESS WATERS BLVD75019
(32.931469, -96.985998)",6,3
MI LINDO OAXACA,607 N WILLOMET AVE,75208,B,09/20/2017,05/29/2018,"607 N WILLOMET AVE75208
(32.749798, -96.84035)",1,3
WHITE ROCK DENTAL GROUP,8940 GARLAND RD,75218,B,09/20/2017,09/25/2017,"8940 GARLAND RD75218
(32.826997, -96.710164)",13,3
SLIPSTREAM AVIATION,5435 SATURN DR Ste:200,75237,B,09/20/2017,09/21/2017,"5435 SATURN DR Ste:20075237
(32.681411, -96.863571)",3,3
MAGNOLIA STATION,1607 LYTE ST,75201,R2,09/20/2017,09/21/2017,"1607 LYTE ST75201
(32.792067, -96.810047)",2,3
LULULEMON   ATHLETICA,8687 N CENTRAL EXPY Ste:624,75225,M,09/20/2017,12/12/2017,"8687 N CENTRAL EXPY Ste:62475225
(32.86875, -96.770691)",11,3
SLIPSTREAM AVIATION,5435 SATURN DR Ste:200,75237,B,09/20/2017,09/21/2017,"5435 SATURN DR Ste:20075237
(32.681411, -96.863571)",3,3
DABS FOOD & HERB GARDEN,8525 GARLAND RD Ste:BU1,75218,A2,09/20/2017,09/20/2017,"8525 GARLAND RD Ste:BU175218
(32.82241, -96.715563)",13,3
BETANIA - SERVICES,3025 WEBB CHAPEL EXT Ste:105,75220,B,09/20/2017,09/21/2017,"3025 WEBB CHAPEL EXT Ste:10575220
(32.858568, -96.868679)",2,3
MOYA SCHOOL OF WRESTLING,414 N TYLER ST,75208,B,09/20/2017,09/21/2017,"414 N TYLER ST75208
(32.748233, -96.837591)",1,3
