"precinct","race","leg","cc","cg","countergroup","party","countertype","sumofcount"
"SHL 32-3556","Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","NP","Times Under Voted","8"
"KELLY","Kent School District No. 415 Kent School District No. 415 Proposition No. 2","11","9","8","Total","NP","Registered Voters","380"
"BEL 48-0132","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3","48","6","9","Total","<NP>","No","37"
"BEL 48-0132","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2","48","6","9","Total","NP","Times Over Voted","0"
"AUB 47-2839","Valley Regional Fire Authority Valley Regional Fire Authority Proposition No. 1","47","7","8","Total","NP","Times Under Voted","8"
"BEL 41-0408","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2","41","6","9","Total","<NP>","No","47"
"BOT 01-3271","Northshore School District No. 417 Northshore School District No. 417 Proposition No. 3","1","1","1","Total","<NP>","Yes","97"
"KIR 45-3612","Northshore School District No. 417 Northshore School District No. 417 Proposition No. 2","45","6","1","Total","<NP>","Approved","42"
"BEL 48-0160","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2","48","6","9","Total","NP","Times Over Voted","0"
"ANNIE","Kent School District No. 415 Kent School District No. 415 Proposition No. 1","47","7","8","Total","NP","Registered Voters","1"
"ISS 05-0547","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 3","5","3","8","Total","NP","Times Over Voted","0"
"DES 33-2623","Highline School District No. 401 Highline School District No. 401 Proposition No. 1","33","5","9","Total","NP","Times Counted","150"
"SHL 32-0454","Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","NP","Times Counted","111"
"NEW 41-3241","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 2","41","9","9","Total","NP","Registered Voters","736"
"BEL 41-0815","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2","41","9","9","Total","NP","Times Counted","90"
"C-H 48-0321","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3","48","6","1","Total","<NP>","Yes","59"
"KMR 46-3594","Northshore School District No. 417 Northshore School District No. 417 Proposition No. 3","46","1","1","Total","NP","Times Under Voted","4"
"AUB 30-2703","Valley Regional Fire Authority Valley Regional Fire Authority Proposition No. 1","30","7","8","Total","<NP>","No","1"
"TWINBERRY","Riverview School District No. 407 Riverview School District No. 407 Proposition No. 2","45","3","1","Total","NP","Registered Voters","167"
"PAC 30-2856","Valley Regional Fire Authority Valley Regional Fire Authority Proposition No. 1","30","7","8","Total","NP","Times Over Voted","0"
"MCCOY","Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 1","5","9","8","Total","NP","Times Under Voted","3"
"HAM LAKE","Kent School District No. 415 Kent School District No. 415 Proposition No. 1","47","9","8","Total","NP","Registered Voters","484"
"KEN 47-3579","Kent School District No. 415 Kent School District No. 415 Proposition No. 2","47","5","8","Total","<NP>","No","23"
"MAPLE HILLS","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 3","5","9","8","Total","NP","Times Over Voted","0"
"DUV 45-3218","Riverview School District No. 407 Riverview School District No. 407 Proposition No. 3","45","3","1","Total","NP","Registered Voters","577"
"BEL 48-0217","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2","48","6","9","Total","<NP>","No","73"
"AMES LAKE","Riverview School District No. 407 Riverview School District No. 407 Proposition No. 1","5","3","1","Total","<NP>","Yes","21"
"NPK 33-0852","Highline School District No. 401 Highline School District No. 401 Proposition No. 1","33","5","7","Total","NP","Times Counted","198"
"M-I 41-0779","Mercer Island School District No. 400 Mercer Island School District No. 400 Proposition No. 1","41","6","9","Total","<NP>","No","85"
"DES 33-2623","Highline School District No. 401 Highline School District No. 401 Proposition No. 1","33","5","9","Total","<NP>","Yes","89"
"RNT 11-3780","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 3","11","9","9","Total","NP","Times Under Voted","2"
"BEL 48-0188","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2","48","6","9","Total","<NP>","No","74"
"SHL 32-0665","Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0346","Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","<NP>","No","24"
"COV 47-3551","Kent School District No. 415 Kent School District No. 415 Proposition No. 1","47","9","8","Total","<NP>","No","82"
"SHL 32-0897","Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","<NP>","Yes","92"
"CLEVELAND","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","45","3","1","Total","NP","Times Over Voted","0"
"KIR 01-2561","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1","1","1","1","Total","NP","Times Counted","256"
"FED 30-3003","Federal Way School District No. 210 Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","Times Counted","170"
"SAM 45-3454","Snoqualmie Valley School District No. 410 Snoqualmie Valley School District No. 410 Proposition No. 2","45","3","8","Total","<NP>","Yes","10"
"BEL 48-1023","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 1","48","6","9","Total","<NP>","No","74"
"RED 45-2410","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","45","3","1","Total","<NP>","Approved","221"
"MERLIN","Federal Way School District No. 210 Federal Way School District No. 210 Proposition No. 1","30","7","8","Total","NP","Registered Voters","439"
"LFP 46-0517","Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1","46","1","7","Total","NP","Times Over Voted","0"
"RED 45-2659","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","45","3","1","Total","<NP>","Rejected","28"
"KEN 33-3753","Kent School District No. 415 Kent School District No. 415 Proposition No. 2","33","5","9","Total","NP","Times Counted","56"
"BEL 41-0120","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 1","41","6","9","Total","NP","Times Over Voted","0"
"SHL 32-0335","Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","<NP>","No","46"
"PORT","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","45","6","1","Total","NP","Registered Voters","0"
"BEL 41-2935","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 1","41","9","9","Total","<NP>","Yes","53"
"BEL 48-0133","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2","48","6","9","Total","NP","Registered Voters","318"
"FED 30-3289","Federal Way School District No. 210 Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","Registered Voters","311"
"SAM 45-3388","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1","45","3","8","Total","<NP>","Yes","157"
"HAAS","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 2","5","9","8","Total","NP","Times Under Voted","11"
"NEW 41-3528","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 2","41","9","9","Total","<NP>","Yes","77"
"MARYMOOR","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2","48","3","1","Total","NP","Times Over Voted","0"
"M-V 05-3366","Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 3","5","9","8","Total","<NP>","Yes","49"
"KIR 01-3678","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2","1","1","1","Total","NP","Registered Voters","395"
"BOT 01-0262","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2","1","1","1","Total","NP","Times Over Voted","0"
"ANGELO","Federal Way School District No. 210 Federal Way School District No. 210 Proposition No. 1","30","7","8","Total","NP","Times Counted","141"
"KIR 45-2786","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2","45","6","1","Total","NP","Times Counted","188"
"BEL 41-0211","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 1","41","6","9","Total","<NP>","No","63"
"FOREST","Kent School District No. 415 Kent School District No. 415 Proposition No. 2","47","9","8","Total","NP","Times Over Voted","0"
"KIR 45-3668","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2","45","1","1","Total","NP","Registered Voters","454"
"RED 48-3208","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2","48","6","1","Total","<NP>","Yes","52"
"COTTAGE LAKE","Northshore School District No. 417 Northshore School District No. 417 Proposition No. 2","45","3","1","Total","NP","Registered Voters","449"
"CROSS","Vashon Island School District No. 402 Vashon Island School District No. 402 Proposition No. 1","34","8","7","Total","<NP>","Yes","167"
"SHL 32-0232","Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1","32","1","7","Total","NP","Times Under Voted","8"
"BEL 48-0216","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 1","48","6","9","Total","<NP>","No","71"
"B-D 05-2407","Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 3","5","9","8","Total","NP","Times Over Voted","0"
"ISS 05-3527","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 3","5","3","8","Total","NP","Times Under Voted","5"
"BOT 01-1224","Northshore School District No. 417 Northshore School District No. 417 Proposition No. 1","1","1","1","Total","<NP>","Yes","162"
"BEL 41-0408","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 1","41","6","9","Total","<NP>","Yes","46"
"KIR 48-3760","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1","48","6","1","Total","<NP>","Yes","80"
"KIR 45-2471","Northshore School District No. 417 Northshore School District No. 417 Proposition No. 1","45","6","1","Total","<NP>","Yes","83"
"AUB 47-3765","Valley Regional Fire Authority Valley Regional Fire Authority Proposition No. 1","47","7","8","Total","<NP>","Yes","51"
"SILVER SPURS","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2","48","6","1","Total","<NP>","No","0"
"KRAIN","Enumclaw School District No. 216 Enumclaw School District No. 216 Proposition No. 1","5","9","8","Total","NP","Times Over Voted","0"
"VEAZIE","Enumclaw School District No. 216 Enumclaw School District No. 216 Proposition No. 1","5","9","8","Total","NP","Times Under Voted","1"
"RED 48-3664","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1","48","3","1","Total","<NP>","No","31"
"CORWIN","Northshore School District No. 417 Northshore School District No. 417 Proposition No. 1","45","3","1","Total","NP","Times Counted","306"
"TUK 11-1167","Kent School District No. 415 Kent School District No. 415 Proposition No. 2","11","5","9","Total","NP","Times Under Voted","0"
"ISABELLA","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2","45","3","1","Total","NP","Times Over Voted","0"
"SAM 41-3607","Snoqualmie Valley School District No. 410 Snoqualmie Valley School District No. 410 Proposition No. 2","41","3","8","Total","NP","Times Under Voted","9"
"KEN 47-1151","Kent School District No. 415 Kent School District No. 415 Proposition No. 2","47","9","8","Total","NP","Times Under Voted","15"
"STILLWATER","Riverview School District No. 407 Riverview School District No. 407 Proposition No. 1","45","3","1","Total","NP","Times Under Voted","6"
"KIR 48-0646","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1","48","6","1","Total","<NP>","No","110"
"ISS 05-3559","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 2","5","3","8","Total","NP","Times Under Voted","1"
"BEL 41-0518","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2","41","9","9","Total","NP","Times Under Voted","2"
"BEL 48-0138","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 1","48","6","9","Total","NP","Registered Voters","391"
"KIR 45-3646","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","45","6","1","Total","NP","Times Counted","40"
"SAM 45-2726","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1","45","3","8","Total","<NP>","No","77"
"KIR 45-0619","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","45","6","1","Total","NP","Times Over Voted","0"
"BEL 41-1235","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3","41","9","9","Total","NP","Times Counted","122"
"KEN 33-3757","Kent School District No. 415 Kent School District No. 415 Proposition No. 2","33","5","9","Total","NP","Times Over Voted","0"
"KIR 48-2657","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2","48","6","1","Total","NP","Times Counted","144"
"ISS 41-3533","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 2","41","3","8","Total","NP","Times Under Voted","9"
"KIR 48-2863","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1","48","6","1","Total","<NP>","Yes","62"
"BEL 41-0117","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2","41","6","9","Total","<NP>","Yes","42"
"WOD 45-2680","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2","45","6","1","Total","NP","Times Counted","1"
"BEL 41-1026","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3","41","6","9","Total","NP","Times Counted","113"
"N-B 05-2683","Snoqualmie Valley School District No. 410 Snoqualmie Valley School District No. 410 Proposition No. 2","5","3","8","Total","<NP>","Yes","143"
"ISS 05-3138","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 3","5","3","8","Total","<NP>","No","71"
"BOT 01-0262","Northshore School District No. 417 Northshore School District No. 417 Proposition No. 2","1","1","1","Total","NP","Times Over Voted","0"
"BEL 41-3684","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 2","41","6","9","Total","NP","Times Counted","74"
"BEL 48-3761","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3","48","6","9","Total","NP","Times Counted","152"
"IVERSON","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 1","5","9","8","Total","NP","Times Counted","5"
"THOMAS","Federal Way School District No. 210 Federal Way School District No. 210 Proposition No. 1","30","7","8","Total","<NP>","No","58"
"WEEKS","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1","45","3","1","Total","<NP>","Yes","112"
"SAM 41-0909","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 1","41","3","8","Total","<NP>","Yes","160"
"BEL 48-0694","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 1","48","6","9","Total","NP","Times Over Voted","0"
"SHL 32-0346","Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","NP","Times Counted","79"
"BEL 41-0206","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3","41","6","9","Total","<NP>","Yes","93"
"FED 30-3035","Federal Way School District No. 210 Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","<NP>","Yes","46"
"KIR 45-1040","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","45","1","1","Total","NP","Times Under Voted","12"
"RED 48-0940","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","48","6","1","Total","NP","Times Under Voted","4"
"ISS 41-2401","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 2","41","3","8","Total","<NP>","No","75"
"BEL 48-0213","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 1","48","6","9","Total","NP","Times Under Voted","1"
"PINE","Enumclaw School District No. 216 Enumclaw School District No. 216 Proposition No. 1","5","7","8","Total","NP","Times Counted","47"
"SHL 32-1210","Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","NP","Registered Voters","568"
"ISS 05-3504","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 2","5","3","8","Total","NP","Times Counted","153"
"EDGEHILL","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 2","41","3","8","Total","NP","Times Over Voted","0"
"SHL 32-1210","Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2","32","1","7","Total","NP","Times Over Voted","0"
"PORT","Northshore School District No. 417 Northshore School District No. 417 Proposition No. 2","45","6","1","Total","NP","Times Counted","4"
"BEL 48-0127","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3","48","6","9","Total","<NP>","Yes","48"
"MARYMOOR","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2","48","3","1","Total","<NP>","No","0"
"COV 47-1153","Kent School District No. 415 Kent School District No. 415 Proposition No. 2","47","9","8","Total","NP","Times Counted","125"
"WOD 45-2680","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","45","6","1","Total","NP","Times Counted","1"
"RENHILL","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 1","5","9","8","Total","NP","Times Over Voted","0"
"BOT 01-3724","Northshore School District No. 417 Northshore School District No. 417 Proposition No. 3","1","1","1","Total","<NP>","No","74"
"SAM 45-3454","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","45","3","8","Total","NP","Times Over Voted","0"
"COV 47-0566","Kent School District No. 415 Kent School District No. 415 Proposition No. 2","47","9","8","Total","NP","Times Counted","208"
"KIR 45-2933","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","45","6","1","Total","<NP>","Rejected","47"
"RATTLESNAKE","Snoqualmie Valley School District No. 410 Snoqualmie Valley School District No. 410 Proposition No. 1","5","3","8","Total","NP","Times Under Voted","3"
"SEALTH","Vashon Island School District No. 402 Vashon Island School District No. 402 Proposition No. 1","34","8","7","Total","NP","Times Under Voted","0"
"RED 48-0937","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2","48","6","1","Total","NP","Times Counted","86"
"RED 48-2449","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","48","6","1","Total","<NP>","Rejected","85"
"AUB 47-2573","Federal Way School District No. 210 Federal Way School District No. 210 Proposition No. 1","47","7","8","Total","<NP>","No","117"
"WEBSTER","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","45","3","1","Total","NP","Times Counted","80"
"BEL 41-3226","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 1","41","6","9","Total","<NP>","No","85"
"RNT 11-2816","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 3","11","9","9","Total","<NP>","Yes","21"
"ISS 41-2409","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 1","41","3","8","Total","<NP>","Yes","330"
"SAM 41-2973","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 3","41","3","8","Total","<NP>","No","112"
"BEL 48-2716","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2","48","6","9","Total","NP","Times Under Voted","1"
"KEN 47-3754","Kent School District No. 415 Kent School District No. 415 Proposition No. 1","47","5","9","Total","NP","Times Under Voted","0"
"BOT 01-3321","Northshore School District No. 417 Northshore School District No. 417 Proposition No. 2","1","1","1","Total","<NP>","Rejected","84"
"BEL 41-2943","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3","41","6","9","Total","NP","Times Over Voted","0"
"ISS 05-3691","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 1","5","3","8","Total","NP","Times Under Voted","0"
"B-D 05-2407","Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 1","5","9","8","Total","NP","Times Counted","268"
"KIR 45-2423","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1","45","6","1","Total","NP","Times Counted","318"
"BEL 41-2429","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2","41","6","9","Total","<NP>","No","115"
"TRILLIUM","Northshore School District No. 417 Northshore School District No. 417 Proposition No. 3","45","3","1","Total","<NP>","No","93"
"LFP 46-0734","Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2","46","1","7","Total","NP","Times Over Voted","0"
"BEL 41-0175","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2","41","6","9","Total","<NP>","No","129"
"KIR 45-1019","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","45","6","1","Total","NP","Times Under Voted","4"
"BEL 48-0160","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3","48","6","9","Total","NP","Times Over Voted","0"
"KEN 47-0439","Kent School District No. 415 Kent School District No. 415 Proposition No. 1","47","5","9","Total","NP","Times Counted","194"
"DES 33-0360","Highline School District No. 401 Highline School District No. 401 Proposition No. 1","33","5","9","Total","<NP>","No","92"
"M-I 41-0787","Mercer Island School District No. 400 Mercer Island School District No. 400 Proposition No. 1","41","6","9","Total","NP","Times Over Voted","0"
"PORTAGE","Vashon Island School District No. 402 Vashon Island School District No. 402 Proposition No. 1","34","8","7","Total","<NP>","No","76"
"DUV 45-3219","Riverview School District No. 407 Riverview School District No. 407 Proposition No. 1","45","3","1","Total","NP","Registered Voters","626"
"FED 30-3055","Federal Way School District No. 210 Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","<NP>","No","44"
"KEN 47-2836","Kent School District No. 415 Kent School District No. 415 Proposition No. 1","47","5","9","Total","<NP>","Yes","71"
"ALG 30-0013","Valley Regional Fire Authority Valley Regional Fire Authority Proposition No. 1","30","7","8","Total","NP","Times Counted","70"
"LFP 46-0653","Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 1","46","1","7","Total","<NP>","No","60"
"KEN 47-3493","Kent School District No. 415 Kent School District No. 415 Proposition No. 2","47","7","8","Total","NP","Registered Voters","593"
"NPK 33-2646","Highline School District No. 401 Highline School District No. 401 Proposition No. 1","33","5","7","Total","NP","Times Counted","211"
"KIR 48-2863","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 2","48","6","1","Total","NP","Times Under Voted","1"
"KMR 46-3592","Northshore School District No. 417 Northshore School District No. 417 Proposition No. 2","46","1","1","Total","NP","Times Counted","174"
"LFP 46-0517","Shoreline School District No. 412 Shoreline School District No. 412 Proposition No. 2","46","1","7","Total","<NP>","No","25"
"KEN 33-3445","Kent School District No. 415 Kent School District No. 415 Proposition No. 1","33","5","8","Total","<NP>","No","62"
"LAKE LEOTA","Northshore School District No. 417 Northshore School District No. 417 Proposition No. 1","45","3","1","Total","<NP>","No","79"
"MIDDLE FORK","Snoqualmie Valley School District No. 410 Snoqualmie Valley School District No. 410 Proposition No. 1","5","3","8","Total","NP","Times Counted","155"
"KEN 47-2985","Kent School District No. 415 Kent School District No. 415 Proposition No. 1","47","5","8","Total","<NP>","Yes","71"
"YPT 48-1234","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 1","48","6","1","Total","<NP>","Yes","88"
"BEL 48-3143","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2","48","6","9","Total","NP","Registered Voters","344"
"SAM 41-1130","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 1","41","3","8","Total","NP","Registered Voters","616"
"MATTHEW","Issaquah School District No. 411 Issaquah School District No. 411 Proposition No. 3","5","9","8","Total","NP","Registered Voters","482"
"RED 48-0935","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","48","3","1","Total","NP","Times Over Voted","0"
"BEL 41-1052","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3","41","9","9","Total","<NP>","No","96"
"BEL 41-1235","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 2","41","9","9","Total","<NP>","No","63"
"COV 47-0313","Kent School District No. 415 Kent School District No. 415 Proposition No. 2","47","9","8","Total","<NP>","No","115"
"DUV 45-3218","Riverview School District No. 407 Riverview School District No. 407 Proposition No. 1","45","3","1","Total","NP","Times Under Voted","5"
"KEN 33-0591","Kent School District No. 415 Kent School District No. 415 Proposition No. 1","33","5","9","Total","NP","Times Under Voted","0"
"AUB 47-3585","Valley Regional Fire Authority Valley Regional Fire Authority Proposition No. 1","47","7","8","Total","<NP>","Yes","55"
"KEN 47-0498","Kent School District No. 415 Kent School District No. 415 Proposition No. 1","47","9","8","Total","NP","Registered Voters","231"
"KMR 46-3594","Northshore School District No. 417 Northshore School District No. 417 Proposition No. 2","46","1","1","Total","<NP>","Rejected","33"
"SET 33-3070","Highline School District No. 401 Highline School District No. 401 Proposition No. 1","33","5","9","Total","NP","Times Counted","97"
"AUB 47-3585","Kent School District No. 415 Kent School District No. 415 Proposition No. 2","47","7","8","Total","<NP>","No","14"
"SAM 41-2690","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","41","3","8","Total","NP","Times Over Voted","0"
"DUV 45-3481","Riverview School District No. 407 Riverview School District No. 407 Proposition No. 3","45","3","1","Total","NP","Times Under Voted","3"
"KIR 01-3422","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1","1","1","1","Total","<NP>","Yes","115"
"KEN 33-2618","Kent School District No. 415 Kent School District No. 415 Proposition No. 1","33","5","9","Total","NP","Registered Voters","489"
"M-V 05-0528","Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 1","5","9","8","Total","<NP>","No","151"
"MCDONALD","Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 1","5","9","8","Total","<NP>","No","9"
"SAM 45-2684","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 3","45","3","8","Total","<NP>","Rejected","52"
"BEL 41-0017","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3","41","6","9","Total","NP","Times Over Voted","0"
"BEL 48-0138","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3","48","6","9","Total","NP","Registered Voters","391"
"KIR 48-3196","Lake Washington School District No. 414 Lake Washington School District No. 414 Proposition No. 1","48","6","1","Total","NP","Registered Voters","454"
"FED 30-3372","Federal Way School District No. 210 Federal Way School District No. 210 Proposition No. 1","30","7","9","Total","NP","Times Counted","141"
"BEL 48-0163","Bellevue School District No. 405 Bellevue School District No. 405 Proposition No. 3","48","6","9","Total","<NP>","No","53"
"TAHOMA","Tahoma School District No. 409 Tahoma School District No. 409 Proposition No. 1","5","9","8","Total","<NP>","No","162"
