"impound_no","data_source","record_type","link","current_location","animal_name","animal_type","animal_gender","animal_breed","animal_color","date","date_type","obfuscated_address","city","state","zip","jurisdiction","obfuscated_latitude","obfuscated_longitude","image","image_alt_text","memo"
"K22-149514","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2479746","In Public Home",,"Dog","Female","West Highland White Terrier","White","2022-08-06T00:00:00.000","Date Found","NE  188TH ST/BOTHELL-EVERETT",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2479746","Image Copyright HLP Inc. 2022","<p/>Age: Over 1 year<p/>Found Near: NE 188th St/Bothell-Everett, Bothell WA  98011<p/>Found Date: 2022-08-06<p/>"
"K22-150442","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A671524","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Pete","Rabbit Sh","Spayed Female","Rabbit Sh","White","2022-08-30T00:00:00.000","Received on","12400 block of  SE 208TH ST","KENT","WA","98031","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671524","Image Copyright HLP Inc. 2022","Received on: 2022-08-30<p/> Found Near: 12400 block of  SE 208TH ST<p/> Description: White Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-150662","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A671892","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Bitsy","Dog","Female","Labrador Retriever","Black / Brown","2022-09-06T00:00:00.000","Received on","21600 block of  64TH AVE S","KENT","WA","98032","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671892","Image Copyright HLP Inc. 2022","Received on: 2022-09-06<p/> Found Near: 21600 block of  64TH AVE S<p/> Description: Black / Brown Female Labrador Retriever Dog<p/> Age: 1 WEEK<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-149915","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2484272","In Public Home",,"Dog","Female","Beagle","Unknown","2022-08-19T00:00:00.000","Date Found","SW  110TH ST & 4TH AVE SW",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2484272","Image Copyright HLP Inc. 2022","Description: Found at SW 110th & 4th Ave SW around 1:00pm 8/19/22<p/>•	No collar<p/>•	Size: Small-Medium <p/>•	Fur: Golden/yellow <p/>•	Sex: Female<p/>•	Age: Old (cataracts present)<p/>•	Distinguishing Features: Maybe arthritic hips (limping), small chunk out of left ear, very sweet/friendly<p/><p/>Age: Old (cataracts present)<p/>Found Near: SW 110th St & 4th Ave SW, Seattle WA  98146<p/>Found Date: 2022-08-19<p/>"
"K22-149758","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx",,,"Dead Dog","Female","Chihuahua - Smooth Coated","Brown","2022-08-15T00:00:00.000","Received on","12800 block of  LAKE KATHLEEN RD SE","RENTON","WA","98059","KING COUNTY","47.486449","-122.095072",,"Image Copyright HLP Inc. 2022","Received on: 2022-08-15<p/> Found Near: 12800 block of  LAKE KATHLEEN RD SE<p/> Description: Brown Female Chihuahua - Smooth Coated Dog<p/> Age: NO AGE<p/>"
"K22-149543","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2480029","In Public Home","Sarah Steina","Cat","Unknown","Domestic Shorthair","Unknown","2022-08-01T00:00:00.000","Date Found","114TH  AVE S AND OCCIDENTAL AVE. S.",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2480029","Image Copyright HLP Inc. 2022","Description: Black and White Tuxedo<p/>Age: Unknown<p/>Found Near: 114th Ave S and Occidental Ave. S., Seattle WA  98168<p/>Found Date: 2022-08-01<p/>"
"K22-150885","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A672394","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,"Cat","Female","Domestic Shorthair","Tortie","2022-09-12T00:00:00.000","Received on","21200 block of  100TH PL SE","KENT","WA","98031","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A672394","Image Copyright HLP Inc. 2022","Received on: 2022-09-12<p/> Found Near: 21200 block of  100TH PL SE<p/> Description: Tortie Female Domestic Shorthair Cat<p/> Age: 7 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-150650","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home",,"Cat","Female","Domestic Shorthair","Calico","2022-09-06T00:00:00.000","Received on","26300 block of  SE 424TH ST","ENUMCLAW","WA","98022","KING COUNTY","47.2207","-121.991013","https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671878","Image Copyright HLP Inc. 2022","Received on: 2022-09-06<p/> Found Near: 26300 block of  SE 424TH ST<p/> Description: Calico Female Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-150631","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A671854","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Eliza","Cat","Spayed Female","Domestic Shorthair","Gray Tabby","2022-09-06T00:00:00.000","Received on","3100 block of  S 176TH ST","SEATAC","WA","98188","SEATAC","47.444499","-122.29273","https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671854","Image Copyright HLP Inc. 2022","Received on: 2022-09-06<p/> Found Near: 3100 block of  S 176TH ST<p/> Description: Gray Tabby Spayed Female Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-149747","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2482248","In Public Home","Unknown","Dog","Female","Dalmatian","White","2022-08-12T00:00:00.000","Date Found","LAKEMONT  BLVD. AND NEWPORT WAY.",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2482248","Image Copyright HLP Inc. 2022","Description: White with black spots medium sized with looks of a pit bull mix.<p/>Age: Unknown<p/>Found Near: Lakemont Blvd. and Newport Way., Bellevue WA  98006<p/>Found Date: 2022-08-12<p/>"
"K22-150604","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx",,"Lord Simeon","Dead Dog","Neutered Male","Miniature Pinscher","Black / Brown","2022-09-04T00:00:00.000","Received on","25200 block of  109TH PL SE","KENT","WA","98030","KENT",,,,"Image Copyright HLP Inc. 2022","Received on: 2022-09-04<p/> Found Near: 25200 block of  109TH PL SE<p/> Description: Black / Brown Neutered Male Miniature Pinscher Dog<p/> Age: 13 YEARS 8 MONTHS<p/>"
"K22-150908","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A672468","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","G.b.","Dog","Male","Labrador Retriever / Mix","White / Brown","2022-09-13T00:00:00.000","Received on","1600 block of  W JAMES LN","KENT","WA","98032","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A672468","Image Copyright HLP Inc. 2022","Received on: 2022-09-13<p/> Found Near: 1600 block of  W JAMES LN<p/> Description: White / Brown Male Labrador Retriever / Mix Dog<p/> Age: 13 YEARS 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-149858","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx",,,"Dead Cat","Unknown","Domestic Shorthair","White / Black","2022-08-17T00:00:00.000","Received on","16000 block of  8TH AVE NE","SHORELINE","WA","98155","SHORELINE",,,,"Image Copyright HLP Inc. 2022","Received on: 2022-08-17<p/> Found Near: 16000 block of  8TH AVE NE<p/> Description: White / Black Unknown Domestic Shorthair Cat<p/> Age: NO AGE<p/>"
"K22-150799","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A672108","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,"Cat","Female","Domestic Shorthair","Tortie","2022-09-09T00:00:00.000","Received on","11600 block of  SE 223RD DR","KENT","WA","98031","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A672108","Image Copyright HLP Inc. 2022","Received on: 2022-09-09<p/> Found Near: 11600 block of  SE 223RD DR<p/> Description: Tortie Female Domestic Shorthair Cat<p/> Age: 3 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-149930","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2484432","In Public Home",,"Dog","Female","Pug","Unknown","2022-08-19T00:00:00.000","Date Found","99TH  AVE NE AND NE 14TH ST",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2484432","Image Copyright HLP Inc. 2022","Description: A light tan female pug-like dog with no collar.<p/>Age: Unknown<p/>Found Near: 99th Ave NE and NE 14th St, Bellevue WA  98004<p/>Found Date: 2022-08-19<p/>"
"K22-150701","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home","Carl","Cat","Female","Domestic Shorthair","Brn Tabby","2022-09-07T00:00:00.000","Received on","11100 block of  SE 208TH ST","KENT","WA","98031","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671944","Image Copyright HLP Inc. 2022","Received on: 2022-09-07<p/> Found Near: 11100 block of  SE 208TH ST<p/> Description: Brn Tabby Female Domestic Shorthair Cat<p/> Age: 5 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-150625","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home",,"Cat","Male","Domestic Shorthair","Brn Tabby","2022-09-06T00:00:00.000","Received on","27400 block of  220TH PL SE","MAPLE VALLEY","WA","98038","MAPLE VALLEY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671847","Image Copyright HLP Inc. 2022","Received on: 2022-09-06<p/> Found Near: 27400 block of  220TH PL SE<p/> Description: Brn Tabby Male Domestic Shorthair Cat<p/> Age: 3 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-148312","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A667847","Covington Petco 27111 167TH PL SE COVINGTON, WA 98042","Orca","Cat","Spayed Female","Domestic Shorthair","White","2022-07-10T00:00:00.000","Received on","11400 block of  164TH AVE SE","RENTON","WA","98059","KING COUNTY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A667847","Image Copyright HLP Inc. 2022","Received on: 2022-07-10<p/> Found Near: 11400 block of  164TH AVE SE<p/> Description: White Spayed Female Domestic Shorthair Cat<p/> Age: 7 YEARS 1 MONTH<p/> Current Location: Covington Petco 27111 167TH PL SE COVINGTON, WA 98042<p/>"
"K22-150616","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx",,,"Dead Bird","Unknown","Crow","Black","2022-09-05T00:00:00.000","Received on","4200 block of  LIND AVE SW","RENTON","WA","98057","RENTON",,,,"Image Copyright HLP Inc. 2022","Received on: 2022-09-05<p/> Found Near: 4200 block of  LIND AVE SW<p/> Description: Black Unknown Crow Bird<p/> Age: NO AGE<p/>"
"K22-150085","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx",,,"Dead Cat","Unknown","Domestic Shorthair","Gray","2022-08-24T00:00:00.000","Received on","23600 block of  64TH PL S","KENT","WA","98032","KENT","47.389995","-122.253947",,"Image Copyright HLP Inc. 2022","Received on: 2022-08-24<p/> Found Near: 23600 block of  64TH PL S<p/> Description: Gray Unknown Domestic Shorthair Cat<p/> Age: 2 YEARS<p/>"
"K22-150614","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A671812","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Artemis","Cat","Spayed Female","Domestic Shorthair","Tortie","2022-09-04T00:00:00.000","Received on","200 block of  4TH AVE S","KENT","WA","98032","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671812","Image Copyright HLP Inc. 2022","Received on: 2022-09-04<p/> Found Near: 200 block of  4TH AVE S<p/> Description: Tortie Spayed Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-150121","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A671210","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Romeo","Cat","Male","Domestic Shorthair","Brn Tabby / White","2022-08-25T00:00:00.000","Received on","10900 block of  SE 250TH CT","KENT","WA","98030","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671210","Image Copyright HLP Inc. 2022","Received on: 2022-08-25<p/> Found Near: 10900 block of  SE 250TH CT<p/> Description: Brn Tabby / White Male Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-149409","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2479059","In Public Home","Allison Orr","Dog","Male","Alaskan Husky","Unknown","2022-08-07T00:00:00.000","Date Found","4500 block of  34TH AVE SOUTH","4508 34TH AVE",,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2479059","Image Copyright HLP Inc. 2022","Description: Mix - husky, shepherd, golden retriever. blue color. no tags. Intact male. Cream colored longer hair with dark brown eyes<p/>Age: Unknown<p/>Found Near: 4500 block of  34TH AVE SOUTH<p/>Found Date: 2022-08-07<p/>"
"K22-150666","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A671896","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Gussie","Dog","Female","Labrador Retriever / Mix","Tan","2022-09-06T00:00:00.000","Received on","21600 block of  64TH AVE S","KENT","WA","98032","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671896","Image Copyright HLP Inc. 2022","Received on: 2022-09-06<p/> Found Near: 21600 block of  64TH AVE S<p/> Description: Tan Female Labrador Retriever / Mix Dog<p/> Age: 1 WEEK<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-150704","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home","Fred","Cat","Male","Domestic Shorthair","Flame Pt","2022-09-07T00:00:00.000","Received on","11100 block of  SE 208TH ST","KENT","WA","98031","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671948","Image Copyright HLP Inc. 2022","Received on: 2022-09-07<p/> Found Near: 11100 block of  SE 208TH ST<p/> Description: Flame Pt Male Domestic Shorthair Cat<p/> Age: 5 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-150443","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A671526","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Holly","Rabbit Sh","Spayed Female","Rabbit Sh","White / Gray","2022-08-30T00:00:00.000","Received on","12400 block of  SE 208TH ST","KENT","WA","98031","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671526","Image Copyright HLP Inc. 2022","Received on: 2022-08-30<p/> Found Near: 12400 block of  SE 208TH ST<p/> Description: White / Gray Spayed Female Rabbit Sh Rabbit Sh<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-150363","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2488214","In Public Home",,"Cat","Male","American Shorthair","Gray / White","2022-08-29T00:00:00.000","Date Found","11300 block of  SE KENT KANGLEY RD,",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2488214","Image Copyright HLP Inc. 2022","Description: Multi color gray and white<p/>Age: Unknown<p/>Found Near: 11300 block of  SE KENT KANGLEY RD, <p/>Found Date: 2022-08-29<p/>"
"K22-150910","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A672470","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,"Cat","Male","Domestic Shorthair","Brn Tabby","2022-09-13T00:00:00.000","Received on","26300 block of  SE 424TH ST","ENUMCLAW","WA","98022","KING COUNTY","0","0","https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A672470","Image Copyright HLP Inc. 2022","Received on: 2022-09-13<p/> Found Near: 26300 block of  SE 424TH ST<p/> Description: Brn Tabby Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-150820","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A672182","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,"Cat","Female","Domestic Shorthair","Gray","2022-09-10T00:00:00.000","Received on","24400 block of  148TH AVE SE","KENT","WA","98042","COVINGTON",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A672182","Image Copyright HLP Inc. 2022","Received on: 2022-09-10<p/> Found Near: 24400 block of  148TH AVE SE<p/> Description: Gray Female Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-150627","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home",,"Cat","Female","Domestic Shorthair","Black / White","2022-09-06T00:00:00.000","Received on","27400 block of  220TH PL SE","MAPLE VALLEY","WA","98038","MAPLE VALLEY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671849","Image Copyright HLP Inc. 2022","Received on: 2022-09-06<p/> Found Near: 27400 block of  220TH PL SE<p/> Description: Black / White Female Domestic Shorthair Cat<p/> Age: 3 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-149662","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2481174","In Public Home",,"Dog","Male","Canaan Dog","Unknown","2022-08-12T00:00:00.000","Date Found","I-90  EXIT 38 (SNOQUALMIE PASS AREA)",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2481174","Image Copyright HLP Inc. 2022","Description: Found on road near hiking areas of Exit 38 along I-90 in Snoqualmie Pass. Tan colored male Canaan dog. No collar/no chip. Dog seemed scared and Lost for a night but otherwise friendly.<p/>Age: Over 1 year<p/>Found Near: I-90 Exit 38 (Snoqualmie Pass area), North Bend WA  98045<p/>Found Date: 2022-08-12<p/>"
"K22-150658","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A671888","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Samuel","Dog","Male","Labrador Retriever / Mix","Black","2022-09-06T00:00:00.000","Received on","21600 block of  64TH AVE S","KENT","WA","98032","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A671888","Image Copyright HLP Inc. 2022","Received on: 2022-09-06<p/> Found Near: 21600 block of  64TH AVE S<p/> Description: Black Male Labrador Retriever / Mix Dog<p/> Age: 1 WEEK<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
