"race","precinct","legislative_district","county_council_district","congressional_district","party","candidate","sumofcount"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0062","31","7","8","NP","Registered Voters","633.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0062","31","7","8","NP","REJECTED","287.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0062","31","7","8","NP","Times Blank Voted","26.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0062","31","7","8","NP","Times Counted","419.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0062","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0063","31","7","8","NP","APPROVED","49.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0063","31","7","8","NP","Registered Voters","276.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0063","31","7","8","NP","REJECTED","113.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0063","31","7","8","NP","Times Blank Voted","17.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0063","31","7","8","NP","Times Counted","179.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0063","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0064","31","7","8","NP","APPROVED","66.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0064","31","7","8","NP","Registered Voters","334.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0064","31","7","8","NP","REJECTED","98.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0064","31","7","8","NP","Times Blank Voted","10.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0064","31","7","8","NP","Times Counted","174.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0064","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0065","31","7","8","NP","APPROVED","58.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0065","31","7","8","NP","Registered Voters","279.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0065","31","7","8","NP","REJECTED","94.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0065","31","7","8","NP","Times Blank Voted","14.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0065","31","7","8","NP","Times Counted","166.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0065","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0067","31","7","9","NP","APPROVED","99.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0067","31","7","9","NP","Registered Voters","458.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0067","31","7","9","NP","REJECTED","141.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0067","31","7","9","NP","Times Blank Voted","19.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0067","31","7","9","NP","Times Counted","259.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0067","31","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0069","31","7","8","NP","APPROVED","54.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0069","31","7","8","NP","Registered Voters","284.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0069","31","7","8","NP","REJECTED","143.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0069","31","7","8","NP","Times Blank Voted","11.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0069","31","7","8","NP","Times Counted","208.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0069","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0070","31","7","9","NP","APPROVED","110.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0070","31","7","9","NP","Registered Voters","629.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0070","31","7","9","NP","REJECTED","238.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0070","31","7","9","NP","Times Blank Voted","24.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0070","31","7","9","NP","Times Counted","372.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0070","31","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0080","31","7","8","NP","APPROVED","102.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0080","31","7","8","NP","Registered Voters","500.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0080","31","7","8","NP","REJECTED","220.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0080","31","7","8","NP","Times Blank Voted","32.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0080","31","7","8","NP","Times Counted","354.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0080","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0081","31","7","9","NP","APPROVED","97.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0081","31","7","9","NP","Registered Voters","436.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0081","31","7","9","NP","REJECTED","158.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0081","31","7","9","NP","Times Blank Voted","18.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0081","31","7","9","NP","Times Counted","273.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0081","31","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0082","31","7","8","NP","APPROVED","90.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0082","31","7","8","NP","Registered Voters","388.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0082","31","7","8","NP","REJECTED","160.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0082","31","7","8","NP","Times Blank Voted","20.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0082","31","7","8","NP","Times Counted","270.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0082","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0083","31","7","8","NP","APPROVED","101.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0083","31","7","8","NP","Registered Voters","468.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0083","31","7","8","NP","REJECTED","178.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0083","31","7","8","NP","Times Blank Voted","21.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0083","31","7","8","NP","Times Counted","300.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-0083","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-2702","31","7","9","NP","APPROVED","64.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-2702","31","7","9","NP","Registered Voters","396.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-2702","31","7","9","NP","REJECTED","128.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-2702","31","7","9","NP","Times Blank Voted","11.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-2702","31","7","9","NP","Times Counted","203.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-2702","31","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-2703","31","7","8","NP","APPROVED","34.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-2703","31","7","8","NP","Registered Voters","227.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-2703","31","7","8","NP","REJECTED","62.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-2703","31","7","8","NP","Times Blank Voted","6.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-2703","31","7","8","NP","Times Counted","102.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-2703","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3299","31","7","8","NP","APPROVED","36.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3299","31","7","8","NP","Registered Voters","230.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3299","31","7","8","NP","REJECTED","138.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3299","31","7","8","NP","Times Blank Voted","6.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3299","31","7","8","NP","Times Counted","180.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3299","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3335","31","7","8","NP","APPROVED","123.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3335","31","7","8","NP","Registered Voters","645.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3335","31","7","8","NP","REJECTED","286.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3335","31","7","8","NP","Times Blank Voted","33.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3335","31","7","8","NP","Times Counted","442.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3335","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3405","31","7","8","NP","APPROVED","118.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3405","31","7","8","NP","Registered Voters","645.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3405","31","7","8","NP","REJECTED","294.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3405","31","7","8","NP","Times Blank Voted","33.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3405","31","7","8","NP","Times Counted","445.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3405","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3476","31","7","9","NP","APPROVED","48.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3476","31","7","9","NP","Registered Voters","268.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3476","31","7","9","NP","REJECTED","73.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3476","31","7","9","NP","Times Blank Voted","9.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3476","31","7","9","NP","Times Counted","130.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3476","31","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3477","31","7","8","NP","APPROVED","47.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3477","31","7","8","NP","Registered Voters","231.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3477","31","7","8","NP","REJECTED","90.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3477","31","7","8","NP","Times Blank Voted","11.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3477","31","7","8","NP","Times Counted","148.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 31-3477","31","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0041","47","7","9","NP","APPROVED","123.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0041","47","7","9","NP","Registered Voters","523.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0041","47","7","9","NP","REJECTED","180.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0041","47","7","9","NP","Times Blank Voted","22.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0041","47","7","9","NP","Times Counted","325.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0041","47","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0045","47","7","9","NP","APPROVED","110.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0045","47","7","9","NP","Registered Voters","378.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0045","47","7","9","NP","REJECTED","121.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0045","47","7","9","NP","Times Blank Voted","30.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0045","47","7","9","NP","Times Counted","261.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0045","47","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0047","47","7","8","NP","APPROVED","131.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0047","47","7","8","NP","Registered Voters","636.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0047","47","7","8","NP","REJECTED","241.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0047","47","7","8","NP","Times Blank Voted","28.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0047","47","7","8","NP","Times Counted","400.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0047","47","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0055","47","7","9","NP","APPROVED","74.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0055","47","7","9","NP","Registered Voters","357.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0055","47","7","9","NP","REJECTED","117.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0055","47","7","9","NP","Times Blank Voted","11.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0055","47","7","9","NP","Times Counted","202.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0055","47","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0056","47","7","9","NP","APPROVED","58.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0056","47","7","9","NP","Registered Voters","247.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0056","47","7","9","NP","REJECTED","92.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0056","47","7","9","NP","Times Blank Voted","9.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0056","47","7","9","NP","Times Counted","159.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0056","47","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0059","47","7","9","NP","APPROVED","113.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0059","47","7","9","NP","Registered Voters","699.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0059","47","7","9","NP","REJECTED","343.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0059","47","7","9","NP","Times Blank Voted","28.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0059","47","7","9","NP","Times Counted","484.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0059","47","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0072","47","7","8","NP","APPROVED","87.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0072","47","7","8","NP","Registered Voters","389.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0072","47","7","8","NP","REJECTED","181.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0072","47","7","8","NP","Times Blank Voted","16.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0072","47","7","8","NP","Times Counted","284.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0072","47","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0073","47","7","9","NP","APPROVED","114.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0073","47","7","9","NP","Registered Voters","536.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0073","47","7","9","NP","REJECTED","180.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0073","47","7","9","NP","Times Blank Voted","35.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0073","47","7","9","NP","Times Counted","329.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0073","47","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0074","47","7","9","NP","APPROVED","137.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0074","47","7","9","NP","Registered Voters","560.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0074","47","7","9","NP","REJECTED","239.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0074","47","7","9","NP","Times Blank Voted","28.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0074","47","7","9","NP","Times Counted","404.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0074","47","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0078","47","7","9","NP","APPROVED","87.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0078","47","7","9","NP","Registered Voters","440.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0078","47","7","9","NP","REJECTED","178.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0078","47","7","9","NP","Times Blank Voted","25.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0078","47","7","9","NP","Times Counted","290.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0078","47","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0328","47","7","8","NP","APPROVED","164.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0328","47","7","8","NP","Registered Voters","672.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0328","47","7","8","NP","REJECTED","312.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0328","47","7","8","NP","Times Blank Voted","25.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0328","47","7","8","NP","Times Counted","501.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0328","47","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0671","47","7","8","NP","APPROVED","138.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0671","47","7","8","NP","Registered Voters","671.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0671","47","7","8","NP","REJECTED","276.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0671","47","7","8","NP","Times Blank Voted","28.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0671","47","7","8","NP","Times Counted","442.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-0671","47","7","8","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2478","47","7","9","NP","APPROVED","149.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2478","47","7","9","NP","Registered Voters","462.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2478","47","7","9","NP","REJECTED","198.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2478","47","7","9","NP","Times Blank Voted","34.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2478","47","7","9","NP","Times Counted","381.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2478","47","7","9","NP","Times Over Voted","0.00"
"Proposition No. 1 Sales and Use Tax for Criminal Justice, Fire Protection, and Other Government Purposes","AUB 47-2551","47","7","9","NP","APPROVED","90.00"
