"race","precinct","leg","cc","countergroup","countertype","count"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","CHERRY VALLEY","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","CHERRY VALLEY","45","3","Absentee","REJECTED","63"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","CHERRY VALLEY","45","3","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","CHERRY VALLEY","45","3","Absentee","Times Counted","144"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","CHERRY VALLEY","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DIPPER","45","3","Absentee","APPROVED","79"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DIPPER","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DIPPER","45","3","Absentee","REJECTED","23"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DIPPER","45","3","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DIPPER","45","3","Absentee","Times Counted","102"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DIPPER","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-0389","45","3","Absentee","APPROVED","108"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-0389","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-0389","45","3","Absentee","REJECTED","54"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-0389","45","3","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-0389","45","3","Absentee","Times Counted","162"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-0389","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-2959","45","3","Absentee","APPROVED","117"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-2959","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-2959","45","3","Absentee","REJECTED","30"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-2959","45","3","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-2959","45","3","Absentee","Times Counted","147"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-2959","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3218","45","3","Absentee","APPROVED","156"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3218","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3218","45","3","Absentee","REJECTED","49"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3218","45","3","Absentee","Times Blank Voted","1"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3218","45","3","Absentee","Times Counted","206"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3218","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3219","45","3","Absentee","APPROVED","173"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3219","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3219","45","3","Absentee","REJECTED","53"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3219","45","3","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3219","45","3","Absentee","Times Counted","226"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3219","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3481","45","3","Absentee","APPROVED","130"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3481","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3481","45","3","Absentee","REJECTED","49"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3481","45","3","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3481","45","3","Absentee","Times Counted","179"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3481","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3502","45","3","Absentee","APPROVED","105"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3502","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3502","45","3","Absentee","REJECTED","41"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3502","45","3","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3502","45","3","Absentee","Times Counted","146"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","DUV 45-3502","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","LAKE JOY","45","3","Absentee","APPROVED","54"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","LAKE JOY","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","LAKE JOY","45","3","Absentee","REJECTED","25"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","LAKE JOY","45","3","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","LAKE JOY","45","3","Absentee","Times Counted","79"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","LAKE JOY","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","LORA","45","3","Absentee","APPROVED","82"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","LORA","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","LORA","45","3","Absentee","REJECTED","37"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","LORA","45","3","Absentee","Times Blank Voted","1"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","LORA","45","3","Absentee","Times Counted","120"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","LORA","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","MARCEL","45","3","Absentee","APPROVED","91"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","MARCEL","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","MARCEL","45","3","Absentee","REJECTED","42"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","MARCEL","45","3","Absentee","Times Blank Voted","1"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","MARCEL","45","3","Absentee","Times Counted","134"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","MARCEL","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","NOVELTY","45","3","Absentee","APPROVED","91"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","NOVELTY","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","NOVELTY","45","3","Absentee","REJECTED","62"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","NOVELTY","45","3","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","NOVELTY","45","3","Absentee","Times Counted","153"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","NOVELTY","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","STILLWATER","45","3","Absentee","APPROVED","128"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","STILLWATER","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","STILLWATER","45","3","Absentee","REJECTED","79"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","STILLWATER","45","3","Absentee","Times Blank Voted","1"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","STILLWATER","45","3","Absentee","Times Counted","208"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","STILLWATER","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","TRILLIUM","45","3","Absentee","APPROVED","2"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","TRILLIUM","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","TRILLIUM","45","3","Absentee","REJECTED","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","TRILLIUM","45","3","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","TRILLIUM","45","3","Absentee","Times Counted","2"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","TRILLIUM","45","3","Absentee","Times Over Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","VINCENT","45","3","Absentee","APPROVED","15"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","VINCENT","45","3","Absentee","Registered Voters","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","VINCENT","45","3","Absentee","REJECTED","22"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","VINCENT","45","3","Absentee","Times Blank Voted","0"
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","VINCENT","45","3","Absentee","Times Counted","37"
"DUV 45-2959","KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1",,,"461",,
"KING COUNTY FIRE DISTRICT NO. 45 PROPOSITION NO. 1","VINCENT","45","3","Absentee","Times Over Voted","0"
"BEL 41-2556","RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1",,,"31",,
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","ANGEL CITY","37","2","Absentee","APPROVED","94"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","ANGEL CITY","37","2","Absentee","Registered Voters","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","ANGEL CITY","37","2","Absentee","REJECTED","88"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","ANGEL CITY","37","2","Absentee","Times Blank Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","ANGEL CITY","37","2","Absentee","Times Counted","182"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","ANGEL CITY","37","2","Absentee","Times Over Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0305","41","9","Absentee","APPROVED","66"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0305","41","9","Absentee","Registered Voters","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0305","41","9","Absentee","REJECTED","20"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0305","41","9","Absentee","Times Blank Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0305","41","9","Absentee","Times Counted","86"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0305","41","9","Absentee","Times Over Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0475","41","9","Absentee","APPROVED","53"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0475","41","9","Absentee","Registered Voters","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0475","41","9","Absentee","REJECTED","31"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0475","41","9","Absentee","Times Blank Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0475","41","9","Absentee","Times Counted","84"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0475","41","9","Absentee","Times Over Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0505","41","9","Absentee","APPROVED","61"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0505","41","9","Absentee","Registered Voters","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0505","41","9","Absentee","REJECTED","52"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0505","41","9","Absentee","Times Blank Voted","1"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0505","41","9","Absentee","Times Counted","114"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-0505","41","9","Absentee","Times Over Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2386","41","9","Absentee","APPROVED","61"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2386","41","9","Absentee","Registered Voters","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2386","41","9","Absentee","REJECTED","37"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2386","41","9","Absentee","Times Blank Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2386","41","9","Absentee","Times Counted","98"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2386","41","9","Absentee","Times Over Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2556","41","9","Absentee","APPROVED","6"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2556","41","9","Absentee","Registered Voters","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2556","41","9","Absentee","REJECTED","5"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2556","41","9","Absentee","Times Blank Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2556","41","9","Absentee","Times Counted","11"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2556","41","9","Absentee","Times Over Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2812","41","9","Absentee","APPROVED","76"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2812","41","9","Absentee","Registered Voters","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2812","41","9","Absentee","REJECTED","32"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2812","41","9","Absentee","Times Blank Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2812","41","9","Absentee","Times Counted","108"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2812","41","9","Absentee","Times Over Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2906","41","9","Absentee","APPROVED","46"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2906","41","9","Absentee","Registered Voters","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2906","41","9","Absentee","REJECTED","25"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2906","41","9","Absentee","Times Blank Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2906","41","9","Absentee","Times Counted","71"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BEL 41-2906","41","9","Absentee","Times Over Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BETTY","37","2","Absentee","APPROVED","79"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BETTY","37","2","Absentee","Registered Voters","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BETTY","37","2","Absentee","REJECTED","42"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BETTY","37","2","Absentee","Times Blank Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BETTY","37","2","Absentee","Times Counted","121"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BETTY","37","2","Absentee","Times Over Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BLACK RIVER","11","5","Absentee","APPROVED","13"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BLACK RIVER","11","5","Absentee","Registered Voters","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BLACK RIVER","11","5","Absentee","REJECTED","3"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BLACK RIVER","11","5","Absentee","Times Blank Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BLACK RIVER","11","5","Absentee","Times Counted","16"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BLACK RIVER","11","5","Absentee","Times Over Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BRIAR","41","9","Absentee","APPROVED","193"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BRIAR","41","9","Absentee","Registered Voters","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BRIAR","41","9","Absentee","REJECTED","88"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BRIAR","41","9","Absentee","Times Blank Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BRIAR","41","9","Absentee","Times Counted","281"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BRIAR","41","9","Absentee","Times Over Voted","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BRIGID","41","9","Absentee","APPROVED","2"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BRIGID","41","9","Absentee","Registered Voters","0"
"RENTON SCHOOL DISTRICT NO. 403 PROPOSITION NO.1","BRIGID","41","9","Absentee","REJECTED","4"
