"impound_no","animal_id","data_source","record_type","link","current_location","animal_name","animal_type","age","animal_gender","animal_breed","animal_color","date","date_type","obfuscated_address","city","state","zip","jurisdiction","obfuscated_latitude","obfuscated_longitude","image","image_alt_text","memo"
"K22-149118","A669410","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A669410","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Maritza","Cat","8 WEEKS","Spayed Female","Domestic Longhair","Gray","2022-07-31T00:00:00.000","Received on","21600 block of  84TH AVE S","KENT","WA","98032","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A669410","Image Copyright HLP Inc. 2022","Received on: 2022-07-31<p/> Found Near: 21600 block of  84TH AVE S<p/> Description: Gray Spayed Female Domestic Longhair Cat<p/> Age: 8 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-149363","A669837","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home",,"Cat","12 WEEKS","Spayed Female","Domestic Shorthair","Black / White","2022-08-06T00:00:00.000","Received on","4200 block of  S 164TH ST","TUKWILA","WA","98188","TUKWILA",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A669837","Image Copyright HLP Inc. 2022","Received on: 2022-08-06<p/> Found Near: 4200 block of  S 164TH ST<p/> Description: Black / White Spayed Female Domestic Shorthair Cat<p/> Age: 12 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-149452","A670009","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A670009","Ranch S P Reber 28606 132ND AVE SE KENT, WA 98042","Vivianna","Cat","10 WEEKS","Spayed Female","Domestic Shorthair","Black / Black","2022-08-08T00:00:00.000","Received on","13000 block of  SE 236TH PL","KENT","WA","98031","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A670009","Image Copyright HLP Inc. 2022","Received on: 2022-08-08<p/> Found Near: 13000 block of  SE 236TH PL<p/> Description: Black / Black Spayed Female Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Current Location: Ranch S P Reber 28606 132ND AVE SE KENT, WA 98042<p/>"
"K22-149569","A670192","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A670192","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Appam","Cat","14 WEEKS","Female","Domestic Shorthair","Dilute Tor","2022-08-10T00:00:00.000","Received on","14100 block of  SE 171ST WAY","RENTON","WA","98058","KING COUNTY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A670192","Image Copyright HLP Inc. 2022","Received on: 2022-08-10<p/> Found Near: 14100 block of  SE 171ST WAY<p/> Description: Dilute Tor Female Domestic Shorthair Cat<p/> Age: 14 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-148231","A667707","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2463993","In Public Home",,"Dog","Unknown<p/>","Female","German Shepherd","Unknown","2022-07-07T00:00:00.000","Date Found","MILITARY  ROAD S","S 268",,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2463993","Image Copyright HLP Inc. 2022","<p/>Age: Unknown<p/>Found Near: Military Road S, S 268th st, Kent WA  98032<p/>Found Date: 2022-07-07<p/>"
"K22-149476","A670043","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home",,"Cat","6 WEEKS","Male","Domestic Shorthair","Gray / White","2022-08-08T00:00:00.000","Received on","30800 block of  MILITARY RD S","AUBURN","WA","98001","KING COUNTY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A670043","Image Copyright HLP Inc. 2022","Received on: 2022-08-08<p/> Found Near: 30800 block of  MILITARY RD S<p/> Description: Gray / White Male Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-148808","A668748","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A668748","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Juniper","Cat","1 YEAR","Spayed Female","Domestic Shorthair","Black","2022-07-23T00:00:00.000","Received on","15200 block of  40TH AVE S","TUKWILA","WA","98188","TUKWILA",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A668748","Image Copyright HLP Inc. 2022","Received on: 2022-07-23<p/> Found Near: 15200 block of  40TH AVE S<p/> Description: Black Spayed Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-149514","A670076","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2479746","In Public Home",,"Dog","Over 1 year<p/>","Female","West Highland White Terrier","White","2022-08-06T00:00:00.000","Date Found","NE  188TH ST/BOTHELL-EVERETT",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2479746","Image Copyright HLP Inc. 2022","<p/>Age: Over 1 year<p/>Found Near: NE 188th St/Bothell-Everett, Bothell WA  98011<p/>Found Date: 2022-08-06<p/>"
"K22-149585","A670205","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home",,"Rabbit Sh","9 WEEKS","Female","Rabbit Sh","Brown","2022-08-10T00:00:00.000","Received on","27500 block of  MAPLE VALLEY BLACK DIAMOND RD SE","MAPLE VALLEY","WA","98038","MAPLE VALLEY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A670205","Image Copyright HLP Inc. 2022","Received on: 2022-08-10<p/> Found Near: 27500 block of  MAPLE VALLEY BLACK DIAMOND RD SE<p/> Description: Brown Female Rabbit Sh Rabbit Sh<p/> Age: 9 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-149449","A670004","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home","Nova","Cat","3 WEEKS","Female","Domestic Shorthair","Brn Tabby","2022-08-08T00:00:00.000","Received on","11100 block of  SE 208TH ST","KENT","WA","98031","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A670004","Image Copyright HLP Inc. 2022","Received on: 2022-08-08<p/> Found Near: 11100 block of  SE 208TH ST<p/> Description: Brn Tabby Female Domestic Shorthair Cat<p/> Age: 3 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-148428","A668067","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2467055","In Public Home","Sarah Lamper","Cat","Under 1 year<p/>","Unknown","American Shorthair","Unknown","2022-07-10T00:00:00.000","Date Found","17200 block of  MILITARY RD S","SEATAC","WA","98188","SEATAC",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2467055","Image Copyright HLP Inc. 2022","Description: Small 8 week old kitten Found. Standard <p/>domestic short-haired  tuxedo. Am housing currently I foster anyway and my group will address the respiratory infection.<p/>Age: Under 1 year<p/>Found Near: 17200 block of  MILITARY RD S<p/>Found Date: 2022-07-10<p/>"
"K22-149474","A670041","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home",,"Cat","6 WEEKS","Female","Domestic Shorthair","Calico / White","2022-08-08T00:00:00.000","Received on","30800 block of  MILITARY RD S","AUBURN","WA","98001","KING COUNTY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A670041","Image Copyright HLP Inc. 2022","Received on: 2022-08-08<p/> Found Near: 30800 block of  MILITARY RD S<p/> Description: Calico / White Female Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-149758","A670503","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx",,,"Dead Dog","NO AGE","Female","Chihuahua - Smooth Coated","Brown","2022-08-15T00:00:00.000","Received on","12800 block of  LAKE KATHLEEN RD SE","RENTON","WA","98059","KING COUNTY","47.486449","-122.095072",,"Image Copyright HLP Inc. 2022","Received on: 2022-08-15<p/> Found Near: 12800 block of  LAKE KATHLEEN RD SE<p/> Description: Brown Female Chihuahua - Smooth Coated Dog<p/> Age: NO AGE<p/>"
"K22-149543","A670125","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2480029","In Public Home","Sarah Steina","Cat","Unknown<p/>","Unknown","Domestic Shorthair","Unknown","2022-08-01T00:00:00.000","Date Found","114TH  AVE S AND OCCIDENTAL AVE. S.",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2480029","Image Copyright HLP Inc. 2022","Description: Black and White Tuxedo<p/>Age: Unknown<p/>Found Near: 114th Ave S and Occidental Ave. S., Seattle WA  98168<p/>Found Date: 2022-08-01<p/>"
"K22-149402","A669923","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home","Domo","Cat","9 WEEKS","Male","Domestic Mediumhair","Black","2022-08-07T00:00:00.000","Received on","24500 block of  RUSSELL RD S","KENT","WA","98032","KENT","47.381307","-122.261142","https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A669923","Image Copyright HLP Inc. 2022","Received on: 2022-08-07<p/> Found Near: 24500 block of  RUSSELL RD S<p/> Description: Black Male Domestic Mediumhair Cat<p/> Age: 9 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-149731","A670450","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A670450","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Thistle","Rabbit Lh","NO AGE","Unknown","Rabbit Lh","Gray","2022-08-14T00:00:00.000","Received on","17800 block of  140TH AVE SE","RENTON","WA","98058","KING COUNTY","47.442808","-122.153862","https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A670450","Image Copyright HLP Inc. 2022","Received on: 2022-08-14<p/> Found Near: 17800 block of  140TH AVE SE<p/> Description: Gray Unknown Rabbit Lh Rabbit Lh<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-149623","A670274","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A670274","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Senbei","Cat","9 WEEKS","Neutered Male","Domestic Shorthair","Org Tabby / White","2022-08-11T00:00:00.000","Received on","24500 block of  RUSSELL RD S","KENT","WA","98032","KENT","47.381307","-122.261142","https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A670274","Image Copyright HLP Inc. 2022","Received on: 2022-08-11<p/> Found Near: 24500 block of  RUSSELL RD S<p/> Description: Org Tabby / White Neutered Male Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-149747","A670467","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2482248","In Public Home","Unknown","Dog","Unknown<p/>","Female","Dalmatian","White","2022-08-12T00:00:00.000","Date Found","LAKEMONT  BLVD. AND NEWPORT WAY.",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2482248","Image Copyright HLP Inc. 2022","Description: White with black spots medium sized with looks of a pit bull mix.<p/>Age: Unknown<p/>Found Near: Lakemont Blvd. and Newport Way., Bellevue WA  98006<p/>Found Date: 2022-08-12<p/>"
"K22-149729","A670445","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A670445","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Laura","Cat","2 YEARS","Female","Domestic Mediumhair","Brn Tabby","2022-08-14T00:00:00.000","Received on","23300 block of  PACIFIC HWY S","KENT","WA","98032","KENT",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A670445","Image Copyright HLP Inc. 2022","Received on: 2022-08-14<p/> Found Near: 23300 block of  PACIFIC HWY S<p/> Description: Brn Tabby Female Domestic Mediumhair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-149858","A670648","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx",,,"Dead Cat","NO AGE","Unknown","Domestic Shorthair","White / Black","2022-08-17T00:00:00.000","Received on","16000 block of  8TH AVE NE","SHORELINE","WA","98155","SHORELINE",,,,"Image Copyright HLP Inc. 2022","Received on: 2022-08-17<p/> Found Near: 16000 block of  8TH AVE NE<p/> Description: White / Black Unknown Domestic Shorthair Cat<p/> Age: NO AGE<p/>"
"K22-149369","A669843","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home",,"Cat","12 WEEKS","Female","Domestic Shorthair","Seal Pt / White","2022-08-06T00:00:00.000","Received on","4200 block of  S 164TH ST","TUKWILA","WA","98188","TUKWILA",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A669843","Image Copyright HLP Inc. 2022","Received on: 2022-08-06<p/> Found Near: 4200 block of  S 164TH ST<p/> Description: Seal Pt / White Female Domestic Shorthair Cat<p/> Age: 12 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-149483","A670052","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A670052","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","Gary","Dog","5 YEARS 6 MONTHS","Neutered Male","Alaskan Malamute / Mix","White / Black","2022-08-08T00:00:00.000","Received on","16000 block of  48TH AVE S","TUKWILA","WA","98188","TUKWILA",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A670052","Image Copyright HLP Inc. 2022","Received on: 2022-08-08<p/> Found Near: 16000 block of  48TH AVE S<p/> Description: White / Black Neutered Male Alaskan Malamute / Mix Dog<p/> Age: 5 YEARS 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-149375","A669853","Regional Animal Services of King County","FOUND","https://petharbor.com/pet.asp?uaid=KING.A669853","King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032","George","Cat","2 YEARS","Neutered Male","Domestic Shorthair","Org Tabby / White","2022-08-06T00:00:00.000","Received on","18400 block of  SE 242ND CT","COVINGTON","WA","98042","COVINGTON",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A669853","Image Copyright HLP Inc. 2022","Received on: 2022-08-06<p/> Found Near: 18400 block of  SE 242ND CT<p/> Description: Org Tabby / White Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>"
"K22-149060","A669311","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2475228","In Public Home","Hampton Or Z","Dog",,"Male","Beagle","Unknown","2022-07-29T00:00:00.000","Date Found","25TH  AND ARBORETUM IN MADISON PARK",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2475228","Image Copyright HLP Inc. 2022","<p/>"
"K22-149470","A670036","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx","In RASKC Foster Home",,"Cat","4 WEEKS","Male","Domestic Shorthair","Gray / White","2022-08-08T00:00:00.000","Received on","30800 block of  MILITARY RD S","AUBURN","WA","98001","KING COUNTY",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A670036","Image Copyright HLP Inc. 2022","Received on: 2022-08-08<p/> Found Near: 30800 block of  MILITARY RD S<p/> Description: Gray / White Male Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>"
"K22-148920","A668968","Regional Animal Services of King County","FOUND","https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx",,,"Dead Cat","NO AGE","Female","Domestic Mediumhair","Tortie / White","2022-07-26T00:00:00.000","Received on","17600 block of  SE COVINGTON SAWYER RD","KENT","WA","98042","KING COUNTY",,,,"Image Copyright HLP Inc. 2022","Received on: 2022-07-26<p/> Found Near: 17600 block of  SE COVINGTON SAWYER RD<p/> Description: Tortie / White Female Domestic Mediumhair Cat<p/> Age: NO AGE<p/>"
"K22-148208","A667671","Regional Animal Services of King County","FOUND","https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2463595","In Public Home","Bonnie Mcmil",,"Unknown<p/>","Unknown",,"Unknown","2022-07-07T00:00:00.000","Date Found","3RD  AVE S SAAR",,,,"JURISDICTION",,,"https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2463595","Image Copyright HLP Inc. 2022","Description: Tortoise <p/>Age: Unknown<p/>Found Near: 3rd ave s  saar, Kent WA  98032<p/>Found Date: 2022-07-07<p/>"
