"race","precinct","leg","cc","countertype","countergroup","count"
"Attorney General","BOT 01-0254","1","1","Rob McKenna","Polling","23"
"Attorney General","BOT 01-0254","1","1","Rob McKenna","Absentee","63"
"Attorney General","BOT 01-0254","1","1","Rob McKenna","Total","86"
"Attorney General","BOT 01-0254","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-0254","1","1","Times Blank Voted","Absentee","9"
"Attorney General","BOT 01-0254","1","1","Times Blank Voted","Polling","2"
"Attorney General","BOT 01-0254","1","1","Times Blank Voted","Total","11"
"Attorney General","BOT 01-0254","1","1","Times Counted","Polling","0"
"Attorney General","BOT 01-0254","1","1","Times Counted","Absentee","166"
"Attorney General","BOT 01-0254","1","1","Times Counted","Polling","41"
"Attorney General","BOT 01-0254","1","1","Times Counted","Total","207"
"Attorney General","BOT 01-0254","1","1","Times Over Voted","Absentee","0"
"Attorney General","BOT 01-0254","1","1","Times Over Voted","Total","0"
"Attorney General","BOT 01-0254","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0254","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0255","1","1","John Ladenburg","Polling","0"
"Attorney General","BOT 01-0255","1","1","John Ladenburg","Absentee","55"
"Attorney General","BOT 01-0255","1","1","John Ladenburg","Polling","14"
"Attorney General","BOT 01-0255","1","1","John Ladenburg","Total","69"
"Attorney General","BOT 01-0255","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0255","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0255","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-0255","1","1","Registered Voters","Total","477"
"Attorney General","BOT 01-0255","1","1","Rob McKenna","Total","69"
"Attorney General","BOT 01-0255","1","1","Rob McKenna","Polling","0"
"Attorney General","BOT 01-0255","1","1","Rob McKenna","Polling","7"
"Attorney General","BOT 01-0255","1","1","Rob McKenna","Absentee","62"
"Attorney General","BOT 01-0255","1","1","Times Blank Voted","Total","5"
"Attorney General","BOT 01-0255","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-0255","1","1","Times Blank Voted","Absentee","3"
"Attorney General","BOT 01-0255","1","1","Times Blank Voted","Polling","2"
"Attorney General","BOT 01-0255","1","1","Times Counted","Total","143"
"Attorney General","BOT 01-0255","1","1","Times Counted","Absentee","120"
"Attorney General","BOT 01-0255","1","1","Times Counted","Polling","0"
"Attorney General","BOT 01-0255","1","1","Times Counted","Polling","23"
"Attorney General","BOT 01-0255","1","1","Times Over Voted","Total","0"
"Attorney General","BOT 01-0255","1","1","Times Over Voted","Absentee","0"
"Attorney General","BOT 01-0255","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0255","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0256","1","1","John Ladenburg","Polling","18"
"Attorney General","BOT 01-0256","1","1","John Ladenburg","Absentee","86"
"Attorney General","BOT 01-0256","1","1","John Ladenburg","Total","104"
"Attorney General","BOT 01-0256","1","1","John Ladenburg","Polling","0"
"Attorney General","BOT 01-0256","1","1","Registered Voters","Total","702"
"Attorney General","BOT 01-0256","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0256","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0256","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-0256","1","1","Rob McKenna","Absentee","98"
"Attorney General","BOT 01-0256","1","1","Rob McKenna","Polling","12"
"Attorney General","BOT 01-0256","1","1","Rob McKenna","Total","110"
"Attorney General","BOT 01-0256","1","1","Rob McKenna","Polling","0"
"Attorney General","BOT 01-0256","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-0256","1","1","Times Blank Voted","Absentee","6"
"Attorney General","BOT 01-0256","1","1","Times Blank Voted","Total","6"
"Attorney General","BOT 01-0256","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-0256","1","1","Times Counted","Absentee","190"
"Attorney General","BOT 01-0256","1","1","Times Counted","Polling","30"
"Attorney General","BOT 01-0256","1","1","Times Counted","Total","220"
"Attorney General","BOT 01-0256","1","1","Times Counted","Polling","0"
"Attorney General","BOT 01-0256","1","1","Times Over Voted","Total","0"
"Attorney General","BOT 01-0256","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0256","1","1","Times Over Voted","Absentee","0"
"Attorney General","BOT 01-0256","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0257","1","1","John Ladenburg","Polling","0"
"Attorney General","BOT 01-0257","1","1","John Ladenburg","Total","92"
"Attorney General","BOT 01-0257","1","1","John Ladenburg","Polling","25"
"Attorney General","BOT 01-0257","1","1","John Ladenburg","Absentee","67"
"Attorney General","BOT 01-0257","1","1","Registered Voters","Total","704"
"Attorney General","BOT 01-0257","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0257","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0257","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-0257","1","1","Rob McKenna","Absentee","113"
"Attorney General","BOT 01-0257","1","1","Rob McKenna","Total","141"
"Attorney General","BOT 01-0257","1","1","Rob McKenna","Polling","28"
"Attorney General","BOT 01-0257","1","1","Rob McKenna","Polling","0"
"Attorney General","BOT 01-0257","1","1","Times Blank Voted","Total","19"
"Attorney General","BOT 01-0257","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-0257","1","1","Times Blank Voted","Polling","3"
"Attorney General","BOT 01-0257","1","1","Times Blank Voted","Absentee","16"
"Attorney General","BOT 01-0257","1","1","Times Counted","Polling","56"
"Attorney General","BOT 01-0257","1","1","Times Counted","Absentee","196"
"Attorney General","BOT 01-0257","1","1","Times Counted","Polling","0"
"Attorney General","BOT 01-0257","1","1","Times Counted","Total","252"
"Attorney General","BOT 01-0257","1","1","Times Over Voted","Total","0"
"Attorney General","BOT 01-0257","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0257","1","1","Times Over Voted","Absentee","0"
"Attorney General","BOT 01-0257","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0258","1","1","John Ladenburg","Polling","22"
"Attorney General","BOT 01-0258","1","1","John Ladenburg","Total","82"
"Attorney General","BOT 01-0258","1","1","John Ladenburg","Polling","1"
"Attorney General","BOT 01-0258","1","1","John Ladenburg","Absentee","59"
"Attorney General","BOT 01-0258","1","1","Registered Voters","Total","539"
"Attorney General","BOT 01-0258","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0258","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0258","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-0258","1","1","Rob McKenna","Absentee","97"
"Attorney General","BOT 01-0258","1","1","Rob McKenna","Total","124"
"Attorney General","BOT 01-0258","1","1","Rob McKenna","Polling","27"
"Attorney General","BOT 01-0258","1","1","Rob McKenna","Polling","0"
"Attorney General","BOT 01-0258","1","1","Times Blank Voted","Total","5"
"Attorney General","BOT 01-0258","1","1","Times Blank Voted","Absentee","4"
"Attorney General","BOT 01-0258","1","1","Times Blank Voted","Polling","1"
"Attorney General","BOT 01-0258","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-0258","1","1","Times Counted","Total","211"
"Attorney General","BOT 01-0258","1","1","Times Counted","Polling","50"
"Attorney General","BOT 01-0258","1","1","Times Counted","Polling","1"
"Attorney General","BOT 01-0258","1","1","Times Counted","Absentee","160"
"Attorney General","BOT 01-0258","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0258","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0258","1","1","Times Over Voted","Total","0"
"Attorney General","BOT 01-0258","1","1","Times Over Voted","Absentee","0"
"Attorney General","BOT 01-0259","1","1","John Ladenburg","Polling","0"
"Attorney General","BOT 01-0259","1","1","John Ladenburg","Absentee","40"
"Attorney General","BOT 01-0259","1","1","John Ladenburg","Total","49"
"Attorney General","BOT 01-0259","1","1","John Ladenburg","Polling","9"
"Attorney General","BOT 01-0259","1","1","Registered Voters","Total","297"
"Attorney General","BOT 01-0259","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0259","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0259","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-0259","1","1","Rob McKenna","Polling","0"
"Attorney General","BOT 01-0259","1","1","Rob McKenna","Total","43"
"Attorney General","BOT 01-0259","1","1","Rob McKenna","Polling","7"
"Attorney General","BOT 01-0259","1","1","Rob McKenna","Absentee","36"
"Attorney General","BOT 01-0259","1","1","Times Blank Voted","Total","5"
"Attorney General","BOT 01-0259","1","1","Times Blank Voted","Absentee","5"
"Attorney General","BOT 01-0259","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-0259","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-0259","1","1","Times Counted","Absentee","82"
"Attorney General","BOT 01-0259","1","1","Times Counted","Polling","16"
"Attorney General","BOT 01-0259","1","1","Times Counted","Polling","0"
"Attorney General","BOT 01-0259","1","1","Times Counted","Total","98"
"Attorney General","BOT 01-0259","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0259","1","1","Times Over Voted","Absentee","0"
"Attorney General","BOT 01-0259","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0259","1","1","Times Over Voted","Total","0"
"Attorney General","BOT 01-0260","1","1","John Ladenburg","Polling","1"
"Attorney General","BOT 01-0260","1","1","John Ladenburg","Absentee","152"
"Attorney General","BOT 01-0260","1","1","John Ladenburg","Total","172"
"Attorney General","BOT 01-0260","1","1","John Ladenburg","Polling","19"
"Attorney General","BOT 01-0260","1","1","Registered Voters","Total","850"
"Attorney General","BOT 01-0260","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0260","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0260","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-0260","1","1","Rob McKenna","Absentee","172"
"Attorney General","BOT 01-0260","1","1","Rob McKenna","Polling","13"
"Attorney General","BOT 01-0260","1","1","Rob McKenna","Polling","2"
"Attorney General","BOT 01-0260","1","1","Rob McKenna","Total","187"
"Attorney General","BOT 01-0260","1","1","Times Blank Voted","Total","26"
"Attorney General","BOT 01-0260","1","1","Times Blank Voted","Polling","2"
"Attorney General","BOT 01-0260","1","1","Times Blank Voted","Absentee","24"
"Attorney General","BOT 01-0260","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-0260","1","1","Times Counted","Total","385"
"Attorney General","BOT 01-0260","1","1","Times Counted","Polling","34"
"Attorney General","BOT 01-0260","1","1","Times Counted","Polling","3"
"Attorney General","BOT 01-0260","1","1","Times Counted","Absentee","348"
"Attorney General","BOT 01-0260","1","1","Times Over Voted","Absentee","0"
"Attorney General","BOT 01-0260","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0260","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0260","1","1","Times Over Voted","Total","0"
"Attorney General","BOT 01-0261","1","1","John Ladenburg","Polling","0"
"Attorney General","BOT 01-0261","1","1","John Ladenburg","Absentee","35"
"Attorney General","BOT 01-0261","1","1","John Ladenburg","Total","40"
"Attorney General","BOT 01-0261","1","1","John Ladenburg","Polling","5"
"Attorney General","BOT 01-0261","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0261","1","1","Registered Voters","Total","373"
"Attorney General","BOT 01-0261","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0261","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-0261","1","1","Rob McKenna","Polling","3"
"Attorney General","BOT 01-0261","1","1","Rob McKenna","Absentee","65"
"Attorney General","BOT 01-0261","1","1","Rob McKenna","Polling","18"
"Attorney General","BOT 01-0261","1","1","Rob McKenna","Total","86"
"Attorney General","BOT 01-0261","1","1","Times Blank Voted","Total","2"
"Attorney General","BOT 01-0261","1","1","Times Blank Voted","Absentee","1"
"Attorney General","BOT 01-0261","1","1","Times Blank Voted","Polling","1"
"Attorney General","BOT 01-0261","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-0261","1","1","Times Counted","Total","128"
"Attorney General","BOT 01-0261","1","1","Times Counted","Polling","24"
"Attorney General","BOT 01-0261","1","1","Times Counted","Polling","3"
"Attorney General","BOT 01-0261","1","1","Times Counted","Absentee","101"
"Attorney General","BOT 01-0261","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0261","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0261","1","1","Times Over Voted","Total","0"
"Attorney General","BOT 01-0261","1","1","Times Over Voted","Absentee","0"
"Attorney General","BOT 01-0262","1","1","John Ladenburg","Polling","1"
"Attorney General","BOT 01-0262","1","1","John Ladenburg","Absentee","51"
"Attorney General","BOT 01-0262","1","1","John Ladenburg","Total","55"
"Attorney General","BOT 01-0262","1","1","John Ladenburg","Polling","3"
"Attorney General","BOT 01-0262","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0262","1","1","Registered Voters","Total","467"
"Attorney General","BOT 01-0262","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-0262","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-0262","1","1","Rob McKenna","Polling","0"
"Attorney General","BOT 01-0262","1","1","Rob McKenna","Total","63"
"Attorney General","BOT 01-0262","1","1","Rob McKenna","Polling","6"
"Attorney General","BOT 01-0262","1","1","Rob McKenna","Absentee","57"
"Attorney General","BOT 01-0262","1","1","Times Blank Voted","Total","5"
"Attorney General","BOT 01-0262","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-0262","1","1","Times Blank Voted","Absentee","5"
"Attorney General","BOT 01-0262","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-0262","1","1","Times Counted","Absentee","116"
"Attorney General","BOT 01-0262","1","1","Times Counted","Total","126"
"Attorney General","BOT 01-0262","1","1","Times Counted","Polling","9"
"Attorney General","BOT 01-0262","1","1","Times Counted","Polling","1"
"Attorney General","BOT 01-0262","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0262","1","1","Times Over Voted","Total","0"
"Attorney General","BOT 01-0262","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-0262","1","1","Times Over Voted","Absentee","0"
"Attorney General","BOT 01-2473","1","1","John Ladenburg","Polling","0"
"Attorney General","BOT 01-2473","1","1","John Ladenburg","Absentee","90"
"Attorney General","BOT 01-2473","1","1","John Ladenburg","Total","116"
"Attorney General","BOT 01-2473","1","1","John Ladenburg","Polling","26"
"Attorney General","BOT 01-2473","1","1","Registered Voters","Total","666"
"Attorney General","BOT 01-2473","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-2473","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-2473","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-2473","1","1","Rob McKenna","Polling","6"
"Attorney General","BOT 01-2473","1","1","Rob McKenna","Total","137"
"Attorney General","BOT 01-2473","1","1","Rob McKenna","Polling","26"
"Attorney General","BOT 01-2473","1","1","Rob McKenna","Absentee","105"
"Attorney General","BOT 01-2473","1","1","Times Blank Voted","Total","15"
"Attorney General","BOT 01-2473","1","1","Times Blank Voted","Absentee","10"
"Attorney General","BOT 01-2473","1","1","Times Blank Voted","Polling","4"
"Attorney General","BOT 01-2473","1","1","Times Blank Voted","Polling","1"
"Attorney General","BOT 01-2473","1","1","Times Counted","Absentee","205"
"Attorney General","BOT 01-2473","1","1","Times Counted","Polling","56"
"Attorney General","BOT 01-2473","1","1","Times Counted","Polling","7"
"Attorney General","BOT 01-2473","1","1","Times Counted","Total","268"
"Attorney General","BOT 01-2473","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-2473","1","1","Times Over Voted","Absentee","0"
"Attorney General","BOT 01-2473","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-2473","1","1","Times Over Voted","Total","0"
"Attorney General","BOT 01-2495","1","1","John Ladenburg","Polling","0"
"Attorney General","BOT 01-2495","1","1","John Ladenburg","Absentee","56"
"Attorney General","BOT 01-2495","1","1","John Ladenburg","Polling","4"
"Attorney General","BOT 01-2495","1","1","John Ladenburg","Total","60"
"Attorney General","BOT 01-2495","1","1","Registered Voters","Total","545"
"Attorney General","BOT 01-2495","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-2495","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-2495","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-2495","1","1","Rob McKenna","Absentee","83"
"Attorney General","BOT 01-2495","1","1","Rob McKenna","Total","107"
"Attorney General","BOT 01-2495","1","1","Rob McKenna","Polling","24"
"Attorney General","BOT 01-2495","1","1","Rob McKenna","Polling","0"
"Attorney General","BOT 01-2495","1","1","Times Blank Voted","Total","9"
"Attorney General","BOT 01-2495","1","1","Times Blank Voted","Absentee","8"
"Attorney General","BOT 01-2495","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-2495","1","1","Times Blank Voted","Polling","1"
"Attorney General","BOT 01-2495","1","1","Times Counted","Total","176"
"Attorney General","BOT 01-2495","1","1","Times Counted","Polling","29"
"Attorney General","BOT 01-2495","1","1","Times Counted","Absentee","147"
"Attorney General","BOT 01-2495","1","1","Times Counted","Polling","0"
"Attorney General","BOT 01-2495","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-2495","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-2495","1","1","Times Over Voted","Total","0"
"Attorney General","BOT 01-2495","1","1","Times Over Voted","Absentee","0"
"Attorney General","BOT 01-2676","1","1","John Ladenburg","Polling","1"
"Attorney General","BOT 01-2676","1","1","John Ladenburg","Absentee","26"
"Attorney General","BOT 01-2676","1","1","John Ladenburg","Total","30"
"Attorney General","BOT 01-2676","1","1","John Ladenburg","Polling","3"
"Attorney General","BOT 01-2676","1","1","Registered Voters","Total","503"
"Attorney General","BOT 01-2676","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-2676","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-2676","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-2676","1","1","Rob McKenna","Absentee","39"
"Attorney General","BOT 01-2676","1","1","Rob McKenna","Polling","3"
"Attorney General","BOT 01-2676","1","1","Rob McKenna","Total","51"
"Attorney General","BOT 01-2676","1","1","Rob McKenna","Polling","9"
"Attorney General","BOT 01-2676","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-2676","1","1","Times Blank Voted","Absentee","1"
"Attorney General","BOT 01-2676","1","1","Times Blank Voted","Total","1"
"Attorney General","BOT 01-2676","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-2676","1","1","Times Counted","Absentee","66"
"Attorney General","BOT 01-2676","1","1","Times Counted","Polling","12"
"Attorney General","BOT 01-2676","1","1","Times Counted","Total","82"
"Attorney General","BOT 01-2676","1","1","Times Counted","Polling","4"
"Attorney General","BOT 01-2676","1","1","Times Over Voted","Total","0"
"Attorney General","BOT 01-2676","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-2676","1","1","Times Over Voted","Absentee","0"
"Attorney General","BOT 01-2676","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-2865","1","1","John Ladenburg","Polling","0"
"Attorney General","BOT 01-2865","1","1","John Ladenburg","Total","73"
"Attorney General","BOT 01-2865","1","1","John Ladenburg","Polling","15"
"Attorney General","BOT 01-2865","1","1","John Ladenburg","Absentee","58"
"Attorney General","BOT 01-2865","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-2865","1","1","Registered Voters","Total","481"
"Attorney General","BOT 01-2865","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-2865","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-2865","1","1","Rob McKenna","Absentee","73"
"Attorney General","BOT 01-2865","1","1","Rob McKenna","Polling","0"
"Attorney General","BOT 01-2865","1","1","Rob McKenna","Total","89"
"Attorney General","BOT 01-2865","1","1","Rob McKenna","Polling","16"
"Attorney General","BOT 01-2865","1","1","Times Blank Voted","Total","11"
"Attorney General","BOT 01-2865","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-2865","1","1","Times Blank Voted","Absentee","10"
"Attorney General","BOT 01-2865","1","1","Times Blank Voted","Polling","1"
"Attorney General","BOT 01-2865","1","1","Times Counted","Total","173"
"Attorney General","BOT 01-2865","1","1","Times Counted","Polling","0"
"Attorney General","BOT 01-2865","1","1","Times Counted","Polling","32"
"Attorney General","BOT 01-2865","1","1","Times Counted","Absentee","141"
"Attorney General","BOT 01-2865","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-2865","1","1","Times Over Voted","Absentee","0"
"Attorney General","BOT 01-2865","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-2865","1","1","Times Over Voted","Total","0"
"Attorney General","BOT 01-3271","1","1","John Ladenburg","Polling","0"
"Attorney General","BOT 01-3271","1","1","John Ladenburg","Absentee","67"
"Attorney General","BOT 01-3271","1","1","John Ladenburg","Total","76"
"Attorney General","BOT 01-3271","1","1","John Ladenburg","Polling","9"
"Attorney General","BOT 01-3271","1","1","Registered Voters","Total","474"
"Attorney General","BOT 01-3271","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-3271","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-3271","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-3271","1","1","Rob McKenna","Polling","0"
"Attorney General","BOT 01-3271","1","1","Rob McKenna","Absentee","80"
"Attorney General","BOT 01-3271","1","1","Rob McKenna","Polling","13"
"Attorney General","BOT 01-3271","1","1","Rob McKenna","Total","93"
"Attorney General","BOT 01-3271","1","1","Times Blank Voted","Total","10"
"Attorney General","BOT 01-3271","1","1","Times Blank Voted","Absentee","9"
"Attorney General","BOT 01-3271","1","1","Times Blank Voted","Polling","1"
"Attorney General","BOT 01-3271","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-3271","1","1","Times Counted","Total","179"
"Attorney General","BOT 01-3271","1","1","Times Counted","Polling","23"
"Attorney General","BOT 01-3271","1","1","Times Counted","Polling","0"
"Attorney General","BOT 01-3271","1","1","Times Counted","Absentee","156"
"Attorney General","BOT 01-3271","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-3271","1","1","Times Over Voted","Polling","0"
"Attorney General","BOT 01-3271","1","1","Times Over Voted","Total","0"
"Attorney General","BOT 01-3271","1","1","Times Over Voted","Absentee","0"
"Attorney General","BOT 01-3321","1","1","John Ladenburg","Total","94"
"Attorney General","BOT 01-3321","1","1","John Ladenburg","Absentee","90"
"Attorney General","BOT 01-3321","1","1","John Ladenburg","Polling","1"
"Attorney General","BOT 01-3321","1","1","John Ladenburg","Polling","3"
"Attorney General","BOT 01-3321","1","1","Registered Voters","Total","428"
"Attorney General","BOT 01-3321","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-3321","1","1","Registered Voters","Polling","0"
"Attorney General","BOT 01-3321","1","1","Registered Voters","Absentee","0"
"Attorney General","BOT 01-3321","1","1","Rob McKenna","Absentee","118"
"Attorney General","BOT 01-3321","1","1","Rob McKenna","Polling","17"
"Attorney General","BOT 01-3321","1","1","Rob McKenna","Polling","0"
"Attorney General","BOT 01-3321","1","1","Rob McKenna","Total","135"
"Attorney General","BOT 01-3321","1","1","Times Blank Voted","Total","10"
"Attorney General","BOT 01-3321","1","1","Times Blank Voted","Polling","2"
"Attorney General","BOT 01-3321","1","1","Times Blank Voted","Absentee","8"
"Attorney General","BOT 01-3321","1","1","Times Blank Voted","Polling","0"
"Attorney General","BOT 01-3321","1","1","Times Counted","Total","239"
"Attorney General","BOT 01-3321","1","1","Times Counted","Polling","22"
