"race","precinct","legislative_district","county_council_district","congressional_district","party_preference","candidate","sumofcount"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0102","41","9","8","NP","Registered Voters","843.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0102","41","9","8","NP","Times Blank Voted","40.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0102","41","9","8","NP","Times Counted","636.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0102","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0102","41","9","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0102","41","9","8","Rep","Steve Litzow","310.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0103","41","6","8","Dem","Randy Gordon","180.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0103","41","6","8","NP","Registered Voters","507.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0103","41","6","8","NP","Times Blank Voted","15.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0103","41","6","8","NP","Times Counted","416.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0103","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0103","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0103","41","6","8","Rep","Steve Litzow","220.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0106","41","6","8","Dem","Randy Gordon","164.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0106","41","6","8","NP","Registered Voters","466.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0106","41","6","8","NP","Times Blank Voted","14.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0106","41","6","8","NP","Times Counted","343.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0106","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0106","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0106","41","6","8","Rep","Steve Litzow","165.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0108","41","6","8","Dem","Randy Gordon","155.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0108","41","6","8","NP","Registered Voters","405.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0108","41","6","8","NP","Times Blank Voted","12.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0108","41","6","8","NP","Times Counted","311.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0108","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0108","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0108","41","6","8","Rep","Steve Litzow","144.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0109","41","6","8","Dem","Randy Gordon","122.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0109","41","6","8","NP","Registered Voters","280.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0109","41","6","8","NP","Times Blank Voted","11.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0109","41","6","8","NP","Times Counted","206.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0109","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0109","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0109","41","6","8","Rep","Steve Litzow","73.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0110","41","6","8","Dem","Randy Gordon","197.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0110","41","6","8","NP","Registered Voters","523.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0110","41","6","8","NP","Times Blank Voted","21.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0110","41","6","8","NP","Times Counted","366.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0110","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0110","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0110","41","6","8","Rep","Steve Litzow","148.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0111","41","6","8","Dem","Randy Gordon","196.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0111","41","6","8","NP","Registered Voters","531.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0111","41","6","8","NP","Times Blank Voted","16.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0111","41","6","8","NP","Times Counted","423.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0111","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0111","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0111","41","6","8","Rep","Steve Litzow","211.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0112","41","9","8","Dem","Randy Gordon","223.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0112","41","9","8","NP","Registered Voters","675.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0112","41","9","8","NP","Times Blank Voted","28.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0112","41","9","8","NP","Times Counted","503.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0112","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0112","41","9","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0112","41","9","8","Rep","Steve Litzow","251.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0113","41","6","8","Dem","Randy Gordon","103.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0113","41","6","8","NP","Registered Voters","259.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0113","41","6","8","NP","Times Blank Voted","11.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0113","41","6","8","NP","Times Counted","209.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0113","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0113","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0113","41","6","8","Rep","Steve Litzow","95.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0114","41","6","8","Dem","Randy Gordon","116.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0114","41","6","8","NP","Registered Voters","413.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0114","41","6","8","NP","Times Blank Voted","20.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0114","41","6","8","NP","Times Counted","348.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0114","41","6","8","NP","Times Over Voted","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0114","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0114","41","6","8","Rep","Steve Litzow","211.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0116","41","6","8","Dem","Randy Gordon","105.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0116","41","6","8","NP","Registered Voters","277.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0116","41","6","8","NP","Times Blank Voted","12.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0116","41","6","8","NP","Times Counted","166.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0116","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0116","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0116","41","6","8","Rep","Steve Litzow","49.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0117","41","6","8","Dem","Randy Gordon","110.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0117","41","6","8","NP","Registered Voters","243.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0117","41","6","8","NP","Times Blank Voted","11.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0117","41","6","8","NP","Times Counted","197.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0117","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0117","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0117","41","6","8","Rep","Steve Litzow","76.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0119","41","6","8","Dem","Randy Gordon","133.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0119","41","6","8","NP","Registered Voters","319.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0119","41","6","8","NP","Times Blank Voted","16.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0119","41","6","8","NP","Times Counted","260.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0119","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0119","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0119","41","6","8","Rep","Steve Litzow","111.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0120","41","6","8","Dem","Randy Gordon","83.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0120","41","6","8","NP","Registered Voters","247.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0120","41","6","8","NP","Times Blank Voted","10.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0120","41","6","8","NP","Times Counted","194.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0120","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0120","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0120","41","6","8","Rep","Steve Litzow","101.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0121","41","6","8","Dem","Randy Gordon","144.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0121","41","6","8","NP","Registered Voters","401.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0121","41","6","8","NP","Times Blank Voted","11.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0121","41","6","8","NP","Times Counted","279.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0121","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0121","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0121","41","6","8","Rep","Steve Litzow","124.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0122","41","6","8","Dem","Randy Gordon","114.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0122","41","6","8","NP","Registered Voters","371.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0122","41","6","8","NP","Times Blank Voted","12.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0122","41","6","8","NP","Times Counted","288.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0122","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0122","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0122","41","6","8","Rep","Steve Litzow","162.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0123","41","9","8","Dem","Randy Gordon","250.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0123","41","9","8","NP","Registered Voters","667.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0123","41","9","8","NP","Times Blank Voted","17.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0123","41","9","8","NP","Times Counted","453.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0123","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0123","41","9","8","NP","Write-in","3.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0123","41","9","8","Rep","Steve Litzow","183.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0124","41","6","8","Dem","Randy Gordon","219.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0124","41","6","8","NP","Registered Voters","497.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0124","41","6","8","NP","Times Blank Voted","14.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0124","41","6","8","NP","Times Counted","410.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0124","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0124","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0124","41","6","8","Rep","Steve Litzow","177.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0128","41","6","8","Dem","Randy Gordon","163.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0128","41","6","8","NP","Registered Voters","468.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0128","41","6","8","NP","Times Blank Voted","28.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0128","41","6","8","NP","Times Counted","369.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0128","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0128","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0128","41","6","8","Rep","Steve Litzow","177.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0129","41","6","8","Dem","Randy Gordon","112.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0129","41","6","8","NP","Registered Voters","289.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0129","41","6","8","NP","Times Blank Voted","12.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0129","41","6","8","NP","Times Counted","199.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0129","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0129","41","6","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0129","41","6","8","Rep","Steve Litzow","74.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0131","41","6","8","Dem","Randy Gordon","138.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0131","41","6","8","NP","Registered Voters","360.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0131","41","6","8","NP","Times Blank Voted","9.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0131","41","6","8","NP","Times Counted","234.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0131","41","6","8","NP","Times Over Voted","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0131","41","6","8","NP","Write-in","2.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0131","41","6","8","Rep","Steve Litzow","84.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0175","41","6","8","Dem","Randy Gordon","285.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0175","41","6","8","NP","Registered Voters","730.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0175","41","6","8","NP","Times Blank Voted","39.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0175","41","6","8","NP","Times Counted","562.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0175","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0175","41","6","8","NP","Write-in","2.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0175","41","6","8","Rep","Steve Litzow","236.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0176","41","6","8","Dem","Randy Gordon","198.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0176","41","6","8","NP","Registered Voters","532.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0176","41","6","8","NP","Times Blank Voted","17.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0176","41","6","8","NP","Times Counted","374.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0176","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0176","41","6","8","NP","Write-in","2.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0176","41","6","8","Rep","Steve Litzow","157.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0179","41","6","8","Dem","Randy Gordon","116.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0179","41","6","8","NP","Registered Voters","294.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0179","41","6","8","NP","Times Blank Voted","6.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0179","41","6","8","NP","Times Counted","201.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0179","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0179","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0179","41","6","8","Rep","Steve Litzow","79.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0180","41","6","8","Dem","Randy Gordon","125.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0180","41","6","8","NP","Registered Voters","328.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0180","41","6","8","NP","Times Blank Voted","12.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0180","41","6","8","NP","Times Counted","221.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0180","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0180","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0180","41","6","8","Rep","Steve Litzow","84.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0198","41","6","8","Dem","Randy Gordon","318.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0198","41","6","8","NP","Registered Voters","1089.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0198","41","6","8","NP","Times Blank Voted","66.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0198","41","6","8","NP","Times Counted","758.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0198","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0198","41","6","8","NP","Write-in","2.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0198","41","6","8","Rep","Steve Litzow","372.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0201","41","6","8","Dem","Randy Gordon","211.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0201","41","6","8","NP","Registered Voters","696.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0201","41","6","8","NP","Times Blank Voted","21.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0201","41","6","8","NP","Times Counted","526.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0201","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0201","41","6","8","NP","Write-in","2.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0201","41","6","8","Rep","Steve Litzow","292.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0203","41","6","8","Dem","Randy Gordon","239.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0203","41","6","8","NP","Registered Voters","625.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0203","41","6","8","NP","Times Blank Voted","28.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0203","41","6","8","NP","Times Counted","482.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-0203","41","6","8","NP","Times Over Voted","0.00"
