"department","bureau","elected_official","g","goal","m","metric","favorable_variance","data_type","period_type","period","fiscal_year","calendar_year","period_year","date_time","actual_1","target_1","actual_2","target_2","actual_3","target_3"
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","November","2014","2014","14-Nov","2014-11-01T00:00:00.000","4010","4000",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","December","2015","2014","14-Dec","2014-12-01T00:00:00.000","3658","4100",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","January","2015","2015","15-Jan","2015-01-01T00:00:00.000","3398","4100",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","February","2015","2015","15-Feb","2015-02-01T00:00:00.000","3987","4100",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","March","2015","2015","15-Mar","2015-03-01T00:00:00.000","3984","4100",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","April","2015","2015","15-Apr","2015-04-01T00:00:00.000","4120","4100",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","May","2015","2015","15-May","2015-05-01T00:00:00.000","4003","4100",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","June","2015","2015","15-Jun","2015-06-01T00:00:00.000","3887","4100",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","July","2015","2015","15-Jul","2015-07-01T00:00:00.000","3989","4100",,,,
"Building and Zoning","Bureau of Economic Development","County Board President","1","Ensure Safe Buildings in Unincorporated Cook County","1","# of inspections per month","Higher","Number","Month","August","2015","2015","15-Aug","2015-08-01T00:00:00.000","4201","4100",,,,
