"age","gender","hispanic","race","language","city","age_category"
"30","M","N","White","English","San Mateo","30-39"
"46","M","Y","White","English","Redwood City","40-49"
"58","F","N","Other","English","San Mateo","50-59"
"54","F","N","White","English","Redwood City","50-59"
"61","F","Y","White","English","Belmont","60-69"
"49","F","N","White","English","San Mateo","40-49"
,"F","N","White","English","Redwood City",
"54","M","Y","White","English","Redwood City","50-59"
"37","F","Y","White","English","San Mateo","30-39"
"80","M","N","White","English","Burlingame","80-89"
"70","M","N","Other","English","East Palo Alto","70-79"
"93","F","N","Other","English","Pacifica","90-99"
"31","F","N","Other","English",,"30-39"
"65","M","N","Asian","English","San Mateo","60-69"
