"sex","race","hispanic","language","city","age","state","geocoded_column"
"M","Other","Unknown","UNKNOWN","REDWOOD CITY","35","ca","POINT (-122.22815 37.484778)"
"F","Other","Unknown","URDU","SAN BRUNO","63","ca","POINT (-122.416148 37.627277)"
"F","White","Yes","ENGLISH","SAN BRUNO","67","ca","POINT (-122.416148 37.627277)"
"M","Unknown","Unknown","SPANISH","REDWOOD CITY","26","ca","POINT (-122.22815 37.484778)"
"F","White","Unknown","UNKNOWN","SAN BRUNO","83","ca","POINT (-122.416148 37.627277)"
"F","Other","Yes","SPANISH","SOUTH SAN FRANCISCO","38","ca","POINT (-122.412482 37.65568)"
"F","White","No","ENGLISH","MENLO PARK","44","ca","POINT (-122.18296 37.453629)"
"M","Other","Unknown","ENGLISH","MILLBRAE","35","ca","POINT (-122.397199 37.603633)"
"M","Black","Unknown","UNKNOWN","SOUTH SAN FRANCISCO","42","ca","POINT (-122.412482 37.65568)"
"F","Other","Unknown","UNKNOWN","BELMONT","65","ca","POINT (-122.291951 37.508536)"
"F","White","Yes","SPANISH","DALY CITY","57","ca","POINT (-122.472221 37.691113)"
"F","White","No","ENGLISH","BURLINGAME","73","ca","POINT (-122.366265 37.584195)"
"M","White","No","ENGLISH","SAN MATEO","35","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","REDWOOD CITY","53","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","SOUTH SAN FRANCISCO","50","ca","POINT (-122.412482 37.65568)"
"M","White","No","ENGLISH","SOUTH SAN FRANCISCO","73","ca","POINT (-122.412482 37.65568)"
"M","White","Unknown","UNKNOWN","SOUTH SAN FRANCISCO","43","ca","POINT (-122.412482 37.65568)"
"M","White","No","ENGLISH","MONTARA","64","ca","POINT (-122.515258 37.542)"
"M","Black","Unknown","UNKNOWN","REDWOOD CITY","69","ca","POINT (-122.22815 37.484778)"
"M","Other","Unknown","UNKNOWN","DALY CITY","72","ca","POINT (-122.472221 37.691113)"
"M","White","Unknown","UNKNOWN","PACIFICA","39","ca","POINT (-122.48704 37.613823)"
"M","White","Unknown","UNKNOWN","SAN MATEO","54","ca","POINT (-122.314351 37.547166)"
"F","White","Yes","SPANISH","REDWOOD CITY","55","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","BURLINGAME","25","ca","POINT (-122.366265 37.584195)"
"M","Asian","No","ENGLISH","SOUTH SAN FRANCISCO","37","ca","POINT (-122.412482 37.65568)"
"F","White","Yes","SPANISH","SAN MATEO","87","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","MAGALIA","61","ca","POINT (-121.592209 39.814384)"
"M","White","Unknown","UNKNOWN","REDWOOD CITY","46","ca","POINT (-122.22815 37.484778)"
"M","White","No","SPANISH","HOMELESS","32","ca","POINT (-120.153119 40.13117)"
"M","Black","Unknown","UNKNOWN","SAN MATEO","50","ca","POINT (-122.314351 37.547166)"
"F","White","Yes","ENGLISH","MENLO PARK","25","ca","POINT (-122.18296 37.453629)"
"M","Other","No","ENGLISH","DALY CITY","32","ca","POINT (-122.472221 37.691113)"
"F","White","Unknown","UNKNOWN","REDWOOD CITY","62","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","SOUTH SAN FRANCISCO","66","ca","POINT (-122.412482 37.65568)"
"M","Black","No","ENGLISH","SAN MATEO","59","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","SOUTH SAN FRANCISCO","53","ca","POINT (-122.412482 37.65568)"
"M","White","Yes","SPANISH","DALY CITY","72","ca","POINT (-122.472221 37.691113)"
"F","White","No","ENGLISH","SOUTH SAN FRANCISCO","48","ca","POINT (-122.412482 37.65568)"
"F","Other","No","ENGLISH","EAST PALO ALTO","50","ca","POINT (-122.139284 37.464162)"
"M","Unknown","Unknown","MANDARIN","DALY CITY","69","ca","POINT (-122.472221 37.691113)"
"F","Other","Yes","SPANISH","REDWOOD CITY","38","ca","POINT (-122.22815 37.484778)"
"F","Unknown","Unknown","ENGLISH","SOUTH SAN FRANCISCO","90","ca","POINT (-122.412482 37.65568)"
"M","Black","No","ENGLISH","HALF MOON BAY","70","ca","POINT (-122.429242 37.463638)"
"M","Black","No","ENGLISH","DALY CITY","29","ca","POINT (-122.472221 37.691113)"
"M","Other","Yes","SPANISH","BURLINGAME","43","ca","POINT (-122.366265 37.584195)"
"M","Black","Unknown","UNKNOWN","DALY CITY","61","ca","POINT (-122.472221 37.691113)"
"F","White","Unknown","ENGLISH","SOUTH SAN FRANCISCO","61","ca","POINT (-122.412482 37.65568)"
"M","White","No","ENGLISH","REDWOOD CITY","52","ca","POINT (-122.22815 37.484778)"
"F","White","No","ENGLISH","EAST PALO ALTO","36","ca","POINT (-122.139284 37.464162)"
"F","White","No","ENGLISH","SAN MATEO","45","ca","POINT (-122.314351 37.547166)"
"M","Other","No","ENGLISH","SAN BRUNO","42","ca","POINT (-122.416148 37.627277)"
"M","White","No","ENGLISH","REDWOOD CITY","31","ca","POINT (-122.22815 37.484778)"
"M","Native American","No","ENGLISH","MILLBRAE","35","ca","POINT (-122.397199 37.603633)"
"F","Other","No","ENGLISH","DALY CITY","62","ca","POINT (-122.472221 37.691113)"
"M","White","No","ENGLISH","DALY CITY","42","ca","POINT (-122.472221 37.691113)"
"F","Black","No","ENGLISH","REDWOOD CITY","28","ca","POINT (-122.22815 37.484778)"
"M","Black","No","ENGLISH","BURLINGAME","65","ca","POINT (-122.366265 37.584195)"
"M","White","Unknown","UNKNOWN","REDWOOD CITY","85","ca","POINT (-122.22815 37.484778)"
"F","White","No","ENGLISH","REDWOOD CITY","60","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","HOMELESS","39","ca","POINT (-120.153119 40.13117)"
"F","White","Unknown","ENGLISH","SOUTH SAN FRANCISCO","35","ca","POINT (-122.412482 37.65568)"
"F","Black","No","ENGLISH","DALY CITY","64","ca","POINT (-122.472221 37.691113)"
"M","White","No","ENGLISH","BELMONT","38","ca","POINT (-122.291951 37.508536)"
"M","White","Unknown","UNKNOWN","SAN MATEO","63","ca","POINT (-122.314351 37.547166)"
"F","Other","Unknown","UNKNOWN","HALF MOON BAY","28","ca","POINT (-122.429242 37.463638)"
"M","White","Yes","ENGLISH","HALF MOON BAY","41","ca","POINT (-122.429242 37.463638)"
"M","White","No","ENGLISH","REDWOOD CITY","23","ca","POINT (-122.22815 37.484778)"
"M","White","Yes","SPANISH","EAST PALO ALTO","33","ca","POINT (-122.139284 37.464162)"
"M","Unknown","Unknown","SPANISH","EAST PALO ALTO","72","ca","POINT (-122.139284 37.464162)"
"M","White","Unknown","ENGLISH","SAN BRUNO","58","ca","POINT (-122.416148 37.627277)"
"M","White","Yes","SPANISH","EAST PALO ALTO","31","ca","POINT (-122.139284 37.464162)"
"M","Asian","No","ENGLISH","REDWOOD CITY","24","ca","POINT (-122.22815 37.484778)"
"F","Asian","No","ENGLISH","BURLINGAME","54","ca","POINT (-122.366265 37.584195)"
"M","White","No","ENGLISH","HOMELESS","49","ca","POINT (-120.153119 40.13117)"
"M","White","No","ENGLISH","SAN MATEO","49","ca","POINT (-122.314351 37.547166)"
"F","White","No","ENGLISH","REDWOOD CITY","64","ca","POINT (-122.22815 37.484778)"
"F","White","Yes","SPANISH","REDWOOD CITY","61","ca","POINT (-122.22815 37.484778)"
"M","Pacific Islander","Unknown","ENGLISH","SOUTH SAN FRANCISCO","52","ca","POINT (-122.412482 37.65568)"
"M","White","No","ENGLISH","BELMONT","59","ca","POINT (-122.291951 37.508536)"
"M","White","No","ENGLISH","BURLINGAME","80","ca","POINT (-122.366265 37.584195)"
"M","Other","Unknown","ENGLISH","SAN MATEO","37","ca","POINT (-122.314351 37.547166)"
"F","Pacific Islander","Unknown","UNKNOWN","EAST PALO ALTO","80","ca","POINT (-122.139284 37.464162)"
"F","Native American","Unknown","UNKNOWN","SAN MATEO","90","ca","POINT (-122.314351 37.547166)"
"F","White","Yes","ENGLISH","BELMONT","43","ca","POINT (-122.291951 37.508536)"
"M","White","Unknown","UNKNOWN","REDWOOD CITY","48","ca","POINT (-122.22815 37.484778)"
"F","Black","No","ENGLISH","BELMONT","25","ca","POINT (-122.291951 37.508536)"
"F","White","Yes","ENGLISH","SAN BRUNO","29","ca","POINT (-122.416148 37.627277)"
"M","White","No","ENGLISH","DALY CITY","34","ca","POINT (-122.472221 37.691113)"
"M","White","Yes","SPANISH","EAST PALO ALTO","37","ca","POINT (-122.139284 37.464162)"
"M","Asian","No","ENGLISH","PACIFICA","45","ca","POINT (-122.48704 37.613823)"
"M","White","Unknown","ENGLISH","REDWOOD CITY","62","ca","POINT (-122.22815 37.484778)"
"F","Other","Yes","ENGLISH","DALY CITY","57","ca","POINT (-122.472221 37.691113)"
"M","Pacific Islander","Unknown","UNKNOWN","SAN MATEO","57","ca","POINT (-122.314351 37.547166)"
"M","Asian","No","ENGLISH","HOMELESS","54","ca","POINT (-120.153119 40.13117)"
"F","White","No","ENGLISH","BELMONT","44","ca","POINT (-122.291951 37.508536)"
"M","Black","No","ENGLISH","REDWOOD CITY","29","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","REDWOOD CITY","21","ca","POINT (-122.22815 37.484778)"
"M","Other","Yes","ENGLISH","EAST PALO ALTO","52","ca","POINT (-122.139284 37.464162)"
"M","White","Unknown","UNKNOWN","BELMONT","40","ca","POINT (-122.291951 37.508536)"
"F","White","No","ENGLISH","SAN MATEO","62","ca","POINT (-122.314351 37.547166)"
"M","Unknown","Unknown","SPANISH","DALY CITY","33","ca","POINT (-122.472221 37.691113)"
"M","Other","Unknown","SPANISH","EAST PALO ALTO","25","ca","POINT (-122.139284 37.464162)"
"F","White","No","ENGLISH","REDWOOD CITY","54","ca","POINT (-122.22815 37.484778)"
"F","Black","Unknown","UNKNOWN","EAST PALO ALTO","66","ca","POINT (-122.139284 37.464162)"
"M","White","No","ENGLISH","SANTA ROSA","36","ca","POINT (-122.715642 38.439698)"
"M","Black","No","ENGLISH","REDWOOD CITY","45","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","EAST PALO ALTO","23","ca","POINT (-122.139284 37.464162)"
"M","Other","No","ENGLISH","REDWOOD CITY","57","ca","POINT (-122.22815 37.484778)"
"M","White","Yes","ENGLISH","SAN MATEO","51","ca","POINT (-122.314351 37.547166)"
"F","White","No","ENGLISH","BURLINGAME","54","ca","POINT (-122.366265 37.584195)"
"M","Unknown","Unknown","ENGLISH","REDWOOD CITY","63","ca","POINT (-122.22815 37.484778)"
"F","Other","Yes","SPANISH","EAST PALO ALTO","32","ca","POINT (-122.139284 37.464162)"
"F","Asian","No","ENGLISH","DALY CITY","67","ca","POINT (-122.472221 37.691113)"
"M","White","Yes","ENGLISH","MENLO PARK","42","ca","POINT (-122.18296 37.453629)"
"M","White","Unknown","UNKNOWN","FOSTER CITY","55","ca","POINT (-122.266445 37.561881)"
"F","Asian","No","ENGLISH","BELMONT","69","ca","POINT (-122.291951 37.508536)"
"M","White","Yes","SPANISH","HALF MOON BAY","57","ca","POINT (-122.429242 37.463638)"
"F","White","No","ENGLISH","REDWOOD CITY","69","ca","POINT (-122.22815 37.484778)"
"F","White","Yes","SPANISH","SAN MATEO","39","ca","POINT (-122.314351 37.547166)"
"M","Unknown","Unknown","ENGLISH","SOUTH SAN FRANCISCO","51","ca","POINT (-122.412482 37.65568)"
"M","Black","No","ENGLISH","SAN MATEO","55","ca","POINT (-122.314351 37.547166)"
"M","Unknown","Unknown","ENGLISH","OAKLAND","73","ca","POINT (-122.27248 37.804828)"
"F","White","Yes","SPANISH","REDWOOD CITY","80","ca","POINT (-122.22815 37.484778)"
"F","White","No","ENGLISH","REDWOOD CITY","34","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","REDWOOD CITY","30","ca","POINT (-122.22815 37.484778)"
"F","Unknown","Unknown","ENGLISH","PACIFICA","80","ca","POINT (-122.48704 37.613823)"
"F","White","Yes","SPANISH","REDWOOD CITY","55","ca","POINT (-122.22815 37.484778)"
"F","Black","Unknown","ENGLISH","EAST PALO ALTO","62","ca","POINT (-122.139284 37.464162)"
"M","White","No","ENGLISH","REDWOOD CITY","49","ca","POINT (-122.22815 37.484778)"
"M","White","Yes","SPANISH","EAST PALO ALTO","29","ca","POINT (-122.139284 37.464162)"
"F","White","Yes","SPANISH","HALF MOON BAY","26","ca","POINT (-122.429242 37.463638)"
"M","White","No","ENGLISH","SAN BRUNO","32","ca","POINT (-122.416148 37.627277)"
"M","White","No","ENGLISH","REDWOOD CITY","56","ca","POINT (-122.22815 37.484778)"
"M","Other","Yes","ENGLISH","REDWOOD CITY","24","ca","POINT (-122.22815 37.484778)"
"M","White","Unknown","ENGLISH","SAN MATEO","59","ca","POINT (-122.314351 37.547166)"
"M","White","Unknown","UNKNOWN","SOUTH SAN FRANCISCO","46","ca","POINT (-122.412482 37.65568)"
"M","Black","No","ENGLISH","FOSTER CITY","44","ca","POINT (-122.266445 37.561881)"
"M","White","Yes","ENGLISH","EAST PALO ALTO","33","ca","POINT (-122.139284 37.464162)"
"M","White","Yes","ENGLISH","EAST PALO ALTO","50","ca","POINT (-122.139284 37.464162)"
"M","Asian","Unknown","UNKNOWN","DALY CITY","47","ca","POINT (-122.472221 37.691113)"
"F","White","No","ENGLISH","SAN BRUNO","57","ca","POINT (-122.416148 37.627277)"
"F","White","Unknown","UNKNOWN","BURLINGAME","66","ca","POINT (-122.366265 37.584195)"
"M","White","No","ENGLISH","REDWOOD CITY","43","ca","POINT (-122.22815 37.484778)"
"F","White","Yes","ENGLISH","SOUTH SAN FRANCISCO","39","ca","POINT (-122.412482 37.65568)"
"M","Black","No","ENGLISH","SAN MATEO","48","ca","POINT (-122.314351 37.547166)"
"M","Black","No","ENGLISH","SAN MATEO","53","ca","POINT (-122.314351 37.547166)"
"F","Black","No","ENGLISH","SAN MATEO","43","ca","POINT (-122.314351 37.547166)"
"F","White","Yes","SPANISH","SOUTH SAN FRANCISCO","73","ca","POINT (-122.412482 37.65568)"
"F","White","Unknown","ENGLISH","HOMELESS","52","ca","POINT (-120.153119 40.13117)"
"M","Asian","No","ENGLISH","SOUTH SAN FRANCISCO","35","ca","POINT (-122.412482 37.65568)"
"F","White","Yes","SPANISH","REDWOOD CITY","25","ca","POINT (-122.22815 37.484778)"
"M","Asian","No","ENGLISH","PACIFICA","50","ca","POINT (-122.48704 37.613823)"
"F","White","Unknown","UNKNOWN","SAN MATEO","61","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","SAN BRUNO","36","ca","POINT (-122.416148 37.627277)"
"M","Asian","No","ENGLISH","SAN BRUNO","22","ca","POINT (-122.416148 37.627277)"
"M","White","No","ENGLISH","SAN MATEO","55","ca","POINT (-122.314351 37.547166)"
"M","Asian","Unknown","ENGLISH","SAN MATEO","41","ca","POINT (-122.314351 37.547166)"
"F","White","Unknown","UNKNOWN","BELMONT","70","ca","POINT (-122.291951 37.508536)"
"M","White","No","SPANISH","DALY CITY","60","ca","POINT (-122.472221 37.691113)"
"M","White","Yes","SPANISH","SAN MATEO","46","ca","POINT (-122.314351 37.547166)"
"M","Asian","No","CANTONESE","DALY CITY","71","ca","POINT (-122.472221 37.691113)"
"F","White","Unknown","UNKNOWN","SAN MATEO","66","ca","POINT (-122.314351 37.547166)"
"M","Black","No","ENGLISH","MENLO PARK","67","ca","POINT (-122.18296 37.453629)"
"F","Unknown","Unknown","ENGLISH","SAN MATEO","84","ca","POINT (-122.314351 37.547166)"
"F","White","Yes","ENGLISH","EAST PALO ALTO","36","ca","POINT (-122.139284 37.464162)"
"M","Other","No","ENGLISH","MENLO PARK","82","ca","POINT (-122.18296 37.453629)"
"F","White","Unknown","SPANISH","SOUTH SAN FRANCISCO","76","ca","POINT (-122.412482 37.65568)"
"M","Other","No","ENGLISH","HOMELESS","35","ca","POINT (-120.153119 40.13117)"
"M","White","Yes","ENGLISH","REDWOOD CITY","24","ca","POINT (-122.22815 37.484778)"
"F","White","Yes","ENGLISH","REDWOOD CITY","28","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","REDWOOD CITY","32","ca","POINT (-122.22815 37.484778)"
"F","Other","Yes","ENGLISH","DALY CITY","52","ca","POINT (-122.472221 37.691113)"
"M","White","No","ENGLISH","DALY CITY","62","ca","POINT (-122.472221 37.691113)"
"M","White","Yes","ENGLISH","HOMELESS","56","ca","POINT (-120.153119 40.13117)"
"M","Other","No","ENGLISH","SOUTH SAN FRANCISCO","34","ca","POINT (-122.412482 37.65568)"
"F","White","Yes","ENGLISH","SOUTH SAN FRANCISCO","94","ca","POINT (-122.412482 37.65568)"
"M","White","No","ENGLISH","PESCADERO","59","ca","POINT (-122.373421 37.254138)"
"M","Asian","No","CHINESE","SOUTH SAN FRANCISCO","100","ca","POINT (-122.412482 37.65568)"
"M","White","Yes","ENGLISH","SAN MATEO","52","ca","POINT (-122.314351 37.547166)"
"F","Black","No","ENGLISH","REDWOOD CITY","62","ca","POINT (-122.22815 37.484778)"
"M","White","No","ENGLISH","SAN CARLOS","57","ca","POINT (-122.264927 37.503733)"
"F","White","No","ENGLISH","SAN MATEO","37","ca","POINT (-122.314351 37.547166)"
"M","Asian","Unknown","ENGLISH","DALY CITY","71","ca","POINT (-122.472221 37.691113)"
"F","Other","Yes","ENGLISH","MODESTO","26","ca","POINT (-121.002435 37.640735)"
"F","White","No","ENGLISH","SAN MATEO","31","ca","POINT (-122.314351 37.547166)"
"M","White","No","ENGLISH","PACIFICA","50","ca","POINT (-122.48704 37.613823)"
"F","Native American","Unknown","UNKNOWN","SOUTH SAN FRANCISCO","60","ca","POINT (-122.412482 37.65568)"
"M","White","Yes","ENGLISH","SUNNYVALE","61","ca","POINT (-122.036572 37.373676)"
"M","White","Unknown","UNKNOWN","BURLINGAME","38","ca","POINT (-122.366265 37.584195)"
"F","Asian","No","CANTONESE","MILLBRAE","72","ca","POINT (-122.397199 37.603633)"
"M","Other","Yes","ENGLISH","SAN MATEO","46","ca","POINT (-122.314351 37.547166)"
"F","Black","No","ENGLISH","REDWOOD CITY","55","ca","POINT (-122.22815 37.484778)"
"M","White","Yes","ENGLISH","REDWOOD CITY","27","ca","POINT (-122.22815 37.484778)"
"M","White","Yes","ENGLISH","SAN BRUNO","31","ca","POINT (-122.416148 37.627277)"
"F","White","Yes","SPANISH","SAN BRUNO","73","ca","POINT (-122.416148 37.627277)"
"M","White","No","ENGLISH","DALY CITY","67","ca","POINT (-122.472221 37.691113)"
"F","Native American","Yes","ENGLISH","REDWOOD CITY","23","ca","POINT (-122.22815 37.484778)"
"F","White","No","ENGLISH","PACIFICA","36","ca","POINT (-122.48704 37.613823)"
"F","Asian","No","ENGLISH","BRISBANE","23","ca","POINT (-122.400522 37.682669)"
"F","Asian","No","ENGLISH","SOUTH SAN FRANCISCO","45","ca","POINT (-122.412482 37.65568)"
"F","White","Unknown","ENGLISH","REDWOOD CITY","43","ca","POINT (-122.22815 37.484778)"
"M","White","Unknown","SPANISH","EAST PALO ALTO","58","ca","POINT (-122.139284 37.464162)"
"M","White","Unknown","ENGLISH","BURLINGAME","42","ca","POINT (-122.366265 37.584195)"
"F","Asian","No","ENGLISH","DALY CITY","57","ca","POINT (-122.472221 37.691113)"
"M","White","No","ENGLISH","REDWOOD CITY","58","ca","POINT (-122.22815 37.484778)"
"F","Other","Unknown","SPANISH","REDWOOD CITY","64","ca","POINT (-122.22815 37.484778)"
"F","White","Yes","ENGLISH","SOUTH SAN FRANCISCO","26","ca","POINT (-122.412482 37.65568)"
"M","White","Yes","ENGLISH","REDWOOD CITY","25","ca","POINT (-122.22815 37.484778)"
"F","Pacific Islander","No","ENGLISH","SAN MATEO","31","ca","POINT (-122.314351 37.547166)"
"M","Black","Unknown","UNKNOWN","SOUTH SAN FRANCISCO","60","ca","POINT (-122.412482 37.65568)"
"M","White","No","ENGLISH","MENLO PARK","59","ca","POINT (-122.18296 37.453629)"
"M","White","Yes","ENGLISH","DALY CITY","57","ca","POINT (-122.472221 37.691113)"
"M","Native American","No","SPANISH","DALY CITY","57","ca","POINT (-122.472221 37.691113)"
