"project","fiscal_year","affordable_housing_units","project_type","tenure","target_population","developer","notes","count","location_1","location_1_address","location_1_city","location_1_state","location_1_zip"
"Vendome Hotel","2006-01-01T00:00:00.000","15","Acquisition/Rehab","Rent","Homeless","City of San Mateo","Shelter Network will provide services","1","POINT (-122.31944958799994 37.56539259200008)","415 S Claremont Street","San Mateo","CA","94401"
"Belmont Apartments","2005-01-01T00:00:00.000","25","New construction","Rent","Special needs","Mental Health Association",,"1","POINT (-122.26768217499995 37.514021564000075)","800 F Street","Belmont","CA","94002"
"714-718 Linden Avenue","2010-01-01T00:00:00.000","3","Acquisition/Rehab","Rent","Families","City of South San Francisco",,"1","POINT (-122.40855334599996 37.65957322100007)","714-718 Linden Avenue","South San Francisco","CA","94080"
"Villa Montgomery","2007-01-01T00:00:00.000","58","New construction","Rent","Families","First Community Housing",,"1","POINT (-122.22729584999996 37.48032653900003)","1500 El Camino Real","Redwood City","CA","94063"
"Pillar Ridge","2004-01-01T00:00:00.000","227","Acquisition/Rehab","Rent","Families","COACH of San Diego",,"1","POINT (-122.46998631199995 37.502162190000035)","164 Culebra Street","El Granada","CA","94308"
"Grand Oak Apartments","2007-01-01T00:00:00.000","43","New construction","Rent","Families","BRIDGE",,"1","POINT (-122.43293436699997 37.65869515500003)","99 Oak Avenue","South San Francisco","CA","94080"
"Opportunity Center of the Mid-Peninsula","2006-01-01T00:00:00.000","89","New construction","Rent","Homeless","Community Working Group","Serves SMCo and SCCo residents","1","POINT (-122.16093824399996 37.43909674300005)","33 Encina Avenue","Palo Alto","CA","94301"
"BMR University Square","2003-01-01T00:00:00.000","1","Acquisition","Own","Families","City of East Palo Alto",,"1","POINT (-122.13953710099997 37.47169346000004)","Bay Road at University Avenue","East Palo Alto","CA","94303"
"University Avenue Housing","2011-01-01T00:00:00.000","1","Acquisition","Rent","Families","EPA CAN DO","Part of site assembly","1","POINT (-122.14019486699999 37.470310906000066)","2376 University Avenue","East Palo Alto","CA","94303"
"Commercial Avenue Habitat Homes","2007-01-01T00:00:00.000","4","New construction","Own","Families","Pen Habitat",,"1","POINT (-122.41492304999997 37.65416784000007)","438 Commercial Avenue","South San Francisco","CA","94080"
"Cedar Street Apartments","2010-01-01T00:00:00.000","15","New construction","Rent","Special needs","Mental Health Association","Supportive housing","1","POINT (-122.20483637799998 37.48162614900008)","2868 Spring Street","Redwood City","CA","94063"
"Plumas Avenue Habitat Homes","2006-01-01T00:00:00.000","5","New construction","Own","Families","Pen Habitat","Townhomes","1","POINT (-122.40098274399998 37.68448091700003)","34 Plumas","Brisbane","CA","94005"
"Willow Road Apartments","2012-01-01T00:00:00.000","12","Acquisition/Rehab","Rent","Families","HIP Housing Developers","20 units of supportive housing","1","POINT (-122.15532778399995 37.47172590800005)","1157 Willow Road","Menlo Park","CA","94025"
"Willow Gardens IV – VII","2003-01-01T00:00:00.000","16","Acquisition","Rent","Families","Mid-Pen Housing",,"1","POINT (-122.43157276099998 37.66231437400006)","344 Susie Way","South San Francisco","CA","94080"
"Half Moon Village","2013-01-01T00:00:00.000","45","New construction","Rent","Seniors","Mid-Pen Housing",,"1","POINT (-122.42818717899996 37.45611903300005)","801 Arnold Way","Half Moon Bay","CA","94019"
"Nugent Square","2004-01-01T00:00:00.000","32","New construction","Rent","Families","EPA CAN DO/Eden",,"1","POINT (-122.14028548199997 37.47050194900004)","2369 University Avenue","East Palo Alto","CA","94303"
"Hillcrest Gardens","2008-01-01T00:00:00.000","40","New construction","Rent","Seniors","ABHOW",,"1","POINT (-122.46266438999999 37.70602282600004)","35 Hillcrest Drive","Daly City","CA","94014"
"The Village at the Crossing","2007-01-01T00:00:00.000","228","New construction","Rent","Seniors","Citizens Housing/KDF",,"1","POINT (-122.42299052399994 37.63464189900003)","1101 National Avenue","San Bruno","CA","94066"
"First Step for Families","2003-01-01T00:00:00.000","39","New construction","Transitional","Homeless","Shelter Network","Transitional housing","1","POINT (-122.33487900299997 37.57566914300003)","325 Villa Terrace","San Mateo","CA","94401"
"South Delaware Apartments","2004-01-01T00:00:00.000","11","Acquisition/Rehab","Rent","Families","HIP Housing Developers",,"1","POINT (-122.30508524299995 37.55063531900004)","2021 South Delaware Street","San Mateo","CA","94403"
"Trestle Glen","2009-01-01T00:00:00.000","119","New construction","Rent","Families","BRIDGE",,"1","POINT (-122.46634829699997 37.68277845000006)","370 F Street","Colma","CA","94014"
"Hope House for Men","2008-01-01T00:00:00.000","12","Acquisition","Transitional","Special needs","Service League",,"1","POINT (-122.19923304399998 37.482413250000036)","924 4th Avenue","Redwood City","CA","94063"
"Delaware Pacific","2013-01-01T00:00:00.000","60","New construction","Rent","Families","Mid-Pen Housing","Part of a mixed-use development (120 units total)","1","POINT (-122.30523742499997 37.55132760600003)","1990 S Delaware Street","San Mateo","CA","94403"
