"sex","age","latinx","race_ethnicity","language","city","geocoded_column","count","limited_english_proficiency","people_of_color"
"Female","65","1","Latinx","Spanish","San Bruno","POINT (-122.416148 37.627277)","1",,
"Female","62",,"White","English",,,"1",,
"Female","52","1","Latinx","Spanish","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","84",,"Black","English","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Female","62","1","White","Spanish","San Bruno","POINT (-122.416148 37.627277)","1",,
"Female","31",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","31",,,"English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","61",,"White","English",,,"1",,
"Male","68",,"Asian","English","San Carlos","POINT (-122.264927 37.503733)","1",,
"Male","33","1","Latinx","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","55","1","Latinx",,"San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","50","1","Latinx","Spanish","Menlo Park","POINT (-122.18296000000001 37.453629)","1",,
"Female","28",,"White","English","Burlingame","POINT (-122.36626500000001 37.584195)","1",,
"Male",,,"White",,"Belmont","POINT (-122.29195100000001 37.508536)","1",,
"Male","48",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","71",,"White","English","San Bruno","POINT (-122.416148 37.627277)","1",,
"Female","61",,"Asian","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Female","56",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","28","1","Latinx","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Female",,,,"Other","Colma","POINT (-122.452872 37.68073)","1",,
"Male","29","1","Latinx","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","54",,"White",,"San Mateo","POINT (-122.314351 37.547166)","1",,
"Male",,"1","Latinx","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","63",,"Black","English",,,"1",,
"Female","35","1","Latinx","Spanish","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","58",,"Black","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","57",,"Asian","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","57","1","White","Spanish","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Female","69",,"White","English","Half Moon Bay","POINT (-122.429242 37.463638)","1",,
"Male","51",,"White","English",,,"1",,
"Male","55",,"Black","English","Belmont","POINT (-122.29195100000001 37.508536)","1",,
"Male",,,,,,,"1",,
"Male","39","1","Latinx","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male","47",,"Black","English",,,"1",,
"Male","40",,"Black","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","59","1","White","Spanish","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","49",,"White","English",,,"1",,
"Female",,,"Black",,"Menlo Park","POINT (-122.18296000000001 37.453629)","1",,
"Female","58",,"White","English","Burlingame","POINT (-122.36626500000001 37.584195)","1",,
"Male","62",,"White","English",,,"1",,
"Female","51",,"White","English",,,"1",,
"Male","55",,"White","English","San Carlos","POINT (-122.264927 37.503733)","1",,
"Male","36",,"White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male","69",,"White","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Male","25","1","White","Spanish","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","23","1","Latinx","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","58",,"White","English",,,"1",,
"Female","27","1","Latinx","Other","Burlingame","POINT (-122.36626500000001 37.584195)","1",,
"Male","37","1","Latinx","English","Pacifica","POINT (-122.48704 37.613823)","1",,
"Female","68","1","Latinx","Spanish","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male","41",,"Black","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","59","1","White","Spanish","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","32",,"Black","English",,,"1",,
"Female","63","1","Latinx","Spanish","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male","58",,"Black","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","81","1","Latinx","Spanish","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Female","43",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","52","1","White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male",,,,,,,"1",,
"Male",,,,"English",,,"1",,
"Male","53",,"Black","English","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Female","22","1","White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","81",,"Asian","English",,,"1",,
"Female","25","1","White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","60",,"White","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Male","65","1","Latinx","Spanish","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Male","52","1","White","Spanish","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","24",,"White","English",,,"1",,
"Male","56","1","White","Spanish",,,"1",,
"Female","62",,"Asian","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","70","1","White","Spanish","Pacifica","POINT (-122.48704 37.613823)","1",,
"Female","66",,"White","English","Pacifica","POINT (-122.48704 37.613823)","1",,
"Male","57",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","67",,"Asian","Other",,,"1",,
"Male","47","1","Latinx","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","54","1","Latinx","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","47","1","Latinx","Spanish","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","22","1","Latinx","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","32",,"White","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Male","64",,"Black","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male",,,,,,,"1",,
"Female","100","1","Latinx","Spanish","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","54",,"Native Hawaiian/Pacific Islander","Other","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","64","1","Latinx","English",,,"1",,
"Female","64",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","36",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","55",,"White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male","85",,"White","English","Half Moon Bay","POINT (-122.429242 37.463638)","1",,
"Male",,,,"English",,,"1",,
"Female","40",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","71",,,"Other",,,"1",,
"Male","39",,"White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Female","59",,,"English","San Bruno","POINT (-122.416148 37.627277)","1",,
"Female","53","1","White","Spanish","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Male","53",,"White","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","62","1","White","Spanish","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male","57",,"Black","English","Belmont","POINT (-122.29195100000001 37.508536)","1",,
"Male","55","1","White","Spanish","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Female","74",,"White","English","Belmont","POINT (-122.29195100000001 37.508536)","1",,
"Male","71",,"White","English",,,"1",,
"Male","37",,"Black","English","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Male","61",,"Asian","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","50","1","White","Spanish","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","27","1","Latinx","English","Menlo Park","POINT (-122.18296000000001 37.453629)","1",,
"Female","54",,"Native Hawaiian/Pacific Islander","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","58",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","58",,"Asian","English","San Carlos","POINT (-122.264927 37.503733)","1",,
"Female",,"1","Latinx","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female",,,,,,,"1",,
"Male","58",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","64","1","Latinx","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","66",,"White","English",,,"1",,
"Male","40","1","Latinx","English",,,"1",,
"Male",,,"White",,"San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","70","1","White","Spanish","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","38",,"Black","English","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Female","29","1","Latinx","Spanish","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Male","59",,"White","English",,,"1",,
"Female","29",,"Black","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","53",,"Black","English",,,"1",,
"Male","26",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","61","1","White","Spanish",,,"1",,
"Male","40","1","White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male","58",,"White","English","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Female","57",,"White","English","Pescadero","POINT (-122.373421 37.254138)","1",,
"Female","44","1","Latinx","Spanish","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","21",,"Asian","English",,,"1",,
"Female","67",,"White","English","San Bruno","POINT (-122.416148 37.627277)","1",,
"Male",,,,,"San Bruno","POINT (-122.416148 37.627277)","1",,
"Male","27","1","Latinx","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Male","54",,"White","English","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Male","33",,"White","English","Moss Beach","POINT (-122.513396 37.527471)","1",,
"Female","88",,"White","English",,,"1",,
"Female","41","1","Latinx","English","Belmont","POINT (-122.29195100000001 37.508536)","1",,
"Female","27",,"Asian","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","26",,,"English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","88",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","43",,"White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Female","32",,"White","English","Menlo Park","POINT (-122.18296000000001 37.453629)","1",,
"Male","61",,"White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male","62",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","63",,"American Indian/Alaska Native","English","San Bruno","POINT (-122.416148 37.627277)","1",,
"Male","34",,,"English",,,"1",,
"Female","73",,"White","English",,,"1",,
"Female","65",,"White","English","San Bruno","POINT (-122.416148 37.627277)","1",,
"Male","30",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","61","1","White","Spanish","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","60","1","Latinx","Spanish","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","30",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","39","1","White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","64",,"White","English","Millbrae","POINT (-122.39719900000001 37.603633)","1",,
"Female","52",,"White","English","San Bruno","POINT (-122.416148 37.627277)","1",,
"Female",,,"Black",,"San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","30",,"White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male",,,,,,,"1",,
"Female","57",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male",,,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","69",,"White","English","Millbrae","POINT (-122.39719900000001 37.603633)","1",,
"Male","60",,"Native Hawaiian/Pacific Islander","Other","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Female","58",,"White","English","Half Moon Bay","POINT (-122.429242 37.463638)","1",,
"Male","61","1","White","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Male","47",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","29",,"White","English","Belmont","POINT (-122.29195100000001 37.508536)","1",,
"Female","54",,"Black","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male",,"1","Latinx","English",,,"1",,
"Female","59",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","22",,"American Indian/Alaska Native","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","37","1","White","Spanish","Pacifica","POINT (-122.48704 37.613823)","1",,
"Male","48",,"Black","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","58","1","Latinx","Spanish","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","37",,"Black","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male","36",,"White","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","35",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","51",,"White","English",,,"1",,
"Male","42",,"Asian","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Female","25","1","Latinx","Spanish","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male",,,,"Spanish",,,"1",,
"Male","57",,"White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male","43","1","Latinx","Spanish","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","65","1","White","Spanish",,,"1",,
"Male","47",,"Black","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","30","1","Latinx","Spanish","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","84","1","Latinx","Spanish","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","27",,"Native Hawaiian/Pacific Islander","English",,,"1",,
"Male",,,"White",,"Millbrae","POINT (-122.39719900000001 37.603633)","1",,
"Female","61",,"Black","English","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Female","89",,"Native Hawaiian/Pacific Islander","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","42",,"White","English",,,"1",,
"Male","57",,"Black","English","San Bruno","POINT (-122.416148 37.627277)","1",,
"Male","28","1","Latinx","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Female","31",,"White","English",,,"1",,
"Male","62","1","White","Spanish","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Male","61","1","White","Spanish","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Male","25",,"White","English","Millbrae","POINT (-122.39719900000001 37.603633)","1",,
"Female","46","1","White","English",,,"1",,
"Female","69","1","White","Spanish","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","38","1","White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","34",,"Black","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","32",,"White","English",,,"1",,
"Female","32",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","49",,"White",,"San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","31",,"White","English",,,"1",,
"Female","37",,"White","English",,,"1",,
"Male",,,"White","English",,,"1",,
"Male","54",,,"English","Belmont","POINT (-122.29195100000001 37.508536)","1",,
"Male","67",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","66","1","White","Spanish","San Carlos","POINT (-122.264927 37.503733)","1",,
"Male","49",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","66",,"White","English",,,"1",,
"Male","74",,"Black","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male",,,"White","English",,,"1",,
"Male","29","1","Latinx","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","60",,"Asian","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","65",,"Asian","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","56","1","White","English","San Bruno","POINT (-122.416148 37.627277)","1",,
"Female","51",,"Asian","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Male","66",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male",,,,,"South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Female","39","1","White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male","63",,"White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male","62",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","20",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","56",,"White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Female","23","1","Latinx","English","San Bruno","POINT (-122.416148 37.627277)","1",,
"Female","29","1","Latinx","Spanish","Belmont","POINT (-122.29195100000001 37.508536)","1",,
"Female","48",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","58",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","46",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","63",,"Asian","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","75","1","White","Spanish","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","33",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","45",,"White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Female","21",,"Native Hawaiian/Pacific Islander","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","60",,"Black","English","Menlo Park","POINT (-122.18296000000001 37.453629)","1",,
"Female","66",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","66",,"Asian","Other","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","50",,"White","English",,,"1",,
"Female","56",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","54","1","Latinx","English","San Bruno","POINT (-122.416148 37.627277)","1",,
"Male","54","1","Latinx","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","58",,"Black","English",,,"1",,
"Male","25","1","Latinx","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","54","1","White","English","San Bruno","POINT (-122.416148 37.627277)","1",,
"Female","34",,"White","English","Menlo Park","POINT (-122.18296000000001 37.453629)","1",,
"Male",,,"White",,"San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","70",,"Asian","Other","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Female","62",,,"Other","Belmont","POINT (-122.29195100000001 37.508536)","1",,
"Male","80",,"Asian","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","79","1","White","Spanish","Half Moon Bay","POINT (-122.429242 37.463638)","1",,
"Male","58","1","White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Female","49",,"White","English","Half Moon Bay","POINT (-122.429242 37.463638)","1",,
"Male","63",,"Asian","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","33",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female",,,,,,,"1",,
"Female","39",,"Asian","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","32","1","White","English","La Honda","POINT (-122.27465499999998 37.315116)","1",,
"Female","71",,"Black","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","47","1","Latinx","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","54","1","Latinx","English","Menlo Park","POINT (-122.18296000000001 37.453629)","1",,
"Male","61",,"White","English","Millbrae","POINT (-122.39719900000001 37.603633)","1",,
"Male","70",,"Black","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","36","1","Latinx","Spanish","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","70",,"Asian","English",,,"1",,
"Male","66",,"Black","English",,,"1",,
"Male","57",,"Asian","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","32","1","White","Spanish","El Granada","POINT (-122.46948599999999 37.502528)","1",,
"Female","67",,"Asian","Other","Millbrae","POINT (-122.39719900000001 37.603633)","1",,
"Male","52",,"White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Female","70",,"Asian","Other","Millbrae","POINT (-122.39719900000001 37.603633)","1",,
"Female","61",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","50",,"White","English","Belmont","POINT (-122.29195100000001 37.508536)","1",,
"Male","92",,"Asian","English",,,"1",,
"Female","44",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","65",,"American Indian/Alaska Native","English","San Bruno","POINT (-122.416148 37.627277)","1",,
"Female","33",,"Asian","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Male","79",,"White","English","Millbrae","POINT (-122.39719900000001 37.603633)","1",,
"Female","75",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","54",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","48",,"White","English","Belmont","POINT (-122.29195100000001 37.508536)","1",,
"Female","34","1","Latinx","English","Menlo Park","POINT (-122.18296000000001 37.453629)","1",,
"Female","39",,"Asian","Other","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Male","62",,"Black","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","67",,,,"Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","57",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","58",,"Black","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","58",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","64",,"Asian","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male","19","1","White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","39","1","White","English","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Male","69",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male",,,"White","English",,,"1",,
"Male","37","1","Latinx","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male","53","1","Latinx","Spanish","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","56","1","White","Spanish","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Female","60","1","White","Spanish",,,"1",,
"Male","29",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","24","1","Latinx","Spanish","San Mateo","POINT (-122.314351 37.547166)","1",,
,,,,,"Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Male","29",,"Black","English","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Female","26",,,"English",,,"1",,
"Female","32",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","45",,"White","English",,,"1",,
"Male","53",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","44",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","49",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female",,,,,,,"1",,
"Male","24",,"Black","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","56","1","White","English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male",,,"Black","English","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Female","35",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","63",,"Black","English","Belmont","POINT (-122.29195100000001 37.508536)","1",,
"Female","43","1","White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","44",,"White","English","Millbrae","POINT (-122.39719900000001 37.603633)","1",,
"Female","29",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
,,,,,"Menlo Park","POINT (-122.18296000000001 37.453629)","1",,
"Female","25","1","Latinx","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","67","1","White","English",,,"1",,
"Female",,,,"Other",,,"1",,
"Male","61",,"White","English","El Granada","POINT (-122.46948599999999 37.502528)","1",,
"Female","53",,"White","English","Pacifica","POINT (-122.48704 37.613823)","1",,
"Male",,,,,"San Bruno","POINT (-122.416148 37.627277)","1",,
"Female","30",,"Black","English","San Bruno","POINT (-122.416148 37.627277)","1",,
"Female","37",,"White","English","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","24",,"Asian",,"Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","25","1","White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","62",,"White","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","30",,"White","English","San Carlos","POINT (-122.264927 37.503733)","1",,
"Male","40","1","Latinx","Spanish","Daly City","POINT (-122.47222100000002 37.691113)","1",,
"Female","52",,"Asian","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","59",,,"English","South San Francisco","POINT (-122.41248200000001 37.65568)","1",,
"Male",,,,"English",,,"1",,
"Female","22","1","Latinx","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","52","1","Latinx","Spanish","East Palo Alto","POINT (-122.139284 37.464162)","1",,
"Male","60","1","Latinx","Spanish","Montara","POINT (-122.51525800000002 37.542)","1",,
"Female","39","1","White","Spanish","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","33",,"Black","English",,,"1",,
"Male","53",,"Native Hawaiian/Pacific Islander","English","Redwood City","POINT (-122.22815 37.484778)","1",,
"Male","54","1","Latinx","Spanish","Redwood City","POINT (-122.22815 37.484778)","1",,
"Female","28",,"Black","English",,,"1",,
"Male","47",,"White","English",,,"1",,
"Female","48",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Male","32",,"White","English","San Mateo","POINT (-122.314351 37.547166)","1",,
"Female","67",,"Black","English","Menlo Park","POINT (-122.18296000000001 37.453629)","1",,
