"county","type","facility_name","street_address","city","state","zip","location"
"Oswego","Grocery","Tops Market #585","Rome Rd (Rt-13)","Pulaski","NY","13142",
"Monroe","Grocery","Herrema's Marketplace","Pattonwood Drive","Irondequoit","NY","14617",
"OOS","Grocery","ShopRite Of Westfall Town Center","Hulst Drive","Montague","NJ","7927",
"Queens","Grocery","Pioneer Supermarket","Northern Blvd","Corona","NY","11368",
"Nassau","Grocery","La Placita Supermarket","Glen St","Glen Cove","NY","11542",
"Erie","Pharmacy Only","Walgreens # 12473","French Rd","Buffalo","NY","14227",
"Suffolk","Pharmacy Only","Walgreens #05439","Deer Park Ave","Deer Park","NY","11729",
"Kings","Grocery","Food Universe","Remsen Avenue","Brooklyn","NY","11212",
"Nassau","Pharmacy Only","CVS Pharmacy #2028","Henry Street","Hempstead","NY","11550",
"Bronx","Grocery","Regina Meat & Deli Grocery Inc","Westchester Avenue","Bronx","NY","10472",
"Westchester","Grocery","Associated Supermarket","South Broadway","Yonkers","NY","10705",
"Nassau","Grocery","Stop & Shop #569","Pine Hollow Rd","Oyster Bay","NY","11771",
"Bronx","Grocery","1029 Food Plaza Inc","East 181st Street","Bronx","NY","10453",
"Orange","Grocery","Landau Supermarket","Forest Road","Monroe","NY","10950",
"Kings","Grocery","Kosher Town","Albany Avenue","Brooklyn","NY","11213",
"Kings","Grocery","La Placita De Brooklyn Supermarket","8th Avenue","Brooklyn","NY","11232",
"Richmond","Grocery w/ Pharmacy inside","ShopRite Of Forest & Richmond","Richmond Avenue","Staten Island","NY","10314",
"Richmond","Grocery","Key Food","Bay St","Staten Island","NY","10301",
"Kings","Grocery","Bensonhurst Market","20th Avenue","Brooklyn","NY","11204",
"Rockland","Grocery w/ Pharmacy inside","ShopRite Of New City","North Main St","New City","NY","10956",
"Bronx","Pharmacy Only","Mahesh Drugs","White Plains Road","Bronx","NY","10473",
"Richmond","Grocery","Frutas Y Abarrotes Mexico Ii Inc.","Victory Blvd.","Staten Island","NY","10301",
"Queens","Grocery","Key Food","Queens Blvd","Woodside","NY","11377",
"Queens","Grocery","Lan Babyshop Inc.","Northern Boulevard","Flushing","NY","11354",
"Nassau","Pharmacy Only","CVS Pharmacy #541","Sunrise Highway","Rockville Centre","NY","11570",
"Queens","Grocery","Shop Fair Supermarket Market Place","Seneca Av","Ridgewood","NY","11385",
"New York","Pharmacy Only","Duane Reade #14369","Madison Ave","New York","NY","10029",
"Westchester","Grocery","La Famosa Corp.","Beekman Avenue","Sleepy Hollow","NY","10591",
"Queens","Grocery","Foodtown","Queens Blvd","Forest Hills","NY","11375",
"Onondaga","Grocery w/ Pharmacy inside","Walmart Supercenter #5242","Brewerton Ro","Cicero","NY","13039",
"Queens","Grocery","Key Food","Queens Blvd","Forest Hills","NY","11375",
"Queens","Grocery","Associated Fresh Marketplace","Parsons Blvd","Fresh Meadows","NY","11365",
"Chemung","Grocery","Jubilee Foods","Westinghouse Road","Horseheads","NY","14845",
"New York","Grocery","El Manantial Grocery Store, Inc.","Audubon Ave","New York","NY","10033",
"Kings","Grocery","Golden Farms","Crescent Street","Brooklyn","NY","11208",
"Bronx","Pharmacy Only","City Line Pharmacy","White Plains Road","Bronx","NY","10470",
"Oneida","Grocery w/ Pharmacy inside","Walmart Supercenter #2093","Horatio St","Utica","NY","13502",
"Schenectady","Grocery w/ Pharmacy inside","Market 32 By Price Chopper #191","Balltown Rd","Schenectady","NY","12304",
"Kings","Grocery","Sweet Garden Market Inc.","18th Ave","Brooklyn","NY","11204",
"Kings","Grocery","The Kosher Food Depot, Inc.","42nd St","Brooklyn","NY","11219",
"Kings","Grocery","City Fresh Market","Stanley Avenue","Brooklyn","NY","11207",
"Bronx","Pharmacy Only","1st Aid Pharmacy & Surgical Supplie","West Fordham Road","Bronx","NY","10468",
"Erie","Pharmacy Only","Walgreens #10442","Delaware Ave","Buffalo","NY","14217",
"Kings","Grocery","Bowen & Darren Deli & Grocery, Corp","7th Av","Brooklyn","NY","11220",
"Bronx","Grocery","Fine Fare","East Mount Eden Avenue","Bronx","NY","10452",
"Suffolk","Pharmacy Only","Salumed Pharmacy","Fifth Ave","Bay Shore","NY","11706",
"Putnam","Grocery","Tops Market #535","Us Route 6","Carmel","NY","10512",
"Kings","Pharmacy Only","Fine Care Pharmacy","13th Avenue","Brooklyn","NY","11219",
"Orange","Grocery","ShopRite Of Middletown #272","Dolson Av","Middletown","NY","10940",
"Monroe","Grocery w/ Pharmacy inside","Walmart Supercenter #1619","Market Place Dr","Henrietta","NY","14467",
"Westchester","Grocery","Acme #2424","Route 22","Goldens Bridge","NY","10526",
"Suffolk","Pharmacy Only","CVS Pharmacy #509","East Suffolk Avenue","Central Islip","NY","11722",
"Dutchess","Pharmacy Only","CVS #5057","Route 44","Millerton","NY","12546",
"Orange","Grocery","Geraci's Market","Mill St","Newburgh","NY","12550",
"Suffolk","Grocery w/ Pharmacy inside","Stop & Shop #583","Patchogue Yaphank Ro","Medford","NY","11763",
"Seneca","Grocery","Ovid Big M","Main Street","Ovid","NY","14521",
"Suffolk","Grocery","ShopRite Of Hauppauge","Nesconset Hwy","Hauppauge","NY","11788",
"Kings","Grocery","Royal Market","Nostrand Ave","Brooklyn","NY","11216",
"Kings","Grocery","Metropolitan Citymarket","Bedford Ave.","Brooklyn","NY","11216",
"Queens","Grocery","Ideal Food Basket","Hillside Av","Jamaica","NY","11435",
"Chautauqua","Pharmacy Only","Walgreens #11729","Main St","Dunkirk","NY","14048",
"Suffolk","Pharmacy Only","CVS Pharmacy #1271","Route 25a","Rocky Point","NY","11778",
"Bronx","Pharmacy Only","Gig Pharmacy Inc.","Jerome Avenue","Bronx","NY","10467",
"Suffolk","Grocery","La Plaza Mini Market Corp","Straight Path","Wyandanch","NY","11798",
"Kings","Grocery","Ideal Food Basket","Rockaway Parkway","Brooklyn","NY","11236",
"Albany","Grocery","Market 32 By Price Chopper #23","Madison Ave","Albany","NY","12210",
"Kings","Grocery w/ Pharmacy inside","Bocker Pharmacy & Food Mart Inc.","Knickerbocker Avenue","Brooklyn","NY","11237",
"Richmond","Pharmacy Only","Walgreens #09204","Manor Rd","Staten Island","NY","10314",
"Kings","Grocery","Tov Meod","14th Ave","Brooklyn","NY","11219",
"Erie","Grocery","Tops Market #212","Harlem Rd","West Seneca","NY","14224",
"Fulton","Grocery","Tops Market #721","Main Street","Northville","NY","12134",
"Ontario","Grocery","Tops Market #435","Route 96","Farmington","NY","14425",
"Monroe","Grocery w/ Pharmacy inside","Wegmans Food Market #20","Mt Read Blvd","Rochester","NY","14616",
"Queens","Grocery","Mi Tierra Supermarket","Roosevelt Ave","Jackson Heights","NY","11372",
"Queens","Grocery","Foodtown","37th Ave","Jackson Heights","NY","11372",
"Bronx","Grocery","Fine Fare","East Tremont Avenue","Bronx","NY","10457",
"New York","Grocery","Compare","Avenue D","New York","NY","10009",
"Rensselaer","Grocery","Tops Market #723","Route 22","Hoosick Falls","NY","12090",
"New York","Grocery","Thrifty Deli Supermarket","Broadway","New York","NY","10027",
"Kings","Grocery","C-Town Supermarkets","Avenue D","Brooklyn","NY","11203",
"New York","Grocery","C-Town Supermarkets","Frederick Douglass Blvd","New York","NY","10027",
"Chenango","Grocery","Sherburne Big M","North Main St","Sherburne","NY","13460",
"Bronx","Grocery","Sagal Food","Southern Boulevard","Bronx","NY","10459",
"Queens","Grocery","C & C International Deli Grocery Co","41st Ave","Corona","NY","11368",
"Rockland","Grocery","Evergreen Kosher Llc","Route 59","Monsey","NY","10952",
"Orange","Grocery","Target #1296","North Galleria Drive, Ste 40","Middletown","NY","10941",
"Kings","Grocery","Colonial Deli, Inc.","Bay Ridge Ave","Brooklyn","NY","11220",
"Queens","Grocery","Food Bazaar","Northern Blvd","Long Island City","NY","11101",
"Onondaga","Grocery w/ Pharmacy inside","Wegmans Food Market #30","E Genesee St","Fayetteville","NY","13066",
"Bronx","Grocery","Golden Produce Ii Llc","Grand Concourse","Bronx","NY","10457",
"Kings","Grocery","Throop Ave. Grocery & Meat Market","Park Avenue","Brooklyn","NY","11206",
"Bronx","Grocery","Cacheo Food Corp","Sheridan Avenue","Bronx","NY","10456",
"Kings","Grocery","Lucky 4502 Grocery Inc","6th Avenue","Brooklyn","NY","11220",
"Dutchess","Grocery","Stop & Shop #567","Albany Post Road","Hyde Park","NY","12538",
"Kings","Grocery","Food Bazaar","Van Brunt St","Brooklyn","NY","11231",
"Richmond","Grocery","Target Store T-2753","Richmond Avenue","Staten Island","NY","10314",
"Suffolk","Grocery","Target Store T-1148","Sunrise Highway","Bay Shore","NY","11706",
"Erie","Grocery w/ Pharmacy inside","Tops Market #202","Union Rd","Cheektowaga","NY","14225",
"Kings","Grocery","Southside Food Plaza Inc.","Bedford Ave","Brooklyn","NY","11249",
"Queens","Grocery","Trade Fair","Astoria Blvd.","East Elmhurst","NY","11369",
"Kings","Grocery","3 J S Food Corp.","Pitkin Avenue","Brooklyn","NY","11207",
"Queens","Grocery","Fine Fare Supermarket","Jamaica Avenue","Woodhaven","NY","11421",
"Queens","Pharmacy Only","Medicmasters Pharmacy & Surgical Su","Jamaica Avenue","Jamaica","NY","11432",
"New York","Pharmacy Only","Upper Manhattan Pharmacy","Amsterdam Ave","New York","NY","10031",
"Nassau","Grocery","King Kullen #39","Jericho Turnpike","Garden City Park","NY","11040",
"Bronx","Grocery","Banesa Deli Grocery#2","Anthony Avenue","Bronx","NY","10457",
"Queens","Grocery","Stop & Shop #2580","26th Avenue","Bayside","NY","11360",
"Herkimer","Grocery w/ Pharmacy inside","Walmart Supercenter #2285","North Caroline Street","Herkimer","NY","13350",
"Kings","Grocery","Scaturro Supermarkets","11th Ave","Brooklyn","NY","11219",
"Monroe","Grocery w/ Pharmacy inside","Wegmans Food Market #67","Titus Ave","Rochester","NY","14621",
"Oswego","Grocery","Tops Market #595","North Main St","Sandy Creek","NY","13145",
"Bronx","Grocery","C-Town Supermarkets","Third Avenue","Bronx","NY","10451",
"Queens","Pharmacy Only","Sherman Pharmacy 2","Myrtle Avenue","Ridgewood","NY","11385",
"Suffolk","Grocery","Cherry Valley Marketplace","E. Suffolk Avenue","Central Islip","NY","11722",
"Kings","Pharmacy Only","Coney Island Chemist, Inc.","Coney Island Ave","Brooklyn","NY","11223",
"Westchester","Grocery","City Fresh Market","West Post Road","White Plains","NY","10606",
"New York","Grocery","C-Town Supermarkets","W 125th St","New York","NY","10027",
"Tioga","Grocery","Sweeney's Market","State Route 434","Apalachin","NY","13732",
"Suffolk","Grocery w/ Pharmacy inside","Stop & Shop #564","Montauk Hw","West Babylon","NY","11704",
"Rockland","Grocery","Pineapple Supermarket Llc","Mezritch Rd","Spring Valley","NY","10977",
"Saratoga","Grocery w/ Pharmacy inside","Price Chopper #184","Kendall Way","Malta","NY","12020",
"Queens","Grocery","Grace Tree Fruit Corp.","Woodward Avenue","Ridgewood","NY","11385",
"Nassau","Pharmacy Only","CVS Pharmacy #982","Wantagh Avenue","Levittown","NY","11756",
"Westchester","Grocery","La Placita Mini Market","South Highland Avenue","Ossining","NY","10562",
"Ontario","Grocery","West's Shurfine Food Mart","Main Street","Honeoye","NY","14471",
"Ulster","Grocery","ShopRite Of Ellenville #266","Shoprite Blvd","Ellenville","NY","12428",
"New York","Pharmacy Only","Duane Reade #14202","Columbus Ave","New York","NY","10025",
"Kings","Pharmacy Only","Rxcircle Pharmacy Corp","7th Avenue","Brooklyn","NY","11220",
"Suffolk","Grocery","Stop & Shop #2575","Newtown La","East Hampton","NY","11937",
"Suffolk","Pharmacy Only","CVS Pharmacy #2960","Main Street","Port Jefferson","NY","11777",
"Nassau","Grocery","Target Store T-1139","Corporate Drive","Westbury","NY","11590",
"Nassau","Grocery w/ Pharmacy inside","Stop & Shop #2584","Wheatly Plaza","Greenvale","NY","11548",
"Bronx","Pharmacy Only","Walgreens #1013","Broadway","Bronx","NY","10463",
"New York","Grocery","85 Deli Mini Market Corp.","Broadway","New York","NY","10034",
"Queens","Grocery","Stop 1","108th Street","Corona","NY","11368",
"Kings","Grocery","Foodtown #589","Mcdonald Ave","Brooklyn","NY","11218",
"Kings","Grocery","Karzinka Corp.","Bay Parkway","Brooklyn","NY","11204",
"Ulster","Grocery","Mytown Marketplace","Main Street","Stone Ridge","NY","12484",
"New York","Pharmacy Only","Pancare Pharmacy, Inc.","Bowery St","New York","NY","10013",
"Warren","Grocery w/ Pharmacy inside","Hannaford Food & Drug #8374","Broad St","Glens Falls","NY","12801",
"Queens","Grocery","Fine Fare","41st Avenue","Long Island City","NY","11101",
"Albany","Grocery w/ Pharmacy inside","Price Chopper #138","New Loudon Road","Latham","NY","12110",
"Oneida","Pharmacy Only","CVS #5015","Main St","Waterville","NY","13480",
"Kings","Grocery","C-Town Supermarkets","Taaffe Place","Brooklyn","NY","11205",
"Kings","Grocery","Power 7 Market, Inc.","7th Avenue","Brooklyn","NY","11220",
"Cayuga","Grocery","Byrne Dairy #37","Arterial East","Auburn","NY","13021",
"Bronx","Grocery","S & W Supermarket Inc","East Tremont Avenue","Bronx","NY","10465",
"Queens","Grocery w/ Pharmacy inside","Stop & Shop #2585","Springfield Blvd","Springfield Garden","NY","11413",
"Rensselaer","Grocery","ShopRite Of North Greenbush #250","Van Rensselaer Square","Rensselaer","NY","12144",
"Bronx","Grocery","Your Choice Deli Grocery Corp","Valentine Avenue","Bronx","NY","10458",
"New York","Grocery","Rey's Grocery Deli Corp.","Audubon Av","New York","NY","10033",
"Queens","Grocery","The Food Emporium","153rd Avenue","Howard Beach","NY","11414",
"Kings","Pharmacy Only","Walgreens # 11555","18th Ave","Brooklyn","NY","11204",
"Bronx","Pharmacy Only","161st Pharmacy & Surgical Supplies","East 161st Street","Bronx","NY","10451",
"Lewis","Grocery w/ Pharmacy inside","Walmart Supercenter #5498","State Route 12","Lowville","NY","13367",
"Kings","Pharmacy Only","Geo Pharmacy, Inc.","Coney Island Av","Brooklyn","NY","11218",
"Cattaraugus","Grocery","Tops Market #273","Main St","Randolph","NY","14772",
"Essex","Grocery","Village Meat Market","Essex Road","Willsboro","NY","12996",
"Delaware","Grocery","Price Chopper #215","Delaware Avenue","Sidney","NY","13838",
"Rockland","Grocery","Los Primos Grocery Store #2 Corp","Main Street","Haverstraw","NY","10927",
"Queens","Grocery","Food Bazaar","Gates Avenue","Ridgewood","NY","11385",
"Onondaga","Grocery","Price Rite Syracuse #248","South Av","Syracuse","NY","13207",
"New York","Grocery","Key Food","Amsterdam Ave","New York","NY","10024",
"Erie","Grocery","Save-A-Lot Lancaster","Aurora St.","Lancaster","NY","14086",
"New York","Grocery","C-Town Supermarkets","Saint Nicholas Avenue","New York","NY","10032",
"Bronx","Grocery","Fine Fare","East 149th Street","Bronx","NY","10455",
"Greene","Grocery","Tops Market #720","State Route 32","Greenville","NY","12083",
"Monroe","Grocery w/ Pharmacy inside","Wegmans Food Market #66","Holt Rd","Webster","NY","14580",
"Bronx","Grocery","Omale New York Grocery Corp","Crotona Avenue","Bronx","NY","10457",
"Erie","Grocery w/ Pharmacy inside","Walmart Supercenter #2210","Sheridan Dr","Amherst","NY","14226",
"Nassau","Grocery","ShopRite Of Massapequa","Sunrise Highway","Massapequa","NY","11758",
"Kings","Grocery","Hua Xing Grocery Inc","Fort Hamilton Pw","Brooklyn","NY","11219",
"Kings","Grocery","Avenue H Deli, Inc.","Avenue H","Brooklyn","NY","11234",
"Kings","Grocery","Sweet Chelsea Grocery Inc","7th Avenue","Brooklyn","NY","11220",
"Nassau","Pharmacy Only","CVS Pharmacy #510","Franklin Avenue","Garden City","NY","11530",
"Nassau","Pharmacy Only","Walgreens #2778","Dutch Broadway","Elmont","NY","11003",
"Albany","Grocery w/ Pharmacy inside","Hannaford Supermarket & Pharm #8367","Central Ave","Albany","NY","12206",
"Queens","Pharmacy Only","Duane Reade #14206","Beach Channel Dr","Far Rockaway","NY","11694",
"Niagara","Grocery w/ Pharmacy inside","Walmart Supercenter #4597","Niagara Falls Bo","North Tonawanda","NY","14120",
"Kings","Grocery","R & I Grocery Inc.","8th Avenue","Brooklyn","NY","11232",
"Onondaga","Grocery","Toomey Abbott Market","Almond St","Syracuse","NY","13210",
"Nassau","Grocery w/ Pharmacy inside","Stop & Shop #2582","East Park Av","Long Beach","NY","11561",
"New York","Pharmacy Only","Duane Reade #21261","8th Ave","New York","NY","10036",
"New York","Grocery","Fine Fare Fresh","Broadway Suite 17","New York","NY","10033",
"Bronx","Grocery","Ecuatioranita Deli Corp","Longwood Avenue","Bronx","NY","10459",
"Bronx","Grocery","J & R Super Deli Grocery Corp","Washington Avenue","Bronx","NY","10456",
"Bronx","Grocery","Foodtown","White Plains Road","Bronx","NY","10466",
"New York","Pharmacy Only","Duane Reade #14488","Lexington Ave","New York","NY","10022",
"Kings","Pharmacy Only","Duane Reade #14444","Ralph Ave","Brooklyn","NY","11234",
"Suffolk","Pharmacy Only","CVS Pharmacy #2286","Portion Road","Lake Ronkonkoma","NY","11779",
"Warren","Grocery","Grand Union Of Warrensburg #19494","Main Street","Warrensburg","NY","12885",
"Onondaga","Grocery","J & B Grocery","Bellevue Ave","Syracuse","NY","13204",
"Monroe","Grocery w/ Pharmacy inside","Wegmans Food Market # 25","Monroe Ave","Rochester","NY","14618",
"Dutchess","Grocery","Target T-1856","South Road","Poughkeepsie","NY","12601",
"Queens","Grocery","Darbar Deli & Grocery Inc.","Queens Blvd","Jamaica","NY","11435",
"Erie","Grocery w/ Pharmacy inside","Tops Market #220","Transit Rd","Depew","NY","14043",
"Bronx","Grocery","Leidy Deli Grocery","East 176 Street","Bronx","NY","10457",
"Westchester","Grocery","La Poblanita Deli Grocery Corp","Poningo Street","Port Chester","NY","10573",
"Oneida","Grocery","Tops Market #598","State Route 12","Boonville","NY","13309",
"Orange","Grocery","La Marqueta Meat & Produce","Broadway","Newburgh","NY","12550",
"Columbia","Grocery w/ Pharmacy inside","Walmart Supercenter #2097","Fairview Av","Hudson","NY","12534",
"Queens","Pharmacy Only","Walgreens #05051","Merrick Blvd","Laurelton","NY","11413",
"Kings","Grocery","Brooklyn Harvest Market","Metropolitan Avenue","Brooklyn","NY","11211",
"Queens","Grocery","Green Valley Of Sunnyside","Greenpoint Ave","Sunnyside","NY","11104",
"Kings","Grocery","Express Deli","Neptune Avenue","Brooklyn","NY","11235",
"Richmond","Grocery","Super Fresh","Greaves Lane","Staten Island","NY","10308",
"Kings","Grocery","Spitzer's Bakery Inc.","Bedford Avenue","Brooklyn","NY","11211",
"Steuben","Grocery w/ Pharmacy inside","Walmart Supercenter #2992","Silverback Ln","Painted Post","NY","14870",
"Livingston","Grocery","Tops Market #431","E Main St","Avon","NY","14414",
"Queens","Grocery","Happy 88 Grocery Store Inc.","Corona Ave","Elmhurst","NY","11373",
"St. Lawrence","Grocery w/ Pharmacy inside","Price Chopper #46","E. Main Street","Canton","NY","13617",
"Oswego","Grocery","Price Chopper #226","State Route 104","Oswego","NY","13126",
"Westchester","Grocery","Stop & Shop #591","Boston Post Road","Mamaroneck","NY","10543",
"Chemung","Grocery","Byrne Dairy #01","Grand Central Avenue","Horseheads","NY","14845",
"Kings","Grocery","Mary Grocery Inc","Fort Hamilton Pkwy","Brooklyn","NY","11219",
"Kings","Grocery","Amin Grocery Corp.","18 Ave","Brooklyn","NY","11218",
"Monroe","Grocery","Target Store T-2211","Medley Centre Parkway","Irondequoit","NY","14622",
"Suffolk","Grocery w/ Pharmacy inside","Stop & Shop #574","Route 25a","Setauket","NY","11733",
"Suffolk","Pharmacy Only","Family Care Pharmacy","Walt Whitman Rd","Huntington Station","NY","11746",
"Queens","Grocery","Cielo86 Inc","Roosevelt Avenue","Jackson Heights","NY","11372",
"Kings","Grocery","Dwip Bangla Grocery Inc","Beverley Road","Brooklyn","NY","11218",
"Jefferson","Grocery","Watertown Save-A-Lot","State St","Watertown","NY","13601",
"Queens","Pharmacy Only","Variety Drugs","137th Ave","Jamaica","NY","11434",
"Queens","Grocery","69-21 Mini Market, Inc.","Myrtle Ave","Glendale","NY","11385",
"Suffolk","Grocery w/ Pharmacy inside","King Kullen #37","Middle Country Rd","Middle Island","NY","11953",
"Onondaga","Grocery","Mike's Market","E. Division Street","Syracuse","NY","13208",
"Monroe","Grocery","Gold Star Super Market, Inc","Reynolds St","Rochester","NY","14608",
"Kings","Grocery","Mazel Food Center, Inc.","12th Avenue","Brooklyn","NY","11219",
"Kings","Grocery","Key Food","Avenue U","Brooklyn","NY","11234",
"New York","Pharmacy Only","Duane Reade #14417","W 125th St","New York","NY","10027",
"Suffolk","Pharmacy Only","CVS Pharmacy #7621","Montauk Highway","Copiague","NY","11726",
"Kings","Grocery","Kang Yi Inc.","5th Avenue","Brooklyn","NY","11232",
"Kings","Grocery w/ Pharmacy inside","Pitkin Pharmacy & Food Mart","Pitkin Avenue","Brooklyn","NY","11212",
"Queens","Grocery","Foodtown","63rd Road","Rego Park","NY","11374",
"Bronx","Grocery","Antillana Superfood Marketplace","White Plains Road","Bronx","NY","10462",
"Queens","Grocery","Mp Mini Market Corp.","90th Ave","Jamaica","NY","11435",
"Dutchess","Grocery w/ Pharmacy inside","Tops Market #531","Route 9","Rhinebeck","NY","12572",
"Montgomery","Pharmacy Only","Walgreens #10747","State Hwy 30","Amsterdam","NY","12010",
"Bronx","Grocery","Ricardito & Anthony Deli Grocery In","Vyse Ave","Bronx","NY","10460",
"Queens","Grocery","Te Quiero Bebe And 99c Up Store Inc","Broadway","Astoria","NY","11103",
"Nassau","Grocery","Key Food","N Newbridge Rd","Levittown","NY","11756",
"Kings","Pharmacy Only","Elm Pharmacy, Inc.","Coney Island Ave","Brooklyn","NY","11230",
"Kings","Pharmacy Only","Globe Drug Store","86th St","Brooklyn","NY","11209",
"Rockland","Grocery","Target #1083","Palisades Center Drive","West Nyack","NY","10994",
"Nassau","Pharmacy Only","CVS Pharmacy #997","Glen Cove Avenue","Glen Cove","NY","11542",
"Genesee","Grocery w/ Pharmacy inside","Tops Market #246","W Main Street","Le Roy","NY","14482",
"Suffolk","Pharmacy Only","CVS Pharmacy #5446","Jericho Turnpike","East Northport","NY","11731",
"Kings","Grocery","Key Food","Broadway","Brooklyn","NY","11221",
"Bronx","Grocery","Lisbeth Food Corp","Watson Avenue","Bronx","NY","10472",
"Kings","Grocery","Liriano Deli Corp","4th St","Brooklyn","NY","11211",
"Bronx","Grocery","Pioneer","Bryant Avenue","Bronx","NY","10460",
"Kings","Grocery","Ms. Convenience, Inc.","4th Ave","Brooklyn","NY","11209",
"Oneida","Grocery w/ Pharmacy inside","Grand Union Of Sherrill Llc #19485","East State Street","Sherrill","NY","13461",
"Kings","Grocery","Mega 53 Supermarkets","13th Ave","Brooklyn","NY","11219",
"Bronx","Grocery","Fine Fare","White Plains Rd","Bronx","NY","10467",
"Orange","Grocery w/ Pharmacy inside","Walmart #1959","Route 211 East","Middletown","NY","10940",
"Queens","Grocery","Food Bazaar","61st Ave","Douglaston","NY","11362",
"Rockland","Grocery","New Square Supermarket","Jefferson Avenue","Spring Valley","NY","10977",
"Kings","Grocery","6216 Jinyuan Trading Corp","11th Ave","Brooklyn","NY","11219",
"Westchester","Grocery","Stop & Shop #532","White Plains Road","Eastchester","NY","10709",
"Queens","Grocery w/ Pharmacy inside","Horizon Pharmacy","Kissena Bo","Flushing","NY","11355",
"St. Lawrence","Grocery w/ Pharmacy inside","Walmart Supercenter #3329","Us Highway 11","Potsdam","NY","13676",
"Queens","Grocery","Foodtown","Jamaica Ave","Jamaica","NY","11432",
"Suffolk","Grocery","Bravo Supermarket","Wheeler Road","Central Islip","NY","11722",
"Kings","Grocery","Amishapara Bazar Inc.","Church Avenue","Brooklyn","NY","11218",
"Kings","Pharmacy Only","Walgreens #06982","Kings Hwy","Brooklyn","NY","11223",
"Westchester","Grocery","Mana Food Center Corp","Spring Street","Ossining","NY","10562",
"Suffolk","Pharmacy Only","CVS Pharmacy #11","New York Ave","Halesite","NY","11743",
"Onondaga","Grocery","Byrne Dairy #55","Milton Avenue","Syracuse","NY","13219",
"Bronx","Grocery","C-Town Supermarkets","Boston Post Road","Bronx","NY","10475",
"Queens","Grocery","Carniceria Stop 1, Corp.","Jamaica Avenue","Woodhaven","NY","11421",
"Nassau","Grocery","Super Stop & Shop #2552","Hempstead Turnpike","West Hempstead","NY","11552",
"New York","Pharmacy Only","Forever Health Pharmacy 1, Llc","Grand St","New York","NY","10002",
"Kings","Grocery","C-Town Supermarkets","Flatlands Ave","Brooklyn","NY","11236",
"Nassau","Pharmacy Only","CVS Pharmacy #218","Hempstead Tpke","Levittown","NY","11756",
"Kings","Grocery","Key Food","Rockaway Parkway","Brooklyn","NY","11236",
"Queens","Grocery","Valentino Food Market","Fresh Pond Road","Ridgewood","NY","11385",
"Kings","Grocery","Goldberger's Grocery, Inc.","Division Ave","Brooklyn","NY","11211",
