"schoolyear","column1","esd","county","countydistrictnumber","district","gradetested","ethnicitygender","waasreadingtotaltestedno","waasreadingtotaltested","waasreadingmetstandard","waasreadingpercentmetstandard","waasreadingpercentmetsta","waasreadinglevel1","waasreadingpercentlevel1","waasreadinglevel2","waasreadingpercentlevel2","waasreadinglevel3","waasreadingpercentlevel3","waasreadinglevel4","waasreadingpercentlevel4","waasreadingnoscore","waasreadingpercentnoscore","waasreadingnotmet","waasreadingpercentnotmet","waasreadingwaas","waasreadingpercentwaas","waasmathtotaltestednottested","waasmathtotaltested","waasmathmetstandard","waasmathpercentmetstandard","waasmathpercentmetstanda","waasmathlevel1","waasmathpercentlevel1","waasmathlevel2","waasmathpercentlevel2","waasmathlevel3","waasmathpercentlevel3","waasmathlevel4","waasmathpercentlevel4","waasmathnoscore","waasmathpercentnoscore","waasmathnotmet","waasmathpercentnotmet","waasmathwaas","waasmathpercentwaas","waaswritingtotaltestedno","waaswritingtotaltested","waaswritingmetstandard","waaswritingpercentmetstandard","waaswritingpercentmetsta","waaswritinglevel1","waaswritingpercentlevel1","waaswritinglevel2","waaswritingpercentlevel2","waaswritinglevel3","waaswritingpercentlevel3","waaswritinglevel4","waaswritingpercentlevel4","waaswritingnoscore","waaswritingpercentnoscore","waaswritingnotmet","waaswritingpercentnotmet","waaswritingwaas","waaswritingpercentwaas","waassciencetotaltestedno","waassciencetotaltested","waassciencemetstandard","waassciencepercentmetstandard","waassciencepercentmetsta","waassciencelevel1","waassciencepercentlevel1","waassciencelevel2","waassciencepercentlevel2","waassciencelevel3","waassciencepercentlevel3","waassciencelevel4","waassciencepercentlevel4","waassciencenoscore","waassciencepercentnoscore","waassciencenotmet","waassciencepercentnotmet","waassciencewaas","waassciencepercentwaas"
"2012-13","197","Puget Sound Educational Service District 121","Pierce","27403","Bethel School District","4","ALL","21","0",,,,,,,,,,,,,,,,,"0","22","22","19","86.29","86.4","0","0","3","13.59","5","22.69","14","63.6","0","0","3","13.59",,"0","22","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,
"2012-13","197","Puget Sound Educational Service District 121","Pierce","27403","Bethel School District","5","ALL","15","0",,,,,,,,,,,,,,,,,"0","15","15","13","86.59","86.7","0","0","2","13.3","1","6.59","12","80","0","0","2","13.3",,"0",,"0",,,,,,,,,,,,,,,,,,"15","15","14","93.29","93.3","0","0","1","6.59","1","6.59","13","86.59","0","0","1","6.59",,"0"
"2012-13","197","Puget Sound Educational Service District 121","Pierce","27403","Bethel School District","6","ALL","19","0",,,,,,,,,,,,,,,,,"0","19","19","16","84.2","84.2","0","0","3","15.69","3","15.69","13","68.4","0","0","3","15.69",,"0",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","197","Puget Sound Educational Service District 121","Pierce","27403","Bethel School District","7","ALL","9","0",,,,,,,,,,,,,,,,,"0","9","0",,,,,,,,,,,,,,,,,"0","9","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,
"2012-13","197","Puget Sound Educational Service District 121","Pierce","27403","Bethel School District","8","ALL","5","0",,,,,,,,,,,,,,,,,"0","6","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,"6","0",,,,,,,,,,,,,,,,,"0"
"2012-13","197","Puget Sound Educational Service District 121","Pierce","27403","Bethel School District","10","ALL","8","0",,,,,,,,,,,,,,,,,"0","8","0",,,,,,,,,,,,,,,,,"0","8","0",,,,,,,,,,,,,,,,,"0","8","0",,,,,,,,,,,,,,,,,"0"
"2012-13","131","Educational Service District 105","Klickitat","20203","Bickleton School District","3","ALL",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","131","Educational Service District 105","Klickitat","20203","Bickleton School District","4","ALL","1","0",,,,,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,
"2012-13","131","Educational Service District 105","Klickitat","20203","Bickleton School District","5","ALL",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","131","Educational Service District 105","Klickitat","20203","Bickleton School District","6","ALL",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","131","Educational Service District 105","Klickitat","20203","Bickleton School District","7","ALL","1","0",,,,,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,
"2012-13","131","Educational Service District 105","Klickitat","20203","Bickleton School District","8","ALL","1","0",,,,,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,"1","0",,,,,,,,,,,,,,,,,"0"
"2012-13","131","Educational Service District 105","Klickitat","20203","Bickleton School District","10","ALL",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","274","Northwest Educational Service District 189","Whatcom","37503","Blaine School District","3","ALL","1","0",,,,,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","274","Northwest Educational Service District 189","Whatcom","37503","Blaine School District","4","ALL","1","0",,,,,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,
"2012-13","274","Northwest Educational Service District 189","Whatcom","37503","Blaine School District","5","ALL","4","0",,,,,,,,,,,,,,,,,"0","4","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,"4","0",,,,,,,,,,,,,,,,,"0"
"2012-13","274","Northwest Educational Service District 189","Whatcom","37503","Blaine School District","6","ALL",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","274","Northwest Educational Service District 189","Whatcom","37503","Blaine School District","7","ALL","1","0",,,,,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,"0","1","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,
"2012-13","274","Northwest Educational Service District 189","Whatcom","37503","Blaine School District","8","ALL","2","0",,,,,,,,,,,,,,,,,"0","2","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,"2","0",,,,,,,,,,,,,,,,,"0"
"2012-13","274","Northwest Educational Service District 189","Whatcom","37503","Blaine School District","10","ALL",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","147","Educational Service District 113","Lewis","21234","Boistfort School District","3","ALL",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","147","Educational Service District 113","Lewis","21234","Boistfort School District","4","ALL",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","147","Educational Service District 113","Lewis","21234","Boistfort School District","5","ALL",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","147","Educational Service District 113","Lewis","21234","Boistfort School District","6","ALL",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","147","Educational Service District 113","Lewis","21234","Boistfort School District","7","ALL",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","119","Olympic Educational Service District 114","Kitsap","18100","Bremerton School District","3","ALL","8","0",,,,,,,,,,,,,,,,,"0","8","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","119","Olympic Educational Service District 114","Kitsap","18100","Bremerton School District","4","ALL","4","0",,,,,,,,,,,,,,,,,"0","4","0",,,,,,,,,,,,,,,,,"0","4","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,
"2012-13","119","Olympic Educational Service District 114","Kitsap","18100","Bremerton School District","5","ALL","6","0",,,,,,,,,,,,,,,,,"0","6","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,"6","0",,,,,,,,,,,,,,,,,"0"
"2012-13","119","Olympic Educational Service District 114","Kitsap","18100","Bremerton School District","6","ALL","2","0",,,,,,,,,,,,,,,,,"0","2","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,
"2012-13","119","Olympic Educational Service District 114","Kitsap","18100","Bremerton School District","7","ALL","3","0",,,,,,,,,,,,,,,,,"0","3","0",,,,,,,,,,,,,,,,,"0","3","0",,,,,,,,,,,,,,,,,"0",,"0",,,,,,,,,,,,,,,,,
