"funding_program","website","program_description","application_open_yr_1_","application_closed_yr_1_"
"Streamflow Restoration (Ecology)","https://ecology.wa.gov/Water-Shorelines/Water-supply/Streamflow-restoration","The Washington State Department of Ecology Water Resources Program administers the Streamflow Restoration Grants program.  The Streamflow Restoration Grant program provides funding for projects that will offset potential impacts to instream flows associated with permit exempt domestic water use and achieve net ecological benefits.  Ecology awards the grants on a competitive basis for projects throughout the state that improve streamflows and instream resources, as directed under 90.94 RCW.  Interim Funding Guidelines (available at the website link provided) describes how to apply for funding, meet program requirements, and manage funded projects for the 2018-2019  Streamflow Restoration Grants.",,
"Aquatic Lands Enhancement Account (RCO)","http://www.rco.wa.gov/documents/manuals&forms/Manual_21.pdf","The Aquatic Lands Enhancement Account funds projects to preserve and restore Washington's shorelines.","2020-03-01T00:00:00.000","2020-05-01T00:00:00.000"
"Local Partner Woodsmoke Reduction Grant - Air Quality (Ecology)",,"This funding program provides funding for: Wood stove change-out program; Wood stove bounty program; other strategies as approved by Ecology.",,
"Washington Wildlife and Recreation Program - Water Access Category","http://www.rco.wa.gov/grants/wwrp.shtml","Funding supports acquisition and development of recreation lands.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
"Boating Facilities Program - Local","http://www.rco.wa.gov/grants/bfp.shtml","Funding supports acquisition, development , and planning of areas for motorized recreational boating facilities and support elements on fresh or salt water.","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000"
"PSAR Large Capital Grant Program (RCO/PSP)","http://www.rco.wa.gov/documents/manuals&forms/Manual_18.pdf","This program funds large scale projects that implement the Puget Sound Chinook Recovery Plan by protecting and restoring habitat.","2020-01-01T00:00:00.000","2020-06-01T00:00:00.000"
"Nonhighway and Off-Road Vehicle Activities Program - Off-Road Vehicle","http://www.rco.wa.gov/grants/nova.shtml","Funding supports acquisition, development, planning of ORV recreation opportunities.","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000"
"National Coastal Wetlands Conservation Grant Program (USFWS)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Wetlands-conservation-grants","The National Coastal Wetlands Conservation Grant Program annually provides grants of up to $1 million to coastal and Grant Lakes states, as well as U.S. Territories to protect, restore and enhance coastal wetland ecosystems and associated uplands.  The grants are funded through the Sport Fish Restoration and Boating Trust Fund, which is supported by excise taxes on fishing equipment an motorboat fuel.","2018-02-01T00:00:00.000","2018-06-29T00:00:00.000"
"Stormwater Financial Assistance Program -- Water Quality (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Water-Quality-grants-and-loans","The Stormwater Financial Assistance Program provides grants for stormwater projects that address existing pollution problems and meet the definition of retrofit or source control activities that enhance existing stormwater programs.","2018-08-13T00:00:00.000","2018-10-15T00:00:00.000"
"Washington Wildlife and Recreation Program - Forestland Preservation Category","http://www.rco.wa.gov/grants/ForestPreservationGrantsProgram.shtml","Funding supports acquisition and restoration of forestlands.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
"Centennial Grants -- Water Quality (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Water-Quality-grants-and-loans","The Centennial grant program provides funding for water quality infrastructure and nonpoint source pollution projects to improve and protect water quality.","2018-08-13T00:00:00.000","2018-10-15T00:00:00.000"
"Aquatic Invasive Plant Management Grant Program (Ecology)","https://ecology.wa.gov/About-us/How-we-operate/Grants-loans/Find-a-grant-or-loan/Water-Quality-grants-and-loans","The Aquatic Invasive Plant Management grant program provides financial and technical support for the eradication and control of invasive, non-native aquatic plants that threaten the health of lakes, rivers, and streams.","2018-10-01T00:00:00.000","2018-12-15T00:00:00.000"
"Washington Wildlife and Recreation Program - State Lands Restoration Category","http://www.rco.wa.gov/grants/wwrp.shtml","Funding supports the restoration and enhancement of state lands","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
"Washington Wildlife and Recreation Program - Local Parks Category","http://www.rco.wa.gov/grants/wwrp.shtml","Funding supports acquisition and development of recreation lands.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
"Freshwater Algae Program (Ecology)","https://ecology.wa.gov/Water-Shorelines/Water-quality/Freshwater/Freshwater-algae-control","The Freshwater Algae Program provides funding to manage or control of algae in water bodies that have had toxic algae blooms within the last three years.","2018-10-01T00:00:00.000","2018-12-15T00:00:00.000"
"Youth Athletic Facilities - Small","http://www.rco.wa.gov/grants/yaf.shtml","Provides grants to develop or renovate outdoor athletic facilities serving youth.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
"National Coastal Resilience Fund (NFWF)","http://www.nfwf.org/coastalresilience/Pages/home.aspx","This funding supports projects that work to restore, increase or strengthen natural infrastructure to increase resilience and protection of coastal communities while also enhancing habitats for fish and wildlife.","2018-06-01T00:00:00.000","2018-08-08T00:00:00.000"
"Land and Water Conservation Fund","http://www.rco.wa.gov/grants/lwcf.shtml","Funding supports acquisition, development and renovation for public outdoor recreation and funds may be used for open space, forest, wildlife areas, beaches, and water access sites.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
"Boating Facilities Program - State","http://www.rco.wa.gov/grants/bfp.shtml","Funding supports acquisition, development , and planning of areas for motorized recreational boating facilities and support elements on fresh or salt water.","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000"
"Washington Wildlife and Recreation Program - Critical Habitat Category","http://www.rco.wa.gov/grants/wwrp.shtml","Funding supports acquisition and development of conservation lands.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
"Firearms and Archery Range Recreation Program","http://www.rco.wa.gov/grants/farr.shtml","Funding supports acquisition, development, renovation of firearm and archery range recreational facilities for increased public access to ranges.","2018-08-01T00:00:00.000","2018-11-01T00:00:00.000"
"CERB Committed Private Partner Program (Commerce)","http://www.commerce.wa.gov/building-infrastructure/community-economic-revitalization-board/cerb-application-page/","This funding program provides loans and grants for construction of public infrastructure necessary for private business expansion.  The Committed Private Partner (CPP) Program requires a private business commitment as part of the public entity’s application.",,
"Boating Infrastructure Grant - Tier1","http://www.rco.wa.gov/grants/big.shtml","Funding supports development and renovation of boating facilities targeting transient recreational boats 26 feet and larger.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
"No Child Left Inside Tier 1","http://www.rco.wa.gov","Grant funds are available for outdoor environmental, ecological, agricultural, or other natural resource-based education and recreation programs serving youth.","2019-01-01T00:00:00.000","2019-04-01T00:00:00.000"
"Youth Athletic Facilities - Large","http://www.rco.wa.gov/grants/yaf.shtml","Provides grants to buy land and develop or renovate outdoor athletic facilities serving youth.","2018-02-01T00:00:00.000","2018-05-01T00:00:00.000"
