"rowid","schoolyear","organizationlevel","organizationid","organizationname","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","studentlowestgradelevel","studenthighestgradelevel","iscombinedgrade","teacherqualificationid","teacherqualification","teachertotalcount","teachercount","teacherpercent","sectiontotalcount","sectioncount","sectionpercent","iseevalidated","dataasof"
"12","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","1","0","6","Full Certificate","6974","6545","0.938","26129","24464","0.936","1","2021-02-22T00:00:00.000"
"13","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","11","1","1","Inexperienced","1","0","0","1","0","0","1","2021-02-22T00:00:00.000"
"14","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","11","1","2","Out-of-Field","1","0","0","1","0","0","1","2021-02-22T00:00:00.000"
"15","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","11","1","3","Limited Certificate","1","0","0","1","0","0","1","2021-02-22T00:00:00.000"
"16","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","11","1","4","Experienced","1","1","1","1","1","1","1","2021-02-22T00:00:00.000"
"17","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","11","1","5","In-Field","1","1","1","1","1","1","1","2021-02-22T00:00:00.000"
"18","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","11","1","6","Full Certificate","1","1","1","1","1","1","1","2021-02-22T00:00:00.000"
"19","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","12","1","1","Inexperienced","1","0","0","1","0","0","1","2021-02-22T00:00:00.000"
"20","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","12","1","2","Out-of-Field","1","0","0","1","0","0","1","2021-02-22T00:00:00.000"
"21","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","12","1","3","Limited Certificate","1","0","0","1","0","0","1","2021-02-22T00:00:00.000"
"22","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","12","1","4","Experienced","1","1","1","1","1","1","1","2021-02-22T00:00:00.000"
"23","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","12","1","5","In-Field","1","1","1","1","1","1","1","2021-02-22T00:00:00.000"
"24","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","12","1","6","Full Certificate","1","1","1","1","1","1","1","2021-02-22T00:00:00.000"
"25","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","2","1","1","Inexperienced","620","140","0.226","1409","308","0.219","1","2021-02-22T00:00:00.000"
"26","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","2","1","2","Out-of-Field","622","88","0.141","1409","135","0.096","1","2021-02-22T00:00:00.000"
"27","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","2","1","3","Limited Certificate","620","45","0.073","1409","78","0.055","1","2021-02-22T00:00:00.000"
"28","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","2","1","4","Experienced","620","480","0.774","1409","1101","0.781","1","2021-02-22T00:00:00.000"
"29","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","2","1","5","In-Field","622","534","0.859","1409","1274","0.904","1","2021-02-22T00:00:00.000"
"30","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","2","1","6","Full Certificate","620","575","0.927","1409","1331","0.945","1","2021-02-22T00:00:00.000"
"31","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","3","1","1","Inexperienced","212","59","0.278","341","104","0.305","1","2021-02-22T00:00:00.000"
"32","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","3","1","2","Out-of-Field","212","51","0.241","341","84","0.246","1","2021-02-22T00:00:00.000"
"33","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","3","1","3","Limited Certificate","212","21","0.099","341","28","0.082","1","2021-02-22T00:00:00.000"
"34","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","3","1","4","Experienced","212","153","0.722","341","237","0.695","1","2021-02-22T00:00:00.000"
"35","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","3","1","5","In-Field","212","161","0.759","341","257","0.754","1","2021-02-22T00:00:00.000"
"36","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","3","1","6","Full Certificate","212","191","0.901","341","313","0.918","1","2021-02-22T00:00:00.000"
"37","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","4","1","1","Inexperienced","63","17","0.27","80","21","0.263","1","2021-02-22T00:00:00.000"
"38","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","4","1","2","Out-of-Field","63","9","0.143","80","9","0.113","1","2021-02-22T00:00:00.000"
"39","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","4","1","3","Limited Certificate","63","8","0.127","80","9","0.113","1","2021-02-22T00:00:00.000"
"40","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","4","1","4","Experienced","63","46","0.73","80","59","0.738","1","2021-02-22T00:00:00.000"
"41","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","4","1","5","In-Field","63","54","0.857","80","71","0.888","1","2021-02-22T00:00:00.000"
"42","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","4","1","6","Full Certificate","63","55","0.873","80","71","0.888","1","2021-02-22T00:00:00.000"
"43","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","5","1","1","Inexperienced","118","40","0.339","148","50","0.338","1","2021-02-22T00:00:00.000"
"44","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","5","1","2","Out-of-Field","118","21","0.178","148","22","0.149","1","2021-02-22T00:00:00.000"
"45","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","5","1","3","Limited Certificate","119","9","0.076","148","11","0.074","1","2021-02-22T00:00:00.000"
"46","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","5","1","4","Experienced","118","78","0.661","148","98","0.662","1","2021-02-22T00:00:00.000"
"47","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","5","1","5","In-Field","118","97","0.822","148","126","0.851","1","2021-02-22T00:00:00.000"
"48","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","5","1","6","Full Certificate","119","110","0.924","148","137","0.926","1","2021-02-22T00:00:00.000"
"49","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","6","1","1","Inexperienced","38","9","0.237","44","10","0.227","1","2021-02-22T00:00:00.000"
"50","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","6","1","2","Out-of-Field","38","13","0.342","44","14","0.318","1","2021-02-22T00:00:00.000"
"51","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","6","1","3","Limited Certificate","38","3","0.079","44","5","0.114","1","2021-02-22T00:00:00.000"
"52","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","6","1","4","Experienced","38","29","0.763","44","34","0.773","1","2021-02-22T00:00:00.000"
"53","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","6","1","5","In-Field","38","25","0.658","44","30","0.682","1","2021-02-22T00:00:00.000"
"54","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","6","1","6","Full Certificate","38","35","0.921","44","39","0.886","1","2021-02-22T00:00:00.000"
"55","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","8","1","1","Inexperienced","5","1","0.2","5","1","0.2","1","2021-02-22T00:00:00.000"
"56","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","8","1","2","Out-of-Field","5","0","0","5","0","0","1","2021-02-22T00:00:00.000"
"57","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","8","1","3","Limited Certificate","5","2","0.4","5","2","0.4","1","2021-02-22T00:00:00.000"
"58","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","8","1","4","Experienced","5","4","0.8","5","4","0.8","1","2021-02-22T00:00:00.000"
"59","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","8","1","5","In-Field","5","5","1","5","5","1","1","2021-02-22T00:00:00.000"
"60","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","8","1","6","Full Certificate","5","3","0.6","5","3","0.6","1","2021-02-22T00:00:00.000"
"61","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","9","1","1","Inexperienced","1","0","0","1","0","0","1","2021-02-22T00:00:00.000"
"62","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","9","1","2","Out-of-Field","1","0","0","1","0","0","1","2021-02-22T00:00:00.000"
"63","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","9","1","3","Limited Certificate","1","0","0","1","0","0","1","2021-02-22T00:00:00.000"
"64","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","9","1","4","Experienced","1","1","1","1","1","1","1","2021-02-22T00:00:00.000"
"65","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","9","1","5","In-Field","1","1","1","1","1","1","1","2021-02-22T00:00:00.000"
"66","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","9","1","6","Full Certificate","1","1","1","1","1","1","1","2021-02-22T00:00:00.000"
"67","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","10","0","1","Inexperienced","6364","1551","0.244","18686","4597","0.246","1","2021-02-22T00:00:00.000"
"68","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","10","0","2","Out-of-Field","6516","307","0.047","18686","867","0.046","1","2021-02-22T00:00:00.000"
"69","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","10","0","3","Limited Certificate","6421","328","0.051","18686","800","0.043","1","2021-02-22T00:00:00.000"
"70","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","10","0","4","Experienced","6364","4818","0.757","18686","14089","0.754","1","2021-02-22T00:00:00.000"
"71","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","10","0","5","In-Field","6516","6209","0.953","18686","17819","0.954","1","2021-02-22T00:00:00.000"
"72","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","10","0","6","Full Certificate","6421","6093","0.949","18686","17886","0.957","1","2021-02-22T00:00:00.000"
"73","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","11","1","1","Inexperienced","4143","979","0.236","8880","2089","0.235","1","2021-02-22T00:00:00.000"
"74","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","11","1","2","Out-of-Field","4221","262","0.062","8880","509","0.057","1","2021-02-22T00:00:00.000"
"75","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","11","1","3","Limited Certificate","4161","250","0.06","8880","489","0.055","1","2021-02-22T00:00:00.000"
"76","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","11","1","4","Experienced","4143","3166","0.764","8880","6791","0.765","1","2021-02-22T00:00:00.000"
"77","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","11","1","5","In-Field","4221","3959","0.938","8880","8371","0.943","1","2021-02-22T00:00:00.000"
"78","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","11","1","6","Full Certificate","4161","3911","0.94","8880","8391","0.945","1","2021-02-22T00:00:00.000"
"79","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","12","1","1","Inexperienced","9982","2177","0.218","35370","7273","0.206","1","2021-02-22T00:00:00.000"
"80","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","12","1","2","Out-of-Field","10290","599","0.058","35370","1673","0.047","1","2021-02-22T00:00:00.000"
"81","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","12","1","3","Limited Certificate","10084","596","0.059","35370","1920","0.054","1","2021-02-22T00:00:00.000"
"82","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","12","1","4","Experienced","9982","7813","0.783","35370","28097","0.794","1","2021-02-22T00:00:00.000"
"83","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","12","1","5","In-Field","10290","9691","0.942","35370","33697","0.953","1","2021-02-22T00:00:00.000"
"84","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10","12","1","6","Full Certificate","10084","9488","0.941","35370","33450","0.946","1","2021-02-22T00:00:00.000"
"85","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11","11","0","1","Inexperienced","8443","1869","0.221","24797","5116","0.206","1","2021-02-22T00:00:00.000"
"86","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11","11","0","2","Out-of-Field","8680","400","0.046","24797","1248","0.05","1","2021-02-22T00:00:00.000"
"87","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11","11","0","3","Limited Certificate","8522","377","0.044","24797","1089","0.044","1","2021-02-22T00:00:00.000"
"88","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11","11","0","4","Experienced","8443","6581","0.779","24797","19681","0.794","1","2021-02-22T00:00:00.000"
"89","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11","11","0","5","In-Field","8680","8280","0.954","24797","23549","0.95","1","2021-02-22T00:00:00.000"
"90","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11","11","0","6","Full Certificate","8522","8145","0.956","24797","23708","0.956","1","2021-02-22T00:00:00.000"
"91","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11","12","1","1","Inexperienced","8770","1801","0.205","31718","5950","0.188","1","2021-02-22T00:00:00.000"
"92","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11","12","1","2","Out-of-Field","9055","489","0.054","31718","1641","0.052","1","2021-02-22T00:00:00.000"
"93","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11","12","1","3","Limited Certificate","8864","458","0.052","31718","1475","0.047","1","2021-02-22T00:00:00.000"
"94","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11","12","1","4","Experienced","8770","6975","0.795","31718","25768","0.812","1","2021-02-22T00:00:00.000"
"95","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11","12","1","5","In-Field","9055","8566","0.946","31718","30077","0.948","1","2021-02-22T00:00:00.000"
"96","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11","12","1","6","Full Certificate","8864","8406","0.948","31718","30243","0.953","1","2021-02-22T00:00:00.000"
"97","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12","12","0","1","Inexperienced","11692","2444","0.209","50613","9093","0.18","1","2021-02-22T00:00:00.000"
"98","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12","12","0","2","Out-of-Field","12063","522","0.043","50613","2390","0.047","1","2021-02-22T00:00:00.000"
"99","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12","12","0","3","Limited Certificate","11807","541","0.046","50613","2099","0.041","1","2021-02-22T00:00:00.000"
"100","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12","12","0","4","Experienced","11692","9254","0.791","50613","41520","0.82","1","2021-02-22T00:00:00.000"
"101","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12","12","0","5","In-Field","12063","11541","0.957","50613","48223","0.953","1","2021-02-22T00:00:00.000"
"102","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12","12","0","6","Full Certificate","11807","11266","0.954","50613","48514","0.959","1","2021-02-22T00:00:00.000"
"103","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","10","1","1","Inexperienced","1","0","0","1","0","0","1","2021-02-22T00:00:00.000"
"104","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","10","1","2","Out-of-Field","1","0","0","1","0","0","1","2021-02-22T00:00:00.000"
"105","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","10","1","3","Limited Certificate","1","0","0","1","0","0","1","2021-02-22T00:00:00.000"
"106","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","10","1","4","Experienced","1","1","1","1","1","1","1","2021-02-22T00:00:00.000"
"107","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","10","1","5","In-Field","1","1","1","1","1","1","1","2021-02-22T00:00:00.000"
"108","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","10","1","6","Full Certificate","1","1","1","1","1","1","1","2021-02-22T00:00:00.000"
"109","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","11","1","1","Inexperienced","1","0","0","1","0","0","1","2021-02-22T00:00:00.000"
"110","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","11","1","2","Out-of-Field","1","0","0","1","0","0","1","2021-02-22T00:00:00.000"
"111","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","11","1","3","Limited Certificate","1","0","0","1","0","0","1","2021-02-22T00:00:00.000"
"112","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","11","1","4","Experienced","1","1","1","1","1","1","1","2021-02-22T00:00:00.000"
"113","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","11","1","5","In-Field","1","1","1","1","1","1","1","2021-02-22T00:00:00.000"
"114","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","11","1","6","Full Certificate","1","1","1","1","1","1","1","2021-02-22T00:00:00.000"
"115","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","2","0","1","Inexperienced","7003","1789","0.255","26757","6736","0.252","1","2021-02-22T00:00:00.000"
"116","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","2","0","2","Out-of-Field","7022","717","0.102","26757","3131","0.117","1","2021-02-22T00:00:00.000"
"117","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","2","0","3","Limited Certificate","7008","430","0.061","26757","1690","0.063","1","2021-02-22T00:00:00.000"
"118","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","2","0","4","Experienced","7003","5216","0.745","26757","20021","0.748","1","2021-02-22T00:00:00.000"
"119","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","2","0","5","In-Field","7022","6305","0.898","26757","23626","0.883","1","2021-02-22T00:00:00.000"
"120","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","2","0","6","Full Certificate","7008","6578","0.939","26757","25067","0.937","1","2021-02-22T00:00:00.000"
"121","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","3","1","1","Inexperienced","352","100","0.284","741","260","0.351","1","2021-02-22T00:00:00.000"
"122","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","3","1","2","Out-of-Field","355","43","0.121","741","78","0.105","1","2021-02-22T00:00:00.000"
"123","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","3","1","3","Limited Certificate","353","18","0.051","741","28","0.038","1","2021-02-22T00:00:00.000"
"124","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","3","1","4","Experienced","352","252","0.716","741","481","0.649","1","2021-02-22T00:00:00.000"
"125","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","3","1","5","In-Field","355","312","0.879","741","663","0.895","1","2021-02-22T00:00:00.000"
"126","2017-18","State","103300","Washington State","Multiple","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","3","1","6","Full Certificate","353","335","0.949","741","713","0.962","1","2021-02-22T00:00:00.000"
