"totalcheckouts","title","callnumber","author","publisher","copyrightdate","lastcheckoutdate","itemtype","itemcode","daterange"
"40","Roku One","Roku 1",,"Roku","2017","2019-08-05T00:00:00.000","EQUIP","EQUIPMENT","Feb2019-Aug2019"
"40","The border","Fic Win","Don Winslow",,,"2019-07-05T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"40","Bones Season 11","DVD TV Series Bon  Sn. 11  disc 1  2  3",,"20th Century Fox Home Entertainment","2017","2019-07-25T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"39","Dog Man: Lord of the fleas","J Fic Pil",,,,"2019-07-25T00:00:00.000","BOOK","J_FICTION","Feb2019-Aug2019"
"38","Depth of winter","Fic Joh","Craig Johnson",,,"2019-06-25T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"38","Girl, wash your face","LD 248.843 Hol","Rachel Hollis",,,"2019-08-05T00:00:00.000","LUCKYDAY","200_299","Feb2019-Aug2019"
"38","Neon prey","Fic San","John Sandford",,,"2019-08-07T00:00:00.000","NEWBOOK","FICTION","Feb2019-Aug2019"
"37","Monk","DVD TV Series Mon Sn. 2  Disc 1  2",,"Universal Studios Home Entertainment","2005","2019-07-05T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"37","Kingdom of the blind","Fic Pen","Louise Penny",,,"2019-07-17T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"37","Green book","DVD Feature films Gre",,,,"2019-08-07T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"37","The First Lady","Fic Pat","James Patterson",,,"2019-08-01T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"37","Run away","Fic Cob","Harlan Coben",,,"2019-07-27T00:00:00.000","NEWBOOK","FICTION","Feb2019-Aug2019"
"36","Once upon a time","DVD TV Series Onc Sn. 2  Discs 1  2  3",,"Abc Studios","2013","2019-07-29T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"36","Monk","DVD TV Series Mon Sn. 7  Disc 2",,"Universal Studios Home Entertainment","2009","2019-07-02T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"36","The A list","Fic Jan","Judith A Jance",,,"2019-07-29T00:00:00.000","NEWBOOK","FICTION","Feb2019-Aug2019"
"35","Liar, liar","LD Fic Pat","James Patterson",,,"2019-07-30T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"35","Nine perfect strangers","Fic Mor","Liane Moriarty",,,"2019-07-29T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"35","Wild card","Fic Woo","Stuart Woods",,,"2019-08-07T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"34","The house next door","LD Fic Pat","James Patterson",,,"2019-08-02T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"34","Outlander Season two","DVD TV Series Out Sn. 3  Discs 3-5",,,,"2019-07-10T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"34","Every breath","Fic Spa","Nicholas Sparks",,,"2019-06-13T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"34","Never tell","Fic Gar","Lisa Gardner",,,"2019-07-24T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"33","The Sopranos","DVD TV Series Sop Sn. 1  Disc 1  2",,"HBO Video","2000","2019-06-28T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"33","A delicate touch","LD Fic Woo","Stuart Woods",,,"2019-07-06T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"33","A spark of light","LD Pic","Jodi Picoult",,,"2019-08-07T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"33","People weekly","Periodical 2019 Feb 18",,"Time  Inc.","1974",,"PERIODICAL","PERIODICAL","Feb2019-Aug2019"
"33","Magnum P.I.; Season 1","DVD TV Series Mag.  Sn. 1  Disc 1-3",,,,"2019-07-13T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"33","Castle in the sky","DVD Feature films Cas",,"Walt Disney Studios Home Entertainment","2010","2019-07-30T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"33","Peppermint","DVD Feature films Pep",,,,"2019-08-01T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"33","People","Periodical 2019 Feb 25",,"Time  Inc.","2013",,"PERIODICAL","PERIODICAL","Feb2019-Aug2019"
"33","A star is born","DVD Feature films Sta",,,,"2019-07-22T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"33","Bowlaway","Fic McC","Elizabeth McCracken",,,"2019-07-23T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"33","BlacKkKlansman","DVD Feature films Bla",,,,"2019-07-25T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"33","Once upon a time","DVD TV Series Onc Sn. 5  Disc 1  2  3",,,"2016","2019-06-14T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"33","Daisy Jones & the Six","Fic Rei","Taylor Jenkins Reid",,,"2019-08-02T00:00:00.000","NEWBOOK","FICTION","Feb2019-Aug2019"
"32","The meg","DVD Feature films Meg",,,,"2019-06-13T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"32","The Cornwalls are gone","Fic Pat","James Patterson",,,"2019-07-29T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"32","Redemption","Fic Bal","David Baldacci",,,"2019-07-27T00:00:00.000","NEWBOOK","FICTION","Feb2019-Aug2019"
"31","Agatha Christie's Poirot; Series 1","DVD TV Series Por Series 1  Disc 1",,"ITV Studios Home Entertainment","2011","2019-08-01T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"31","Magnum P.I. season 3","DVD TV Series Mag.  Sn. 3  Disc 1-3",,,,"2019-07-13T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"31","Becoming","B Obama","Michelle Obama",,,"2019-07-09T00:00:00.000","BOOK","BIOGRAPHY","Feb2019-Aug2019"
"31","Magnum P.I. season 2","DVD TV Series Mag.  Sn. 2  Disc 1-3",,,,"2019-07-13T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"31","The only woman in the room","Fic Ben","Marie Benedict",,,"2019-06-21T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"30","The Guilty Dead","Fic Tra","P. J. Tracy","Crooked Lane Books","2018","2019-06-15T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"30","The Waltons","DVD TV Series Wal  Sn. 2  Disc 4  5",,"Distributed by Warner Home Video","2012","2019-03-30T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"30","Magnum P.I. season 4","DVD TV Series Mag.  Sn. 4  Disc 1-3",,,,"2019-07-13T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"30","Monk","DVD TV Series Mon Sn. 1  Disc 1  2",,"Universal","2004","2019-06-28T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"30","A justified murder","Fic Dev","Jude Deveraux",,,"2019-08-02T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"30","The last second","Fic Cou","Catherine Coulter",,,"2019-08-03T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"30","The 13-minute murder","Fic Pat","James Patterson",,,"2019-08-03T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"30","Bumblebee","Blu-ray Feature films Bum",,,,"2019-08-02T00:00:00.000","BLU-RAY","BLU_RAY","Feb2019-Aug2019"
"29","Target, Alex Cross","Fic Pat","James Patterson",,,"2019-07-27T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"29","Desperate measures","Fic Woo","Stuart Woods",,,"2019-06-14T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"29","Game of thrones","DVD TV Series  Gam  Sn. 3  4 & 5",,,,"2019-07-31T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"29","Bohemian rhapsody","Blu-ray Feature films Boh",,,,"2019-08-02T00:00:00.000","BLU-RAY","BLU_RAY","Feb2019-Aug2019"
"29","RBG","DVD Feature films RGB",,,,"2019-07-30T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"29","Back to the future","DVD Feature films Bac",,"Universal Studios Home Entertainment","2009","2019-07-29T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"29","The tale teller","Fic Hil","Anne Hillerman",,,"2019-07-26T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"28","Of blood and bone","Fic Rob","Nora Roberts",,,"2019-07-06T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"28","The Black Ascot","LD Fic Tod","Charles Todd",,,"2019-07-29T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"28","The clockmaker's daughter","Fic Mor","Kate Morton",,,"2019-07-31T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"28","High country news","Periodical 2019 Feb 04",,"High Country Foundation",,,"PERIODICAL","PERIODICAL","Feb2019-Aug2019"
"28","The complete Calvin and Hobbes","O 741.5973 Wat v.3","Bill Watterson","Andrews McMeel Pub.","2005","2019-06-28T00:00:00.000","BOOK","700_799","Feb2019-Aug2019"
"28","Silent night","Fic Ste","Danielle Steel",,,"2019-07-22T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"28","If Beale Street could talk","DVD Feature films If",,,,"2019-08-07T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"28","The 18th abduction","Fic Pat","James Patterson",,,"2019-07-15T00:00:00.000","NEWBOOK","FICTION","Feb2019-Aug2019"
"28","Blessing in disguise","Fic Ste","Danielle Steel",,,"2019-07-31T00:00:00.000","NEWBOOK","FICTION","Feb2019-Aug2019"
"28","The road home","Fic Eva","Richard Paul Evans",,,"2019-08-02T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"27","Cottage by the sea","LD Mac","Debbie Macomber",,,"2019-08-07T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"27","The New Iberia blues","LD Fic Bur","James Lee Burke",,,"2019-07-13T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"27","The hate u give","Y CDBook Tho","Angie Thomas",,,"2019-07-23T00:00:00.000","CDBOOK","YA_CDB","Feb2019-Aug2019"
"27","Juror #3","Fic Pat","James Patterson",,,"2019-05-16T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"27","You don't own me","LD Cla","Mary Higgins Clark",,,"2019-07-26T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"27","Gifted","DVD Feature films Gif",,,,"2019-07-22T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"27","There there","LD Ora","Tommy Orange",,,"2019-07-29T00:00:00.000","LUCKYDAY","FICTION","Feb2019-Aug2019"
"27","One-punch man, 07","Y GN Fic One",,,,"2019-07-15T00:00:00.000","BOOK","YA_FICTION","Feb2019-Aug2019"
"27","Black leopard red wolf","Fic Jam","Marlon James",,,"2019-07-29T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"26","Skyscraper","DVD Feature films Sky",,,,"2019-07-29T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"26","Sold on a Monday","Fic McM","Kristina McMorris",,,"2019-07-23T00:00:00.000","BOOK","FICTION","Feb2019-Aug2019"
"26","Stranger things; season 2","DVD TV Series Str  Sn. 2",,,,"2019-07-23T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
"26","The truth about Stacey","J Fic Tel","Raina Telgemeier",,,"2019-07-10T00:00:00.000","BOOK","J_FICTION","Feb2019-Aug2019"
"26","Scooby-doo! and the curse of the 13th ghost","DVD Children's films Sco",,"Warner Home Video","2019","2019-08-03T00:00:00.000","DVD","DVD","Feb2019-Aug2019"
