"artwork_city","artwork_site","artist","title","artwork_type","materials","measurements","date_made","location","address","zip_code","see_more_at","id_number","geocoordinates","credit_info"
"Trout Lake","Trout Lake School","Musante, Ed","""Bird/Mist""","Painting","Mixed media on wood","6 1/2 in x 18 3/4 in","1992","School District office","2310 HWY 141","98650","http://www.arts.wa.gov/artwork/?request=record;id=2300;type=101","WSAC1995.087.000","POINT (-121.516233 45.98898)","Part of Washington's State Art Collection, acquired by ArtsWA and Trout Lake School District"
"Tacoma","Hilltop Heritage Middle School","Sogabe, Aki","""Moonlight Rainier""","Print","Cut paper","30 in x 15 1/2 in","2002","Main office","602 N Sprague Ave","98403","http://www.arts.wa.gov/artwork/?request=record;id=11418;type=101","WSAC2002.197.000","POINT (-122.464696 47.256451)","Part of Washington's State Art Collection, acquired by ArtsWA and Tacoma School District"
"Olympia","South Puget Sound Community College","Becker, Jack","""Metro Hitch""","Sculpture","Painted and welded mild steel plate","16 ft x 14 ft x 36 ft","1981","Landscaped area between daycare and admininistrative building","2011 Mottman Rd. SW","98512","http://www.arts.wa.gov/artwork/?request=record;id=4878;type=101","WSAC1981.002.000","POINT (-122.928835 47.023815)","Part of Washington's State Art Collection, acquired by ArtsWA and Department of General Administration and South Puget Sound Community College"
"Chehalis","Green Hill School","Edwards, Garth","""Prism Window""","Sculpture","Glass","32 in x 32 in x 1 in","2001","Building H (Hawthorne), A wing, left middle window","375 SW 11th St","98532","http://www.arts.wa.gov/artwork/?request=record;id=12653;type=101","WSAC1998.117.008E","POINT (-122.960231 46.648845)","Part of Washington's State Art Collection, acquired by ArtsWA and Department of Social and Health Services"
"Des Moines","North Hill Elementary","Spears, Fox","""Full Moon Blanket""","Print","Monotype print on paper","30 in x 22 in","2020","5th grade building","19835 8th Ave South","98198","http://www.arts.wa.gov/artwork/?request=record;id=13525;type=101","WSAC2020.034.014","POINT (-122.326847 47.424777)","Part of Washington's State Art Collection, acquired by ArtsWA and Highline School District"
"Arlington","Lakewood High School","Portland, Jack","""Sacacorchos""","Painting","Oil paint on canvas","5 ft 11 in x 3 ft 10 in","1983","Outside of room 1417","17023 11th Ave NE","98223","http://www.arts.wa.gov/artwork/?request=record;id=5688;type=101","WSAC1984.159.000","POINT (-122.213346 48.149831)","Part of Washington's State Art Collection, acquired by ArtsWA and Lakewood School District"
"Olympia","The Evergreen State College","Curry, Gwen","""Inventory""","Drawing","Charcoal and screen print on paper","30 in x 22 1/2 in (sheet)","1992","Purce Lecture Hall, to the right of main entrance along edge of auditorium wall","2700 Evergreen Parkway NW","98505","http://www.arts.wa.gov/artwork/?request=record;id=12956;type=101","WSAC1995.267.00K","POINT (-122.978048 47.072613)","Part of Washington's State Art Collection, acquired by ArtsWA and Methow Valley School District and The Evergreen State College"
"Pullman","Washington State University","Thomas, Jeffrey","""Richard Poafbitty-Paint""","Photograph","Gelatin silver print","12 1/2 in x 9 in","1984","Cleveland Hall, room 27A","Wilson Road and NE Stadium Way","99164","http://www.arts.wa.gov/artwork/?request=record;id=6048;type=101","WSAC1985.032.001","POINT (-117.166409 46.728701)","Part of Washington's State Art Collection, acquired by ArtsWA and Department of Corrections"
"Kent","Sunrise Elementary School","Anderson, Dona","""Black Art Deco""","Sculpture","Fiber with paint","25 in x 17 in x 7 in","1993","Library, on top of bookshelf","22300 132nd Ave SE","98042","http://www.arts.wa.gov/artwork/?request=record;id=2264;type=101","WSAC1995.049.000","POINT (-122.164259 47.403486)","Part of Washington's State Art Collection, acquired by ArtsWA and Kent School District"
"Maple Valley","Tahoma High School","Sorey, Paul","""Flow""","Sculpture","Stainless steel","30 ft x 80 ft x 2 ft","2017","Exterior wall to the right of main entrance","23499 SE Tahoma Way","98038","http://www.arts.wa.gov/artwork/?request=record;id=12835;type=101","WSAC2016.009.001","POINT (-122.0275 47.357494)","Part of Washington's State Art Collection, acquired by ArtsWA and Tahoma School District"
"Everett","Mariner High School","Freuen, Gina","""Studio Series #4""","Painting","Mixed media collage","12 in x 8 in (overall)","2000","Outside W107","200 120 St. SW","98204","http://www.arts.wa.gov/artwork/?request=record;id=13129;type=101","WSAC2002.228.000","POINT (-122.237316 47.888278)","Part of Washington's State Art Collection, acquired by ArtsWA and Mukilteo School District"
"Port Angeles","Peninsula College","Griffith, Cable","""Return to the Source""","Painting","Acrylic paint on canvas","3 ft x 4 ft","2013","Maier Hall, 2nd floor, east wing","1502 East Lauridsen Blvd.","98362","http://www.arts.wa.gov/artwork/?request=record;id=12495;type=101","WSAC2013.043.000","POINT (-123.411272 48.100425)","Part of Washington's State Art Collection, acquired by ArtsWA and Peninsula College"
"Olympia","Washington State Arts Commission","Steinfeld, Ellen","""Falling Water""","Painting","Handmade paper, pigment, and gold leaf","44 in x 28 in","1998","Not on display. At ArtsWA pending conservation, framing, re-siting, or return to site.","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=3511;type=101","WSAC1998.176.000","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Kent School District"
"Spanaway","Pioneer Valley Elementary","Fyfe, Jo","""In Grandpa's Time""","Painting","Acrylic paint and handmade paper","27 in x 16 in","1992","Main Foyer, outside gym entrance","7315 Eustis Hunt RD","98387","http://www.arts.wa.gov/artwork/?request=record;id=2322;type=101","WSAC1995.109.000","POINT (-122.33052 47.070809)","Part of Washington's State Art Collection, acquired by ArtsWA and Bethel School District"
"Tacoma","Downing Elementary School","Johnson, Lena","""Round Basket (2)""","Sculpture","Bear grass, cedar bark, raffia, and commercial dyes","2 in x 3 in x 3 in","1950","Main hallway","2502 N. Orchard St.","98406","http://www.arts.wa.gov/artwork/?request=record;id=10389;type=101","WSAC1984.210.002","POINT (-122.505675 47.270159)","Part of Washington's State Art Collection, acquired by ArtsWA and Department of Corrections"
"Longview","Lower Columbia College","Renfrow, Gregg","""Heartbeat""","Painting","Acrylic paint on Plexiglas","4 ft 10 in x 4 ft","1991","Student Center (STC), above entrance to quad","1600 Maple Street","98632","http://www.arts.wa.gov/artwork/?request=record;id=3300;type=101","WSAC1993.147.000","POINT (-122.935819 46.142193)","Part of Washington's State Art Collection, acquired by ArtsWA and Lower Columbia College"
"Lakewood","Camp Murray","Archibald, Jack","""New Horizon""","Painting","Glass","8 ft x 32 ft","2016","Pierce County Readiness Center, 2nd floor mezzanine, glass curtain wall","Camp Murray, Building 36, Quartermaster Rd.","98430","http://www.arts.wa.gov/artwork/?request=record;id=12832;type=101","WSAC2015.015.000","POINT (-122.567724 47.115433)","Part of Washington's State Art Collection, acquired by ArtsWA and Military Department"
"Tacoma","Edison Elementary School","Gouthro, Carol","""Coloured Leaves""","Sculpture","Clay","20 in x 16 in x 11 in","1997","Library","5830 S Pine St","98409","http://www.arts.wa.gov/artwork/?request=record;id=3469;type=101","WSAC1998.153.000","POINT (-122.474046 47.203156)","Part of Washington's State Art Collection, acquired by ArtsWA and Tacoma School District"
"Silverdale","Ridgetop Middle School","vonRosenstiel, Liza","""Rabbit""","Painting","Oil paint and wood","14 in x 12 in x 1 in","1995","Cafeteria, north wall","10600 Hillsboro Dr NW","98383","http://www.arts.wa.gov/artwork/?request=record;id=1788;type=101","WSAC1996.299.000","POINT (-122.668296 47.658564)","Part of Washington's State Art Collection, acquired by ArtsWA and Central Kitsap School District"
"Olympia","Washington State Arts Commission","Knight, Gwen","""Lullaby""","Print","Offset lithograph print on paper","21 5/8 in x 29 7/8 in (overall)","1992","Not on display. At ArtsWA pending conservation, framing, re-siting, or return to site.","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=3238;type=101","WSAC1993.084.000","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Department of General Administration"
"Cowiche","Highland High School","Byerrum, Anne","""I See Heaven When I Look At A Tree""","Print","Linoleum block print","16 in x 18 in","2000","Commons, outside gym entrance","17000 Summitview Road","98923","http://www.arts.wa.gov/artwork/?request=record;id=10625;type=101","WSAC2000.028.000","POINT (-120.712235 46.674584)","Part of Washington's State Art Collection, acquired by ArtsWA and Highland School District"
"Vancouver","Harney Elementary","Hoffman, Carolyn Duniway","""Indian Canoe""","Photograph","Gelatin silver print","14 in x 11 in","1988","Media center","3212 E. Evergreen Blvd","98661","http://www.arts.wa.gov/artwork/?request=record;id=2577;type=101","WSAC1996.175.000","POINT (-122.635235 45.626582)","Part of Washington's State Art Collection, acquired by ArtsWA and Vancouver School District"
"Tumwater","New Market Vocational Skills Center","Yates, Stephen","""Favorable Currents""","Painting","Acrylic paint on wood panels","4 ft x 17 ft","2008","Lab-Tech Building, above the large retracting glass & aluminum door","7299 New Market Street SW","98501","http://www.arts.wa.gov/artwork/?request=record;id=12148;type=101","WSAC2007.033.000","POINT (-122.915525 46.982828)","Part of Washington's State Art Collection, acquired by ArtsWA and Tumwater School District"
"Spokane","Logan Elementary","Marvin Rosenberg and Lilli Ann Killen Rosenberg","""Turtle""","Sculpture","Concrete with ceramic mosaic","14 in x 3 ft x 5 ft (irregular dimensions)","1994","Outside the main entrance","1001 E. Montgomery Ave.","99207","http://www.arts.wa.gov/artwork/?request=record;id=10410;type=101","WSAC1995.019.002","POINT (-117.394314 47.678744)","Part of Washington's State Art Collection, acquired by ArtsWA and Spokane School District"
"Moxee","Moxee Elementary School","Blomberg, Cecilia","""The Moxee Tapestry""","Textile","Wool, cotton, and linen","6 ft 6 in x 6 ft 9 in","2010","Main hallway, opposite entrance doors","528 E Seattle Ave.","98936","http://www.arts.wa.gov/artwork/?request=record;id=12157;type=101","WSAC2009.003.000","POINT (-120.381765 46.550815)","Part of Washington's State Art Collection, acquired by ArtsWA and East Valley School District (Yakima)"
"Kingston","Kingston Middle School","Davis, Debra","""The Edge""","Painting","Oil paint and collage on panel","6 ft x 12 ft (irregular height)","1993","6th Grade Hall, Between A-8 and A-7","9000 NE West Kingston Rd.","98346","http://www.arts.wa.gov/artwork/?request=record;id=2064;type=101","WSAC1994.036.000","POINT (-122.525926 47.795918)","Part of Washington's State Art Collection, acquired by ArtsWA and North Kitsap School District"
"Mattawa","Wahluke School District","Samuelson, Frank","""Red Buck""","Painting","Acrylic paint on canvas","21 1/4 in x 16 1/4 in","1985","Teaching and Learning Center","411 E Saddle Mountain Dr.","99349","http://www.arts.wa.gov/artwork/?request=record;id=4963;type=101","WSAC1986.026.000","POINT (-119.896483 46.740583)","Part of Washington's State Art Collection, acquired by ArtsWA and Wahluke School District"
"Olympia","Office of the Governor","Liu, Lucy","""Early Summer""","Painting","Watercolor paint on paper","26 in x 26 1/2 in","1988","Legislative Building, Room 100, Constituent Services","Legislative Building, Capitol Campus 416 Sid Snyder Ave. SW","98504","http://www.arts.wa.gov/artwork/?request=record;id=5663;type=101","WSAC1991.194.000","POINT (-122.904761 47.035777)","Part of Washington's State Art Collection, acquired by ArtsWA and Olympia School District"
"Spokane","Hamblen Elementary","Jones, Elwood","""Kale""","Photograph","Silver dye bleach print","15 in x 22 1/4 in","1992","Main office, west wall","2121 E Thurston Ave","99203","http://www.arts.wa.gov/artwork/?request=record;id=2009;type=101","WSAC1995.193.000","POINT (-117.380009 47.617607)","Part of Washington's State Art Collection, acquired by ArtsWA and Spokane School District"
"Lacey","Division of Vocational Rehabilitation","McCuddin, Mel","""Walking the Walk""","Painting","Oil paint on canvas","36 1/2 in x 36 in","1996","4th Floor, Director's Area","4565 7th Avenue SE","98503","http://www.arts.wa.gov/artwork/?request=record;id=1753;type=101","WSAC1996.281.000","POINT (-122.82628 47.041304)","Part of Washington's State Art Collection, acquired by ArtsWA and Mount Vernon School District"
"Chehalis","Green Hill School","Edwards, Garth","""Glasses""","Sculpture","Concrete","4 ft 6 in x 40 in x 40 in (approximately)","2001","Corner of SW 11th Street and SW William Avenue., near staff parking area","375 SW 11th St","98532","http://www.arts.wa.gov/artwork/?request=record;id=12646;type=101","WSAC1998.117.001F","POINT (-122.959094 46.652099)","Part of Washington's State Art Collection, acquired by ArtsWA and Department of Social and Health Services"
"Spanaway","Shining Mountain Elementary School","Aarti, Reham","""Bloom Where You're Planted!""","Sculpture","Glass mosaic","3 ft x 3 ft (approximately)","2014","Above entry doors","21615 East 38th Ave","98387","http://www.arts.wa.gov/artwork/?request=record;id=12748;type=101","WSAC2013.010.002","POINT (-122.378122 47.060153)","Part of Washington's State Art Collection, acquired by ArtsWA and Bethel School District"
"Olympia","Washington State Arts Commission","Shlim, Larry","""Monmartre, Paris 1977""","Photograph","Gelatin silver print","16 in x 20 in (sheet)","1977","Not on display. At ArtsWA pending conservation, framing, re-siting, or return to site.","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=6121;type=101","WSAC1983.088.000","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Department of Corrections"
"Stanwood","Cedarhome Elementary","West, Bruce","""Wave Landscape""","Sculpture","Polished, burnished, and heat treated press formed and fabricated stainless steel","24 in x 32 in x 3 in (overall)","1992",,"27911 68th Ave NW","98292","http://www.arts.wa.gov/artwork/?request=record;id=3391;type=101","WSAC1998.075.000","POINT (-122.323763 48.249707)","Part of Washington's State Art Collection, acquired by ArtsWA and Stanwood School District"
"Everett","Everett Community College","Murch, Anna Valentina","""Everett Arbor""","Sculpture","Metal, cedar wood, and clematis plants","Concrete base 30 ft long x 20 ft wide; Stainless steel frames 12 ft high x 8 ft diameter each","1989","Lawn area south of Baker Hall, Room 120","2000 Tower St.","98201","http://www.arts.wa.gov/artwork/?request=record;id=4956;type=101","WSAC1989.076.000","POINT (-122.204546 48.007174)","Part of Washington's State Art Collection, acquired by ArtsWA and Everett Community College"
"Lake Stevens","Cavelero Mid High School","Corson, Dan","""Luminous Reeds""","Sculpture","Sintra board, acrylic glaze, aluminum Z clips, and lights","23 ft x 20 ft x 4 ft","2010","main entrance - wall facing glass enclosure","8220 24th Street","98258","http://www.arts.wa.gov/artwork/?request=record;id=12155;type=101","WSAC2007.051.000","POINT (-122.121736 47.973249)","Part of Washington's State Art Collection, acquired by ArtsWA and Lake Stevens School District"
"Bow","Edison Elementary School","Best, David Grant","""Gorge Flatwater""","Photograph","Gelatin silver print","5 3/4 in x 9 1/2 in","1995","Main Hallway, across from trophy case","5801 Main Ave","98232","http://www.arts.wa.gov/artwork/?request=record;id=2866;type=101","WSAC1997.096.000","POINT (-122.438677 48.561444)","Part of Washington's State Art Collection, acquired by ArtsWA and Burlington-Edison School District"
"Pasco","Chiawana High School","Mandel, Mike","""Seeing Blue""","Sculpture","Porcelain and glass mosaic tile","13 ft x 73 ft","2010","Hallway opposite the library","1215 W. Lewis St.","99301","http://www.arts.wa.gov/artwork/?request=record;id=12235;type=101","WSAC2008.022.001","POINT (-119.198936 46.257501)","Part of Washington's State Art Collection, acquired by ArtsWA and Pasco School District"
"Kirkland","Lake Washington Institute of Technology","Sindell, Laura","""Ghost Trees""","Sculpture","Concrete and tile over Styrofoam, fiberglass mesh, and gypsum board","8 1/2 ft x 14 ft x 2 ft","1984","2nd floor east","11605 132nd Ave NE","98034","http://www.arts.wa.gov/artwork/?request=record;id=5935;type=101","WSAC1983.160.00A-D","POINT (-122.167267 47.705711)","Part of Washington's State Art Collection, acquired by ArtsWA and Lake Washington Technical College"
"Woodinville","Kokanee Elementary","Edwards, Garth","""Star Drive""","Print","Lino print on paper","8 1/2 in x 19 in","1993","Library","23710 57th Ave SE","98072","http://www.arts.wa.gov/artwork/?request=record;id=2193;type=101","WSAC1994.146.000","POINT (-122.157768 47.78196)","Part of Washington's State Art Collection, acquired by ArtsWA and Northshore School District"
"Bainbridge Island","Woodward Middle School","Sollod, Ellen","""Past is Prologue (Guernica)""","Print","Linocut print","22 in x 16 1/2 in","1992","Main office hallway","9125 Sportsman Club Road","98110","http://www.arts.wa.gov/artwork/?request=record;id=2287;type=101","WSAC1995.072.000","POINT (-122.529246 47.644921)","Part of Washington's State Art Collection, acquired by ArtsWA and Bainbridge Island School District"
"Port Orchard","Mullenix Ridge Elementary","Celentano, Francis","""Spira T Syncopated""","Painting","Water-based acrylic paint on high impact styrene plastic","5 ft 7 1/2 in x 10 in","1988","Library, right of back door","3900 SE Mullenix Road","98367","http://www.arts.wa.gov/artwork/?request=record;id=5430;type=101","WSAC1990.204.000","POINT (-122.604039 47.467732)","Part of Washington's State Art Collection, acquired by ArtsWA and South Kitsap School District"
"Mount Vernon","Harriet Rowley Elementary","Amstutz, Bruce","""Salmon I""","Drawing","Charcoal on paper","31 in x 57 in (overall)","1982","First floor ramp","400 53rd Street","98273","http://www.arts.wa.gov/artwork/?request=record;id=5573;type=101","WSAC1984.104.000","POINT (-122.27275 48.423311)","Part of Washington's State Art Collection, acquired by ArtsWA and Federal Way School District and Mount Vernon School District"
"Graham","North Star Elementary","Paquette, Virginia","""World Pools""","Print","Monoprint","18 in x 24 in","1994","Main hallway, next to Library","7719 224th St. E","98338","http://www.arts.wa.gov/artwork/?request=record;id=3956;type=101","WSAC1999.047.000","POINT (-122.328172 47.05464)","Part of Washington's State Art Collection, acquired by ArtsWA and Bethel School District"
"Graham","Graham Elementary","Coyle, Kathleen","""Kitten on the Keys""","Textile","Monoprint (wax resist), fabric painting, embroidery, sequins, and beads","28 in x 31 in","1988","Hallway outside of classroom 11","10026 East 204th St.","98338","http://www.arts.wa.gov/artwork/?request=record;id=3491;type=101","WSAC1991.080.000","POINT (-122.296646 47.07048)","Part of Washington's State Art Collection, acquired by ArtsWA and Bethel School District"
"Olympia","Washington State Arts Commission","Bracken, Nance","""Ah, Good Afternoon, so nice you could come...""","Print","Etching","23 in x 22 in","1977","Not on display. At ArtsWA pending conservation, framing, re-siting, or return to site.","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=4476;type=101","WSAC1979.066.000","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Palouse School District"
"Olympia","Washington State Arts Commission","Buchanan, Lisa","""The Relationship""","Painting","Oil paint on canvas","5 1/2 ft x 4 1/2 ft (stretcher/strainer)","1984","Not on display. At ArtsWA pending conservation, framing, re-siting, or return to site.","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=3084;type=101","WSAC1987.060.000","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Tenino School District"
"Vancouver","Heritage High School","Spiering, Ken","""The Ascendancy of the Wolf""","Sculpture","Cast bronze, concrete, and plasma cut steel panels","38 in x 22 in x 68 in","2002","Lobby (by south cafeteria entrance) and Library","7825 NE 130th Ave.","98682","http://www.arts.wa.gov/artwork/?request=record;id=11182;type=101","WSAC2001.006.001-003","POINT (-122.537916 45.679629)","Part of Washington's State Art Collection, acquired by ArtsWA and Evergreen School District"
"Puyallup","Governor John Rogers High School","Sahlstrand, Margaret","""Northwest Jeans""","Print","Cast paper (100% cotton fiber)","16 in x 20 in","1977","Temporarily not on display.","12801 - 86th Ave. E.","98373","http://www.arts.wa.gov/artwork/?request=record;id=4626;type=101","WSAC1980.038.000","POINT (-122.312698 47.138295)","Part of Washington's State Art Collection, acquired by ArtsWA and Puyallup School District"
"Stanwood","Stanwood High School","Archibald, Jack","""Stillaguamish Sunrise""","Painting","Stained Glass","11 ft 3 in x 15 ft 8 in x 1/2 in","2022","Library, by main 1st floor entryway (far west corner) and extending to above the main entryway (on the 2nd floor)","7400 272nd NW","982927410","http://www.arts.wa.gov/artwork/?request=record;id=13623;type=101","WSAC2020.020.003","POINT (-122.33124 48.2405)","Part of Washington's State Art Collection, acquired by ArtsWA and Stanwood-Camano School District"
"Tumwater","Office of the Attorney General - Agriculture and Health Division (Tumwater)","Feddersen, Joe","""Sheltered From Nightrain""","Print","Lithograph print on paper","2 ft 9 in x 7 ft 6 in (overall)","1984","First Floor South","7141 Cleanwater Dr. SW","98504","http://www.arts.wa.gov/artwork/?request=record;id=6051;type=101","WSAC1985.034.000","POINT (-122.909989 46.983924)","Part of Washington's State Art Collection, acquired by ArtsWA and Department of Corrections"
"Seattle","Greenwood Elementary","Paulsen, Brian","""Daytripping""","Print","Engraving on paper","13 1/8 in x 8 3/4 in","1998","3rd floor hallway by staff lounge","144 NW 80th St.","98117","http://www.arts.wa.gov/artwork/?request=record;id=11344;type=101","WSAC2002.123.000","POINT (-122.359929 47.687295)","Part of Washington's State Art Collection, acquired by ArtsWA and Seattle School District"
"Coupeville","Coupeville Middle/High School","Niemi, Ries","""BirdBooks, part 1""","Sculpture","Stainless steel","Dimensions variable","2010","Northeast of main building","501 South Main St.","98239","http://www.arts.wa.gov/artwork/?request=record;id=12221;type=101","WSAC2009.011.001","POINT (-122.684922 48.207054)","Part of Washington's State Art Collection, acquired by ArtsWA and Coupeville School District"
"Spokane","Spokane Falls Community College","Goldbloom, Brian","""Vagor III""","Sculpture","Black granite","Three parts, 9 ft x 24 in x 24 in each","1979","Building 2 (Library), on northeast lawn, west of Building 5","3410 W Fort George Wright Drive","99224","http://www.arts.wa.gov/artwork/?request=record;id=4328;type=101","WSAC1979.013.00A-C","POINT (-117.463411 47.677266)","Part of Washington's State Art Collection, acquired by ArtsWA and Spokane Falls Community College"
"Union Gap","Union Gap School","Gottlieb, Dale","""The Sun Sees What We Do This Day""","Textile","Wool tapestry","15 ft x 17 ft (overall, irregular dimensions)","2011","Cafeteria","3201 South 4th Street","98903","http://www.arts.wa.gov/artwork/?request=record;id=12239;type=101","WSAC2010.008.00A-C","POINT (-120.479137 46.556565)","Part of Washington's State Art Collection, acquired by ArtsWA and Union Gap School District"
"Olympia","Washington State Arts Commission","Dingus, Marita","""Laying Back Doll""","Sculpture","Mixed media","7 in x 14 in x 5 in","1989","Not on display. At ArtsWA pending conservation, framing, re-siting, or return to site.","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=3496;type=101","WSAC1991.085.000","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Issaquah School District"
"Auburn","Green River College","Swanson, Brian","""Nouveau Banquette""","Sculpture","Steel with mixed media","5 ft 7 in x 11 ft x 21 in","1993","Performing Arts Building (PA), main entrance","12401 SE 320th St.","98092","http://www.arts.wa.gov/artwork/?request=record;id=11361;type=101","WSAC2002.140.000","POINT (-122.178404 47.31377)","Part of Washington's State Art Collection, acquired by ArtsWA and Green River Community College"
"Olympia","Washington State Arts Commission","Della, Ben","""Bird Rattle""","Sculpture","Red cedar wood, acrylic paint, cedar bark, and goose down","2 1/2 in x 9 1/2 in x 1 1/2 in (overall)","1984","Not on display. At ArtsWA pending conservation, framing, re-siting, or return to site.","711 Capitol Way S., Suite 600","98504","http://www.arts.wa.gov/artwork/?request=record;id=5774;type=101","WSAC1984.181.000","POINT (-122.901474 47.041975)","Part of Washington's State Art Collection, acquired by ArtsWA and Department of Corrections"
"Pullman","Washington State University","Jackson, Edna","""Last One""","Sculpture","Mixed media with cedar bark paper, thread, bone, cloth, buttons, and feathers","16 in x 10 in x 2 in","1984","Cleveland Hall, room 23, display case","Wilson Road and NE Stadium Way","99164","http://www.arts.wa.gov/artwork/?request=record;id=6082;type=101","WSAC1985.064.000","POINT (-117.166171 46.728707)","Part of Washington's State Art Collection, acquired by ArtsWA and Department of Corrections"
"Olympia","Office of the Governor","Wassong, Robin","""The Green House""","Painting","Oil paint on canvas","4 ft 1/4 in x 3 ft 10 1/8 in x 2 3/8 in","1989","Legislative Building, Room 100, Constituent Services","Legislative Building, Capitol Campus 416 Sid Snyder Ave. SW","98504","http://www.arts.wa.gov/artwork/?request=record;id=1896;type=101","WSAC1992.023.000","POINT (-122.904761 47.035777)","Part of Washington's State Art Collection, acquired by ArtsWA and Seattle School District"
"Wilson Creek","Wilson Creek Elementary and Junior-Senior High","Brophy, Michael","""Waterfall""","Painting","Oil paint on canvas","3 ft 2 in x 4 ft","1996","Commons area","400 Navar Street","98860","http://www.arts.wa.gov/artwork/?request=record;id=2662;type=101","WSAC1996.043.000","POINT (-119.120758 47.425993)","Part of Washington's State Art Collection, acquired by ArtsWA and Wilson Creek School District"
