Number,Name,Website,GeoCodeLoc,Location 1,Counties,Congressional Districts,WAOFM - GIS - Legislative District Boundary
31,Univar USA Inc.,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=969,"8201 S 212TH ST. KENT, WA 98032","8201 S 212TH ST. KENT, WA 98032
(47.411012, -122.230809)",3009,9,36
24,PSC/Burlington - Kent,,"20245 77TH AVE S KENT, WA 98032","20245 77TH AVE S KENT, WA 98032
(47.418099, -122.2385)",3009,9,36
22,Port of Seattle - Terminal 91,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=2674,"2001 W GARFIELD ST E SIDE OF B, SEATTLE, WA 98119","2001 W GARFIELD ST E SIDE OF B, SEATTLE, WA 98119
(47.633892, -122.387985)",3009,7,31
11,CleanCare Corporation,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=604,"1510 TAYLOR WY. TACOMA, WA 98421","1510 TAYLOR WY. TACOMA, WA 98421
(47.271598, -122.390684)",3210,9,11
15,"Emerald Services, Inc. - Tacoma",,"1825 ALEXANDER AVE. TACOMA, WA 98421","1825 ALEXANDER AVE. TACOMA, WA 98421
(47.2695838, -122.3912777)",3210,9,11
4,Boeing Development Center,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=2586,"9725 E MARGINAL WAY S SEATTLE, WA 98108","9725 E MARGINAL WAY S SEATTLE, WA 98108
(47.5147841, -122.3032057)",3009,9,17
36,UW Tacoma Branch Campus,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=141,"1930 C ST. TACOMA, WA 98402","1930 C ST. TACOMA, WA 98402
(46.5584843, -120.3921145)",2746,4,22
32,US Army - Yakima Training Center ,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=2301,"I82 4 MI N OF CITY BLDG T14, YAKIMA, WA 98901","I82 4 MI N OF CITY BLDG T14, YAKIMA, WA 98901
(46.767, -120.452)",3194,8,19
19,Lilyblad,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=4329,"2244 PORT OF TACOMA RD. TACOMA, WA 98421","2244 PORT OF TACOMA RD. TACOMA, WA 98421
(47.259383, -122.393157)",3210,9,11
25,PSC/Burlington - Tacoma,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=3406,"1701 E ALEXANDER AVE. TACOMA, WA 98421","1701 E ALEXANDER AVE. TACOMA, WA 98421
(47.270192, -122.391888)",3210,9,11
30,Tesoro Refining and Marketing Company,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=6070,"W MARCH PT RD. ANACORTES, WA 98221","W MARCH PT RD. ANACORTES, WA 98221
(48.4806827, -122.5734375)",3212,2,43
14,Emerald Kalama Chemical ,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=3686,"1296 NW 3RD ST. KALAMA, WA 98625","1296 NW 3RD ST. KALAMA, WA 98625
(46.0200127, -122.8559646)",2978,3,27
9,Cameron Yakima,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=4359,"1414 S 1ST ST. YAKIMA, WA 98901","1414 S 1ST ST. YAKIMA, WA 98901
(46.58415, -120.49737)",2746,4,20
5,Boeing Everett,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=4534,"3003 W CASINO RD. EVERETT, WA 98204","3003 W CASINO RD. EVERETT, WA 98204
(47.9253527, -122.2773207)",3213,2,40
1,Kronos,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=4444,"301 W CHARRON RD MOXEE, WA 98936","301 W CHARRON RD MOXEE, WA 98936
(46.5584843, -120.3921145)",2746,4,22
20,Occidental Chemical,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=4326,"605 ALEXANDER AVE. TACOMA, WA 98421","605 ALEXANDER AVE. TACOMA, WA 98421
(47.279885, -122.405859)",3210,9,11
18,International Paper ,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=3685,"10 INTERNATIONAL WAY, LONGVIEW, WA 98632","10 INTERNATIONAL WAY, LONGVIEW, WA 98632
(46.106929, -122.949731)",2978,3,26
35,USDOE Hanford Facility ,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=7092,"HANFORD FACILITY, RICHLAND, WA 99352","HANFORD FACILITY, RICHLAND, WA 99352
(46.5584843, -120.3921145)",2746,4,22
13,Conoco-Phillips 66 (Tosco) Ferndale Refinery,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=4886,"3901 UNICK RD, FERNDALE, WA 98248","3901 UNICK RD, FERNDALE, WA 98248
(48.8268309, -122.6973737)",2744,1,44
29,SSA Containers,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=3438,"3320 LINCOLN AVE E
TACOMA, WA 98421","3320 LINCOLN AVE E TACOMA, WA 98421
(47.266853, -122.383178)",3210,9,11
26,PSC/Burlington - Washougal ,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=2796,"625 S 32ND ST. WASHOUGAL, WA 98671","625 S 32ND ST. WASHOUGAL, WA 98671
(45.571982, -122.337787)",2977,3,25
10,Cascade Pole and Lumber,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=3643,"1640 E MARC ST. TACOMA, WA 98421","1640 E MARC ST. TACOMA, WA 98421
(47.256626, -122.413646)",3210,9,11
34,USDOE BPA Ross Complex ,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=536,"5411 NE HWY 99, VANCOUVER, WA 98666","5411 NE HWY 99, VANCOUVER, WA 98666
(45.6606882, -122.6630088)",2977,3,8
21,Petroleum Reclaiming Services Inc.,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=3255,"3003 TAYLOR WAY, TACOMA, WA 98421","3003 TAYLOR WAY, TACOMA, WA 98421
(47.264662, -122.372192)",3210,9,11
6,Boeing Renton,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=820,"800 N 6TH ST. RENTON, WA 98055","800 N 6TH ST. RENTON, WA 98055
(47.4926118, -122.2051333)",3009,9,38
17,General Electric,https://fortress.wa.gov/ecy/gsp/Sitepage.aspx?csid=2446,"220 S DAWSON ST. SEATTLE, WA 98108","220 S DAWSON ST. SEATTLE, WA 98108
(47.55612, -122.331637)",3009,7,17
