Source,Address,County,Sector ,Sub Sector,Total Emissions (MT CO2e),Biogenic CO2 (MT CO2),Fossil CO2 (MT CO2),Methane (MT CO2e),Nitrous Oxide (MT CO2e),Hydrofluorocarbons (MT CO2e),Perfluorocarbons (MT CO2e),Sulfur Hexafluoride (MT CO2e),Other (MT CO2e),"Location (Latitude, Longitude) ",Point Size- Based on Total Emissions,WAOFM - GIS - Legislative District Boundary,Counties,Congressional Districts
Shell Puget Sound Refinery - Anacortes,"8505 South Texas Road, Anacortes, WA 98221",Skagit,Refineries,Petroleum Refineries,1980471,0,1969220,6844,4407,0,0,0,0,"(48.470931, -122.559161)",4,43,3212,2
Air Liquide Hydrogen Plant - Anacortes,"8581 South Texas Road, Anacortes, WA 98221",Skagit,Chemicals,Hydrogen Production,60209,0,60209,0,0,0,0,0,0,"(48.465617, -122.556032)",2,43,3212,2
Moses Lake Facility of Basic American Foods - Moses Lake,"538 Potato Frontage Road, Moses Lake, WA 98837",Grant,Food Production,Potato Products,28977,0,28947,14,16,0,0,0,0,"(47.075183, -119.220408)",2,19,2982,4
Ash Grove Cement Company - Seattle,"3801 E. Marginal Way South, Seattle, WA 98134",King,Minerals,Cement Production,383836,0,383432,197,207,0,0,0,0,"(47.56799, -122.34255)",3,17,3009,7
Inland Empire Paper Company - Spokane,"3320 N Argonne, Spokane, WA 99212",Spokane,Pulp and Paper,TMP Mills,29252,17803,11200,40,210,0,0,0,0,"(47.688295, -117.279323)",2,5,3214,5
Sierra Pacific Industries - Aberdeen,"301 Hagara Street, Aberdeen, WA 98520",Grays Harbor,Wood Products,Lumber Mills,220243,215642,1720,415,2467,0,0,0,0,"(46.971875, -123.775526)",3,26,2983,6
Northwest Pipeline C/S - Mount Vernon,"1539 Lange Road, Mount Vernon, WA 98273",Skagit,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,69093,0,66878,2178,38,0,0,0,0,"(48.421967, -122.21547)",2,16,3212,1
Puget Sound Energy - Goldendale Generating Station - Goldendale,"600 Industrial Way, Goldendale, WA 98620",Klickitat,Power Plants,Natural Gas Turbine Plants,385284,0,384893,179,213,0,0,0,0,"(45.8114, -120.833)",3,20,3195,3
ConAgra Foods Lamb Weston/BSW - Warden,"1203 Basin St., Warden, WA 98857",Grant,Food Production,Potato Products,18099,0,18081,9,10,0,0,0,0,"(46.971504, -119.055427)",1,19,2982,4
"Emerald Kalama Chemical, LLC - Kalama","1296 NW 3rd Street, Kalama, WA 98625",Cowlitz,Chemicals,Other Chemicals,88697,0,88612,37,49,0,0,0,0,"(46.02191, -122.85698)",2,27,2978,3
"Longview Fibre Paper and Packaging, Inc/KapStone Kraft - Longview","300 Fibre Way, Longview, WA 98632",Cowlitz,Pulp and Paper,Kraft Mills,1662744,1499904,156168,1333,5339,0,0,0,0,"(46.10361, -122.92167)",4,26,2978,3
Central Washington University - Ellensburg,"400 E University Way, Ellensburg, WA 98926",Kittitas,Government,Education,12449,0,12436,6,7,0,0,0,0,"(47.003202, -120.544513)",1,19,3194,8
U.S. Oil & Refining Co. - Tacoma,"3001 Marshall Ave, Tacoma, WA 98421",Pierce,Refineries,Petroleum Refineries,135324,0,134762,553,10,0,0,0,0,"(47.256813, -122.394952)",3,11,3210,9
Darigold - Lynden,"8424 Depot Road, Lynden, WA 98264",Whatcom,Food Production,Dairy Products,19646,0,19625,9,11,0,0,0,0,"(48.947567, -122.451915)",1,44,2744,1
"Nucor Steel Seattle, Inc, - Seattle","2424 SW Andover St, Seattle, WA 98106",King,Metals,Iron and Steel Production,97810,0,97765,21,24,0,0,0,0,"(47.569331, -122.367332)",2,37,3009,7
Kettle Falls Generating Station - Kettle Falls,"1151 Hwy. 395 North, Kettle Falls, WA 99141",Stevens,Power Plants,"Other Power, Heating, or Cooling Plants",912128,897548,2590,1723,10266,0,0,0,0,"(48.620335, -118.110841)",3,10,2741,5
Port Townsend Paper Corporation - Port Townsend,"100 Mill Road, Port Townsend, WA 98368",Jefferson,Pulp and Paper,Kraft Mills,489961,422794,64014,550,2603,0,0,0,0,"(48.093793, -122.796806)",3,30,3008,6
"Biofuels Washington, LLC Landfill Gas to Energy Plant - Graham","30919 Meridian Ave, East, Graham, WA 98338",Pierce,Power Plants,"Other Power, Heating, or Cooling Plants",20288,20184,0,31,73,0,0,0,0,"(46.975533, -122.290871)",1,2,3210,8
H.W. Hill Landfill Gas Power Plant - Roosevelt,"502 Roosevelt Grade Road, Roosevelt, WA 99356",Klickitat,Power Plants,"Other Power, Heating, or Cooling Plants",75654,75267,0,116,271,0,0,0,0,"(45.807765, -120.166354)",2,20,3195,3
Vertellus Performance Chemicals LLC - Elma,"4800 State Route 12, Elma, WA 98541",Grays Harbor,Chemicals,Other Chemicals,20802,0,20780,10,12,0,0,0,0,"(46.995459, -123.382316)",1,30,2983,6
REG Grays Harbor LLC - Hoquiam,"3122 Port Industrial Road, Hoquiam, WA 98550",Grays Harbor,Chemicals,Other Chemicals,18051,0,18032,9,10,0,0,0,0,"(46.968196, -123.853622)",1,30,2983,6
Spokane Waste to Energy Facility - Spokane,"2900 S Geiger Blvd, Spokane, WA 99224",Spokane,Waste,Solid Waste Combustion,238603,136713,96647,2045,3198,0,0,0,0,"(47.626529, -117.504278)",3,9,3214,5
Naval Base Kitsap Bangor - Silverdale,"1103 Hunley Road, Silverdale, WA 98315",Kitsap,Government,National Security,20109,0,20086,10,13,0,0,0,0,"(47.699284, -122.696926)",1,29,848,6
Ponderay Newsprint Company - Usk,"422767 Highway 20, Usk, WA 99180",Pend Oreille,Pulp and Paper,TMP Mills,46201,42235,3388,85,493,0,0,0,0,"(48.289771, -117.271359)",2,10,3209,5
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls","1274 S. Boise Rd, Kettle Falls, WA 99141",Stevens,Wood Products,Engineered Wood,73564,70714,1903,137,810,0,0,0,0,"(48.613175, -118.116106)",2,10,2741,5
Tesoro Refining & Marketing Company LLC - Anacortes,"10200 West March Point Road, Anacortes, WA 98221",Skagit,Refineries,Petroleum Refineries,1350774,0,1345258,2039,3476,0,0,0,0,"(48.493816, -122.564845)",4,43,3212,2
Frederickson Power LP - Tacoma,"18610 - 50th Ave E, Tacoma, WA 98446",Pierce,Power Plants,Natural Gas Turbine Plants,330385,0,330050,153,182,0,0,0,0,"(47.086342, -122.365686)",3,35,3210,10
TransAlta Centralia Generation LLC - Centralia,"913 Big Hanaford Road, Centralia, WA 98531",Lewis,Power Plants,Coal Plants,5094331,0,5054396,14608,25327,0,0,0,0,"(46.7559, -122.8578)",5,27,3196,3
Michelsen Packaging - Yakima,"202 N 2nd Ave, Yakima, WA 98902",Yakima,Pulp and Paper,Other Pulp and Paper,8817,0,8808,4,5,0,0,0,0,"(46.604058, -120.513015)",1,20,2746,4
Terrace Heights Landfill - Yakima,"7151 Roza Hill Drive, Yakima, WA 98901",Yakima,Waste,Municipal Landfills,111851,0,25,111826,0,0,0,0,0,"(46.610031, -120.39408)",3,22,2746,4
Puget Sound Energy - Whitehorn Generating Station - Blaine,"4930 Brown Rd, Blaine, WA 98230",Whatcom,Power Plants,Natural Gas Turbine Plants,44950,0,44903,21,26,0,0,0,0,"(48.885475, -122.724299)",2,44,2744,1
Alcoa Intalco Works - Ferndale,"4050 Mountain View Road, Ferndale, WA 98248",Whatcom,Metals,Aluminum Production,1261364,0,376843,10069,33,0,874420,0,0,"(48.8455, -122.7055)",4,44,2744,1
Darigold - Chehalis,"67 SW Chehalis Ave, Chehalis, WA 98532",Lewis,Food Production,Dairy Products,12457,0,12445,6,7,0,0,0,0,"(46.659952, -122.970162)",1,27,3196,3
Darigold - Sunnyside,"400 Alexander Road, Sunnyside, WA 98944",Yakima,Food Production,Dairy Products,31480,0,31448,15,17,0,0,0,0,"(46.30058, -120.015675)",2,22,2746,4
Gas Transmission Northwest Compressor Station 8 - Wallula,"638 Lambdin Road, Wallula, WA 99363",Walla Walla,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,120375,0,118722,1586,67,0,0,0,0,"(46.053153, -118.843934)",3,23,2743,4
"Kaiser Aluminum Washington, LLC (Trentwood Works) - Spokane Valley","15000 E Euclid Ave, Spokane Valley, WA 99215",Spokane,Metals,Other Metals,122424,0,122298,58,69,0,0,0,0,"(47.687074, -117.212673)",3,5,3214,5
BP Cherry Point Refinery - Blaine,"4519 Grandview Road, Blaine, WA 98230",Whatcom,Refineries,Petroleum Refineries,2418086,0,2403524,9285,5278,0,0,0,0,"(48.8864, -122.7353)",4,44,2744,1
CertainTeed Gypsum - Seattle,"5931 East Marginal Way South, Seattle, WA 98134",King,Manufacturing,Gypsum Manufacturing,47948,0,47898,23,27,0,0,0,0,"(47.548056, -122.336944)",2,17,3009,7
Gas Transmission Northwest Compressor Station 7 - Starbuck,"Lyons Ferry Rd., Starbuck, WA 99359",Columbia,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,19809,0,18587,1212,10,0,0,0,0,"(46.53558, -118.293441)",1,23,2743,5
Imerys Minerals Quincy Plant - Quincy,"16419 Road, 10.5 NW, Quincy, WA 98848",Grant,Minerals,Other Minerals,18201,0,18182,9,10,0,0,0,0,"(47.239948, -119.838831)",1,19,2982,4
Sierra Pacific Industries - Burlington Division - Mount Vernon,"14353 McFarland Road, Mount Vernon, WA 98273",Skagit,Wood Products,Lumber Mills,307452,301493,1930,580,3449,0,0,0,0,"(48.448553, -122.434613)",3,16,3212,2
ConAgra Foods Lamb Weston - Richland,"2013 Saint Street, Richland, WA 99354",Benton,Food Production,Potato Products,35966,0,35929,17,20,0,0,0,0,"(46.309314, -119.297267)",2,12,2955,4
McCain Foods - Othello,"100 Lee Street, Othello, WA 99344",Adams,Food Production,Potato Products,67668,0,36830,30818,21,0,0,0,0,"(46.840102, -119.172705)",2,13,2953,4
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls","610 West 3rd Avenue, Kettle Falls, WA 99141",Stevens,Wood Products,Lumber Mills,53752,53043,1,102,607,0,0,0,0,"(48.609799, -118.067441)",2,10,2741,5
Hampton Lumber Mills Washington Inc. - Darrington,"46921 Sauk Prairie Road, Darrington, WA 98241",Snohomish,Wood Products,Lumber Mills,94826,93577,0,180,1070,0,0,0,0,"(48.262797, -121.597608)",2,41,3213,1
Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,"191 Webb Road, East Wenatchee, WA 98802",Douglas,Waste,Municipal Landfills,30653,0,0,30653,0,0,0,0,0,"(47.405083, -120.167444)",2,18,2979,4
Grant County Landfill 1 - Ephrata,"3803 Neva Lake Rd. NW, Ephrata, WA 98823",Grant,Waste,Municipal Landfills,42711,0,0,42711,0,0,0,0,0,"(47.270759, -119.573764)",2,19,2982,4
Northwest Pipeline C/S - Snohomish,"22902 Echo Lake Road, Snohomish, WA 98296",Snohomish,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,62759,0,61023,1701,34,0,0,0,0,"(47.78825, -122.05859)",2,1,3213,1
Seattle-Tacoma International Airport - Seattle,"17801 International Blvd., Seattle, WA 98158",King,Government,Other Government,13890,0,13876,7,8,0,0,0,0,"(47.443643, -122.302452)",1,36,3009,9
Northwest Hardwoods Inc. - Longview,"120 Industrial Way, Longview, WA 98632",Cowlitz,Wood Products,Lumber Mills,8237,8135,0,15,88,0,0,0,0,"(46.114537, -122.916806)",1,26,2978,3
Naval Base Kitsap - Bremerton,"120 South Dewey Street, Bremerton, WA 98315",Kitsap,Government,National Security,43755,0,43709,21,25,0,0,0,0,"(47.557047, -122.645933)",2,33,848,6
Avista Corporation - WA State DOE Reporting - statewide,"1411 E Mission, Spokane, WA 99220-3727",Spokane,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,21120,0,19,15452,0,0,0,5650,0,"(47.673486, -117.388514)",1,3,3214,5
Enwave - Seattle,"1319 Western Avenue, Seattle, WA 98101",King,Power Plants,"Other Power, Heating, or Cooling Plants",69965,0,69893,33,40,0,0,0,0,"(47.6068, -122.340179)",2,4,3009,7
Puget Sound Energy - Encogen Generating Station - Bellingham,"915 Cornwall Ave, Bellingham, WA 98225",Whatcom,Power Plants,Natural Gas Turbine Plants,103713,0,103607,48,58,0,0,0,0,"(48.746, -122.486)",3,44,2744,2
Puget Sound Energy - Mint Farm Generating Station - Longview,"1200 Prudential Blvd, Longview, WA 98632",Cowlitz,Power Plants,Natural Gas Turbine Plants,433451,0,433011,201,239,0,0,0,0,"(46.140095, -122.985138)",3,26,2978,3
"Vaagen Bros. Lumber, Inc. - Colville","565 West 5th Avenue, Colville, WA 99114",Stevens,Wood Products,Lumber Mills,41269,40725,0,78,466,0,0,0,0,"(48.548525, -117.915469)",2,10,2741,5
Northwest Pipeline Willard C/S - Cook,"Willard Rd. Milepost 1, Cook, WA 98605",Skamania,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,7520,0,5573,1944,3,0,0,0,0,"(45.778087, -121.626311)",1,20,850,3
King County Solid Waste Cedar Hills Landfill - Maple Valley,"16645 228th Avenue SE, Maple Valley, WA 98038",King,Waste,Municipal Landfills,77624,0,229,77394,1,0,0,0,0,"(47.462625, -122.046025)",2,6,3009,8
REC Silicon - Moses Lake,"3322 Road N NE, Moses Lake, WA 98837",Grant,Metals,Other Metals,70588,0,70515,33,40,0,0,0,0,"(47.138359, -119.200383)",2,19,2982,4
The Boeing Company - Auburn,"700 15th Street SW, Auburn, WA 98001",King,Manufacturing,Transportation,36033,0,35996,17,20,0,0,0,0,"(47.285551, -122.242298)",2,14,3009,8
"Tyson Fresh Meats, Inc. - Wallula","13983 Dodd Road, Wallula, WA 99363",Walla Walla,Food Production,Meat Products,88363,0,21901,66449,12,0,0,0,0,"(46.137521, -118.913051)",2,23,2743,4
Alcoa Wenatchee Works - Malaga,"6200 Malaga/Alcoa Hwy., Malaga, WA 98828",Chelan,Metals,Aluminum Production,898,0,897,1,1,0,0,0,0,"(47.3567, -120.1273)",1,18,2956,8
Northwest Hardwoods Inc. - Centralia,"3000 Galvin Road, Centralia, WA 98531",Lewis,Wood Products,Lumber Mills,7212,7122,0,13,77,0,0,0,0,"(46.734454, -122.991963)",1,27,3196,3
Darling Ingredients Inc - Tacoma,"2041 Marc Avenue, Tacoma, WA 98421",Pierce,Food Production,Meat Products,10274,0,10264,5,6,0,0,0,0,"(47.250503, -122.406461)",1,11,3210,9
SDS Lumber Company - Bingen,"123 Industrial Road, Bingen, WA 98605",Klickitat,Wood Products,Lumber Mills,105113,103730,0,199,1185,0,0,0,0,"(45.713913, -121.468688)",3,20,3195,3
Spectrum Glass Company - Woodinville,"24105 Snohomish-Woodinville Road, Woodinville, WA 98072",King,Minerals,Glass Production,9327,0,9319,4,4,0,0,0,0,"(47.777004, -122.148978)",1,1,3213,1
"WestRock CP, LLC - Tacoma","801 E. Portland Ave., Tacoma, WA 98421",Pierce,Pulp and Paper,Kraft Mills,1034608,912222,117370,943,4073,0,0,0,0,"(47.260953, -122.421765)",4,11,3210,9
"Goodrich Spokane Landing Systems, Carbon Products - Spokane","11135 West Westbow Blvd., Spokane, WA 99224-9475",Spokane,Manufacturing,Transportation,33555,0,33521,16,19,0,0,0,0,"(47.583604, -117.568511)",2,9,3214,5
J.R. Simplot Company - Othello,"1201 N Broadway Ave, Othello, WA 99344",Adams,Food Production,Potato Products,93712,0,48769,44916,27,0,0,0,0,"(46.837778, -119.176389)",2,13,2953,4
Cardinal FG Company - Winlock,"545 Avery Road West, Winlock, WA 98596",Lewis,Minerals,Glass Production,107574,0,107497,35,42,0,0,0,0,"(46.544937, -122.926313)",3,27,3196,3
Phillips 66 Ferndale Refinery - Ferndale,"3901 Unick Road, Ferndale, WA 98248",Whatcom,Refineries,Petroleum Refineries,767043,0,763737,1418,1888,0,0,0,0,"(48.830142, -122.692114)",3,44,2744,1
Graymont Western US. Inc. - Tacoma,"1220 Alexander Avenue, Tacoma, WA 98421",Pierce,Minerals,Lime Manufacturing,42728,0,42658,26,44,0,0,0,0,"(47.271365, -122.397262)",2,11,3210,9
Land Recovery Landfill Industrial - Graham,"30919 Meridian Street East, Graham, WA 98338",Pierce,Waste,Municipal Landfills,115122,0,0,115122,0,0,0,0,0,"(46.972405, -122.292799)",3,2,3210,8
Boulder Park Generating Station - Spokane Valley,"4424 N. Barker Road, Spokane Valley, WA 99027",Spokane,Power Plants,"Other Power, Heating, or Cooling Plants",9009,0,8999,4,5,0,0,0,0,"(47.696999, -117.147223)",1,5,3214,5
Tacoma City Solid Waste Facility - Tacoma,"3510 South Mullen Street, Tacoma, WA 98409",Pierce,Waste,Municipal Landfills,14513,0,0,14513,0,0,0,0,0,"(47.223413, -122.499775)",1,35,3210,6
Cowlitz County Landfill - Longview,"85 Tennant Way, Longview, WA 98632",Cowlitz,Waste,Municipal Landfills,17254,0,0,17254,0,0,0,0,0,"(46.107229, -122.905601)",1,26,2978,3
Boeing Commercial Airplanes - Fabrication (Frederickson Site) - Puyallup,"18001 Canyon Rd E, Puyallup, WA 98375",Pierce,Manufacturing,Transportation,19831,0,19811,9,11,0,0,0,0,"(47.088831, -122.34862)",1,2,3210,10
McKinley Paper Co. - Washington Mill - Port Angeles,"1902 Marine Drive, Port Angeles, WA 98363",Clallam,Pulp and Paper,TMP Mills,198142,189143,2153,4679,2168,0,0,0,0,"(48.134623, -123.467524)",3,30,2976,6
Washington State University - Pullman,"2660 Grimes Way, Pullman, WA 99164-1172",Whitman,Government,Education,58136,0,58075,28,34,0,0,0,0,"(46.728702, -117.151481)",2,13,2745,5
Gas Transmission Northwest Compressor Station 6 - Rosalia,"315 E Babb Road, Rosalia, WA 99170",Whitman,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,112620,0,86647,25925,49,0,0,0,0,"(47.277256, -117.406737)",3,13,3214,5
Puget Sound Energy - Ferndale Generating Station - Ferndale,"5105 Lake Terrell Road, Ferndale, WA 98248",Whatcom,Power Plants,Natural Gas Turbine Plants,354145,0,353786,164,195,0,0,0,0,"(48.828707, -122.685533)",3,44,2744,1
Northwest Pipeline C/S - Sumas,"4738 Jones Rd, Sumas, WA 98295",Whatcom,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,109639,0,105182,4398,59,0,0,0,0,"(49.001, -122.2214)",3,44,2744,1
Puget Sound Energy - Sumas Generating Station - Sumas,"1340 Thompson Lane, Sumas, WA 98295",Whatcom,Power Plants,Natural Gas Turbine Plants,192574,0,192378,89,106,0,0,0,0,"(48.9905, -122.2733)",3,44,2744,1
Fairchild AFB - Spokane Co.,"1 E Bong St, Fairchild AFB, WA 99011",Spokane,Government,National Security,13587,0,13573,7,8,0,0,0,0,"(47.641332, -117.644832)",1,9,3214,5
ConAgra Foods Lamb Weston - Quincy,"1005 E. Street SW, Quincy, WA 98848",Grant,Food Production,Potato Products,40468,0,40427,19,23,0,0,0,0,"(47.234413, -119.869914)",2,19,2982,4
Hampton Lumber Mills Washington Inc. - Morton,"302 State Highway 7, Morton, WA 98356",Lewis,Wood Products,Lumber Mills,30741,30336,0,58,347,0,0,0,0,"(46.565997, -122.269573)",2,27,3196,3
"SEH America, Inc - Vancouver","4111 NE 112th Avenue, Vancouver, WA 98682-6776",Clark,Manufacturing,Electronics Manufacturing,8598,0,8589,4,5,0,0,0,0,"(45.649912, -122.553612)",1,24,2977,3
US Army Joint Base Lewis-McChord - Pierce Co.,"2012 Liggett Ave, Joint Base Lewis-McChord, WA 98433-9500",Pierce,Government,National Security,75889,0,56118,19738,33,0,0,0,0,"(47.1142, -122.5365)",2,34,3210,10
Cheyne Landfill - Zillah,"4970 Cheyne Road, Zillah, WA 98953",Yakima,Waste,Municipal Landfills,35837,0,0,35837,0,0,0,0,0,"(46.4785, -120.2688)",2,22,2746,4
"Bio Energy Washington, LLC - Maple Valley","16650 228th Avenue SE, Maple Valley, WA 98038",King,Power Plants,"Other Power, Heating, or Cooling Plants",29216,27510,1559,44,103,0,0,0,0,"(47.455871, -122.041817)",2,6,3009,8
Naval Air Station Whidbey Island - Oak Harbor,"1115 W. Lexington Street, Bldg. 103, Oak Harbor, WA 98278",Island,Government,National Security,13575,0,13560,7,8,0,0,0,0,"(48.345281, -122.669741)",1,16,3007,2
Sierra Pacific Industries - Centralia,"3115 Kuper Rd, Centralia, WA 98531",Lewis,Wood Products,Lumber Mills,42540,41979,0,81,480,0,0,0,0,"(46.756413, -122.995433)",2,27,3196,3
