"rowid","schoolyear","organizationlevel","organizationid","organizationname","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","totalteachercount","totalstudentcount","teachertostudentratio","studenttoteacherratio","teachertostudentpercent","averageclasssize","program","programformalname","programteachercount","programteacherpercent","programfte","certificatetype","certificatetypecount","certificatetypepercent","limitedcertificatetype","limitedcertificatetypecount","limitedcertificatetypepercent","iseevalidated","dataasof"
"12","2017-2018","District","100004","ESD 113 acting as a school district","Thurston","NULL","NULL","34801","ESD 113 acting as a school district","100004","NULL","NULL","NULL","NULL","12","393","0.03053","32.75000","0.03053","11.00","ALL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"13","2017-2018","District","100004","ESD 113 acting as a school district","Thurston","NULL","NULL","34801","ESD 113 acting as a school district","100004","NULL","NULL","NULL","NULL","12","NULL","NULL","NULL","NULL","NULL","Other","Other","12","1.000","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"14","2017-2018","District","100004","ESD 113 acting as a school district","Thurston","NULL","NULL","34801","ESD 113 acting as a school district","100004","NULL","NULL","NULL","NULL","12","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Full Certificate","12","1.000","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"15","2017-2018","District","100004","ESD 113 acting as a school district","Thurston","NULL","NULL","34801","ESD 113 acting as a school district","100004","NULL","NULL","NULL","NULL","12","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate","1","0.083","All Limited Certificates","NULL","NULL","1","2022-03-06T13:16:14.820"
"16","2017-2018","District","100004","ESD 113 acting as a school district","Thurston","NULL","NULL","34801","ESD 113 acting as a school district","100004","NULL","NULL","NULL","NULL","12","NULL","NULL","NULL","NULL","NULL","Other","Other","12","1.000","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"17","2017-2018","District","100004","ESD 113 acting as a school district","Thurston","NULL","NULL","34801","ESD 113 acting as a school district","100004","NULL","NULL","NULL","NULL","12","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate Detail","NULL","NULL","Substitute Certificate","1","0.083","1","2022-03-06T13:16:14.820"
"18","2017-2018","District","100005","ESD 114 acting as a school district","Kitsap","NULL","NULL","18801","ESD 114 acting as a school district","100005","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate Detail","NULL","NULL","Substitute Certificate","1","0.500","1","2022-03-06T13:16:14.820"
"19","2017-2018","District","100005","ESD 114 acting as a school district","Kitsap","NULL","NULL","18801","ESD 114 acting as a school district","100005","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Full Certificate","2","1.000","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"20","2017-2018","District","100005","ESD 114 acting as a school district","Kitsap","NULL","NULL","18801","ESD 114 acting as a school district","100005","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate","1","0.500","All Limited Certificates","NULL","NULL","1","2022-03-06T13:16:14.820"
"21","2017-2018","District","100005","ESD 114 acting as a school district","Kitsap","NULL","NULL","18801","ESD 114 acting as a school district","100005","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","Other","Other","2","1.000","2.800","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"22","2017-2018","District","100005","ESD 114 acting as a school district","Kitsap","NULL","NULL","18801","ESD 114 acting as a school district","100005","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","Other","Other","2","1.000","2.800","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"23","2017-2018","District","100005","ESD 114 acting as a school district","Kitsap","NULL","NULL","18801","ESD 114 acting as a school district","100005","NULL","NULL","NULL","NULL","2","26","0.07692","13.00000","0.07692","0.00","ALL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"24","2017-2018","District","100006","ESD 121 acting as a school district","King","NULL","NULL","17801","ESD 121 acting as a school district","100006",,"District Total","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2022-03-06T13:16:15.337"
"25","2017-2018","District","100007","ESD 123 acting as a school district","Franklin","NULL","NULL","11801","ESD 123 acting as a school district","100007","NULL","NULL","NULL","NULL","1","29","0.03448","29.00000","0.03448","5.00","ALL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"26","2017-2018","District","100007","ESD 123 acting as a school district","Franklin","NULL","NULL","11801","ESD 123 acting as a school district","100007","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","Other","Other","1","1.000","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"27","2017-2018","District","100007","ESD 123 acting as a school district","Franklin","NULL","NULL","11801","ESD 123 acting as a school district","100007","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","Other","Other","1","1.000","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"28","2017-2018","District","100007","ESD 123 acting as a school district","Franklin","NULL","NULL","11801","ESD 123 acting as a school district","100007","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Full Certificate","1","1.000","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"29","2017-2018","District","100009","ESD 189 acting as a school district","Skagit","NULL","NULL","29801","ESD 189 acting as a school district","100009","NULL","NULL","NULL","NULL","4","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Full Certificate","4","1.000","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"30","2017-2018","District","100009","ESD 189 acting as a school district","Skagit","NULL","NULL","29801","ESD 189 acting as a school district","100009","NULL","NULL","NULL","NULL","4","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate","1","0.250","All Limited Certificates","NULL","NULL","1","2022-03-06T13:16:14.820"
"31","2017-2018","District","100009","ESD 189 acting as a school district","Skagit","NULL","NULL","29801","ESD 189 acting as a school district","100009","NULL","NULL","NULL","NULL","4","NULL","NULL","NULL","NULL","NULL","Other","Other","4","1.000","4.989","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"32","2017-2018","District","100009","ESD 189 acting as a school district","Skagit","NULL","NULL","29801","ESD 189 acting as a school district","100009","NULL","NULL","NULL","NULL","4","NULL","NULL","NULL","NULL","NULL","Other","Other","4","1.000","4.989","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"33","2017-2018","District","100009","ESD 189 acting as a school district","Skagit","NULL","NULL","29801","ESD 189 acting as a school district","100009","NULL","NULL","NULL","NULL","4","11","0.36364","2.75000","0.36364","NULL","ALL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"34","2017-2018","District","100009","ESD 189 acting as a school district","Skagit","NULL","NULL","29801","ESD 189 acting as a school district","100009","NULL","NULL","NULL","NULL","4","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate Detail","NULL","NULL","Substitute Certificate","1","0.250","1","2022-03-06T13:16:14.820"
"35","2017-2018","District","100010","Aberdeen School District","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","NULL","NULL","NULL","NULL","211","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate Detail","NULL","NULL","Conditional Certificate","10","0.047","1","2022-03-06T13:16:14.820"
"1079","2017-2018","District","100097","Granger School District","Yakima","Educational Service District 105","100002","39204","Granger School District","100097","NULL","NULL","NULL","NULL","83","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Full Certificate","79","0.952","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"1124","2017-2018","District","100102","Griffin School District","Thurston","Capital Region ESD 113","100004","34324","Griffin School District","100102","NULL","NULL","NULL","NULL","37","NULL","NULL","NULL","NULL","NULL","Basic Ed","Basic Education","36","0.973","58.661","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"1125","2017-2018","District","100102","Griffin School District","Thurston","Capital Region ESD 113","100004","34324","Griffin School District","100102","NULL","NULL","NULL","NULL","37","NULL","NULL","NULL","NULL","NULL","SPED","Special Education","4","0.108","19.081","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"1126","2017-2018","District","100102","Griffin School District","Thurston","Capital Region ESD 113","100004","34324","Griffin School District","100102","NULL","NULL","NULL","NULL","37","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Full Certificate","37","1.000","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"36","2017-2018","District","100010","Aberdeen School District","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","NULL","NULL","NULL","NULL","211","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate Detail","NULL","NULL","Conditional CTE Certificate","18","0.085","1","2022-03-06T13:16:14.820"
"37","2017-2018","District","100010","Aberdeen School District","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","NULL","NULL","NULL","NULL","211","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate Detail","NULL","NULL","Emergency Substitute Certificate","13","0.062","1","2022-03-06T13:16:14.820"
"38","2017-2018","District","100010","Aberdeen School District","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","NULL","NULL","NULL","NULL","211","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate Detail","NULL","NULL","Other Limited Certificates","1","0.005","1","2022-03-06T13:16:14.820"
"39","2017-2018","District","100010","Aberdeen School District","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","NULL","NULL","NULL","NULL","211","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate Detail","NULL","NULL","Substitute Certificate","31","0.147","1","2022-03-06T13:16:14.820"
"40","2017-2018","District","100010","Aberdeen School District","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","NULL","NULL","NULL","NULL","211","3479","0.06065","16.48815","0.06065","12.00","ALL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"41","2017-2018","District","100010","Aberdeen School District","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","NULL","NULL","NULL","NULL","211","NULL","NULL","NULL","NULL","NULL","SPED","Special Education","29","0.137","40.499","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"42","2017-2018","District","100010","Aberdeen School District","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","NULL","NULL","NULL","NULL","211","NULL","NULL","NULL","NULL","NULL","Other","Other","129","0.611","46.161","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"43","2017-2018","District","100010","Aberdeen School District","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","NULL","NULL","NULL","NULL","211","NULL","NULL","NULL","NULL","NULL","ALE","Alternative Learning Experience","4","0.019","3.798","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"44","2017-2018","District","100010","Aberdeen School District","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","NULL","NULL","NULL","NULL","211","NULL","NULL","NULL","NULL","NULL","Basic Ed","Basic Education","173","0.820","277.821","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"45","2017-2018","District","100010","Aberdeen School District","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","NULL","NULL","NULL","NULL","211","NULL","NULL","NULL","NULL","NULL","TBIP","Transitional Bilingual Instructional Program","4","0.019","3.710","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"46","2017-2018","District","100010","Aberdeen School District","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","NULL","NULL","NULL","NULL","211","NULL","NULL","NULL","NULL","NULL","CTE","Career and Technical Education","28","0.133","57.906","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"47","2017-2018","District","100010","Aberdeen School District","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","NULL","NULL","NULL","NULL","211","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Full Certificate","189","0.896","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"1127","2017-2018","District","100102","Griffin School District","Thurston","Capital Region ESD 113","100004","34324","Griffin School District","100102","NULL","NULL","NULL","NULL","37","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate","11","0.297","All Limited Certificates","NULL","NULL","1","2022-03-06T13:16:14.820"
"48","2017-2018","District","100010","Aberdeen School District","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","NULL","NULL","NULL","NULL","211","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate","60","0.284","All Limited Certificates","NULL","NULL","1","2022-03-06T13:16:14.820"
"49","2017-2018","District","100010","Aberdeen School District","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","NULL","NULL","NULL","NULL","211","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","National Board Certificate","24","0.114","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"50","2017-2018","District","100011","Adna School District","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","NULL","NULL","NULL","NULL","37","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Full Certificate","35","0.946","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"51","2017-2018","District","100011","Adna School District","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","NULL","NULL","NULL","NULL","37","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate","12","0.324","All Limited Certificates","NULL","NULL","1","2022-03-06T13:16:14.820"
"52","2017-2018","District","100011","Adna School District","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","NULL","NULL","NULL","NULL","37","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","National Board Certificate","3","0.081","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"53","2017-2018","District","100011","Adna School District","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","NULL","NULL","NULL","NULL","37","NULL","NULL","NULL","NULL","NULL","CTE","Career and Technical Education","6","0.162","15.666","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"54","2017-2018","District","100011","Adna School District","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","NULL","NULL","NULL","NULL","37","NULL","NULL","NULL","NULL","NULL","SPED","Special Education","3","0.081","7.202","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"55","2017-2018","District","100011","Adna School District","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","NULL","NULL","NULL","NULL","37","NULL","NULL","NULL","NULL","NULL","Other","Other","21","0.568","4.529","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"56","2017-2018","District","100011","Adna School District","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","NULL","NULL","NULL","NULL","37","NULL","NULL","NULL","NULL","NULL","Basic Ed","Basic Education","32","0.865","45.936","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"57","2017-2018","District","100011","Adna School District","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","NULL","NULL","NULL","NULL","37","646","0.05728","17.45946","0.05728","15.00","ALL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"1128","2017-2018","District","100102","Griffin School District","Thurston","Capital Region ESD 113","100004","34324","Griffin School District","100102","NULL","NULL","NULL","NULL","37","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","National Board Certificate","4","0.108","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"58","2017-2018","District","100011","Adna School District","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","NULL","NULL","NULL","NULL","37","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate Detail","NULL","NULL","Emergency Substitute Certificate","2","0.054","1","2022-03-06T13:16:14.820"
"59","2017-2018","District","100011","Adna School District","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","NULL","NULL","NULL","NULL","37","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate Detail","NULL","NULL","Other Limited Certificates","1","0.027","1","2022-03-06T13:16:14.820"
"60","2017-2018","District","100011","Adna School District","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","NULL","NULL","NULL","NULL","37","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate Detail","NULL","NULL","Substitute Certificate","9","0.243","1","2022-03-06T13:16:14.820"
"61","2017-2018","District","100012","Almira School District","Lincoln","Educational Service District 101","100001","22017","Almira School District","100012","NULL","NULL","NULL","NULL","12","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate Detail","NULL","NULL","Emergency Substitute Certificate","2","0.167","1","2022-03-06T13:16:14.820"
"1173","2017-2018","District","100106","Hockinson School District","Clark","Educational Service District 112","100003","06098","Hockinson School District","100106","NULL","NULL","NULL","NULL","108","NULL","NULL","NULL","NULL","NULL","Basic Ed","Basic Education","100","0.926","137.472","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"1286","2017-2018","District","100116","Kennewick School District","Benton","Educational Service District 123","100007","03017","Kennewick School District","100116","NULL","NULL","NULL","NULL","1064","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Full Certificate","997","0.937","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"1309","2017-2018","District","100117","Kent School District","King","Puget Sound Educational Service District 121","100006","17415","Kent School District","100117","NULL","NULL","NULL","NULL","1668","NULL","NULL","NULL","NULL","NULL","SPED","Special Education","176","0.106","311.416","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"62","2017-2018","District","100012","Almira School District","Lincoln","Educational Service District 101","100001","22017","Almira School District","100012","NULL","NULL","NULL","NULL","12","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate Detail","NULL","NULL","Substitute Certificate","4","0.333","1","2022-03-06T13:16:14.820"
"63","2017-2018","District","100012","Almira School District","Lincoln","Educational Service District 101","100001","22017","Almira School District","100012","NULL","NULL","NULL","NULL","12","109","0.11009","9.08333","0.11009","14.00","ALL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"64","2017-2018","District","100012","Almira School District","Lincoln","Educational Service District 101","100001","22017","Almira School District","100012","NULL","NULL","NULL","NULL","12","NULL","NULL","NULL","NULL","NULL","Other","Other","5","0.417","2.516","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"65","2017-2018","District","100012","Almira School District","Lincoln","Educational Service District 101","100001","22017","Almira School District","100012","NULL","NULL","NULL","NULL","12","NULL","NULL","NULL","NULL","NULL","CTE","Career and Technical Education","1","0.083","0.000","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"66","2017-2018","District","100012","Almira School District","Lincoln","Educational Service District 101","100001","22017","Almira School District","100012","NULL","NULL","NULL","NULL","12","NULL","NULL","NULL","NULL","NULL","SPED","Special Education","2","0.167","6.031","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"67","2017-2018","District","100012","Almira School District","Lincoln","Educational Service District 101","100001","22017","Almira School District","100012","NULL","NULL","NULL","NULL","12","NULL","NULL","NULL","NULL","NULL","Basic Ed","Basic Education","12","1.000","21.754","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"68","2017-2018","District","100012","Almira School District","Lincoln","Educational Service District 101","100001","22017","Almira School District","100012","NULL","NULL","NULL","NULL","12","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Full Certificate","11","0.917","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"69","2017-2018","District","100012","Almira School District","Lincoln","Educational Service District 101","100001","22017","Almira School District","100012","NULL","NULL","NULL","NULL","12","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate","6","0.500","All Limited Certificates","NULL","NULL","1","2022-03-06T13:16:14.820"
"1310","2017-2018","District","100117","Kent School District","King","Puget Sound Educational Service District 121","100006","17415","Kent School District","100117","NULL","NULL","NULL","NULL","1668","27544","0.06056","16.51319","0.06056","18.00","ALL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"1311","2017-2018","District","100118","Kettle Falls School District","Stevens","Educational Service District 101","100001","33212","Kettle Falls School District","100118","NULL","NULL","NULL","NULL","57","1001","0.05694","17.56140","0.05694","15.00","ALL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"1312","2017-2018","District","100118","Kettle Falls School District","Stevens","Educational Service District 101","100001","33212","Kettle Falls School District","100118","NULL","NULL","NULL","NULL","57","NULL","NULL","NULL","NULL","NULL","SPED","Special Education","7","0.123","6.452","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"70","2017-2018","District","100013","Anacortes School District","Skagit","Northwest Educational Service District 189","100009","29103","Anacortes School District","100013","NULL","NULL","NULL","NULL","158","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Full Certificate","145","0.918","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"1313","2017-2018","District","100118","Kettle Falls School District","Stevens","Educational Service District 101","100001","33212","Kettle Falls School District","100118","NULL","NULL","NULL","NULL","57","NULL","NULL","NULL","NULL","NULL","Basic Ed","Basic Education","53","0.930","61.526","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"1357","2017-2018","District","100122","La Center School District","Clark","Educational Service District 112","100003","06101","La Center School District","100122","NULL","NULL","NULL","NULL","103","NULL","NULL","NULL","NULL","NULL","ALE","Alternative Learning Experience","2","0.019","1.973","All","NULL","NULL","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
"71","2017-2018","District","100013","Anacortes School District","Skagit","Northwest Educational Service District 189","100009","29103","Anacortes School District","100013","NULL","NULL","NULL","NULL","158","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","Limited Certificate","31","0.196","All Limited Certificates","NULL","NULL","1","2022-03-06T13:16:14.820"
"72","2017-2018","District","100013","Anacortes School District","Skagit","Northwest Educational Service District 189","100009","29103","Anacortes School District","100013","NULL","NULL","NULL","NULL","158","NULL","NULL","NULL","NULL","NULL","All","NULL","NULL","NULL","NULL","National Board Certificate","15","0.095","NULL","NULL","NULL","1","2022-03-06T13:16:14.820"
