"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","gradelevel","all_students","female","gender_x","male","american_indian_alaskan_native","asian","black_african_american","hispanic_latino_of_any_race","native_hawaiian_other_pacific","two_or_more_races","white","english_language_learners","foster_care","highly_capable","homeless","low_income","migrant","military_parent","mobile","section_504","students_with_disabilities","non_english_language_learners","non_foster_care","non_highly_capable","non_homeless","non_low_income","non_migrant","non_military_parent","non_mobile","non_section_504","students_without_disabilities","dataasof"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"8th Grade","85819","41517","343","43959","1138","7176","3780","22170","1114","7900","42536","7975","346","6962","2244","41097","1901","1957","1263","4741","11632","77844","85473","78857","83575","44722","83918","83862","84556","81078","74187","2022-04-22T00:00:00.000"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"9th Grade","87795","41964","516","45315","1123","7112","3964","22538","1131","7869","44057","8032","321","6772","2206","41345","1939","1930","1368","5144","11346","79763","87474","81023","85589","46450","85856","85865","86427","82651","76449","2022-04-22T00:00:00.000"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"AllGrades","1091404","525553","3724","562127","13694","92566","50718","274965","14307","100480","544625","136198","4459","68183","29846","509107","21865","30095","21454","44433","158720","955206","1086942","1023221","1061558","582297","1069539","1061309","1069950","1046971","932684","2022-04-22T00:00:00.000"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Half-day Kindergarten","414","208","0","206","6","15","12","45","4","45","287","20","0","2","13","134","1","16","7","2","41","394","411","412","401","280","413","398","407","412","373","2022-04-22T00:00:00.000"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Kindergarten","78193","37655","143","40395","893","6566","3775","19874","1062","7717","38287","15199","244","608","2078","33191","1191","3144","1450","491","10227","62994","77949","77585","76115","45002","77002","75049","76743","77702","67966","2022-04-22T00:00:00.000"
"2021-22","State","Multiple","State Total",,,"State Total",,,"State Total",,,"Pre-Kindergarten","21102","8675","90","12337","226","1667","1644","6138","198","1816","9405","16","45","0","558","10661","148","920","1293","38","9698","21086","21057","21102","20544","10441","20954","20182","19809","21064","11404","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","1st Grade","47","26","0","21","1","1","1","16","0","5","23","13","0","0","2","40","1","0","0","0","12","34","46","47","45","7","46","47","47","47","35","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","2nd Grade","46","25","0","21","3","0","1","19","1","2","20","9","0","0","1","41","1","0","0","2","10","37","46","46","45","5","45","46","46","44","36","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","3rd Grade","57","37","0","20","2","1","1","30","0","3","20","14","0","0","0","52","6","1","1","4","8","43","56","57","57","5","51","56","56","53","49","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","4th Grade","44","21","0","23","1","0","1","19","0","2","21","3","0","1","0","37","1","0","0","3","11","41","43","43","44","7","43","44","44","41","33","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","5th Grade","46","23","0","23","0","0","0","18","1","7","20","10","0","1","2","40","1","0","1","2","16","36","45","45","44","6","45","46","45","44","30","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","AllGrades","293","154","0","139","10","2","4","122","2","22","131","59","0","2","6","248","10","1","4","11","69","234","289","291","287","45","283","292","289","282","224","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2834","A J West Elementary","100863","P","Kindergarten","53","22","0","31","3","0","0","20","0","3","27","10","0","0","1","38","0","0","2","0","12","43","53","53","52","15","53","53","51","53","41","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3216","Central Park Elementary","100867","P","1st Grade","20","15","0","5","1","0","0","0","0","3","16","0","0","0","0","13","0","0","3","0","2","20","18","20","20","7","20","20","17","20","18","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3216","Central Park Elementary","100867","P","2nd Grade","21","12","0","9","0","0","0","4","0","1","16","3","0","0","0","17","1","0","0","1","2","18","20","21","21","4","20","21","21","20","19","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3216","Central Park Elementary","100867","P","3rd Grade","31","15","0","16","2","1","0","3","0","3","22","4","0","1","0","22","0","0","1","2","2","27","29","30","31","9","31","31","30","29","29","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3216","Central Park Elementary","100867","P","4th Grade","26","11","0","15","1","1","0","3","0","3","18","0","0","0","0","16","0","2","2","1","3","26","26","26","26","10","26","24","24","25","23","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3216","Central Park Elementary","100867","P","5th Grade","16","8","0","8","0","0","0","1","0","0","15","0","0","2","1","10","0","1","0","0","2","16","15","14","15","6","16","15","16","16","14","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3216","Central Park Elementary","100867","P","AllGrades","134","68","0","66","4","2","0","13","0","12","103","7","0","3","1","91","1","4","8","4","12","127","128","131","133","43","133","130","126","130","122","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3216","Central Park Elementary","100867","P","Kindergarten","20","7","0","13","0","0","0","2","0","2","16","0","0","0","0","13","0","1","2","0","1","20","20","20","20","7","20","19","18","20","19","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","5514","Grays Harbor Academy","106145","A","10th Grade","18","8","0","10","1","0","0","5","0","2","10","1","0","1","1","8","0","1","8","2","4","17","18","17","17","10","18","17","10","16","14","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","5514","Grays Harbor Academy","106145","A","11th Grade","5","3","0","2","0","0","0","1","0","0","4","0","0","0","0","4","0","0","1","1","1","5","5","5","5","1","5","5","4","4","4","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","5514","Grays Harbor Academy","106145","A","12th Grade","14","10","0","4","0","0","0","4","0","2","8","0","0","0","0","5","0","0","6","0","2","14","14","14","14","9","14","14","8","14","12","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","5514","Grays Harbor Academy","106145","A","1st Grade","5","3","0","2","0","0","0","4","0","0","1","0","0","0","0","2","0","0","1","0","1","5","5","5","5","3","5","5","4","5","4","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","5514","Grays Harbor Academy","106145","A","2nd Grade","6","1","0","5","1","0","0","2","0","2","1","0","0","0","0","5","0","0","2","0","1","6","6","6","6","1","6","6","4","6","5","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","5514","Grays Harbor Academy","106145","A","3rd Grade","3","0","0","3","0","0","0","1","0","0","2","0","0","0","0","1","0","0","1","0","1","3","3","3","3","2","3","3","2","3","2","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","5514","Grays Harbor Academy","106145","A","4th Grade","5","3","0","2","0","1","0","0","0","2","2","0","0","0","0","4","0","0","0","0","0","5","5","5","5","1","5","5","5","5","5","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","5514","Grays Harbor Academy","106145","A","5th Grade","5","2","0","3","0","1","0","1","0","1","2","1","0","1","0","1","0","1","3","0","1","4","5","4","5","4","5","4","2","5","4","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","5514","Grays Harbor Academy","106145","A","6th Grade","14","8","0","6","0","1","1","3","0","1","8","0","0","0","0","8","0","0","4","0","3","14","13","14","14","6","14","14","10","14","11","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","5514","Grays Harbor Academy","106145","A","7th Grade","7","2","0","5","0","0","0","3","0","1","3","0","0","0","0","5","0","0","1","0","1","7","7","7","7","2","7","7","6","7","6","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","5514","Grays Harbor Academy","106145","A","8th Grade","10","4","0","6","1","0","0","2","0","2","5","0","0","1","0","7","0","1","3","0","3","10","10","9","10","3","10","9","7","10","7","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","5514","Grays Harbor Academy","106145","A","9th Grade","9","4","0","5","0","0","0","4","0","0","5","1","0","0","0","6","0","0","2","1","2","8","8","9","9","3","9","9","7","8","7","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","5514","Grays Harbor Academy","106145","A","AllGrades","104","50","0","54","3","3","2","32","0","13","51","3","0","3","1","58","0","3","32","4","20","101","102","101","103","46","104","101","72","100","84","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","5514","Grays Harbor Academy","106145","A","Kindergarten","3","2","0","1","0","0","1","2","0","0","0","0","0","0","0","2","0","0","0","0","0","3","3","3","3","1","3","3","3","3","3","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","4267","Grays Harbor Juvenile Detention","100871","J","10th Grade","4","1","0","3","0","0","0","1","0","0","3","0","0","0","0","2","0","1","3","1","0","4","4","4","4","2","4","3","1","3","4","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","4267","Grays Harbor Juvenile Detention","100871","J","12th Grade","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","1","1","1","0","1","1","0","1","1","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","4267","Grays Harbor Juvenile Detention","100871","J","8th Grade","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","4267","Grays Harbor Juvenile Detention","100871","J","9th Grade","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","1","1","1","0","1","1","1","0","1","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","4267","Grays Harbor Juvenile Detention","100871","J","AllGrades","7","2","0","5","0","0","0","1","0","0","6","0","0","0","0","4","0","1","5","2","1","7","7","7","7","3","7","6","2","5","6","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3857","Harbor Junior/Senior High School","100869","P","10th Grade","7","3","0","4","1","0","1","1","0","0","4","1","0","0","2","6","0","0","0","1","2","6","7","7","5","1","7","7","7","6","5","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3857","Harbor Junior/Senior High School","100869","P","11th Grade","15","9","0","6","0","0","0","4","0","3","8","0","0","0","2","12","0","0","4","1","4","15","15","15","13","3","15","15","11","14","11","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3857","Harbor Junior/Senior High School","100869","P","12th Grade","31","17","0","14","1","0","1","11","0","1","17","3","0","0","3","19","0","0","9","1","4","28","31","31","28","12","31","31","22","30","27","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3857","Harbor Junior/Senior High School","100869","P","7th Grade","2","0","0","2","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","2","2","2","2","1","2","2","2","1","2","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3857","Harbor Junior/Senior High School","100869","P","8th Grade","3","1","0","2","1","0","0","0","0","1","1","0","0","1","1","3","0","0","0","0","1","3","3","2","2","0","3","3","3","3","2","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3857","Harbor Junior/Senior High School","100869","P","9th Grade","11","5","0","6","1","0","0","3","0","0","7","0","0","0","2","9","0","1","3","3","2","11","10","11","9","2","11","10","8","8","9","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3857","Harbor Junior/Senior High School","100869","P","AllGrades","69","35","0","34","4","0","2","20","0","5","38","4","0","1","10","50","0","1","16","7","13","65","68","68","59","19","69","68","53","62","56","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","5663","Harbor Open Doors","106735","R","12th Grade","7","5","0","2","0","0","0","4","0","2","1","0","0","0","0","6","0","0","5","0","2","7","7","7","7","1","7","7","2","7","5","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","5663","Harbor Open Doors","106735","R","AllGrades","7","5","0","2","0","0","0","4","0","2","1","0","0","0","0","6","0","0","5","0","2","7","7","7","7","1","7","7","2","7","5","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3154","Hopkins Elementary","100866","P","AllGrades","105","50","0","55","3","1","1","39","0","3","58","0","0","0","2","99","0","1","7","0","39","105","104","105","103","6","105","104","98","105","66","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3154","Hopkins Elementary","100866","P","Pre-Kindergarten","105","50","0","55","3","1","1","39","0","3","58","0","0","0","2","99","0","1","7","0","39","105","104","105","103","6","105","104","98","105","66","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3476","J M Weatherwax High School","100868","P","10th Grade","238","126","0","112","7","4","1","79","0","21","126","22","0","7","5","158","4","5","21","13","28","216","236","231","233","80","234","233","217","225","210","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3476","J M Weatherwax High School","100868","P","11th Grade","222","105","0","117","8","7","1","88","0","10","108","40","0","6","3","122","6","1","28","10","33","182","221","216","219","100","216","221","194","212","189","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3476","J M Weatherwax High School","100868","P","12th Grade","208","105","0","103","5","6","1","73","1","9","113","24","0","8","6","121","6","1","19","11","36","184","208","200","202","87","202","207","189","197","172","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3476","J M Weatherwax High School","100868","P","7th Grade","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","1","1","0","1","1","1","1","0","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3476","J M Weatherwax High School","100868","P","9th Grade","257","133","0","124","4","5","4","94","0","13","137","24","0","3","4","189","5","2","20","14","42","233","256","254","253","68","252","255","237","243","215","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","3476","J M Weatherwax High School","100868","P","AllGrades","926","469","0","457","24","22","7","335","1","53","484","111","0","24","18","591","21","9","88","48","140","815","922","902","908","335","905","917","838","878","786","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2449","McDermoth Elementary","100861","P","1st Grade","36","19","0","17","0","2","0","13","0","3","18","11","0","0","0","28","0","0","0","0","5","25","36","36","36","8","36","36","36","36","31","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2449","McDermoth Elementary","100861","P","2nd Grade","49","28","0","21","0","2","1","11","0","2","33","6","0","2","0","29","0","2","1","1","8","43","49","47","49","20","49","47","48","48","41","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2449","McDermoth Elementary","100861","P","3rd Grade","53","26","0","27","1","0","1","13","0","8","30","3","0","4","0","44","0","0","3","1","10","50","53","49","53","9","53","53","50","52","43","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2449","McDermoth Elementary","100861","P","4th Grade","43","26","0","17","0","1","1","13","0","5","23","8","0","3","1","33","2","0","1","1","2","35","43","40","42","10","41","43","42","42","41","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2449","McDermoth Elementary","100861","P","5th Grade","54","31","0","23","0","1","1","15","0","6","31","8","0","1","0","41","0","1","3","2","8","46","53","53","54","13","54","53","51","52","46","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2449","McDermoth Elementary","100861","P","6th Grade","2","1","0","1","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","2","2","2","2","0","2","2","2","2","2","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2449","McDermoth Elementary","100861","P","AllGrades","285","158","0","127","1","7","5","83","0","31","158","44","0","10","2","205","2","7","8","5","42","241","284","275","283","80","283","278","277","280","243","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2449","McDermoth Elementary","100861","P","Kindergarten","48","27","0","21","0","1","1","16","0","7","23","8","0","0","1","28","0","4","0","0","9","40","48","48","47","20","48","44","48","48","39","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2305","Miller Junior High","100860","P","6th Grade","230","127","0","103","4","4","1","81","0","20","120","29","0","5","2","168","6","3","10","15","39","201","229","225","228","62","224","227","220","215","191","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2305","Miller Junior High","100860","P","7th Grade","244","114","0","130","7","4","2","85","2","14","130","33","0","7","3","176","5","4","13","14","49","211","244","237","241","68","239","240","231","230","195","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2305","Miller Junior High","100860","P","8th Grade","268","123","0","145","6","6","2","88","1","20","145","29","0","13","2","198","7","2","14","16","39","239","266","255","266","70","261","266","254","252","229","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2305","Miller Junior High","100860","P","AllGrades","742","364","0","378","17","14","5","254","3","54","395","91","0","25","7","542","18","9","37","45","127","651","739","717","735","200","724","733","705","697","615","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2763","Robert Gray Elementary","100862","P","1st Grade","38","17","0","21","0","0","0","19","1","3","15","12","0","0","0","32","2","0","3","0","6","26","38","38","38","6","36","38","35","38","32","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2763","Robert Gray Elementary","100862","P","2nd Grade","37","12","0","25","2","0","0","20","0","4","11","11","0","0","0","35","1","0","2","0","7","26","37","37","37","2","36","37","35","37","30","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2763","Robert Gray Elementary","100862","P","3rd Grade","51","25","0","26","0","0","1","17","1","2","30","9","0","1","0","48","3","0","1","1","17","42","51","50","51","3","48","51","50","50","34","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2763","Robert Gray Elementary","100862","P","4th Grade","43","22","0","21","0","0","1","15","0","4","23","5","0","1","0","34","3","1","6","2","8","38","42","42","43","9","40","42","37","41","35","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2763","Robert Gray Elementary","100862","P","5th Grade","50","28","0","22","0","0","1","20","0","2","27","6","0","2","0","37","2","0","2","4","7","44","50","48","50","13","48","50","48","46","43","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2763","Robert Gray Elementary","100862","P","AllGrades","259","125","0","134","2","0","3","110","2","17","125","51","0","4","2","224","11","1","16","7","54","208","258","255","257","35","248","258","243","252","205","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2763","Robert Gray Elementary","100862","P","Kindergarten","40","21","0","19","0","0","0","19","0","2","19","8","0","0","2","38","0","0","2","0","9","32","40","40","38","2","40","40","38","40","31","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2971","Stevens Elementary School","100864","P","1st Grade","40","15","0","25","1","1","0","23","0","5","10","19","0","0","0","36","3","0","1","0","5","21","40","40","40","4","37","40","39","40","35","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2971","Stevens Elementary School","100864","P","2nd Grade","46","22","0","24","0","1","1","16","0","4","24","10","0","0","2","38","1","0","1","2","9","36","45","46","44","8","45","46","45","44","37","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2971","Stevens Elementary School","100864","P","3rd Grade","63","32","0","31","1","0","1","25","0","7","29","14","0","1","0","55","3","0","3","1","7","49","63","62","63","8","60","63","60","62","56","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2971","Stevens Elementary School","100864","P","4th Grade","50","26","0","24","0","1","2","18","0","8","21","5","0","2","1","44","1","1","2","2","3","45","50","48","49","6","49","49","48","48","47","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2971","Stevens Elementary School","100864","P","5th Grade","52","23","0","29","2","0","2","25","0","5","18","17","0","0","0","47","2","0","1","3","10","35","52","52","52","5","50","52","51","49","42","2022-04-22T00:00:00.000"
"2021-22","School","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","2971","Stevens Elementary School","100864","P","AllGrades","351","169","0","182","6","3","7","151","0","35","149","80","0","3","4","312","13","2","15","11","55","271","350","348","347","39","338","349","336","340","296","2022-04-22T00:00:00.000"
