"rowid","schoolyear","organizationlevel","organizationid","organizationname","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","programdesignid","programdesign","languageid","languageofinstruction","programmodel","dl_lowestgradelevelcode","dl_highestgradelevelcode","websiteduallanguageeducation","hasdlprogramming","dataasof","latitude","longitude","physicaladdress","mailingaddress","districtcountdlschools","districtcountdlprograms"
"11","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17210","Federal Way School District","100086","3567","Sunnycrest Elementary School","101197","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.fwps.org/domain/603","1","2021-02-18T00:00:00.000","47.38085855","-122.2818409","24629 42ND AV S, KENT, Washington, 98032-4197","24629 42ND AV S, KENT, Washington, 98032-4197","1","1"
"12","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17401","Highline School District","100105","3163","Cascade Middle School","101283","P","2","Two-way","243","Spanish","50-50","6","8","http://www.highlineschools.org/cascade","1","2021-02-18T00:00:00.000","47.502156","-122.346434","11212 10th Ave Sw, Seattle, Washington, 98146-2297","11212 10th Ave Sw, Seattle, Washington, 98146-2297","5","5"
"13","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17401","Highline School District","100105","3165","Hilltop Elementary","101285","P","2","Two-way","243","Spanish","50-50","Kindergarten","6","http://www.highlineschools.org/Page/1245","1","2021-02-18T00:00:00.000","47.49302588","-122.3012604","12250 24th Ave S, Seattle, Washington, 98168-2424","12250 24th Ave S, Seattle, Washington, 98168-2424","5","5"
"14","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17401","Highline School District","100105","3278","Madrona Elementary","101290","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.highlineschools.org/site/Default.aspx?PageID=1244","1","2021-02-18T00:00:00.000","47.42014","-122.292911","20301 32nd Ave South, SeaTac, Washington, 98198-5825","20301 32nd Avenue South, SeaTac, Washington, 98198","5","5"
"15","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17401","Highline School District","100105","2144","Mount View Elementary","101254","P","2","Two-way","243","Spanish","50-50","Kindergarten","6","http://www.highlineschools.org/Page/1349","1","2021-02-18T00:00:00.000","47.506391","-122.35076","10811 12th Ave SW, Seattle, Washington, 98146-2125","10811 12th Ave SW, Seattle, Washington, 98146-2125","5","5"
"16","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17401","Highline School District","100105","2639","White Center Heights Elementary","101260","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.highlineschools.org/Page/1523","1","2021-02-18T00:00:00.000","47.513194","-122.34427","10015 6th Ave SW, Seattle, Washington, 98168-1472","10015 6th Avenue Southwest, Seattle, Washington, 98146","5","5"
"17","2016-17","State","103300","Washington State","Multiple","Educational Service District 123","100007","3017","Kennewick School District","100116","4418","Amistad Elementary School","100381","P","1","One-way","243","Spanish","80-20","Kindergarten","5","https://amistad.ksd.org/Programs/Bilingual-Program","1","2021-02-18T00:00:00.000","46.20759","-119.130979","123 S Kent St, KENNEWICK, Washington, 99336-6061","123 S Kent St, KENNEWICK, Washington, 99336-6061","6","6"
"18","2016-17","State","103300","Washington State","Multiple","Educational Service District 123","100007","3017","Kennewick School District","100116","2824","Eastgate Elementary School","100361","P","1","One-way","243","Spanish","80-20","Kindergarten","5","https://eastgate.ksd.org/Programs/Bilingual-Program","1","2021-02-18T00:00:00.000","46.197761","-119.103452","910 EAST 10TH AVENUE, KENNEWICK, Washington, 99336-5926","910 EAST 10TH AVENUE, KENNEWICK, Washington, 99336-5926","6","6"
"19","2016-17","State","103300","Washington State","Multiple","Educational Service District 123","100007","3017","Kennewick School District","100116","3315","Edison Elementary School","100367","P","NULL","NULL","243","Spanish","NULL","NULL","NULL","http://edison.ksd.org/Programs/Bilingual-Program","1","2021-02-18T00:00:00.000","46.208212","-119.189878","201 SOUTH DAWES STREET, KENNEWICK, Washington, 99336-2047","201 SOUTH DAWES STREET, KENNEWICK, Washington, 99336-2047","6","6"
"20","2016-17","State","103300","Washington State","Multiple","Educational Service District 123","100007","3017","Kennewick School District","100116","3077","Hawthorne Elementary School","100364","P","NULL","NULL","243","Spanish","NULL","NULL","NULL","http://hawthorne.ksd.org/Programs/Dual-Language","1","2021-02-18T00:00:00.000","46.218352","-119.168836","3520 WEST JOHN DAY AVENUE, KENNEWICK, Washington, 99336-2456","3520 WEST JOHN DAY AVENUE, KENNEWICK, Washington, 99336-2456","6","6"
"21","2016-17","State","103300","Washington State","Multiple","Educational Service District 123","100007","3017","Kennewick School District","100116","3267","Highlands Middle School","100366","P","2","Two-way","243","Spanish","50-50","6","8","http://highlands.ksd.org/","1","2021-02-18T00:00:00.000","46.205338","-119.177401","425 SOUTH TWEEDT STREET, KENNEWICK, Washington, 99336-4399","425 SOUTH TWEEDT STREET, KENNEWICK, Washington, 99336-4399","6","6"
"22","2016-17","State","103300","Washington State","Multiple","Educational Service District 123","100007","3017","Kennewick School District","100116","3472","Park Middle School","100369","P","2","Two-way","243","Spanish","50-50","Kindergarten","8","https://park.ksd.org/","1","2021-02-18T00:00:00.000","46.197693","-119.131871","1011 WEST 10TH AVENUE, KENNEWICK, Washington, 99336-6097","1011 WEST 10TH AVENUE, KENNEWICK, Washington, 99336-6097","6","6"
"23","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17415","Kent School District","100117","4353","Carriage Crest Elementary School","101606","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.kent.k12.wa.us/duallanguage","1","2021-02-18T00:00:00.000","47.438125","-122.156557","18235 140th Ave SE, Renton, Washington, 98058-6816","18235 140th Ave SE, Renton, Washington, 98058-6816","4","5"
"24","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17415","Kent School District","100117","4520","Kent Elementary School","101616","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.kent.k12.wa.us/duallanguage","1","2021-02-18T00:00:00.000","47.380075","-122.25157","24700 64th Ave S, Kent, Washington, 98032-6169","24700 64th Ave S, Kent, Washington, 98032-6169","4","5"
"25","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17415","Kent School District","100117","4520","Kent Elementary School","101616","P","2","Two-way","243","Spanish","50-50","Kindergarten","Kindergarten","http://www.kent.k12.wa.us/duallanguage","1","2021-02-18T00:00:00.000","47.380075","-122.25157","24700 64th Ave S, Kent, Washington, 98032-6169","24700 64th Ave S, Kent, Washington, 98032-6169","4","5"
"26","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17415","Kent School District","100117","4356","Neely O Brien Elementary School","101607","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.kent.k12.wa.us/duallanguage","1","2021-02-18T00:00:00.000","47.391552","-122.256599","6300 S 236th ST, Kent, Washington, 98032-2690","6300 S 236th ST, Kent, Washington, 98032-2690","4","5"
"27","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17415","Kent School District","100117","3389","Scenic Hill Elementary School","101580","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.kent.k12.wa.us/duallanguage","1","2021-02-18T00:00:00.000","47.368498","-122.211228","26025 Woodland Way S, Kent, Washington, 98030-6363","26025 Woodland Way S, Kent, Washington, 98030-6363","4","5"
"28","2016-17","State","103300","Washington State","Multiple","Educational Service District 105","100002","39120","Mabton School District","100137","3070","Artz Fox Elementary","103225","P","2","Two-way","243","Spanish","80-20","Kindergarten","5","http://www.mabton.wednet.edu/Domain/77","1","2021-02-18T00:00:00.000","46.215326","-119.990285","805 Washington Street, Mabton, Washington, 98935-0040","PO Box 40, Mabton, Washington, 98935-0040","1","1"
"29","2016-17","State","103300","Washington State","Multiple","Northwest Educational Service District 189","100009","31103","Monroe School District","100150","3060","Frank Wagner Elementary","102607","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.monroe.wednet.edu/pages/schools/fwe.html","1","2021-02-18T00:00:00.000","47.854047","-121.981307","115 Dickinson Rd., Monroe, Washington, 98272-2126","115 Dickinson Rd., Monroe, Washington, 98272-2126","1","1"
"30","2016-17","State","103300","Washington State","Multiple","Northwest Educational Service District 189","100009","29320","Mount Vernon School District","100158","3821","La Venture Middle School","102411","P","2","Two-way","243","Spanish","50-50","6","8","http://laventure.mountvernonschools.org/pages/LaVenture_Middle","1","2021-02-18T00:00:00.000","48.431005","-122.312169","1200 LaVenture Rd, Mount Vernon, Washington, 98273-2762","1200 LaVenture Rd, Mount Vernon, Washington, 98273-2762","2","2"
"31","2016-17","State","103300","Washington State","Multiple","Northwest Educational Service District 189","100009","29320","Mount Vernon School District","100158","3001","Madison Elementary","102408","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://madison.mountvernonschools.org/pages/MtVernon_MadisonES","1","2021-02-18T00:00:00.000","48.429069","-122.32867","400 53rd St, Mount Vernon, Washington, 98273-2971","400 53rd St, Mount Vernon, Washington, 98273-2971","2","2"
"32","2016-17","State","103300","Washington State","Multiple","Olympic Educational Service District 114","100005","18400","North Kitsap School District","100169","2476","Poulsbo Middle School","101703","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://poulsboelementary.nkschools.org/","1","2021-02-18T00:00:00.000","47.73295","-122.622352","2003 NE Hostmark St, Poulsbo, Washington, 98370-7639","2003 NE Hostmark St, Poulsbo, Washington, 98370-7639","2","2"
"33","2016-17","State","103300","Washington State","Multiple","Olympic Educational Service District 114","100005","18400","North Kitsap School District","100169","4461","Vinland Elementary","101712","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.nkschools.org/cms/One.aspx?portalId=419589&pageId=17756703","1","2021-02-18T00:00:00.000","47.763843","-122.674288","22104 Rhododendron Ln NW, Poulsbo, Washington, 98370-9406","22104 Rhododendron Ln NW, Poulsbo, Washington, 98370-9406","2","2"
"34","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17417","Northshore School District","100174","3749","Woodin Elementary","101642","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.nsd.org/Page/7559","1","2021-02-18T00:00:00.000","47.768252","-122.16759","12950 NE 195 ST, Bothell, Washington, 98011-2537","12950 NE 195 ST, Bothell, Washington, 98011-2537","1","1"
"35","2016-17","State","103300","Washington State","Multiple","Educational Service District 123","100007","1147","Othello School District","100192","2902","Lutacaga Elementary","100331","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.othelloschools.org/lutacaga/","1","2021-02-18T00:00:00.000","46.817917","-119.164046","795 S 7th Ave, Othello, Washington, 99344-1463","795 S 7th Ave, Othello, Washington, 99344-1463","1","1"
"36","2016-17","State","103300","Washington State","Multiple","Educational Service District 123","100007","11001","Pasco School District","100195","4595","Maya Angelou Elementary","103956","P","2","Two-way","243","Spanish","80-20","Kindergarten","6","http://www.psd1.org/domain/539","1","2021-02-18T00:00:00.000","46.28163509","-119.1995222","6001 ROAD 84, Pasco, Washington, 99301-6763","6001 ROAD 84, Pasco, Washington, 99301-6763","2","2"
"37","2016-17","State","103300","Washington State","Multiple","Educational Service District 123","100007","11001","Pasco School District","100195","2267","Mcloughlin Middle School","100759","P","2","Two-way","243","Spanish","80-20","6","8","http://www.psd1.org/site/Default.aspx?PageID=1238","1","2021-02-18T00:00:00.000","46.253901","-119.205039","2803 N ROAD 88, PASCO, Washington, 99301-1691","2803 N ROAD 88, PASCO, Washington, 99301-1691","2","2"
"38","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","2070","Beacon Hill International School","101039","P","1","One-way","243","Spanish","50-50","Kindergarten","5","http://beaconhilles.seattleschools.org/","1","2021-02-18T00:00:00.000","47.585116","-122.315256","2025 14 AV S, SEATTLE, Washington, 98144-4205","2025 14 AV S, SEATTLE, Washington, 98144-4205","6","6"
"39","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","3096","Chief Sealth International High School","101118","P","1","One-way","243","Spanish","50-50","9","9","https://chiefsealthhs.seattleschools.org/","1","2021-02-18T00:00:00.000","47.52863786","-122.3661694","2600 SW Thistle, SEATTLE, Washington, 98126-3748","2600 SW Thistle, SEATTLE, Washington, 98126-3748","6","6"
"40","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","2199","Concord International School","101064","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://concordes.seattleschools.org/about/dual_language_information","1","2021-02-18T00:00:00.000","47.523677","-122.324108","723 S CONCORD ST, SEATTLE, Washington, 98108-4641","723 S CONCORD ST, SEATTLE, Washington, 98108-4641","6","6"
"41","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","2839","David T. Denny International Middle School","101107","P","1","One-way","243","Spanish","50-50","6","8","http://dennyms.seattleschools.org/","1","2021-02-18T00:00:00.000","47.53101849","-122.3653763","2601 SW Kenyon St, SEATTLE, Washington, 98126","2601 SW Kenyon St, SEATTLE, Washington, 98126","6","6"
"42","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","3803","Dearborn Park International School","101145","P","1","One-way","243","Spanish","50-50","Kindergarten","5","http://dearbornes.seattleschools.org/about/dual_language_immersion_program","1","2021-02-18T00:00:00.000","47.552323","-122.296283","2820 S ORCAS ST, SEATTLE, Washington, 98108-3066","2820 S ORCAS ST, SEATTLE, Washington, 98108-3066","6","6"
"43","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","3095","Mercer International Middle School","101117","P","2","Two-way","243","Spanish","50-50","6","8","https://mercerms.seattleschools.org/academics/international_education","1","2021-02-18T00:00:00.000","47.563903","-122.311187","1600 S COLUMBIAN WY, SEATTLE, Washington, 98108-1565","1600 S COLUMBIAN WY, SEATTLE, Washington, 98108-1565","6","6"
"44","2016-17","State","103300","Washington State","Multiple","Educational Service District 105","100002","39119","Selah School District","100231","5383","John Campbell Primary School","105888","P","2","Two-way","243","Spanish","50-50","Kindergarten","2","http://www.selah.k12.wa.us/JC/index.cfm?v=dlip","1","2021-02-18T00:00:00.000","46.658641","-120.531048","408 North First Street, Selah, Washington, 98942","408 North First Street, Selah, Washington, 98942","1","1"
"45","2016-17","State","103300","Washington State","Multiple","Capital Region ESD 113","100004","23309","Shelton School District","100235","2745","Evergreen Elementary School","101912","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","https://www.sheltonschools.org/Evergreen/About/SitePages/DualLanguage.aspx","1","2021-02-18T00:00:00.000","47.215149","-123.109744","900 W. Franklin St., Shelton, Washington, 98584-2551","900 W. Franklin St., Shelton, Washington, 98584-2551","1","1"
"46","2016-17","State","103300","Washington State","Multiple","Puget Sound Educational Service District 121","100006","27010","Tacoma School District","100261","2094","Blix Elementary","102102","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","https://www.tacomaschools.org/blix/Pages/default.aspx","1","2021-02-18T00:00:00.000","47.222179","-122.412363","1302 E 38th St, Tacoma, Washington, 98404-0000","1302 E 38th St, Tacoma, Washington, 98404-0000","1","1"
"47","2016-17","State","103300","Washington State","Multiple","Educational Service District 112","100003","6037","Vancouver School District","100278","3016","Sarah J Anderson Elementary","100535","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://vansd.org/dual-language-program/","1","2021-02-18T00:00:00.000","45.695363","-122.648879","2215 NE 104TH ST, VANCOUVER, Washington, 98686-5641","2215 NE 104TH ST, VANCOUVER, Washington, 98686-5641","1","1"
"48","2016-17","State","103300","Washington State","Multiple","Educational Service District 123","100007","36140","Walla Walla Public Schools","100283","2528","Edison Elementary School","103016","P","2","Two-way","243","Spanish","80-20","Kindergarten","5","http://www.edisonshockers.org/index.php?option=com_content&view=article&id=110&Itemid=206","1","2021-02-18T00:00:00.000","46.068216","-118.309222","1315 E ALDER ST, WALLA WALLA, Washington, 99362-3598","1315 E ALDER ST, WALLA WALLA, Washington, 99362-3598","5","5"
"49","2016-17","State","103300","Washington State","Multiple","Educational Service District 123","100007","36140","Walla Walla Public Schools","100283","3510","Garrison Middle School","103020","P","2","Two-way","243","Spanish","80-20","6","8","http://www.garrisonmiddleschool.org/c-p/dual-language-and-esl","1","2021-02-18T00:00:00.000","46.054643","-118.341451","906 CHASE ST, WALLA WALLA, Washington, 99362-3996","906 CHASE ST, WALLA WALLA, Washington, 99362-3996","5","5"
"50","2016-17","State","103300","Washington State","Multiple","Educational Service District 123","100007","36140","Walla Walla Public Schools","100283","2078","Green Park Elementary School","103013","P","2","Two-way","243","Spanish","80-20","Kindergarten","5","http://www.greenparkelementary.org/index.php?option=com_content&view=article&id=86&Itemid=189","1","2021-02-18T00:00:00.000","46.074326","-118.322574","1105 E ISAACS AVE, WALLA WALLA, Washington, 99362-2199","1105 E ISAACS AVE, WALLA WALLA, Washington, 99362-2199","5","5"
"51","2016-17","State","103300","Washington State","Multiple","Educational Service District 123","100007","36140","Walla Walla Public Schools","100283","2780","Pioneer Middle School","103017","P","2","Two-way","243","Spanish","80-20","6","8","http://www.pioneer49ers.org/","1","2021-02-18T00:00:00.000","46.064524","-118.310252","450 BRIDGE ST, WALLA WALLA, Washington, 99362-3599","450 BRIDGE ST, WALLA WALLA, Washington, 99362-3599","5","5"
"52","2016-17","State","103300","Washington State","Multiple","Educational Service District 123","100007","36140","Walla Walla Public Schools","100283","3728","Sharpstein Elementary School","103021","P","2","Two-way","243","Spanish","80-20","Kindergarten","5","http://www.wwps.org/departments/transportation/bus-route-schedules/sharpstein-elementary","1","2021-02-18T00:00:00.000","46.064541","-118.325939","410 HOWARD ST, WALLA WALLA, Washington, 99362-3294","410 HOWARD ST, WALLA WALLA, Washington, 99362-3294","5","5"
"53","2016-17","State","103300","Washington State","Multiple","North Central Educational Service District 171","100008","4246","Wenatchee School District","100290","4432","Foothills Middle School","100470","P","2","Two-way","243","Spanish","50-50","6","8","http://www.wenatcheeschools.org/fms/","1","2021-02-18T00:00:00.000","47.443134","-120.336028","1410 MAPLE ST, WENATCHEE, Washington, 98801-0000","1410 MAPLE ST, WENATCHEE, Washington, 98801-0000","2","2"
"54","2016-17","State","103300","Washington State","Multiple","North Central Educational Service District 171","100008","4246","Wenatchee School District","100290","2279","Lewis And Clark Elementary Sch","100460","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.wenatcheeschools.org/lc/Dual-Language-Information.cfm","1","2021-02-18T00:00:00.000","47.438337","-120.33063","1130 PRINCETON, WENATCHEE, Washington, 98801-0000","1130 PRINCETON, WENATCHEE, Washington, 98801-0000","2","2"
"55","2016-17","District","100010","Aberdeen School District","Grays Harbor","Capital Region ESD 113","100004","14005","Aberdeen School District","100010","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"56","2016-17","District","100011","Adna School District","Lewis","Capital Region ESD 113","100004","21226","Adna School District","100011","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"57","2016-17","District","100012","Almira School District","Lincoln","Educational Service District 101","100001","22017","Almira School District","100012","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"58","2016-17","District","100013","Anacortes School District","Skagit","Northwest Educational Service District 189","100009","29103","Anacortes School District","100013","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"59","2016-17","District","100014","Arlington School District","Snohomish","Northwest Educational Service District 189","100009","31016","Arlington School District","100014","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"60","2016-17","District","106185","Ashe Preparatory Academy","King","Washington State Charter School Commission","105798","17915","Ashe Preparatory Academy","106185","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"61","2016-17","District","100015","Asotin-Anatone School District","Asotin","Educational Service District 123","100007","2420","Asotin-Anatone School District","100015","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"62","2016-17","District","100016","Auburn School District","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"63","2016-17","District","100017","Bainbridge Island School District","Kitsap","Puget Sound Educational Service District 121","100006","18303","Bainbridge Island School District","100017","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"64","2016-17","District","104220","Bates Technical College","Pierce","NULL","NULL","27931","Bates Technical College","104220","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"65","2016-17","District","100018","Battle Ground School District","Clark","Educational Service District 112","100003","6119","Battle Ground School District","100018","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"66","2016-17","District","100019","Bellevue School District","King","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","5308","Jing Mei Elementary School","105623","P","2","Two-way","49","Chinese-Mandarin","90-10","Kindergarten","5","https://www.bsd405.org/jingmei/about/mandarin-dual-language/","1","2021-02-18T00:00:00.000","47.55219319","-122.1715153","12635 SE 56th Street, Bellevue, Washington, 98006","12635 SE 56th Street, Bellevue, Washington, 98006","4","4"
"67","2016-17","District","100019","Bellevue School District","King","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","3225","Lake Hills Elementary","101366","P","2","Two-way","243","Spanish","90-10","Kindergarten","5","http://www.bsd405.org/lakehills/about/spanish-dual-language/","1","2021-02-18T00:00:00.000","47.60089","-122.148533","14310 SE 12th Street, Bellevue, Washington, 98007-5596","14310 SE 12th Street, Bellevue, Washington, 98007-5596","4","4"
