"itemtype","title","author","copyrightdate","accessioneddate","replacementprice","missingdate","callnumber","pagecount","runtime","itemcount","itemheight"
"DVD","Inventing tomorrow",,,"7/5/19","20","10/24/19","DVD 613.2 Inv",,"87","1","12"
"DVD","The predator",,,"4/8/19","15","10/24/19","DVD Feature films Pre",,"107","1","12"
"DVD","Rampage",,,"8/24/18","29.95","10/24/19","DVD Feature films Ram",,"108","1","12"
"BOOK","Tiger","Riddolls, Tom,",,"2/5/15","24.99","10/24/19","J 599.756 Rid","24",,,"27"
"BOOK","Yellow hippo","Rogers, Alan","1990","9/1/00","11.95","10/24/19","JE Rog",,,,"21"
"DVD","Kayla",,"2003","1/16/06","19.99","10/28/19","DVD Feature films Kay",,"96","1","12"
"BBOOK","1 2 3","Bonnet, Rosalinde","2012","4/15/15","10.99","10/29/19","JE BB Bon",,,,"18"
"DVD","The foreigner",,,"1/12/18","34.98","10/29/19","DVD Feature films For",,"114","1","12"
"DVD","An American tail",,"2003","4/13/12","14.95","10/29/19","DVD Children's films Ame",,"81","1","12"
"BOOK","Street magic","Zenon, Paul",,"1/25/18","15.99","10/29/19","793.8 Zen","172",,,"18"
"DVD","Arctic",,,"6/19/19","28","11/2/19","DVD Feature films Arc",,"98","1","12"
"DVD","The golden compass",,"2008","2/24/11","34.99","11/2/19","DVD Feature films Gol",,"113","2","12"
"DVD","Frozen",,"2010","6/13/16","17.99","11/4/19","DVD Feature films Fro",,"93","1","12"
"BOOK","Divine inspiration","Langton, Jane","1993","9/1/00","20","11/4/19","Fic Lan","406",,,"22"
"BOOK","Wolfskin","Marillier, Juliet",,"7/15/03","25.95","11/4/19","Fic Mar","493",,,"24"
"BOOK","Bowlaway","McCracken, Elizabeth",,"2/22/19","33","11/4/19","Fic McC","373",,,"24"
"BOOK","The complete idiot's guide to street magic","Ogden, Tom","2007","1/25/18","13","11/15/19","793.8 Ogd","379",,,"23"
"CDBOOK","Car talk",,"2005","4/8/06","19.95","11/15/19","CDBook 629.287 Car",,"66",,"12"
"BOOK","Vogue guide to crochet",,"1971","9/1/00","15","11/20/19","746.43 Vog","80",,,"28"
"BLU-RAY","Pride & prejudice",,"2010","4/17/17","14","11/23/19","Blu-ray Feature films Pri",,"129","1","12"
"DVD","Annihilation",,,"7/5/18","23.99","11/26/19","DVD Feature films Ann",,"114","1","12"
"DVD","Peter Pan",,"2002","6/13/16","25","11/26/19","DVD Feature films Pet",,"77","1","12"
"DVD","The Karate Kid",,"2005","5/24/16","14.99","11/30/19","DVD Feature films Kar",,"127","1","12"
"BOOK","The camping bible","Holtzman, Bob","2013","2/5/14","19.98","12/3/19","796.54 Hol","192",,,"21"
"BOOK","Golden son","Brown, Pierce,",,"1/23/15","30","12/3/19","Fic Bro","446",,,"25"
"BOOK","Morning star","Brown, Pierce",,"3/23/16","32","12/3/19","Fic Bro","524",,,"25"
"DVD","Shallow Hal",,,"5/9/19","20","12/5/19","DVD Feature films Sha",,"113","1","12"
"DVD","Watchmen",,"2009","4/2/19","15","12/11/19","DVD Feature films Wat",,"162","1","12"
"LP","Massacre canyon","Johnstone, William W.",,"6/19/14","38.95","12/11/19","L.T. Fic Joh","447",,,"23"
"DVD","A Christmas carol",,"1999","10/23/14","15.98","12/16/19","DVD Feature films Chr",,"94","1","12"
"BOOK","The Focus on the Family complete book of baby & child care","Reisser, Paul C.","1997","9/1/00","19.99","12/23/19","618.92 Rei","855",,,"24"
"DVD","Frosty the snowman",,,"12/6/16","14.95","12/23/19","DVD Children's films Fro",,"48","1","12"
"BOOK","Sexual predators","Dean, Stephen","2007","8/30/07","22.95","1/13/20","362.767 Dea","252",,,"23"
"BOOK","American Diabetes Association complete guide to diabetes.",,"2005","8/30/10","24.95","1/13/20","616.462 Ame","554",,,"23"
"BOOK","Thirst","Anderson, Heather",,"7/1/19","23","1/13/20","796.522 And","206",,,"22"
"BOOK","The privilege of youth","Pelzer, David J.","2004","1/20/04","26.95","1/15/20","362.73 Pel","230",,,"22"
"PB","The teen girl's gotta-have-it guide to boys","Blatt, Jessica","2007","3/14/08","11.95","1/22/20","Y 306.73 Bla","96",,,"20"
"BOOK","A new prescription for women's health","Healy, Bernadine","1995","9/1/00","24.95","1/22/20","613 Hea","546",,,"24"
"DVD","Fighting with my family",,,"6/19/19","28","1/25/20","DVD Feature films Fig",,"109","1","12"
"DVD","The nut job 2",,,"11/17/17","27.95","1/25/20","DVD Feature films Nut 2",,"92","1","12"
"DVD","Texas Rangers",,,"10/19/18","15","1/25/20","DVD Feature films Tex",,"90","1","12"
"BOOK","Indoor edible garden","Allaway, Zia",,"6/7/17","26.95","1/25/20","635.048 All","221",,,"24"
"DVD","Justice League.",,"2012","2/26/14","19.99","1/29/20","DVD Feature films Jus",,"77","1","12"
"DVD","5 film collection  Mark Wahlberg",,,"3/14/19","24","2/3/20","DVD Feature films Fiv",,"588","5","12"
"BOOK","Yes we (still) can","Pfeiffer, Dan",,"7/6/18","33","2/3/20","973.932 Pfe","284",,,"24"
"BOOK","I love you, nose! I love you, toes!","Davick, Linda","2013","7/23/13","22.99","2/3/20","JE Dav",,,,"27"
"BOOK","The white dragon","McCaffrey, Anne","1978","4/19/07","17.95","2/5/20","Fic McC","468",,,"18"
"BOOK","13 hours","Zuckoff, Mitchell",,"9/30/14","33","2/10/20","363.325 Zuc","328",,,"24"
"DVD","Alien resurrection",,"1999","5/17/19","15","2/10/20","DVD Feature films Ali",,"108","1","12"
"BOOK","Two brothers, four hands","Greenberg, Jan",,"6/18/19","27","2/10/20","J 735.23 Gre","64",,,"28"
"BOOK","The jungle","Sinclair, Upton","2004","8/30/06","12.95","2/10/20","Fic Sin","374",,,"23"
"BBOOK","Cock-a-doodle who?","Perrin, Martine","2012","6/4/14","17.99","2/12/20","JE BB Per",,,,"22"
"BBOOK","My first signs",,"2004","1/27/17","9.99","2/12/20","JE BB My",,,,"27"
"BOOK","Kiss of the rose princess, volume 01",,,"12/9/19","15","2/21/20","Y GN Fic Sho, v. 1","150",,,"20"
"BOOK","Kiss of the rose princess, volume 02","Shouoto, Aya",,"12/16/19","15","2/21/20","Y GN Fic Sho, v. 2",,,,"20"
"BOOK","Kiss of the rose princess. volume 03","Shouoto, Aya",,"12/16/19","15","2/21/20","Y GN Fic Sho, v. 3",,,,"20"
"BOOK","Becoming sister wives",,"2012","7/25/12","30","2/22/20","306.8423 Bec","271",,,"25"
"DVD","Aladdin",,,"10/9/19","25","2/25/20","DVD Feature films Ala",,"128","1","12"
"BOOK","The Paris connection","Keene, Carolyn","1990","9/1/00","10","2/25/20","J Fic Kee","219",,,"18"
"BOOK","Help your kids with computer coding","Vorderman, Carol",,"8/12/14","24.95","2/29/20","005.133 Vor","224",,,"24"
"BOOK","Curious george visits the dentist","Perez, Monica","2014","9/14/15","17.49","3/3/20","JE Cur",,,,"21"
"DVD","Mary Poppins",,"2009","12/21/11","24.99","3/3/20","DVD Feature films Mar",,"139","2","12"
"LUCKYDAY","The turn of the key","Ware, Ruth,",,"8/6/19 12:00 AM","32","7/1/20","Fic War","336",,,"24"
"BOOK","The Rithmatist","Sanderson, Brandon.",,"6/5/13 12:00 AM","22.99","7/14/20","Y Fic San","378",,,"25"
"BOOK","Animal origami","Shingu, Fumiaki.","2006","6/14/07 12:00 AM","23.95","7/14/20","J 736.982 Shi","64",,,"21"
"BOOK","The little mermaid","Randall, Ronne.",,"6/8/15 12:00 AM","23.95","7/29/20","JE Ran",,,"1","29"
"DVD","The Doctor Blake mysteries. Season 5",,,"4/22/19 12:00 AM","45","7/29/20","DVD TV Series Doc, Sn. 5",,"480","3","12"
"BOOK","Arthur's underwear","Brown, Marc Tolon.","1999","9/1/00 12:00 AM","15.95","7/29/20","JE Bro","32",,,"27"
"BOOK","Tale of a tadpole","Porte, Barbara Ann.","1997","9/1/00 12:00 AM","15.95","7/29/20","JE Por",,,"1","22"
"BOOK","Creative pencil drawing","Hogarth, Paul,","1964","9/1/00 12:00 AM","10","7/29/20","741 Hog","159",,,"27"
"DVD","The fate of the furious",,,"7/14/17 12:00 AM","22.99","7/29/20","DVD Feature films Fat",,"136","1","12"
"BOOK","Yankee Doodle","Kellogg, Steven.","1996","9/1/00 12:00 AM","21","8/5/20","JE Kel",,,"1","27"
"BOOK","Raising small animals for fun and profit.","Villiard, Paul.","1973","9/1/00 12:00 AM","10","8/7/20","636 Vil","160",,,"24"
"BOOK","Go, Pete, go!","Dean, James,",,"10/7/16 12:00 AM","19.75","8/24/20","JE Dea","22",,,"21"
"DVD","Where the wild things are",,,"10/28/19 12:00 AM","20","8/24/20","DVD Feature films Whe",,"101","1","12"
"LP","The Persian gamble","Rosenberg, Joel C.,",,"4/16/19 12:00 AM","41.95","8/28/20","L.T. Fic Ros","574",,,"23"
"BOOK","Two-hour nosew decorating","Dunkley, Diana.","2000","3/31/06 12:00 AM","24.95","9/2/20","746.9 Dun","128",,,"29"
"BOOK","The wild robot","Brown, Peter,",,"6/29/16 12:00 AM","21.99","9/2/20","J Fic Bro","279",,,"20"
"DVD","Beetlejuice",,"1997","12/20/11 12:00 AM","19.95","9/14/20","DVD Feature films Bee",,"92","1","12"
"BBOOK","Freight train","Crews, Donald.","1978","5/14/18 12:00 AM","8","9/18/20","JE BB Cre","22",,,"22"
"MUSIC","Forrest Gump : the soundtrack",,"1994","4/20/18 12:00 AM","10","9/25/20","MusicCD For",,,"2","12"
"BOOK","Plateau Indians","Ditchfield, Christin.","2012","4/17/12 12:00 AM","29.99","10/6/20","J 970.00497 Dit","48",,,"25"
"BOOK","Impulse","Hopkins, Ellen.","2007","6/26/15 12:00 AM","16.99","10/6/20","Y Fic Hop","666",,,"19"
"BOOK","Choo choo clickety-clack!","Mayo, Margaret.","2004","7/27/05 12:00 AM","19.95","10/6/20","JE May",,,"1","29"
"BOOK","Unsolved","Patterson, James,",,"6/4/19 12:00 AM","33","10/9/20","Fic Pat","468",,,"25"
"BOOK","A tree is nice","Udry, Janice May.","1956","9/1/00 12:00 AM","11.15","10/12/20","JE Udr",,,"1","28"
"BOOK","What about worms!?","Willems, Mo,",,"5/19/20 12:00 AM","15","10/14/20","JE Wil","51",,,"24"
