"school_year","school_name","city","public_private","public_school_district","enrollment","reported","calculated_all_pbe_count","calculated_all_pbe_percent","hc_practitioner_counseled_pbe_count","hc_practitioner_counseled_pbe_percent","pre_jan_pbe_count","pre_jan_pbe_percent","personal_beliefs_exemption_count","personal_beliefs_exemption_percent","religious_pbe_count","religious_pbe_percent","conditional_count","conditional_percent","dtp_count","dtp_percent","hepb_count","hepb_percent","mmr_count","mmr_percent","polio_count","polio_percent","permanent_medical_exemption_count","permanent_medical_exemption_percent","up_to_date_count","up_to_date_percent","vari_count","vari_percent","overdue_count","overdue_percent","others_count","others_percent","location","latitude","longitude","school_code","unique_id"
"2014-2015","BAYSIDE MARTIN LUTHER KING JR. ACADEMY","SAUSALITO","PUBLIC","SAUSALITO MARIN CITY","31","Y","0","0","0","0","0","0","0","0","0","0","8","25.81","26","83.87","31","100","26","83.87","26","83.87","0","0","23","74.19","28","90.32",,,,,"
,  
(37.8725675, -122.5138054)","37.8725675","-122.5138054","6024889","6024889_2014-2015"
"2018-2019","BODEGA BAY ELEMENTARY","BODEGA BAY","PUBLIC","SHORELINE UNIFIED","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.3342059, -123.0453491)","38.3342059","-123.0453491","6051627","6051627_2018-2019"
"2017-2018","BODEGA BAY ELEMENTARY","BODEGA BAY","PUBLIC","SHORELINE UNIFIED","4","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.3342059, -123.0453491)","38.3342059","-123.0453491","6051627","6051627_2017-2018"
"2016-2017","BODEGA BAY ELEMENTARY","BODEGA BAY","PUBLIC","SHORELINE UNIFIED","4","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(38.3342059, -123.0453491)","38.3342059","-123.0453491","6051627","6051627_2016-2017"
"2015-2016","BODEGA BAY ELEMENTARY","BODEGA BAY","PUBLIC","SHORELINE UNIFIED","11","Y","0","0","0","0",,,"0","0","0","0","1","9.09","11","100","11","100","10","90.91","11","100","0","0","10","90.91","11","100","0","0",,,"
,  
(38.3342059, -123.0453491)","38.3342059","-123.0453491","6051627","6051627_2015-2016"
"2017-2018","BOLINAS-STINSON ELEMENTARY","BOLINAS","PUBLIC","BOLINAS-STINSON UNION","21","Y",,,,,,,,,,,"4","19",,"95","16","16",,"95","19","90","1","5","16","76","19","90",,,"0","0","
,  
(37.9093702, -122.6863733)","37.9093702","-122.6863733","6024137","6024137_2017-2018"
"2016-2017","BOLINAS-STINSON ELEMENTARY","BOLINAS","PUBLIC","BOLINAS-STINSON UNION","8","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(37.9093702, -122.6863733)","37.9093702","-122.6863733","6024137","6024137_2016-2017"
"2015-2016","BOLINAS-STINSON ELEMENTARY","BOLINAS","PUBLIC","BOLINAS-STINSON UNION","10","Y","2","20","2","20",,,"2","20","0","0","0","0","8","80","8","80","8","80","8","80","0","0","8","80","8","80","0","0",,,"
,  
(37.9093702, -122.6863733)","37.9093702","-122.6863733","6024137","6024137_2015-2016"
"2014-2015","BOLINAS-STINSON ELEMENTARY","BOLINAS","PUBLIC","BOLINAS-STINSON UNION","11","Y","4","36.36","4","36.36","0","0","4","36.36","0","0","5","45.45","5","45.45","2","18.18","4","36.36","4","36.36","0","0","2","18.18","6","54.55",,,,,"
,  
(37.9093702, -122.6863733)","37.9093702","-122.6863733","6024137","6024137_2014-2015"
"2013-2014","BOLINAS-STINSON ELEMENTARY","BOLINAS","PUBLIC","BOLINAS-STINSON UNION","13","Y","5","38.46","0","0","0","0","5","38.46","0","0","3","23.08","6","46.15","8","61.54","7","53.85","5","38.46","0","0","5","38.46","8","61.54",,,,,"
,  
(37.9093702, -122.6863733)","37.9093702","-122.6863733","6024137","6024137_2013-2014"
"2018-2019","BOLINASSTINSON ELEMENTARY","BOLINAS","PUBLIC","BOLINAS-STINSON UNION","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(37.9093702, -122.6863733)","37.9093702","-122.6863733","6024137","6024137_2018-2019"
"2018-2019","BRANDEIS HILLEL DAY SCHOOL","SAN RAFAEL","PRIVATE",,"14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(37.9991625, -122.5230624)","37.9991625","-122.5230624","6914766","6914766_2018-2019"
"2017-2018","BRANDEIS HILLEL DAY SCHOOL","SAN RAFAEL","PRIVATE",,"10","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(37.9991625, -122.5230624)","37.9991625","-122.5230624","6914766","6914766_2017-2018"
"2016-2017","BRANDEIS HILLEL DAY SCHOOL","SAN RAFAEL","PRIVATE",,"13","Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
,  
(37.9991625, -122.5230624)","37.9991625","-122.5230624","6914766","6914766_2016-2017"
"2014-2015","BRANDEIS HILLEL DAY SCHOOL","SAN RAFAEL","PRIVATE",,"12","Y","1","8.33","1","8.33","0","0","1","8.33","0","0","2","16.67","10","83.33","8","66.67","10","83.33","10","83.33","1","8.33","8","66.67","10","83.33",,,,,"
,  
(37.9991625, -122.5230624)","37.9991625","-122.5230624","6914766","6914766_2014-2015"
"2013-2014","BRANDEIS HILLEL DAY SCHOOL","SAN RAFAEL","PRIVATE",,"13","Y","2","15.38","0","0","0","0","2","15.38","0","0","1","7.69","11","84.62","11","84.62","11","84.62","10","76.92","0","0","10","76.92","11","84.62",,,,,"
,  
(37.9991625, -122.5230624)","37.9991625","-122.5230624","6914766","6914766_2013-2014"
"2015-2016","BRANDEIS HILLEL DAY SCHOOL - MARIN DBA BRANDEIS MARIN","SAN RAFAEL","PRIVATE",,"12","Y","0","0","0","0",,,"0","0","0","0","1","8.33","11","91.67","11","91.67","11","91.67","11","91.67","0","0","11","91.67","11","91.67","0","0",,,"
,  
(37.9991625, -122.5230624)","37.9991625","-122.5230624","6914766","6914766_2015-2016"
"2018-2019","BROOKSIDE ELEMENTARY","SAN ANSELMO","PUBLIC","ROSS VALLEY ELEMENTARY","105","Y",,,,,,,,,,,"2","2","101","96","100","95","101","96","100","95","4","4","99","94","101","96",,,,,"
,  
(37.990756, -122.575812)","37.990756","-122.575812","6024681","6024681_2018-2019"
"2017-2018","BROOKSIDE ELEMENTARY","SAN ANSELMO","PUBLIC","ROSS VALLEY ELEMENTARY","89","Y",,,,,,,,,,,"5","6",,"98","85","96",,"98",,"98","1","1","83","93",,"98",,,"0","0","
,  
(37.990756, -122.575812)","37.990756","-122.575812","6024681","6024681_2017-2018"
