"beach_name","inspection_week_date","inspection_day_of","inspection_result","is_latest_inspection","latitude","longitude","location","unique_id"
"MUIR BEACH - NORTH","2022-08-30T00:00:00.000","TUESDAY","OK","0","37.8597210","-122.5778850","(37.859721, -122.577885)","MUIRBEACH-NORTH_8/30/2022"
"MUIR BEACH - SOUTH","2022-08-30T00:00:00.000","TUESDAY","OK","0","37.8580700","-122.5749667","(37.85807, -122.5749667)","MUIRBEACH-SOUTH_8/30/2022"
"PARADISE BEACH","2022-08-30T00:00:00.000","TUESDAY","OK","0","37.8941000","-122.4575000","(37.8941, -122.4575)","PARADISEBEACH_8/30/2022"
"RODEO BEACH - CENTRAL","2022-08-30T00:00:00.000","TUESDAY","OK","0","37.8301350","-122.5368690","(37.830135, -122.536869)","RODEOBEACH-CENTRAL_8/30/2022"
"RODEO BEACH - NORTH","2022-08-30T00:00:00.000","TUESDAY","OK","0","37.8316810","-122.5393070","(37.831681, -122.539307)","RODEOBEACH-NORTH_8/30/2022"
"RODEO BEACH - SOUTH","2022-08-30T00:00:00.000","TUESDAY","OK","0","37.8289470","-122.5357090","(37.828947, -122.535709)","RODEOBEACH-SOUTH_8/30/2022"
"SCHOONMAKER BEACH","2022-08-30T00:00:00.000","TUESDAY","OK","0","37.8640240","-122.4897440","(37.864024, -122.489744)","SCHOONMAKERBEACH_8/30/2022"
"SHELL BEACH","2022-08-30T00:00:00.000","MONDAY","OK","0","38.1166000","-122.8732280","(38.1166, -122.873228)","SHELLBEACH_8/30/2022"
"STINSON BEACH - CENTRAL","2022-08-30T00:00:00.000","TUESDAY","OK","0","37.8960070","-122.6405770","(37.896007, -122.640577)","STINSONBEACH-CENTRAL_8/30/2022"
"STINSON BEACH - NORTH","2022-08-30T00:00:00.000","TUESDAY","OK","0","37.8971700","-122.6429500","(37.89717, -122.64295)","STINSONBEACH-NORTH_8/30/2022"
"STINSON BEACH - SOUTH","2022-08-30T00:00:00.000","TUESDAY","OK","0","37.8918050","-122.6357600","(37.891805, -122.63576)","STINSONBEACH-SOUTH_8/30/2022"
"WHITEHOUSE POOL","2022-08-30T00:00:00.000","MONDAY","AVOID","0","38.0625010","-122.8166000","(38.062501, -122.8166)","WHITEHOUSEPOOL_8/30/2022"
"BOLINAS BEACH","2022-08-22T00:00:00.000","TUESDAY","OK","0","37.9051500","-122.6829833","(37.90515, -122.6829833)","BOLINASBEACH_8/22/2022"
