Beach,Sample Week,Sample Day,Result,Latest Water Sample,Latitude,Longitude,Location,Unique ID,Zip Code
DRAKES ESTERO,08/22/2022,MONDAY,OK,1,,,,DRAKESESTERO_8/22/2022,
DRAKES ESTERO,04/02/2022,MONDAY,OK,1,,,,DRAKESESTERO_4/2/2022,
"FORT BAKER, HORSESHOE COVE - NORTHEAST",08/22/2022,TUESDAY,OK,1,37.83352,-122.4747,"(37.83352, -122.4747)","FORTBAKER,HORSESHOECOVE-NORTHEAST_8/22/2022",
"FORT BAKER, HORSESHOE COVE - NORTHEAST",04/02/2022,TUESDAY,OK,1,37.83352,-122.4747,"(37.83352, -122.4747)","FORTBAKER,HORSESHOECOVE-NORTHEAST_4/2/2022",
"FORT BAKER, HORSESHOE COVE - NORTHWEST",08/22/2022,TUESDAY,OK,1,37.83317,-122.4778,"(37.83317, -122.4778)","FORTBAKER,HORSESHOECOVE-NORTHWEST_8/22/2022",
"FORT BAKER, HORSESHOE COVE - NORTHWEST",04/02/2022,TUESDAY,OK,1,37.83317,-122.4778,"(37.83317, -122.4778)","FORTBAKER,HORSESHOECOVE-NORTHWEST_4/2/2022",
"FORT BAKER, HORSESHOE COVE - SOUTHWEST",08/22/2022,TUESDAY,OK,1,37.83212,-122.4774167,"(37.83212, -122.4774167)","FORTBAKER,HORSESHOECOVE-SOUTHWEST_8/22/2022",12
"FORT BAKER, HORSESHOE COVE - SOUTHWEST",04/02/2022,TUESDAY,OK,1,37.83212,-122.4774167,"(37.83212, -122.4774167)","FORTBAKER,HORSESHOECOVE-SOUTHWEST_4/2/2022",12
GREEN BRIDGE,08/22/2022,MONDAY,OK,1,38.0648,-122.8055,"(38.0648, -122.8055)",GREENBRIDGE_8/22/2022,24
GREEN BRIDGE,04/02/2022,MONDAY,OK,1,38.0648,-122.8055,"(38.0648, -122.8055)",GREENBRIDGE_4/2/2022,24
HEART'S DESIRE,08/22/2022,MONDAY,OK,1,38.1326,-122.8934167,"(38.1326, -122.8934167)",HEART'SDESIRE_8/22/2022,1
HEART'S DESIRE,04/02/2022,MONDAY,OK,1,38.1326,-122.8934167,"(38.1326, -122.8934167)",HEART'SDESIRE_4/2/2022,1
INKWELLS,08/22/2022,MONDAY,AVOID,1,38.004967,-122.708239,"(38.004967, -122.708239)",INKWELLS_8/22/2022,16
INKWELLS,04/02/2022,MONDAY,OK,1,38.004967,-122.708239,"(38.004967, -122.708239)",INKWELLS_4/2/2022,16
LAWSON'S LANDING,08/22/2022,MONDAY,OK,1,38.23172,-122.9678532,"(38.23172, -122.9678532)",LAWSON'SLANDING_8/22/2022,
LAWSON'S LANDING,04/02/2022,MONDAY,OK,1,38.23172,-122.9678532,"(38.23172, -122.9678532)",LAWSON'SLANDING_4/2/2022,
MCNEARS BEACH,08/22/2022,TUESDAY,OK,1,37.992531,-122.452442,"(37.992531, -122.452442)",MCNEARSBEACH_8/22/2022,20
MCNEARS BEACH,04/02/2022,TUESDAY,OK,1,37.992531,-122.452442,"(37.992531, -122.452442)",MCNEARSBEACH_4/2/2022,20
MILLER PARK,08/22/2022,MONDAY,OK,1,38.19956,-122.9219,"(38.19956, -122.9219)",MILLERPARK_8/22/2022,
MILLER PARK,04/02/2022,MONDAY,OK,1,38.19956,-122.9219,"(38.19956, -122.9219)",MILLERPARK_4/2/2022,
MILLERTON POINT,08/22/2022,MONDAY,OK,1,38.105935,-122.849419,"(38.105935, -122.849419)",MILLERTONPOINT_8/22/2022,24
MILLERTON POINT,04/02/2022,MONDAY,OK,1,38.105935,-122.849419,"(38.105935, -122.849419)",MILLERTONPOINT_4/2/2022,24
MUIR BEACH - CENTRAL,08/22/2022,TUESDAY,OK,1,37.85932,-122.5763167,"(37.85932, -122.5763167)",MUIRBEACH-CENTRAL_8/22/2022,12
MUIR BEACH - CENTRAL,04/02/2022,TUESDAY,N/A,1,37.85932,-122.5763167,"(37.85932, -122.5763167)",MUIRBEACH-CENTRAL_4/2/2022,12
MUIR BEACH - NORTH,08/22/2022,TUESDAY,OK,1,37.859721,-122.577885,"(37.859721, -122.577885)",MUIRBEACH-NORTH_8/22/2022,12
MUIR BEACH - NORTH,04/02/2022,TUESDAY,N/A,1,37.859721,-122.577885,"(37.859721, -122.577885)",MUIRBEACH-NORTH_4/2/2022,12
MUIR BEACH - SOUTH,08/22/2022,TUESDAY,OK,1,37.85807,-122.5749667,"(37.85807, -122.5749667)",MUIRBEACH-SOUTH_8/22/2022,12
MUIR BEACH - SOUTH,04/02/2022,TUESDAY,N/A,1,37.85807,-122.5749667,"(37.85807, -122.5749667)",MUIRBEACH-SOUTH_4/2/2022,12
PARADISE BEACH,08/22/2022,TUESDAY,OK,1,37.8941,-122.4575,"(37.8941, -122.4575)",PARADISEBEACH_8/22/2022,18
PARADISE BEACH,04/02/2022,TUESDAY,OK,1,37.8941,-122.4575,"(37.8941, -122.4575)",PARADISEBEACH_4/2/2022,18
RODEO BEACH - CENTRAL,08/22/2022,TUESDAY,OK,1,37.830135,-122.536869,"(37.830135, -122.536869)",RODEOBEACH-CENTRAL_8/22/2022,12
RODEO BEACH - CENTRAL,04/02/2022,TUESDAY,OK,1,37.830135,-122.536869,"(37.830135, -122.536869)",RODEOBEACH-CENTRAL_4/2/2022,12
RODEO BEACH - NORTH,08/22/2022,TUESDAY,OK,1,37.831681,-122.539307,"(37.831681, -122.539307)",RODEOBEACH-NORTH_8/22/2022,12
RODEO BEACH - NORTH,04/02/2022,TUESDAY,OK,1,37.831681,-122.539307,"(37.831681, -122.539307)",RODEOBEACH-NORTH_4/2/2022,12
RODEO BEACH - SOUTH,08/22/2022,TUESDAY,OK,1,37.828947,-122.535709,"(37.828947, -122.535709)",RODEOBEACH-SOUTH_8/22/2022,12
RODEO BEACH - SOUTH,04/02/2022,TUESDAY,OK,1,37.828947,-122.535709,"(37.828947, -122.535709)",RODEOBEACH-SOUTH_4/2/2022,12
SCHOONMAKER BEACH,08/22/2022,TUESDAY,OK,1,37.864024,-122.489744,"(37.864024, -122.489744)",SCHOONMAKERBEACH_8/22/2022,
SCHOONMAKER BEACH,04/02/2022,TUESDAY,OK,1,37.864024,-122.489744,"(37.864024, -122.489744)",SCHOONMAKERBEACH_4/2/2022,
SHELL BEACH,08/22/2022,MONDAY,OK,1,38.1166,-122.873228,"(38.1166, -122.873228)",SHELLBEACH_8/22/2022,1
SHELL BEACH,04/02/2022,MONDAY,OK,1,38.1166,-122.873228,"(38.1166, -122.873228)",SHELLBEACH_4/2/2022,1
STINSON BEACH - CENTRAL,08/22/2022,TUESDAY,OK,1,37.896007,-122.640577,"(37.896007, -122.640577)",STINSONBEACH-CENTRAL_8/22/2022,10
STINSON BEACH - CENTRAL,04/02/2022,TUESDAY,N/A,1,37.896007,-122.640577,"(37.896007, -122.640577)",STINSONBEACH-CENTRAL_4/2/2022,10
STINSON BEACH - NORTH,08/22/2022,TUESDAY,OK,1,37.89717,-122.64295,"(37.89717, -122.64295)",STINSONBEACH-NORTH_8/22/2022,
STINSON BEACH - NORTH,04/02/2022,TUESDAY,N/A,1,37.89717,-122.64295,"(37.89717, -122.64295)",STINSONBEACH-NORTH_4/2/2022,
STINSON BEACH - SOUTH,08/22/2022,TUESDAY,OK,1,37.891805,-122.63576,"(37.891805, -122.63576)",STINSONBEACH-SOUTH_8/22/2022,
STINSON BEACH - SOUTH,04/02/2022,TUESDAY,N/A,1,37.891805,-122.63576,"(37.891805, -122.63576)",STINSONBEACH-SOUTH_4/2/2022,
WHITEHOUSE POOL,08/22/2022,MONDAY,AVOID,1,38.062501,-122.8166,"(38.062501, -122.8166)",WHITEHOUSEPOOL_8/22/2022,24
WHITEHOUSE POOL,04/02/2022,MONDAY,OK,1,38.062501,-122.8166,"(38.062501, -122.8166)",WHITEHOUSEPOOL_4/2/2022,24
