"gender","basline_province","exact_total_farm_area_in","coconut_growing","hectares_under_coconut_farming","whole_nut_kilos_harvested"
"Male","Davao_del_Norte","2","Main crop","1","1600"
"Female","Davao_del_Norte","1","Main crop","1","9000"
"Male","Davao_del_Norte","0.25","Main crop","0.25","700"
"Female","Davao_del_Norte","3.5","Main crop","3.5","6000"
"Male","Davao_del_Norte","1","Main crop","1","2000"
"Female","Davao_del_Norte","1.5","Main crop","1.5","800"
"Female","Davao_del_Norte","0.8","Main crop","0.16","500"
"Male","Davao_del_Norte","1.8","Main crop","1.8","5000"
"Female","Davao_del_Sur","1","Main crop","0.5","480"
"Female","Davao_del_Sur","1","Main crop","0.5","1500"
"Female","Davao_del_Norte","1.8","Main crop","1.8","1500"
"Male","Davao_del_Norte","2.6","Main crop","2.6","1600"
"Male","Davao_del_Sur","5","Main crop","3.5","8000"
"Female","Davao_del_Norte","2","Main crop","2","4200"
"Male","Davao_del_Sur","5","Main crop","5","17200"
"Female","Davao_del_Sur","1","Main crop","1","400"
"Male","Davao_del_Sur","3","Main crop","3","360"
"Female","Davao_del_Norte","1.5","Main crop","1.5","2500"
"Male","Davao_del_Norte","2","Main crop","2","15000"
"Female","Davao_del_Norte","1.5","Main crop","1.5","3300"
"Male","Davao_del_Sur","5","Main crop",,"23500"
"Female","Davao_del_Norte","3","Main crop","3","2400"
"Male","Davao_del_Sur","1","Main crop","1","4800"
"Female","Davao_del_Sur","0.8","Main crop","0.8","5240"
"Male","Davao_del_Sur","0.5","Main crop","0.25","400"
"Female","Davao_del_Sur","1","Main crop","1","2000"
"Female","Davao_del_Sur","1.25","Main crop","1.25","2400"
"Male","Davao_del_Sur","0.5","Main crop","0.5","6000"
"Female","Davao_del_Sur","5","Main crop","5","19700"
"Female","Davao_del_Sur","1.5","Main crop","1.5","2000"
"Female","Davao_del_Sur","3.5","Main crop","3.5","16000"
"Male","Davao_del_Sur","1","Secondary crop","1","900"
"Male","Davao_del_Norte","1.7","Main crop","17","4800"
"Male","Davao_del_Norte","1","Main crop","1","5000"
"Female","Davao_del_Sur","0.42","Main crop","0.4","640"
"Female","Davao_del_Sur","1.68","Main crop","1.68","4800"
"Male","Davao_del_Sur","1","Main crop","0.5","1100"
"Male","Davao_del_Sur","0.25","Main crop","0.25","400"
"Female","Davao_del_Sur","2.5","Main crop","0.25","3000"
"Female","Davao_del_Norte","1.34","Main crop","1.1","3000"
"Female","Davao_del_Norte","0.25","Main crop","0.25","900"
"Female","Davao_del_Norte","1.8","Main crop","1.8","2800"
"Male","Davao_del_Sur","1","Main crop","1","2880"
"Female","Davao_del_Sur","0.88","Main crop","0.88","5270"
"Male","Davao_del_Sur","3","Main crop","3","45000"
"Male","Davao_del_Sur","0.2","Main crop","0.2","4600"
"Male","Davao_del_Sur","2.5","Main crop","1","6000"
"Male","Davao_del_Sur","0.25","Main crop","0.25","1500"
"Male","Davao_del_Sur","0.25","Secondary crop","0.25","0"
"Male","Davao_del_Sur","2","Main crop","0.75","3200"
"Male","Davao_del_Sur","1","Main crop","1","6114"
"Female","Davao_del_Sur","3","Main crop","3","1280"
"Male","Davao_del_Sur","0.75","Main crop","0.75","4200"
"Female","Davao_del_Norte","0.75","Main crop","0.75","1200"
"Male","Davao_del_Norte","1","Main crop","1","3500"
"Male","Davao_del_Sur","1","Secondary crop","1","0"
"Male","Davao_del_Sur","0.5","Main crop","0.5","3200"
"Male","Davao_del_Norte","1.2","Main crop","1.2","3000"
"Male","Davao_del_Sur","0.5","Secondary crop","0.5","310"
"Male","Davao_del_Sur","0.5","Main crop","0.5","1500"
"Female","Davao_del_Sur","2.5","Main crop","2","5400"
"Male","Davao_del_Sur","1.5","Main crop","1.5","4400"
"Male","Davao_del_Sur","1","Main crop","1","3000"
"Male","Davao_del_Sur","0.25","Main crop","0.25","1900"
"Male","Davao_del_Sur","0.25","Main crop","0.25","270"
"Male","Davao_del_Sur","0.4","Main crop","0.4","2500"
"Male","Davao_del_Sur","0.25","Main crop","0.25","400"
"Male","Davao_del_Sur","0.07","Main crop","0.07","640"
"Female","Davao_del_Norte","3.8","Main crop","3.8","11000"
"Female","Davao_del_Sur","0.5","Main crop","0.5","3700"
"Male","Davao_del_Sur","3","Main crop","3","11000"
"Male","Davao_del_Sur","0.25","Main crop","0.25","600"
"Male","Davao_del_Norte","3","Main crop","1.5","1200"
"Female","Davao_del_Norte","3.4","Main crop","3.4","12000"
"Male","Davao_del_Norte","2","Main crop","2","18000"
"Male","Davao_del_Sur","1","Main crop","1","3500"
"Male","Davao_del_Sur","2","Main crop","1","1300"
"Female","Davao_del_Norte","1","Main crop","1","18000"
"Male","Davao_del_Norte","2.5","Main crop","2.5","14400"
"Female","Davao_Oriental","2.7","Main crop","2.7","16000"
"Female","Davao_del_Norte","2.5","Main crop","2.5","4000"
"Female","Davao_del_Norte","0.32","Secondary crop","0.25","1000"
"Male","Davao_del_Norte","1","Main crop","1","4200"
"Male","Davao_del_Norte","1.8","Main crop","1.8","5000"
"Female","Davao_del_Norte","3","Main crop","3","12000"
"Female","Davao_del_Sur","3","Main crop","3","3000"
"Female","Davao_del_Sur","3","Main crop","3","3000"
"Female","Davao_Oriental","1","Main crop","1","5600"
"Female","Davao_Oriental","1","Main crop","1","1200"
"Female","Davao_Oriental","2","Main crop","2","9900"
"Male","Davao_Oriental","4.8","Main crop","2","13000"
"Female","Davao_Oriental","3","Main crop","3","9280"
"Female","Davao_Oriental","4","Main crop","4","4400"
"Male","Davao_Oriental","5.7","Main crop","5","5000"
"Male","Davao_Oriental","1.3","Main crop","1.3","24000"
"Female","Davao_Oriental","2","Main crop","2","4000"
"Male","Davao_Oriental","3","Main crop","3","25000"
"Male","Davao_del_Norte","0.75","Main crop","0.75","1600"
"Male","Davao_del_Norte","1","Main crop","1","2140"
"Male","Davao_del_Norte","2","Main crop","2","1200"
"Male","Davao_del_Sur","2.3","Main crop","1.5","9600"
"Male","Davao_del_Sur","2.2","Main crop","2.2","4000"
"Female","Davao_del_Sur","1.25","Main crop","1.25","2500"
"Female","Davao_del_Sur","2","Main crop","2","4200"
"Male","Davao_Oriental","4.5","Main crop","4.5","3200"
"Male","Davao_Oriental","2","Main crop","2","12000"
"Male","Davao_Oriental","2.5","Main crop","2.5","12000"
"Female","Davao_Oriental","2.25","Main crop","2.25","12000"
"Female","Davao_Oriental","6","Main crop","6","3200"
"Male","Davao_del_Norte","1","Main crop","1","3300"
"Female","Davao_del_Norte","6","Main crop","6","16000"
"Female","Davao_del_Norte","1.9","Main crop","1.9","6000"
"Female","Davao_del_Norte","2.5","Main crop","2.5","2220"
"Female","Davao_del_Norte","2.8","Main crop","2.8","1500"
"Male","Davao_del_Norte","2","Main crop","2","5400"
"Male","Davao_del_Norte","2","Main crop","2","12000"
"Female","Davao_del_Sur","3.5","Main crop","2.5","11200"
"Female","Davao_del_Sur","2","Main crop","2","6495"
"Female","Davao_del_Sur","1.75","Main crop","1.75","11000"
"Male","Davao_del_Sur","0.75","Main crop","0.75","5000"
"Male","Davao_del_Norte","2","Main crop","2","12000"
"Female","Davao_Oriental","3","Main crop","3","8000"
"Male","Davao_del_Norte","1.85","Main crop","1.85","7000"
"Male","Davao_del_Norte","2","Main crop","2","7200"
"Female","Davao_del_Sur","1.5","Main crop","0.5","5000"
"Male","Davao_del_Sur","1.5","Main crop","1.5","7500"
"Male","Davao_del_Norte","7","Main crop","6","22000"
"Male","Davao_del_Norte","1.33","Main crop","1.33","5000"
"Female","Davao_Oriental","1.5","Main crop","1.5","8000"
"Female","Davao_Oriental","2","Main crop","2","1700"
"Male","Davao_Oriental","10","Main crop","10","30000"
"Male","Davao_Oriental","2","Main crop","2","1200"
"Male","Davao_Oriental","2","Main crop","2","12000"
"Female","Davao_Oriental","3","Main crop","3","24000"
"Female","Davao_del_Sur","0.6","Main crop","0.6","2700"
"Female","Davao_del_Norte","8","Main crop","8","6600"
"Female","Davao_del_Norte","2","Main crop","2","3400"
"Female","Davao_del_Norte","5","Main crop","5","9000"
"Female","Davao_del_Norte","0.75","Main crop","0","4500"
"Female","Davao_del_Norte","10","Main crop","10","22000"
"Female","Davao_del_Norte","1.8","Main crop","1.8","4500"
"Male","Davao_del_Sur","1","Secondary crop","1","7200"
"Male","Davao_del_Sur","1","Main crop","1","24000"
"Female","Davao_Oriental","3","Main crop","3","12000"
"Female","Davao_del_Sur","0.5","Secondary crop","0.5","1000"
"Female","Davao_del_Sur","0.5","Main crop","0.5","4000"
"Male","Davao_del_Sur","1","Main crop","1","7200"
"Female","Davao_del_Sur","0.7","Main crop","0.5","3000"
"Female","Davao_del_Sur","1","Main crop","1","9000"
"Female","Davao_del_Sur","3","Main crop","3","6000"
"Male","Davao_del_Sur","0.25","Main crop","0.25","2500"
"Male","Davao_del_Sur","3","Main crop","3","12000"
"Male","Davao_del_Sur","2","Main crop","2","7000"
"Male","Davao_Oriental","1.8","Main crop","1.8","2800"
"Male","Davao_del_Sur","2.25","Main crop","2.25","14100"
"Female","Davao_Oriental","2","Main crop","2","6000"
"Female","Davao_Oriental","3","Main crop","3","6000"
"Female","Davao_del_Sur","3","Main crop","3","10000"
"Female","Davao_Oriental","1","Main crop","1","1000"
"Male","Davao_Oriental","18","Main crop","18","30000"
"Male","Davao_del_Norte","2.25","Main crop","2.25","11200"
"Male","Davao_Oriental","10","Main crop","8","42000"
"Male","Davao_del_Sur","4.5","Main crop","4.5","7500"
"Male","Davao_del_Sur","2.5","Main crop","2.5","6200"
"Male","Davao_del_Sur","0.5","Main crop","0.5","1800"
"Male","Davao_del_Sur","0.5","Main crop","0.5","3100"
"Male","Davao_del_Sur","4","Main crop","4","11000"
"Female","Davao_Oriental","7","Main crop","7","4000"
"Male","Davao_del_Sur","2","Main crop","0.75","4500"
"Male","Davao_Oriental","2","Main crop","2","11000"
"Male","Davao_Oriental","15","Main crop","10","90000"
"Female","Davao_del_Sur","0.01","Main crop","0","2300"
"Male","Davao_Oriental","2","Main crop","2","7000"
"Female","Davao_Oriental","6","Main crop","2","8000"
"Female","Davao_Oriental","1","Main crop","1","800"
"Female","Davao_Oriental","1","Main crop","1","1800"
"Male","Davao_del_Sur","1.6","Main crop","1.6","3800"
"Female","Davao_del_Sur","0.5","Main crop","0.5","5000"
"Male","Davao_del_Sur","0.6","Main crop","0.6","6200"
"Male","Davao_del_Sur","5","Main crop","5","12000"
"Male","Davao_del_Sur","3","Main crop","3","4800"
"Male","Davao_del_Sur","3.3","Main crop","3.3","4000"
"Male","Davao_del_Sur","3.7","Main crop","3.7","17600"
"Female","Davao_Oriental","4","Main crop","4","15500"
"Female","Davao_del_Sur","0.5","Main crop","0.5","5600"
"Female","Davao_del_Sur","1","Main crop","1","6600"
"Male","Davao_del_Sur","3.5","Main crop","2.5","25000"
"Female","Davao_del_Sur","5","Main crop","2","10122"
"Male","Davao_Oriental","10","Main crop","9","8000"
"Female","Davao_del_Sur","4.5","Main crop","0.5","6300"
"Male","Davao_del_Sur","1","Main crop","1","11200"
"Female","Davao_del_Sur","2","Main crop","2","6000"
"Male","Davao_del_Sur","0.25","Main crop","0.25","6700"
"Male","Davao_del_Norte","1.25","Main crop","1.25","14400"
"Male","Davao_del_Norte","1.3","Main crop","1.3","3400"
"Female","Davao_Oriental","3","Main crop","3","2400"
"Male","Davao_Oriental","2","Main crop","2","14500"
"Male","Davao_del_Sur","0.45","Main crop","0.45","2700"
"Male","Davao_Oriental","0.9","Main crop","0.9","2000"
"Male","Davao_Oriental","13","Main crop","13","16000"
"Female","Davao_del_Sur","1.5","Main crop","1","500"
"Female","Davao_del_Sur","4.75","Main crop","2","1200"
"Female","Davao_del_Sur","0.5","Main crop","0.5","900"
"Female","Davao_del_Sur","1.3","Main crop","1.3","10100"
"Female","Davao_Oriental","3","Main crop","3","16000"
"Male","Davao_Oriental","0.5","Main crop","0.5","1200"
"Male","Davao_Oriental","2","Main crop","2","24800"
"Female","Davao_Oriental","7.5","Main crop","7.5","30000"
"Male","Davao_Oriental","5","Main crop","5","12000"
"Male","Davao_del_Sur","2","Main crop","2","1000"
"Male","Davao_del_Sur","1","Main crop","1","5200"
"Male","Davao_del_Sur","1","Main crop","1","600"
"Female","Davao_del_Sur","0.9","Main crop","0.9","1300"
"Male","Davao_del_Sur","5.8","Main crop","5.8","13700"
"Female","Davao_Oriental","6.75","Main crop","6.75","11200"
"Female","Davao_Oriental","1.9","Main crop","1.9","2000"
"Female","Davao_Oriental","1.3","Main crop","1.3","8000"
"Female","Davao_del_Sur","0.01","Secondary crop","0","1350"
"Male","Davao_del_Sur","1","Main crop","1","5200"
"Male","Davao_del_Sur","0.75","Main crop","0.75","1000"
"Female","Davao_del_Sur","1.25","Main crop","1.25","2650"
"Male","Davao_del_Sur","3","Main crop","3","15000"
"Male","Davao_del_Sur","3.5","Main crop","3.5","18000"
"Female","Davao_del_Sur","2.5","Main crop","2.5","6300"
"Male","Davao_del_Sur","5","Main crop","5","12000"
"Female","Davao_del_Sur","2.75","Main crop","2.75","2800"
"Female","Davao_del_Sur","3","Main crop","3","6000"
"Female","Davao_del_Sur","0.7","Main crop","0.7","3200"
"Male","Davao_del_Sur","1","Main crop","1","1000"
"Female","Davao_del_Sur","1","Main crop","1","620"
"Male","Davao_del_Sur","5","Main crop","1","750"
"Female","Davao_del_Sur","1","Main crop","1","3200"
"Female","Davao_del_Sur","4","Main crop","4","48000"
"Male","Davao_del_Sur","0.75","Main crop","0.75","3300"
"Male","Davao_del_Sur","2.6","Main crop","2.6","21000"
"Female","Davao_Oriental","7","Main crop","7","5200"
"Female","Davao_del_Sur","2.5","Main crop","2.5","1400"
"Female","Davao_del_Sur","8","Main crop","8","16000"
"Female","Davao_del_Sur","1","Main crop","1","1800"
"Female","Davao_del_Sur","4","Main crop","4","12000"
"Male","Davao_Oriental","1","Main crop","1","600"
"Male","Davao_Oriental","2","Main crop","2","6000"
"Female","Davao_del_Sur","1","Main crop","1","12000"
"Female","Davao_del_Sur","0.5","Main crop","0.5","1800"
"Female","Davao_del_Sur","0.6","Main crop","0.6","5000"
"Female","Davao_del_Sur","3","Main crop","3","3900"
"Female","Davao_del_Sur","2","Main crop","2","22000"
"Male","Davao_del_Sur","6.24","Main crop","6.24","2100"
"Female","Davao_del_Sur","9","Main crop","9","21000"
"Male","Davao_del_Sur","1.6","Main crop","1.6","4000"
"Male","Davao_del_Sur","0.6","Secondary crop","0.6","1500"
"Male","Davao_del_Sur","2","Main crop","2","3000"
"Male","Davao_del_Sur","0.5","Main crop","0.5","10000"
"Male","Davao_del_Sur","0.6","Main crop","0.6","4050"
"Male","Davao_del_Sur","2","Main crop","2","9000"
"Male","Davao_Oriental","3","Main crop","3","4000"
"Male","Davao_Oriental","1","Main crop","1","15000"
"Male","Davao_Oriental","1","Main crop","1","16000"
"Female","Davao_del_Sur","7","Main crop","7","700"
"Male","Davao_del_Sur","2","Main crop","1.8","8000"
"Male","Davao_del_Sur","6","Main crop","6","18000"
"Female","Davao_del_Sur","6","Main crop","6","16000"
"Female","Davao_Oriental","3","Main crop","3","8000"
"Male","Davao_Oriental","2.2","Main crop","2.2","4900"
"Male","Davao_Oriental","3.8","Main crop","8.8","26000"
"Female","Davao_Oriental","6","Main crop","6","23700"
"Female","Davao_Oriental","4","Main crop","4","12000"
"Female","Davao_Oriental","2.3","Main crop","2.3","12000"
"Female","Davao_Oriental","9","Main crop","9","25000"
"Female","Davao_Oriental","5","Main crop","5","37800"
"Male","Davao_del_Sur","1.5","Main crop","1.5","2500"
"Female","Davao_del_Sur","3.5","Main crop","1.5","1260"
"Male","Davao_Oriental","1","Main crop","1","12000"
"Male","Davao_Oriental","3","Main crop","3","50000"
"Male","Davao_Oriental","9","Main crop","9","20000"
"Male","Davao_Oriental","1.5","Main crop","1.5","6000"
"Male","Davao_del_Sur","1.4","Main crop","1.4","0"
"Male","Davao_del_Sur","2","Main crop","2","10500"
"Male","Davao_del_Sur","2","Main crop","1","3500"
"Male","Davao_del_Sur","1","Main crop","1","1000"
"Female","Davao_del_Norte","0.25","Main crop","0.25","3000"
"Female","Davao_del_Sur","2.5","Main crop","2.5","6500"
"Female","Davao_del_Sur","5","Main crop","4","3300"
"Female","Davao_del_Sur","1.5","Main crop","1.5","3000"
"Female","Davao_del_Sur","2","Secondary crop","2","22000"
"Male","Davao_del_Sur","2.7","Main crop","2.7","3400"
