"name","number","horizon","top","bottom","average","clay","silt","sand","ph_h2o","ph_kcl","soc","tn","c_n","brayp","totalp","crop","landuse","position","ri","include","includetop","cec_ac","cecclay","exca_cmolc_kg","exmg_cmolc_kg","exk_cmolc_kg","exna_cmolc_kg","teb","bs","bs_scaled","teb_icraf","soc_umn","tn_umn","wrb_group","usorder","pit","elevation","cultivated","author","p_differenceparent","p_ratioparent","p_ratiobraytotal","teb_all","map_mm","pet_mm","matx10_c","mi","afsis_bdrule","jelinski_bd","aspect","aspectcat"
"VIT-P2","6","4","110","140","125","62","5","33","4.4","3.6","0.95","0.05","19","60.22","NA","0","High","Mid","7.8125","1","0","15.57","25.11290323","2.46","1.59","0.05","0.35","4.45","28.58060373","0.285806037","NA","NA","NA","Acrisol","Ultisol","1","1940","1","MassaweMeliyo","NA","NA","NA","4.45","848","1260","148","67","NA","1.249472057","210","S"
"KWE-P1","12","1","0","10","5","46","18","36","5.9","4.9","6.21","0.46","13","7.19","NA","0","High","Crest","23.33333333","1","1","25.5","55.43478261","9.02","2.93","0.48","0.39","12.82","50.2745098","0.502745098","NA","NA","NA","Alisol","Ultisol","1","1826","1","MassaweMeliyo","NA","NA","NA","12.82","851","1298","155","66","NA","0.77759272","90","N"
"KWE-P1","12","2","10","35","22.5","66","16","18","5.1","3.9","2.94","0.14","21","5.99","NA","0","High","Crest","11.25","1","0","17.13","25.95454545","1.55","0.49","0.03","0.32","2.39","13.95213076","0.139521308","NA","NA","NA","Alisol","Ultisol","1","1826","1","MassaweMeliyo","NA","NA","NA","2.39","851","1298","155","66","NA","0.965532536","90","N"
"KWE-P1","12","3","35","75","55","55","19","26","4.7","4","2.11","0.09","25","5.7","NA","0","High","Crest","11.25","1","0","14.42","26.21818182","0.76","0.32","0","0.32","1.4","9.708737864","0.097087379","NA","NA","NA","Alisol","Ultisol","1","1826","1","MassaweMeliyo","NA","NA","NA","1.4","851","1298","155","66","NA","1.048907451","90","N"
"KWE-P1","12","4","75","160","117.5",,,,,"NA",,,,"NA","NA","0","High","Crest","NA","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Alisol","Ultisol","1","1826","1","MassaweMeliyo","NA","NA","NA","NA","851","1298","155","66","NA",,"90","N"
"KWE-P2","13","1","0","25","12.5","33","16","51","6.6","5","6.27","0.44","14","5.41","NA","0","High","Mid","43.75","1","1","24.99","75.72727273","24.47","3.81","0.32","0.33","28.93","100","1","NA","NA","NA","Alisol","Ultisol","1","1809","1","MassaweMeliyo","NA","NA","NA","28.93","848","1298","155","65","NA","0.775175971","299","N"
"KWE-P2","13","2","25","50","37.5","58","7","35","6.3","5","2.26","0.22","10","8.77","NA","0","High","Mid","11.25","1","0","18.32","31.5862069","6.28","1.98","0.05","0.34","8.65","47.21615721","0.472161572","NA","NA","NA","Alisol","Ultisol","1","1809","1","MassaweMeliyo","NA","NA","NA","8.65","848","1298","155","65","NA","1.031646208","299","N"
"KWE-P2","13","3","50","90","70",,,,,"NA",,,,"NA","NA","0","High","Mid","15","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Alisol","Ultisol","1","1809","1","MassaweMeliyo","NA","NA","NA","NA","848","1298","155","65","NA",,"299","N"
"KWE-P2","13","4","90","120","105",,,,,"NA",,,,"NA","NA","0","High","Mid","15","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Alisol","Ultisol","1","1809","1","MassaweMeliyo","NA","NA","NA","NA","848","1298","155","65","NA",,"299","N"
"KWE-P3","14","1","0","26","13.25","35","3","62","4.8","3.9","2.23","0.17","13","5.79","NA","1","Low","Mid","11.25","0","0","11.76","33.6","0.56","0.15","0.05","0.27","1.03","8.758503401","0.087585034","NA","NA","NA","Regosol","Entisol","1","1885","0","MassaweMeliyo","NA","NA","NA","1.03","831","1284","152","65","NA","1.035004922","84","N"
"KWE-P3","14","2","26","90","58.25",,,,,"NA",,,,"NA","NA","1","Low","Mid","11.25","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Regosol","Entisol","1","1885","0","MassaweMeliyo","NA","NA","NA","NA","831","1284","152","65","NA",,"84","N"
"KWE-P4","15","1","0","20","10","27","13","60","7.6","6.9","1.92","0.51","4","NA","NA","0","High","Lower","20","1","1","29.31","108.5555556","35.31","3.86","0.5","0.38","40.05","100","1","NA","NA","NA","Phaeozem","Mollisol","1","1770","1","MassaweMeliyo","NA","NA","NA","40.05","869","1300","157","67","NA","1.072624588","359","N"
"KWE-P4","15","2","20","55","37.5","62","10","28","8.1","7","6","0.17","36","NA","NA","0","High","Lower","14.58333333","1","0","20.76","33.48387097","14.49","2.95","0.53","0.35","18.32","88.24662813","0.882466281","NA","NA","NA","Phaeozem","Mollisol","1","1770","1","MassaweMeliyo","NA","NA","NA","18.32","869","1300","157","67","NA","0.786239175","359","N"
"KWE-P4","15","3","55","75","65","73","3","24","7.2","5.9","2.03","0.12","17","NA","NA","0","High","Lower","14.58333333","1","0","21.9","30","9.3","3.25","0.31","0.36","13.22","60.3652968","0.603652968","NA","NA","NA","Phaeozem","Mollisol","1","1770","1","MassaweMeliyo","NA","NA","NA","13.22","869","1300","157","67","NA","1.058622284","359","N"
"KWE-P4","15","4","75","110","92.5","66","1","33","6.8","5.4","1.19","0.06","21","4.05","NA","0","High","Lower","11.25","1","0","10.7","16.21212121","4.53","2.64","0.4","0.34","7.91","73.92523364","0.739252336","NA","NA","NA","Phaeozem","Mollisol","1","1770","1","MassaweMeliyo","NA","NA","NA","7.91","869","1300","157","67","NA","1.192858576","359","N"
"KWE-P4","15","5","110","160","135",,,,,"NA",,,,"NA","NA","0","High","Lower","NA","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Phaeozem","Mollisol","1","1770","1","MassaweMeliyo","NA","NA","NA","NA","869","1300","157","67","NA",,"359","N"
"LUK-P1","16","1","0","20","10","46","12","42","6","4.8","5.9","0.41","15","9.32","NA","1","Low","Crest","13.125","0","0","27.37","59.5","7.52","2.52","0.08","0.33","10.45","38.18048959","0.381804896","NA","NA","NA","Alisol","Ultisol","1","1882","0","MassaweMeliyo","NA","NA","NA","10.45","843","1289","154","65","NA","0.790463476","33","N"
"LUK-P1","16","2","20","40","30","56","10","34","5.2","4","3.43","0.19","18","13.18","NA","1","Low","Crest","11.25","0","0","22.56","40.28571429","1.19","0.69","0.03","0.3","2.21","9.796099291","0.097960993","NA","NA","NA","Alisol","Ultisol","1","1882","0","MassaweMeliyo","NA","NA","NA","2.21","843","1289","154","65","NA","0.926788304","33","N"
"LUK-P1","16","3","40","63","51.5","45","10","45","5.3","4.1","2.02","0.11","19","15.16","NA","1","Low","Crest","13.125","0","0","15.37","34.15555556","0.82","0.59","0.01","0.33","1.75","11.38581653","0.113858165","NA","NA","NA","Alisol","Ultisol","1","1882","0","MassaweMeliyo","NA","NA","NA","1.75","843","1289","154","65","NA","1.059863471","33","N"
"LUK-P1","16","4","63","120","91.5",,,,,"NA",,,,"NA","NA","1","Low","Crest","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Alisol","Ultisol","1","1882","0","MassaweMeliyo","NA","NA","NA","NA","843","1289","154","65","NA",,"33","N"
"KWEM-P1","17","1","0","12","6","35","11","54","6.5","5.8","3.71","0.3","12","3.59","NA","0","High","Lower","20","1","1","18.76","53.6","10.08","2.61","0.36","0.36","13.41","71.48187633","0.714818763","NA","NA","NA","Alisol","Ultisol","1","1753","1","MassaweMeliyo","NA","NA","NA","13.41","846","1287","152","66","NA","0.907065248","292","N"
"KWEM-P1","17","2","12","30","21","43","9","48","6.9","6","1.06","0.09","12","4.95","NA","0","High","Lower","10","1","0","9.55","22.20930233","3.66","2.31","0.03","0.28","6.28","65.7591623","0.657591623","NA","NA","NA","Alisol","Ultisol","1","1753","1","MassaweMeliyo","NA","NA","NA","6.28","846","1287","152","66","NA","1.221934693","292","N"
"KWEM-P1","17","3","30","80","55","39","17","44","5.8","4.6","0.47","0.05","9","7.4","NA","0","High","Lower","10","1","0","11.16","28.61538462","0.25","2.82","0.02","0.28","3.37","30.19713262","0.301971326","NA","NA","NA","Alisol","Ultisol","1","1753","1","MassaweMeliyo","NA","NA","NA","3.37","846","1287","152","66","NA","1.426347376","292","N"
"KWEM-P1","17","4","80","90","85",,,,,"NA",,,,"NA","NA","0","High","Lower","NA","1","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Alisol","Ultisol","1","1753","1","MassaweMeliyo","NA","NA","NA","NA","846","1287","152","66","NA",,"292","N"
"EMA-1","18","1","0","20","10","19","23","58","6.28","5.34","6.34","0.57","11.12280702","9.74","NA","1","Low","Upper","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Luvisol","Alfisol","1","1950","0","Meliyo","NA","NA","NA","NA","892","1276","152","70","NA","0.77238549","254","S"
"EMA-1","18","2","20","50","35","29","21","50","6.53","6.01","4.54","0.34","13.35294118","2.29","NA","1","Low","Upper","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Luvisol","Alfisol","1","1950","0","Meliyo","NA","NA","NA","NA","892","1276","152","70","NA","0.856320925","254","S"
"Ema2","19","1","0","15","7.5","41","4","55","5.42","4.49","2.42","0.18","13.44444444","7.39","NA","0","High","Lower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Acrisol","Ultisol","1","1860","1","Meliyo","NA","NA","NA","NA","867","1299","154","67","NA","1.014453866","40","N"
"Ema2","19","2","15","30","22.5","36","9","55","5.83","4.89","1.63","0.11","14.81818182","1.61","NA","0","High","Lower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Acrisol","Ultisol","1","1860","1","Meliyo","NA","NA","NA","NA","867","1299","154","67","NA","1.113780299","40","N"
"Ema2","19","3","30","100","65","48","6","46","6.33","5.19","0.8","0.06","13.33333333","1.61","NA","0","High","Lower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Acrisol","Ultisol","1","1860","1","Meliyo","NA","NA","NA","NA","867","1299","154","67","NA","1.2926649","40","N"
"Ema2","19","4","100","120","110","50","9","41","5.3","3.96","1.21","0.04","30.25","3.44","NA","0","High","Lower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Acrisol","Ultisol","1","1860","1","Meliyo","NA","NA","NA","NA","867","1299","154","67","NA","1.188669479","40","N"
"Ema3","20","1","0","10","5","36","9","55","5.46","4.12","1.79","0.11","16.27272727","2.66","NA","0","High","Lower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Fluvisol","Entisol","1","1785","1","Meliyo","NA","NA","NA","NA","848","1308","157","65","NA","1.090245926","201","S"
"Ema3","20","2","10","35","22.5","41","11","48","5.01","3.74","1.83","0.11","16.63636364","2.13","NA","0","High","Lower","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Fluvisol","Entisol","1","1785","1","Meliyo","NA","NA","NA","NA","848","1308","157","65","NA","1.084691225","201","S"
