"basline_province","gender","exact_total_farm_area_in","coconut_growing","hectares_under_coconut_farming","whole_nut_kilos_harvested"
"Davao_del_Sur","Female","0.75","Main crop","0.5","240"
"Davao_del_Sur","Female","2","Main crop","2","4600"
"Davao_Oriental","Male","1.5","Main crop","1.5","5700"
"Davao_Oriental","Female","5","Main crop","2.5","10644"
"Davao_Oriental","Male","1.5","Main crop","1.5","2100"
"Davao_Oriental","Female","2.5","Main crop","1","1800"
"Davao_Oriental","Female","1","Main crop","0.5","1100"
"Davao_Oriental","Female","2.5","Main crop","2.5","5400"
"Davao_Oriental","Male","1","Main crop","1","750"
"Davao_Oriental","Female","1.5","Main crop","1.5","2400"
"Davao_del_Sur","Female","0.6","Main crop","0.6","1104"
"Davao_Oriental","Male","10","Main crop","10","300000"
"Davao_Oriental","Female","1","Main crop","1","3600"
"Davao_Oriental","Female","3","Main crop","2.5","23500"
"Davao_Oriental","Male","2","Main crop","1.5","2400"
"Davao_Oriental","Male","3","Main crop","3","6000"
"Davao_Oriental","Female","2.5","Main crop","2.5","8700"
"Davao_Oriental","Female","3.5","Main crop","3.5","10500"
"Davao_Oriental","Female","6","Main crop","6","51000"
"Davao_Oriental","Male","5","Main crop","5","24900"
"Davao_Oriental","Male","1.5","Main crop","1.5","16000"
"Davao_Oriental","Female","2","Main crop","2","4600"
"Davao_del_Sur","Female","0.5","Main crop","0.5","6020"
"Davao_del_Sur","Female","0.33","Main crop","0.33","3500"
"Davao_del_Sur","Female","1","Main crop","1","3300"
"Davao_del_Sur","Female","1","Main crop","1","0"
"Davao_del_Sur","Male","2.5","Main crop","2","400"
"Davao_del_Sur","Female","1","Main crop","1","0"
"Davao_del_Sur","Male","1.5","Main crop","1.5","900"
"Davao_del_Sur","Female","2","Main crop","2","1600"
"Davao_del_Sur","Male","1","Main crop","1","0"
"Davao_del_Sur","Male","0.5","Main crop","0.5","0"
"Davao_Oriental","Male","3","Secondary crop","2","1600"
"Davao_Oriental","Female","3","Main crop","1","3480"
"Davao_Oriental","Female","4","Secondary crop","0.5","600"
"Davao_Oriental","Male","1","Main crop","1","440"
"Davao_Oriental","Female","3","Main crop","1","1440"
"Davao_Oriental","Male","10","Main crop","5","6000"
"Davao_Oriental","Female","1.5","Secondary crop","1.5","800"
"Davao_Oriental","Female","2","Main crop","2","2400"
"Davao_Oriental","Female","4","Main crop","1","400"
"Davao_Oriental","Female","5","Main crop","3","3000"
"Davao_Oriental","Female","3","Main crop","3","450"
"Davao_Oriental","Male","3","Main crop","1.5","1000"
"Davao_Oriental","Male","3","Main crop","1.5","2250"
"Davao_Oriental","Male","4","Main crop","2","600"
"Davao_Oriental","Female","2","Secondary crop","1","0"
"Davao_Oriental","Female","7","Main crop","4","1920"
"Davao_Oriental","Female","2.5","Main crop","2","0"
"Davao_Oriental","Male","4","Secondary crop","2","480"
"Davao_Oriental","Male","7","Main crop","7","16200"
"Davao_Oriental","Female","5","Main crop","2","0"
"Davao_del_Sur","Female","3","Main crop","3","21000"
"Davao_del_Sur","Female","1","Main crop","1","1800"
"Davao_del_Sur","Female","2","Main crop","2","7000"
"Davao_del_Sur","Female","0.25","Secondary crop","0.25","1000"
"Davao_Oriental","Male","7","Main crop","4.7","4400"
"Davao_Oriental","Female","4","Main crop","4","2700"
"Davao_Oriental","Male","2","Main crop","1.5","1000"
"Davao_Oriental","Male","10","Main crop","6","6000"
"Davao_del_Sur","Female","2.8","Main crop","2","4000"
"Davao_del_Sur","Female","1.5","Main crop","1","4000"
"Davao_del_Sur","Female","2","Main crop","2","718"
"Davao_del_Sur","Female","1.5","Main crop","1.5","2500"
"Davao_del_Sur","Male","6","Main crop","6","11500"
"Davao_del_Sur","Female","0.5","Main crop","0.5","0"
"Davao_del_Sur","Male","5","Main crop","5","30000"
"Davao_del_Sur","Female","1","Main crop","1","4200"
"Davao_del_Sur","Female","0.5","Main crop","0.5","2000"
"Davao_del_Sur","Female","2.4","Secondary crop","0.75","2000"
"Davao_Oriental","Male","1.9","Main crop","0.8","3300"
"Davao_Oriental","Male","3","Main crop","2","2500"
"Davao_Oriental","Female","7","Main crop","5","6900"
"Davao_Oriental","Female","5","Main crop","2","6000"
"Davao_del_Sur","Male","3.75","Main crop","2","3200"
"Davao_del_Sur","Female","1","Main crop","1","2800"
"Davao_del_Sur","Male","1","Main crop","1","2500"
"Davao_del_Sur","Male","1","Main crop","1","2800"
"Davao_del_Sur","Male","1","Main crop","1","2400"
"Davao_del_Sur","Male","1","Main crop","1","2500"
"Davao_del_Sur","Female","1","Main crop","1","1200"
"Davao_del_Sur","Male","0.6","Main crop","0.6","4000"
"Davao_del_Sur","Male","1.5","Main crop","1.5","4500"
"Davao_Oriental","Male","3","Main crop","3","4000"
"Davao_Oriental","Male","6.7","Main crop","6.7","3300"
"Davao_Oriental","Male","4","Secondary crop","4","0"
"Davao_Oriental","Male","5","Main crop","1","2000"
"Davao_Oriental","Male","2","Main crop","2","550"
"Davao_Oriental","Male","2.5","Main crop","2","1400"
"Davao_Oriental","Female","3","Main crop","1.5","1250"
"Davao_del_Sur","Male","1","Main crop","1","1800"
"Davao_del_Norte","Female","1","Main crop","1","1280"
"Davao_del_Norte","Male","3","Main crop","3","13000"
"Davao_del_Norte","Female","3.5","Main crop","3.5","15000"
"Davao_del_Norte","Female","0.8","Main crop","0.8","2000"
"Davao_Oriental","Female","3","Main crop","3","400"
"Davao_Oriental","Female","1","Secondary crop","1","0"
"Davao_Oriental","Female","2.5","Main crop","2.5","2000"
"Davao_Oriental","Male","2.5","Main crop","2.5","280"
"Davao_Oriental","Male","1","Main crop","1","0"
"Davao_Oriental","Male","4.5","Main crop","3","4800"
"Davao_Oriental","Female","4","Main crop","2","4000"
"Davao_Oriental","Female","0.8","Main crop","0.8","3000"
"Davao_del_Norte","Female","2","Main crop","1","80"
"Davao_del_Norte","Male","1","Main crop","1","3000"
"Davao_del_Norte","Female","2","Main crop","1","2200"
"Davao_Oriental","Female","3","Secondary crop","1","588"
"Davao_Oriental","Male","5","Main crop","5","2636"
"Davao_Oriental","Male","3","Main crop","3","0"
"Davao_Oriental","Female","2.75","Main crop","2.5","960"
"Davao_Oriental","Female","1","Main crop","1","0"
"Davao_Oriental","Male","2","Main crop","1.5","0"
"Davao_Oriental","Male","4","Main crop","4","280"
"Davao_Oriental","Male","2","Secondary crop","0.5","1000"
"Davao_del_Sur","Male","0.5","Secondary crop","0.5","1500"
"Davao_del_Sur","Female","3","Main crop","1.5","1600"
"Davao_del_Sur","Male","4.2","Main crop","4.2","4800"
"Davao_del_Sur","Female","1","Main crop","1","2400"
"Davao_del_Sur","Female","3","Main crop","3","1400"
"Davao_del_Norte","Female","1.2","Main crop","0.6","1800"
"Davao_del_Sur","Male","2","Main crop","2","900"
"Davao_del_Sur","Female","2","Main crop","2","3000"
"Davao_del_Sur","Male","2.9","Main crop","2.9","0"
"Davao_del_Sur","Female","1.75","Main crop","1.25","0"
"Davao_del_Sur","Female","1.8","Main crop","0.8","900"
"Davao_del_Sur","Male","1.75","Main crop","1.5","2000"
"Davao_del_Sur","Male","0.75","Secondary crop","0.75","160"
"Davao_del_Sur","Female","2","Main crop","0.5","1025"
"Davao_Oriental","Male","0.25","Main crop","0.25","600"
"Davao_Oriental","Female","1.25","Main crop","1","1800"
"Davao_Oriental","Male","3","Main crop","1","2600"
"Davao_del_Sur","Male","1","Main crop","1","4900"
"Davao_del_Sur","Female","1","Main crop","1","0"
"Davao_del_Norte","Male","2.6","Main crop","2.6","4400"
"Davao_del_Norte","Male","2.8","Main crop","2.8","2000"
"Davao_del_Norte","Female","2.2","Main crop","2.2","6000"
"Davao_del_Norte","Female","1","Main crop","1","6000"
"Davao_del_Norte","Female","1.5","Main crop","1.5","3100"
"Davao_Oriental","Female","1.4","Main crop","1","2100"
"Davao_Oriental","Female","1","Main crop","1","0"
"Davao_Oriental","Female","2.75","Main crop","2.5","15000"
"Davao_Oriental","Female","8","Main crop","8","24000"
"Davao_Oriental","Male","8","Main crop","2","6000"
"Davao_Oriental","Female","1.6","Main crop","1","9500"
"Davao_Oriental","Male","3","Main crop","3","12800"
"Davao_Oriental","Female","1.75","Main crop","1.75","8400"
"Davao_del_Sur","Male","0.75","Main crop","0.05","2700"
"Davao_del_Sur","Female","4","Main crop","4","8000"
"Davao_del_Sur","Female","0.3","Main crop","0.3","800"
"Davao_del_Sur","Male","4","Main crop","4","20000"
"Davao_del_Sur","Female","3.2","Main crop","3.2","7000"
"Davao_del_Sur","Male","2.5","Main crop","2.5","0"
"Davao_del_Sur","Male","2.5","Main crop","1.5","1100"
"Davao_Oriental","Male","1.2","Main crop","1","600"
"Davao_del_Sur","Female","1","Main crop","0.75","1300"
"Davao_del_Sur","Female","2","Main crop","2","10000"
"Davao_del_Sur","Male","2","Main crop","2","20000"
"Davao_Oriental","Female","0.83","Main crop","0.83","3000"
"Davao_del_Sur","Male","1","Main crop","1","4614"
"Davao_del_Sur","Female","1","Main crop","1","4800"
"Davao_del_Sur","Female","2","Main crop","2","5000"
"Davao_del_Sur","Male","2.7","Main crop","2.7","12000"
"Davao_del_Sur","Female","1","Main crop","0.5","4800"
"Davao_del_Sur","Male","2","Main crop","2","8000"
"Davao_del_Sur","Male","0.5","Main crop","0.5","6100"
"Davao_del_Sur","Male","1","Main crop","0.75","0"
"Davao_del_Sur","Female","0.5","Main crop","0.5","0"
"Davao_del_Sur","Male","1","Main crop","1","4000"
"Davao_del_Sur","Male","0.5","Main crop","0.5","3600"
