"idnum","pais","estratopri","upm","prov","municipio","parmunicipio","parsegmento","cluster","ur","tamano","idiomaq","horainicio","fecha","q1","ls3","a4","soct1","soct2","soct3","idio1","idio2","idio3","cp2","cp4a","cp4","np1","np2","muni10","sgl1","cp5","cp6","cp7","cp8","cp9","cp13","cp20","ls6","ls6a","it1","l1","prot3","prot4","y4","jc1","jc10","jc13","jc15a","jc16a","vic1ext","vic1exta","vic2","vic2aa","vic1hogar","aoj8","aoj11","aoj11a","aoj12","aoj17","b1","b2","b3","b4","b6","b10a","b11","b12","b13","b14","b18","b20","b20a","b21","b21a","b31","b32","b43","b16","b17","b37","b46","b47","b48","n1","n3","n9","n11","n12","n15","wt1","wt2","m1","m2","pop101","pop102","pop103","pop107","pop113","eff1","eff2","ing4","dem23","ros1","ros2","ros3","ros4","ros5","ros6","pn4","pn5","e5","e8","e11","e15","e14","e3","e16","d1","d2","d3","d4","d5","d6","dem2","dem11","aut1","pp1","pp2","exc2","exc6","exc11","exc13","exc14","exc15","exc16","exc18","exc7","per1","per2","per3","per4","per5","per6","per7","per8","per9","per10","crisis1","crisis2","vb1","vb2","vb3","vb10","vb11","pol1","vb20","clien1","clien2","ed","q2","y1","y2","y3","haicr1","q3c","q5a","q5b","q10","q10a","q10b","q10a3","q10c","q16","q14","q10d","q10e","q10f","q11","q12","q12a","etid","leng1","www1","gi0","gi1","gi3","gi4","r1","r3","r4","r4a","r5","r6","r7","r8","r12","r14","r15","r16","r18","ocup4a","ocup1a","ocup1b1","ocup1b2","pen1","pen3","pen4","sal1","sal2","sal4","colorr","horafin","ti4","intid","sexi","colori","paridioq","fecha2","dig","newnro","year","weight1500"
"51","12","1201","7","1200","1205","0","7","50007","1","1","1",,"2010-01-22T00:00:00.000","1","2.0","3.0","2.0","1.0","2.0","3.0","2.0","1.0","2.0","2.0","2.0","2.0","1.0","0.0","4.0","2.0","1.0","2.0","2.0","4.0","4.0",,"5.0","5.0","4.0","5.0","2.0",,,"1.0","1.0","2.0","1.0","1.0","2",,,,"1","1.0","4.0","1.0","4.0","1.0","1.0","2.0","1.0","3.0","2.0","2.0","4.0","2.0","1.0","3.0","1.0","6.0","4.0","1.0","6.0","1.0","1.0","5.0","4","4.0","5.0","4","5.0","2.0","2.0","4.0","4.0","4.0","2.0","5.0","2.0","5.0","2.0","5.0","4.0","1.0","2.0","1.0","5.0","1.0","2.0","6.0","4.0","4.0","6.0","6.0","6.0","7.0","7.0","2.0","2.0","10.0","10.0","3.0","1.0","1.0","1.0","6.0","6.0","6.0","4.0","3.0","6.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","1.0",,"0.0","1.0","0.0","1.0","0.0","1.0","7.0","1.0","6.0","1.0","6.0","2.0","3.0","1.0","6.0","1.0","2.0","1.0","1.0","1.0","1201.0","2.0",,"4.0",,"2.0","3.0","9.0","47",,,,,"5.0","2.0","1.0",,"2.0",,,"4.0",,"2.0",,"2.0",,"3.0","2.0","2.0","2.0","1201.0","5.0","1.0","1.0",,"1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","4.0","3.0","2.0","2.0",,,"2.0",,,"6","14.02","47","20","2","6","1","2010-01-22T00:00:00.000","11","51","2010","0.99866844"
"52","12","1201","7","1200","1205","0","7","50007","1","1","1",,"2010-01-22T00:00:00.000","2",,"3.0","2.0","2.0",,"3.0","2.0",,"2.0","2.0","2.0","2.0","2.0",,"4.0","2.0","2.0","2.0","2.0","4.0","4.0","4.0","5.0","6.0","4.0","5.0","2.0",,,"2.0","1.0","1.0","1.0","1.0","2",,,,"2","1.0","4.0","1.0","4.0","1.0","2.0","3.0","2.0","4.0","2.0","1.0","3.0","2.0","1.0","4.0","1.0","6.0","3.0","1.0","6.0","1.0","3.0","4.0","3","4.0","5.0","88","4.0","2.0","1.0","3.0","4.0","4.0","2.0","4.0","4.0","4.0","2.0","5.0","3.0","6.0","6.0","1.0","3.0","2.0","1.0","6.0","5.0","7.0","7.0","6.0","7.0","7.0","7.0","2.0","1.0","9.0","10.0","2.0","1.0","1.0","1.0","6.0","7.0","8.0","6.0","5.0","4.0","1.0","2.0","1.0","2.0","4.0","2.0","1.0","1.0",,"0.0","1.0","0.0","1.0","0.0","1.0","6.0","4.0","5.0","6.0","7.0","2.0","3.0","2.0","4.0","5.0","2.0","1.0","1.0","1.0","1201.0","2.0",,"4.0","2.0","1.0","1.0","8.0","36",,,,,"1.0","3.0","2.0",,"2.0",,,"4.0",,"2.0","4.0","2.0",,"2.0","4.0","4.0","7.0","1202.0","5.0","1.0","2.0","2.0","2.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","4.0","3.0","2.0","2.0",,,"2.0",,,"7","12.05","45","20","2","6","2","2010-01-22T00:00:00.000","11","52","2010","0.99866844"
"53","12","1201","7","1200","1205","0","7","50007","1","1","1",,"2010-01-21T00:00:00.000","2","2.0","11.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0",,"2.0","3.0","1.0","3.0","2.0","4.0","4.0","4.0","7.0","7.0","3.0","5.0","2.0",,,"2.0","2.0","2.0","1.0","1.0","2",,,,"2","1.0","4.0","1.0","3.0","1.0","1.0","3.0","1.0","4.0","2.0","1.0",,"5.0","1.0","4.0","1.0",,"7.0","2.0","6.0","1.0","1.0","3.0","88",,"3.0","88","2.0","2.0","1.0","4.0","4.0","3.0","1.0","4.0","1.0","4.0","1.0","5.0","4.0","6.0","6.0","6.0","5.0","1.0","1.0","7.0",,"7.0","7.0","7.0","6.0","7.0","7.0","2.0","2.0","6.0","7.0",,"2.0","2.0","1.0","4.0","3.0","3.0","2.0","2.0","2.0","1.0","2.0","2.0","2.0","4.0","2.0","1.0","1.0",,,,"0.0","0.0","0.0","1.0","6.0","2.0","5.0","3.0","5.0","5.0","2.0","2.0","6.0","5.0","2.0","1.0","1.0","1.0","1202.0","2.0",,"4.0","2.0","1.0","3.0","8.0","43",,,,,"5.0","1.0",,,"2.0",,,"4.0",,"2.0","3.0","2.0",,"1.0","3.0","3.0","7.0","1202.0","5.0","1.0",,,"1.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0",,"2.0",,"2.0",,,"2.0",,,"5","14.26","41","20","2","6","2","2010-01-21T00:00:00.000","11","53","2010","0.99866844"
"54","12","1201","7","1200","1205","0","7","50007","1","1","1",,"2010-01-21T00:00:00.000","1","2.0","3.0","4.0","1.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0",,"4.0","3.0","2.0","4.0","2.0","4.0","4.0",,"5.0","3.0","4.0","4.0","2.0",,,"2.0","1.0","1.0","1.0","1.0","2",,,,"2","1.0","4.0","1.0","4.0","1.0","1.0","5.0","3.0","2.0","1.0","1.0","3.0","1.0","1.0","2.0","2.0","7.0","1.0","3.0","1.0","2.0","2.0","7.0","5","7.0","6.0","2","2.0","4.0","1.0","2.0","2.0","2.0","1.0","1.0","2.0","3.0","3.0","4.0","3.0","5.0","7.0","7.0","1.0","1.0","1.0","7.0","4.0","3.0","7.0","7.0","7.0","7.0","7.0","3.0","4.0","7.0","7.0","8.0","8.0","4.0","5.0","8.0","5.0","7.0","8.0","9.0","1.0","1.0","2.0","1.0","2.0","4.0","2.0","0.0","0.0",,"0.0","0.0","0.0",,"0.0","3.0","6.0","1.0","7.0","1.0","7.0","5.0","5.0","1.0","7.0","3.0","1.0","7.0","1.0","2.0",,"2.0",,"2.0","3.0",,,"7.0","22","2.0","1.0","2.0","1.0","1.0","3.0","1.0","2.0","2.0",,,"3.0","4.0","1.0","4.0","1.0",,"3.0","1.0","1.0","7.0","1202.0","5.0","1.0",,,,"1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","4.0","1.0","2.0","2.0",,,"2.0",,,"6","15.15","57","20","2","6","1","2010-01-21T00:00:00.000","11","54","2010","0.99866844"
"55","12","1201","7","1200","1205","0","7","50007","1","1","1",,"2010-01-22T00:00:00.000","1","2.0","3.0","3.0","2.0","1.0","3.0","3.0",,,,,"2.0","2.0",,"4.0","4.0","3.0","2.0","3.0","4.0","4.0",,"4.0","2.0","4.0","4.0","2.0",,,"2.0","1.0","2.0","1.0","1.0","1",,"3.0","2.0","2","1.0","4.0","1.0","4.0","1.0","1.0","4.0","2.0","5.0","2.0","1.0","4.0","3.0","1.0","3.0","1.0","5.0","4.0","1.0","5.0","1.0",,"2.0","3","3.0","4.0","4","4.0","1.0","2.0","4.0","5.0","4.0","2.0","3.0","2.0","4.0","2.0","5.0","2.0","6.0","5.0","2.0","4.0","1.0","2.0","7.0","4.0","6.0","7.0","5.0","7.0","7.0","7.0","2.0","2.0","8.0","10.0","3.0","2.0","1.0","1.0","5.0","6.0","7.0","5.0","6.0","5.0","1.0","2.0","1.0","2.0","4.0","1.0","1.0","0.0",,"0.0",,"0.0","1.0","0.0","1.0","6.0","2.0","6.0","2.0","6.0","1.0","4.0","1.0","5.0","2.0","2.0","1.0","1.0","1.0","1201.0","2.0",,"3.0","2.0","1.0","3.0","12.0","38",,,,,"1.0","3.0","2.0",,"2.0",,,"4.0",,"2.0","3.0","2.0",,"3.0","3.0","3.0","7.0","1202.0","5.0","2.0","2.0",,"1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","4.0","3.0","2.0","2.0",,,"2.0",,,"7","10.47","42","20","2","6","2","2010-01-22T00:00:00.000","11","55","2010","0.99866844"
"56","12","1201","7","1200","1205","0","7","50007","1","1","1",,"2010-01-22T00:00:00.000","1","2.0","4.0","3.0","2.0","2.0","4.0","3.0",,"2.0","2.0","2.0","2.0","2.0",,"4.0","4.0","4.0","3.0","4.0","4.0","4.0",,"3.0","5.0","4.0",,"2.0",,,"2.0","1.0","2.0","1.0","1.0","1",,"1.0","1.0","2","2.0","4.0","1.0","4.0","1.0","1.0","3.0","2.0","3.0","3.0","2.0","3.0","1.0","1.0","4.0","1.0","5.0","3.0","2.0","5.0","3.0","2.0","5.0","88","4.0","5.0","88","5.0",,"2.0",,"2.0","3.0","1.0","4.0","3.0","4.0","3.0","5.0","3.0","7.0","7.0","1.0","2.0","1.0","1.0","6.0",,"7.0","7.0","7.0","7.0","6.0","7.0","2.0","1.0","7.0","9.0","1.0","1.0","1.0","1.0","5.0",,"6.0","4.0","3.0","2.0","1.0","2.0","2.0","2.0","4.0","2.0","1.0","0.0",,,,"0.0",,,"1.0","5.0","2.0","5.0","2.0","2.0","5.0","1.0","1.0","6.0","2.0","1.0","1.0","1.0","1.0","1201.0","2.0",,,,"1.0","1.0","6.0","52",,,,,"1.0","3.0","3.0","0.0","2.0",,,"4.0",,"2.0","3.0","2.0",,"1.0","4.0","1.0","2.0","1201.0","5.0","1.0",,,"1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0",,"2.0","2.0","2.0",,,"2.0",,,"7","15.55","45","20","2","6","1","2010-01-22T00:00:00.000","11","56","2010","0.99866844"
"57","12","1201","37","1200","1205","0","37","50037","1","1","1",,"2010-01-21T00:00:00.000","1","2.0","70.0","3.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0",,"2.0","4.0","1.0","4.0","4.0","4.0","4.0",,"5.0","8.0","4.0","4.0","2.0",,,"2.0","1.0","2.0","2.0","2.0","1","2.0","1.0","4.0","1","2.0","4.0","1.0","4.0","3.0","5.0","4.0","4.0","6.0","6.0","6.0","7.0","4.0","3.0","5.0","3.0","2.0","6.0","3.0","1.0","6.0","4.0","7.0","6","5.0","6.0","6","7.0","7.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","4.0","2.0","6.0","1.0","1.0","1.0","5.0","1.0","1.0","4.0","1.0","7.0","7.0","7.0","7.0","7.0","7.0","3.0","2.0","5.0","5.0","1.0","1.0","1.0","1.0",,"3.0","6.0","6.0","3.0","1.0","1.0","2.0","1.0","1.0","4.0","2.0","1.0","1.0","0.0","0.0",,,,"0.0","1.0","7.0","7.0","5.0","5.0","5.0","2.0","7.0","2.0","7.0","2.0","1.0","3.0","1.0",,,"1.0","1202.0","4.0","3.0","3.0",,"15.0","37",,,,,"1.0","1.0","1.0","10.0","2.0",,,,,"2.0","1.0","2.0",,"1.0",,,"2.0","1201.0","1.0",,"1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","2.0",,"2.0","2.0",,,"1.0","1.0","1.0","4","16.3","40","12","1","3","1","2010-01-21T00:00:00.000","11","57","2010","0.99866844"
"58","12","1201","37","1200","1205","0","37","50037","1","1","1",,"2010-01-21T00:00:00.000","2","1.0","27.0","4.0","1.0","2.0","3.0","2.0","1.0","2.0","2.0","2.0","2.0","1.0","0.0","4.0","1.0","1.0","4.0","2.0","4.0","3.0","2.0","7.0","7.0","1.0","5.0","2.0",,,"2.0","2.0","2.0","2.0","2.0","1","1.0","3.0","2.0","1","1.0","4.0","1.0","3.0","1.0","5.0","7.0","5.0","5.0","7.0","5.0","5.0","7.0","5.0","5.0","4.0","7.0","6.0","5.0","5.0","5.0","5.0","7.0","6","5.0","5.0","5","5.0","1.0","4.0","4.0","4.0","5.0","5.0","4.0","1.0","3.0","2.0","2.0","1.0","2.0","2.0","6.0","1.0","1.0","7.0","7.0","7.0","1.0","7.0","7.0","7.0","7.0","7.0","2.0","2.0","6.0","7.0","7.0","1.0","1.0","1.0","1.0","7.0","7.0","7.0","7.0","7.0",,"2.0","2.0","2.0","2.0","1.0","0.0","1.0","0.0","0.0",,,,"0.0","1.0","7.0","1.0","7.0","5.0","7.0","1.0","5.0","1.0","3.0","6.0","2.0","1.0","1.0","1.0","1201.0","1.0","1202.0","1.0",,"3.0",,"20.0","39",,,,,"1.0","1.0","1.0","10.0","2.0",,,"3.0","2.0","2.0","2.0","1.0",,"2.0","2.0","2.0","1.0","1201.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","0.0","1.0","1.0","1.0",,"2.0","2.0",,,"1.0","3.0","1.0","4","11.55","55","12","1","3","1","2010-01-21T00:00:00.000","11","58","2010","0.99866844"
"59","12","1201","37","1200","1205","0","37","50037","1","1","1",,"2010-01-21T00:00:00.000","2","2.0","27.0","4.0","3.0","2.0","3.0","2.0","2.0","1.0","1.0","2.0","2.0","2.0",,"3.0","3.0","1.0","4.0","4.0","3.0","4.0","4.0","5.0","7.0","2.0","4.0","2.0",,,"2.0","2.0","2.0","2.0","2.0","1","2.0","10.0","2.0","1","1.0","4.0","1.0","4.0","1.0","2.0","5.0","4.0","4.0","6.0","3.0","3.0","2.0","4.0","3.0","3.0","5.0",,"3.0","2.0","2.0","3.0","7.0","3","3.0","4.0","4","3.0","6.0","3.0","3.0","1.0","1.0","2.0","3.0","1.0","1.0","4.0","4.0","3.0","2.0","2.0","3.0","4.0",,,"4.0","2.0","2.0","5.0","5.0","3.0","5.0","5.0","2.0","1.0","9.0","9.0","9.0","7.0","1.0","1.0","1.0","7.0","7.0","5.0","3.0","6.0","5.0","1.0","2.0","2.0","4.0","2.0","1.0","0.0",,,,,,"0.0","2.0","3.0","2.0","7.0","7.0","7.0","7.0","6.0","5.0","5.0","6.0","2.0","7.0","1.0","1.0","1202.0","2.0",,"1.0","3.0","2.0","1.0","14.0","20","2.0","5.0","2.0","11.0","1.0","1.0","1.0",,"2.0",,,"4.0",,"2.0","2.0","2.0",,"1.0","0.0",,"2.0","1201.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","1.0","1.0","0.0","1.0","4.0",,"3.0",,"2.0",,,"1.0","3.0","2.0","4","10.55","55","12","1","3","1","2010-01-20T00:00:00.000","11","59","2010","0.99866844"
"60","12","1201","37","1200","1205","0","37","50037","1","1","1",,"2010-01-21T00:00:00.000","2","3.0","27.0","4.0","1.0","2.0","4.0","2.0","2.0","1.0","2.0","1.0","2.0","2.0",,"4.0","4.0","2.0","4.0","4.0","4.0","4.0","4.0","4.0","4.0","2.0",,"2.0",,,"1.0","1.0","1.0",,"2.0","2",,,,"1","1.0","3.0","1.0","4.0","1.0","3.0","2.0","4.0","2.0","2.0","2.0","2.0","5.0","2.0","5.0","5.0","5.0","1.0","1.0","5.0",,"1.0","6.0","2",,"6.0","88","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","2.0","4.0","2.0",,"4.0","5.0","5.0","6.0","4.0","1.0","1.0","5.0","1.0","7.0","7.0","7.0","7.0","7.0","7.0","2.0","3.0","4.0","4.0","3.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0",,"1.0","2.0","4.0","1.0","0.0","0.0",,"0.0",,"0.0",,"0.0","1.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0",,,"1.0","1.0","1202.0","2.0",,"3.0","2.0","3.0",,"5.0","64",,,,,"1.0","2.0","1.0",,"2.0",,,"4.0",,"2.0","3.0","3.0","4.0","2.0","4.0","4.0","4.0","1202.0","5.0","1.0","1.0",,"1.0","1.0","1.0","1.0","0.0","0.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","5.0",,"1.0","2.0","2.0",,,"2.0",,,"6","17.15","40","12","1","3","1","2010-01-21T00:00:00.000","11","60","2010","0.99866844"
"61","12","1201","37","1200","1205","0","37","50037","1","1","1",,"2010-01-22T00:00:00.000","1","1.0","70.0","5.0","3.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0",,,"4.0","4.0","4.0","4.0","4.0","4.0",,"5.0","5.0","2.0","5.0","2.0",,,"2.0","2.0",,"2.0","2.0","2",,,,"2","1.0",,"1.0",,"4.0","1.0","7.0","3.0","1.0",,"1.0","2.0","2.0","5.0","1.0","2.0","7.0","7.0","3.0","1.0","2.0","2.0",,"2","3.0","3.0","88","3.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","4.0","3.0","1.0","1.0","1.0","1.0","1.0","1.0","7.0","5.0","1.0","3.0","7.0","4.0","7.0","3.0","7.0","3.0",,"10.0","10.0","10.0","1.0","1.0","1.0","1.0","10.0","10.0","8.0","2.0","5.0","1.0","3.0","2.0","2.0","4.0","2.0","0.0","0.0","0.0","1.0",,"0.0",,"0.0","1.0","2.0","1.0","1.0","3.0","2.0","1.0","2.0","1.0","2.0","7.0","1.0","77.0","1.0","1.0","77.0","2.0",,"4.0","3.0","3.0",,"6.0","65",,,,,"1.0","5.0","1.0","10.0","2.0",,,"4.0",,"2.0","2.0","2.0",,"2.0","2.0","0.0","7.0","1202.0","5.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","6.0",,"3.0","2.0","1.0","2.0","1.0","1.0","4.0","1.0","5","11.5","50","12","1","3","1","2010-01-22T00:00:00.000","11","61","2010","0.99866844"
"62","12","1201","37","1200","1205","0","37","50037","1","1","1",,"2010-01-22T00:00:00.000","1","1.0","4.0","3.0","2.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0",,"2.0","2.0","4.0","4.0","4.0","4.0","4.0",,"7.0","5.0","1.0","6.0","2.0",,,"2.0","2.0","1.0","2.0","2.0","2",,,,"2","1.0","2.0","1.0","3.0","4.0","4.0","7.0","5.0","6.0","7.0","5.0","5.0","5.0","4.0","3.0","6.0",,"7.0","5.0","4.0","5.0","6.0","7.0","6","6.0","7.0","5","5.0","4.0","5.0","4.0","4.0","5.0","5.0","4.0","3.0","3.0","3.0","2.0","3.0","4.0","2.0","3.0","2.0","3.0","4.0","4.0","2.0","5.0","6.0","6.0","7.0","6.0","7.0","2.0","1.0","5.0","7.0","7.0","4.0","1.0","1.0","5.0","5.0","6.0","3.0","3.0","3.0","6.0","3.0",,"2.0","4.0","2.0","0.0","0.0","0.0",,,"0.0",,"0.0","2.0","7.0","2.0","5.0","5.0","5.0","6.0","6.0","6.0","7.0","5.0","2.0","8.0",,"2.0",,"2.0",,"3.0","3.0","3.0",,"12.0","18","4.0","11.0","1.0","3.0","5.0","2.0","1.0",,"2.0",,,"4.0",,"1.0","1.0","1.0",,"1.0","0.0",,"1.0","1201.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","3.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","4.0",,"3.0","2.0","2.0",,,"1.0","3.0","2.0","3","10.5","30","12","1","3","1","2010-01-22T00:00:00.000","11","62","2010","0.99866844"
"63","12","1201","37","1200","1205","0","37","50037","1","1","1",,"2010-01-22T00:00:00.000","2","1.0","31.0","4.0","3.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0",,"3.0",,"2.0","4.0","4.0","4.0","4.0","4.0","5.0","10.0","2.0","5.0","2.0",,,"1.0","1.0","1.0","2.0","2.0","1","4.0","8.0","1.0","1","1.0","3.0","1.0","4.0","2.0","1.0","4.0","1.0","4.0","1.0","1.0","3.0","5.0","3.0","1.0","3.0","3.0",,"1.0","3.0","1.0","4.0","7.0","3",,"5.0","88","4.0","4.0","1.0","3.0","2.0","1.0","1.0","1.0","4.0","4.0","3.0","2.0","1.0","1.0","1.0","7.0","1.0","3.0","5.0","2.0","5.0","4.0","5.0","7.0","7.0","7.0","7.0","2.0","2.0","9.0","10.0","3.0","1.0","1.0","1.0","1.0","8.0","6.0",,,"8.0","4.0","2.0","2.0","2.0","4.0","2.0","0.0","0.0",,,,,,"0.0","2.0","5.0","1.0","2.0","2.0","5.0","4.0","2.0","2.0","1.0","6.0","1.0","2.0","1.0","1.0","1201.0","2.0",,"4.0","3.0","3.0",,"6.0","50",,,,,"1.0","5.0","1.0","9.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0",,"2.0","3.0","1.0","1.0","1201.0","1.0","1.0","1.0",,"1.0","1.0","1.0","0.0","1.0","1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","1.0","5.0",,"3.0","2.0","2.0",,,"1.0","3.0","1.0","3","10.15","35","12","1","3","1","2010-01-22T00:00:00.000","11","63","2010","0.99866844"
"64","12","1201","37","1200","1205","0","37","50037","1","1","1",,"2010-01-22T00:00:00.000","2","2.0","3.0","3.0","1.0","2.0","2.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0",,"2.0","4.0","3.0","4.0","4.0","2.0","4.0","4.0","8.0","6.0","1.0",,"2.0",,,"1.0","1.0","1.0","1.0","1.0","2",,,,"2",,"3.0","1.0","3.0","3.0","2.0","1.0","2.0","2.0","3.0","2.0","1.0","4.0","2.0","5.0","4.0","7.0",,"1.0","3.0","3.0","5.0","6.0","4","5.0","2.0","2","2.0","4.0","3.0","3.0","1.0","3.0","3.0","3.0","4.0","3.0","3.0","4.0","3.0","4.0","4.0","6.0","5.0","2.0","4.0","5.0","2.0","3.0","5.0","6.0","4.0","5.0","6.0","3.0","2.0","5.0","9.0","10.0","10.0","6.0","8.0","9.0","7.0","7.0","5.0","7.0","8.0","6.0","3.0","1.0","2.0","4.0","2.0","0.0","1.0","0.0","0.0",,,,"0.0","1.0","6.0","6.0","5.0","4.0","5.0","5.0","6.0","5.0","6.0","7.0","2.0","1.0","2.0","2.0",,"2.0",,"3.0","1.0","3.0",,"11.0","29",,,,,"1.0","4.0","1.0","8.0","2.0",,,"4.0",,"2.0","1.0","1.0",,"2.0","1.0","1.0","2.0","1201.0","5.0","1.0",,,"1.0","1.0","1.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","5.0",,"3.0","2.0","2.0",,,"2.0",,,"3","17.2","30","17","1","4","1","2010-01-22T00:00:00.000","11","64","2010","0.99866844"
"65","12","1201","58","1200","1205","0","58","50058","1","1","1",,"2010-01-21T00:00:00.000","2","1.0","3.0","5.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0",,"4.0","4.0","2.0","2.0","4.0","4.0","4.0","4.0",,"8.0","2.0","5.0","2.0",,,"2.0","2.0","2.0","2.0","2.0","2",,,,"1","1.0","3.0","1.0","4.0","3.0","1.0","2.0","1.0","1.0","7.0","1.0","1.0","4.0","4.0","2.0","5.0","6.0","5.0","1.0","1.0","1.0","1.0","7.0","4","3.0","4.0","2","7.0","1.0","2.0","4.0","3.0","6.0","4.0","3.0","1.0","2.0","4.0","4.0","1.0","1.0","1.0","1.0","1.0","1.0","7.0","7.0","1.0","1.0","7.0",,"7.0","7.0","7.0","2.0","2.0","10.0","10.0","10.0","1.0","1.0","1.0","1.0","10.0","10.0","10.0","10.0","10.0","1.0","2.0","2.0","2.0","3.0","1.0","0.0","0.0","0.0",,,,,"0.0","1.0","7.0","2.0","5.0","3.0","7.0","1.0","7.0","4.0","5.0","1.0","2.0","7.0","1.0","1.0","1201.0","1.0","1203.0","2.0","3.0","3.0",,"18.0","62",,,,,"1.0","5.0","3.0",,"2.0",,,"4.0",,"2.0","2.0","2.0",,"2.0","3.0","1.0","1.0","1201.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","0.0","1.0","1.0","0.0","1.0","5.0",,"3.0","2.0","2.0",,,"1.0","3.0","1.0","3","11.57","55","23","1","6","1","2010-01-21T00:00:00.000","11","65","2010","0.99866844"
"66","12","1201","58","1200","1205","0","58","50058","1","1","1",,"2010-01-21T00:00:00.000","1","1.0","61.0","3.0","2.0","1.0","2.0","1.0","1.0","2.0","1.0","2.0","2.0","2.0",,"5.0","3.0","1.0","2.0","1.0","4.0","4.0",,,"5.0","2.0","5.0","2.0",,,"2.0","2.0","2.0","2.0","2.0","2",,,,"2","1.0","1.0","1.0","2.0","3.0","4.0","4.0","2.0","2.0","7.0","3.0","5.0","4.0","1.0","6.0","3.0","5.0",,"2.0","6.0","2.0","2.0","7.0","2","2.0","4.0","88","6.0","3.0","4.0","5.0","4.0","4.0","3.0","5.0","2.0","2.0","2.0","5.0","1.0","1.0","4.0","6.0","5.0","6.0","5.0","7.0","2.0","2.0","2.0","7.0","6.0","6.0","7.0","3.0","2.0","10.0","10.0","10.0","2.0","2.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","3.0","2.0","0.0","0.0",,"1.0","0.0","0.0","0.0","0.0","1.0","7.0","3.0","6.0","1.0","7.0","6.0","6.0","3.0","6.0","3.0","2.0","6.0","1.0","1.0","1201.0","2.0",,"2.0",,"3.0",,"14.0","41",,,,,"1.0","1.0","1.0","9.0","2.0",,,"4.0",,"2.0","2.0","2.0",,"5.0","2.0","0.0","1.0","1201.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","1.0","0.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","2.0","1.0","1.0","2.0",,,"1.0","3.0","2.0","4","17.58","33","23","1","6","1","2010-01-21T00:00:00.000","11","66","2010","0.99866844"
