"month","knew_that_el_pueblo_offers_free_tours","local_residents","out_of_state_visitors","international_visitors","visited_a_restaurant","purchased_an_item_on_olvera_st","visited_a_museum","came_for_a_specific_event_exhibit","arrived_on_bus_charter_tour","arrived_by_public_transit","enjoyed_the_visit","would_recommend_el_pueblo_to_a_friend"
"2019-03-01T00:00:00.000","23.00","52.00","20.0","7.00","51.00","62.00","90.0","52.00","8.00","45.00","95.00","100"
"2019-04-01T00:00:00.000","33.00","62.00","20.0","16.00","61.00","71.00","96.00","63.00","13.00","39.00","100","100"
"2019-05-01T00:00:00.000","34.00","69.00","11.00","5.00","82.00","84.00","97.00","60.0","17.00","45.00","100","99.00"
"2019-06-01T00:00:00.000","41.00","65.00","15.00","7.00","81.00","77.00","99.00","59.00","4.00","61.00","100","100"
"2019-07-01T00:00:00.000","51.00","74.00","14.00","10.0","84.00","84.00","100","67.00","8.00","52.00","100","100"
"2019-08-01T00:00:00.000","38.00","73.00","15.00","11.00","77.00","73.00","100","69.00","7.00","58.00","99.00","100"
"2019-09-01T00:00:00.000","36.00","60.0","24.00","10.0","90.0","90.0","100","45.00","8.00","49.00","100","100"
"2019-10-01T00:00:00.000","37.00","75.00","14.00","15.00","83.00","84.00","100","69.00","7.00","40.0","100","100"
"2019-11-01T00:00:00.000","38.00","69.00","10.0","5.00","76.00","80.0","100","73.00","11.00","38.00","100","100"
"2019-12-01T00:00:00.000","45.00","76.00","17.00","10.0","87.00","89.00","100","51.00","10.0","45.00","100","100"
"2020-01-01T00:00:00.000","34.00","51.00","14.00","9.00","49.00","33.00","91.00","32.00","15.00","42.00","100","100"
"2020-02-01T00:00:00.000","29.00","53.00","24.00","17.00","59.00","47.00","97.00","17.00","8.00","46.00","100","100"
"2020-03-01T00:00:00.000","23.00","63.00","23.00","20.0","55.00","55.00","78.00","22.00","14.00","31.00","96.00","98.00"
"2020-04-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-05-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-06-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-07-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-08-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-09-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-10-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-11-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-12-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-01-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-02-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-03-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-04-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-05-01T00:00:00.000","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-06-01T00:00:00.000","23.00","48.00","32.00","12.00","59.00","53.00","99.00","17.00","4.00","32.00","99.00","100"
"2021-07-01T00:00:00.000","15.00","56.00","26.00","10.0","55.00","49.00","98.00","8.00","0","45.00","100","100"
"2021-08-01T00:00:00.000","19.00","48.00","32.00","12.00","53.00","61.00","100","17.00","2.00","40.0","100","100"
"2021-09-01T00:00:00.000","19.00","50.0","24.00","4.00","54.00","39.00","100","16.00","4.00","41.00","100","100"
"2021-10-01T00:00:00.000","8.00","41.00","38.00","9.00","52.00","63.00","96.00","9.00","6.00","39.00","100","100"
"2021-11-01T00:00:00.000","17.00","42.00","32.00","10.0","53.00","36.00","98.00","16.00","10.0","38.00","100","100"
"2021-12-01T00:00:00.000","16.00","46.00","49.00","24.00","44.00","38.00","100","2.00","10.0","43.00","100","100"
"2022-01-01T00:00:00.000","11.00","43.00","42.00","26.00","37.00","40.0","95.00","14.00","2.00","28.00","100","100"
"2022-02-01T00:00:00.000","2.00","26.00","56.00","28.00","55.00","52.00","98.00","14.00","4.00","34.00","99.00","99.00"
"2022-03-01T00:00:00.000","8.00","40.0","54.00","34.00","54.00","50.0","94.00","10.0","4.00","26.00","100","98.00"
"2022-04-01T00:00:00.000","16.00","52.00","37.00","28.00","59.00","52.00","96.00","13.00","10.0","28.00","100","100"
"2022-05-01T00:00:00.000","25.00","70.0","22.00","22.00","67.00","63.00","96.00","26.00","14.00","35.00","98.00","98.00"
