SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,CreatedByUserOrganization,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
1-1523585131,12/31/2019 11:09:00 PM,01/02/2020 12:29:00 PM,SR Created,BOS,Bulky Items,Closed,Mobile App,Self Service,Android,N,NC,01/02/2020 12:00:00 AM,01/02/2020 12:29:00 PM,Y,,"1011 S CALZONA ST, 90023",1011,S,CALZONA,ST,90023,34.0224762797,-118.19458233,"(34.0224762797, -118.19458233)",675,C,1,East Los Angeles APC,14,Jose Huizar,50,BOYLE HEIGHTS NC,HOLLENBECK,23441,527,957,,9,38
1-1523588991,12/31/2019 11:00:00 PM,01/02/2020 03:58:00 PM,SR Created,ITA,Other,Cancelled,Self Service,Self Service,,Y,,,01/02/2020 03:58:00 PM,Y,N,"13333 W KITTRIDGE ST, 91401",13333,W,KITTRIDGE,ST,91401,34.1904079423,-118.423931344,"(34.1904079423, -118.423931344)",532,D,6,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,183,499,,5,70
1-1523589831,12/31/2019 10:59:00 PM,01/02/2020 02:32:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Call,BOS,,N,EV,01/02/2020 12:00:00 AM,01/02/2020 02:32:00 PM,Y,N,"4516 N MARIOTA AVE, 91602",4516,N,MARIOTA,AVE,91602,34.1528636111,-118.350539731,"(34.1528636111, -118.350539731)",563,C,4,South Valley APC,4,David Ryu,28,GREATER TOLUCA LAKE NC,NORTH HOLLYWOOD,8489,342,702,,7,5
1-1523590711,12/31/2019 10:58:00 PM,01/02/2020 03:32:00 PM,SR Created,ITA,Other,Cancelled,Self Service,Self Service,,Y,,,01/02/2020 03:32:00 PM,Y,N,"13557 W KITTRIDGE ST, 91401",13557,W,KITTRIDGE,ST,91401,34.1904082019,-118.428752228,"(34.1904082019, -118.428752228)",532,C,6,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,183,499,,5,70
1-1523590661,12/31/2019 10:56:00 PM,01/02/2020 01:12:00 PM,SR Created,OCB,Graffiti Removal,Closed,Self Service,Self Service,,Y,WVA,01/02/2020 10:46:00 AM,01/02/2020 01:12:00 PM,Y,N,"6600 N WOODMAN AVE, 91401",6600,N,WOODMAN,AVE,91401,34.19048771,-118.4310937,"(34.1904877065, -118.431093678)",532,C,6,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,183,499,,5,70
1-1523590641,12/31/2019 10:53:00 PM,01/03/2020 09:15:00 AM,SR Created,OCB,Graffiti Removal,Closed,Self Service,Self Service,,Y,NDFY,01/02/2020 09:14:00 AM,01/03/2020 09:15:00 AM,Y,N,"GREENBUSH AVE AT KITTRIDGE ST, 91401",,,,,91401,34.19029764,-118.4258369,"(34.190297638, -118.425836889)",532,C,6,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,VAN NUYS,19729,184,499,,5,70
1-1523590531,12/31/2019 10:38:00 PM,01/03/2020 03:08:00 PM,SR Created,BOS,Illegal Dumping Pickup,Closed,Self Service,Self Service,,Y,SLA,01/03/2020 12:00:00 AM,01/03/2020 03:08:00 PM,Y,N,"850 W 83RD ST, 90044",850,W,83RD,ST,90044,33.9635263278,-118.288818136,"(33.9635263278, -118.288818136)",704,B,2,South Los Angeles APC,8,Marqueece Harris-Dawson,87,EMPOWERMENT CONGRESS SOUTHEAST AREA NDC,77TH STREET,23675,783,1005,7,14,45
1-1523589671,12/31/2019 10:35:27 PM,06/17/2020 06:30:36 PM,SR Created,BSL,Single Streetlight Issue,Closed,Mobile App,Self Service,Android,N,NORTH,06/17/2020 12:00:00 AM,06/17/2020 12:00:00 AM,Y,,"3863 N BROADLAWN DR, 90068",3863,N,BROADLAWN,DR,90068,34.1325916,-118.35664254,"(34.1325916, -118.35664254)",563,B,7,South Valley APC,4,David Ryu,29,HOLLYWOOD HILLS WEST NC,NORTH HOLLYWOOD,24033,350,591,11,7,82
1-1523588773,12/31/2019 10:35:00 PM,02/11/2020 09:55:00 AM,SR Created,BSL,Multiple Streetlight Issue,Closed,Mobile App,Self Service,Android,N,SOUTH,02/04/2020 12:00:00 AM,02/04/2020 12:00:00 AM,Y,,"1400 S HARBOR BLVD, 90731",1400,S,HARBOR,BLVD,90731,33.73087454,-118.2786889,"(33.7308745377, -118.27868889)",824,C,6,Harbor APC,15,Joe Buscaino,96,COASTAL SAN PEDRO NC,HARBOR,3342,2342,793,,15,33
1-1523590471,12/31/2019 10:25:00 PM,01/07/2020 03:15:00 PM,SR Created,BSL,Single Streetlight Issue,Closed,Self Service,Self Service,,N,NORTH,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,Y,Y,"23130 W INGOMAR ST, 91304",23130,W,INGOMAR,ST,91304,34.21180576,-118.6312712,"(34.21180576, -118.631271159999)",529,G,3,South Valley APC,12,John Lee,11,WEST HILLS NC,TOPANGA,4279,284,1469,,2,44
1-1523588723,12/31/2019 10:24:00 PM,01/02/2020 11:35:00 AM,SR Created,BOS,Electronic Waste,Closed,Mobile App,Self Service,iOS,N,EV,01/02/2020 12:00:00 AM,01/02/2020 09:18:00 AM,Y,,"11915 W KLING ST, 91607",11915,W,KLING,ST,91607,34.1559188489,-118.392906162,"(34.1559188489, -118.392906162)",562,G,4,South Valley APC,2,Paul Krekorian,25,NC VALLEY VILLAGE,NORTH HOLLYWOOD,8890,344,1336,17,5,39
1-1523588693,12/31/2019 10:23:00 PM,01/02/2020 09:00:00 AM,SR Created,BOS,Metal/Household Appliances,Closed,Mobile App,Self Service,iOS,N,EV,01/02/2020 12:00:00 AM,01/02/2020 08:21:00 AM,Y,,"11915 W KLING ST, 91607",11915,W,KLING,ST,91607,34.1559188489,-118.392906162,"(34.1559188489, -118.392906162)",562,G,4,South Valley APC,2,Paul Krekorian,25,NC VALLEY VILLAGE,NORTH HOLLYWOOD,8890,344,1336,17,5,39
1-1523584713,12/31/2019 10:21:00 PM,01/02/2020 02:27:00 PM,SR Created,BOS,Bulky Items,Closed,Mobile App,Self Service,iOS,N,EV,01/02/2020 12:00:00 AM,01/02/2020 02:27:00 PM,Y,,"11925 W KLING ST, 91607",11925,W,KLING,ST,91607,34.155905633,-118.392964812,"(34.155905633, -118.392964812)",562,G,4,South Valley APC,2,Paul Krekorian,25,NC VALLEY VILLAGE,NORTH HOLLYWOOD,8890,344,1336,17,5,39
1-1523590381,12/31/2019 10:20:00 PM,01/07/2020 05:23:00 PM,SR Created,BOS,Bulky Items,Closed,Self Service,Self Service_SAN,,N,EV,01/07/2020 12:00:00 AM,01/07/2020 05:23:00 PM,Y,N,"12340 W SYLVAN ST, 91606",12340,W,SYLVAN,ST,91606,34.184758231,-118.402349436,"(34.184758231, -118.402349436)",532,F,7,South Valley APC,2,Paul Krekorian,21,GREATER VALLEY GLEN COUNCIL,NORTH HOLLYWOOD,8889,188,564,,5,70
1-1523588517,12/31/2019 10:12:00 PM,01/02/2020 03:41:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,Android,N,CRCD,01/02/2020 12:00:00 AM,01/02/2020 03:41:00 PM,Y,N,"1126 W 43RD ST, 90037",1126,W,43RD,ST,90037,34.00537667,-118.2945858,"(34.0053766715, -118.294585775)",674,A,3,South Los Angeles APC,9,Curren D. Price Jr.,109,VOICES OF 90037,SOUTHWEST,23668,733,1153,7,13,2
1-1523589379,12/31/2019 10:03:00 PM,12/31/2019 10:03:00 PM,SR Created,LADWP,Report Water Waste,Closed,Mobile App,Self Service,Android,Y,,,12/31/2019 10:03:00 PM,Y,,"4815 W HOLLYWOOD BLVD, 90027",4815,W,HOLLYWOOD,BLVD,90027,34.1019141117,-118.295177001,"(34.1019141117, -118.295177001)",594,A,4,Central APC,4,David Ryu,36,LOS FELIZ NC,NORTHEAST,23445,401,1327,16,7,3
1-1523584572,12/31/2019 09:59:00 PM,01/06/2020 12:10:00 PM,SR Created,BOS,Bulky Items,Closed,Mobile App,Self Service,iOS,N,NC,01/06/2020 12:00:00 AM,01/06/2020 10:45:00 AM,Y,,"2442 E FOLSOM ST, 90033",2442,E,FOLSOM,ST,90033,34.0478314015,-118.205456451,"(34.0478314015, -118.205456451)",635,B,4,East Los Angeles APC,14,Jose Huizar,50,BOYLE HEIGHTS NC,HOLLENBECK,23450,514,822,,9,38
1-1523584507,12/31/2019 09:56:00 PM,01/02/2020 03:36:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,CRCD,01/02/2020 03:36:00 PM,01/02/2020 03:36:00 PM,Y,N,"50TH ST AT CENTRAL AVE, 90011",,,,,90011,33.99761844,-118.2564995,"(33.9976184409, -118.256499498)",674,E,4,South Los Angeles APC,9,Curren D. Price Jr.,110,CENTRAL ALAMEDA NC,NEWTON,22727,723,893,7,13,
1-1523588398,12/31/2019 09:54:00 PM,01/02/2020 07:09:00 AM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,NEGB,01/02/2020 12:00:00 AM,01/02/2020 07:09:00 AM,Y,N,"9750 N WOODMAN AVE, 91331",9750,N,WOODMAN,AVE,91331,34.24803249,-118.4486203,"(34.2480324899, -118.448620296)",502,A,5,North Valley APC,6,Nury Martinez,6,ARLETA NC,MISSION,18907,131,402,,3,41
1-1523588368,12/31/2019 09:53:00 PM,01/02/2020 03:36:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,CRCD,01/02/2020 12:00:00 AM,01/02/2020 03:36:00 PM,Y,N,"5007 S CENTRAL AVE, 90011",5007,S,CENTRAL,AVE,90011,33.99731225,-118.256663,"(33.9973122506, -118.256663004)",674,E,4,South Los Angeles APC,9,Curren D. Price Jr.,125,ZAPATA KING NC,NEWTON,22727,723,893,7,13,
1-1523589274,12/31/2019 09:49:00 PM,01/02/2020 03:25:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,CRCD,01/02/2020 12:00:00 AM,01/02/2020 03:25:00 PM,Y,N,"51ST ST AT ASCOT AVE, 90011",,,,,90011,33.99663656,-118.2502795,"(33.9966365595, -118.2502795)",674,F,4,South Los Angeles APC,9,Curren D. Price Jr.,110,CENTRAL ALAMEDA NC,NEWTON,22727,719,983,7,13,51
1-1523584130,12/31/2019 09:46:00 PM,01/02/2020 03:27:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,CRCD,01/02/2020 03:27:00 PM,01/02/2020 03:27:00 PM,Y,N,"1382 E 48TH ST, 90011",1382,E,48TH,ST,90011,34.00005094,-118.2502734,"(34.0000509351, -118.250273371)",674,F,4,South Los Angeles APC,9,Curren D. Price Jr.,110,CENTRAL ALAMEDA NC,NEWTON,22727,719,982,7,13,51
1-1523577160,12/31/2019 09:46:00 PM,01/06/2020 06:20:00 PM,SR Created,BOS,Metal/Household Appliances,Cancelled,Mobile App,Self Service,iOS,N,EV,01/08/2020 12:00:00 AM,01/06/2020 06:20:00 PM,Y,N,"12321 W ADDISON ST, 91607",12321,W,ADDISON,ST,91607,34.1610661733,-118.401644312,"(34.1610661733, -118.401644312)",562,F,3,South Valley APC,2,Paul Krekorian,25,NC VALLEY VILLAGE,NORTH HOLLYWOOD,8890,191,1332,17,5,39
1-1523584391,12/31/2019 09:44:00 PM,01/03/2020 04:30:00 PM,SR Created,BOS,Bulky Items,Closed,Self Service,Self Service,,N,SLA,01/03/2020 12:00:00 AM,01/03/2020 11:23:00 AM,Y,N,"6409 S FLOWER ST, 90003",6409,S,FLOWER,ST,90003,33.9812558632,-118.281496794,"(33.9812558632, -118.281496794)",674,B,6,South Los Angeles APC,8,Marqueece Harris-Dawson,123,UNITED FOR VICTORY,77TH STREET,22352,774,992,7,14,
1-1523584412,12/31/2019 09:44:00 PM,01/03/2020 07:54:00 AM,SR Created,BOS,Bulky Items,Closed,Mobile App,Self Service,Android,N,WV,01/03/2020 12:00:00 AM,01/03/2020 07:53:00 AM,Y,,"17807 W BULLOCK ST, 91316",17807,W,BULLOCK,ST,91316,34.1798105418,-118.520755558,"(34.1798105418, -118.520755558)",561,B,1,South Valley APC,5,Paul Koretz,18,ENCINO NC,WEST VALLEY,4286,316,339,,6,62
1-1523584020,12/31/2019 09:44:00 PM,01/06/2020 06:23:00 PM,SR Created,BOS,Bulky Items,Cancelled,Mobile App,Self Service,iOS,N,EV,01/08/2020 12:00:00 AM,01/06/2020 06:23:00 PM,Y,N,"12321 W ADDISON ST, 91607",12321,W,ADDISON,ST,91607,34.1610661733,-118.401644312,"(34.1610661733, -118.401644312)",562,F,3,South Valley APC,2,Paul Krekorian,25,NC VALLEY VILLAGE,NORTH HOLLYWOOD,8890,191,1332,17,5,39
1-1523584039,12/31/2019 09:44:00 PM,01/02/2020 03:26:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,CRCD,01/02/2020 03:26:00 PM,01/02/2020 03:26:00 PM,Y,N,"1386 E 48TH ST, 90011",1386,E,48TH,ST,90011,34.00004987,-118.2501888,"(34.0000498707, -118.250188775)",674,F,4,South Los Angeles APC,9,Curren D. Price Jr.,110,CENTRAL ALAMEDA NC,NEWTON,22727,719,982,7,13,51
1-1523583851,12/31/2019 09:40:00 PM,01/03/2020 03:44:00 PM,SR Created,BOS,Bulky Items,Closed,Self Service,Self Service,,N,SLA,01/03/2020 12:00:00 AM,01/03/2020 03:44:00 PM,Y,N,"6601 S FLOWER ST, 90003",6601,S,FLOWER,ST,90003,33.9797817182,-118.281496764,"(33.9797817182, -118.281496764)",674,B,7,South Los Angeles APC,8,Marqueece Harris-Dawson,123,UNITED FOR VICTORY,77TH STREET,22352,774,992,7,14,
1-1523583755,12/31/2019 09:40:00 PM,01/02/2020 03:18:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,CRCD,01/02/2020 03:18:00 PM,01/02/2020 03:18:00 PM,Y,N,"4407 S STAUNTON AVE, 90058",4407,S,STAUNTON,AVE,90058,34.00360564,-118.2421793,"(34.0036056442, -118.242179329)",674,G,3,South Los Angeles APC,9,Curren D. Price Jr.,110,CENTRAL ALAMEDA NC,NEWTON,24353,720,1245,7,13,51
1-1523583846,12/31/2019 09:40:00 PM,01/02/2020 03:24:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,CRCD,01/02/2020 12:00:00 AM,01/02/2020 03:24:00 PM,Y,N,"ALAMEDA ST AT 45TH ST, 90058",,,,,90058,34.00275214,-118.2391499,"(34.0027521423, -118.239149898)",674,G,3,South Los Angeles APC,9,Curren D. Price Jr.,110,CENTRAL ALAMEDA NC,NEWTON,24353,720,1245,7,13,51
1-1523583693,12/31/2019 09:39:00 PM,01/02/2020 03:21:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,CRCD,01/02/2020 12:00:00 AM,01/02/2020 03:21:00 PM,Y,N,"4417 S STAUNTON AVE, 90058",4417,S,STAUNTON,AVE,90058,34.00333193,-118.2421804,"(34.0033319284, -118.242180403)",674,G,3,South Los Angeles APC,9,Curren D. Price Jr.,110,CENTRAL ALAMEDA NC,NEWTON,24353,720,1245,7,13,51
1-1523581111,12/31/2019 09:38:00 PM,01/03/2020 03:43:00 PM,SR Created,BOS,Bulky Items,Closed,Self Service,Self Service,,N,SLA,01/03/2020 12:00:00 AM,01/03/2020 03:43:00 PM,Y,N,"6509 S FLOWER ST, 90003",6509,S,FLOWER,ST,90003,33.9805288556,-118.28149721,"(33.9805288556, -118.28149721)",674,B,7,South Los Angeles APC,8,Marqueece Harris-Dawson,123,UNITED FOR VICTORY,77TH STREET,22352,774,992,7,14,
1-1523583664,12/31/2019 09:38:00 PM,01/02/2020 03:20:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,CRCD,01/02/2020 12:00:00 AM,01/02/2020 03:20:00 PM,Y,N,"4525 S STAUNTON AVE, 90058",4525,S,STAUNTON,AVE,90058,34.00209564,-118.242199,"(34.0020956449, -118.24219903)",674,G,4,South Los Angeles APC,9,Curren D. Price Jr.,110,CENTRAL ALAMEDA NC,NEWTON,24353,720,1245,7,13,51
1-1523581047,12/31/2019 09:37:00 PM,01/02/2020 03:19:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,CRCD,01/02/2020 03:19:00 PM,01/02/2020 03:19:00 PM,Y,N,"46TH ST AT STAUNTON AVE, 90058",,,,,90058,34.00162476,-118.242065,"(34.0016247564, -118.242064976)",674,G,4,South Los Angeles APC,9,Curren D. Price Jr.,110,CENTRAL ALAMEDA NC,NEWTON,24353,720,1245,7,13,51
1-1523576930,12/31/2019 09:36:00 PM,01/02/2020 03:22:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,CRCD,01/02/2020 12:00:00 AM,01/02/2020 03:22:00 PM,Y,N,"47TH ST AT STAUNTON AVE, 90058",,,,,90058,34.00107794,-118.2420749,"(34.0010779433, -118.242074927)",674,G,4,South Los Angeles APC,9,Curren D. Price Jr.,110,CENTRAL ALAMEDA NC,NEWTON,24353,720,1245,7,13,51
1-1523583469,12/31/2019 09:35:00 PM,01/04/2020 02:50:00 PM,SR Created,BOS,Bulky Items,Closed,Mobile App,Self Service,iOS,N,WLA,01/04/2020 12:00:00 AM,01/04/2020 02:50:00 PM,Y,,"1871 S ORANGE DR, 90019",1871,S,ORANGE,DR,90019,34.0410827118,-118.34975747,"(34.0410827118, -118.34975747)",633,C,5,South Los Angeles APC,10,Herb J. Wesson Jr.,73,MID CITY NC,WILSHIRE,23080,652,1110,,12,69
1-1523580935,12/31/2019 09:35:00 PM,01/02/2020 03:23:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,CRCD,01/02/2020 12:00:00 AM,01/02/2020 03:23:00 PM,Y,N,"48TH PL AT STAUNTON AVE, 90058",,,,,90058,33.9993863,-118.2421057,"(33.9993862977, -118.24210571)",674,G,4,South Los Angeles APC,9,Curren D. Price Jr.,110,CENTRAL ALAMEDA NC,NEWTON,24353,720,1245,7,13,51
1-1523580860,12/31/2019 09:34:00 PM,01/02/2020 03:21:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,CRCD,01/02/2020 12:00:00 AM,01/02/2020 03:21:00 PM,Y,N,"4801 S STAUNTON AVE, 90058",4801,S,STAUNTON,AVE,90058,34.00050551,-118.2422292,"(34.000505511, -118.242229189)",674,G,4,South Los Angeles APC,9,Curren D. Price Jr.,110,CENTRAL ALAMEDA NC,NEWTON,24353,720,1245,7,13,51
1-1523584251,12/31/2019 09:33:00 PM,01/03/2020 07:44:00 AM,SR Created,BOS,Bulky Items,Closed,Call,BOS,,N,SLA,01/03/2020 12:00:00 AM,01/03/2020 07:44:00 AM,Y,N,"6714 S 11TH AVE, 90043",6714,S,11TH,AVE,90043,33.977577163,-118.329294755,"(33.977577163, -118.329294755)",673,F,7,South Los Angeles APC,8,Marqueece Harris-Dawson,80,PARK MESA HEIGHTS CC,77TH STREET,23674,759,353,7,14,24
1-1523580711,12/31/2019 09:31:00 PM,01/02/2020 03:33:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,CRCD,01/02/2020 03:33:00 PM,01/02/2020 03:33:00 PM,Y,N,"LONG BEACH AVE EAST AT 41ST ST, 90058",,,,,90058,34.00806836,-118.2430243,"(34.0080683552, -118.243024346)",674,G,3,South Los Angeles APC,9,Curren D. Price Jr.,78,SOUTH CENTRAL NC,NEWTON,24353,709,980,7,13,51
1-1523576758,12/31/2019 09:31:00 PM,01/15/2020 07:03:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,Android,N,PGS,01/02/2020 07:02:00 AM,01/15/2020 07:03:00 PM,Y,N,"11861 W SANTA MONICA BLVD, 90025",11861,W,SANTA MONICA,BLVD,90025,34.042277,-118.4598481,"(34.0422769998, -118.459848054)",631,J,5,West Los Angeles APC,11,Mike Bonin,66,WEST LOS ANGELES NC,WEST LOS ANGELES,23443,864,1519,9,10,50
1-1523576778,12/31/2019 09:30:00 PM,01/02/2020 03:28:00 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Self Service,iOS,N,CRCD,01/02/2020 12:00:00 AM,01/02/2020 03:28:00 PM,Y,N,"1632 E 41ST ST, 90011",1632,E,41ST,ST,90011,34.00815898,-118.2447341,"(34.0081589785, -118.244734065)",674,G,3,South Los Angeles APC,9,Curren D. Price Jr.,110,CENTRAL ALAMEDA NC,NEWTON,22727,709,980,7,13,51
1-1523576104,12/31/2019 09:28:00 PM,01/03/2020 03:59:00 PM,SR Created,BOS,Bulky Items,Closed,Mobile App,Self Service,Android,Y,EV,01/03/2020 12:00:00 AM,01/03/2020 03:59:00 PM,Y,,"15403 W SHERMAN WAY, 91406",15403,W,SHERMAN,WAY,91406,34.2014525219,-118.46882664,"(34.2014525219, -118.46882664)",531,G,4,South Valley APC,6,Nury Martinez,20,VAN NUYS NC,VAN NUYS,19734,220,1323,,3,18
1-1523576655,12/31/2019 09:27:00 PM,01/08/2020 01:42:00 PM,SR Created,BOS,Homeless Encampment,Closed,Mobile App,Self Service,Android,Y,WV,01/10/2020 12:00:00 AM,01/08/2020 01:42:00 PM,Y,,"23001 W VANOWEN ST, 91307",23001,W,VANOWEN,ST,91307,34.1938760121,-118.628127548,"(34.1938760121, -118.628127548)",529,G,6,South Valley APC,12,John Lee,11,WEST HILLS NC,TOPANGA,4283,300,1475,,2,44
